,Concept_ID,fa,lt
58,Magen::N,معده,skrandis
59,Leber::N,کبد,kepenys
60,Atem::N,نفس,kvapas
61,Hunger::N,گرسنگی,badas
62,Hunger::N,گرسنگی,alkis
63,Träne::N,اشک,ašara
64,Geschmack::N,مزه,skonis
65,Geruch::N,بو,kvapas
66,Schlaf::N,خواب,miegas
67,Traum::N,رؤیا,sapnas
68,Himmel::N,فلک,dangus
69,Himmel::N,آسمان,dangus
70,Sonne::N,آفتاب,saulė
71,Sonne::N,خورشید,saulė
72,Mond::N,ماه,mėnulis
73,Stern::N,ستاره,žvaigždė
74,Luft::N,هوا,oras
75,Wind::N,باد,vėjas
76,Welle::N,موج,banga
77,Welle::N,موج,vilnis
78,Wasser::N,آب,vanduo
79,Stein::N,سنگ,akmuo
80,Boden::N,زمین,žemė
81,Boden::N,زمین,dugnas
82,Erde::N,خاک,žemė
83,Erde::N,زمین,žemė
84,Staub::N,گرد,dulkės
85,Staub::N,غبار,dulkės
86,Rauch::N,دود,dūmai
87,Funke::N,جرقه,kibirkštis
88,Feuer::N,آتش,ugnis
89,Licht::N,نور,šviesa
90,Licht::N,روشنی,šviesa
91,Schatten::N,سایه,paūksmė
92,Wetter::N,هوا,oras
93,Nebel::N,مه,migla
94,Nebel::N,مه,rūkas
95,Wolke::N,ابر,debesis
96,Regen::N,باران,lietus
97,Schnee::N,برف,sniegas
98,Eis::N,یخ,ledas
99,Frost::N,یخبندان,šalna
100,Kälte::N,سرما,šaltis
101,Hitze::N,گرما,karštis
102,Hitze::N,حرارت,karštis
103,Raureif::N,برف ریزه,šerkšnas
104,Regenbogen::N,رنگین‌کمان,vaivorykštė
105,Donner::N,رعد,perkūnas
106,Donner::N,رعد,griaustinis
107,Strömung::N,جریان,tėkmė
108,Tropfen::N,قطره,lašas
109,Schaum::N,کف,putos
110,Schmutz::N,گل,purvas
111,Schmutz::N,کثافت,purvas
112,See::N,دریاچه,ežeras
113,Sumpf::N,مرداب,klampynė
114,Sumpf::N,مرداب,liūnas
115,Sumpf::N,باتلاق,klampynė
116,Sumpf::N,باتلاق,liūnas
117,Moor::N,باتلاق,pelkė
118,Wiese::N,چمن,pieva
119,Wald::N,جنگل,miškas
120,Hügel::N,تل,kalva
121,Hügel::N,تپه,kalva
122,Anhöhe::N,بلندی,kauburys
123,Berg::N,کوه,kalnas
124,Gipfel::N,قله,viršūnė
125,Höhle::N,غار,ola
126,Abhang::N,سرازیری,šlaitas
127,Abhang::N,سرازیری,nuokalnė
128,Quelle::N,چشمه,versmė
129,Quelle::N,چشمه,šaltinis
130,Bach::N,نهر,upelis
131,Fluss::N,رود,upė
132,Ufer::N,ساحل,krantas
133,Ufer::N,کرانه,krantas
134,Küste::N,ساحل,pajūris
135,Festland::N,خشکی,sausuma
136,Meer::N,دریا,jūra
137,Bucht::N,خلیج,įlanka
138,Bucht::N,خلیج,užutekis
139,Insel::N,جزیره,sala
140,Blume::N,گل,gėlė
141,Gras::N,علف,žolė
142,Wurzel::N,ریشه,šaknis
143,Baum::N,درخت,medis
144,Stamm::N,تنه,kamienas
145,Rinde::N,توژ,žievė
146,Rinde::N,پوست,žievė
147,Ast::N,شاخه,šaka
148,Zweig::N,شاخه,šakelė
149,Blatt::N,برگ,lapas
150,Birke::N,غان,beržas
151,Kiefer[Baum]::N,کاج,pušis
152,Weide[Baum]::N,بید,karklas
153,Tanne::N,صنوبر,eglė
154,Tanne::N,صنوبر,kėnis
155,Horn::N,شاخ,ragas
156,Feder::N,پر,plunksna
157,Fell::N,خز,kailis
158,Flügel::N,پر,sparnas
159,Flügel::N,بال,sparnas
160,Klaue::N,چنگ,kanopa
161,Klaue::N,پنجه,kanopa
162,Kralle::N,پنجه,nagas
163,Schwanz::N,دم,uodega
164,Ei::N,تخم,kiaušinis
165,Nest::N,لانه,gūžta
166,Nest::N,لانه,lizdas
167,Bau::N,بنا,ola
168,Bau::N,ساختمان,ola
169,Tier::N,هیوان,gyvūnas
170,Herde::N,رمه,banda
171,Herde::N,رمه,kaimenė
172,Kuh::N,گاو,karvė
173,Bulle::N,گاو نر,bulius
174,Pferd::N,اسب,arklys
175,Schaf::N,گوسفند,avis
176,Schwein::N,خوک,kiaulė
177,Hund::N,سگ,šuo
178,Katze::N,گربه,katė
179,Bär::N,خرس,lokys
180,Eichhörnchen::N,سنجاب,voveraitė
181,Elch::N,گوزن شمالی,briedis
182,Fuchs::N,روباه,lapė
183,Hase::N,خرگوش,kiškas
184,Maus::N,موش,pelė
185,Wolf::N,گرگ,vilkas
186,Vogel::N,پرنده,paukštis
187,Schwarm::N,دسته,spiečius
188,Huhn::N,مرغ,višta
189,Hahn::N,خروس,gaidys
190,Gans::N,غاز,žąsis
191,Adler::N,عقاب,erelis
192,Ente::N,اردک,antis
193,Ente::N,مرغابی,antis
194,Eule::N,جغد,pelėda
195,Kranich::N,درنا,gervė
196,Krähe::N,زاغ,varna
197,Krähe::N,کلاغ,varna
198,Kuckuck::N,فاخته,gegužė
199,Schwan::N,قو,gulbė
200,Fisch::N,ماهی,žuvis
201,Barsch::N,ماهی خاردار,ešerys
202,Hecht::N,اردک ماهی,lydeka
203,Schlange[Tier]::N,مار,gyvatė
204,Wurm::N,کرم,kirmėlė
205,Spinne::N,عنکبوت,voras
206,Ameise::N,مورچه,skruzdė
207,Laus::N,شپش,utėlė
208,Mücke::N,پشه,uodas
209,Fliege::N,مگس,musė
210,Schmetterling::N,پروانه,drugys
211,Schmetterling::N,پروانه,peteliškė
212,Beere::N,گیله,uoga
213,Apfel::N,سیب,obuolys
214,Pilz::N,قارچ,grybas
215,Zwiebel::N,پیاز,svogūnas
216,Saat::N,بذر,sėkla
217,Korn::N,تخم,grūdai
218,Korn::N,دانه,grūdai
219,Heu::N,علف خشک,šienas
220,Schale::N,پوست,žievelė
221,Grube::N,گودال,duobė
222,Falle::N,دام,pinklės
223,Falle::N,دام,žabangai
224,Schlinge::N,حلقه,kilpa
225,Spur::N,رد,vėžė
226,Spur::N,رد,pėdos
227,Spur::N,رد,pėdsakas
228,Asche::N,خاکستر,pelenai
229,Dreck::N,کثافت,purvas
230,Eisen::N,آهن,geležis
231,Gold::N,زر,auksas
232,Gold::N,طلا,auksas
233,Silber::N,نقره,sidabras
234,Kohle::N,زغال,anglis
235,Glas::N,شیشه,stiklas
236,Lehm::N,گل,molis
237,Sand::N,شن,smėlis
238,Sand::N,ماسه,smėlis
239,Mensch::N,آدم,žmogus
240,Mensch::N,انسان,žmogus
241,Mann::N,مرد,vyras
242,Mann::N,مرد,vyriškis
243,Frau::N,زن,moteris
244,Kind::N,بچه,vaikas
245,Kind::N,کودک,vaikas
246,Junge::N,پسر,vaikinas
247,Junge::N,پسر,berniukas
248,Mädchen::N,دختر,mergytė
249,Mädchen::N,دختر,mergaitė
250,Familie::N,فامیل,šeima
251,Familie::N,خانواده,šeima
252,Großvater::N,پدربزرگ,senelis
253,Großmutter::N,مادر‌بزرگ,senelė
254,Eltern::N,والدین,tėvai
255,Eltern::N,پدر‌و‌مادر,tėvai
256,Vater::N,پدر,tėvas
257,Mutter::N,مادر,motina
258,Sohn::N,پسر,sūnus
259,Tochter::N,دختر,duktė
260,Bruder::N,برادر,brolis
261,Schwester::N,خواهر,sesuo
262,Onkel::N,عمو,dėdė
263,Onkel::N,دایی,dėdė
264,Tante::N,عمه,teta
265,Tante::N,خاله,teta
266,Ehemann::N,همسر,vyras
267,Ehefrau::N,همسر,žmona
268,Freude::N,شادی,džiaugsmas
269,Gelächter::N,خنده,juokas
270,Gelächter::N,قاه‌قاه,juokas
271,Glück::N,اقبال,laimė
272,Kummer::N,غم,vargas
273,Kummer::N,غم,rūpestis
274,Kummer::N,غصه,vargas
275,Kummer::N,غصه,rūpestis
276,Wunsch::N,آرزو,troškimas
277,Wunsch::N,آرزو,pageidavimas
278,Lust::N,هوس,noras
279,Lust::N,هوس,geidulys
280,Geist::N,روح,dvasia
281,Gedanke::N,فکر,mintis
282,Gedächtnis::N,حافظه,atmintis
283,Verstand::N,هوش,protas
284,Sinn::N,معنا,prasmė
285,Sinn::N,مفهوم,prasmė
286,Grund::N,سبب,priežastis
287,Grund::N,دلیل,priežastis
288,Wahrheit::N,حقیقت,tiesa
289,Wahrheit::N,حقیقت,teisybė
290,Gespräch::N,صحبت,pokalbis
291,Gespräch::N,گفتگو,pokalbis
292,Märchen::N,قصه,pasaka
293,Märchen::N,افسانه,pasaka
294,Erzählung::N,داستان,apsakymas
295,Erzählung::N,داستان,pasakojimas
296,Nachricht::N,خبر,žinia
297,Neuigkeit::N,خبر تازه,naujiena
298,Name::N,اسم,vardas
299,Rätsel::N,معما,mįslė
300,Rede::N,سخن,kalba
301,Sprache::N,زبان,kalba
302,Stimme::N,صدا,balsas
303,Wort::N,کلمه,žodis
304,Zeichen::N,نشان,žymė
305,Zeichen::N,نشان,ženklas
306,Zeichen::N,علامت,žymė
307,Zeichen::N,علامت,ženklas
308,Ruf::N,صدا,šauksmas
309,Lärm::N,هیاهو,triukšmas
310,Laut::N,صدا,garsas
311,Ton::N,آهنگ,tonas
312,Ton::N,آهنگ,garsas
313,Lied::N,آواز,daina
314,Lied::N,آواز,giesmė
315,Lied::N,ترانه,daina
316,Lied::N,ترانه,giesmė
317,Ruhe::N,آرامش,ramybė
318,Ruhe::N,آرامش,ramumas
319,Leute::N,مردم,žmonės
320,Volk::N,خلق,tauta
321,Arbeit::N,کار,darbas
322,Arbeit::N,کار,triūsas
323,Gast::N,مهمان,svečias
324,Geschenk::N,هدیه,dovana
325,Spiel::N,بازی,žaismas
326,Spiel::N,بازی,žaidimas
327,Gesellschaft::N,جمعیت,draugija
328,Gesellschaft::N,جمعیت,kompanija
329,Hilfe::N,کمک,pagalba
330,Freund::N,دوست,draugas
331,Freund::N,دوست,bičiulis
332,Kamerad::N,رفیق,draugas
333,Angelegenheit::N,امر,dalykas
334,Angelegenheit::N,امر,reikalas
335,Angelegenheit::N,قضیه,dalykas
336,Angelegenheit::N,قضیه,reikalas
337,Anzahl::N,عده,kiekis
338,Anzahl::N,عده,skaičius
339,Anzahl::N,شمار,kiekis
340,Anzahl::N,شمار,skaičius
341,Art::N,نوع,rūšis
342,Stück::N,تکه,gabalas
343,Stück::N,قطعه,gabalas
344,Teil::N,بخش,dalis
345,Teil::N,قسمت,dalis
346,Hälfte::N,نیم,pusė
347,Kreis::N,حلقه,ratas
348,Kreis::N,حلقه,apskritis
349,Kreis::N,حلقه,apskritimas
350,Kreis::N,دایره,ratas
351,Kreis::N,دایره,apskritis
352,Kreis::N,دایره,apskritimas
353,Kreuz::N,صلیب,kryžius
354,Linie::N,خط,linija
355,Linie::N,سطر,linija
356,Strich::N,خط,brėžis
357,Strich::N,خط,brūkšnys
358,Abstand::N,فاصله,atstumas
359,Entfernung::N,مسافت,atstumas
360,Gegend::N,منطقه,vietovė
361,Platz::N,گنجایش,vieta
362,Ort::N,جا,vieta
363,Ort::N,جا,vietovė
364,Ort::N,محل,vieta
365,Ort::N,محل,vietovė
366,Ort::N,مکان,vieta
367,Ort::N,مکان,vietovė
368,Seite::N,طرف,pusė
369,Seite::N,طرف,šonas
370,Mitte::N,وسط,vidurys
371,Mitte::N,میان,vidurys
372,Gegenstand::N,چیز,dalykas
373,Sache::N,چیز,daiktas
374,Rand::N,کنار,kraštas
375,Rand::N,کنار,pakraštys
376,Rand::N,حاشیه,kraštas
377,Rand::N,حاشیه,pakraštys
378,Kante::N,لبه,kraštas
379,Ecke::N,گوشه,kertė
380,Ecke::N,گوشه,kampas
381,Spitze::N,سر,priekis
382,Spitze::N,سر,priešakys
383,Spitze::N,نوک,priekis
384,Spitze::N,نوک,priešakys
385,Ende::N,ته,galas
386,Ende::N,آخر,galas
387,Loch::N,سوراخ,skylė
388,Winkel::N,کنج,kampas
389,Winkel::N,کنج,kampelis
390,Muster::N,نقش,raštas
391,Größe::N,قد,dydis
392,Größe::N,قد,didumas
393,Größe::N,بزرگی,dydis
394,Größe::N,بزرگی,didumas
395,Länge::N,طول,ilgis
396,Länge::N,طول,ilgumas
397,Höhe::N,بلندی,aukštis
398,Höhe::N,بلندی,aukštuma
399,Gewicht::N,وزن,svoris
400,Gewicht::N,وزن,svarstis
401,Menge::N,مقدار,kiekis
402,Menge::N,مقدار,daugybė
403,Menge::N,اندازه,kiekis
404,Menge::N,اندازه,daugybė
405,Haufen::N,توده,krūva
406,Haufen::N,توده,šūsnis
407,Reihe::N,ردیف,greta
408,Boot::N,قایق,valtis
409,Boot::N,قایق,laivelis
410,Ruder::N,پارو,irklas
411,Schlitten::N,سورتمه,rogės
412,Schlitten::N,سورتمه,rogutės
413,Ski::N,اسکی,slidė
414,Lagerfeuer::N,آتش,laužas
415,Last::N,بار,našta
416,Last::N,بار,nešulys
417,Last::N,سنگینی,našta
418,Last::N,سنگینی,nešulys
419,Gang::N,راه رفتن,eisena
420,Schritt::N,قدم,žingsnis
421,Norden::N,شمال,šiaurė
422,Norden::N,شمال,žiemiai
423,Süden::N,جنوب,pietūs
424,Westen::N,غرب,vakarai
425,Osten::N,شرق,rytai
426,Holz::N,چوب,mediena
427,Brett::N,تخته,lenta
428,Platte::N,صفحه,plokštė
429,Stütze::N,تکیه,atrama
430,Stütze::N,تکیه,atspara
431,Stange::N,میله,lazda
432,Stange::N,میله,kartis
433,Stock::N,چوب,lazda
434,Stab::N,عصا,kartis
435,Rohr::N,لوله,vamzdis
436,Haus::N,منزل,namas
437,Heim::N,خانه,namai
438,Heim::N,کاشانه,namai
439,Ofen::N,بخاری,krosnis
440,Fußboden::N,کف اتاق,grindys
441,Tisch::N,میز,stalas
442,Stuhl::N,صندلی,kėdė
443,Wiege::N,گهواره,lopšys
444,Bett::N,تختخواب,lova
445,Bett::N,تختخواب,patalai
446,Regal::N,قفسه,lentyna
447,Kiste::N,صندوق,dėžė
448,Fenster::N,پنجره,langas
449,Tür::N,در,durys
450,Tür::N,درب,durys
451,Tor::N,دروازه,vartai
452,Zaun::N,حصار,tvora
453,Dach::N,بام,stogas
454,Leiter::N,نردبان,kopėčios
455,Besen::N,جارو,šluota
456,Spaten::N,بیل,lopeta
457,Spaten::N,بیل,kastuvas
458,Schaufel::N,بیل,semtuvas
459,Schaufel::N,پارو,semtuvas
460,Gabel::N,چنگال,šakutė
461,Löffel::N,قاشق,šaukštas
462,Messer::N,کارد,peilis
463,Nagel::N,میخ,vinis
464,Netz::N,تور,tinklas
465,Netz::N,شبکه,tinklas
466,Haken::N,قلاب,vagis
467,Haken::N,قلاب,kablys
468,Griff::N,دسته,kotas
469,Griff::N,دسته,rankena
470,Schloss::N,قفل,spyna
471,Schloss::N,قفل,užraktas
472,Bild::N,عکس,paveikslas
473,Bild::N,تصویر,paveikslas
474,Figur::N,تندیس,figūra
475,Puppe::N,عروسک,lėlė
476,Beutel::N,کیسه,krepšys
477,Beutel::N,کیسه,maišelis
478,Bündel::N,بسته,ryšulys
479,Tasche::N,کیف,krepšelis
480,Eimer::N,سطل,kibiras
481,Deckel::N,در,dangtis
482,Geschirr::N,ظرف,indai
483,Sack::N,گونی,maišas
484,Tasse::N,فنجان,puodukas
485,Topf::N,دیگ,puodas
486,Topf::N,قابلمه,puodas
487,Kessel::N,دیگ,katilas
488,Essen::N,خوراک,valgis
489,Nahrung::N,غذا,penas
490,Nahrung::N,غذا,maistas
491,Speise::N,خوراک,patiekalas
492,Fleisch::N,گوشت,mėsa
493,Getreide::N,غله,javai
494,Brei::N,فرنی,košė
495,Brei::N,حریره,košė
496,Brot::N,نان,duona
497,Scheibe::N,قاچ,riekė
498,Scheibe::N,لزگه,riekė
499,Fett::N,چربی,taukai
500,Fett::N,چربی,riebalai
501,Butter::N,کره,sviestas
502,Öl::N,روغن,aliejus
503,Salz::N,نمک,druska
504,Suppe::N,آش,sriuba
505,Suppe::N,سوپ,sriuba
506,Honig::N,عسل,medus
507,Milch::N,شیر,pienas
508,Tee::N,چای,arbata
509,Leder::N,چرم,oda
510,Wolle::N,پشم,vilna
511,Stoff::N,پارچه,audeklas
512,Nadel::N,سوزن,adata
513,Faden::N,نخ,gija
514,Faden::N,نخ,siūlas
515,Knopf::N,دکمه,saga
516,Knoten::N,گره,mazgas
517,Farbe::N,رنگ,dažai
518,Kleidung::N,لباس,rūbai
519,Kleidung::N,لباس,drabužiai
520,Kleidung::N,پوشاک,rūbai
521,Kleidung::N,پوشاک,drabužiai
522,Hemd::N,پیراهن,marškiniai
523,Kragen::N,یقه,apykaklė
524,Ärmel::N,آستین,rankovė
525,Hose::N,شلوار,kelnės
526,Gürtel::N,کمر‌بند,juosta
527,Gürtel::N,کمر‌بند,diržas
528,Mütze::N,کلاه,kepurė
529,Schuh::N,کفش,batas
530,Stiefel::N,چکمه,auliniai batai
531,Ring::N,حلقه,žiedas
532,Ring::N,انگشتر,žiedas
533,Band::N,نوار,kaspinas
534,Band::N,روبان,kaspinas
535,Kamm::N,شانه,šukos
536,Spiegel::N,آینه,veidrodis
537,Riemen::N,تسمه,diržas
538,Schnur::N,ریسمان,virvė
539,Leine::N,قلاده,pavadėlis
540,Decke::N,پتو,antklodė
541,Kissen::N,بالش,pagalvė
542,Kissen::N,بالش,priegalvis
543,Tuch::N,شال,skarelė
544,Handtuch::N,حوله,rankšluostis
545,Kraft::N,نیرو,jėga
546,Stärke::N,زور,stiprumas
547,Gesundheit::N,سلامتی,sveikata
548,Gesundheit::N,تندرستی,sveikata
549,Krankheit::N,بیماری,liga
550,Schmerz::N,درد,skausmas
551,Wunde::N,زخم,žaizda
552,Fieber::N,تب,karštis
553,Arznei::N,دارو,vaistas
554,Brücke::N,پل,tiltas
555,Brunnen::N,چاه,šulinys
556,Weide::N,چراگاه,ganykla
557,Weide::N,چراگاه,gluosnis
558,Pfad::N,راه,takas
559,Weg::N,راه,kelias
560,Weg::N,طریق,kelias
561,Straße::N,راه,gatvė
562,Straße::N,جاده,gatvė
563,Dorf::N,ده,kaimas
564,Dorf::N,ده,sodžius
565,Dorf::N,روستا,kaimas
566,Dorf::N,روستا,sodžius
567,Stadt::N,شهر,miestas
568,Brief::N,نامه,laiškas
569,Buch::N,کتاب,knyga
570,Buchstabe::N,حرف,raidė
571,Zeitung::N,روزنامه,laikraštis
572,Leben::N,عمر,gyvybė
573,Leben::N,عمر,gyvenimas
574,Leben::N,زندگی,gyvybė
575,Leben::N,زندگی,gyvenimas
576,Tod::N,مرگ,mirtis
577,Grab::N,گور,kapas
578,Grab::N,مزار,kapas
579,Kirche::N,کلیسا,bažnyčia
580,Sünde::N,بزه,nuodėmė
581,Sünde::N,بزه,nusidėjimas
582,Sünde::N,گناه,nuodėmė
583,Sünde::N,گناه,nusidėjimas
584,Gott::N,خدا,dievas
585,Arbeiter::N,کارگر,darbininkas
586,Chef::N,رئیس,šefas
587,Chef::N,رئیس,vadovas
588,Chef::N,رئیس,viršininkas
589,Meister::N,استاد,meistras
590,Arzt::N,پزشک,gydytojas
591,Lehrer::N,معلم,mokytojas
592,Lehrer::N,آموزگار,mokytojas
593,Geld::N,پول,pinigai
594,Geschäft::N,کار,biznis
595,Geschäft::N,بیزنس,biznis
596,Laden::N,دکان,krautuvė
597,Laden::N,دکان,parduotuvė
598,Laden::N,مغازه,krautuvė
599,Laden::N,مغازه,parduotuvė
600,Preis::N,بها,kaina
601,Preis::N,قیمت,kaina
602,Ware::N,جنس,prekė
603,Ware::N,کالا,prekė
604,Nutzen::N,مزیت,nauda
605,Nutzen::N,مزیت,pelnas
606,Nutzen::N,امتیاز,nauda
607,Nutzen::N,امتیاز,pelnas
608,Reichtum::N,مال,turtas
609,Reichtum::N,ثروت,turtas
610,Welt::N,دنیا,pasaulis
611,Land::N,کشور,žemė
612,Land::N,کشور,šalis
613,Land::N,مملکت,žemė
614,Land::N,مملکت,šalis
615,Staat::N,دولت,valstija
616,König::N,شاه,karalius
617,König::N,پادشاه,karalius
618,Macht::N,قدرت,galia
619,Macht::N,قدرت,valdžia
620,Macht::N,اختیار,galia
621,Macht::N,اختیار,valdžia
622,Grenze::N,مرز,riba
623,Grenze::N,مرز,siena
624,Krieg::N,جنگ,karas
625,Feind::N,دشمن,priešas
626,Gewalt::N,زور,jėga
627,Gewalt::N,زور,smurtas
628,Gewalt::N,زور,prievarta
629,Gewalt::N,خشونت,jėga
630,Gewalt::N,خشونت,smurtas
631,Gewalt::N,خشونت,prievarta
632,Kampf::N,نبرد,kova
633,Kampf::N,مبارزه,kova
634,Bogen[Waffe]::N,کمان,lankas
635,Pfeil::N,تیر,strėlė
636,Gewehr::N,تفنگ,šautuvas
637,Fehler::N,غلط,klaida
638,Fehler::N,اشتباه,klaida
639,Lüge::N,دروغ,melas
640,Schaden::N,آسیب,nuostolis
641,Schaden::N,آسیب,apgadinimas
642,Schaden::N,خسارت,nuostolis
643,Schaden::N,خسارت,apgadinimas
644,Unglück::N,بلا,nelaimė
645,Schuld::N,گناه,kaltė
646,Schuld::N,تقصیر,kaltė
647,Alter::N,سن,amžius
648,Alter::N,عمر,amžius
649,Schluss::N,انتها,pabaiga
650,Zeit::N,وقت,laikas
651,Zeit::N,زمان,laikas
652,Tag::N,روز,diena
653,Morgen::N,صبح,rytas
654,Mittag::N,ظهر,vidurdienis
655,Abend::N,شب,vakaras
656,Abend::N,عصر,vakaras
657,Nacht::N,شب,naktis
658,Woche::N,هفته,savaitė
659,Monat::N,ماه,mėnuo
660,Jahr::N,سال,metai
661,Frühling::N,بهار,pavasaris
662,Sommer::N,تابستان,vasara
663,Herbst::N,پاییز,ruduo
664,Winter::N,زمستان,žiema
665,Januar::N,ژانویه,sausis
666,Februar::N,فوریه,vasaris
667,März::N,مارس,kovas
668,April::N,آوریل,balandis
669,Mai::N,مه,gegužė
670,Juni::N,ژوئن,birželis
671,Juli::N,ژویه,liepa
672,August::N,اوت,rugpjūtis
673,September::N,سپتامبر,rugsėjis
674,Oktober::N,اکتبر,spalis
675,November::N,نوامبر,lapkritis
676,Dezember::N,دسامبر,gruodis
677,Montag::N,دو‌شنبه,pirmadienis
678,Dienstag::N,سه‌شنبه,antradienis
679,Mittwoch::N,چهار‌شنبه,trečiadienis
680,Donnerstag::N,پنج شنبه,ketvirtadienis
681,Freitag::N,جمعه,penktadienis
682,Samstag::N,شنبه,šeštadienis
683,Sonntag::N,یکشنبه,sekmadienis
684,groß::A,بزرگ,didis
685,groß::A,بزرگ,didelis
686,klein::A,کوچک,mažas
687,lang::A,بلند,ilgas
688,kurz::A,کوتاه,trumpas
689,breit::A,پهن,platus
690,schmal::A,تنگ,smulkus
691,schmal::A,نازک,smulkus
692,dicht::A,چگال,tankus
693,dicht::A,انبوه,tankus
694,dick[Gegenstand]::A,ضخیم,storas
695,dünn::A,نازک,plonas
696,fein::A,ریز,smulkus
697,fein::A,باریک,smulkus
698,fest::A,محکم,kietas
699,fest::A,محکم,tvirtas
700,flach::A,صاف,lėkštas
701,flach::A,صاف,plokščias
702,flach::A,مسطح,lėkštas
703,flach::A,مسطح,plokščias
704,glatt::A,لیز,slidus
705,hart::A,سفت,kietas
706,weich::A,نرم,minkštas
707,weich::A,ملایم,minkštas
708,rund::A,گرد,apvalus
709,rund::A,گرد,apskritas
710,spitz::A,تیز,aštrus
711,spitz::A,تیز,smailus
712,spitz::A,نوک‌تیز,aštrus
713,spitz::A,نوک‌تیز,smailus
714,scharf::A,تیز,aštrus
715,scharf::A,برنده,aštrus
716,stumpf::A,کند,bukas
717,stumpf::A,کند,atšipęs
718,schwer::A,سنگین,sunkus
719,schön::A,زیبا,gražus
720,heiß::A,داغ,karštas
721,warm::A,گرم,šiltas
722,kalt::A,سرد,šaltas
723,kühl::A,خنک,vėsus
724,kühl::A,خنک,bejausmis
725,frisch::A,تازه,šviežias
726,feucht::A,مرطوب,drėgnas
727,nass::A,تر,šlapias
728,nass::A,خیش,šlapias
729,trocken::A,خشک,sausas
730,voll::A,پر,pilnas
731,leer::A,خالی,tuščias
732,offen::A,باز,atviras
733,geschlossen::A,بسته,uždaras
734,geschlossen::A,بسته,uždarytas
735,sauber::A,پاک,švarus
736,sauber::A,تمیز,švarus
737,schmutzig::A,کثیف,nešvarus
738,schmutzig::A,کثیف,purvinas
739,schmutzig::A,آلوده,nešvarus
740,schmutzig::A,آلوده,purvinas
741,roh::A,خام,žalias
742,reif::A,رسیده,prinokęs
743,reif::A,رسیده,pribrendęs
744,lecker::A,لذیذ,gardus
745,lecker::A,خوشمزه,gardus
746,süß::A,شیرین,saldus
747,bitter::A,تلخ,kartus
748,sauer::A,ترش,gižus
749,sauer::A,ترش,rūgštus
750,hell::A,روشن,šviesus
751,hell::A,روشن,skaistus
752,dunkel::A,تاریک,tamsus
753,schwarz::A,سیاه,juodas
754,weiß::A,سفید,baltas
755,rot::A,سرخ,raudonas
756,rot::A,قرمز,raudonas
757,gelb::A,زرد,geltonas
758,blau::A,آبی,mėlynas
759,grün::A,سبز,žalias
760,grau::A,طوسی,pilkas
761,grau::A,خاکستری,pilkas
762,bunt::A,رنگارنگ,margas
763,bunt::A,رنگارنگ,spalvotas
764,billig::A,ارزان,pigus
765,teuer::A,گران,brangus
766,wertvoll::A,قیمتی,vertingas
767,wertvoll::A,گرانبها,vertingas
768,blind::A,کور,aklas
769,blind::A,نابینا,aklas
770,taub::A,کر,kurčias
771,taub::A,ناشنوا,kurčias
772,kräftig::A,قوی,stiprus
773,stark::A,قوی,stiprus
774,stark::A,نیرومند,stiprus
775,schwach::A,ضعیف,silpnas
776,fett::A,چرب,riebus
777,schlank::A,باریک‌اندام,laibas
778,schlank::A,باریک‌اندام,lieknas
779,hübsch::A,قشنگ,gražus
780,hübsch::A,خوشگل,gražus
