,Concept_ID,ka,et
232,Silber::N,ვერცხლი,hõbe
233,Kohle::N,ნახშირი,süsi
234,Glas::N,მინა,klaas
235,Lehm::N,თიხა,savi
236,Sand::N,ქვიშა,liiv
237,Mensch::N,ადამიანი,inimene
238,Mann::N,კაცი,mees
239,Frau::N,ქალი,naine
240,Kind::N,ბავშვი,laps
241,Junge::N,ვაჟი,poiss
242,Mädchen::N,გოგო,tüdruk
243,Familie::N,ოჯახი,perekond
244,Großvater::N,პაპა,vanaisa
245,Großvater::N,ბაბუა,vanaisa
246,Großmutter::N,ბებია,vanaema
247,Großmutter::N,დიდედა,vanaema
248,Eltern::N,მშობლები,vanemad
249,Vater::N,მამა,isa
250,Mutter::N,დედა,ema
251,Sohn::N,ვაჟიშვილი,poeg
252,Tochter::N,ქალიშვილი,tütar
253,Bruder::N,ძმა,vend
254,Schwester::N,და,õde
255,Onkel::N,ბიძა,onu
256,Tante::N,დეიდა,tädi
257,Tante::N,მამიდა,tädi
258,Ehemann::N,ქმარი,mees
259,Ehemann::N,ქმარი,abikaasa
260,Ehefrau::N,ცოლი,naine
261,Ehefrau::N,ცოლი,abikaasa
262,Freude::N,სიხარული,rõõm
263,Gelächter::N,სიცილი,naer
264,Glück::N,ბედნიერება,õnn
265,Kummer::N,მწუხარება,mure
266,Kummer::N,მწუხარება,kurbus
267,Wunsch::N,წადილი,soov
268,Wunsch::N,სურვილი,soov
269,Lust::N,წადილი,himu
270,Geist::N,სული,vaim
271,Gedanke::N,ფიქრი,mõte
272,Gedächtnis::N,მეხსიერება,mälu
273,Verstand::N,ჭკუა,aru
274,Verstand::N,ჭკუა,mõistus
275,Verstand::N,გონება,aru
276,Verstand::N,გონება,mõistus
277,Sinn::N,მნიშვნელობა,tähendus
278,Grund::N,მიზეზი,põhjus
279,Wahrheit::N,სიმართლე,tõde
280,Wahrheit::N,ჭეშმარიტება,tõde
281,Gespräch::N,ბაასი,kõne
282,Gespräch::N,ბაასი,vestlus
283,Gespräch::N,საუბარი,kõne
284,Gespräch::N,საუბარი,vestlus
285,Märchen::N,არაკი,muinasjutt
286,Märchen::N,ზღაპარი,muinasjutt
287,Erzählung::N,თქმულება,jutustus
288,Nachricht::N,ცნობა,teade
289,Nachricht::N,ამბავი,teade
290,Neuigkeit::N,სიახლე,uudis
291,Name::N,სახელი,nimi
292,Rätsel::N,გამოცანა,mõistatus
293,Rede::N,სიტყვა,kõne
294,Sprache::N,ენა,keel
295,Stimme::N,ხმა,hääl
296,Wort::N,სიტყვა,sõna
297,Zeichen::N,ნიშანი,märk
298,Ruf::N,ძახილი,hüüe
299,Lärm::N,ხმაური,müra
300,Laut::N,ხმა,hääl
301,Laut::N,ბგერა,hääl
302,Ton::N,ტონი,toon
303,Lied::N,სიმღერა,laul
304,Ruhe::N,სიწყნარე,rahu
305,Ruhe::N,სიწყნარე,vaikus
306,Leute::N,ადამიანები,inimesed
307,Volk::N,ერი,rahvas
308,Volk::N,ხალხი,rahvas
309,Arbeit::N,მუშაობა,töö
310,Gast::N,სტუმარი,külaline
311,Geschenk::N,საჩუქარი,kingitus
312,Spiel::N,თამაში,mäng
313,Gesellschaft::N,საზოგადოება,selts
314,Hilfe::N,შველა,abi
315,Hilfe::N,დახმარება,abi
316,Freund::N,მეგობარი,sõber
317,Kamerad::N,ამხანაგი,sõber
318,Angelegenheit::N,საქმე,asi
319,Anzahl::N,ოდენობა,arv
320,Anzahl::N,ოდენობა,hulk
321,Art::N,სახეობა,liik
322,Stück::N,ნატეხი,tükk
323,Teil::N,წილი,osa
324,Hälfte::N,ნახევარი,pool
325,Kreis::N,წრე,ring
326,Kreuz::N,ჯვარი,rist
327,Linie::N,ხაზი,joon
328,Strich::N,შტრიხი,joon
329,Abstand::N,მანძილი,vahe
330,Entfernung::N,სიშორე,kaugus
331,Entfernung::N,სიშორე,vahemaa
332,Gegend::N,არე,ümbrus
333,Gegend::N,მხარე,ümbrus
334,Platz::N,ფართობი,ruum
335,Ort::N,ადგილი,paik
336,Seite::N,მხარე,pool
337,Mitte::N,შუა,keskpaik
338,Gegenstand::N,საგანი,ese
339,Sache::N,ნივთი,ese
340,Rand::N,კიდე,äär
341,Rand::N,კიდე,serv
342,Kante::N,ნაწიბული,kant
343,Ecke::N,კუთხე,nurk
344,Spitze::N,წვეტი,teravik
345,Ende::N,ბოლო,ots
346,Ende::N,ბოლო,jupp
347,Loch::N,ხვრელი,auk
348,Winkel::N,კუთხე,nurk
349,Muster::N,მოხატულობა,muster
350,Größe::N,ზომა,suurus
351,Größe::N,სიდიდე,suurus
352,Länge::N,სიგრძე,pikkus
353,Höhe::N,სიმაღლე,kõrgus
354,Gewicht::N,წონა,kaal
355,Gewicht::N,წონა,raskus
356,Menge::N,რაოდენობა,arv
357,Menge::N,რაოდენობა,hulk
358,Haufen::N,გროვა,hunnik
359,Reihe::N,რიგი,rivi
360,Reihe::N,წყება,rivi
361,Boot::N,გემი,paat
362,Ruder::N,ხოფი,aer
363,Ruder::N,ნიჩაბი,aer
364,Schlitten::N,მარხილი,saan
365,Ski::N,თხილამური,suusk
366,Lagerfeuer::N,კოცონი,lõke
367,Last::N,ტვირთი,koorem
368,Gang::N,სვლა,käik
369,Schritt::N,ბიჯი,samm
370,Norden::N,ჩრდილოეთი,põhi
371,Süden::N,სამხრეთი,lõuna
372,Westen::N,დასავლეთი,lääs
373,Osten::N,აღმოსავლეთი,ida
374,Holz::N,ხე,puu
375,Brett::N,დაფა,saelaud
376,Brett::N,ფიცარი,saelaud
377,Platte::N,თლილი ქვა,plaat
378,Stütze::N,საყრდენი,tugi
379,Stange::N,ჭოკი,latt
380,Stange::N,ჭოკი,teivas
381,Stock::N,კეტი,kepp
382,Stab::N,ლატანი,varras
383,Rohr::N,მილაკი,toru
384,Haus::N,სახლი,maja
385,Heim::N,ოჯახის კერა,kodu
386,Ofen::N,ღუმელი,ahi
387,Fußboden::N,იატაკი,põrand
388,Tisch::N,სუფრა,laud
389,Tisch::N,მაგიდა,laud
390,Stuhl::N,სკამი,tool
391,Wiege::N,აკვანი,häll
392,Wiege::N,აკვანი,kätki
393,Bett::N,საწოლი,voodi
394,Bett::N,სარეცელი,voodi
395,Regal::N,თაროები,riiul
396,Kiste::N,ყუთი,kast
397,Kiste::N,სკივრი,kast
398,Fenster::N,ფანჯარა,aken
399,Fenster::N,სარკმელი,aken
400,Tür::N,ბჭე,uks
401,Tür::N,კარი,uks
402,Tor::N,ჭიშკარი,värav
403,Zaun::N,ღობე,aed
404,Zaun::N,ღობე,tara
405,Zaun::N,გალავანი,aed
406,Zaun::N,გალავანი,tara
407,Dach::N,სახურავი,katus
408,Leiter::N,კიბე,redel
409,Besen::N,ცოცხი,luud
410,Spaten::N,ნიჩაბი,labidas
411,Schaufel::N,ბარი,kühvel
412,Gabel::N,ჩანგალი,kahvel
413,Löffel::N,კოვზი,lusikas
414,Messer::N,დანა,nuga
415,Nagel::N,ლურსმანი,nael
416,Netz::N,ბადე,võrk
417,Haken::N,კავი,haak
418,Haken::N,კავი,konks
419,Haken::N,კაუჭი,haak
420,Haken::N,კაუჭი,konks
421,Griff::N,ტარი,sang
422,Griff::N,ტარი,käepide
423,Schloss::N,კლიტე,lukk
424,Schloss::N,საკეტი,lukk
425,Bild::N,სურათი,pilt
426,Figur::N,ფიგურა,kuju
427,Figur::N,ფიგურა,kujund
428,Puppe::N,თოჯინა,nukk
429,Beutel::N,პარკი,paun
430,Bündel::N,გალა,kimp
431,Bündel::N,ასხმა,kimp
432,Tasche::N,ჩანთა,kott
433,Eimer::N,ჩამჩა,pang
434,Eimer::N,ჩამჩა,ämber
435,Deckel::N,ხუფი,kaas
436,Deckel::N,სარქველი,kaas
437,Geschirr::N,ჭურჭელი,nõud
438,Sack::N,ტომარა,kott
439,Tasse::N,ფინჯანი,tass
440,Topf::N,ქოთანი,pada
441,Kessel::N,ქვაბი,pada
442,Essen::N,ჭამა,söök
443,Nahrung::N,საზრდო,toit
444,Nahrung::N,საკვები,toit
445,Speise::N,საჭმელი,roog
446,Fleisch::N,ხორცი,liha
447,Getreide::N,მარცვლოვანი,teravili
448,Brei::N,ფაფა,puder
449,Brot::N,პური,sai
450,Brot::N,პური,leib
451,Scheibe::N,ნაჭერი,viil
452,Scheibe::N,ნაჭერი,viilukas
453,Fett::N,ქონი,rasv
454,Fett::N,ცხიმი,rasv
455,Butter::N,კარაქი,või
456,Öl::N,ზეთი,õli
457,Salz::N,მარილი,sool
458,Suppe::N,სუფი,supp
459,Honig::N,თაფლი,mesi
460,Milch::N,რძე,piim
461,Tee::N,ჩაი,tee
462,Leder::N,ტყავი,nahk
463,Wolle::N,მატყლი,vill
464,Stoff::N,ქსოვილი,kangas
465,Nadel::N,ნემსი,nõel
466,Faden::N,ძაფი,niit
467,Faden::N,მკედი,niit
468,Knopf::N,ღილი,nööp
469,Knoten::N,ნასკვი,sõlm
470,Farbe::N,საღებავი,värv
471,Kleidung::N,ტანსაცმელი,riided
472,Kleidung::N,ტანსაცმელი,riietus
473,Hemd::N,ხალათი,särk
474,Hemd::N,პერანგი,särk
475,Kragen::N,საყელო,krae
476,Ärmel::N,სახელო,varrukas
477,Hose::N,შარვალი,püksid
478,Gürtel::N,ქამარი,vöö
479,Mütze::N,ქუდი,müts
480,Schuh::N,ფეხსაცმელი,king
481,Stiefel::N,ჩექმა,saabas
482,Ring::N,ბეჭედი,sõrmus
483,Band::N,ბაფთი,lint
484,Kamm::N,სავარცხელი,kamm
485,Spiegel::N,სარკე,peegel
486,Riemen::N,ღვედი,rihm
487,Schnur::N,ლარი,nöör
488,Leine::N,ჯაჭვი,jalutusrihm
489,Decke::N,საბანი,tekk
490,Kissen::N,ბალიში,padi
491,Tuch::N,მაუდი,kalev
492,Tuch::N,თავშალი,kalev
493,Handtuch::N,ხელსახოცი,käterätik
494,Kraft::N,ძალა,jõud
495,Stärke::N,ღონე,tugevus
496,Gesundheit::N,ჯანმრთელობა,tervis
497,Krankheit::N,სენი,haigus
498,Krankheit::N,ავადმყოფობა,haigus
499,Schmerz::N,ტკივილი,valu
500,Wunde::N,იარი,haav
501,Wunde::N,ჭრილობა,haav
502,Fieber::N,ციება,palavik
503,Arznei::N,წამალი,ravim
504,Brücke::N,ხიდი,sild
505,Brunnen::N,ჭა,kaev
506,Weide::N,საძოვარი,karjamaa
507,Pfad::N,ბილიკი,rada
508,Weg::N,გზა,tee
509,Straße::N,შარაგზა,tee
510,Dorf::N,დაბა,küla
511,Dorf::N,სოფელი,küla
512,Stadt::N,ქალაქი,linn
513,Brief::N,წერილი,kiri
514,Buch::N,წიგნი,raamat
515,Buchstabe::N,ასო,täht
516,Zeitung::N,გაზეთი,ajaleht
517,Leben::N,სიცოცხლე,elu
518,Tod::N,სიკვდილი,surm
519,Grab::N,სამარე,haud
520,Grab::N,საფლავი,haud
521,Kirche::N,ეკლესია,kirik
522,Sünde::N,ცოდვა,patt
523,Gott::N,ღმერთი,jumal
524,Arbeiter::N,მუშა,tööline
525,Chef::N,გამგე,ülemus
526,Chef::N,გამგე,juhataja
527,Meister::N,ოსტატი,meister
528,Arzt::N,ექიმი,arst
529,Arzt::N,მკურნალი,arst
530,Lehrer::N,მასწავლებელი,õpetaja
531,Geld::N,ფული,raha
532,Geschäft::N,საქმე,äri
533,Geschäft::N,ბიზნესი,äri
534,Laden::N,დუქანი,pood
535,Laden::N,დუქანი,kauplus
536,Laden::N,მაღაზია,pood
537,Laden::N,მაღაზია,kauplus
538,Preis::N,ფასი,hind
539,Ware::N,საქონელი,kaup
540,Nutzen::N,ხეირი,tulu
541,Nutzen::N,ხეირი,kasulikkus
542,Reichtum::N,სიმდიდრე,rikkus
543,Welt::N,მსოფლიო,maailm
544,Land::N,მხარე,maa
545,Land::N,ქვეყანა,maa
546,Staat::N,სახელმწიფო,riik
547,König::N,მეფე,kuningas
548,Macht::N,ძლიერება,võim
549,Grenze::N,ზღვარი,piir
550,Krieg::N,ომი,sõda
551,Feind::N,მტერი,vaenlane
552,Gewalt::N,სისასტიკე,väevõim
553,Kampf::N,ბრძოლა,võitlus
554,Bogen[Waffe]::N,მშვილდი,vibu
555,Pfeil::N,ისარი,nool
556,Pfeil::N,მახვილი,nool
557,Gewehr::N,თოფი,püss
558,Gewehr::N,შაშხანა,püss
559,Fehler::N,შეცდომა,viga
560,Lüge::N,სიცრუე,vale
561,Schaden::N,ვნება,kahju
562,Unglück::N,ხიფათი,häda
563,Unglück::N,ხიფათი,õnnetus
564,Unglück::N,უბედურება,häda
565,Unglück::N,უბედურება,õnnetus
566,Schuld::N,ბრალი,süü
567,Alter::N,ასაკი,iga
568,Schluss::N,ბოლო,lõpp
569,Schluss::N,დასასრული,lõpp
570,Zeit::N,დრო,aeg
571,Tag::N,დღე,päev
572,Morgen::N,დილა,hommik
573,Mittag::N,შუადღე,lõuna
574,Mittag::N,შუადღე,keskpäev
575,Abend::N,საღამო,õhtu
576,Nacht::N,ღამე,öö
577,Woche::N,კვირა,nädal
578,Monat::N,თვე,kuu
579,Jahr::N,წელი,aasta
580,Frühling::N,გაზაფხული,kevad
581,Sommer::N,ზაფხული,suvi
582,Herbst::N,შემოდგომა,sügis
583,Winter::N,ზამთარი,talv
584,Januar::N,იანვარი,jaanuar
585,Februar::N,თებერვალი,veebruar
586,März::N,მარტი,märts
587,April::N,აპრილი,aprill
588,Mai::N,მაისი,mai
589,Juni::N,ივნისი,juuni
590,Juli::N,ივლისი,juuli
591,August::N,აგვისტო,august
592,September::N,სექტემბერი,september
593,Oktober::N,ოქტომბერი,oktoober
594,November::N,ნოემბერი,november
595,Dezember::N,დეკემბერი,detsember
596,Montag::N,ორშაბათი,esmaspäev
597,Dienstag::N,სამშაბათი,teisipäev
598,Mittwoch::N,ოთხშაბათი,kesknädal
599,Donnerstag::N,ხუთშაბათი,neljapäev
600,Freitag::N,პარასკევი,reede
601,Samstag::N,შაბათი,laupäev
602,Sonntag::N,კვირა,pühapäev
603,groß::A,დიდი,suur
604,klein::A,მცირე,väike
605,klein::A,მცირე,pisike
606,klein::A,პატარა,väike
607,klein::A,პატარა,pisike
608,lang::A,გრძელი,pikk
609,kurz::A,მოკლე,lühike
610,breit::A,ფართო,lai
611,breit::A,განიერი,lai
612,schmal::A,ვიწრო,kitsas
613,schmal::A,წვრილი,kitsas
614,dicht::A,მჭიდრო,tihe
615,dick[Gegenstand]::A,სქელი,jäme
616,dünn::A,წვრილი,õhuke
617,dünn::A,წვრილი,peenike
618,fein::A,თხელი,peen
619,fein::A,თხელი,õhuke
620,fest::A,მყარი,püsiv
621,fest::A,მყარი,kindel
622,flach::A,ბრტყელი,lame
623,flach::A,ბრტყელი,tasane
624,glatt::A,გლუ,sile
625,hart::A,მაგარი,kõva
626,weich::A,რბილი,pehme
627,rund::A,მრგვალი,ümar
628,spitz::A,წვეტიანი,torkav
629,scharf::A,მჭრელი,terav
630,stumpf::A,ბლაგვი,nüri
631,schwer::A,მძიმე,raske
632,schön::A,ლამაზი,kena
633,heiß::A,ცხელი,kuum
634,heiß::A,ცხელი,palav
635,warm::A,თბილი,soe
636,kalt::A,ცივი,külm
637,kühl::A,გრილი,jahe
638,frisch::A,სუფთა,värske
639,feucht::A,ნოტიო,niiske
640,nass::A,სველი,märg
641,trocken::A,მშრალი,kuiv
642,voll::A,სავსე,täis
643,leer::A,ცარიელი,tühi
644,offen::A,ღია,avatud
645,offen::A,ღია,lahtine
646,offen::A,გაშლილი,avatud
647,offen::A,გაშლილი,lahtine
648,geschlossen::A,დახურული,suletud
649,sauber::A,სუფთა,puhas
650,sauber::A,წმინდა,puhas
651,schmutzig::A,ტალახიანი,räpane
652,schmutzig::A,ტალახიანი,määrdunud
653,roh::A,უმი,toores
654,reif::A,მწიფე,küps
655,lecker::A,გემრიელი,hõrk
656,lecker::A,გემრიელი,maitsev
657,süß::A,ტკბილი,magus
658,bitter::A,მწარე,mõru
659,sauer::A,მჟავე,hapu
660,hell::A,ნათელი,hele
661,dunkel::A,ბნელი,pime
662,schwarz::A,შავი,must
663,weiß::A,თეთრი,valge
664,rot::A,წითელი,punane
665,gelb::A,ყვითელი,kollane
666,blau::A,ლურჯი,sinine
667,blau::A,ცისფერი,sinine
668,grün::A,მწვანე,roheline
669,grau::A,რუხი,hall
670,grau::A,ნაცრისფერი,hall
671,bunt::A,ჭრელი,kirju
672,bunt::A,ჭრელი,värviline
673,bunt::A,ფერადი,kirju
674,bunt::A,ფერადი,värviline
675,billig::A,იაფი,odav
676,teuer::A,ძვირი,kallis
677,wertvoll::A,ღირსიანი,väärtuslik
678,blind::A,ბრმა,pime
679,taub::A,ყრუ,kurt
680,kräftig::A,ძალავანი,jõuline
681,stark::A,ძლიერი,tugev
682,stark::A,ღონიერი,tugev
683,schwach::A,სუსტი,nõrk
684,schwach::A,სუსტი,jõuetu
685,fett::A,სქელი,rasvane
686,schlank::A,გამხდარი,sale
687,hübsch::A,ეშხიანი,kena
688,hübsch::A,მშვენიერი,kena
689,böse::A,ავი,tige
690,böse::A,ბოროტი,tige
691,dumm::A,ბოთე,juhm
692,dumm::A,ბოთე,rumal
693,dumm::A,სულელი,juhm
694,dumm::A,სულელი,rumal
695,faul::A,ზანტი,laisk
696,faul::A,ზარმაცი,laisk
697,fleißig::A,ბეჯითი,virk
698,fleißig::A,ბეჯითი,hoolas
699,fleißig::A,მუყაითი,virk
700,fleißig::A,მუყაითი,hoolas
701,geizig::A,ძუნწი,ihne
702,klug::A,ჭკვიანი,tark
703,klug::A,ჭკვიანი,arukas
704,klug::A,ჭკვიანი,mõistlik
705,geschickt::A,მარჯვე,osav
706,geschickt::A,გაწაფული,osav
707,lieb::A,სატრფიალო,armas
708,lustig::A,მხიარული,lõbus
709,sanft::A,ალერსიანი,õrn
710,sanft::A,გრძნობიერი,õrn
711,hungrig::A,მშიერი,näljane
712,krank::A,სნეული,haige
713,krank::A,ავადმყოფი,haige
714,nackt::A,ტიტველი,alasti
715,traurig::A,მწუხარე,kurb
716,traurig::A,სევდიანი,kurb
717,lebendig::A,ცოცხალი,elus
718,gut::A,კარგი,hea
719,schlecht::A,უხეირო,halb
720,richtig::A,ნამდვილი,õige
721,schlimm::A,ცუდი,paha
722,wahr::A,სწორი,tõene
723,wahr::A,ჭეშმარიტი,tõene
724,alt::A,ძველი,vana
725,neu::A,ახალი,uus
726,ehemalig::A,ყოფილი,endine
727,alt[Lebewesen]::A,ბებერი,vana
728,jung::A,ნორჩი,noor
729,jung::A,ახალგაზრდა,noor
730,arm::A,ღარიბი,vaene
731,reich::A,მდიდარი,rikas
732,bekannt::A,ცნობილი,teada
733,bekannt::A,ცნობილი,tuttav
734,berühmt::A,გამოჩენილი,tuntud
735,fremd::A,უცხო,võõras
736,fremd::A,გარეშე,võõras
737,verschieden::A,სხვაგვარი,erinev
738,nah::A,ახლო,lähedane
739,fern::A,შორი,kauge
740,fern::A,შორეული,kauge
741,linker::A,მარცხენა,vasak
742,rechter::A,მარჯვენა,parem
743,anderer::A,სხვა,muu
744,anderer::A,სხვა,teine
745,erster::A,პირველი,esimene
746,zweiter::A,მეორე,teine
747,dritter::A,მესამე,kolmas
