,Concept_ID,br,mhr
119,Bucht::N,mor-bihan,икса́
120,Insel::N,enez,отро́
121,Blume::N,bleunienn,пеле́дыш
122,Gras::N,geot,шу́до
123,Wurzel::N,gwrizienn,вож
124,Baum::N,gwezenn,пуше́ҥге
125,Stamm::N,kef,йы́тыр
126,Rinde::N,rusk,шӱм
127,Ast::N,barr,укш
128,Zweig::N,bod,торма́к
129,Blatt::N,delienn,лышта́ш
130,Birke::N,bezvenn,куэ́
131,Kiefer[Baum]::N,pinenn,пӱ́нчӧ
132,Weide[Baum]::N,halegenn,уа́
133,Tanne::N,sapenn,кож
134,Horn::N,korn,шур
135,Feder::N,pluñv,пы́стыл
136,Fell::N,kreoñ,кова́ште
137,Flügel::N,askell,шу́лдыр
138,Klaue::N,skilf,кӱч
139,Kralle::N,skilf,ла́па
140,Kralle::N,skilf,копа́
141,Schwanz::N,lost,поч
142,Ei::N,vi,му́но
143,Nest::N,neizh,пыжа́ш
144,Bau::N,douarenn,пыжа́ш
145,Tier::N,loen,я́нлык
146,Tier::N,loen,живо́тный
147,Herde::N,tropell,кӱ́тӱ
148,Herde::N,tropell,тӱшка́
149,Kuh::N,buoc'h,ушка́л
150,Bulle::N,tarv,ӱ́шкыж
151,Pferd::N,marc'h,и́мне
152,Schaf::N,dañvad,шо́рык
153,Schwein::N,pemoc'h,сӧсна́
154,Hund::N,ki,пий
155,Katze::N,kazh,пы́рыс
156,Bär::N,arzh,маска́
157,Eichhörnchen::N,gwiñver,ур
158,Elch::N,karv-dour,шо́рдо
159,Fuchs::N,louarn,ры́выж
160,Hase::N,gad,мера́ҥ
161,Maus::N,logodenn,коля́
162,Wolf::N,bleiz,пи́ре
163,Vogel::N,labous,ка́йык
164,Schwarm::N,nijad,каша́к
165,Huhn::N,yar,чы́ве
166,Hahn::N,kilhog,агыта́н
167,Gans::N,gwazenn,ко́мбо
168,Adler::N,erer,карагу́ш
169,Ente::N,houad,лу́до
170,Eule::N,toud,тумна́
171,Kranich::N,garan,турня́
172,Krähe::N,bran,кора́к
173,Kuckuck::N,koukoug,куку́
174,Schwan::N,alarc'h,йӱ́ксӧ
175,Fisch::N,pesk,кол
176,Barsch::N,brell,ола́ҥге
177,Hecht::N,beked,нуж
178,Hecht::N,beked,чорта́н
179,Schlange[Tier]::N,naer,ки́шке
180,Wurm::N,preñv,шукш
181,Spinne::N,kevnidenn,эҥыре́мыш
182,Ameise::N,merion,ку́тко
183,Laus::N,laouenn,тий
184,Mücke::N,moustik,шыҥа́
185,Fliege::N,kelienenn,ка́рме
186,Schmetterling::N,balafenn,лы́ве
187,Beere::N,hog,мӧр
188,Apfel::N,aval,олма́
189,Pilz::N,kabell-touseg,по́ҥго
190,Zwiebel::N,ognonenn,шога́н
191,Saat::N,had,нӧ́шмӧ
192,Saat::N,had,туш
193,Korn::N,ed,шу́рно
194,Heu::N,foenn,шу́до
195,Schale::N,peliadur,шӱм
196,Falle::N,pech,лӧ́дӧ
197,Schlinge::N,krouglas,о́птыш
198,Schlinge::N,krouglas,шӧрга́лтыш
199,Asche::N,ludu,ло́мыж
200,Dreck::N,fank,лавыра́
201,Eisen::N,houarn,кӱ́ртньӧ
202,Gold::N,aour,шӧ́ртньӧ
203,Silber::N,arc'hant,ший
204,Kohle::N,glaou,мландышӱ́й
205,Glas::N,gwer,янда́
206,Sand::N,traezh,ошма́
207,Mensch::N,den,еҥ
208,Mensch::N,den,айде́ме
209,Mann::N,den,пӧръе́ҥ
210,Frau::N,maouez,ӱдырама́ш
211,Kind::N,bugel,аза́
212,Junge::N,paotr,рве́зе
213,Mädchen::N,plac'h,ӱдыра́ш
214,Familie::N,familh,еш
215,Großvater::N,tad-kozh,коча́
216,Großmutter::N,mamm-gozh,кова́
217,Eltern::N,kerent,ача́-ава́
218,Vater::N,tad,ача́
219,Mutter::N,mamm,ава́
220,Sohn::N,mab,э́рге
221,Tochter::N,merc'h,ӱ́дыр
222,Bruder::N,breur,иза́
223,Bruder::N,breur,шо́льо
224,Schwester::N,c'hoar,ака́
225,Onkel::N,eontr,иза́
226,Tante::N,moereb,кока́
227,Ehemann::N,gwaz,мари́й
228,Ehefrau::N,gwreg,ва́те
229,Freude::N,levenez,куа́н
230,Freude::N,levenez,куаныма́ш
231,Gelächter::N,c'hoarzherezh,во́штылтыш
232,Glück::N,chañs,пиа́л
233,Kummer::N,doan,о́йго
234,Wunsch::N,c'hoant,ку́мыл
235,Lust::N,c'hoant,ку́мыл
236,Geist::N,spered,ӧрт
237,Geist::N,spered,чон
238,Gedanke::N,soñj,ой
239,Gedanke::N,soñj,шоныма́ш
240,Gedächtnis::N,eñvor,шарныма́ш
241,Verstand::N,skiant,уш
242,Sinn::N,ster,смысл
243,Grund::N,kaoz,ама́л
244,Wahrheit::N,gwirionez,чын
245,Gespräch::N,kaozeadenn,мутланыма́ш
246,Märchen::N,kaoz korriganez,йома́к
247,Erzählung::N,kontadenn,ойлыма́ш
248,Nachricht::N,keloù,увертарыма́ш
249,Neuigkeit::N,kelaouenn,уве́р
250,Name::N,anv,лӱм
251,Rätsel::N,divinatez,ту́што
252,Rede::N,diskour,ойлыма́ш
253,Sprache::N,yezh,йы́лме
254,Stimme::N,mouezh,йӱк
255,Wort::N,ger,ой
256,Wort::N,ger,мут
257,Zeichen::N,sin,ти́ште
258,Zeichen::N,sin,знак
259,Ruf::N,galv,ӱжма́ш
260,Lärm::N,trouz,лӱшкыма́ш
261,Lärm::N,trouz,йӱк-йӱа́н
262,Ton::N,ton,йӱксе́м
263,Lied::N,kanaouenn,му́ро
264,Ruhe::N,sioulded,ты́мык
265,Leute::N,tud,еҥ-влак
266,Volk::N,pobl,ка́лык
267,Arbeit::N,labour,паша́
268,Gast::N,kouviad,уна́
269,Geschenk::N,prof,пӧле́к
270,Spiel::N,c'hoari,мо́дыш
271,Spiel::N,c'hoari,модма́ш
272,Gesellschaft::N,kompagnunezh,тӱшка́
273,Gesellschaft::N,kavandad,тӱшка́
274,Hilfe::N,sikour,по́лыш
275,Freund::N,mignon,таҥ
276,Freund::N,mignon,йолта́ш
277,Kamerad::N,kamarad,таҥ
278,Angelegenheit::N,afer,паша́
279,Anzahl::N,niver,чот
280,Art::N,sort,вид
281,Stück::N,tamm,ка́тыш
282,Stück::N,tamm,ла́стык
283,Teil::N,pezh,ужа́ш
284,Hälfte::N,hanterenn,пел
285,Hälfte::N,hanterenn,пе́ле
286,Kreis::N,kelc'h,ты́ртыш
287,Kreuz::N,kroaz,ыре́с
288,Linie::N,linenn,ли́ний
289,Strich::N,tenn,коре́ш
290,Abstand::N,distok,кокла́
291,Entfernung::N,keid,тора́
292,Entfernung::N,keid,ку́жыт
293,Entfernung::N,kehid,тора́
294,Entfernung::N,kehid,ку́жыт
295,Gegend::N,korn-bro,кунде́м
296,Platz::N,plasenn,ку́мдык
297,Ort::N,lec'h,вер
298,Ort::N,lec'h,о́лмо
299,Seite::N,tu,ӧ́рдыж
300,Mitte::N,kreiz,покше́л
301,Gegenstand::N,tra,наста́
302,Sache::N,tra,наста́
303,Rand::N,kantenn,тӱр
304,Kante::N,kantenn,тӱр
305,Ecke::N,korn,лук
306,Spitze::N,begell,вуй
307,Ende::N,dibenn,муча́ш
308,Loch::N,toull,рож
309,Muster::N,tresadenn,пеза́к
310,Muster::N,tresadenn,узо́р
311,Muster::N,tresadenn,ӱ́лгӧ
312,Größe::N,ment,кӱ́кшыт
313,Länge::N,hirder,ку́тыш
314,Höhe::N,uhelder,кӱ́кшыт
315,Gewicht::N,pouez,не́лыт
316,Menge::N,bern,чот
317,Haufen::N,bern,кы́шыл
318,Reihe::N,steud,рада́м
319,Boot::N,bag,пуш
320,Ruder::N,roeñv,эшка́к
321,Schlitten::N,trainell,тер
322,Schlitten::N,trainell,изде́р
323,Ski::N,ski,е́че
324,Last::N,karg,нӧ́лтыш
325,Gang::N,kerzh,ошкылма́ш
326,Schritt::N,paz,о́шкыл
327,Norden::N,norzh,йӱдйыма́л
328,Norden::N,hanternoz,йӱдйыма́л
329,Süden::N,su,кечывалве́л
330,Süden::N,kreisteiz,кечывалве́л
331,Westen::N,kuzh-heol,касве́л
332,Osten::N,reter,эрве́л
333,Osten::N,sav-heol,эрве́л
334,Holz::N,koad,пу
335,Brett::N,plankenn,оҥа́
336,Platte::N,plakenn,аста́р
337,Stütze::N,harp,чара́к
338,Stange::N,sparl,лома́ш
339,Stock::N,bazh,тоя́
340,Stab::N,bazh,вара́
341,Stab::N,bazh,кашта́
342,Rohr::N,tub,пуч
343,Rohr::N,korz,пуч
344,Haus::N,ti,пӧрт
345,Heim::N,kêr,мӧ́ҥгӧ
346,Ofen::N,forn,комака́
347,Fußboden::N,plañchod,кӱва́р
348,Tisch::N,taol,ӱсте́л
349,Stuhl::N,kador,пӱке́н
350,Wiege::N,kavell,шепка́
351,Bett::N,gwele,ва́кшыш
352,Regal::N,estajerenn,шӧ́рлык
353,Kiste::N,kased,шо́ндык
354,Kiste::N,kased,я́шлык
355,Fenster::N,prenestr,окна́
356,Tür::N,dor,омса́
357,Tor::N,portal,капка́
358,Zaun::N,sklotur,сава́р
359,Dach::N,toenn,леве́дыш
360,Leiter::N,skeul,тошка́лтыш
361,Besen::N,skubell,ӱштерво́штыр
362,Spaten::N,pal,ко́льмо
363,Schaufel::N,pal,сово́к
364,Schaufel::N,pal,су́ско
365,Gabel::N,fourchetez,ви́лке
366,Löffel::N,loa,па́не
367,Löffel::N,loa,совла́
368,Messer::N,kontell,кӱ́зӧ
369,Nagel::N,tach,пуда́
370,Netz::N,roued,вапш
371,Haken::N,krog,са́гыле
372,Griff::N,kemer,кыл
373,Schloss::N,potenn,кӧгӧ́н
374,Bild::N,skeudenn,сӱре́т
375,Figur::N,skeud,фигу́р
376,Figur::N,figur,фигу́р
377,Puppe::N,merc'hodenn,курча́к
378,Beutel::N,sac'h,меша́к
379,Bündel::N,feskenn,арша́ш
380,Tasche::N,sac'h,сумка́
381,Eimer::N,sailh,ведра́
382,Deckel::N,pallenn,ко́мдыш
383,Geschirr::N,listriaj,а́те
384,Sack::N,sac'h,куль
385,Sack::N,sac'h,меша́к
386,Tasse::N,tas,чу́кыр
387,Tasse::N,tas,чашка́
388,Topf::N,pod,ми́ске
389,Kessel::N,chaodouron,под
390,Essen::N,pred,ко́чкыш
391,Nahrung::N,boued,ку́рго
392,Speise::N,meuz,ко́чкыш
393,Fleisch::N,kig,шыл
394,Getreide::N,ed,шу́рно
395,Brei::N,yod,пу́чымыш
396,Brot::N,bara,ки́нде
397,Scheibe::N,tailhenn,ка́тыш
398,Fett::N,lard,коя́
399,Butter::N,amann,ӱй
400,Öl::N,eoul,ӱй
401,Salz::N,holen,шинча́л
402,Suppe::N,soubenn,шӱр
403,Honig::N,mel,мӱй
404,Milch::N,laezh,шӧр
405,Tee::N,te,чай
406,Leder::N,lêr,сура́н
407,Leder::N,lêr,шӱ́штӧ
408,Wolle::N,gloan,пун
409,Stoff::N,danvez,куэ́м
410,Stoff::N,danvez,посто́
411,Nadel::N,nadoz,и́ме
412,Faden::N,neudenn,шӱ́ртӧ
413,Knopf::N,bouton,по́лдыш
414,Knoten::N,skoulm,пышке́м
415,Farbe::N,liv,чия́
416,Kleidung::N,dilhad,чие́м
417,Kleidung::N,dilhad,вурге́м
418,Hemd::N,roc'hed,ту́выр
419,Kragen::N,gouzoug,сога́
420,Ärmel::N,milgin,шокш
421,Hose::N,bragoù,йола́ш
422,Gürtel::N,gouriz,ӱ́штӧ
423,Mütze::N,boned,упш
424,Schuh::N,botez,боти́нке
425,Stiefel::N,botez,кем
426,Ring::N,gwalenn,шерга́ш
427,Band::N,bagad,тасма́
428,Band::N,bagad,ле́нте
429,Kamm::N,krib,шерге́
430,Spiegel::N,melezour,вошто́нчыш
431,Riemen::N,lerenn,кӱзанӱ́штӧ
432,Schnur::N,kordenn,кере́м
433,Schnur::N,kordenn,кандыра́
434,Leine::N,roll,вӱра́ҥ
435,Decke::N,golo,леве́дыш
436,Decke::N,golo,одея́л
437,Kissen::N,goubenner,кӱ́пчык
438,Tuch::N,mezher,шо́выч
439,Handtuch::N,toailhon,со́лык
440,Kraft::N,nerzh,вий
441,Kraft::N,nerzh,куа́т
442,Stärke::N,nerzhder,куа́т
443,Stärke::N,nerzhder,карма́н
444,Gesundheit::N,yec'hed,таза́лык
445,Krankheit::N,klañved,чер
446,Schmerz::N,poan,ко́рштыш
447,Schmerz::N,droug,ко́рштыш
448,Wunde::N,gloazadenn,су́сыр
449,Fieber::N,terzhienn,йӱштыму́ж
450,Fieber::N,terzhienn,лихора́дке
451,Arznei::N,louzoù,эм
452,Brücke::N,pont,кӱва́р
453,Brunnen::N,puñs,вӱдвыне́м
454,Weide::N,prad,нурше́р
455,Pfad::N,gwenodenn,йолго́рно
456,Pfad::N,gwenodenn,сокма́к
457,Weg::N,hent,ко́рно
458,Straße::N,ru,ко́рно
459,Straße::N,hent,ко́рно
460,Dorf::N,kêr,ял
461,Dorf::N,kêriadenn,ял
462,Stadt::N,kêr,ола́
463,Brief::N,lizher,се́рыш
464,Buch::N,levr,книга́
465,Buchstabe::N,lizherenn,буква́
466,Zeitung::N,kazetenn,газе́т
467,Leben::N,buhez,и́лыш
468,Tod::N,marv,колыма́ш
469,Grab::N,bez,шӱга́р
470,Kirche::N,iliz,че́рке
471,Sünde::N,pec'hed,су́лык
472,Gott::N,doue,ю́мо
473,Arbeiter::N,labourer,паша́зе
474,Arbeiter::N,micherour,паша́зе
475,Chef::N,penn,тӧра́
476,Meister::N,mestr,маста́р
477,Arzt::N,mezeg,врач
478,Arzt::N,medisin,врач
479,Lehrer::N,skolaer,ту́ныктышо
480,Lehrer::N,kelenner,ту́ныктышо
481,Geld::N,arc'hant,окса́
482,Geschäft::N,stal,сатулыма́ш
483,Laden::N,stal,ке́выт
484,Preis::N,priz,ак
485,Ware::N,marc'hadourezh,сату́
486,Nutzen::N,gounidegezh,пайда́
487,Nutzen::N,lañs,пайда́
488,Nutzen::N,profit,пайда́
489,Nutzen::N,spleit,пайда́
490,Reichtum::N,pinvidigezh,поя́нлык
491,Welt::N,douar,тӱня́
492,Land::N,bro,эл
493,Staat::N,stad,кугыжа́ныш
494,König::N,roue,кугыжа́
495,Macht::N,galloud,власть
496,Grenze::N,harzoù,грани́ца
497,Krieg::N,brezel,сар
498,Feind::N,eneber,тушма́н
499,Gewalt::N,tâerder,виешлыма́ш
500,Kampf::N,kann,кредалма́ш
501,Bogen[Waffe]::N,gwareg,юҥе́ж
502,Pfeil::N,saezh,пикш
503,Gewehr::N,fuzuilh,пыча́л
504,Fehler::N,fazi,йо́ҥылыш
505,Lüge::N,gaou,шоя́к
506,Schaden::N,gwall,зия́н
507,Unglück::N,gwalleur,эҥге́к
508,Schuld::N,kablusted,тита́к
509,Schuld::N,kablusted,йола́
510,Schuld::N,pec'hedigezh,тита́к
511,Schuld::N,pec'hedigezh,йола́
512,Alter::N,oad,ийго́т
513,Schluss::N,diwezh,муча́ш
514,Zeit::N,amzer,жап
515,Zeit::N,amzer,па́гыт
516,Tag::N,deizh,ке́че
517,Morgen::N,beure,эр
518,Morgen::N,mintin,эр
519,Mittag::N,kreisteiz,кечыва́л
520,Abend::N,abardaez,кас
521,Nacht::N,noz,йӱд
522,Woche::N,sizhun,арня́
523,Monat::N,miz,ты́лзе
524,Jahr::N,bloaz,ий
525,Frühling::N,nevezamzer,шо́шо
526,Sommer::N,hañv,кеҥе́ж
527,Herbst::N,diskaramzer,шы́же
528,Winter::N,goañv,те́ле
529,Januar::N,Genver,шоркыйол
530,Januar::N,Genver,идалыкву́й
531,Januar::N,Genver,янва́рь
532,Februar::N,C'hwevrer,пургыж
533,Februar::N,C'hwevrer,февра́ль
534,März::N,Meurzh,ӱярня
535,März::N,Meurzh,март
536,April::N,Ebrel,апре́ль
537,Mai::N,Mae,ага
538,Mai::N,Mae,май
539,Juni::N,Mezheven,пеледыш
540,Juni::N,Mezheven,ию́нь
541,Juli::N,Gouhere,сӱрем
542,Juli::N,Gouhere,ию́ль
543,August::N,Eost,сорла
544,August::N,Eost,агарма́н
545,August::N,Eost,а́вгуст
546,September::N,Gwengolo,идым
547,September::N,Gwengolo,сентя́брь
548,Oktober::N,Here,шыжа
549,Oktober::N,Here,октя́брь
550,November::N,Du,кылме тылзе
551,November::N,Du,ноя́брь
552,Dezember::N,Kerzu,дека́брь
553,Montag::N,Lun,шо́чмо
554,Dienstag::N,Meurzh,ку́шкыжмо
555,Mittwoch::N,Merc'her,вӱрге́че
556,Donnerstag::N,Yaou,изарня́
557,Freitag::N,Gwener,кугарня́
558,Samstag::N,Sadorn,шуматке́че
559,Sonntag::N,Sul,рушарня́
560,groß::A,bras,кугу́
561,klein::A,bihan,изи́
562,lang::A,hir,кужу́
563,kurz::A,berr,кӱ́чык
564,breit::A,ledan,кумда́
565,schmal::A,strizh,а́ҥысыр
566,dicht::A,stank,ну́гыдо
567,dick[Gegenstand]::A,tev,кӱ́жгӧ
568,dünn::A,moan,ви́чкыж
569,fein::A,munut,ты́гыде
570,fest::A,start,чо́ткыдо
571,flach::A,plaen,лапка́
572,glatt::A,lintr,яклака́
573,glatt::A,levn,яклака́
574,hart::A,kalet,пе́ҥгыде
575,weich::A,blot,пу́шкыдо
576,rund::A,ront,йырге́шке
577,spitz::A,poentet,коша́р
578,scharf::A,dremm,пӱ́сӧ
579,stumpf::A,talsoc'h,токма́к
580,schwer::A,pounner,не́ле
581,schön::A,kaer,сы́лне
582,heiß::A,tomm,шо́кшо
583,warm::A,tomm,ле́ве
584,kalt::A,yen,йӱ́штӧ
585,kühl::A,yen,юа́лге
586,kühl::A,yen,южгата́
587,frisch::A,fresk,свежа́
588,feucht::A,gleb,вӱ́дыжгӧ
589,nass::A,gleb,нӧ́рӧ
590,trocken::A,sec'h,ку́кшо
591,voll::A,leun,тич
592,leer::A,goullo,яра́
593,offen::A,digor,виш
594,geschlossen::A,serr,пе́тырыме
595,geschlossen::A,serr,тӱ́чмӧ
596,sauber::A,naet,ару́
597,sauber::A,naet,янда́р
598,schmutzig::A,lous,лавыра́н
599,schmutzig::A,lous,ла́выргыше
600,roh::A,kriz,кӱ́чымӧ
601,reif::A,darev,лӧза́
602,lecker::A,lipous,ту́тло
603,lecker::A,saourus,ту́тло
604,süß::A,dous,ше́ре
605,bitter::A,c'hwerv,ко́чо
606,sauer::A,trenk,шо́по
607,hell::A,sklaer,во́лгыдо
608,dunkel::A,teñval,пычке́мыш
609,schwarz::A,du,шола́
610,weiß::A,gwenn,ош
611,rot::A,ruz,йошка́р
612,gelb::A,melen,сар
613,blau::A,glas,ка́нде
614,grün::A,gwer,ужа́р
615,grau::A,louet,сур
616,bunt::A,liesliv,олача́
617,billig::A,marc'had-mat,шу́лдо
618,teuer::A,ker,ше́рге
619,wertvoll::A,prizius,шергака́н
620,blind::A,dall,со́кыр
621,taub::A,bouzar,соҥгыра́
622,kräftig::A,start,куа́тле
623,stark::A,kreñv,вия́н
624,schwach::A,gwan,а́лдыме
625,fett::A,lard,коя́
626,schlank::A,sinkl,йоштката́
627,schlank::A,sinkl,яжу́
628,hübsch::A,koant,чеве́р
629,böse::A,gwall,шы́де
630,dumm::A,glep,аҥыра́
631,faul::A,lezirek,його
632,fleißig::A,studius,ты́ршыше
633,geizig::A,tost,чаҥга́
634,klug::A,speredek,уша́н
635,geschickt::A,dornet,уста́
636,lieb::A,koant,ала́л
637,lustig::A,laouen,весела́
638,sanft::A,flour,ны́жылге
639,hungrig::A,marnaon,шу́жышо
640,krank::A,klañv,че́рле
641,nackt::A,noazh,чарама́т
642,traurig::A,trist,ойга́н
643,lebendig::A,bev,и́лыше
644,gut::A,mad,сай
645,schlecht::A,fall,уда́
646,schlecht::A,fall,шӱ́кшӧ
647,schlecht::A,gwall,уда́
648,schlecht::A,gwall,шӱ́кшӧ
649,richtig::A,reizh,чы́нле
650,schlimm::A,gwall,аля́к
651,schlimm::A,gwall,тыра́н
652,wahr::A,gwir,чы́нле
653,wahr::A,gwir,настоя́щий
654,alt::A,kozh,то́што
655,neu::A,nevez,у
656,ehemalig::A,kozh,о́нчычсо
657,ehemalig::A,kozh,онда́кысе
658,alt[Lebewesen]::A,kozh,шо́нто
659,jung::A,yaouank,са́мырык
660,arm::A,paour,нужна́
661,reich::A,pinvidik,поя́н
662,bekannt::A,anavezet,па́лыме
663,berühmt::A,brudet,лӱ́млӧ
664,fremd::A,dizanav,йот
665,verschieden::A,disheñel,тӱ́рлӧ
666,nah::A,nes,ли́шыл
667,fern::A,diabell,тора́
668,fern::A,diabell,мӱ́ндыр
669,linker::A,kleiz,шола́
670,rechter::A,dehoù,пурла́
671,anderer::A,all,вес
672,anderer::A,all,мо́ло
673,erster::A,kentañ,и́кымше
674,zweiter::A,eil,ко́кымшо
675,dritter::A,trede,ку́мшо
676,letzter::A,diwezhañ,пыта́ртыш
677,allein::ADV,e-unan,шкет
678,auf einmal::ADV,ar un dro,икана́ште
679,zusammen::ADV,asambles,пырля́
680,lange::ADV,pell,кужу́н
681,plötzlich::ADV,en un taol,кенета́
682,sofort::ADV,diouzhtu,кызыта́к
683,später::ADV,diwezhatoc'h,варара́к
684,jetzt::ADV,bremañ,ы́нде
685,jetzt::ADV,bremañ,кы́зыт
686,heute::ADV,hiziv,та́че
687,morgen::ADV,arc'hoazh,эрла́
688,bald::ADV,hepdale,вашке́
689,dann::ADV,a-c'houde,вара́
690,gestern::ADV,dec'h,теҥге́че
691,einst::ADV,gwechall,икана́
692,damals::ADV,neuze,туна́м
693,danach::ADV,goude,вара́
694,vorher::ADV,diagent,о́нчыч
695,zuerst::ADV,da gentañ,онда́к
696,einmal::ADV,ur wech,икана́
697,manchmal::ADV,a-wechoù,ка́шын
698,manchmal::ADV,a-wechoù,кокла́н
699,oft::ADV,alies,чӱ́чкыдын
700,immer::ADV,atav,эре́
701,immer::ADV,atav,ту́тыш
702,immer::ADV,bepred,эре́
703,immer::ADV,bepred,ту́тыш
704,niemals::ADV,gwech ebet,ок нигуна́м
705,hier::ADV,amañ,ты́ште
706,hierhin::ADV,dre amañ,ты́шке
707,hierhin::ADV,dre amañ,тыш
708,von hier::ADV,alemañ,тыше́ч
709,von hier::ADV,alemañ,тыве́ч
710,dort::ADV,aze,ту́што
711,dort::ADV,ahont,ту́што
712,dorthin::ADV,di,туш
713,dorthin::ADV,di,ту́шко
714,dorthin::ADV,aze,туш
715,dorthin::ADV,aze,ту́шко
716,dorthin::ADV,ahont,туш
717,dorthin::ADV,ahont,ту́шко
718,geradeaus::ADV,war-eeun,вик
719,vorwärts::ADV,war-raok,о́нчыко
720,rückwärts::ADV,war-lerc'h,шеҥге́к
721,zurück::ADV,war-dreñv,мӧҥге́ш
722,unten::ADV,en traoñ,ӱ́лнӧ
723,unten::ADV,en traoñ,йыма́лне
724,hinab::ADV,a-izel,йыма́к
725,oben::ADV,en nec'h,кӱ́шнӧ
726,oben::ADV,en nec'h,ӱмба́лне
727,hinauf::ADV,e-krec'h,кӱ́ш
728,hinauf::ADV,e-krec'h,кӱ́шкӧ
729,überall::ADV,dre-holl,чыла́ вере́
730,nicht::ADV,ne ... ket,ок
731,nicht::ADV,ne ... ket,о́геш
732,ein wenig::ADV,un tammig,изи́ш
