,Concept_ID,ko,sq
418,Deckel::N,뚜껑,mbulesë
419,Geschirr::N,식시,enë
420,Sack::N,조갑,thes
421,Sack::N,조갑,torbë
422,Tasse::N,차잔,filxhan
423,Topf::N,단지,kusi
424,Topf::N,단지,tenxhere
425,Kessel::N,주전자,kazan
426,Essen::N,먹기,ngrënie
427,Nahrung::N,식료,ushqim
428,Speise::N,음식물,gatesë
429,Fleisch::N,고기,mish
430,Getreide::N,곡물,drithë
431,Brei::N,젤리,qull
432,Brot::N,빵,bukë
433,Scheibe::N,원반,fetë
434,Fett::N,기름,lyrë
435,Fett::N,기름,yndyrë
436,Butter::N,버터,gjalpë
437,Öl::N,올리브유,vaj
438,Salz::N,소금,kripë
439,Suppe::N,국,supë
440,Suppe::N,국,çorbë
441,Suppe::N,수프,supë
442,Suppe::N,수프,çorbë
443,Honig::N,감미,mjaltë
444,Milch::N,유즙,qumësht
445,Tee::N,차,çaj
446,Leder::N,가죽,lëkurë
447,Wolle::N,양털,lesh
448,Stoff::N,패료,pëlhurë
449,Nadel::N,바늘,gjilpërë
450,Faden::N,콘실,pe
451,Faden::N,콘실,fije
452,Knopf::N,단추,kopsë
453,Knoten::N,곁절,komb
454,Farbe::N,색,bojë
455,Kleidung::N,옷입기,veshje
456,Hemd::N,속옷,këmishë
457,Kragen::N,깃,jakë
458,Ärmel::N,소매,mëngë
459,Hose::N,바지,brekë
460,Gürtel::N,밴드,rrip
461,Mütze::N,모자,kësulë
462,Schuh::N,구두,këpucë
463,Stiefel::N,장화,çizme
464,Ring::N,고리,unazë
465,Band::N,리본,shirit
466,Kamm::N,빗,krehër
467,Spiegel::N,거울,pasqyrë
468,Riemen::N,가죽끈,rrip
469,Schnur::N,밧줄,litar
470,Schnur::N,밧줄,cikomë
471,Leine::N,고삐줄,rrip
472,Decke::N,이부자리,batanije
473,Kissen::N,깔개,jastëk
474,Tuch::N,천,shami
475,Handtuch::N,수건,peshqir
476,Kraft::N,세력,forcë
477,Stärke::N,힘,koll
478,Gesundheit::N,위생,shëndet
479,Krankheit::N,병,sëmundje
480,Schmerz::N,아픔고통,dhimbje
481,Wunde::N,상처,plagë
482,Fieber::N,열별,ethe
483,Arznei::N,약,ilaç
484,Brücke::N,교량,urë
485,Brunnen::N,원천,pus
486,Weide::N,목장,kullotë
487,Pfad::N,좁은길,ravë
488,Pfad::N,좁은길,shteg
489,Weg::N,길,udhë
490,Weg::N,길,shteg
491,Straße::N,길,rrugë
492,Dorf::N,촌,fshat
493,Dorf::N,촌,katund
494,Dorf::N,촌락,fshat
495,Dorf::N,촌락,katund
496,Stadt::N,도시,qytet
497,Brief::N,서한,letër
498,Buch::N,책,libër
499,Buchstabe::N,문자,shkronjë
500,Zeitung::N,신문,gazetë
501,Leben::N,삶,jetë
502,Tod::N,죽음,mortje
503,Grab::N,무덤,varr
504,Kirche::N,교회,kishë
505,Sünde::N,부정,mëkat
506,Sünde::N,부정,gjynah
507,Gott::N,하느님,hy
508,Gott::N,하느님,zot
509,Arbeiter::N,일하는사람,punëtor
510,Chef::N,사장,shef
511,Chef::N,사장,drejtues
512,Meister::N,명인,mjeshtër
513,Meister::N,대가,mjeshtër
514,Arzt::N,의사,mjek
515,Arzt::N,의사,doktor
516,Lehrer::N,교사,mësues
517,Lehrer::N,교사,arsimtar
518,Geld::N,돈,para
519,Geld::N,돈,holla
520,Geschäft::N,일,ujdi
521,Geschäft::N,일,biznes
522,Laden::N,가게,dyqan
523,Preis::N,가격,çmim
524,Ware::N,상품,mall
525,Nutzen::N,이익,dobi
526,Nutzen::N,이익,leverdi
527,Reichtum::N,많음,kamje
528,Reichtum::N,많음,pasuri
529,Welt::N,세상,botë
530,Land::N,지방,vend
531,Staat::N,국가,shtet
532,König::N,국왕,mbret
533,Macht::N,힘,fuqi
534,Macht::N,힘,pushtet
535,Grenze::N,국경,kufi
536,Krieg::N,전쟁,luftë
537,Feind::N,적,armik
538,Gewalt::N,권력,dhunë
539,Kampf::N,전투,luftim
540,Bogen[Waffe]::N,활,hark
541,Pfeil::N,화살,shigjetë
542,Gewehr::N,무기,pushkë
543,Fehler::N,오류,gafë
544,Fehler::N,오류,gabim
545,Lüge::N,거짓말,gënjeshtër
546,Schaden::N,손상,dëm
547,Schaden::N,손상,zarar
548,Unglück::N,불행,fatkeqësi
549,Schuld::N,부채,faj
550,Alter::N,연령,moshë
551,Schluss::N,마감,fund
552,Zeit::N,때,kohë
553,Zeit::N,시간,kohë
554,Tag::N,하루,ditë
555,Morgen::N,이침,mëngjes
556,Mittag::N,대낮,mesditë
557,Abend::N,저녁,mbrëmje
558,Nacht::N,밤,natë
559,Woche::N,근무일,javë
560,Monat::N,달,muaj
561,Jahr::N,해,vit
562,Frühling::N,봄,pranverë
563,Sommer::N,여름,verë
564,Herbst::N,가을,vjeshtë
565,Winter::N,겨울,dimër
566,Januar::N,일월,janar
567,Februar::N,이월,shkurt
568,März::N,삼월,mars
569,April::N,사월,prill
570,Mai::N,오월,maj
571,Juni::N,유월,qershor
572,Juli::N,칠월,korrik
573,August::N,팔월,gusht
574,September::N,구월,shtator
575,Oktober::N,시월,tetor
576,November::N,십일월,nëntor
577,Dezember::N,십이월,dhjetor
578,Montag::N,월요일,hënë
579,Dienstag::N,화요일,martë
580,Mittwoch::N,수요일,mërkurë
581,Donnerstag::N,모교일,enjte
582,Freitag::N,그묘일,premte
583,Samstag::N,토요일,shtunë
584,Sonntag::N,일요일,diel
585,groß::A,큰,madh
586,klein::A,자근,vogël
587,lang::A,긴,gjatë
588,kurz::A,짧은,shkurtër
589,breit::A,넓은,gjerë
590,schmal::A,좁은,ngushtë
591,dicht::A,농밀한,dendur
592,dick[Gegenstand]::A,두꺼운,trashë
593,dünn::A,얇은,hollë
594,fein::A,미세한,imët
595,fest::A,굳은,fortë
596,flach::A,얕은,sheshtë
597,glatt::A,반들반들한,rrafshët
598,hart::A,굳은,fortë
599,weich::A,연한,butë
600,rund::A,둥근,rrumbullakët
601,spitz::A,뾰족한,majëmprehtë
602,scharf::A,날카로운,mprehtë
603,stumpf::A,무딘,topitur
604,schwer::A,무거운,rëndë
605,schön::A,멋진,bukur
606,heiß::A,뜨거운,nxehtë
607,warm::A,따뜻한,ngrohtë
608,kalt::A,찬,ftohtë
609,kühl::A,서늘한,freskët
610,frisch::A,신선한,pastër
611,feucht::A,축축한,lagësht
612,nass::A,젖은,lagur
613,trocken::A,마른,thatë
614,voll::A,완전한,plotë
615,leer::A,빈,bosh
616,leer::A,빈,zbrazët
617,offen::A,열린,hapur
618,geschlossen::A,닫힌,mbyllur
619,sauber::A,깨끗한,dëlirë
620,schmutzig::A,더러운,ndyrë
621,roh::A,날게잇의,gjallë
622,reif::A,이근,arrirë
623,lecker::A,맛있는,shijshëm
624,süß::A,단,ëmbël
625,bitter::A,찌르는듯한,hidhur
626,sauer::A,산성의,thartë
627,hell::A,밝은,me dritë
628,dunkel::A,어두운,errët
629,schwarz::A,검은,i zi
630,weiß::A,하얀,bardhë
631,rot::A,붉은,kuq
632,gelb::A,황색,verdhë
633,blau::A,푸른,blu
634,blau::A,푸른,kaltër
635,grün::A,녹색의,blertë
636,grün::A,녹색의,gjelbër
637,grau::A,회색의,hirtë
638,grau::A,회색의,bojë hiri
639,bunt::A,알록달록한,shumëngjyrëshëm
640,billig::A,싼,lirë
641,teuer::A,값비산,shtrenjtë
642,wertvoll::A,가치가많은,çmuar
643,wertvoll::A,가치가많은,vlershëm
644,blind::A,눈먼,qorr
645,blind::A,눈먼,verbër
646,taub::A,무감간한,shurdhër
647,kräftig::A,강장한,fuqishëm
648,stark::A,강한,fortë
649,schwach::A,약한,dobët
650,fett::A,실찐,dhjamur
651,schlank::A,호리호리한,hollë
652,hübsch::A,예쁜,bukur
653,hübsch::A,예쁜,hijshëm
654,böse::A,나쁜,keq
655,dumm::A,어리석은,teveqel
656,faul::A,너덜너덜한,dembel
657,fleißig::A,근면한,zellshëm
658,geizig::A,인색한,kurnac
659,geizig::A,인색한,dorështrënguar
660,geschickt::A,교묘한,aftë
661,lieb::A,친애하는,dashur
662,lustig::A,유쾌한,gëzuar
663,sanft::A,온화한,butë
664,hungrig::A,배고픈,uritur
665,krank::A,병든,sëmurë
666,nackt::A,벌거벗은,lakuriq
667,nackt::A,벌거벗은,zhveshur
668,traurig::A,슬픈,trishtuar
669,lebendig::A,살아있는,gjallë
670,gut::A,좋은,mirë
671,schlecht::A,나쁜,keq
672,richtig::A,바른,drejtë
673,schlimm::A,못된,keq
674,wahr::A,참된,vërtetë
675,alt::A,늙은,vjetër
676,neu::A,새,i ri
677,ehemalig::A,전의,dikurshëm
678,alt[Lebewesen]::A,낡은,plak
679,jung::A,젊은,i ri
680,arm::A,가난한,varfër
681,arm::A,가난한,vobektë
682,reich::A,풍부한,pasur
683,bekannt::A,저명한,njohur
684,berühmt::A,유명한,famshëm
685,fremd::A,타처이,huaj
686,verschieden::A,따른,ndryshëm
687,nah::A,가까운,afërt
688,fern::A,먼,largët
689,linker::A,왼쭉의,majtë
690,rechter::A,오른쪽의,djathtë
691,anderer::A,다른,tjetër
692,erster::A,첫째,parë
693,zweiter::A,둘째,dytë
694,dritter::A,셋째,i tretë
695,letzter::A,의후자의,fundit
696,allein::ADV,훌로,vetëm
697,auf einmal::ADV,갑자기,njëkohësisht
698,zusammen::ADV,모아서,bashkë
699,zusammen::ADV,모아서,së bashku
700,lange::ADV,오래,për një kohë të gjatë
701,plötzlich::ADV,둘연한,befas
702,sofort::ADV,즉시,menjëherë
703,sofort::ADV,즉시,aty për aty
704,später::ADV,보다늦은,më vonë
705,jetzt::ADV,목하,tash
706,heute::ADV,오늘,sot
707,morgen::ADV,내일,nesër
708,bald::ADV,곱,shpejt
709,bald::ADV,곱,së shpejti
710,dann::ADV,그경우에,pastaj
711,gestern::ADV,어제,dje
712,einst::ADV,옛날에,dikur
713,damals::ADV,그때에,atëherë
714,danach::ADV,그 뒤에,mandej
715,vorher::ADV,미리,më parë
716,zuerst::ADV,최초로,së pari
717,einmal::ADV,한번,njëherë
718,manchmal::ADV,땓대로,nganjëherë
719,oft::ADV,땓대로,shpesh
720,immer::ADV,늘,përherë
721,immer::ADV,늘,gjithnjë
722,niemals::ADV,결코...(하지)않다,kurrë
723,niemals::ADV,결코...(하지)않다,asnjëherë
724,hier::ADV,여기,këtu
725,hierhin::ADV,여기로,knej
726,dort::ADV,거기,aty
727,dort::ADV,거기,atje
728,dorthin::ADV,저기예,anej
729,geradeaus::ADV,곧장,drejt
730,vorwärts::ADV,앞으로,mbroth
731,vorwärts::ADV,앞으로,përpara
732,rückwärts::ADV,뒤로,mbrapsht
733,zurück::ADV,제자리로,prapa
734,zurück::ADV,제자리로,mbrapsht
735,unten::ADV,아래에,poshtë
736,hinab::ADV,아래쪽으로,përposh
737,oben::ADV,위에,lart
738,oben::ADV,위에,sipër
739,hinauf::ADV,위쪽으로,lart
740,hinauf::ADV,위쪽으로,përpjetë
741,überall::ADV,도처에,kudo
742,nicht::ADV,안,s'
743,nicht::ADV,안,nuk
744,ein wenig::ADV,적음,një tis
745,kaum::ADV,가의,mezi
746,sehr::ADV,자주,fort
747,sehr::ADV,자주,shumë
748,so::ADV,그와같이,ashtu
749,so::ADV,그와같이,kështu
750,noch::ADV,아직,ende
751,noch::ADV,아직,akoma
752,nur::ADV,다만,vetëm
753,schon::ADV,이미,tashmë
754,wieder::ADV,다시,përsëri
755,vergebens::ADV,헛되이,kot
756,vor::PRP,앞에,para
757,hinter::PRP,뒤에,prapa
758,hinter::PRP,뒤에,mbrapa
759,unter::PRP,잍에,nën
760,durch::PRP,통고하여,nëpër
761,neben::PRP,와나란히,pranë
762,neben::PRP,와나란히,përbri
763,zwischen::PRP,의사이로,midis
764,zwischen::PRP,의사이로,ndërmjet
765,wegen::PRP,때문에,për
766,dies::PRN,이,ky
767,das::PRN,저,ky
768,alles::PRN,모든것,gjithçka
769,ich::PRN,나,unë
770,du::PRN,너,ti
771,er::PRN,그,ai
772,wir::PRN,우리,ne
773,ihr::PRN,너희들,ju
774,sie::PRN,그들,ata
775,was::FPRN,뭣,ç'
776,was::FPRN,뭣,çfarë
777,wer::FPRN,누구,kush
778,wo::FADV,어디,ku
779,wohin::FADV,어디로,për ku
780,wie::FADV,어떻게,si
781,warum::FADV,왜,pse
782,warum::FADV,왜,përse
783,wieviel::FNUM,얼마만큰,sa
784,eins::NUM,하나,një
785,zwei::NUM,둘,dy
786,drei::NUM,셋,tre
787,vier::NUM,넷,katër
788,fünf::NUM,다섯,pesë
789,sechs::NUM,여섯,gjashtë
790,sieben::NUM,일곱,shtatë
791,acht::NUM,여덟,tetë
792,neun::NUM,아홉,nëntë
793,zehn::NUM,열,dhjetë
794,elf::NUM,열하나,njëmbëdhjetë
795,zwölf::NUM,열둘,dymbëdhjetë
796,zwanzig::NUM,스물,njëzet
797,dreißig::NUM,서름,tridhjetë
798,vierzig::NUM,마흔,dyzet
799,fünfzig::NUM,숸,pesëdhjetë
800,sechzig::NUM,에순,gjashtëdhjetë
801,siebzig::NUM,일흔,shtatëdhjetë
802,achtzig::NUM,여든,tetëdhjetë
803,neunzig::NUM,아흔,nëntëdhjetë
804,hundert::NUM,백,qind
805,tausend::NUM,천,mijë
806,und::CNJ,와,e
807,und::CNJ,와,dhe
808,oder::CNJ,아니면,a
809,oder::CNJ,아니면,apo
810,stehen::V,서다,rri
811,sitzen::V,앉다,rri
812,liegen::V,눕다,rri shtrirë
813,hängen::V,달다,varem
814,werden::V,되다,bëhem
815,passieren::V,지장옶다,ndodh
816,beginnen::V,시작되다,filloj
817,enden::V,큳내다,përfundoj
818,wechseln::V,병경하다,ndërroj
819,aufgehen[Sonne]::V,뜨다,hapem
820,untergehen[Sonne]::V,지다,hyj
