,Concept_ID,es,sk
663,flach::A,plano,rovný
664,flach::A,plano,plochý
665,glatt::A,liso,hladký
666,hart::A,duro,tvrdý
667,weich::A,muelle,mäkký
668,rund::A,redondo,guľatý
669,rund::A,redondo,okrúhly
670,spitz::A,agudo,končitý
671,spitz::A,apuntado,končitý
672,scharf::A,agudo,ostrý
673,scharf::A,afilado,ostrý
674,stumpf::A,sin filo,tupý
675,schwer::A,pesado,ťažký
676,schön::A,bello,pekný
677,schön::A,bello,krásny
678,schön::A,hermoso,pekný
679,schön::A,hermoso,krásny
680,heiß::A,caluroso,horúci
681,warm::A,cálido,teplý
682,warm::A,caliente,teplý
683,kalt::A,frío,studený
684,kühl::A,fresco,chladný
685,frisch::A,fresco,svieži
686,feucht::A,húmedo,vlhký
687,feucht::A,húmedo,zvlhnutý
688,nass::A,mojado,mokrý
689,trocken::A,seco,suchý
690,voll::A,lleno,plný
691,leer::A,vacío,prázdny
692,offen::A,abierto,otvorený
693,geschlossen::A,cerrado,zavretý
694,sauber::A,limpio,čistý
695,schmutzig::A,sucio,špinavý
696,roh::A,crudo,surový
697,reif::A,maduro,zrelý
698,lecker::A,rico,chutný
699,lecker::A,sabroso,chutný
700,süß::A,dulce,sladký
701,bitter::A,amargo,horký
702,sauer::A,agrio,kyslý
703,hell::A,claro,jasný
704,hell::A,claro,svetlý
705,dunkel::A,oscuro,temný
706,schwarz::A,negro,čierny
707,weiß::A,blanco,biely
708,rot::A,rojo,červený
709,gelb::A,amarillo,žltý
710,blau::A,azul,modrý
711,blau::A,azul,belasý
712,grün::A,verde,zelený
713,grau::A,gris,šedý
714,bunt::A,multicolor,pestrý
715,billig::A,barato,lacný
716,teuer::A,caro,drahý
717,wertvoll::A,valioso,cenný
718,wertvoll::A,precioso,cenný
719,blind::A,ciego,slepý
720,taub::A,sordo,hluchý
721,kräftig::A,fuerte,silný
722,stark::A,fuerte,silný
723,stark::A,vigoroso,silný
724,schwach::A,débil,slabý
