,Concept_ID,zh,br
134,Kuh::N,母牛,buoc'h
135,Bulle::N,公牛,tarv
136,Pferd::N,马,marc'h
137,Schaf::N,羊,dañvad
138,Schwein::N,猪,pemoc'h
139,Hund::N,狗,ki
140,Katze::N,猫,kazh
141,Bär::N,熊,arzh
142,Eichhörnchen::N,松鼠,gwiñver
143,Elch::N,麋鹿,karv-dour
144,Fuchs::N,狐狸,louarn
145,Hase::N,兔子,gad
146,Maus::N,老鼠,logodenn
147,Wolf::N,狼,bleiz
148,Vogel::N,鸟,labous
149,Schwarm::N,群,nijad
150,Huhn::N,鸡,yar
151,Hahn::N,公鸡,kilhog
152,Gans::N,鹅,gwazenn
153,Adler::N,鹰,erer
154,Ente::N,鸭,houad
155,Eule::N,猫头鹰,toud
156,Kranich::N,鹤,garan
157,Krähe::N,乌鸦,bran
158,Kuckuck::N,布谷鸟,koukoug
159,Schwan::N,天鹅,alarc'h
160,Fisch::N,鱼,pesk
161,Barsch::N,鲈鱼,brell
162,Hecht::N,狗鱼,beked
163,Schlange[Tier]::N,蛇,naer
164,Wurm::N,蠕虫,preñv
165,Spinne::N,蜘蛛,kevnidenn
166,Ameise::N,蚂蚁,merion
167,Laus::N,虱子,laouenn
168,Mücke::N,蚊子,moustik
169,Fliege::N,苍蝇,kelienenn
170,Schmetterling::N,蝴蝶,balafenn
171,Beere::N,将果,hog
172,Apfel::N,苹果,aval
173,Pilz::N,蘑菇,kabell-touseg
174,Zwiebel::N,洋葱,ognonenn
175,Saat::N,种子,had
176,Korn::N,谷粒,ed
177,Heu::N,干草,foenn
178,Schale::N,壳,peliadur
179,Grube::N,坑,
180,Falle::N,圈套,pech
181,Schlinge::N,活扣,krouglas
182,Spur::N,踪迹,
183,Asche::N,灰烬,ludu
184,Dreck::N,污垢,fank
185,Eisen::N,铁,houarn
186,Gold::N,金子,aour
187,Silber::N,银,arc'hant
188,Kohle::N,煤,glaou
189,Glas::N,玻璃,gwer
190,Lehm::N,粘土,
191,Sand::N,沙,traezh
192,Mensch::N,人,den
193,Mann::N,男子,den
194,Frau::N,妇女,maouez
195,Kind::N,小孩,bugel
196,Junge::N,男孩,paotr
197,Mädchen::N,女孩,plac'h
198,Familie::N,家庭,familh
199,Großvater::N,祖父,tad-kozh
200,Großmutter::N,祖母,mamm-gozh
201,Eltern::N,父母,kerent
202,Vater::N,父亲,tad
203,Mutter::N,母亲,mamm
204,Sohn::N,儿子,mab
205,Tochter::N,女儿,merc'h
206,Bruder::N,兄弟,breur
207,Schwester::N,姐妹,c'hoar
208,Onkel::N,伯父,eontr
209,Tante::N,阿姨,moereb
210,Ehemann::N,丈夫,gwaz
211,Ehefrau::N,妻子,gwreg
212,Freude::N,愉快,levenez
213,Gelächter::N,大笑,c'hoarzherezh
214,Glück::N,运气,chañs
215,Kummer::N,苦恼,doan
216,Wunsch::N,愿望,c'hoant
217,Lust::N,乐趣,c'hoant
218,Geist::N,精神,spered
219,Gedanke::N,思想,soñj
220,Gedächtnis::N,记性,eñvor
221,Verstand::N,理智,skiant
222,Sinn::N,感觉,ster
223,Grund::N,理由,kaoz
224,Wahrheit::N,真理,gwirionez
225,Gespräch::N,谈话,kaozeadenn
226,Märchen::N,童话,kaoz korriganez
227,Erzählung::N,故事,kontadenn
228,Nachricht::N,消息,keloù
229,Neuigkeit::N,新闻,kelaouenn
230,Name::N,名字,anv
231,Rätsel::N,谜语,divinatez
232,Rede::N,讲话,diskour
233,Sprache::N,语言,yezh
234,Stimme::N,声音,mouezh
235,Wort::N,词,ger
236,Zeichen::N,标记,sin
237,Ruf::N,呼喊,galv
238,Lärm::N,噪音,trouz
239,Laut::N,响声,
240,Ton::N,声音,ton
241,Lied::N,歌曲,kanaouenn
242,Ruhe::N,安静,sioulded
243,Leute::N,人们,tud
244,Volk::N,人民,pobl
245,Arbeit::N,劳动,labour
246,Gast::N,客人,kouviad
247,Geschenk::N,礼物,prof
248,Spiel::N,游戏,c'hoari
249,Gesellschaft::N,陪同,kompagnunezh
250,Gesellschaft::N,陪同,kavandad
251,Hilfe::N,帮助,sikour
252,Freund::N,朋友,mignon
253,Kamerad::N,同志,kamarad
254,Angelegenheit::N,事情,afer
255,Anzahl::N,数目,niver
256,Art::N,种类,sort
257,Stück::N,块,tamm
258,Teil::N,部分,pezh
259,Hälfte::N,一半,hanterenn
260,Kreis::N,圆,kelc'h
261,Kreuz::N,十字架,kroaz
262,Linie::N,线条,linenn
263,Strich::N,划,tenn
264,Abstand::N,距离,distok
265,Entfernung::N,距离,keid
266,Entfernung::N,距离,kehid
267,Gegend::N,地区,korn-bro
268,Platz::N,场所,plasenn
269,Ort::N,地点,lec'h
270,Seite::N,面,tu
271,Mitte::N,中间,kreiz
272,Gegenstand::N,物品,tra
273,Sache::N,物,tra
274,Rand::N,边,kantenn
275,Kante::N,棱,kantenn
276,Ecke::N,角,korn
277,Spitze::N,尖,begell
278,Ende::N,结尾,dibenn
279,Loch::N,洞,toull
280,Winkel::N,角度,
281,Muster::N,模型,tresadenn
282,Größe::N,大小,ment
283,Länge::N,长度,hirder
284,Höhe::N,高度,uhelder
285,Gewicht::N,重量,pouez
286,Menge::N,数量,bern
287,Haufen::N,堆,bern
288,Reihe::N,行,steud
289,Boot::N,小船,bag
290,Ruder::N,奖,roeñv
291,Schlitten::N,雪橇,trainell
292,Ski::N,雪板,ski
293,Lagerfeuer::N,营火,
294,Last::N,负担,karg
295,Gang::N,行走,kerzh
296,Schritt::N,步伐,paz
297,Norden::N,北,norzh
298,Norden::N,北,hanternoz
299,Süden::N,南,su
300,Süden::N,南,kreisteiz
301,Westen::N,西,kuzh-heol
302,Osten::N,东,reter
303,Osten::N,东,sav-heol
304,Holz::N,木材,koad
305,Brett::N,木板,plankenn
306,Platte::N,平板,plakenn
307,Stütze::N,支架,harp
308,Stange::N,杆,sparl
309,Stock::N,棒,bazh
310,Stab::N,棍,bazh
311,Rohr::N,管子,tub
312,Rohr::N,管子,korz
313,Haus::N,房屋,ti
314,Heim::N,家,kêr
315,Ofen::N,炉子,forn
316,Fußboden::N,地板,plañchod
317,Tisch::N,桌子,taol
318,Stuhl::N,椅子,kador
319,Wiege::N,摇蓝,kavell
320,Bett::N,床,gwele
321,Regal::N,架子,estajerenn
322,Kiste::N,箱子,kased
323,Fenster::N,窗户,prenestr
324,Tür::N,门,dor
325,Tor::N,大门,portal
326,Zaun::N,篱笆,sklotur
327,Dach::N,屋顶,toenn
328,Leiter::N,梯子,skeul
329,Besen::N,扫帚,skubell
330,Spaten::N,铁锹,pal
331,Schaufel::N,铁锹,pal
332,Gabel::N,叉,fourchetez
333,Löffel::N,食匙,loa
334,Messer::N,刀,kontell
335,Nagel::N,钉子,tach
336,Netz::N,网,roued
337,Haken::N,钩子,krog
338,Griff::N,把柄,kemer
339,Schloss::N,锁,potenn
340,Bild::N,图画,skeudenn
341,Figur::N,人像,skeud
342,Figur::N,人像,figur
343,Puppe::N,娃娃,merc'hodenn
344,Beutel::N,袋子,sac'h
345,Bündel::N,捆,feskenn
346,Tasche::N,手提包,sac'h
347,Eimer::N,桶,sailh
348,Deckel::N,盖子,pallenn
349,Geschirr::N,餐具,listriaj
350,Sack::N,袋子,sac'h
351,Tasse::N,杯子,tas
352,Topf::N,锅,pod
353,Kessel::N,水壶,chaodouron
354,Essen::N,进餐,pred
355,Nahrung::N,食物,boued
356,Speise::N,菜肴,meuz
357,Fleisch::N,肉,kig
358,Getreide::N,谷物,ed
359,Brei::N,粥,yod
360,Brot::N,面包,bara
361,Scheibe::N,片,tailhenn
362,Fett::N,脂肪,lard
363,Butter::N,黄油,amann
364,Öl::N,油,eoul
365,Salz::N,盐,holen
366,Suppe::N,汤,soubenn
367,Honig::N,蜂蜜,mel
368,Milch::N,奶,laezh
369,Tee::N,茶,te
370,Leder::N,皮革,lêr
371,Wolle::N,毛线,gloan
372,Stoff::N,织物,danvez
373,Nadel::N,针,nadoz
374,Faden::N,线,neudenn
375,Knopf::N,纽扣,bouton
376,Knoten::N,结,skoulm
377,Farbe::N,颜色,liv
378,Kleidung::N,衣服,dilhad
379,Hemd::N,衬衫,roc'hed
380,Kragen::N,领子,gouzoug
381,Ärmel::N,袖子,milgin
382,Hose::N,裤子,bragoù
383,Gürtel::N,腰带,gouriz
384,Mütze::N,帽子,boned
385,Schuh::N,鞋,botez
386,Stiefel::N,靴子,botez
387,Ring::N,戒指,gwalenn
388,Band::N,带子,bagad
389,Kamm::N,梳子,krib
390,Spiegel::N,镜子,melezour
391,Riemen::N,皮带,lerenn
392,Schnur::N,绳子,kordenn
393,Leine::N,皮带,roll
394,Decke::N,被子,golo
395,Kissen::N,软垫,goubenner
396,Tuch::N,巾,mezher
397,Handtuch::N,手巾,toailhon
398,Kraft::N,力,nerzh
399,Stärke::N,力量,nerzhder
400,Gesundheit::N,健康,yec'hed
401,Krankheit::N,病,klañved
402,Schmerz::N,痛,poan
403,Schmerz::N,痛,droug
404,Wunde::N,伤口,gloazadenn
405,Fieber::N,发烧,terzhienn
406,Arznei::N,药,louzoù
407,Brücke::N,桥,pont
408,Brunnen::N,井,puñs
409,Weide::N,牧场,prad
410,Pfad::N,小路,gwenodenn
411,Weg::N,路,hent
412,Straße::N,街,ru
413,Straße::N,街,hent
414,Dorf::N,村庄,kêr
415,Dorf::N,村庄,kêriadenn
416,Stadt::N,城市,kêr
417,Brief::N,信,lizher
418,Buch::N,书,levr
419,Buchstabe::N,字母,lizherenn
420,Zeitung::N,报纸,kazetenn
421,Leben::N,生命,buhez
422,Tod::N,死亡,marv
423,Grab::N,坟墓,bez
424,Kirche::N,教堂,iliz
425,Sünde::N,罪,pec'hed
426,Gott::N,上帝,doue
427,Arbeiter::N,工人,labourer
428,Arbeiter::N,工人,micherour
429,Chef::N,上司,penn
430,Meister::N,师傅,mestr
431,Arzt::N,医生,mezeg
432,Arzt::N,医生,medisin
433,Lehrer::N,教师,skolaer
434,Lehrer::N,教师,kelenner
435,Geld::N,钱,arc'hant
436,Geschäft::N,交易,stal
437,Laden::N,商店,stal
438,Preis::N,价格,priz
439,Ware::N,商品,marc'hadourezh
440,Nutzen::N,好处,gounidegezh
441,Nutzen::N,好处,lañs
442,Nutzen::N,好处,profit
443,Nutzen::N,好处,spleit
444,Reichtum::N,财富,pinvidigezh
445,Welt::N,世界,douar
446,Land::N,国家,bro
447,Staat::N,国家,stad
448,König::N,国王,roue
449,Macht::N,权力,galloud
450,Grenze::N,边界,harzoù
451,Krieg::N,战争,brezel
452,Feind::N,敌人,eneber
453,Gewalt::N,暴力,tâerder
454,Kampf::N,战斗,kann
455,Bogen[Waffe]::N,弓,gwareg
456,Pfeil::N,箭,saezh
457,Gewehr::N,枪,fuzuilh
458,Fehler::N,错误,fazi
459,Lüge::N,谎话,gaou
460,Schaden::N,损失,gwall
461,Unglück::N,不幸,gwalleur
462,Schuld::N,过错,kablusted
463,Schuld::N,过错,pec'hedigezh
464,Alter::N,年龄,oad
465,Schluss::N,结束,diwezh
466,Zeit::N,时间,amzer
467,Tag::N,天,deizh
468,Morgen::N,早晨,beure
469,Morgen::N,早晨,mintin
470,Mittag::N,中午,kreisteiz
471,Abend::N,晚上,abardaez
472,Nacht::N,夜,noz
473,Woche::N,星期,sizhun
474,Monat::N,月,miz
475,Jahr::N,年,bloaz
476,Frühling::N,春天,nevezamzer
477,Sommer::N,夏天,hañv
478,Herbst::N,秋天,diskaramzer
479,Winter::N,冬天,goañv
480,Januar::N,一月,Genver
481,Februar::N,二月,C'hwevrer
482,März::N,三月,Meurzh
483,April::N,四月,Ebrel
484,Mai::N,五月,Mae
485,Juni::N,六月,Mezheven
486,Juli::N,七月,Gouhere
487,August::N,八月,Eost
488,September::N,九月,Gwengolo
489,Oktober::N,十月,Here
490,November::N,十一月,Du
491,Dezember::N,十二月,Kerzu
492,Montag::N,星期一,Lun
493,Dienstag::N,星期二,Meurzh
494,Mittwoch::N,星期三,Merc'her
495,Donnerstag::N,星期四,Yaou
496,Freitag::N,星期五,Gwener
497,Samstag::N,星期六,Sadorn
498,Sonntag::N,星期日,Sul
499,groß::A,大,bras
500,klein::A,小,bihan
501,lang::A,长,hir
502,kurz::A,短,berr
503,breit::A,宽,ledan
504,schmal::A,细长的,strizh
505,dicht::A,密,stank
506,dick[Gegenstand]::A,厚,tev
507,dünn::A,薄,moan
508,fein::A,细小,munut
509,fest::A,固体,start
510,flach::A,平坦,plaen
511,glatt::A,光滑,lintr
512,glatt::A,光滑,levn
513,hart::A,硬,kalet
514,weich::A,软,blot
515,rund::A,圆,ront
516,spitz::A,尖,poentet
517,scharf::A,锋利,dremm
518,stumpf::A,钝,talsoc'h
519,schwer::A,重,pounner
520,schön::A,美丽,kaer
521,heiß::A,烫,tomm
522,warm::A,暖和,tomm
523,kalt::A,冷,yen
524,kühl::A,凉,yen
525,frisch::A,新鲜,fresk
526,feucht::A,潮湿,gleb
527,nass::A,湿,gleb
528,trocken::A,干,sec'h
529,voll::A,满,leun
530,leer::A,空,goullo
531,offen::A,敞开,digor
532,geschlossen::A,关闭,serr
533,sauber::A,干净,naet
534,schmutzig::A,肮脏,lous
535,roh::A,生,kriz
536,reif::A,成熟,darev
537,lecker::A,好吃,lipous
538,lecker::A,好吃,saourus
539,süß::A,甜,dous
540,bitter::A,苦,c'hwerv
541,sauer::A,酸,trenk
542,hell::A,亮,sklaer
543,dunkel::A,阴暗,teñval
544,schwarz::A,黑,du
545,weiß::A,白,gwenn
546,rot::A,红,ruz
547,gelb::A,黄,melen
548,blau::A,蓝,glas
549,grün::A,绿,gwer
550,grau::A,灰色,louet
551,bunt::A,五彩,liesliv
552,billig::A,便宜,marc'had-mat
553,teuer::A,贵,ker
554,wertvoll::A,贵重,prizius
555,blind::A,瞎,dall
556,taub::A,聋,bouzar
557,kräftig::A,强壮,start
558,stark::A,强壮,kreñv
559,schwach::A,弱,gwan
560,fett::A,胖,lard
561,schlank::A,苗条,sinkl
562,hübsch::A,漂亮,koant
563,böse::A,邪恶,gwall
564,dumm::A,笨,glep
565,faul::A,懒惰,lezirek
566,fleißig::A,勤奋,studius
567,geizig::A,吝啬,tost
568,klug::A,聪明,speredek
569,geschickt::A,灵巧,dornet
570,lieb::A,可爱,koant
571,lustig::A,快乐,laouen
572,sanft::A,柔和,flour
573,hungrig::A,饥饿,marnaon
574,krank::A,患病,klañv
575,nackt::A,裸体,noazh
576,traurig::A,悲哀,trist
577,lebendig::A,活,bev
578,gut::A,好,mad
579,schlecht::A,坏,fall
580,schlecht::A,坏,gwall
581,richtig::A,正确,reizh
582,schlimm::A,糟糕,gwall
583,wahr::A,真,gwir
584,alt::A,旧,kozh
585,neu::A,新,nevez
586,ehemalig::A,以前,kozh
587,alt[Lebewesen]::A,老,kozh
588,jung::A,年轻,yaouank
589,arm::A,贫穷,paour
590,reich::A,富裕,pinvidik
591,bekannt::A,出名,anavezet
592,berühmt::A,著名,brudet
593,fremd::A,陌生,dizanav
594,verschieden::A,不同,disheñel
595,nah::A,近,nes
596,fern::A,遥远,diabell
597,linker::A,左,kleiz
598,rechter::A,右,dehoù
599,anderer::A,别的,all
600,erster::A,第一,kentañ
601,zweiter::A,第二,eil
602,dritter::A,第三,trede
603,letzter::A,最后,diwezhañ
604,allein::ADV,单独,e-unan
605,auf einmal::ADV,同时,ar un dro
606,zusammen::ADV,一起,asambles
607,lange::ADV,许久,pell
608,plötzlich::ADV,忽然,en un taol
609,sofort::ADV,立刻,diouzhtu
610,später::ADV,以后,diwezhatoc'h
611,jetzt::ADV,现在,bremañ
612,heute::ADV,今天,hiziv
613,morgen::ADV,明天,arc'hoazh
614,bald::ADV,即将,hepdale
615,dann::ADV,然后,a-c'houde
616,gestern::ADV,昨天,dec'h
617,einst::ADV,曾经,gwechall
618,damals::ADV,当时,neuze
619,danach::ADV,随后,goude
620,vorher::ADV,事先,diagent
621,zuerst::ADV,首先,da gentañ
622,einmal::ADV,一次,ur wech
623,manchmal::ADV,有时,a-wechoù
624,oft::ADV,时常,alies
625,immer::ADV,总是,atav
626,immer::ADV,总是,bepred
627,niemals::ADV,从未,gwech ebet
628,hier::ADV,这里,amañ
629,hierhin::ADV,到这里,dre amañ
630,von hier::ADV,由此,alemañ
631,dort::ADV,那里,aze
632,dort::ADV,那里,ahont
633,dorthin::ADV,到那里,di
634,dorthin::ADV,到那里,aze
635,dorthin::ADV,到那里,ahont
636,geradeaus::ADV,一直往前,war-eeun
637,vorwärts::ADV,向前,war-raok
638,rückwärts::ADV,向后,war-lerc'h
639,zurück::ADV,退后,war-dreñv
640,unten::ADV,下面,en traoñ
641,hinab::ADV,向下,a-izel
642,oben::ADV,上面,en nec'h
643,hinauf::ADV,向上,e-krec'h
644,überall::ADV,到处,dre-holl
645,nicht::ADV,不,ne ... ket
646,ein wenig::ADV,一点儿,un tammig
647,kaum::ADV,几乎不,a-boan
648,sehr::ADV,很,-tre
649,sehr::ADV,很,-kenañ
650,so::ADV,如此,evel-se
651,noch::ADV,还,c'hoazh
652,nur::ADV,只,hepken
653,schon::ADV,已经,dija
654,wieder::ADV,又,adarre
655,vor::PRP,在...面前,dirak
656,hinter::PRP,在...背后,a-drek
657,hinter::PRP,在...背后,a-dreñv
658,unter::PRP,在...下面,dindan
659,durch::PRP,穿过,dre
660,neben::PRP,在...旁,e-kichen
661,zwischen::PRP,在...之间,etre
662,wegen::PRP,由于,abalamour da
663,dies::PRN,这,hemañ
664,das::PRN,那,se
665,das::PRN,那,hennezh
666,alles::PRN,一切,pep tra
667,ich::PRN,我,me
668,du::PRN,你,te
669,er::PRN,他,eñ
670,wir::PRN,我们,ni
671,ihr::PRN,你们,c'hwi
672,sie::PRN,她,int
673,was::FPRN,什么,petra
674,wer::FPRN,谁,piv
675,wo::FADV,哪里,pelec'h
676,wohin::FADV,去哪里,da belec'h
677,wie::FADV,怎么,penaos
678,warum::FADV,为什么,perak
679,wieviel::FNUM,多少,pet
680,eins::NUM,一,unan
681,zwei::NUM,二,daou
682,drei::NUM,三,tri
683,vier::NUM,四,pevar
684,fünf::NUM,五,pemp
685,sechs::NUM,六,c'hwec'h
686,sieben::NUM,七,seizh
687,acht::NUM,八,eizh
688,neun::NUM,九,nav
689,zehn::NUM,十,dek
690,elf::NUM,十一,unnek
691,zwölf::NUM,十二,daouzek
692,zwanzig::NUM,二十,ugent
693,dreißig::NUM,三十,tregont
694,vierzig::NUM,四十,daou-ugent
695,fünfzig::NUM,五十,hanter-kant
696,sechzig::NUM,六十,tri-ugent
697,siebzig::NUM,七十,dek ha tri-ugent
698,achtzig::NUM,八十,pevar-ugent
699,neunzig::NUM,九十,dek ha pevar-ugent
700,hundert::NUM,百,kant
701,tausend::NUM,千,mil
702,und::CNJ,和,ha
703,oder::CNJ,或者,pe
704,stehen::V,站,bezañ a-sav
705,sitzen::V,坐,azezañ
706,sitzen::V,坐,bezañ en e goazez
707,liegen::V,躺着,bezañ en e c'hourvez
708,hängen::V,挂着,krougañ
709,werden::V,成为,dazonet
710,passieren::V,发生,c'hoarvezout
711,beginnen::V,开始,stagañ
712,enden::V,终止,achuiñ
713,wechseln::V,变迁,cheñch
714,aufgehen[Sonne]::V,升起,dirouzañ
715,untergehen[Sonne]::V,下落,
716,scheinen[Sonne]::V,照射,lugernañ
717,donnern::V,打雷,taranal
718,wehen::V,飘扬,c'hwezhañ
719,strömen::V,流,deredek
720,fließen::V,流动,redek
721,sich drehen::V,转动,troiñ
722,schwanken::V,摇摆,trantellat
723,schwingen::V,摇,froumal
724,fallen::V,坠落,kouezhañ
725,brennen::V,燃烧,deviñ
726,rauchen::V,冒烟,divogedañ
727,regnen::V,下雨,glavañ
728,gefrieren::V,结冰,reviñ
729,tauen::V,融化,diskornañ
730,schmelzen::V,溶化,teuziñ
731,trocknen::V,变干,sec'hañ
732,sieden::V,煮,berviñ
733,faulen::V,腐烂,breinañ
734,verfaulen::V,腐烂,breinañ
735,reißen::V,撕,darnaouiñ
736,versinken::V,下沉,sodellañ
737,vergehen::V,流逝,tremen
738,erscheinen::V,出现,donet war-wel
739,verschwinden::V,消失,monet diwar wel
740,sinken::V,下降,en em izelat
741,abnehmen::V,减少,nebeutaat
742,zunehmen::V,增加,kreskiñ
743,steigen::V,上升,sevel
744,wachsen::V,生长,kreskiñ
745,glänzen::V,发光,lugernañ
746,funkeln::V,闪烁,elieniñ
747,lärmen::V,吵闹,rabotat
748,läuten::V,响,
749,klingeln::V,按铃,
750,brausen::V,疾驶,gwegal
751,klingen::V,听起来,seniñ
752,bellen::V,吠,harzhal
753,heulen::V,嗥,yudal
754,blasen::V,吹,c'hwezhañ
755,pfeifen::V,吹口哨,c'hwitellat
756,schreien::V,叫喊,huchal
757,stöhnen::V,呻吟,hirvoudiñ
758,zittern::V,颤抖,krenañ
759,leben::V,生存,bevañ
760,geboren werden::V,出生,genel
761,atmen::V,呼吸,tennañ e anal
762,trinken::V,喝,evañ
763,essen::V,吃,debriñ
764,schlucken::V,咽,lonkañ
765,müde werden::V,疲倦,skuizhañ
766,einschlafen::V,入睡,menel kousket
767,schlafen::V,睡觉,kousket
768,aufwachen::V,睡醒,dihuniñ
769,aufstehen::V,起床,sevel
770,sich erholen::V,休养,diskuizhañ
771,krank werden::V,生病,klañviñ
772,krank sein::V,生病,bezañ klañv
773,schmerzen::V,疼痛,skourjezañ
774,husten::V,咳,pasaat
775,husten::V,咳,peudal
776,genesen::V,痊愈,pareañ
777,sterben::V,死,mervel
778,umkommen::V,丧命,perisañ
779,sich bewegen::V,移动,bouljal
780,sich rühren::V,动弹,fiñval
781,sich erheben::V,站起,sevel
782,sich setzen::V,坐,azezañ
783,sich setzen::V,坐,mont en e goazez
784,hinfallen::V,跌倒,kouezhañ
785,laufen::V,步行,redek
786,schreiten::V,迈步,kerzhet
787,spazierengehen::V,散步,pourmen
788,eilen::V,急忙,hastañ
789,sich beeilen::V,赶快,hastañ
790,sausen::V,疾驰,karzhañ
791,rennen::V,奔跑,redek
792,springen::V,跳,lammat
793,klettern::V,攀缘,krimpat
794,schaukeln::V,荡秋千,brañsellat
795,kriechen::V,爬行,skrampañ
796,schwimmen::V,游泳,neuial
797,tauchen::V,潜水,splujañ
798,rudern::V,划船,roeñvat
799,fahren::V,行驶,kas
800,fahren::V,行驶,bleniañ
801,fliegen::V,飞,nijal
802,gehen::V,走,mont
803,weggehen::V,离去,mont kuit
804,abfahren::V,出发,mont kuit
805,anhalten::V,停住,chom a-sav
806,hineingehen::V,进去,monet e-barzh
807,eintreten::V,进入,monet e-barzh
808,kommen::V,来,dont
809,ankommen::V,到达,erruout
810,zurückkommen::V,回来,addonet
811,bleiben::V,停留,chom
812,warten::V,等,gortoz
813,erwarten::V,等候,gortoz
814,suchen::V,找,klask
815,finden::V,找到,kavout
816,versuchen::V,尝试,klask
817,vorbereiten::V,预备,aozañ
818,lieben::V,爱,karout
819,mögen::V,喜欢,karout
820,lachen::V,笑,c'hoarzin
821,weinen::V,哭,gouelañ
822,schimpfen::V,骂,krozal
823,sich ärgern::V,生气,fachañ
824,sich ärgern::V,生气,en em fachañ
825,sich fürchten::V,害怕,
826,fürchten::V,害怕,
827,fliehen::V,逃走,tec'het
828,flüchten::V,逃跑,tuzañ
829,sehen::V,看,gwelet
830,anschauen::V,注视,sellout ouzh
831,ansehen::V,注视,sellout ouzh
832,hören::V,听,klevet
