,Concept_ID,et,br
351,Wiege::N,häll,kavell
352,Wiege::N,kätki,kavell
353,Bett::N,voodi,gwele
354,Regal::N,riiul,estajerenn
355,Kiste::N,kast,kased
356,Fenster::N,aken,prenestr
357,Tür::N,uks,dor
358,Tor::N,värav,portal
359,Zaun::N,aed,sklotur
360,Zaun::N,tara,sklotur
361,Dach::N,katus,toenn
362,Leiter::N,redel,skeul
363,Besen::N,luud,skubell
364,Spaten::N,labidas,pal
365,Schaufel::N,kühvel,pal
366,Gabel::N,kahvel,fourchetez
367,Löffel::N,lusikas,loa
368,Messer::N,nuga,kontell
369,Nagel::N,nael,tach
370,Netz::N,võrk,roued
371,Haken::N,haak,krog
372,Haken::N,konks,krog
373,Griff::N,sang,kemer
374,Griff::N,käepide,kemer
375,Schloss::N,lukk,potenn
376,Bild::N,pilt,skeudenn
377,Figur::N,kuju,skeud
378,Figur::N,kuju,figur
379,Figur::N,kujund,skeud
380,Figur::N,kujund,figur
381,Puppe::N,nukk,merc'hodenn
382,Beutel::N,paun,sac'h
383,Bündel::N,kimp,feskenn
384,Tasche::N,kott,sac'h
385,Eimer::N,pang,sailh
386,Eimer::N,ämber,sailh
387,Deckel::N,kaas,pallenn
388,Geschirr::N,nõud,listriaj
389,Sack::N,kott,sac'h
390,Tasse::N,tass,tas
391,Topf::N,pada,pod
392,Kessel::N,pada,chaodouron
393,Essen::N,söök,pred
394,Nahrung::N,toit,boued
395,Speise::N,roog,meuz
396,Fleisch::N,liha,kig
397,Getreide::N,teravili,ed
398,Brei::N,puder,yod
399,Brot::N,sai,bara
400,Brot::N,leib,bara
401,Scheibe::N,viil,tailhenn
402,Scheibe::N,viilukas,tailhenn
403,Fett::N,rasv,lard
404,Butter::N,või,amann
405,Öl::N,õli,eoul
406,Salz::N,sool,holen
407,Suppe::N,supp,soubenn
408,Honig::N,mesi,mel
409,Milch::N,piim,laezh
410,Tee::N,tee,te
411,Leder::N,nahk,lêr
412,Wolle::N,vill,gloan
413,Stoff::N,kangas,danvez
414,Nadel::N,nõel,nadoz
415,Faden::N,niit,neudenn
416,Knopf::N,nööp,bouton
417,Knoten::N,sõlm,skoulm
418,Farbe::N,värv,liv
419,Kleidung::N,riided,dilhad
420,Kleidung::N,riietus,dilhad
421,Hemd::N,särk,roc'hed
422,Kragen::N,krae,gouzoug
423,Ärmel::N,varrukas,milgin
424,Hose::N,püksid,bragoù
425,Gürtel::N,vöö,gouriz
426,Mütze::N,müts,boned
427,Schuh::N,king,botez
428,Stiefel::N,saabas,botez
429,Ring::N,sõrmus,gwalenn
430,Band::N,lint,bagad
431,Kamm::N,kamm,krib
432,Spiegel::N,peegel,melezour
433,Riemen::N,rihm,lerenn
434,Schnur::N,nöör,kordenn
435,Leine::N,jalutusrihm,roll
436,Decke::N,tekk,golo
437,Kissen::N,padi,goubenner
438,Tuch::N,kalev,mezher
439,Handtuch::N,käterätik,toailhon
440,Kraft::N,jõud,nerzh
441,Stärke::N,tugevus,nerzhder
442,Gesundheit::N,tervis,yec'hed
443,Krankheit::N,haigus,klañved
444,Schmerz::N,valu,poan
445,Schmerz::N,valu,droug
446,Wunde::N,haav,gloazadenn
447,Fieber::N,palavik,terzhienn
448,Arznei::N,ravim,louzoù
449,Brücke::N,sild,pont
450,Brunnen::N,kaev,puñs
451,Weide::N,karjamaa,prad
452,Pfad::N,rada,gwenodenn
453,Weg::N,tee,hent
454,Straße::N,tee,ru
455,Straße::N,tee,hent
456,Dorf::N,küla,kêr
457,Dorf::N,küla,kêriadenn
458,Stadt::N,linn,kêr
459,Brief::N,kiri,lizher
460,Buch::N,raamat,levr
461,Buchstabe::N,täht,lizherenn
462,Zeitung::N,ajaleht,kazetenn
463,Leben::N,elu,buhez
464,Tod::N,surm,marv
465,Grab::N,haud,bez
466,Kirche::N,kirik,iliz
467,Sünde::N,patt,pec'hed
468,Gott::N,jumal,doue
469,Arbeiter::N,tööline,labourer
470,Arbeiter::N,tööline,micherour
471,Chef::N,ülemus,penn
472,Chef::N,juhataja,penn
473,Meister::N,meister,mestr
474,Arzt::N,arst,mezeg
475,Arzt::N,arst,medisin
476,Lehrer::N,õpetaja,skolaer
477,Lehrer::N,õpetaja,kelenner
478,Geld::N,raha,arc'hant
479,Geschäft::N,äri,stal
480,Laden::N,pood,stal
481,Laden::N,kauplus,stal
482,Preis::N,hind,priz
483,Ware::N,kaup,marc'hadourezh
484,Nutzen::N,tulu,gounidegezh
485,Nutzen::N,tulu,lañs
486,Nutzen::N,tulu,profit
487,Nutzen::N,tulu,spleit
488,Nutzen::N,kasulikkus,gounidegezh
489,Nutzen::N,kasulikkus,lañs
490,Nutzen::N,kasulikkus,profit
491,Nutzen::N,kasulikkus,spleit
492,Reichtum::N,rikkus,pinvidigezh
493,Welt::N,maailm,douar
494,Land::N,maa,bro
495,Staat::N,riik,stad
496,König::N,kuningas,roue
497,Macht::N,võim,galloud
498,Grenze::N,piir,harzoù
499,Krieg::N,sõda,brezel
500,Feind::N,vaenlane,eneber
501,Gewalt::N,väevõim,tâerder
502,Kampf::N,võitlus,kann
503,Bogen[Waffe]::N,vibu,gwareg
504,Pfeil::N,nool,saezh
505,Gewehr::N,püss,fuzuilh
506,Fehler::N,viga,fazi
507,Lüge::N,vale,gaou
508,Schaden::N,kahju,gwall
509,Unglück::N,häda,gwalleur
510,Unglück::N,õnnetus,gwalleur
511,Schuld::N,süü,kablusted
512,Schuld::N,süü,pec'hedigezh
513,Alter::N,iga,oad
514,Schluss::N,lõpp,diwezh
515,Zeit::N,aeg,amzer
516,Tag::N,päev,deizh
517,Morgen::N,hommik,beure
518,Morgen::N,hommik,mintin
519,Mittag::N,lõuna,kreisteiz
520,Mittag::N,keskpäev,kreisteiz
521,Abend::N,õhtu,abardaez
522,Nacht::N,öö,noz
523,Woche::N,nädal,sizhun
524,Monat::N,kuu,miz
525,Jahr::N,aasta,bloaz
526,Frühling::N,kevad,nevezamzer
527,Sommer::N,suvi,hañv
528,Herbst::N,sügis,diskaramzer
529,Winter::N,talv,goañv
530,Januar::N,jaanuar,Genver
531,Februar::N,veebruar,C'hwevrer
532,März::N,märts,Meurzh
533,April::N,aprill,Ebrel
534,Mai::N,mai,Mae
535,Juni::N,juuni,Mezheven
536,Juli::N,juuli,Gouhere
537,August::N,august,Eost
538,September::N,september,Gwengolo
539,Oktober::N,oktoober,Here
540,November::N,november,Du
541,Dezember::N,detsember,Kerzu
542,Montag::N,esmaspäev,Lun
543,Dienstag::N,teisipäev,Meurzh
544,Mittwoch::N,kesknädal,Merc'her
545,Donnerstag::N,neljapäev,Yaou
546,Freitag::N,reede,Gwener
547,Samstag::N,laupäev,Sadorn
548,Sonntag::N,pühapäev,Sul
549,groß::A,suur,bras
550,klein::A,väike,bihan
551,klein::A,pisike,bihan
552,lang::A,pikk,hir
553,kurz::A,lühike,berr
554,breit::A,lai,ledan
555,schmal::A,kitsas,strizh
556,dicht::A,tihe,stank
557,dick[Gegenstand]::A,jäme,tev
558,dünn::A,õhuke,moan
559,dünn::A,peenike,moan
560,fein::A,peen,munut
561,fein::A,õhuke,munut
562,fest::A,püsiv,start
563,fest::A,kindel,start
564,flach::A,lame,plaen
565,flach::A,tasane,plaen
566,glatt::A,sile,lintr
567,glatt::A,sile,levn
568,hart::A,kõva,kalet
569,weich::A,pehme,blot
570,rund::A,ümar,ront
571,spitz::A,torkav,poentet
572,scharf::A,terav,dremm
573,stumpf::A,nüri,talsoc'h
574,schwer::A,raske,pounner
575,schön::A,kena,kaer
576,heiß::A,kuum,tomm
577,heiß::A,palav,tomm
578,warm::A,soe,tomm
579,kalt::A,külm,yen
580,kühl::A,jahe,yen
581,frisch::A,värske,fresk
582,feucht::A,niiske,gleb
583,nass::A,märg,gleb
584,trocken::A,kuiv,sec'h
585,voll::A,täis,leun
586,leer::A,tühi,goullo
587,offen::A,avatud,digor
588,offen::A,lahtine,digor
589,geschlossen::A,suletud,serr
590,sauber::A,puhas,naet
591,schmutzig::A,räpane,lous
592,schmutzig::A,määrdunud,lous
593,roh::A,toores,kriz
594,reif::A,küps,darev
595,lecker::A,hõrk,lipous
596,lecker::A,hõrk,saourus
597,lecker::A,maitsev,lipous
598,lecker::A,maitsev,saourus
599,süß::A,magus,dous
600,bitter::A,mõru,c'hwerv
601,sauer::A,hapu,trenk
602,hell::A,hele,sklaer
603,dunkel::A,pime,teñval
604,schwarz::A,must,du
605,weiß::A,valge,gwenn
606,rot::A,punane,ruz
607,gelb::A,kollane,melen
608,blau::A,sinine,glas
609,grün::A,roheline,gwer
610,grau::A,hall,louet
611,bunt::A,kirju,liesliv
612,bunt::A,värviline,liesliv
613,billig::A,odav,marc'had-mat
614,teuer::A,kallis,ker
615,wertvoll::A,väärtuslik,prizius
616,blind::A,pime,dall
617,taub::A,kurt,bouzar
618,kräftig::A,jõuline,start
619,stark::A,tugev,kreñv
620,schwach::A,nõrk,gwan
621,schwach::A,jõuetu,gwan
622,fett::A,rasvane,lard
623,schlank::A,sale,sinkl
624,hübsch::A,kena,koant
625,böse::A,tige,gwall
626,dumm::A,juhm,glep
627,dumm::A,rumal,glep
628,faul::A,laisk,lezirek
629,fleißig::A,virk,studius
630,fleißig::A,hoolas,studius
631,geizig::A,ihne,tost
632,klug::A,tark,speredek
633,klug::A,arukas,speredek
634,klug::A,mõistlik,speredek
635,geschickt::A,osav,dornet
636,lieb::A,armas,koant
637,lustig::A,lõbus,laouen
638,sanft::A,õrn,flour
639,hungrig::A,näljane,marnaon
640,krank::A,haige,klañv
641,nackt::A,alasti,noazh
642,traurig::A,kurb,trist
643,lebendig::A,elus,bev
644,gut::A,hea,mad
645,schlecht::A,halb,fall
646,schlecht::A,halb,gwall
647,richtig::A,õige,reizh
648,schlimm::A,paha,gwall
649,wahr::A,tõene,gwir
650,alt::A,vana,kozh
651,neu::A,uus,nevez
652,ehemalig::A,endine,kozh
653,alt[Lebewesen]::A,vana,kozh
654,jung::A,noor,yaouank
655,arm::A,vaene,paour
656,reich::A,rikas,pinvidik
657,bekannt::A,teada,anavezet
658,bekannt::A,tuttav,anavezet
659,berühmt::A,tuntud,brudet
660,fremd::A,võõras,dizanav
661,verschieden::A,erinev,disheñel
662,nah::A,lähedane,nes
663,fern::A,kauge,diabell
664,linker::A,vasak,kleiz
665,rechter::A,parem,dehoù
666,anderer::A,muu,all
667,anderer::A,teine,all
668,erster::A,esimene,kentañ
669,zweiter::A,teine,eil
670,dritter::A,kolmas,trede
671,letzter::A,viimane,diwezhañ
672,allein::ADV,üksi,e-unan
673,auf einmal::ADV,korraga,ar un dro
674,auf einmal::ADV,ühekorraga,ar un dro
675,zusammen::ADV,koos,asambles
676,zusammen::ADV,üheskoos,asambles
677,lange::ADV,kaua,pell
678,plötzlich::ADV,äkki,en un taol
679,plötzlich::ADV,järsku,en un taol
680,sofort::ADV,kohe,diouzhtu
681,später::ADV,hiljem,diwezhatoc'h
682,jetzt::ADV,nüüd,bremañ
683,heute::ADV,täna,hiziv
684,morgen::ADV,homme,arc'hoazh
685,bald::ADV,pea,hepdale
686,bald::ADV,varsti,hepdale
687,dann::ADV,siis,a-c'houde
688,gestern::ADV,eile,dec'h
689,einst::ADV,vanasti,gwechall
690,damals::ADV,tookord,neuze
691,danach::ADV,seejärel,goude
692,vorher::ADV,enne,diagent
693,zuerst::ADV,enne,da gentañ
694,zuerst::ADV,esmalt,da gentañ
695,einmal::ADV,kord,ur wech
696,einmal::ADV,üks kord,ur wech
697,manchmal::ADV,mõnikord,a-wechoù
698,oft::ADV,tihti,alies
699,oft::ADV,sageli,alies
700,immer::ADV,ikka,atav
701,immer::ADV,ikka,bepred
702,immer::ADV,alati,atav
703,immer::ADV,alati,bepred
704,niemals::ADV,mitte kunagi,gwech ebet
705,hier::ADV,siin,amañ
706,hierhin::ADV,siia,dre amañ
707,von hier::ADV,siit,alemañ
708,dort::ADV,seal,aze
709,dort::ADV,seal,ahont
710,dorthin::ADV,sinna,di
711,dorthin::ADV,sinna,aze
712,dorthin::ADV,sinna,ahont
713,geradeaus::ADV,otse edasi,war-eeun
714,vorwärts::ADV,edasi,war-raok
715,rückwärts::ADV,tagurpidi,war-lerc'h
716,zurück::ADV,tagasi,war-dreñv
717,unten::ADV,all,en traoñ
718,unten::ADV,allpool,en traoñ
719,hinab::ADV,alla,a-izel
720,oben::ADV,ülal,en nec'h
721,hinauf::ADV,üles,e-krec'h
722,überall::ADV,kõikjal,dre-holl
723,nicht::ADV,ei,ne ... ket
724,nicht::ADV,mitte,ne ... ket
725,ein wenig::ADV,veidi,un tammig
726,ein wenig::ADV,natuke,un tammig
727,kaum::ADV,vaevalt,a-boan
728,sehr::ADV,väga,-tre
729,sehr::ADV,väga,-kenañ
730,so::ADV,nii,evel-se
731,noch::ADV,veel,c'hoazh
732,nur::ADV,ainult,hepken
733,schon::ADV,juba,dija
734,wieder::ADV,jälle,adarre
735,vergebens::ADV,asjata,
736,vor::PRP,ees,dirak
737,hinter::PRP,taha,a-drek
738,hinter::PRP,taha,a-dreñv
739,unter::PRP,all,dindan
740,durch::PRP,läbi,dre
741,durch::PRP,kaudu,dre
742,neben::PRP,kõrval,e-kichen
743,zwischen::PRP,vahel,etre
744,wegen::PRP,tõttu,abalamour da
745,wegen::PRP,pärast,abalamour da
746,dies::PRN,see,hemañ
747,das::PRN,see,se
748,das::PRN,see,hennezh
749,alles::PRN,kõik,pep tra
750,ich::PRN,mina,me
751,du::PRN,sina,te
752,er::PRN,tema,eñ
753,wir::PRN,me,ni
754,ihr::PRN,te,c'hwi
755,sie::PRN,nad,int
756,was::FPRN,mis,petra
757,wer::FPRN,kes,piv
758,wo::FADV,kus,pelec'h
759,wohin::FADV,kuhu,da belec'h
760,wie::FADV,kuidas,penaos
761,warum::FADV,miks,perak
762,wieviel::FNUM,mitu,pet
763,wieviel::FNUM,kui palju,pet
764,eins::NUM,üks,unan
765,zwei::NUM,kaks,daou
766,drei::NUM,kolm,tri
767,vier::NUM,neli,pevar
768,fünf::NUM,viis,pemp
769,sechs::NUM,kuus,c'hwec'h
770,sieben::NUM,seitse,seizh
771,acht::NUM,kaheksa,eizh
772,neun::NUM,üheksa,nav
773,zehn::NUM,kümme,dek
774,elf::NUM,üksteist,unnek
775,zwölf::NUM,kaksteist,daouzek
776,zwanzig::NUM,kakskümmend,ugent
777,dreißig::NUM,kolmkümmend,tregont
778,vierzig::NUM,nelikümmend,daou-ugent
779,fünfzig::NUM,viiskümmend,hanter-kant
780,sechzig::NUM,kuuskümmend,tri-ugent
781,siebzig::NUM,seitsekümmend,dek ha tri-ugent
782,achtzig::NUM,kaheksakümmend,pevar-ugent
783,neunzig::NUM,üheksakümmend,dek ha pevar-ugent
784,hundert::NUM,sada,kant
785,tausend::NUM,tuhat,mil
786,und::CNJ,ja,ha
787,oder::CNJ,või,pe
788,stehen::V,seisma,bezañ a-sav
789,sitzen::V,istuma,azezañ
790,sitzen::V,istuma,bezañ en e goazez
791,liegen::V,lamama,bezañ en e c'hourvez
792,hängen::V,rippuma,krougañ
793,werden::V,saama,dazonet
794,werden::V,hakkama,dazonet
795,passieren::V,juhtuma,c'hoarvezout
796,beginnen::V,algama,stagañ
797,beginnen::V,hakkama,stagañ
798,enden::V,lõppema,achuiñ
799,wechseln::V,vahelduma,cheñch
800,aufgehen[Sonne]::V,tõusma,dirouzañ
801,untergehen[Sonne]::V,loojuma,
802,scheinen[Sonne]::V,paistma,lugernañ
803,donnern::V,kõmisema,taranal
804,wehen::V,puhuma,c'hwezhañ
805,strömen::V,voolama,deredek
806,fließen::V,voolama,redek
807,sich drehen::V,pöörduma,troiñ
808,schwanken::V,kõikuma,trantellat
809,schwingen::V,võnkuma,froumal
810,fallen::V,langema,kouezhañ
811,brennen::V,põlema,deviñ
812,rauchen::V,suitsema,divogedañ
813,regnen::V,sadama,glavañ
814,gefrieren::V,kinni külmuma,reviñ
815,tauen::V,sulama,diskornañ
816,schmelzen::V,sulama,teuziñ
817,trocknen::V,kuivama,sec'hañ
