,Concept_ID,cv,pt
70,Welle::N,хум,onda
71,Wasser::N,шыв,água
72,Wasser::N,шыв-шур,água
73,Stein::N,чул,pedra
74,Boden::N,тӑпра,solo
75,Erde::N,ҫӗр,terra
76,Staub::N,тусан,pó
77,Rauch::N,тӗтӗм,fumo
78,Funke::N,хӗм,faísca
79,Funke::N,хӗм,centelha
80,Feuer::N,вут,fogo
81,Feuer::N,ҫулӑм,fogo
82,Licht::N,ҫутӑ,luz
83,Schatten::N,сулхӑн,sombra
84,Wetter::N,ҫанталӑк,tempo
85,Nebel::N,тӗтре,nevoeiro
86,Wolke::N,пӗлӗт,nuvem
87,Regen::N,ҫумӑр,chuva
88,Schnee::N,юр,neve
89,Eis::N,пӑр,gelo
90,Frost::N,сивӗ,gelo
91,Frost::N,сивӗ,geada
92,Kälte::N,сивӗ,frio
93,Hitze::N,вӗри,ardor
94,Hitze::N,шӑрӑх,ardor
95,Raureif::N,пас,geada
96,Regenbogen::N,асамат кӗперӗ,arco-iris
97,Donner::N,аслати,trovão
98,Strömung::N,юхӑ,corrente
99,Tropfen::N,тумлам,gota
100,Schaum::N,кӑпӑк,espuma
101,Schmutz::N,пылчӑк,sujidade
102,Schmutz::N,пылчӑк,imundície
103,See::N,кӳлӗ,lago
104,Sumpf::N,шур,charco
105,Sumpf::N,шур,pântano
106,Sumpf::N,шурлӑх,charco
107,Sumpf::N,шурлӑх,pântano
108,Moor::N,торфлӑ шурлӑх,pântano
109,Wiese::N,улӑх,prado
110,Wiese::N,ҫаран,prado
111,Wald::N,вӑрман,bosque
112,Wald::N,вӑрман,floresta
113,Hügel::N,сӑрт,colina
114,Hügel::N,тӗмеске,colina
115,Anhöhe::N,сӑрт,alto
116,Anhöhe::N,сӑрт,outeiro
117,Berg::N,ту,monte
118,Berg::N,ту,montanha
119,Gipfel::N,тӳпе,pico
120,Höhle::N,ҫӗр хӑвӑлӗ,caverna
121,Abhang::N,тӑвайкки,encosta
122,Quelle::N,ҫӑл куҫ,fonte
123,Bach::N,пӗчӗк шыв,regato
124,Bach::N,пӗчӗк шыв,ribeiro
125,Fluss::N,юхан шыв,rio
126,Ufer::N,ҫыран,beira
127,Küste::N,тинӗс ҫыранӗ,costa
128,Festland::N,тип ҫӗр,terra firme
129,Meer::N,тинӗс,mar
130,Bucht::N,тинӗс кукӑрӗ,baía
131,Insel::N,утрав,ilha
132,Blume::N,чечек,flor
133,Gras::N,курӑк,erva
134,Wurzel::N,тымар,raiz
135,Baum::N,йывӑҫ,árvore
136,Stamm::N,вулӑ,tronco
137,Rinde::N,хуйӑр,casca
138,Ast::N,турат,ramo
139,Zweig::N,турат,galho
140,Blatt::N,ҫулҫӑ,folha
141,Birke::N,хурӑн,bétula
142,Kiefer[Baum]::N,хыр,pinheiro
143,Weide[Baum]::N,хӑва,salgueiro
144,Tanne::N,чӑрӑш,abeto
145,Horn::N,мӑйрака,corno
146,Horn::N,мӑйрака,chifre
147,Feder::N,тӗк,pena
148,Fell::N,ҫӑм,pele
149,Flügel::N,ҫунат,asa
150,Klaue::N,чӗрне,pata
151,Kralle::N,ура,unha
152,Kralle::N,ура,garra
153,Schwanz::N,хӳре,rabo
154,Schwanz::N,хӳре,cauda
155,Ei::N,ҫӑмарта,ovo
156,Nest::N,йӑва,ninho
157,Bau::N,йӗнӗ,toca
158,Bau::N,йӗнӗ,covil
159,Tier::N,выльӑх,animal
160,Herde::N,кӗтӳ,rebanho
161,Kuh::N,ӗне,vaca
162,Bulle::N,вӑкӑр,touro
163,Pferd::N,лаша,cavalo
164,Schaf::N,сурӑх,ovelha
165,Schwein::N,сысна,porco
166,Hund::N,йытӑ,cão
167,Katze::N,кушак,gata
168,Bär::N,упа,urso
169,Eichhörnchen::N,пакша,esquilo
170,Elch::N,пӑши,alce
171,Fuchs::N,тилӗ,raposa
172,Hase::N,куян,lebre
173,Hase::N,мулкач,lebre
174,Maus::N,шӑши,rato
175,Wolf::N,кашкӑр,lobo
176,Vogel::N,кайӑк,ave
177,Vogel::N,кайӑк,pássaro
178,Vogel::N,вӗҫен кайӑк,ave
179,Vogel::N,вӗҫен кайӑк,pássaro
180,Schwarm::N,ушкӑн,bando
181,Schwarm::N,ушкӑн,enxame
182,Huhn::N,чӑх,galinha
183,Huhn::N,чӑхӑ,galinha
184,Hahn::N,автан,galo
185,Gans::N,хур,ganso
186,Adler::N,ӑмӑрт кайӑк,águia
187,Ente::N,кӑвакал,pata
188,Eule::N,тӑмана,mocho
189,Eule::N,тӑмана,coruja
190,Kranich::N,тӑрна,grou
191,Krähe::N,ула курак,gralha
192,Kuckuck::N,куккук,cuco
193,Schwan::N,акӑш,cisne
194,Fisch::N,пулӑ,peixe
195,Barsch::N,уланкӑ,perca
196,Hecht::N,ҫӑрттан,lúcio
197,Schlange[Tier]::N,ҫӗлен,serpente
198,Wurm::N,ӑман,verme
199,Spinne::N,эрешмен,aranha
200,Ameise::N,кӑткӑ,formiga
201,Laus::N,пыйтӑ,piolho
202,Mücke::N,вӑрӑм туна,mosquito
203,Fliege::N,шӑна,mosca
204,Schmetterling::N,лӗпӗш,borboleta
205,Beere::N,ҫырла,bago
206,Apfel::N,улма,maçã
207,Apfel::N,пан улми,maçã
208,Pilz::N,кӑмпа,fungo
209,Pilz::N,кӑмпа,cogumelo
210,Zwiebel::N,сухан,cebola
211,Saat::N,вӑрӑ,sementeira
212,Korn::N,тӗшӗ,grão
213,Korn::N,пӗрчӗ,grão
214,Heu::N,утӑ,feno
215,Schale::N,хупӑ,casca
216,Grube::N,шӑтӑк,cova
217,Grube::N,шӑтӑк,fossa
218,Falle::N,тапӑ,armadilha
219,Falle::N,капкӑн,armadilha
220,Schlinge::N,йӑлӑ,laço
221,Spur::N,йӗр,pista
222,Spur::N,йӗр,vestígio
223,Asche::N,кӗл,cinza
224,Dreck::N,пылчӑк,sujidade
225,Eisen::N,тимӗр,ferro
226,Gold::N,ылтӑн,ouro
227,Silber::N,кӗмӗл,prata
228,Kohle::N,кӑмрӑк,carvão
229,Glas::N,кӗленче,vidro
230,Lehm::N,тӑм,barro
231,Lehm::N,тӑм,argila
232,Sand::N,хӑйӑр,areia
233,Mensch::N,ҫын,homem
234,Mensch::N,ҫын,pessoa
235,Mensch::N,этем,homem
236,Mensch::N,этем,pessoa
237,Mann::N,ар,homem
238,Frau::N,хӗрарӑм,mulher
239,Kind::N,ача,filho
240,Kind::N,ача,criança
241,Junge::N,ача,rapaz
242,Junge::N,ача,menino
243,Junge::N,ар ҫын ача,rapaz
244,Junge::N,ар ҫын ача,menino
245,Mädchen::N,хӗр ача,menina
246,Mädchen::N,хӗр ача,rapariga
247,Familie::N,ҫемье,família
248,Familie::N,кил-йыш,família
249,Großvater::N,кукаҫи,avô
250,Großmutter::N,кукамай,avó
251,Eltern::N,аҫа-ама,pais
252,Vater::N,атте,pai
253,Mutter::N,анне,mãe
254,Sohn::N,ывӑл,filho
255,Tochter::N,хӗр,filha
256,Bruder::N,ар тӑван,irmão
257,Schwester::N,аппа,irmã
258,Schwester::N,йӑмӑк,irmã
259,Onkel::N,мучи,tio
260,Onkel::N,пичче,tio
261,Tante::N,аппа,tia
262,Ehemann::N,упӑшка,esposo
263,Ehefrau::N,арӑм,esposa
264,Freude::N,савӑнӑҫ,prazer
265,Freude::N,савӑнӑҫ,alegria
266,Freude::N,хаваслӑх,prazer
267,Freude::N,хаваслӑх,alegria
268,Gelächter::N,кулӑ,risada
269,Gelächter::N,кулӑ,gargalhada
270,Glück::N,телей,felicidade
271,Glück::N,ӑраскал,felicidade
272,Kummer::N,хурлӑх,aflição
273,Kummer::N,хурлӑх,desgosto
274,Wunsch::N,ӗмӗт,desejo
275,Wunsch::N,кӑмӑл,desejo
276,Lust::N,кӑмӑл,vontade
277,Geist::N,чун-чӗм,mente
278,Geist::N,чун-чӗм,espírito
279,Geist::N,ыр-усал,mente
280,Geist::N,ыр-усал,espírito
281,Geist::N,чун хавалӗ,mente
282,Geist::N,чун хавалӗ,espírito
283,Gedanke::N,шухӑш,ideia
284,Gedanke::N,шухӑш,pensamento
285,Gedächtnis::N,ас,memória
286,Verstand::N,ӑс,razão
287,Verstand::N,ӑс,inteligência
288,Verstand::N,ӑс-тӑн,razão
289,Verstand::N,ӑс-тӑн,inteligência
290,Verstand::N,ӑс-хакӑл,razão
291,Verstand::N,ӑс-хакӑл,inteligência
292,Sinn::N,тупсӑм,sentido
293,Sinn::N,тупсӑм,significado
294,Sinn::N,пӗлтерӗш,sentido
295,Sinn::N,пӗлтерӗш,significado
296,Grund::N,сӑлтав,causa
297,Grund::N,сӑлтав,motivo
298,Wahrheit::N,чӑнлӑх,verdade
299,Gespräch::N,калаҫу,conversa
300,Gespräch::N,калаҫу,conversação
301,Märchen::N,юмах,conto
302,Erzählung::N,акалав,conto
303,Erzählung::N,акалав,narrativa
304,Erzählung::N,каласа пани,conto
305,Erzählung::N,каласа пани,narrativa
306,Nachricht::N,хыпар,mensagem
307,Neuigkeit::N,ҫӗнӗ хыпар,notícia
308,Neuigkeit::N,ҫӗнӗ хыпар,novidade
309,Name::N,ят,nome
310,Rätsel::N,сутмалли юмах,adivinha
311,Rede::N,сӑмах,oração
312,Rede::N,сӑмах,discurso
313,Sprache::N,чӗлхе,língua
314,Stimme::N,сасӑ,voz
315,Wort::N,сӑмах,palavra
316,Zeichen::N,паллӑ,marca
317,Ruf::N,йыхрав,grito
318,Ruf::N,йыхрав,chamada
319,Ruf::N,чӗнӳ,grito
320,Ruf::N,чӗнӳ,chamada
321,Lärm::N,шав,ruído
322,Lärm::N,шав,barulho
323,Laut::N,сасӑ,som
324,Ton::N,сасӑ,tom
325,Lied::N,юрӑ,canção
326,Ruhe::N,канӑҫлӑх,calma
327,Ruhe::N,канӑҫлӑх,silêncio
328,Ruhe::N,лӑпкӑлӑх,calma
329,Ruhe::N,лӑпкӑлӑх,silêncio
330,Leute::N,ҫамрӑксем,gente
331,Leute::N,ҫамрӑксем,pessoas
332,Leute::N,ҫамрӑк ҫынсем,gente
333,Leute::N,ҫамрӑк ҫынсем,pessoas
334,Volk::N,халӑх,povo
335,Volk::N,халӑх,nação
336,Arbeit::N,ӗҫхӗл,trabalho
337,Arbeit::N,ӗҫлев,trabalho
338,Gast::N,хӑна,hóspede
339,Gast::N,хӑна,convidado
340,Geschenk::N,парне,prenda
341,Geschenk::N,парне,presente
342,Geschenk::N,кучченеҫ,prenda
343,Geschenk::N,кучченеҫ,presente
344,Spiel::N,вӑйӑ,jogo
345,Gesellschaft::N,общество,companhia
346,Hilfe::N,пулӑшу,ajuda
347,Hilfe::N,пулӑшу,socorro
348,Freund::N,тус,amigo
349,Kamerad::N,юлташ,camarada
350,Kamerad::N,тус,camarada
351,Angelegenheit::N,ӗҫ,assunto
352,Anzahl::N,йыш,número
353,Anzahl::N,йыш,quantidade
354,Anzahl::N,хисеп,número
355,Anzahl::N,хисеп,quantidade
356,Art::N,тӗс,tipo
357,Art::N,тӗс,espécie
358,Stück::N,татӑк,pedaço
359,Teil::N,пай,peça
360,Teil::N,пай,parte
361,Hälfte::N,ҫурӑ,metade
362,Kreis::N,ункӑ,círculo
363,Kreis::N,ҫавракӑш,círculo
364,Kreuz::N,хӗрес,cruz
365,Linie::N,йӗр,linha
366,Strich::N,йӗр,traço
367,Abstand::N,хушӑ,distância
368,Entfernung::N,хушӑ,distância
369,Gegend::N,вырӑн,área
370,Gegend::N,вырӑн,região
371,Platz::N,хутлӑх,lugar
372,Ort::N,вырӑн,sítio
373,Seite::N,ен,lado
374,Seite::N,аяк,lado
375,Seite::N,айӑк,lado
376,Mitte::N,варӑ,meio
377,Gegenstand::N,япала,objecto
378,Sache::N,япала,coisa
379,Rand::N,вӗҫ,bordo
380,Rand::N,вӗҫ,margem
381,Rand::N,хӗрӗ,bordo
382,Rand::N,хӗрӗ,margem
383,Rand::N,хӗрри,bordo
384,Rand::N,хӗрри,margem
385,Kante::N,хайкача,borda
386,Kante::N,хайкача,aresta
387,Kante::N,хысак,borda
388,Kante::N,хысак,aresta
389,Ecke::N,кӗтес,esquina
390,Spitze::N,вӗҫ,ponta
391,Ende::N,вӗҫ,cabo
392,Ende::N,вӗҫ,extremo
393,Loch::N,шӑтӑк,furo
394,Loch::N,шӑтӑк,buraco
395,Winkel::N,кӗтес,canto
396,Winkel::N,кӗтес,ângulo
397,Muster::N,эреш,padrão
398,Muster::N,эреш,desenho
399,Größe::N,пысӑкӑш,tamanho
400,Länge::N,вӑрӑмӑш,comprimento
401,Höhe::N,ҫӳллӗш,altura
402,Höhe::N,ҫӳллӗш,altitude
403,Gewicht::N,виҫе,peso
404,Gewicht::N,йывӑрӑш,peso
405,Menge::N,йыш,quantidade
406,Haufen::N,купа,pilha
407,Reihe::N,рет,fila
408,Boot::N,кимӗ,barco
409,Ruder::N,кӗсмен,remo
410,Schlitten::N,ҫуна,trenó
411,Ski::N,йӗлтӗр,esqui
412,Lagerfeuer::N,вут,fogueira
413,Lagerfeuer::N,кӑвайт,fogueira
414,Last::N,сулмаклӑх,carga
415,Last::N,йывӑр япала,carga
416,Gang::N,куҫӑм,curso
417,Gang::N,куҫӑм,caminhada
418,Schritt::N,утӑм,passo
419,Schritt::N,пусӑм,passo
420,Norden::N,ҫурҫӗр,norte
421,Süden::N,кӑнтӑр,sul
422,Westen::N,анӑҫ,oeste
423,Westen::N,анӑҫ,ocidente
424,Westen::N,хӗвел анӑҫ,oeste
425,Westen::N,хӗвел анӑҫ,ocidente
426,Osten::N,хӗвел тухӑҫ,este
427,Osten::N,хӗвел тухӑҫ,leste
428,Osten::N,хӗвел тухӑҫ,oriente
429,Holz::N,йывӑҫ,madeira
430,Brett::N,хӑма,tábua
431,Brett::N,хӑма,prancha
432,Platte::N,плита,laje
433,Platte::N,плита,chapa
434,Stütze::N,ура,apoio
435,Stütze::N,ура,suporte
436,Stange::N,шерте,vara
437,Stange::N,шерте,barra
438,Stock::N,патак,pau
439,Stock::N,патак,bengala
440,Stab::N,шӑчӑ,bastão
441,Rohr::N,пӑрӑх,cano
442,Haus::N,ҫурт,casa
443,Heim::N,кил,lar
444,Heim::N,кил,casa
445,Ofen::N,кӑмака,estufa
446,Ofen::N,кӑмака,aquecedor
447,Fußboden::N,урай,piso
448,Tisch::N,сӗтел,mesa
449,Stuhl::N,пукан,cadeira
450,Wiege::N,сӑпка,berço
451,Bett::N,кравать,cama
452,Regal::N,ҫӳлӗк,estante
453,Regal::N,ҫӳлӗк,prateleira
454,Regal::N,сентре,estante
455,Regal::N,сентре,prateleira
456,Kiste::N,ещӗк,caixa
457,Kiste::N,сунтӑх,caixa
458,Fenster::N,чӳрече,janela
459,Tür::N,алӑк,porta
460,Tor::N,хапха,portão
461,Zaun::N,хӳме,cerca
462,Zaun::N,хӳме,vedação
463,Dach::N,тӑрӑ,telhado
464,Leiter::N,пусма,escada
465,Leiter::N,пусма,escada móvel
466,Besen::N,шӑпӑр,vassoura
467,Spaten::N,кӗреҫе,pá
468,Schaufel::N,кӗреҫе,pá
469,Gabel::N,вилка,garfo
470,Löffel::N,кашӑк,colher
471,Messer::N,ҫӗҫӗ,faca
472,Nagel::N,пӑта,cravo
473,Netz::N,тетел,rede
474,Haken::N,йӑрхах,gancho
475,Haken::N,ҫекӗл,gancho
476,Griff::N,хӑлӑп,asa
477,Griff::N,хӑлӑп,cabo
478,Schloss::N,ҫӑра,fechadura
479,Bild::N,сӑн,imagem
480,Bild::N,сӑнлӑх,imagem
481,Bild::N,картина,imagem
482,Figur::N,кӗлетке,figura
483,Puppe::N,пукане,boneca
484,Beutel::N,михӗ,saco
485,Beutel::N,михӗ,bolsa
486,Bündel::N,ҫыхӑ,fardo
487,Bündel::N,тӗрке,fardo
488,Tasche::N,сумка,saco
489,Tasche::N,сумка,bolso
490,Eimer::N,витре,balde
491,Deckel::N,хупӑ,tampa
492,Geschirr::N,савӑт-сапа,louça
493,Sack::N,михӗ,saca
494,Tasse::N,курка,chávena
495,Topf::N,кастрюль,tacho
496,Topf::N,кастрюль,panela
497,Kessel::N,хуран,caldeira
498,Essen::N,апат,refeição
499,Nahrung::N,апат-ҫимӗс,comida
500,Nahrung::N,апат-ҫимӗс,alimento
501,Speise::N,апат,prato
502,Speise::N,ҫимӗҫ,prato
503,Fleisch::N,аш,carne
504,Fleisch::N,какай,carne
505,Getreide::N,тырӑ,cereais
506,Brei::N,пӑтӑ,puré
507,Brot::N,ҫӑкӑр,pão
508,Scheibe::N,чӗлӗ,fatia
509,Scheibe::N,касӑк,fatia
510,Fett::N,ҫу,banha
511,Fett::N,ҫу,gordura
512,Butter::N,ҫу,manteiga
513,Öl::N,ҫу,azeite
514,Salz::N,тӑвар,sal
515,Suppe::N,яшка,sopa
516,Suppe::N,яшка,caldo
517,Honig::N,пыл,mel
518,Milch::N,сӗт,leite
519,Tee::N,чей,chá
520,Leder::N,сӑран,couro
521,Wolle::N,ҫӑм,lã
522,Stoff::N,тӗртӗм,pano
523,Stoff::N,тӗртӗм,tecido
524,Nadel::N,йӗп,agulha
525,Faden::N,ҫип,fio
526,Knopf::N,тӳме,botão
527,Knoten::N,йӑлӑ,nó
528,Farbe::N,сӑрӑ,corante
529,Kleidung::N,тум,roupa
530,Kleidung::N,тум,vestuário
531,Kleidung::N,ҫипуҫ,roupa
532,Kleidung::N,ҫипуҫ,vestuário
533,Kleidung::N,тум-тир,roupa
534,Kleidung::N,тум-тир,vestuário
535,Hemd::N,кӗпе,camisa
536,Kragen::N,ҫуха,gola
537,Ärmel::N,ҫанӑ,manga
538,Hose::N,шӑлавар,calça
539,Gürtel::N,пиҫиххи,cinto
540,Mütze::N,ҫӗлӗк,boné
541,Mütze::N,ҫӗлӗк,barrete
542,Schuh::N,пушмак,sapato
543,Schuh::N,ботинок,sapato
544,Stiefel::N,атӑ,bota
545,Ring::N,ҫӗрӗ,anel
546,Band::N,хаю,fita
547,Band::N,хаю,faixa
548,Band::N,йӗсме,fita
549,Band::N,йӗсме,faixa
550,Kamm::N,тура,pente
551,Spiegel::N,тӗкӗр,espelho
552,Spiegel::N,куҫ кӗски,espelho
553,Riemen::N,чӗн,correia
554,Schnur::N,кантра,corda
555,Schnur::N,кантра,cordel
556,Leine::N,касмӑк,trela
557,Decke::N,утиял,cobertor
558,Kissen::N,ҫытар,almofada
559,Kissen::N,минтер,almofada
560,Tuch::N,тутӑр,pano
561,Handtuch::N,ал шӑлли,toalha
562,Kraft::N,вӑй,força
563,Kraft::N,хӑват,força
564,Stärke::N,хал,força
565,Stärke::N,хӑват,força
566,Gesundheit::N,хал,saúde
567,Gesundheit::N,сывлӑх,saúde
568,Krankheit::N,чир,doença
569,Krankheit::N,чир,enfermidade
570,Schmerz::N,ырату,dor
571,Wunde::N,суран,chaga
572,Wunde::N,суран,ferida
573,Fieber::N,сив чир,febre
574,Arznei::N,эмел,remédio
575,Brücke::N,кӗпер,ponte
576,Brunnen::N,ҫӑл,poço
577,Brunnen::N,пусӑ,poço
578,Weide::N,ҫаран,pastagem
579,Pfad::N,йӗр,senda
580,Pfad::N,йӗр,trilho
581,Pfad::N,сукмак,senda
582,Pfad::N,сукмак,trilho
583,Weg::N,ҫул,caminho
584,Weg::N,ҫул-йӗр,caminho
585,Straße::N,ҫӳрев,via
586,Straße::N,ҫӳрев,estrada
587,Straße::N,ҫул ҫӳрени,via
588,Straße::N,ҫул ҫӳрени,estrada
589,Dorf::N,ял,aldeia
590,Stadt::N,хула,cidade
591,Brief::N,ҫыру,carta
592,Buch::N,кӗнеке,livro
593,Buchstabe::N,сас палли,letra
594,Zeitung::N,хаҫат,jornal
595,Leben::N,пурнӑҫ,vida
596,Tod::N,вилӗм,morte
597,Grab::N,масар шӑтӑкӗ,túmulo
598,Grab::N,масар шӑтӑкӗ,sepultura
599,Kirche::N,чиркӳ,igreja
600,Sünde::N,ҫылӑх,pecado
601,Gott::N,турӑ,deus
602,Arbeiter::N,рабочи,operário
603,Arbeiter::N,рабочи,trabalhador
604,Chef::N,пуҫлӑх,chefe
605,Chef::N,пуҫлӑх,patrão
606,Meister::N,ӑста,mestre
607,Meister::N,мастер,mestre
608,Arzt::N,врач,médico
609,Arzt::N,тухтӑр,médico
610,Lehrer::N,учитель,professor
611,Lehrer::N,вӗрентекен,professor
612,Geld::N,укҫа,dinheiro
613,Geschäft::N,бизнес,negócio
614,Laden::N,магазин,loja
615,Preis::N,хак,preço
616,Ware::N,тавар,mercadoria
617,Nutzen::N,пайта,proveito
618,Reichtum::N,мул,riqueza
619,Welt::N,тӗнче,mundo
620,Land::N,ҫӗр-шыв,país
621,Staat::N,патшàлӑх,Estado
622,König::N,король,rei
623,Macht::N,власть,poder
624,Macht::N,власть,potência
625,Grenze::N,чикӗ,fronteira
626,Krieg::N,вӑрҫӑ,guerra
627,Feind::N,тӑшман,inimigo
628,Gewalt::N,ирӗксӗрлӳ,violência
629,Kampf::N,кӗрешӳ,luta
630,Kampf::N,кӗрешӳ,combate
631,Bogen[Waffe]::N,ухӑ,arco
632,Pfeil::N,ҫӗмрен,seta
633,Pfeil::N,ҫӗмрен,flecha
634,Pfeil::N,ухӑ йӗппи,seta
635,Pfeil::N,ухӑ йӗппи,flecha
636,Gewehr::N,пӑшал,espingarda
637,Fehler::N,йӑнӑш,erro
638,Fehler::N,йӑнӑш,falha
639,Lüge::N,суя,mentira
640,Lüge::N,ултав,mentira
641,Schaden::N,сиен,dano
642,Schaden::N,сиен,estrago
643,Unglück::N,шар,desgraça
644,Unglück::N,инкек,desgraça
645,Schuld::N,айӑп,culpa
646,Alter::N,ҫул шучӗ,idade
647,Schluss::N,пӗтни,fim
648,Schluss::N,пӗтмӗш,fim
649,Zeit::N,вӑхӑт,tempo
650,Tag::N,кун,dia
651,Morgen::N,ир,manhã
652,Mittag::N,кӑнтӑрла,meio-dia
653,Abend::N,каҫ,noite
654,Abend::N,каҫ,tardinha
655,Nacht::N,каҫ,noite
656,Woche::N,эрне,semana
657,Monat::N,уйӑх,mês
658,Jahr::N,ҫулталӑк,ano
659,Frühling::N,ҫур,primavera
660,Frühling::N,ҫуркунне,primavera
661,Sommer::N,ҫу,verão
662,Sommer::N,ҫулла,verão
663,Herbst::N,кӗр,outono
664,Herbst::N,кӗркунне,outono
665,Winter::N,хӗл,inverno
666,Winter::N,хӗлле,inverno
667,Januar::N,январь,Janeiro
668,Februar::N,февраль,Fevereiro
669,Februar::N,кӗҫӗн кӑрлач,Fevereiro
670,März::N,март,Março
671,März::N,пуш уйӑхӗ,Março
672,April::N,апрель,Abril
673,Mai::N,май,Maio
674,Juni::N,июнь,Junho
675,Juli::N,июль,Julho
676,August::N,август,Agosto
677,September::N,сентябрь,Setembro
678,September::N,авӑн уйӑхӗ,Setembro
679,Oktober::N,октябрь,Outubro
680,November::N,ноябрь,Novembro
681,Dezember::N,раштав,Dezembro
682,Dezember::N,декабрь,Dezembro
683,Montag::N,тунти кун,segunda-feira
684,Dienstag::N,ытлари кун,terça-feira
685,Mittwoch::N,юн кун,quarta-feira
686,Donnerstag::N,кӗҫнерни кун,quinta-feira
687,Freitag::N,эрне кун,sexta-feira
688,Samstag::N,шӑмат кун,sábado
689,Sonntag::N,вырсарни кун,domingo
690,groß::A,пысӑк,grande
691,klein::A,пӗчӗк,pequeno
692,lang::A,вӑрӑм,comprido
693,kurz::A,кӗске,curto
694,breit::A,сарлака,largo
695,schmal::A,ансӑр,estreito
696,dicht::A,йӑвӑ,denso
697,dick[Gegenstand]::A,хулӑн,grosso
698,dünn::A,ҫинҫе,delgado
699,dünn::A,ҫӳхе,delgado
700,fein::A,тарай,fino
701,fein::A,тарай,subtil
702,fein::A,вӗлтӗрти,fino
703,fein::A,вӗлтӗрти,subtil
704,fest::A,тӗреклӗ,firme
705,fest::A,тӗреклӗ,sólido
706,flach::A,лаптак,plano
707,glatt::A,такӑр,liso
708,hart::A,хытӑ,duro
709,weich::A,ҫемҫе,mole
710,rund::A,ҫавра,redondo
711,spitz::A,шӗвӗр,agudo
712,scharf::A,ҫивӗч,afiado
713,stumpf::A,мӑка,rombo
714,stumpf::A,пуклак,rombo
715,stumpf::A,тӗрӗнчӗк,rombo
716,stumpf::A,ӑнкарусӑр,rombo
717,schwer::A,йывӑр,pesado
718,schön::A,илемлӗ,belo
719,schön::A,илемлӗ,bonito
720,heiß::A,вӗри,quente
721,warm::A,ӑшӑ,quente
722,kalt::A,сивӗ,frio
723,kühl::A,уҫӑ,fresco
724,frisch::A,уҫӑ,fresco
725,feucht::A,йӗпе,húmido
726,nass::A,нӳрӗ,molhado
727,trocken::A,типӗ,seco
728,voll::A,тулли,cheio
729,leer::A,пушӑ,vazio
730,offen::A,уҫӑ,aberto
731,geschlossen::A,хупӑ,fechado
732,sauber::A,таса,limpo
733,schmutzig::A,пылчӑклӑ,sujo
734,schmutzig::A,вараланчӑк,sujo
735,roh::A,чӗрӗ,cru
736,reif::A,пулнӑ,maduro
737,reif::A,пиҫӗхнӗ,maduro
738,reif::A,аталаннӑ,maduro
739,reif::A,пиҫсе ҫитнӗ,maduro
