,Concept_ID,kn,et
63,Wind::N,ಗಾಳಿ,tuul
64,Welle::N,ಅಲೆ,laine
65,Wasser::N,ನೀರು,vesi
66,Stein::N,ಕಲ್ಲು,kivi
67,Boden::N,ನೆಲ,maa
68,Boden::N,ನೆಲ,pinnas
69,Erde::N,ಭೂಮಿ,maa
70,Staub::N,ದೂಳು,põrm
71,Rauch::N,ಹೊಗೆ,suits
72,Funke::N,ಕಿಡಿ,säde
73,Feuer::N,ಬೆಂಕಿ,tuli
74,Licht::N,ಬೆಳಕು,valgus
75,Schatten::N,ನೆರಳು,vari
76,Wetter::N,ಹವ,ilm
77,Nebel::N,ಮಂಜು,udu
78,Wolke::N,ಮೋಡ,pilv
79,Regen::N,ಮಳೆ,sadu
80,Schnee::N,ಹಿಮ,lumi
81,Eis::N,ಮಂಜುಗಡ್ಡೆ,jää
82,Frost::N,ಮಂಜು,pakane
83,Kälte::N,ಹಿಮ,külm
84,Kälte::N,ಹಿಮ,külmus
85,Hitze::N,ಉಷ್ಣ,kuumus
86,Hitze::N,ಉಷ್ಣ,palavus
87,Raureif::N,ಇಬ್ಬನಿ,härmatis
88,Regenbogen::N,ಇಂದ್ರಚಾಪ,vikerkaar
89,Donner::N,ಗುಡುಗು,kõu
90,Donner::N,ಗುಡುಗು,müristamine
91,Strömung::N,ಪ್ರವಾಹ,voolus
92,Strömung::N,ಪ್ರವಾಹ,jõevool
93,Tropfen::N,ತೊಟ್ಟು,tilk
94,Schaum::N,ನೊರೆ,vaht
95,Schmutz::N,ಕಸ,pori
96,Schmutz::N,ಕಸ,mustus
97,See::N,ಸರೋವರ,järv
98,Sumpf::N,ಜೌಗುಸ್ಥಳ,soo
99,Moor::N,ಬಂಜರು ಭೂಮಿ,raba
100,Wiese::N,ಹುಲ್ಲುಗಾವಲು,aas
101,Wiese::N,ಹುಲ್ಲುಗಾವಲು,nurm
102,Wald::N,ಕಾಡು,mets
103,Hügel::N,ಗುಡ್ಡೆ,küngas
104,Anhöhe::N,ದಿಬ್ಬ,küngas
105,Berg::N,ಮಲೆ,mägi
106,Berg::N,ಪರ್ವತ,mägi
107,Gipfel::N,ಶೃಂಗ,mäetipp
108,Höhle::N,ಗುಹೆ,koobas
109,Abhang::N,ಇಳಿಜಾರು,nõlvak
110,Quelle::N,ಮೂಲ,allikas
111,Bach::N,ತೊರೆ,oja
112,Fluss::N,ನದಿ,jõgi
113,Ufer::N,ತೀರ,kallas
114,Küste::N,ದಂಡೆ,rannik
115,Festland::N,ಭೂಮಿ,mander
116,Festland::N,ಭೂಮಿ,maismaa
117,Meer::N,ಕಡಲು,meri
118,Bucht::N,ಖಾರಿ,laht
119,Insel::N,ದ್ವೀಪ,saar
120,Blume::N,ಸುಮ,lill
121,Gras::N,ಹುಲ್ಲು,rohi
122,Wurzel::N,ಬೇರು,juur
123,Baum::N,ಮರ,puu
124,Stamm::N,ಕಾಂಡ,tüvi
125,Rinde::N,ತೂಗಟಿ,koor
126,Ast::N,ಶಾಖೆ,oks
127,Zweig::N,ರೆಂಬೆ,oks
128,Blatt::N,ಎಲೆ,leht
129,Birke::N,ಬರ್ಚ್ ಮರ,kask
130,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,mänd
131,Weide[Baum]::N,ವಿಲೋಮರ,paju
132,Tanne::N,ಭದ್ರದಾರು,nulg
133,Horn::N,ಕೊಂಬು,sarv
134,Feder::N,ಪುಕ್ಕ,sulg
135,Fell::N,ರೋಮ,karvkate
136,Fell::N,ರೋಮ,karusnahk
137,Flügel::N,ರೆಕ್ಕೆ,tiib
138,Flügel::N,ರೆಕ್ಕೆ,tiivik
139,Klaue::N,ಪಂಜ,küüs
140,Kralle::N,ಉಗುರು,küünis
141,Schwanz::N,ಬಾಲ,saba
142,Ei::N,ಮೊಟ್ಟೆ,muna
143,Nest::N,ಗೂಡು,pesa
144,Bau::N,ಅಡಗುದಾಣ,urg
145,Tier::N,ಪ್ರಾಣಿ,loom
146,Herde::N,ಗುಂಪು,kari
147,Kuh::N,ಹಸು,lehm
148,Bulle::N,ಗೂಳಿ,pull
149,Pferd::N,ಕುದುರೆ,hobune
150,Schaf::N,ಕುರಿ,lammas
151,Schwein::N,ಹಂದಿ,siga
152,Hund::N,ನಾಯಿ,koer
153,Katze::N,ಬೆಕ್ಕು,kass
154,Bär::N,ಕರಡಿ,karu
155,Eichhörnchen::N,ಉಡುತೆ,orav
156,Elch::N,ಕಡವೆ,põder
157,Fuchs::N,ನರಿ,rebane
158,Hase::N,ಮೊಲ,jänes
159,Maus::N,ಇಲಿ,hiir
160,Wolf::N,ತೋಳ,hunt
161,Vogel::N,ಪಕ್ಷಿ,lind
162,Schwarm::N,ಗುಂಪು,parv
163,Huhn::N,ಚಿಕ್,kana
164,Hahn::N,ಹುಂಜ,kukk
165,Gans::N,ವರಟೆ,hani
166,Adler::N,ಗರುಡ,kotkas
167,Ente::N,ಬಾತು,part
168,Eule::N,ಗೂಬೆ,kakk
169,Eule::N,ಗೂಬೆ,öökull
170,Kranich::N,ಕೊಕ್ಕರ,kurg
171,Krähe::N,ಕಾಗೆ,vares
172,Kuckuck::N,ಕೋಗಿಲೆ,kägu
173,Schwan::N,ಹಂಸಪಕ್ಷಿ,luik
174,Fisch::N,ಮೀನು,kala
175,Barsch::N,ಪರ್ಚ್ ಮೀನು,ahven
176,Hecht::N,ಪೈಕ್ ಮೀನು,haug
177,Schlange[Tier]::N,ಹಾವು,uss
178,Wurm::N,ಹುಳು,uss
179,Wurm::N,ಹುಳು,vagel
180,Spinne::N,ಊರ್ಣನಾಭ,ämblik
181,Ameise::N,ಇರುವೆ,sipelgas
182,Laus::N,ಹೇನು,täi
183,Mücke::N,ಸೊಳ್ಳೆ,sääsk
184,Fliege::N,ನೊಣ,kärbes
185,Schmetterling::N,ಪತಂಗ,liblikas
186,Beere::N,ನಯವಣ್ಣು,mari
187,Apfel::N,ಸೇಬು,õun
188,Pilz::N,ಅಣಬೆ,seen
189,Zwiebel::N,ನೀರುಳ್ಳಿ,sibul
190,Saat::N,ಬಿತ್ತ,seeme
191,Korn::N,ಬೀಜ,iva
192,Korn::N,ಬೀಜ,tera
193,Heu::N,ಕರಡ,hein
194,Schale::N,ಹೊಟ್ಟು,koor
195,Grube::N,ಗುಂಡಿ,kaevand
196,Falle::N,ಬೋನು,lõks
197,Falle::N,ಬೋನು,püünis
198,Schlinge::N,ಉರುಲು,aas
199,Spur::N,ಜಾಡು,jälg
200,Asche::N,ಬೂದಿ,tuhk
201,Dreck::N,ಹೊಲಸು,saast
202,Dreck::N,ಹೊಲಸು,mustus
203,Eisen::N,ಕಬ್ಬಿಣ,raud
204,Gold::N,ಚಿನ್ನ,kuld
205,Silber::N,ಬೆಳ್ಳಿ,hõbe
206,Kohle::N,ಕಲ್ಲಿದ್ದಲು,süsi
207,Glas::N,ಗಾಜು,klaas
208,Lehm::N,ಜೇಡಿಮಣ್ಣು,savi
209,Sand::N,ಮರಳು,liiv
210,Mensch::N,ಪುರುಷ,inimene
211,Mann::N,ಆಳು,mees
212,Frau::N,ಹೆಣ್ಣು,naine
213,Kind::N,ಮಗು,laps
214,Junge::N,ಹುಡುಗ,poiss
215,Mädchen::N,ಹುಡುಗಿ,tüdruk
216,Familie::N,ಕುಟುಂಬ,perekond
217,Großvater::N,ಅಜ್ಜ,vanaisa
218,Großmutter::N,ಅಮ್ಮ,vanaema
219,Eltern::N,ಹೆತ್ತವರು,vanemad
220,Vater::N,ತಂದೆ,isa
221,Mutter::N,ಅಮ್ಮ,ema
222,Sohn::N,ಮಗ ,poeg
223,Tochter::N,ಮಗಳು,tütar
224,Bruder::N,ತಮ್ಮ,vend
225,Schwester::N,ತಂಗಿ,õde
226,Onkel::N,ಸೋದರಮಾವ,onu
227,Onkel::N,ದೊಡ್ಡಪ್ಪ,onu
228,Tante::N,ಚಿಕ್ಕಮ್ಮ,tädi
229,Ehemann::N,ಗಂಡ,mees
230,Ehemann::N,ಗಂಡ,abikaasa
231,Ehefrau::N,ಹೆಂಡತಿ,naine
232,Ehefrau::N,ಹೆಂಡತಿ,abikaasa
233,Freude::N,ನಲಿವು,rõõm
234,Gelächter::N,ನಗೆ,naer
235,Glück::N,ಆನಂದ,õnn
236,Kummer::N,ದುಃಖ,mure
237,Kummer::N,ದುಃಖ,kurbus
238,Wunsch::N,ಬಯಕೆ,soov
239,Lust::N,ಇಷ್ಟ,himu
240,Geist::N,ಆತ್ಮ,vaim
241,Gedanke::N,ಯೋಚನೆ,mõte
242,Gedächtnis::N,ಸ್ಮರಣೆ,mälu
243,Verstand::N,ಮನಸ್ಸು,aru
244,Verstand::N,ಮನಸ್ಸು,mõistus
245,Sinn::N,ಅರ್ಥ,tähendus
246,Grund::N,ಕಾರಣ,põhjus
247,Wahrheit::N,ಸತ್ಯ,tõde
248,Gespräch::N,ಸಂಭಾಷಣೆ,kõne
249,Gespräch::N,ಸಂಭಾಷಣೆ,vestlus
250,Märchen::N,ಸುಳ್ಳು ಕಥೆ,muinasjutt
251,Erzählung::N,ಕಥೆ,jutustus
252,Nachricht::N,ಸಂದೇಶ,teade
253,Neuigkeit::N,ಸುದ್ದಿ,uudis
254,Name::N,ಹೆಸರು,nimi
255,Rätsel::N,ಒಗಟು,mõistatus
256,Rede::N,ಮಾತು,kõne
257,Sprache::N,ಭಾಷೆ,keel
258,Stimme::N,ಧ್ವನಿ,hääl
259,Wort::N,ಮಾತು,sõna
260,Zeichen::N,ಗುರುತು,märk
261,Ruf::N,ಕೂಗು,hüüe
262,Lärm::N,ಸದ್ದು,müra
263,Laut::N,ಶಬ್ದ,hääl
264,Ton::N,ನಾದ,toon
265,Lied::N,ಗಾನ,laul
266,Ruhe::N,ಶಾಂತಿ,rahu
267,Ruhe::N,ಶಾಂತಿ,vaikus
268,Leute::N,ಮಂದಿ,inimesed
269,Volk::N,ಜನಾಂಗ,rahvas
270,Arbeit::N,ಕೆಲಸ,töö
271,Gast::N,ಅತಿಥಿ,külaline
272,Geschenk::N,ಕಾಣಿಕೆ,kingitus
273,Spiel::N,ಆಟ,mäng
274,Gesellschaft::N,ಸಂಗ,selts
275,Hilfe::N,ಸಹಾಯ,abi
276,Freund::N,ಸ್ನೇಹಿತ,sõber
277,Kamerad::N,ಜೊತೆಗಾರ,sõber
278,Angelegenheit::N,ವಿಚಾರ,asi
279,Anzahl::N,ಎಣಿಕೆ,arv
280,Anzahl::N,ಎಣಿಕೆ,hulk
281,Art::N,ತರ,liik
282,Stück::N,ತುಂಡು,tükk
283,Teil::N,ಭಾಗ,osa
284,Hälfte::N,ಅರ್ಧ,pool
285,Kreis::N,ವೃತ್ತ,ring
286,Kreuz::N,ಶಿಲುಬೆ,rist
287,Linie::N,ರೀಖೆ,joon
288,Strich::N,ಗೀಟು,joon
289,Abstand::N,ಅಂತರ,vahe
290,Entfernung::N,ದೂರ,kaugus
291,Entfernung::N,ದೂರ,vahemaa
292,Gegend::N,ವಿಸ್ತೀರ್ಣ,ümbrus
293,Platz::N,ಅಂತರ,ruum
294,Ort::N,ಸ್ಥಳ,paik
295,Seite::N,ಪಕ್ಷ,pool
296,Mitte::N,ನಡು,keskpaik
297,Gegenstand::N,ವಸ್ತು,ese
298,Sache::N,ವಸ್ತು,ese
299,Rand::N,ಅಂಚು,äär
300,Rand::N,ಅಂಚು,serv
301,Kante::N,ಅಂಚು,kant
302,Ecke::N,ಮೂಲೆ,nurk
303,Spitze::N,ತುದಿ,teravik
304,Ende::N,ಕೊನೆ,ots
305,Ende::N,ಕೊನೆ,jupp
306,Loch::N,ತೂತು,auk
307,Winkel::N,ಕೋನ,nurk
308,Muster::N,ನಮೂನೆ,muster
309,Größe::N,ಪ್ರಮಾಣ,suurus
310,Länge::N,ಉದ್ದ,pikkus
311,Höhe::N,ಎತ್ತರ,kõrgus
312,Gewicht::N,ತೂಕ,kaal
313,Gewicht::N,ತೂಕ,raskus
314,Menge::N,ಮೊತ್ತ,arv
315,Menge::N,ಮೊತ್ತ,hulk
316,Haufen::N,ರಾಶಿ,hunnik
317,Reihe::N,ಸಾಲು,rivi
318,Boot::N,ದೋಣಿ,paat
319,Ruder::N,ಹುಟ್ಟು,aer
320,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,saan
321,Ski::N,ಜಾರುಪಟ್ಟಿ,suusk
322,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,lõke
323,Last::N,ಹೊರೆ,koorem
324,Gang::N,ತಿರುಗಾಟ,käik
325,Schritt::N,ಹೆಜ್ಜೆ,samm
326,Norden::N,ಉತ್ತರ,põhi
327,Süden::N,ದಕ್ಷಿಣ,lõuna
328,Westen::N,ಪಶ್ಚಿಮ,lääs
329,Osten::N,ಮೂಡಲು,ida
330,Holz::N,ಚೌಬೀನೆ,puu
331,Brett::N,ಹಲಗೆ,saelaud
332,Platte::N,ಹಲಗೆ,plaat
333,Stütze::N,ಆಸರೆ,tugi
334,Stange::N,ಕಂಬ,latt
335,Stange::N,ಕಂಬ,teivas
336,Stock::N,ಕೋಲು,kepp
337,Stab::N,ದೊಣ್ಣೆ,varras
338,Rohr::N,ನಳಿಕೆ,toru
339,Haus::N,ಮನೆ,maja
340,Heim::N,ಗೃಹ,kodu
341,Ofen::N,ಒಲೆ,ahi
342,Fußboden::N,ನೆಲ,põrand
343,Tisch::N,ಮೇಜು,laud
344,Stuhl::N,ಕುರ್ಚಿ,tool
345,Wiege::N,ತೊಟ್ಟಿಲು,häll
346,Wiege::N,ತೊಟ್ಟಿಲು,kätki
347,Bett::N,ಹಾಸಿಗೆ,voodi
348,Regal::N,ಬೀರು,riiul
349,Kiste::N,ಪಟ್ಟಿಗೆ,kast
350,Fenster::N,ಕಿಟಕಿ,aken
351,Tür::N,ಬಾಗಿಲು,uks
352,Tor::N,ಹೆಬ್ಬಾಗಿಲು,värav
353,Zaun::N,ಬೇಲಿ,aed
354,Zaun::N,ಬೇಲಿ,tara
355,Dach::N,ಮಾಳಿಗೆ,katus
356,Leiter::N,ಏಣಿ,redel
357,Besen::N,ಪೊರಕೆ,luud
358,Spaten::N,ಗುದ್ದಲಿ,labidas
359,Schaufel::N,ಸನಿಕೆ,kühvel
360,Gabel::N,ಕವಲು,kahvel
361,Löffel::N,ಚಮಚ,lusikas
362,Messer::N,ಚಾಕು,nuga
363,Nagel::N,ಆಣಿ,nael
364,Netz::N,ಬಲೆ,võrk
365,Haken::N,ಕೊಂಡಿ,haak
366,Haken::N,ಕೊಂಡಿ,konks
367,Griff::N,ಹಿಡಿ,sang
368,Griff::N,ಹಿಡಿ,käepide
369,Schloss::N,ವೀಗ,lukk
370,Bild::N,ಚಿತ್ರ,pilt
371,Figur::N,ಆಕಾರ,kuju
372,Figur::N,ಆಕಾರ,kujund
373,Puppe::N,ಗೊಂಬೆ,nukk
374,Beutel::N,ಸಂಚಿ,paun
375,Bündel::N,ಕಟ್ಟು,kimp
376,Tasche::N,ಚೀಲ,kott
377,Eimer::N,ಬಾನೆ,pang
378,Eimer::N,ಬಾನೆ,ämber
379,Deckel::N,ಮುಚ್ಚಳ,kaas
380,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,nõud
381,Sack::N,ಮೂಟೆ,kott
382,Tasse::N,ಬಟ್ಟಲು,tass
383,Topf::N,ಮಡಕೆ,pada
384,Kessel::N,ಕೆಟಲ್,pada
385,Essen::N,ಊಟ,söök
386,Nahrung::N,ಆಹಾರ,toit
387,Speise::N,ಊಟ,roog
388,Fleisch::N,ಮಾಂಸ,liha
389,Getreide::N,ಧಾನ್ಯ,teravili
390,Brei::N,ಗಂಜಿ,puder
391,Brot::N,ರೊಟ್ಟಿ,sai
392,Brot::N,ರೊಟ್ಟಿ,leib
393,Scheibe::N,ಹೋಳು,viil
394,Scheibe::N,ಹೋಳು,viilukas
395,Fett::N,ಕೊಬ್ಬು,rasv
396,Butter::N,ಬೆಣ್ಣೆ,või
397,Öl::N,ಎಣ್ಣೆ,õli
398,Salz::N,ಉಪ್ಪು,sool
399,Suppe::N,ಎಸರು,supp
400,Honig::N,ಮಧು,mesi
401,Milch::N,ಹಾಲು,piim
402,Tee::N,ಚಹ,tee
403,Leder::N,ಚಕ್ಕಳ,nahk
404,Wolle::N,ಉಣ್ಣೆ,vill
405,Stoff::N,ಬಟ್ಟೆ,kangas
406,Nadel::N,ಸೂಜಿ,nõel
407,Faden::N,ದಾರ,niit
408,Knopf::N,ಗುಂಡು,nööp
409,Knoten::N,ಗಂಟು,sõlm
410,Farbe::N,ಬಣ್ಣ,värv
411,Kleidung::N,ಅರಿವೆ,riided
412,Kleidung::N,ಅರಿವೆ,riietus
413,Hemd::N,ಅಂಗಿ,särk
414,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,krae
415,Ärmel::N,ತೋಳು,varrukas
416,Hose::N,ಇಜಾರ,püksid
417,Gürtel::N,ಬೆಲ್ಟು,vöö
418,Mütze::N,ಟೋಪಿ,müts
419,Schuh::N,ಪಾದರಕ್ಷೆ,king
420,Stiefel::N,ಬೂಟು,saabas
421,Ring::N,ಉಂಗುರ,sõrmus
422,Band::N,ರಿಬ್ಬನ್,lint
423,Kamm::N,ಹಣಿಗೆ,kamm
424,Spiegel::N,ಕನ್ನಡಿ,peegel
425,Riemen::N,ಬಾರು,rihm
426,Schnur::N,ಹುರಿ,nöör
427,Leine::N,ಹಗ್ಗ,jalutusrihm
428,Decke::N,ಕಂಬಳಿ,tekk
429,Kissen::N,ದಿಂಬು,padi
430,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,kalev
431,Handtuch::N,ಚೌಕ,käterätik
432,Kraft::N,ಬಲ,jõud
433,Stärke::N,ಶಕ್ತಿ,tugevus
434,Gesundheit::N,ಆರೋಗ್ಯ,tervis
435,Krankheit::N,ರೋಗ,haigus
436,Schmerz::N,ನೋವು,valu
437,Wunde::N,ಗಾಯ,haav
438,Fieber::N,ಜ್ವರ,palavik
439,Arznei::N,ಔಷಧ,ravim
440,Brücke::N,ಸೇತುವೆ,sild
441,Brunnen::N,ಬಾವಿ,kaev
442,Weide::N,ಗೋಮಾಳ,karjamaa
443,Pfad::N,ದಾರಿ,rada
444,Weg::N,ಹಾದಿ,tee
445,Straße::N,ರಸ್ತೆ,tee
446,Dorf::N,ಹಳ್ಳಿ,küla
447,Stadt::N,ಪಟ್ಟಣ,linn
448,Brief::N,ಕಾಗದ,kiri
449,Buch::N,ಪುಸ್ತಕ,raamat
450,Buchstabe::N,ಅಕ್ಷರ,täht
451,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,ajaleht
452,Leben::N,ಜೀವನ,elu
453,Tod::N,ಮರಣ,surm
454,Grab::N,ಗೋರಿ,haud
455,Kirche::N,ಚರ್ಚು,kirik
456,Sünde::N,ಪಾಪ,patt
457,Gott::N,ದೇವರು,jumal
458,Arbeiter::N,ಕೆಲಸಗಾರ,tööline
459,Chef::N,ದಣಿ,ülemus
460,Chef::N,ದಣಿ,juhataja
461,Meister::N,ಶಿಕ್ಷಕ,meister
462,Arzt::N,ವೈದ್ಯ,arst
463,Lehrer::N,ಉಪಾಧ್ಯಾಯ,õpetaja
464,Geld::N,ಹಣ,raha
465,Geschäft::N,ವಾಣಿಜ್ಯ,äri
466,Laden::N,ಅಂಗಡಿ,pood
467,Laden::N,ಅಂಗಡಿ,kauplus
468,Preis::N,ಬೆಲೆ,hind
469,Ware::N,ಸರಕು,kaup
470,Nutzen::N,ಲಾಭ,tulu
471,Nutzen::N,ಲಾಭ,kasulikkus
472,Reichtum::N,ಸಂಪತ್ತು,rikkus
473,Welt::N,ಭೂಲೋಕ,maailm
474,Land::N,ದೇಶ,maa
475,Staat::N,ರಾಜ್ಯ,riik
476,König::N,ರಾಜ,kuningas
477,Macht::N,ಅಧಿಕಾರ,võim
478,Grenze::N,ಗಡಿ,piir
479,Krieg::N,ಯುದ್ಧ,sõda
480,Feind::N,ಶತ್ರು,vaenlane
481,Gewalt::N,ಹಿಂಸೆ,väevõim
482,Kampf::N,ಹೋರಾಟ,võitlus
483,Bogen[Waffe]::N,ಬಿಲ್ಲು,vibu
484,Pfeil::N,ಅಂಬು,nool
485,Gewehr::N,ಬಂದೂಕು,püss
486,Fehler::N,ತಪ್ಪು,viga
487,Lüge::N,ಸುಳ್ಳು,vale
488,Schaden::N,ಹಾನಿ,kahju
489,Unglück::N,ಅಪಾಯ,häda
490,Unglück::N,ಅಪಾಯ,õnnetus
491,Schuld::N,ದೋಷ,süü
492,Alter::N,ಮುಪ್ಪು,iga
493,Schluss::N,ಮುಕ್ತಾಯ,lõpp
494,Zeit::N,ಕಾಲ,aeg
495,Tag::N,ದಿನ,päev
496,Morgen::N,ಮುಂಜಾನೆ,hommik
497,Mittag::N,ನಡುಹಗಲು,lõuna
498,Mittag::N,ನಡುಹಗಲು,keskpäev
499,Abend::N,ಸಂಜೆ,õhtu
500,Nacht::N,ರಾತ್ರಿ,öö
501,Woche::N,ವಾರ,nädal
502,Monat::N,ತಿಂಗಳು,kuu
503,Jahr::N,ಸಂವತ್ಸರ,aasta
504,Frühling::N,ವಸಂತ,kevad
505,Sommer::N,ಬಿಸಿಲುಕಾಲ,suvi
506,Herbst::N,ಶರತ್ಕಾಲ,sügis
507,Winter::N,ಚಳಿಗಾಲ,talv
508,Januar::N,ನಾಲ್ಚಳಿ,jaanuar
509,Februar::N,ಅಯ್ಚಳಿ,veebruar
510,März::N,ಮೊಬ್ಬೇಸಿಗೆ,märts
511,April::N,ಇಬ್ಬೇಸಿಗೆ,aprill
512,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,mai
513,Juni::N,ಮೊಮ್ಮಳೆ,juuni
514,Juli::N,ಇಮ್ಮಳೆ,juuli
515,August::N,ಮುಮ್ಮಳೆ,august
516,September::N,ನಾಲ್ಮಳೆ,september
517,Oktober::N,ಮೊಚ್ಚಳಿ,oktoober
518,November::N,ಇಚ್ಚಳಿ,november
519,Dezember::N,ಮುಚ್ಚಳಿ,detsember
520,Montag::N,ಸೋಮುವಾರ,esmaspäev
521,Dienstag::N,ಮಂಗಳವಾರ,teisipäev
522,Mittwoch::N,ಬುಧವಾರ,kesknädal
523,Donnerstag::N,ಗುರುವಾರ,neljapäev
524,Freitag::N,ಶುಕ್ರವಾರ,reede
525,Samstag::N,ಶನಿವಾರ,laupäev
526,Sonntag::N,ಭಾನುವಾರ,pühapäev
527,groß::A,ದೊಡ್ಡ,suur
528,klein::A,ಪುಟ್ಟ,väike
529,klein::A,ಪುಟ್ಟ,pisike
530,lang::A,ದೀರ್ಘ,pikk
531,kurz::A,ಚಕ್ಕ,lühike
532,breit::A,ಅಗಲವಾದ,lai
533,schmal::A,ಇಕ್ಕಟ್ಟಾದ,kitsas
534,dicht::A,ದಟ್ಟ,tihe
535,dick[Gegenstand]::A,ದಟ್ಟ,jäme
536,dünn::A,ತೆಳು,õhuke
537,dünn::A,ತೆಳು,peenike
538,fein::A,ಕೋಮಲ,peen
539,fein::A,ಕೋಮಲ,õhuke
540,fest::A,ಘನ,püsiv
541,fest::A,ಘನ,kindel
542,flach::A,ಚಪ್ಪಟೆ,lame
543,flach::A,ಚಪ್ಪಟೆ,tasane
544,glatt::A,ನಯ,sile
545,hart::A,ಗಟ್ಟಿ,kõva
546,weich::A,ಮೃದುವಾದ,pehme
547,rund::A,ವರ್ತುಳ,ümar
548,spitz::A,ಮೊನಚಾದ,torkav
549,scharf::A,ತೀಕ್ಷ್ಣ,terav
550,stumpf::A,ಮೊಂಡು,nüri
551,schwer::A,ಭಾರಿ,raske
552,schön::A,ಸುಂದರ,kena
553,heiß::A,ಬಿಸಿ,kuum
554,heiß::A,ಬಿಸಿ,palav
555,warm::A,ಬಿಸಿ,soe
556,kalt::A,ತಣ್ಣನೆಯ,külm
557,kühl::A,ತಂಪಾದ,jahe
558,frisch::A,ನಿರ್ಮಲ,värske
559,feucht::A,ಒದ್ದೆಯಾದ,niiske
560,nass::A,ಒದ್ದೆಯಾದ,märg
561,trocken::A,ಶುಷ್ಕ,kuiv
562,voll::A,ತುಂಬಿದ,täis
563,leer::A,ಖಾಲಿ,tühi
564,offen::A,ಮುಚ್ಚಲ್ಲದ,avatud
565,offen::A,ಮುಚ್ಚಲ್ಲದ,lahtine
566,geschlossen::A,ಮುಚ್ಚಿದ,suletud
567,sauber::A,ಶುದ್ಧ,puhas
568,schmutzig::A,ಅಶುದ್ಧ,räpane
569,schmutzig::A,ಅಶುದ್ಧ,määrdunud
570,roh::A,ಹಸಿ,toores
571,reif::A,ಹಣ್ಣಾದ,küps
572,lecker::A,ಗುಚಿಕರ,hõrk
573,lecker::A,ಗುಚಿಕರ,maitsev
574,süß::A,ಸಿಹಿ,magus
