,Concept_ID,kv,ca
302,Kamerad::N,тӧдса,camarada
303,Angelegenheit::N,дело,afer
304,Angelegenheit::N,дело,assumpte
305,Anzahl::N,лыд,nombre
306,Anzahl::N,лыд,quantitat
307,Art::N,пӧлӧс,tipus
308,Art::N,пӧлӧс,classe
309,Stück::N,тор,peça
310,Teil::N,юкӧм,part
311,Hälfte::N,джын,meitat
312,Kreis::N,круг,cercle
313,Kreuz::N,перна,creu
314,Linie::N,визь,línia
315,Strich::N,кырӧв,traç
316,Strich::N,кырӧв,ratlla
317,Abstand::N,колас,distància
318,Entfernung::N,ылына,distància
319,Gegend::N,места,regió
320,Gegend::N,места,contrada
321,Platz::N,места,cabuda
322,Ort::N,места,lloc
323,Seite::N,ладор,banda
324,Seite::N,ладор,costāt
325,Mitte::N,шӧр,mig
326,Mitte::N,шӧр,centre
327,Gegenstand::N,тор,objecte
328,Sache::N,тор,cosa
329,Rand::N,дор,vora
330,Rand::N,дор,marge
331,Kante::N,ордлы,caire
332,Kante::N,ордлы,cantell
333,Ecke::N,пельӧс,cantonada
334,Spitze::N,йыв,punta
335,Ende::N,йыв,cap
336,Loch::N,осьта,forāt
337,Winkel::N,пельӧс,racó
338,Muster::N,сер,dibuix
339,Muster::N,сер,disseny
340,Größe::N,ыжда,grandària
341,Länge::N,кузя,longitud
342,Höhe::N,сувда,altura
343,Höhe::N,сувда,altitud
344,Höhe::N,вылына,altura
345,Höhe::N,вылына,altitud
346,Gewicht::N,сьӧкта,pes
347,Haufen::N,куча,pila
348,Reihe::N,лёдз,fila
349,Boot::N,пыж,bot
350,Boot::N,пыж,barca
351,Ruder::N,пелыс,rem
352,Schlitten::N,додь,trineu
353,Ski::N,лямпа,esquí
354,Lagerfeuer::N,бипур,foc de campament
355,Last::N,тягота,càrrega
356,Gang::N,мунӧм,marxa
357,Schritt::N,вожмӧв,pas
358,Norden::N,ой,nord
359,Süden::N,лун,sud
360,Westen::N,рытвыв,oest
361,Westen::N,рытвыв,occident
362,Osten::N,асыв,est
363,Osten::N,асыв,orient
364,Holz::N,пу,fusta
365,Brett::N,пӧв,taula
366,Platte::N,плита,placa
367,Stütze::N,пика,suport
368,Stange::N,зор,vara
369,Stange::N,потш,vara
370,Stock::N,бедь,pal
371,Stab::N,шест,bastó
372,Rohr::N,труба,tub
373,Haus::N,керку,casa
374,Heim::N,керку,llar
375,Ofen::N,пӧжавны,estufa
376,Fußboden::N,джодж,terra
377,Tisch::N,пызан,taula
378,Stuhl::N,стул,cadira
379,Wiege::N,зыбка,bressol
380,Bett::N,кровать,llit
381,Regal::N,джадж,prestatgeria
382,Kiste::N,ящик,caixa
383,Fenster::N,ӧшын,finestra
384,Tür::N,ыбӧс,porta
385,Tor::N,ворота,portal
386,Zaun::N,забор,tanca
387,Dach::N,крыша,teulada
388,Leiter::N,лиснич,escala
389,Leiter::N,лиснич,escala de mà
390,Besen::N,рос,escombra
391,Spaten::N,зыр,pala
392,Schaufel::N,зыр,pala
393,Gabel::N,вила,forquilla
394,Löffel::N,пань,cullera
395,Messer::N,пурт,coltell
396,Nagel::N,кӧрттув,clau
397,Netz::N,кыйӧт,filat
398,Haken::N,ем,ganxo
399,Griff::N,пу,puny
400,Griff::N,пу,mànec
401,Schloss::N,замок,pany
402,Bild::N,картина,imatge
403,Figur::N,мыгӧр,figura
404,Puppe::N,акань,nina
405,Beutel::N,мешӧк,bossa
406,Bündel::N,нин,feix
407,Bündel::N,нин,paquet
408,Tasche::N,сумка,bossa
409,Eimer::N,ведра,galleda
410,Deckel::N,вевт,tapa
411,Deckel::N,вевт,tapadora
412,Geschirr::N,доз,vaixella
413,Geschirr::N,бекӧрпань,vaixella
414,Sack::N,мешӧк,sac
415,Sack::N,мешӧк,saca
416,Tasse::N,бекӧр,tassa
417,Topf::N,кастрюля,pot
418,Topf::N,кастрюля,olla
419,Kessel::N,пӧрт,caldera
420,Essen::N,сёйӧм,àpat
421,Essen::N,сёйӧм,menjada
422,Nahrung::N,вердан,aliment
423,Speise::N,сёян,plat
424,Fleisch::N,яй,carn
425,Getreide::N,сю,cereals
426,Brei::N,каша,puré
427,Brot::N,нянь,pa
428,Scheibe::N,шӧрӧм,tall
429,Scheibe::N,шӧрӧм,llesca
430,Fett::N,гос,greix
431,Butter::N,ви,mantega
432,Öl::N,ви,oli
433,Salz::N,сов,sal
434,Suppe::N,шыд,sopa
435,Honig::N,ма,mel
436,Milch::N,йӧв,llet
437,Tee::N,чай,te
438,Leder::N,кучик,cuir
439,Wolle::N,гӧн,llana
440,Stoff::N,дӧра,tela
441,Nadel::N,ем,agulla
442,Faden::N,сунис,fil
443,Knopf::N,кизь,botó
444,Knoten::N,узӧв,nus
445,Knoten::N,гӧрӧд,nus
446,Farbe::N,краска,pintura
447,Kleidung::N,паськӧм,roba
448,Kleidung::N,паськӧм,vestits
449,Hemd::N,йӧрнӧс,camisa
450,Kragen::N,воротник,coll
451,Ärmel::N,сос,màniga
452,Hose::N,вешьян,pantalōns
453,Gürtel::N,йи,cinturó
454,Mütze::N,шапка,gorra
455,Schuh::N,ботинки,sabata
456,Stiefel::N,сапог,bota
457,Ring::N,чунькытш,anell
458,Band::N,ленточка,veta
459,Band::N,ленточка,cinta
460,Kamm::N,сынан,pinta
461,Spiegel::N,зеркало,mirāll
462,Riemen::N,ремень,corretja
463,Schnur::N,гез,corda
464,Leine::N,повод,corretja
465,Decke::N,одеяло,manta
466,Decke::N,одеяло,flassada
467,Kissen::N,подушка,coixí
468,Tuch::N,чышьян,mocador
469,Handtuch::N,чышкӧт,tovallola
470,Kraft::N,прак,força
471,Stärke::N,вын,vigor
472,Gesundheit::N,здоровье,salut
473,Krankheit::N,шог,malaltia
474,Schmerz::N,зубыт,dolor
475,Wunde::N,рана,ferida
476,Fieber::N,лёк тресся,febre
477,Fieber::N,кынтан шогӧт,febre
478,Arznei::N,лекарство,medicament
479,Brücke::N,пос,pont
480,Brunnen::N,колодец ,pou
481,Weide::N,пода йирсян,pastura
482,Pfad::N,туй,senda
483,Pfad::N,туй,sender
484,Weg::N,туй,camí
485,Straße::N,туй,carretera
486,Dorf::N,деревня,poble
487,Stadt::N,город,ciutāt
488,Brief::N,гижӧт,carta
489,Buch::N,книга,llibre
490,Buchstabe::N,буква,lletra
491,Zeitung::N,газета,diāri
492,Leben::N,олан,vida
493,Tod::N,кулӧм,mort
494,Grab::N,гу,tomba
495,Kirche::N,вичку,església
496,Sünde::N,грек,pecat
497,Gott::N,ен,déu
498,Arbeiter::N,уджалiсь,obrer
499,Chef::N,начальник,cap
500,Meister::N,мастер,mestre
501,Arzt::N,врач,metge
502,Lehrer::N,велӧтісь,mestre
503,Geld::N,деньга,dinērs
504,Geschäft::N,удж,negoci
505,Laden::N,магазин,tenda
506,Laden::N,магазин,botiga
507,Preis::N,дон,preu
508,Ware::N,товар,mercaderia
509,Nutzen::N,путь,profit
510,Reichtum::N,богатство,riquesa
511,Welt::N,му,món
512,Land::N,страна,país
513,Staat::N,государство,estat
514,König::N,кан,rei
515,Macht::N,власть,poder
516,Macht::N,власть,potència
517,Grenze::N,граница,frontera
518,Krieg::N,война,guerra
519,Feind::N,враг,enemic
520,Kampf::N,нярасьӧм,lluita
521,Kampf::N,вермасьӧм,lluita
522,Bogen[Waffe]::N,лук,arc
523,Pfeil::N,ньӧв,fletxa
524,Gewehr::N,ружьё,fusell
525,Gewehr::N,ружьё,escopeta
526,Fehler::N,ошибка,falta
527,Lüge::N,ылӧтӧм,mentida
528,Lüge::N,пӧрьялӧм,mentida
529,Schaden::N,лёк,dany
530,Unglück::N,пик,desgràcia
531,Unglück::N,оказзё,desgràcia
532,Schuld::N,вина,culpa
533,Schluss::N,ком,fi
534,Schluss::N,ком,final
535,Zeit::N,кад,temps
536,Tag::N,лун,dia
537,Morgen::N,асыв,matí
538,Mittag::N,луншӧр кад,migdia
539,Abend::N,рыт,vespre
540,Nacht::N,ой,nit
541,Woche::N,неделя,setmana
542,Monat::N,тӧлicь,mes
543,Jahr::N,год,any
544,Frühling::N,тулыс,primavera
545,Sommer::N,гожум,estīu
546,Herbst::N,ар,tardor
547,Winter::N,тӧв,hivērn
548,Januar::N,январ,gener
549,Februar::N,февраль,febrer
550,März::N,март,març
551,April::N,апрель,abril
552,Mai::N,май,maig
553,Juni::N,юнь,juny
554,Juli::N,юль,juliol
555,August::N,август,agost
556,September::N,сентяб,setembre
557,Oktober::N,октяб,octubre
558,November::N,нояб,novembre
559,Dezember::N,декаб,desembre
560,Montag::N,вильлун,dilluns
561,Dienstag::N,мӧдӧдзлун,dimarts
562,Mittwoch::N,шӧрлун,dimecres
563,Donnerstag::N,нёльӧдзлун,dijous
564,Freitag::N,витӧдзлун,divendres
565,Samstag::N,пывсянлун,dissabte
566,Sonntag::N,кресення,diumenge
567,groß::A,ыджыт,gros
568,klein::A,учӧтик,petīt
569,lang::A,кузь,llarg
570,kurz::A,дженыт,curt
571,breit::A,ота,ample
572,schmal::A,векнит,estret
573,dicht::A,тшӧк,dens
574,dick[Gegenstand]::A,кыз,gruixūt
575,dünn::A,вӧснит,prim
576,fein::A,вӧснит,fi
577,fest::A,крепыт,ferm
578,fest::A,крепыт,sòlid
579,flach::A,лапкӧса,pla
580,glatt::A,волькыт,llis
581,hart::A,чӧрыт,dur
582,weich::A,небыт,tou
583,rund::A,гӧгрӧса,rodó
584,spitz::A,ёся,punxegut
585,scharf::A,лэчыт,agut
586,stumpf::A,ныж,rom
587,stumpf::A,ныж,esmussat
588,schwer::A,сьӧкыт,pesāt
589,schön::A,басӧк,bonīc
590,heiß::A,жар,calēnt
591,warm::A,шоныт,càlid
592,kalt::A,кӧдзыт,fred
593,kühl::A,сайкыт,fresc
594,frisch::A,виль,fresc
595,feucht::A,вакодь,humit
596,nass::A,ва,mullat
597,trocken::A,кӧс,sec
598,voll::A,тыра,ple
599,leer::A,тыртӧм,buit
600,offen::A,оссьӧм,obert
601,geschlossen::A,игана,tancat
602,geschlossen::A,пӧдана,tancat
603,sauber::A,сӧдз,net
604,sauber::A,сӧстӧм,net
605,schmutzig::A,нятьӧсь,brut
606,roh::A,путӧм,cru
607,reif::A,кисьмалӧм,madur
608,lecker::A,кӧра ,deliciós
609,süß::A,чӧскыт,dolç
610,bitter::A,курыт,amarg
611,sauer::A,шӧма ,agre
612,hell::A,югыт,clar
613,dunkel::A,пемыт,fosc
614,schwarz::A,сьӧд,negre
615,weiß::A,чочком,blanc
616,rot::A,гӧрд,vermēll
617,gelb::A,веж,groc
618,blau::A,лӧз,blau
619,grün::A,веж,verd
620,grau::A,руд,gris
621,grau::A,бусӧй,gris
622,bunt::A,быдрӧма,multicolor
623,billig::A,донтӧм,barat
624,teuer::A,дона,car
625,wertvoll::A,дона,preciós
626,blind::A,синтӧм,cec
627,taub::A,пельтӧм,sord
628,kräftig::A,вына,fort
629,kräftig::A,вына,vigorós
630,stark::A,вына,fort
631,schwach::A,некодя,feble
632,fett::A,госа,gras
633,schlank::A,статя,esvelt
634,hübsch::A,басӧк,maco
635,böse::A,лёк,dolent
636,dumm::A,бӧбӧв,ximple
637,dumm::A,бӧбӧв,estúpid
638,dumm::A,вежӧртӧм,ximple
639,dumm::A,вежӧртӧм,estúpid
640,faul::A,дыш,gandūl
641,faul::A,дыш,mandrós
642,fleißig::A,уджалicь,diligēnt
643,geizig::A,жикмӧра,avar
644,geizig::A,горшаліcь,avar
645,klug::A,авья,intel·ligent
646,klug::A,вежӧра,intel·ligent
647,geschickt::A,кипода,hàbil
648,lieb::A,муса,amat
649,lieb::A,муса,estimat
650,lieb::A,дзулиньӧй,amat
651,lieb::A,дзулиньӧй,estimat
652,lustig::A,гажа,alegre
653,sanft::A,лебезнӧй,suau
654,hungrig::A,тшыг,afamat
655,krank::A,шогалiсь,malālt
656,nackt::A,куш,nu
657,traurig::A,жугыль,trist
658,lebendig::A,ловья,viu
659,gut::A,бур,bo
660,schlecht::A,умӧль,dolēnt
661,schlimm::A,нештӧм,greu
662,alt::A,важ,vell
663,neu::A,виль,nou
664,ehemalig::A,вӧвлӧм,antic
665,alt[Lebewesen]::A,года,vell
666,alt[Lebewesen]::A,годдэза,vell
667,jung::A,том,jove
668,arm::A,гов,pobre
669,arm::A,беднӧй,pobre
670,reich::A,эма,ric
671,bekannt::A,тӧдса,conegut
672,fremd::A,чужӧй,estrany
673,verschieden::A,быдкодь,diferent
674,nah::A,матiсь,pròxim
675,fern::A,ылicь,llunyà
676,fern::A,ылicь,distant
677,linker::A,шульга,esquerre
678,rechter::A,веськытланись,dret
679,anderer::A,мукӧд,altre
680,erster::A,медодзза,primer
681,zweiter::A,кыкӧт,segon
682,dritter::A,куимӧт,tercer
683,dritter::A,куимӧдз,tercer
684,letzter::A,бӧрья,últim
685,letzter::A,мёдбӧрья,últim
686,auf einmal::ADV,тшӧтш,d'una vegada
687,zusammen::ADV,ӧтлаын,junt
688,lange::ADV,дыр,molt de temps
689,plötzlich::ADV,друг,de cop
690,plötzlich::ADV,друг,de sobte
691,sofort::ADV,тшӧтш,de seguida
692,später::ADV,медбӧрын,més tard
693,jetzt::ADV,ӧні,ara
694,heute::ADV,талун,avūi
695,morgen::ADV,ашын,demà
696,bald::ADV,чожа,aviāt
697,dann::ADV,сыбӧрын,després
698,gestern::ADV,тӧн,ahir
699,einst::ADV,ӧтпыр,anteriorment
700,damals::ADV,сэк,llavōrs
701,damals::ADV,сэк,aleshores
702,damals::ADV,сэки,llavōrs
703,damals::ADV,сэки,aleshores
704,danach::ADV,сэсся,després
705,vorher::ADV,одзжык,abāns
706,zuerst::ADV,наперво,primer
707,einmal::ADV,ӧтпыр,una vegada
708,manchmal::ADV,мукӧдпыр,de vegades
709,oft::ADV,-лы-,sovint
710,immer::ADV,быдпыр,sempre
711,immer::ADV,быдпырся,sempre
712,niemals::ADV,некӧр,no ... mai
713,hier::ADV,татӧн,aquí
714,hierhin::ADV,татчӧ,per aquí
715,von hier::ADV,тасянь,des d'aquí
716,dort::ADV,сэтӧн,allí
717,dorthin::ADV,сэтчин,hi
718,geradeaus::ADV,веськыта,tot dret
719,vorwärts::ADV,одзӧ,endavānt
720,rückwärts::ADV,бӧр,endarrera
721,zurück::ADV,бӧр,darrere
722,unten::ADV,увтын,a baix
723,hinab::ADV,увтас,cap avall
724,oben::ADV,вевдӧрас,dalt
725,hinauf::ADV,вывлань,cap amunt
726,hinauf::ADV,вывланьӧ,cap amunt
727,überall::ADV,быдлан,pertot
728,überall::ADV,быдлан,per tot arreu
729,nicht::ADV,ог,no
730,ein wenig::ADV,-ышт,una mica
731,ein wenig::ADV,невна,una mica
732,kaum::ADV,ӧдва,a penes
733,sehr::ADV,вывтi,molt
734,so::ADV,сiдз,així
735,noch::ADV,эшӧ,encara
736,nur::ADV,только,només
737,schon::ADV,ни,ja
738,wieder::ADV,бӧра,de nou
739,vergebens::ADV,весись,en va
740,vor::PRP,одзас,davānt
741,vor::PRP,одзас,enfront de
742,hinter::PRP,бӧрӧ,darrera
743,unter::PRP,увтын,sota
744,durch::PRP,пыр,per
745,neben::PRP,бокам,al costāt de
746,neben::PRP,боксиным,al costāt de
747,zwischen::PRP,коласас,entre
748,wegen::PRP,понда,a causa de
749,dies::PRN,эта,aquest
750,das::PRN,сiя,això
751,alles::PRN,быдӧс,tot
752,ich::PRN,ме,jo
753,du::PRN,тэ,tu
754,er::PRN,сiя,ell
755,wir::PRN,мийӧ,nosaltres
756,ihr::PRN,ті,vosaltres
757,sie::PRN,нія,ells
758,sie::PRN,нія,elles
759,was::FPRN,мый,què
760,wer::FPRN,кин,qui
761,wo::FADV,кытӧн,on
762,wohin::FADV,кытчӧ,cap a on
763,wie::FADV,дзик,com
764,warum::FADV,мыля,per què
765,warum::FADV,мыйсянь,per què
766,wieviel::FNUM,мымда,quant
767,eins::NUM,ӧт,u
768,zwei::NUM,кык,dos
769,drei::NUM,куим,tres
770,vier::NUM,нёль,quatre
771,fünf::NUM,вит,cinc
772,sechs::NUM,квать,sis
773,sieben::NUM,сизим,set
774,acht::NUM,кыкьямыс,vuit
775,neun::NUM,ӧкмыс,nou
776,zehn::NUM,дас,deu
777,elf::NUM,дасотік,onze
778,zwölf::NUM,даскык,dotze
779,zwanzig::NUM,кыкдас,vint
780,dreißig::NUM,куимдас,trenta
781,vierzig::NUM,нёльдас,quaranta
782,fünfzig::NUM,витдас,cinquanta
783,sechzig::NUM,кватьдас,seixanta
784,siebzig::NUM,сизимдас,setanta
785,achtzig::NUM,кыкьямысдас,vuitanta
786,neunzig::NUM,ӧкмысдас,noranta
787,hundert::NUM,сто,cent
788,tausend::NUM,тысяча,mil
789,und::CNJ,и,i
790,und::CNJ,да,i
791,oder::CNJ,или,o
792,stehen::V,сулавны,estar de peu
793,sitzen::V,пукавны,seure
794,liegen::V,куйлыны,jeure
795,hängen::V,ӧшавны,penjar
796,werden::V,лоны,fer-se
797,werden::V,лоны,posar-se
798,passieren::V,аркмыны,succeir
799,beginnen::V,петны,iniciar-se
800,enden::V,-сь,acabar-se
801,enden::V,-сь,terminar-se
802,enden::V,бырны,acabar-se
803,enden::V,бырны,terminar-se
804,wechseln::V,вежсьыны,canviar
805,aufgehen[Sonne]::V,петавны,sortir
806,untergehen[Sonne]::V,пуксьыны,posar-se
807,scheinen[Sonne]::V,югьявны,brillar
808,donnern::V,гымавны,tronar
809,wehen::V,пӧлявны,bufar
810,strömen::V,киссьыны,afluir
811,fließen::V,визывтны,fluir
812,sich drehen::V,бергавны,girar
813,schwanken::V,кӧвьясьны,vacil·lar
814,schwingen::V,дюттясьны,oscil·lar
815,fallen::V,усьны,caure
816,fallen::V,усьны,tombar
817,brennen::V,сотчыны,cremar
