,Concept_ID,br,uk
527,klein::A,bihan,маленький
528,lang::A,hir,довгий
529,kurz::A,berr,короткий
530,breit::A,ledan,широкий
531,schmal::A,strizh,вузький
532,dicht::A,stank,густий
533,dick[Gegenstand]::A,tev,товстий
534,dünn::A,moan,тонкий
535,fein::A,munut,дрібний
536,fest::A,start,міцний
537,flach::A,plaen,плоский
538,glatt::A,lintr,рівний
539,glatt::A,lintr,гладенький
540,glatt::A,levn,рівний
541,glatt::A,levn,гладенький
542,hart::A,kalet,твердий
543,weich::A,blot,м’який
544,rund::A,ront,круглий
545,spitz::A,poentet,гострокінцевий
546,scharf::A,dremm,гострий
547,stumpf::A,talsoc'h,тупий
548,schwer::A,pounner,важкий
549,schön::A,kaer,вродливий
550,heiß::A,tomm,жаркий
551,heiß::A,tomm,гарячий
552,warm::A,tomm,теплий
553,kalt::A,yen,холодний
554,kühl::A,yen,прохолодний
555,frisch::A,fresk,свіжий
556,feucht::A,gleb,вогкий
557,nass::A,gleb,мокрий
558,trocken::A,sec'h,сухий
559,voll::A,leun,повний
560,leer::A,goullo,пустий
561,offen::A,digor,відкритий
562,geschlossen::A,serr,закритий
563,geschlossen::A,serr,зачинений
564,sauber::A,naet,чистий
565,sauber::A,naet,охайний
566,schmutzig::A,lous,брудний
567,roh::A,kriz,сирий
568,reif::A,darev,зрілий
569,lecker::A,lipous,смачний
570,lecker::A,saourus,смачний
571,süß::A,dous,солодкий
572,bitter::A,c'hwerv,гіркий
573,sauer::A,trenk,кислий
574,hell::A,sklaer,світлий
575,dunkel::A,teñval,темний
576,schwarz::A,du,чорний
577,weiß::A,gwenn,сивий
578,rot::A,ruz,червоний
579,gelb::A,melen,жовтий
580,blau::A,glas,синій
581,grün::A,gwer,зелений
582,grau::A,louet,сірий
583,bunt::A,liesliv,барвистий
584,billig::A,marc'had-mat,дешевий
585,teuer::A,ker,дорогий
586,wertvoll::A,prizius,цінний
587,blind::A,dall,сліпий
588,taub::A,bouzar,глухий
589,kräftig::A,start,могутній
590,stark::A,kreñv,сильний
591,schwach::A,gwan,слабкий
592,fett::A,lard,жирний
593,fett::A,lard,товстий
594,schlank::A,sinkl,тонкий
595,schlank::A,sinkl,стрункий
596,hübsch::A,koant,чарівний
597,böse::A,gwall,злий
598,böse::A,gwall,лихий
599,dumm::A,glep,дурний
600,faul::A,lezirek,ледачий
601,fleißig::A,studius,старанний
602,geizig::A,tost,скупий
603,klug::A,speredek,мудрий
604,klug::A,speredek,розумний
605,geschickt::A,dornet,умілий
606,lieb::A,koant,милий
607,lustig::A,laouen,веселий
608,sanft::A,flour,лагідний
609,hungrig::A,marnaon,голодний
610,krank::A,klañv,слабий
611,nackt::A,noazh,голий
612,traurig::A,trist,сумний
613,lebendig::A,bev,живий
614,gut::A,mad,добрий
615,schlecht::A,fall,поганий
616,schlecht::A,fall,кепський
617,schlecht::A,gwall,поганий
618,schlecht::A,gwall,кепський
619,richtig::A,reizh,правильний
620,schlimm::A,gwall,бридкий
621,wahr::A,gwir,справжній
622,alt::A,kozh,старий
623,neu::A,nevez,новий
624,ehemalig::A,kozh,колишній
625,alt[Lebewesen]::A,kozh,старий
626,jung::A,yaouank,молодий
627,arm::A,paour,бідний
628,reich::A,pinvidik,багатий
629,bekannt::A,anavezet,знайомий
630,berühmt::A,brudet,славетний
631,fremd::A,dizanav,чужий
632,verschieden::A,disheñel,різний
633,nah::A,nes,близький
634,fern::A,diabell,далекий
635,linker::A,kleiz,лівий
636,rechter::A,dehoù,правий
637,anderer::A,all,інакший
638,erster::A,kentañ,перший
639,zweiter::A,eil,другий
640,dritter::A,trede,третій
641,letzter::A,diwezhañ,останній
642,allein::ADV,e-unan,сам
643,allein::ADV,e-unan,один
644,auf einmal::ADV,ar un dro,відразу
645,zusammen::ADV,asambles,разом
646,zusammen::ADV,asambles,спільно
647,lange::ADV,pell,довго
648,plötzlich::ADV,en un taol,раптом
649,sofort::ADV,diouzhtu,зараз
650,später::ADV,diwezhatoc'h,пізніше
651,jetzt::ADV,bremañ,тепер
652,heute::ADV,hiziv,сьогодні
653,morgen::ADV,arc'hoazh,завтра
654,bald::ADV,hepdale,незабаром
655,dann::ADV,a-c'houde,потім
656,gestern::ADV,dec'h,вчора
657,einst::ADV,gwechall,колись
658,damals::ADV,neuze,тоді
659,danach::ADV,goude,згодом
660,vorher::ADV,diagent,раніше
661,zuerst::ADV,da gentañ,спершу
662,zuerst::ADV,da gentañ,спочатку
663,einmal::ADV,ur wech,один раз
664,manchmal::ADV,a-wechoù,іноді
665,manchmal::ADV,a-wechoù,інколи
666,oft::ADV,alies,часто
667,immer::ADV,atav,завжди
668,immer::ADV,bepred,завжди
669,niemals::ADV,gwech ebet,ніколи
670,hier::ADV,amañ,тут
671,hierhin::ADV,dre amañ,сюди
672,von hier::ADV,alemañ,звідси
673,dort::ADV,aze,там
674,dort::ADV,ahont,там
675,dorthin::ADV,di,туди
676,dorthin::ADV,aze,туди
677,dorthin::ADV,ahont,туди
678,geradeaus::ADV,war-eeun,прямо
679,vorwärts::ADV,war-raok,вперед
680,rückwärts::ADV,war-lerc'h,назад
681,zurück::ADV,war-dreñv,назад
682,unten::ADV,en traoñ,внизу
683,hinab::ADV,a-izel,вниз
684,oben::ADV,en nec'h,вгорі
685,hinauf::ADV,e-krec'h,вгору
686,überall::ADV,dre-holl,скрізь
687,nicht::ADV,ne ... ket,не
688,ein wenig::ADV,un tammig,трохи
689,ein wenig::ADV,un tammig,небагато
690,kaum::ADV,a-boan,ледве
691,sehr::ADV,-tre,дуже
692,sehr::ADV,-kenañ,дуже
693,so::ADV,evel-se,так
694,noch::ADV,c'hoazh,ще
695,nur::ADV,hepken,лише
696,nur::ADV,hepken,тільки
697,schon::ADV,dija,вже
698,wieder::ADV,adarre,знову
699,vor::PRP,dirak,перед
700,hinter::PRP,a-drek,ззаду
701,hinter::PRP,a-drek,позаду
702,hinter::PRP,a-dreñv,ззаду
703,hinter::PRP,a-dreñv,позаду
704,unter::PRP,dindan,під
705,durch::PRP,dre,крізь
706,neben::PRP,e-kichen,біля
707,zwischen::PRP,etre,між
708,wegen::PRP,abalamour da,з-за
709,wegen::PRP,abalamour da,через
710,dies::PRN,hemañ,це
711,das::PRN,se,то
712,das::PRN,hennezh,то
713,alles::PRN,pep tra,все
714,ich::PRN,me,я
715,du::PRN,te,ти
716,er::PRN,eñ,він
717,wir::PRN,ni,ми
718,ihr::PRN,c'hwi,ви
719,sie::PRN,int,вони
720,was::FPRN,petra,що
721,wer::FPRN,piv,хто
722,wo::FADV,pelec'h,де
723,wohin::FADV,da belec'h,куди
724,wie::FADV,penaos,як
725,warum::FADV,perak,чому
726,wieviel::FNUM,pet,скільки
727,eins::NUM,unan,один
728,zwei::NUM,daou,два
729,drei::NUM,tri,три
730,vier::NUM,pevar,чотири
731,fünf::NUM,pemp,п’ять
732,sechs::NUM,c'hwec'h,шість
733,sieben::NUM,seizh,сім
734,acht::NUM,eizh,вісім
735,neun::NUM,nav,дев’ять
736,zehn::NUM,dek,десять
737,elf::NUM,unnek,одинадцять
738,zwölf::NUM,daouzek,дванадцять
739,zwanzig::NUM,ugent,двадцять
740,dreißig::NUM,tregont,тридцять
741,vierzig::NUM,daou-ugent,сорок
742,fünfzig::NUM,hanter-kant,п’ятдесят
743,sechzig::NUM,tri-ugent,шістдесят
744,siebzig::NUM,dek ha tri-ugent,сімдесят
745,achtzig::NUM,pevar-ugent,вісімдесят
746,neunzig::NUM,dek ha pevar-ugent,дев’яносто
747,hundert::NUM,kant,сто
748,tausend::NUM,mil,тисяча
749,und::CNJ,ha,і
750,oder::CNJ,pe,або
751,stehen::V,bezañ a-sav,стояти
752,sitzen::V,azezañ,сидіти
753,sitzen::V,bezañ en e goazez,сидіти
754,liegen::V,bezañ en e c'hourvez,лежати
755,hängen::V,krougañ,висіти
756,werden::V,dazonet,стати
757,werden::V,dazonet,робитися
758,passieren::V,c'hoarvezout,трапитися
759,beginnen::V,stagañ,початися
760,enden::V,achuiñ,кінчитися
761,wechseln::V,cheñch,мінятися
762,aufgehen[Sonne]::V,dirouzañ,зійти
763,scheinen[Sonne]::V,lugernañ,світити
764,donnern::V,taranal,гриміти
765,wehen::V,c'hwezhañ,віяти
766,strömen::V,deredek,литися
767,fließen::V,redek,текти
768,sich drehen::V,troiñ,обертатися
769,schwanken::V,trantellat,коливатися
770,schwingen::V,froumal,хитатися
771,schwingen::V,froumal,гойдатися
772,fallen::V,kouezhañ,падати
773,brennen::V,deviñ,горіти
774,rauchen::V,divogedañ,диміти
775,regnen::V,glavañ,дощити
776,gefrieren::V,reviñ,змерзнути
777,tauen::V,diskornañ,танути
778,schmelzen::V,teuziñ,плавитися
779,trocknen::V,sec'hañ,сохнути
780,sieden::V,berviñ,кипіти
781,faulen::V,breinañ,гнити
782,verfaulen::V,breinañ,згнити
783,reißen::V,darnaouiñ,рватися
784,versinken::V,sodellañ,тонути
785,vergehen::V,tremen,проходити
786,erscheinen::V,donet war-wel,з’явитися
787,verschwinden::V,monet diwar wel,щезнути
788,verschwinden::V,monet diwar wel,зникнути
789,sinken::V,en em izelat,спадати
790,abnehmen::V,nebeutaat,поменшитися
791,zunehmen::V,kreskiñ,збільшуватися
792,steigen::V,sevel,підніматися
793,wachsen::V,kreskiñ,рости
794,glänzen::V,lugernañ,блищати
795,funkeln::V,elieniñ,блискати
796,lärmen::V,rabotat,шуміти
797,klirren::V,diridignat,дзвякати
798,klirren::V,sterlinkañ,дзвякати
799,brausen::V,gwegal,бушувати
800,rauschen::V,trouzal,шелестіти
801,klingen::V,seniñ,лунати
802,klingen::V,seniñ,звучати
803,bellen::V,harzhal,гавкати
804,heulen::V,yudal,вити
805,blasen::V,c'hwezhañ,дунути
806,pfeifen::V,c'hwitellat,свистіти
807,schreien::V,huchal,кричати
808,stöhnen::V,hirvoudiñ,стогнати
809,zittern::V,krenañ,тремтіти
810,leben::V,bevañ,жити
811,geboren werden::V,genel,народитися
812,atmen::V,tennañ e anal,дихати
813,trinken::V,evañ,пити
814,essen::V,debriñ,їсти
