,Concept_ID,av,lbe
1262,nähen::V,букъизе,дуруххан
1263,färben::V,кьер гьабизе,ранг щун
1264,reinigen::V,бацӏцӏине,марцӏ бан
1265,waschen::V,чуризе,шюшин
1266,abwischen::V,бацӏцӏине,лишин
1267,spülen::V,хулизе,вилаган
1268,fegen::V,лъухьизе,башин
1269,kehren::V,лъухьизе,бахьлан
1270,baden::V,чордезе,щинавун учӏлан
1271,ausziehen::V,бахъизе,ликкан
1272,anziehen::V,ретӏине,лаххан
1273,sich anziehen::V,ретӏине,янна лаххан
1274,kämmen::V,хазе,ттарал дуккан
1275,schmücken::V,чӏухӏизабизе,чӏюлу бан
1276,sagen::V,бицине,учин
1277,sprechen::V,бицине,гъалгъа тӏун
1278,reden::V,гаргадизе,гъалгъа тӏун
1279,sich unterhalten::V,гаргадизе,гъалгъа тӏун
1280,fragen::V,цӏехезе,цӏуххин
1281,fragen::V,гьикъизе,цӏуххин
1282,bitten::V,гьаризе,тавакъю буллан
1283,erzählen::V,бицине,хавар бусан
1284,mitteilen::V,лъазабизе,баян бан
1285,mitteilen::V,лъазабизе,хавар бан
1286,nennen::V,цӏар лъезе,цӏа дизан
1287,rufen::V,ахӏизе,оьвтӏун
1288,prahlen::V,беццаризе,цӏа дуллан
1289,übersetzen::V,буссинабизе,таржума бан
1290,denken::V,ургъизе,пикри буллан
1291,glauben::V,божизе,вих хьун
1292,bemerken::V,берречӏчӏизе,хӏисав хъун
1293,erkennen::V,лъазе,увчӏин
1294,erkennen::V,батӏаго бахъизе,увчӏин
1295,begreifen::V,бичӏчӏизе,бувчӏин
1296,lernen::V,цӏализе,лахьлан
1297,lernen::V,цӏализе,лахьхьин
1298,wissen::V,лъазе,кӏулну бикӏан
1299,wissen::V,лъазе,хавар бикӏан
1300,sich erinnern an::V,ракӏалде щвезе,дакӏнин бутан
1301,vergessen::V,кӏочене,хъама битан
1302,messen::V,борцине,дуцин дуллан
1303,messen::V,борцине,дуцин дан
1304,zählen::V,рикӏкӏине,дуккин
1305,rechnen::V,рикӏкӏине,хӏисав дан
1306,lesen::V,цӏализе,ккалан
1307,malen::V,бахъизе,сурат дуллан
1308,zeichnen::V,бахъизе,сурат дуллан
1309,schreiben::V,хъвазе,чичин
1310,schreiben::V,хъвазе,чичлан
1311,besitzen::V,щвезе,дуну икӏан
1312,besitzen::V,щвезе,дуну дикӏан
1313,besitzen::V,щвезе,заллуну икӏан
1314,besitzen::V,бу́кӏине,дуну икӏан
1315,besitzen::V,бу́кӏине,дуну дикӏан
1316,besitzen::V,бу́кӏине,заллуну икӏан
1317,kaufen::V,босизе,машан ласун
1318,verkaufen::V,бичизе,баххан
1319,bezahlen::V,кьезе,арцу дулун
1320,bezahlen::V,кьезе,багьа булун
1321,zahlen::V,кьезе,арцу дулун
1322,zahlen::V,кьезе,багьа булун
1323,ertragen::V,баччизе,бухӏан
1324,Auge::N,,я
1325,Sehne::N,,хьхьа
1326,Funke::N,,пиягь
1327,Elch::N,,ниц-бюрин
1328,Beere::N,,хӏаллил ахъулсса
1329,Gedächtnis::N,,дакӏний личӏаву
1330,Ton::N,,чӏу
1331,Winkel::N,,мурцӏу
1332,Stütze::N,,гьалакӏу
1333,Schnur::N,,хьхьа
1334,Geschäft::N,,даву
1335,voll::A,,бувцӏусса
1336,lange::ADV,,батӏи къабуклай
1337,lange::ADV,,хъунмасса хӏаллай
1338,später::ADV,,махъ
1339,nicht::ADV,,къа-
1340,durch::PRP,,-х
1341,alles::PRN,,щала
1342,scheinen::V,,ххан
1343,scheinen::V,,бизан
1344,scheinen::V,,ххан бикӏлай бикӏан
1345,aufheben::V,,гьаз бан
1346,sich waschen::V,,диссун
1347,sich waschen::V,,лажин диссун
1348,sich waschen::V,,лажин дислан
1349,sich waschen::V,,биссун
1350,sich waschen::V,,чурх бислан
1351,beherrschen::V,,дуну икӏан
1352,beherrschen::V,,заллуну икӏан
