,Concept_ID,he,uk
264,Leute::N,אנשים,люди
265,Volk::N,עם,народ
266,Arbeit::N,עבודה,робота
267,Gast::N,אורח,гість
268,Geschenk::N,מתנה,подарунок
269,Spiel::N,משחק,гра
270,Gesellschaft::N,חברה,товариство
271,Hilfe::N,עזרה,допомога
272,Freund::N,חבר,друг
273,Freund::N,חבר,приятель
274,Freund::N,ידיד,друг
275,Freund::N,ידיד,приятель
276,Kamerad::N,רע,товариш
277,Angelegenheit::N,ענין,справа
278,Anzahl::N,מספר,число
279,Art::N,סוג,рід
280,Stück::N,חתיכה,кусок
281,Teil::N,פרק,частина
282,Hälfte::N,חצי,половина
283,Kreis::N,מעגל,круг
284,Kreis::N,מעגל,коло
285,Kreuz::N,צלב,хрест
286,Linie::N,קו,лінія
287,Strich::N,קו קצר,штрих
288,Abstand::N,מרחק,проміжок
289,Entfernung::N,מרחק,відстань
290,Gegend::N,נוף,місцевість
291,Platz::N,שטח,площа
292,Ort::N,אתר,місце
293,Ort::N,מקום,місце
294,Seite::N,צד,сторона
295,Mitte::N,אמצע,середина
296,Gegenstand::N,אוביקט,предмет
297,Sache::N,דבר,річ
298,Rand::N,פרור,край
299,Kante::N,קצה,ребро
300,Ecke::N,פנה,ріг
301,Spitze::N,קצה,кінчик
302,Ende::N,סוף,кінець
303,Loch::N,חר,діра
304,Winkel::N,פנה,куток
305,Muster::N,תבנית,узор
306,Größe::N,גדל,розмір
307,Länge::N,ארך,довжина
308,Höhe::N,קומה,висота
309,Höhe::N,גבה,висота
310,Gewicht::N,משקל,вага
311,Menge::N,כמות,кількість
312,Haufen::N,ערמה,купа
313,Reihe::N,רצף,ряд
314,Boot::N,סירה,човен
315,Ruder::N,משוט,весло
316,Schlitten::N,מזחלת,сани
317,Ski::N,מגלשים,лижа
318,Lagerfeuer::N,מדורה,вогнище
319,Last::N,משא,тягар
320,Last::N,משא,вантаж
321,Gang::N,הליכה,хід
322,Schritt::N,צעד,крок
323,Norden::N,צפון,північ
324,Süden::N,דרום,південь
325,Westen::N,מערב,захід
326,Osten::N,מזרח,схід
327,Holz::N,עץ,дрова
328,Brett::N,קרש,дошка
329,Platte::N,לוח,плита
330,Stütze::N,משען,підпірка
331,Stange::N,מוט,жердина
332,Stock::N,מקל,палиця
333,Stab::N,מוט,палиця
334,Rohr::N,צנור,труба
335,Haus::N,בית,дім
336,Haus::N,בית,хата
337,Heim::N,בית,житло
338,Ofen::N,תנור,піч
339,Fußboden::N,רצפה,підлога
340,Tisch::N,שלחן,стіл
341,Stuhl::N,כסא,стілець
342,Wiege::N,ערש,колиска
343,Bett::N,מטה,ліжко
344,Bett::N,מטה,постіль
345,Regal::N,מדף,полиця
346,Kiste::N,תבה,ящик
347,Kiste::N,ארגז,ящик
348,Fenster::N,חלון,вікно
349,Tür::N,דלת,двері
350,Tor::N,שער,ворота
351,Zaun::N,גדר,паркан
352,Zaun::N,גדר,огорожа
353,Dach::N,גג,дах
354,Leiter::N,סלם,драбина
355,Besen::N,מטאטא,мітла
356,Spaten::N,את,заступ
357,Schaufel::N,את,совок
358,Schaufel::N,את,лопата
359,Gabel::N,מזלג,виделка
360,Löffel::N,כף,ложка
361,Messer::N,סכין,ніж
362,Nagel::N,מסמר,цвях
363,Netz::N,רשת,сіть
364,Haken::N,וו,крюк
365,Haken::N,קרס,крюк
366,Griff::N,ידית,ручка
367,Griff::N,ידית,держак
368,Schloss::N,מנעול,замок
369,Bild::N,תמונה,картина
370,Figur::N,פסל,фігура
371,Puppe::N,בבה,лялька
372,Beutel::N,שק,мішечок
373,Beutel::N,שק,торбинка
374,Bündel::N,צרור,в’язка
375,Tasche::N,שקית,сумка
376,Eimer::N,דלי,відро
377,Deckel::N,מכסה,кришка
378,Geschirr::N,כלים,посуд
379,Sack::N,שק,мішок
380,Tasse::N,ספל,чашка
381,Topf::N,סיר,горщик
382,Kessel::N,קנקן,котел
383,Essen::N,אכל,їжа
384,Essen::N,ארוחה,їжа
385,Nahrung::N,הזנה,харч
386,Nahrung::N,תזונה,харч
387,Speise::N,מאכל,страва
388,Speise::N,ארוחה,страва
389,Fleisch::N,בשר,м’ясо
390,Getreide::N,דגן,хліб
391,Getreide::N,דגן,збіжжя
392,Brei::N,מחית,каша
393,Brot::N,לחם,хліб
394,Scheibe::N,עגול,скибочка
395,Scheibe::N,פרוסה,скибочка
396,Fett::N,שמן,жир
397,Butter::N,חמאה,масло
398,Öl::N,שמן,олія
399,Salz::N,מלח,сіль
400,Suppe::N,מרק,суп
401,Honig::N,דבש,мед
402,Milch::N,חלב,молоко
403,Tee::N,תה,чай
404,Leder::N,עור,шкіра
405,Wolle::N,צמר,шерсть
406,Stoff::N,בד,тканина
407,Stoff::N,אריג,тканина
408,Nadel::N,מחט,голка
409,Faden::N,חוט,нитка
410,Knopf::N,כפתור,ґудзик
411,Knoten::N,קשר,вузол
412,Farbe::N,צבע,фарба
413,Kleidung::N,בגדים,одяг
414,Kleidung::N,בגדים,убрання
415,Hemd::N,חלצה,сорочка
416,Kragen::N,צוארון,комір
417,Ärmel::N,שרוול,рукав
418,Hose::N,מכנסים,брюки
419,Gürtel::N,חגורה,пояс
420,Mütze::N,כובע,шапка
421,Schuh::N,נעל,ботинок
422,Stiefel::N,מגף,чобіт
423,Ring::N,טבעת,кільце
424,Band::N,סרט,стрічка
425,Kamm::N,מסרק,гребінець
426,Spiegel::N,מראה,дзеркало
427,Riemen::N,רצועה,ремінь
428,Schnur::N,חבל,вірьовка
429,Leine::N,מושכות,шворка
430,Decke::N,שמיכה,ковдра
431,Kissen::N,כרית,подушка
432,Tuch::N,צעיף,хустка
433,Handtuch::N,מגבת,рушник
434,Kraft::N,כוח,сила
435,Stärke::N,און,сила
436,Gesundheit::N,בריאות,здоров’я
437,Krankheit::N,מחלה,хвороба
438,Schmerz::N,כאב,біль
439,Wunde::N,פציעה,рана
440,Fieber::N,חם,гарячка
441,Arznei::N,תרופה,ліки
442,Brücke::N,גשר,міст
443,Brunnen::N,באר,колодязь
444,Weide::N,אחו,пасовище
445,Weide::N,מרעה,пасовище
446,Pfad::N,שביל,стежка
447,Pfad::N,מדרכה,стежка
448,Weg::N,דרך,шлях
449,Weg::N,דרך,дорога
450,Straße::N,כביש,вулиця
451,Dorf::N,כפר,село
452,Stadt::N,עיר,місто
453,Brief::N,מכתב,лист
454,Buch::N,ספר,книга
455,Buch::N,ספר,книжка
456,Buchstabe::N,אות,буква
457,Buchstabe::N,אות,літера
458,Zeitung::N,עתון,газета
459,Leben::N,חיים,життя
460,Tod::N,מות,смерть
461,Grab::N,קבר,могила
462,Kirche::N,כנסיה,церква
463,Sünde::N,חטא,гріх
464,Gott::N,אל,бог
465,Arbeiter::N,פועל,робітник
466,Chef::N,ראש,хазяїн
467,Chef::N,מנהל,хазяїн
468,Meister::N,ממחה,умілець
469,Arzt::N,רופא,лікар
470,Lehrer::N,מורה,вчитель
471,Geld::N,כסף,гроші
