,Concept_ID,br,fi
96,Strömung::N,red,virtaus
97,Tropfen::N,bannac'h,tippa
98,Tropfen::N,bannac'h,pisara
99,Tropfen::N,takenn,tippa
100,Tropfen::N,takenn,pisara
101,Schaum::N,spoum,vaahto
102,Schmutz::N,fank,loka
103,See::N,lenn,järvi
104,Sumpf::N,gwern,suo
105,Moor::N,taouarc'heg,räme
106,Wiese::N,prad,niitty
107,Wald::N,koad,metsä
108,Hügel::N,torgenn,mäki
109,Hügel::N,torgenn,kumpu
110,Hügel::N,torgenn,kukkula
111,Anhöhe::N,run,mäki
112,Anhöhe::N,run,kumpare
113,Berg::N,menez,mäki
114,Berg::N,menez,vuori
115,Gipfel::N,barr,laki
116,Gipfel::N,barr,huippu
117,Höhle::N,kav,luola
118,Abhang::N,naou,rinne
119,Quelle::N,feunteun,lähde
120,Bach::N,gwazh,puro
121,Fluss::N,stêr,joki
122,Ufer::N,ribl,ranta
123,Küste::N,aod,rannikko
124,Festland::N,douar,manner
125,Meer::N,mor,meri
126,Bucht::N,mor-bihan,lahti
127,Insel::N,enez,saari
128,Blume::N,bleunienn,kukka
129,Gras::N,geot,ruoho
130,Wurzel::N,gwrizienn,juuri
131,Baum::N,gwezenn,puu
132,Stamm::N,kef,runko
133,Rinde::N,rusk,kuori
134,Rinde::N,rusk,parkki
135,Ast::N,barr,oksa
136,Zweig::N,bod,haara
137,Blatt::N,delienn,lehti
138,Birke::N,bezvenn,koivu
139,Kiefer[Baum]::N,pinenn,mänty
140,Kiefer[Baum]::N,pinenn,petäjä
141,Weide[Baum]::N,halegenn,paju
142,Tanne::N,sapenn,kuusi
143,Horn::N,korn,sarvi
144,Feder::N,pluñv,sulka
145,Feder::N,pluñv,höyhen
146,Fell::N,kreoñ,talja
147,Flügel::N,askell,siipi
148,Klaue::N,skilf,kynsi
149,Kralle::N,skilf,kynsi
150,Schwanz::N,lost,häntä
151,Schwanz::N,lost,pyrstö
152,Ei::N,vi,muna
153,Nest::N,neizh,pesä
154,Bau::N,douarenn,pesä
155,Tier::N,loen,eläin
156,Herde::N,tropell,lauma
157,Kuh::N,buoc'h,lehmä
158,Bulle::N,tarv,sonni
159,Pferd::N,marc'h,hevonen
160,Schaf::N,dañvad,lammas
161,Schwein::N,pemoc'h,sika
162,Hund::N,ki,koira
163,Katze::N,kazh,kissa
164,Bär::N,arzh,karhu
165,Eichhörnchen::N,gwiñver,orava
166,Elch::N,karv-dour,hirvi
167,Fuchs::N,louarn,kettu
168,Hase::N,gad,jänis
169,Maus::N,logodenn,hiiri
170,Wolf::N,bleiz,susi
171,Vogel::N,labous,lintu
172,Schwarm::N,nijad,parvi
173,Huhn::N,yar,kana
174,Hahn::N,kilhog,kukko
175,Gans::N,gwazenn,hanhi
176,Adler::N,erer,kotka
177,Ente::N,houad,ankka
178,Eule::N,toud,pöllö
179,Kranich::N,garan,kurki
180,Krähe::N,bran,varis
181,Kuckuck::N,koukoug,käki
182,Schwan::N,alarc'h,joutsen
183,Fisch::N,pesk,kala
184,Barsch::N,brell,ahven
185,Hecht::N,beked,hauki
186,Schlange[Tier]::N,naer,käärme
187,Wurm::N,preñv,mato
188,Spinne::N,kevnidenn,hämähäkki
189,Ameise::N,merion,muurahainen
190,Laus::N,laouenn,täi
191,Mücke::N,moustik,sääski
192,Mücke::N,moustik,hyttynen
193,Fliege::N,kelienenn,kärpänen
194,Schmetterling::N,balafenn,perhonen
195,Beere::N,hog,marja
196,Apfel::N,aval,omena
197,Pilz::N,kabell-touseg,sieni
198,Zwiebel::N,ognonenn,sipuli
199,Saat::N,had,siemenet
200,Korn::N,ed,jyvä
201,Korn::N,ed,vilja
202,Heu::N,foenn,heinä
203,Schale::N,peliadur,kuori
204,Falle::N,pech,loukku
205,Schlinge::N,krouglas,ansa
206,Asche::N,ludu,tuhka
207,Dreck::N,fank,lika
208,Eisen::N,houarn,rauta
209,Gold::N,aour,kulta
210,Silber::N,arc'hant,hopea
211,Kohle::N,glaou,hiili
212,Glas::N,gwer,lasi
213,Sand::N,traezh,hiekka
214,Mensch::N,den,ihminen
215,Mann::N,den,mies
216,Frau::N,maouez,nainen
217,Kind::N,bugel,lapsi
218,Junge::N,paotr,poika
219,Mädchen::N,plac'h,tyttö
220,Familie::N,familh,perhe
221,Großvater::N,tad-kozh,isoisä
222,Großmutter::N,mamm-gozh,isoäiti
223,Eltern::N,kerent,vanhemmat
224,Vater::N,tad,isä
225,Mutter::N,mamm,äiti
226,Sohn::N,mab,poika
227,Tochter::N,merc'h,tytär
228,Bruder::N,breur,veli
229,Schwester::N,c'hoar,sisko
230,Onkel::N,eontr,eno
231,Onkel::N,eontr,setä
232,Tante::N,moereb,täti
233,Ehemann::N,gwaz,mies
234,Ehemann::N,gwaz,aviomies
235,Ehefrau::N,gwreg,vaimo
236,Ehefrau::N,gwreg,aviovaimo
237,Freude::N,levenez,ilo
238,Freude::N,levenez,riemu
239,Gelächter::N,c'hoarzherezh,nauru
240,Glück::N,chañs,onni
241,Kummer::N,doan,suru
242,Kummer::N,doan,murhe
243,Wunsch::N,c'hoant,toive
244,Wunsch::N,c'hoant,toivomus
245,Lust::N,c'hoant,himo
246,Geist::N,spered,henki
247,Gedanke::N,soñj,aate
248,Gedanke::N,soñj,ajatus
249,Gedächtnis::N,eñvor,muisti
250,Verstand::N,skiant,äly
251,Verstand::N,skiant,järki
252,Verstand::N,skiant,ymmärrys
253,Sinn::N,ster,merkitys
254,Grund::N,kaoz,syy
255,Grund::N,kaoz,peruste
256,Wahrheit::N,gwirionez,tosi
257,Wahrheit::N,gwirionez,totuus
258,Gespräch::N,kaozeadenn,puhelu
259,Gespräch::N,kaozeadenn,keskustelu
260,Märchen::N,kaoz korriganez,satu
261,Erzählung::N,kontadenn,tarina
262,Erzählung::N,kontadenn,kertomus
263,Nachricht::N,keloù,tieto
264,Nachricht::N,keloù,ilmoitus
265,Neuigkeit::N,kelaouenn,uutinen
266,Name::N,anv,nimi
267,Rätsel::N,divinatez,arvoitus
268,Rede::N,diskour,puhe
269,Sprache::N,yezh,kieli
270,Stimme::N,mouezh,ääni
271,Wort::N,ger,sana
272,Zeichen::N,sin,merkki
273,Ruf::N,galv,kutsu
274,Lärm::N,trouz,melu
275,Lärm::N,trouz,hälinä
276,Ton::N,ton,sävel
277,Lied::N,kanaouenn,laulu
278,Ruhe::N,sioulded,lepo
279,Ruhe::N,sioulded,rauha
280,Leute::N,tud,väki
281,Leute::N,tud,ihmiset
282,Volk::N,pobl,kansa
283,Arbeit::N,labour,työ
284,Gast::N,kouviad,vieras
285,Geschenk::N,prof,lahja
286,Spiel::N,c'hoari,peli
287,Spiel::N,c'hoari,leikki
288,Gesellschaft::N,kompagnunezh,seura
289,Gesellschaft::N,kavandad,seura
290,Hilfe::N,sikour,apu
291,Freund::N,mignon,ystävä
292,Kamerad::N,kamarad,toveri
293,Angelegenheit::N,afer,asia
294,Anzahl::N,niver,lukumäärä
295,Art::N,sort,laji
296,Stück::N,tamm,pala
297,Stück::N,tamm,kappale
298,Teil::N,pezh,osa
299,Hälfte::N,hanterenn,puoli
300,Kreis::N,kelc'h,ympyrä
301,Kreuz::N,kroaz,risti
302,Linie::N,linenn,viiva
303,Strich::N,tenn,piirto
304,Abstand::N,distok,väli
305,Abstand::N,distok,väljyys
306,Entfernung::N,keid,etäisyys
307,Entfernung::N,kehid,etäisyys
308,Gegend::N,korn-bro,seutu
309,Platz::N,plasenn,tila
310,Ort::N,lec'h,kohta
311,Ort::N,lec'h,paikka
312,Seite::N,tu,sivu
313,Seite::N,tu,kylki
314,Mitte::N,kreiz,keskus
315,Mitte::N,kreiz,puoliväli
316,Gegenstand::N,tra,kalu
317,Gegenstand::N,tra,esine
318,Sache::N,tra,asia
319,Rand::N,kantenn,ääri
320,Rand::N,kantenn,syrjä
321,Kante::N,kantenn,särmä
322,Ecke::N,korn,nurkka
323,Spitze::N,begell,terä
324,Spitze::N,begell,kärki
325,Ende::N,dibenn,pää
326,Ende::N,dibenn,perä
327,Loch::N,toull,kolo
328,Loch::N,toull,reikä
329,Muster::N,tresadenn,kuvio
330,Größe::N,ment,koko
331,Größe::N,ment,suuruus
332,Länge::N,hirder,pituus
333,Höhe::N,uhelder,korkeus
334,Gewicht::N,pouez,paino
335,Menge::N,bern,määrä
336,Haufen::N,bern,kasa
337,Reihe::N,steud,rivi
338,Boot::N,bag,vene
339,Ruder::N,roeñv,airo
340,Schlitten::N,trainell,reki
341,Schlitten::N,trainell,kelkka
342,Ski::N,ski,suksi
343,Last::N,karg,kuorma
344,Gang::N,kerzh,kulku
345,Gang::N,kerzh,käynti
346,Schritt::N,paz,askel
347,Norden::N,norzh,pohjoinen
348,Norden::N,hanternoz,pohjoinen
349,Süden::N,su,etelä
350,Süden::N,kreisteiz,etelä
351,Westen::N,kuzh-heol,länsi
352,Osten::N,reter,itä
353,Osten::N,sav-heol,itä
354,Holz::N,koad,puu
355,Brett::N,plankenn,lauta
356,Platte::N,plakenn,levy
357,Stütze::N,harp,noja
358,Stange::N,sparl,tanko
359,Stock::N,bazh,keppi
360,Stab::N,bazh,sauva
361,Stab::N,bazh,seiväs
362,Rohr::N,tub,putki
363,Rohr::N,korz,putki
364,Haus::N,ti,talo
365,Heim::N,kêr,koti
366,Ofen::N,forn,uuni
367,Fußboden::N,plañchod,lattia
368,Tisch::N,taol,pöytä
369,Stuhl::N,kador,tuoli
370,Wiege::N,kavell,kehto
371,Bett::N,gwele,sänky
372,Regal::N,estajerenn,hylly
373,Kiste::N,kased,arkku
374,Kiste::N,kased,kirstu
375,Kiste::N,kased,laatikko
376,Fenster::N,prenestr,ikkuna
377,Tür::N,dor,ovi
378,Tor::N,portal,portti
379,Zaun::N,sklotur,aita
380,Dach::N,toenn,katto
381,Leiter::N,skeul,tikkaat
382,Leiter::N,skeul,tikapuut
383,Besen::N,skubell,luuta
384,Spaten::N,pal,lapio
385,Schaufel::N,pal,lapio
386,Gabel::N,fourchetez,haarukka
387,Löffel::N,loa,lusikka
388,Messer::N,kontell,veitsi
389,Nagel::N,tach,naula
390,Netz::N,roued,verkko
391,Haken::N,krog,haka
392,Haken::N,krog,koukku
393,Griff::N,kemer,ripa
394,Griff::N,kemer,kahva
395,Schloss::N,potenn,lukko
396,Bild::N,skeudenn,kuva
397,Figur::N,skeud,kuvio
398,Figur::N,figur,kuvio
399,Puppe::N,merc'hodenn,nukke
400,Beutel::N,sac'h,pussi
401,Bündel::N,feskenn,nippu
402,Bündel::N,feskenn,kimppu
403,Tasche::N,sac'h,laukku
404,Eimer::N,sailh,sanko
405,Eimer::N,sailh,ämpäri
406,Deckel::N,pallenn,kansi
407,Geschirr::N,listriaj,astia
408,Sack::N,sac'h,säkki
409,Tasse::N,tas,kuppi
410,Topf::N,pod,pata
411,Kessel::N,chaodouron,kattila
412,Essen::N,pred,syönti
413,Nahrung::N,boued,ruoka
414,Nahrung::N,boued,ravinto
415,Speise::N,meuz,ruoka
416,Fleisch::N,kig,liha
417,Getreide::N,ed,vilja
418,Brei::N,yod,puuro
419,Brot::N,bara,leipä
420,Scheibe::N,tailhenn,viipale
421,Fett::N,lard,rasva
422,Butter::N,amann,voi
423,Öl::N,eoul,öljy
424,Salz::N,holen,suola
425,Suppe::N,soubenn,keitto
426,Honig::N,mel,hunaja
427,Milch::N,laezh,maito
428,Tee::N,te,tee
429,Leder::N,lêr,nahka
430,Wolle::N,gloan,villa
431,Stoff::N,danvez,kangas
432,Nadel::N,nadoz,neula
433,Faden::N,neudenn,lanka
434,Knopf::N,bouton,nappi
435,Knoten::N,skoulm,solmu
436,Farbe::N,liv,maali
437,Kleidung::N,dilhad,vaatteet
438,Hemd::N,roc'hed,paita
439,Kragen::N,gouzoug,kaulus
440,Ärmel::N,milgin,hiha
441,Hose::N,bragoù,housut
442,Gürtel::N,gouriz,vyö
443,Mütze::N,boned,lakki
444,Schuh::N,botez,kenkä
445,Stiefel::N,botez,saapas
446,Ring::N,gwalenn,sormus
447,Band::N,bagad,nauha
448,Kamm::N,krib,kampa
449,Spiegel::N,melezour,peili
450,Riemen::N,lerenn,hihna
451,Schnur::N,kordenn,naru
452,Schnur::N,kordenn,nuora
453,Leine::N,roll,talutushihna
454,Decke::N,golo,peite
455,Kissen::N,goubenner,tyyny
456,Kissen::N,goubenner,pielus
457,Tuch::N,mezher,huivi
458,Handtuch::N,toailhon,pyyheliina
459,Kraft::N,nerzh,väki
460,Kraft::N,nerzh,voima
461,Stärke::N,nerzhder,vahvuus
462,Gesundheit::N,yec'hed,terveys
463,Krankheit::N,klañved,tauti
464,Krankheit::N,klañved,sairaus
465,Schmerz::N,poan,kipu
466,Schmerz::N,poan,särky
467,Schmerz::N,droug,kipu
468,Schmerz::N,droug,särky
469,Wunde::N,gloazadenn,haava
470,Fieber::N,terzhienn,kuume
471,Arznei::N,louzoù,lääke
472,Brücke::N,pont,silta
473,Brunnen::N,puñs,kaivo
474,Weide::N,prad,laidun
475,Pfad::N,gwenodenn,polku
476,Weg::N,hent,tie
477,Straße::N,ru,katu
478,Straße::N,hent,katu
479,Dorf::N,kêr,kylä
480,Dorf::N,kêriadenn,kylä
481,Stadt::N,kêr,kaupunki
482,Brief::N,lizher,kirje
483,Buch::N,levr,kirja
484,Buchstabe::N,lizherenn,kirjain
485,Zeitung::N,kazetenn,lehti
486,Zeitung::N,kazetenn,sanomalehti
487,Leben::N,buhez,elo
488,Leben::N,buhez,elämä
489,Tod::N,marv,kuolema
490,Grab::N,bez,hauta
491,Kirche::N,iliz,kirkko
492,Sünde::N,pec'hed,synti
493,Gott::N,doue,jumala
494,Arbeiter::N,labourer,työläinen
495,Arbeiter::N,micherour,työläinen
496,Chef::N,penn,päällikkö
497,Meister::N,mestr,mestari
498,Arzt::N,mezeg,lääkäri
499,Arzt::N,medisin,lääkäri
500,Lehrer::N,skolaer,opettaja
501,Lehrer::N,kelenner,opettaja
502,Geld::N,arc'hant,raha
503,Geschäft::N,stal,liike
504,Laden::N,stal,puoti
505,Laden::N,stal,kauppa
506,Preis::N,priz,hinta
507,Ware::N,marc'hadourezh,tavara
508,Nutzen::N,gounidegezh,hyöty
509,Nutzen::N,lañs,hyöty
510,Nutzen::N,profit,hyöty
511,Nutzen::N,spleit,hyöty
512,Reichtum::N,pinvidigezh,rikkaus
513,Welt::N,douar,maailma
514,Land::N,bro,maa
515,Staat::N,stad,valtio
516,König::N,roue,kuningas
517,Macht::N,galloud,mahti
518,Grenze::N,harzoù,raja
519,Krieg::N,brezel,sota
520,Feind::N,eneber,vihollinen
521,Gewalt::N,tâerder,väkivalta
522,Kampf::N,kann,taistelu
523,Bogen[Waffe]::N,gwareg,jousi
524,Pfeil::N,saezh,nuoli
525,Gewehr::N,fuzuilh,kivääri
526,Fehler::N,fazi,vika
527,Fehler::N,fazi,virhe
528,Lüge::N,gaou,valhe
529,Schaden::N,gwall,vaurio
530,Schaden::N,gwall,vahinko
531,Unglück::N,gwalleur,vahinko
532,Unglück::N,gwalleur,onnettomuus
533,Schuld::N,kablusted,syy
534,Schuld::N,pec'hedigezh,syy
535,Alter::N,oad,ikä
536,Schluss::N,diwezh,loppu
537,Zeit::N,amzer,aika
538,Tag::N,deizh,päivä
539,Morgen::N,beure,aamu
540,Morgen::N,beure,huomen
541,Morgen::N,mintin,aamu
542,Morgen::N,mintin,huomen
543,Mittag::N,kreisteiz,keskipäivä
544,Abend::N,abardaez,ilta
545,Nacht::N,noz,yö
546,Woche::N,sizhun,viikko
547,Monat::N,miz,kuukausi
548,Jahr::N,bloaz,vuosi
549,Frühling::N,nevezamzer,kevät
550,Sommer::N,hañv,kesä
551,Herbst::N,diskaramzer,syksy
552,Winter::N,goañv,talvi
553,Januar::N,Genver,tammikuu
554,Februar::N,C'hwevrer,helmikuu
555,März::N,Meurzh,maaliskuu
556,April::N,Ebrel,huhtikuu
557,Mai::N,Mae,toukokuu
558,Juni::N,Mezheven,kesäkuu
559,Juli::N,Gouhere,heinäkuu
560,August::N,Eost,elokuu
561,September::N,Gwengolo,syyskuu
562,Oktober::N,Here,lokakuu
563,November::N,Du,marraskuu
564,Dezember::N,Kerzu,joulukuu
565,Montag::N,Lun,maanantai
566,Dienstag::N,Meurzh,tiistai
567,Mittwoch::N,Merc'her,keskiviikko
568,Donnerstag::N,Yaou,torstai
569,Freitag::N,Gwener,perjantai
570,Samstag::N,Sadorn,lauantai
571,Sonntag::N,Sul,sunnuntai
572,groß::A,bras,iso
573,groß::A,bras,suuri
574,klein::A,bihan,pieni
575,lang::A,hir,pitkä
576,kurz::A,berr,lyhyt
577,breit::A,ledan,leveä
578,schmal::A,strizh,kapea
579,dicht::A,stank,taaja
580,dick[Gegenstand]::A,tev,paksu
581,dünn::A,moan,ohut
582,fein::A,munut,hieno
583,fest::A,start,luja
584,flach::A,plaen,litteä
585,flach::A,plaen,tasainen
586,glatt::A,lintr,sileä
587,glatt::A,lintr,siloinen
588,glatt::A,levn,sileä
589,glatt::A,levn,siloinen
590,hart::A,kalet,kova
591,weich::A,blot,pehmeä
592,rund::A,ront,pyöreä
593,spitz::A,poentet,terävä
594,scharf::A,dremm,terävä
595,stumpf::A,talsoc'h,tylsä
596,schwer::A,pounner,raskas
597,schwer::A,pounner,painava
598,schön::A,kaer,kaunis
599,heiß::A,tomm,kuuma
600,warm::A,tomm,lämmin
601,kalt::A,yen,kylmä
602,kalt::A,yen,viluinen
603,kühl::A,yen,viileä
604,frisch::A,fresk,tuore
605,feucht::A,gleb,kostea
606,nass::A,gleb,märkä
607,trocken::A,sec'h,kuiva
608,voll::A,leun,täysi
609,leer::A,goullo,tyhjä
610,offen::A,digor,avonainen
611,geschlossen::A,serr,suljettu
612,sauber::A,naet,puhdas
613,schmutzig::A,lous,likainen
614,roh::A,kriz,raaka
615,reif::A,darev,kypsä
616,lecker::A,lipous,herkullinen
617,lecker::A,saourus,herkullinen
618,süß::A,dous,makea
619,bitter::A,c'hwerv,karvas
620,bitter::A,c'hwerv,kitkerä
621,sauer::A,trenk,hapan
622,hell::A,sklaer,kirkas
623,hell::A,sklaer,valoisa
624,dunkel::A,teñval,pimeä
625,schwarz::A,du,musta
626,weiß::A,gwenn,valkea
627,rot::A,ruz,punainen
628,gelb::A,melen,keltainen
629,blau::A,glas,sininen
630,grün::A,gwer,vihreä
631,grau::A,louet,harmaa
632,bunt::A,liesliv,kirjava
633,billig::A,marc'had-mat,halpa
634,billig::A,marc'had-mat,huokea
635,teuer::A,ker,kallis
636,wertvoll::A,prizius,arvokas
637,blind::A,dall,sokea
638,taub::A,bouzar,kuuro
639,kräftig::A,start,väkevä
640,kräftig::A,start,voimakas
641,stark::A,kreñv,vahva
642,schwach::A,gwan,heikko
643,fett::A,lard,lihava
644,schlank::A,sinkl,hoikka
645,schlank::A,sinkl,solakka
646,hübsch::A,koant,soma
647,hübsch::A,koant,sievä
648,böse::A,gwall,paha
649,böse::A,gwall,häijy
650,dumm::A,glep,tyhmä
651,dumm::A,glep,typerä
652,faul::A,lezirek,laiska
653,fleißig::A,studius,ahkera
654,geizig::A,tost,saita
655,klug::A,speredek,älykäs
656,geschickt::A,dornet,taitava
657,lieb::A,koant,rakas
658,lustig::A,laouen,hauska
659,lustig::A,laouen,iloinen
660,sanft::A,flour,lauha
661,sanft::A,flour,lempeä
662,hungrig::A,marnaon,nälkäinen
663,krank::A,klañv,sairas
664,nackt::A,noazh,alaston
665,traurig::A,trist,surullinen
666,traurig::A,trist,murheellinen
667,lebendig::A,bev,elävä
668,gut::A,mad,hyvä
669,schlecht::A,fall,paha
670,schlecht::A,fall,huono
671,schlecht::A,gwall,paha
672,schlecht::A,gwall,huono
673,richtig::A,reizh,oikea
674,schlimm::A,gwall,paha
675,wahr::A,gwir,tosi
676,alt::A,kozh,vanha
677,neu::A,nevez,uusi
678,ehemalig::A,kozh,entinen
679,ehemalig::A,kozh,muinainen
680,alt[Lebewesen]::A,kozh,vanha
681,jung::A,yaouank,nuori
682,arm::A,paour,köyhä
683,reich::A,pinvidik,rikas
684,bekannt::A,anavezet,tuttu
685,bekannt::A,anavezet,tunnettu
686,berühmt::A,brudet,kuuluisa
687,fremd::A,dizanav,vieras
688,verschieden::A,disheñel,eri
689,verschieden::A,disheñel,erilainen
690,nah::A,nes,läheinen
691,fern::A,diabell,etäinen
692,linker::A,kleiz,vasen
693,rechter::A,dehoù,oikea
694,anderer::A,all,muu
695,anderer::A,all,toinen
696,erster::A,kentañ,ensimmäinen
697,zweiter::A,eil,toinen
698,dritter::A,trede,kolmas
699,letzter::A,diwezhañ,viimeinen
700,allein::ADV,e-unan,yksin
701,auf einmal::ADV,ar un dro,yhdellä kertaa
702,zusammen::ADV,asambles,yhdessä
703,lange::ADV,pell,kauan
704,lange::ADV,pell,pitkään
705,plötzlich::ADV,en un taol,äkkiä
706,sofort::ADV,diouzhtu,heti
707,später::ADV,diwezhatoc'h,myöhemmin
708,jetzt::ADV,bremañ,nyt
709,heute::ADV,hiziv,tänään
710,morgen::ADV,arc'hoazh,huomenna
711,bald::ADV,hepdale,pian
712,dann::ADV,a-c'houde,sitten
713,gestern::ADV,dec'h,eilen
714,einst::ADV,gwechall,aikanaan
715,damals::ADV,neuze,silloin
716,damals::ADV,neuze,siihen aikaan
717,danach::ADV,goude,sen jälkeen
718,vorher::ADV,diagent,ennen
719,zuerst::ADV,da gentañ,ensin
720,zuerst::ADV,da gentañ,ensiksi
721,einmal::ADV,ur wech,kerran
722,manchmal::ADV,a-wechoù,joskus
723,oft::ADV,alies,usein
724,immer::ADV,atav,aina
725,immer::ADV,bepred,aina
726,niemals::ADV,gwech ebet,ei koskaan
727,hier::ADV,amañ,tässä
728,hier::ADV,amañ,täällä
729,hierhin::ADV,dre amañ,tähän
730,von hier::ADV,alemañ,tästä
731,von hier::ADV,alemañ,täältä
732,dort::ADV,aze,siinä
733,dort::ADV,aze,siellä
734,dort::ADV,ahont,siinä
735,dort::ADV,ahont,siellä
736,dorthin::ADV,di,sinne
737,dorthin::ADV,di,tuonne
738,dorthin::ADV,aze,sinne
739,dorthin::ADV,aze,tuonne
740,dorthin::ADV,ahont,sinne
741,dorthin::ADV,ahont,tuonne
742,geradeaus::ADV,war-eeun,suoraan
743,vorwärts::ADV,war-raok,eteenpäin
744,rückwärts::ADV,war-lerc'h,taaksepäin
745,zurück::ADV,war-dreñv,takaisin
746,unten::ADV,en traoñ,alhaalla
747,hinab::ADV,a-izel,alas
748,oben::ADV,en nec'h,ylhäällä
749,hinauf::ADV,e-krec'h,ylös
750,überall::ADV,dre-holl,kaikkialla
751,nicht::ADV,ne ... ket,ei
752,ein wenig::ADV,un tammig,vähän
753,kaum::ADV,a-boan,tuskin
754,sehr::ADV,-tre,kovin
755,sehr::ADV,-tre,oikein
756,sehr::ADV,-kenañ,kovin
757,sehr::ADV,-kenañ,oikein
758,so::ADV,evel-se,näin
759,noch::ADV,c'hoazh,vielä
760,nur::ADV,hepken,vain
761,nur::ADV,hepken,ainoastaan
762,schon::ADV,dija,jo
763,wieder::ADV,adarre,taas
764,wieder::ADV,adarre,jälleen
765,vor::PRP,dirak,edessä
766,hinter::PRP,a-drek,takana
767,hinter::PRP,a-dreñv,takana
768,unter::PRP,dindan,alla
769,durch::PRP,dre,läpi
770,durch::PRP,dre,kautta
771,neben::PRP,e-kichen,vieressä
772,zwischen::PRP,etre,välillä
773,wegen::PRP,abalamour da,takia
774,wegen::PRP,abalamour da,vuoksi
775,dies::PRN,hemañ,tämä
776,das::PRN,se,se
777,das::PRN,hennezh,se
778,alles::PRN,pep tra,kaikki
779,ich::PRN,me,minä
780,du::PRN,te,sinä
781,er::PRN,eñ,hän
782,wir::PRN,ni,me
783,ihr::PRN,c'hwi,te
784,sie::PRN,int,he
785,was::FPRN,petra,mikä
786,wer::FPRN,piv,ken
787,wer::FPRN,piv,kuka
788,wo::FADV,pelec'h,missä
789,wohin::FADV,da belec'h,mihin
790,wie::FADV,penaos,miten
791,wie::FADV,penaos,kuinka
792,warum::FADV,perak,miksi
793,wieviel::FNUM,pet,paljonko
794,wieviel::FNUM,pet,kuinka paljon
795,eins::NUM,unan,yksi
796,zwei::NUM,daou,kaksi
797,drei::NUM,tri,kolme
798,vier::NUM,pevar,neljä
799,fünf::NUM,pemp,viisi
800,sechs::NUM,c'hwec'h,kuusi
801,sieben::NUM,seizh,seitsemän
802,acht::NUM,eizh,kahdeksan
803,neun::NUM,nav,yhdeksän
804,zehn::NUM,dek,kymmenen
805,elf::NUM,unnek,yksitoista
