,Concept_ID,ga,av
78,Erde::N,cré,ракь
79,Erde::N,cré,дуниял
80,Erde::N,ithir,ракь
81,Erde::N,ithir,дуниял
82,Staub::N,dusta,хӏур
83,Staub::N,deannach,хӏур
84,Rauch::N,toit,кӏкӏуй
85,Rauch::N,deatach,кӏкӏуй
86,Funke::N,drithle,
87,Feuer::N,tine,цӏа
88,Licht::N,solas,канлъи
89,Schatten::N,scáth,рагӏад
90,Wetter::N,aimsir,гьава-бакъ
91,Nebel::N,ceo,гӏодобнакӏкӏ
92,Wolke::N,néal,накӏкӏ
93,Wolke::N,scamall,накӏкӏ
94,Regen::N,báisteach,цӏад
95,Regen::N,fearthainn,цӏад
96,Schnee::N,sneachta,гӏазу
97,Eis::N,oighear,цӏер
98,Frost::N,sioc,замгьари
99,Kälte::N,fuacht,квач
100,Hitze::N,teas,багӏари
101,Hitze::N,teocht,багӏари
102,Raureif::N,sioc bán,мартӏ
103,Regenbogen::N,stua ceatha,нур
104,Regenbogen::N,stua ceatha,чамбара
105,Regenbogen::N,bogha báistí,нур
106,Regenbogen::N,bogha báistí,чамбара
107,Donner::N,toirneach,гъугъай
108,Donner::N,toirneach,гъугъади
109,Strömung::N,sruth,чвахи
110,Tropfen::N,deoir,резел
111,Tropfen::N,deoir,тӏинкӏ
112,Tropfen::N,deoir,къатӏра
113,Tropfen::N,deoir,тӏенкӏел
114,Schaum::N,cúr,полоп
115,Schmutz::N,salachar,чороклъи
116,See::N,loch,хӏор
117,Sumpf::N,portach,хьуцӏ
118,Moor::N,caorán,
119,Moor::N,móinteán,
120,Wiese::N,cluain,мегъ
121,Wiese::N,cluain,гӏурдаллъи
122,Wiese::N,móinéar,мегъ
123,Wiese::N,móinéar,гӏурдаллъи
124,Wald::N,coill,рохь
125,Wald::N,foraois,рохь
126,Hügel::N,ard,гохӏ
127,Anhöhe::N,ard,сийитма
128,Anhöhe::N,ardán,сийитма
129,Berg::N,sliabh,мегӏер
130,Gipfel::N,barr,тӏогь
131,Gipfel::N,mullach,тӏогь
132,Höhle::N,uaimh,нохъо
133,Höhle::N,pluais,нохъо
134,Abhang::N,fána,лабаллъи
135,Quelle::N,foinse,ицц
136,Bach::N,sruthán,лъар
137,Fluss::N,abhainn,гӏор
138,Ufer::N,bruach,рагӏал
139,Küste::N,cósta,рагӏал
140,Küste::N,cladach,рагӏал
141,Festland::N,míntír,ракь
142,Festland::N,míntír,ракъдаллъи
143,Meer::N,muir,ралъад
144,Meer::N,farraige,ралъад
145,Bucht::N,bá,кӏветӏ
146,Bucht::N,cuan,кӏветӏ
147,Insel::N,inis,чӏинкӏиллъи
148,Insel::N,oileán,чӏинкӏиллъи
149,Blume::N,bláth,тӏегь
150,Gras::N,féar,хер
151,Wurzel::N,rúta,кьибил
152,Wurzel::N,fréamh,кьибил
153,Baum::N,crann,гъветӏ
154,Stamm::N,stoc,рохти
155,Stamm::N,tamhan,рохти
156,Rinde::N,coirt,макъар
157,Rinde::N,craiceann,макъар
158,Ast::N,géag,ноцӏ
159,Zweig::N,géag,гӏаркьел
160,Zweig::N,craobh,гӏаркьел
161,Blatt::N,duille,тӏамах
162,Blatt::N,duilleog,тӏамах
163,Birke::N,beith,мах
164,Birke::N,beith,махигъветӏ
165,Birke::N,crann beithe,мах
166,Birke::N,crann beithe,махигъветӏ
167,Kiefer[Baum]::N,péine,накӏкӏигъветӏ
168,Weide[Baum]::N,saileach,рицӏцӏ
169,Weide[Baum]::N,saileach,рицӏцӏигъветӏ
170,Tanne::N,giúis,ёлка
171,Horn::N,adharc,лълъар
172,Feder::N,cleite,хӏули
173,Fell::N,clúmh,тӏом
174,Fell::N,clúmh,цӏоко
175,Flügel::N,eite,кваркьи
176,Flügel::N,sciathán,кваркьи
177,Klaue::N,crúb,галъ
178,Klaue::N,crobh,галъ
179,Kralle::N,crobh,квачӏ
180,Kralle::N,crobh,катиквачӏ
181,Schwanz::N,eireaball,рачӏ
182,Ei::N,ubh,хоно
183,Nest::N,nead,бусен
184,Bau::N,brocais,каратӏ
185,Tier::N,ainmhí,хӏайван
186,Tier::N,beithíoch,хӏайван
187,Herde::N,tréad,рехъен
188,Herde::N,tréad,рехъед
189,Kuh::N,bó,гӏака
190,Bulle::N,tarbh,оц
191,Pferd::N,each,чу
192,Pferd::N,capall,чу
193,Schaf::N,caora,чахъу
194,Schwein::N,muc,болъон
195,Hund::N,madra,гьой
196,Katze::N,cat,кету
197,Bär::N,béar,ци
198,Eichhörnchen::N,iora,гвангва
199,Elch::N,eilc,
200,Fuchs::N,sionnach,цер
201,Fuchs::N,madra rua,цер
202,Hase::N,giorria,гӏанкӏ
203,Maus::N,luch,гӏункӏкӏ
204,Wolf::N,mac tíre,бацӏ
205,Vogel::N,éan,хӏинчӏ
206,Schwarm::N,saithe,тӏел
207,Huhn::N,cearc,гӏанкӏу
208,Hahn::N,coileach,хӏелеко
209,Gans::N,gé,хъаз
210,Adler::N,iolar,цӏум
211,Ente::N,lacha,ордек
212,Eule::N,ulchabhán,беццаруз
213,Kranich::N,grús,къункъра
214,Krähe::N,caróg,гъеду
215,Krähe::N,préachán,гъеду
216,Kuckuck::N,cuach,гагу
217,Schwan::N,eala,хӏанкъва
218,Fisch::N,iasc,ччугӏа
219,Barsch::N,péirse,окунь
220,Hecht::N,liús,щука
221,Schlange[Tier]::N,nathair,борохь
222,Wurm::N,péist,хӏапара
223,Spinne::N,damhán alla,хъанхъра
224,Ameise::N,seangán,цӏунцӏра
225,Laus::N,míol,нацӏ
226,Mücke::N,muiscít,кӏкӏара
227,Mücke::N,corrmhíol,кӏкӏара
228,Fliege::N,cuil,тӏутӏ
229,Fliege::N,cuileog,тӏутӏ
230,Schmetterling::N,féileacán,кӏалкӏучӏ
231,Beere::N,caor,
232,Apfel::N,úll,гӏеч
233,Pilz::N,beacán,гӏурдахӏан
234,Pilz::N,muisiriún,гӏурдахӏан
235,Zwiebel::N,oinniún,кӏочӏопер
236,Saat::N,síol,хьон
237,Korn::N,gráinne,мугь
238,Heu::N,féar,хер
239,Schale::N,scaimh,хъал
240,Grube::N,poll,гвенд
241,Falle::N,gaiste,къор
242,Falle::N,gaiste,къотен
243,Schlinge::N,sealán,кӏичӏ
244,Spur::N,rian,лъалкӏ
245,Asche::N,luaith,рахъу
246,Dreck::N,salachar,гъиз
247,Dreck::N,salachar,хӏарщ
248,Eisen::N,iarann,махх
249,Gold::N,ór,месед
250,Silber::N,airgead,гӏарац
251,Kohle::N,gual,тӏурччи
252,Glas::N,gloine,цӏер
253,Lehm::N,cré,хӏатӏ
254,Sand::N,gaineamh,сали
255,Mensch::N,duine,чи
256,Mann::N,fear,бихьинчи
257,Frau::N,bean,гӏадан
258,Kind::N,gasúr,лъимер
259,Kind::N,páiste,лъимер
260,Junge::N,buachaill,вас
261,Mädchen::N,cailín,яс
262,Familie::N,teaghlach,хъизан
263,Familie::N,comhluadar,хъизан
264,Großvater::N,seanathair,кӏудада
265,Großmutter::N,seanmháthair,кӏодо
266,Eltern::N,tuismitheoirí,эбел-эмен
267,Vater::N,athair,эмен
268,Mutter::N,máthair,эбел
269,Sohn::N,mac,вас
270,Tochter::N,iníon,яс
271,Bruder::N,deartháir,вац
272,Schwester::N,deirfiúr,яц
273,Onkel::N,uncail,даци
274,Tante::N,aintín,ада
275,Ehemann::N,fear céile,рос
276,Ehefrau::N,bean chéile,чӏужу
277,Freude::N,áthas,ракӏбохи
278,Gelächter::N,gáire,релъи
279,Glück::N,séan,талихӏ
280,Glück::N,séan,талихӏ-рохел
281,Glück::N,sonas,талихӏ
282,Glück::N,sonas,талихӏ-рохел
283,Kummer::N,brón,хӏалкъай
284,Kummer::N,buairt,хӏалкъай
285,Wunsch::N,guí,къасд
286,Wunsch::N,achainí,къасд
287,Lust::N,fonn,гъира
288,Geist::N,meon,чӏанкӏ
289,Geist::N,meon,рухӏ-жан
290,Geist::N,spiorad,чӏанкӏ
291,Geist::N,spiorad,рухӏ-жан
292,Gedanke::N,smaoineamh,пикру
293,Gedächtnis::N,cuimhne,
294,Verstand::N,ciall,лумалъи
295,Verstand::N,ciall,цӏодорлъи
296,Verstand::N,intinn,лумалъи
297,Verstand::N,intinn,цӏодорлъи
298,Sinn::N,brí,магӏна
299,Sinn::N,ciall,магӏна
300,Grund::N,fáth,багьана
301,Wahrheit::N,fírinne,ритӏухълъи
302,Gespräch::N,comhrá,накъит
303,Märchen::N,scéal,маргьа
304,Erzählung::N,scéal,къиса
305,Nachricht::N,teachtaireacht,хабар
306,Neuigkeit::N,scéala,хабар-гӏазаб
307,Name::N,ainm,цӏар
308,Rätsel::N,tomhas,бицанкӏо
309,Rede::N,óráid,речь
310,Rede::N,óráid,калам
311,Rede::N,aitheasc,речь
312,Rede::N,aitheasc,калам
313,Sprache::N,teanga,мацӏ
314,Stimme::N,guth,гьаракь
315,Wort::N,focal,рагӏи
316,Zeichen::N,comhartha,ишара
317,Zeichen::N,comhartha,гӏаламат
318,Ruf::N,glaoch,ахӏи
319,Lärm::N,torann,хъуй
320,Lärm::N,torann,хъуди
321,Laut::N,fuaim,гьаракь
322,Laut::N,fuaim,сас
323,Ton::N,ton,
324,Lied::N,amhrán,кечӏ
325,Ruhe::N,suaimhneas,рахӏат
326,Leute::N,muintir,гӏадамал
327,Volk::N,pobal,халкъ
328,Arbeit::N,obair,хӏалтӏи
329,Gast::N,aoi,гьобол
330,Geschenk::N,féirín,сайигъат
331,Geschenk::N,bronntanas,сайигъат
332,Spiel::N,cluiche,хӏай
333,Spiel::N,cluiche,расанди
334,Gesellschaft::N,comhluadar,жамагӏат
335,Hilfe::N,cúnamh,кумек
336,Hilfe::N,cabhair,кумек
337,Freund::N,cara,гьудул
338,Kamerad::N,comrádaí,гьалмагъ
339,Angelegenheit::N,ábhar,къваригӏел
340,Anzahl::N,líon,рикӏкӏен
341,Art::N,sórt,жинс
342,Art::N,saghas,жинс
343,Stück::N,píosa,кесек
344,Teil::N,cuid,пай
345,Teil::N,páirt,пай
346,Hälfte::N,leath,бащдаб
347,Kreis::N,ciorcal,гор
348,Kreuz::N,cros,хъанч
349,Linie::N,líne,мухъ
350,Strich::N,stríoc,хӏучч
351,Abstand::N,achar,манзил
352,Entfernung::N,fad,манзил
353,Gegend::N,ceantar,рахъ
354,Platz::N,áit,бакӏ
355,Platz::N,spás,бакӏ
356,Ort::N,áit,бакӏ
357,Seite::N,taobh,рахъ
358,Mitte::N,lár,бакьулъбакӏ
359,Gegenstand::N,ball,жо
360,Gegenstand::N,ábhar,жо
361,Sache::N,ní,жо
362,Sache::N,rud,жо
363,Rand::N,imeall,мицӏир
364,Rand::N,ciumhais,мицӏир
365,Kante::N,corr,рагӏал
366,Kante::N,corr,рагӏа-ракьан
367,Kante::N,colbha,рагӏал
368,Kante::N,colbha,рагӏа-ракьан
369,Ecke::N,coirnéal,цили
370,Spitze::N,gob,тӏогь
371,Spitze::N,barr,тӏогь
372,Ende::N,ceann,кӏал
373,Ende::N,foirceann,кӏал
374,Loch::N,poll,каратӏ
375,Winkel::N,cúinne,
376,Winkel::N,uillinn,
377,Muster::N,patrún,накъиш
378,Größe::N,méid,кӏодо́лъи
379,Größe::N,toise,кӏодо́лъи
380,Länge::N,fad,халалъи
381,Höhe::N,airde,борхалъи
382,Gewicht::N,meáchan,бакӏлъи
383,Menge::N,méid,
384,Haufen::N,cnap,гъуни
385,Reihe::N,líne,ирга́
386,Reihe::N,sraith,ирга́
387,Boot::N,bád,раса
388,Ruder::N,rámh,раххан
389,Ruder::N,maide rámha,раххан
390,Schlitten::N,carr sleamhnáin,чанагъ
391,Ski::N,scí,лыжаби
392,Lagerfeuer::N,tine champa,цӏа
393,Last::N,ualach,бакӏлъи
394,Gang::N,siúlóid,хьвади
395,Gang::N,siúlóid,хьвада-чӏвади
396,Schritt::N,céim,гали
397,Schritt::N,coiscéim,гали
398,Norden::N,tuaisceart,шимал
399,Süden::N,deisceart,юг
400,Süden::N,deisceart,къибла
401,Westen::N,iarthar,гъарб
402,Westen::N,iarthar,магъриб
403,Osten::N,oirthear,шаркъ
404,Osten::N,oirthear,машрикъ
405,Holz::N,adhmad,цӏул
406,Brett::N,clár,хъарщи
407,Platte::N,leac,къоно
408,Stütze::N,taca,
409,Stange::N,polla,гӏер
410,Stange::N,cuaille,гӏер
411,Stock::N,bata,тӏил
412,Stock::N,maide,тӏил
413,Stab::N,maide,гӏер
414,Stab::N,bachall,гӏер
415,Rohr::N,píopa,турба
416,Haus::N,teach,ригь
417,Haus::N,teach,рукъзал
418,Heim::N,baile,рукъ
419,Ofen::N,sornóg,печь
420,Fußboden::N,urlár,чӏабар
421,Tisch::N,bord,стол
422,Tisch::N,tábla,стол
423,Stuhl::N,cathaoir,бакӏу
424,Wiege::N,cliabhán,кини
425,Bett::N,leaba,кровать
426,Regal::N,seilf,хъарщи
427,Kiste::N,bosca,ящик
428,Kiste::N,bosca,тӏалагъуд
429,Fenster::N,fuinneoig,гордо
430,Tür::N,doras,нуцӏа
431,Tor::N,geata,каву
432,Zaun::N,fál,раци
433,Zaun::N,claí,раци
434,Dach::N,díon,тӏох
435,Leiter::N,dréimire,мали
436,Besen::N,scuab,жул
437,Spaten::N,spád,бел
438,Spaten::N,rámhainn,бел
439,Schaufel::N,sluasaid,раххан
440,Gabel::N,forc,гӏучӏ
441,Gabel::N,gabhlóg,гӏучӏ
442,Löffel::N,spúnóg,гъуд
443,Messer::N,scian,нус
444,Nagel::N,tairne,магӏ
445,Netz::N,líon,гьин
446,Netz::N,eangach,гьин
447,Haken::N,croch,гъанцӏа
448,Griff::N,cos,гӏоркь
449,Griff::N,hanla,гӏоркь
450,Schloss::N,glas,кӏулал
451,Bild::N,pictiúr,сурат
452,Figur::N,fíor,
453,Puppe::N,bábóg,нани
454,Beutel::N,mála,таргьа
455,Beutel::N,mealbhóg,таргьа
456,Bündel::N,beart,къай
457,Tasche::N,mála,сумка
458,Tasche::N,mála,къвачӏа
459,Eimer::N,buicéad,ведро
460,Deckel::N,clár,тӏалъел
461,Deckel::N,clár,дадитӏалъел
462,Deckel::N,claibín,тӏалъел
463,Deckel::N,claibín,дадитӏалъел
464,Geschirr::N,soithí,цӏарагӏ
465,Geschirr::N,gréithe,цӏарагӏ
466,Sack::N,sac,хъап
467,Sack::N,sac,къандалъо
468,Sack::N,mála,хъап
469,Sack::N,mála,къандалъо
470,Tasse::N,cupán,чашка
471,Topf::N,pota,хьаг
472,Kessel::N,citeal,хьаг
473,Kessel::N,citeal,гереги
474,Essen::N,béile,тӏагӏам
475,Nahrung::N,bia,квен
476,Speise::N,mias,квен
477,Fleisch::N,feoil,гьан
478,Getreide::N,grán,бугӏа-ролъ
479,Getreide::N,grán,могьолабл_культураби
480,Getreide::N,arbhar,бугӏа-ролъ
481,Getreide::N,arbhar,могьолабл_культураби
482,Brei::N,brúitín,карщ
483,Brot::N,arán,чед
484,Scheibe::N,píosa,мочӏу
485,Scheibe::N,slisne,мочӏу
486,Fett::N,saill,беэнлъи
487,Fett::N,méathras,беэнлъи
488,Butter::N,im,нах
489,Öl::N,ola,нах
490,Salz::N,salann,цӏам
491,Suppe::N,sú,чурпа
492,Suppe::N,anraith,чурпа
493,Honig::N,mil,гьоцӏо
494,Milch::N,bainne,рахь
495,Tee::N,tae,чай
496,Leder::N,leathar,тӏом
497,Wolle::N,olann,квас
498,Stoff::N,éadach,ххам
499,Nadel::N,snáthaid,рокӏкӏен
500,Faden::N,snáth,кун
501,Knopf::N,cnaipe,маргъал
502,Knoten::N,snaidhm,гарацӏ
503,Farbe::N,péint,релъен
504,Kleidung::N,éadaí,ретӏел
505,Hemd::N,léine,гурде
506,Kragen::N,bóna,габур
507,Ärmel::N,muinchille,къвал
508,Hose::N,bríste,тӏажу
509,Hose::N,treabhsar,тӏажу
510,Gürtel::N,crios,рачел
511,Mütze::N,caipín,тӏагъур
512,Schuh::N,bróg,
513,Stiefel::N,buatais,этек
514,Stiefel::N,buatais,чакма
515,Ring::N,fáinne,баргъич
516,Band::N,ribín,лента
517,Kamm::N,cíor,гьоркьо
518,Spiegel::N,scáthán,матӏу
519,Riemen::N,iall,рижу
520,Riemen::N,strapa,рижу
521,Schnur::N,téad,
522,Schnur::N,sreangán,
523,Leine::N,iall,
524,Decke::N,pluid,одея́ло
525,Decke::N,blaincéad,одея́ло
526,Kissen::N,piliúr,къандалъо
527,Kissen::N,adhartán,къандалъо
528,Tuch::N,scaif,квархьи
529,Handtuch::N,tuáille,беркӏалрацӏцӏ
530,Kraft::N,fórsa,гуч
531,Kraft::N,fórsa,къуват
532,Stärke::N,neart,хӏалкӏвей
533,Gesundheit::N,sláinte,сахлъи́
534,Krankheit::N,tinneas,унти
535,Krankheit::N,tinneas,щокълъи
536,Krankheit::N,breoiteacht,унти
537,Krankheit::N,breoiteacht,щокълъи
538,Schmerz::N,pian,унти
539,Wunde::N,goin,ругъун
540,Fieber::N,fiabhras,цӏа-кан
541,Arznei::N,cógas,дару
542,Brücke::N,droichead,кьо
543,Brunnen::N,tobar,гъуй
544,Weide::N,féarach,рицӏцӏ
545,Weide::N,féarach,лъичӏирма
546,Weide::N,féarach,гӏурдаллъи
547,Weide::N,féarach,ри́цӏигъветӏ
548,Weide::N,féarach,рицӏцӏигъветӏ
549,Pfad::N,cosán,сухъмахъ
550,Pfad::N,conair,сухъмахъ
551,Weg::N,slí,нух
552,Weg::N,bealach,нух
553,Straße::N,bóthar,нух
554,Dorf::N,sráidbhaile,росу
555,Stadt::N,baile,шагьар
556,Stadt::N,cathair,шагьар
557,Brief::N,litir,кагъат
558,Brief::N,litir,рисалат
559,Buch::N,cín,тӏехь
560,Buch::N,leabhar,тӏехь
561,Buchstabe::N,litir,хӏарп
562,Zeitung::N,nuachtán,газет
563,Leben::N,saol,яшав
564,Leben::N,beatha,яшав
565,Tod::N,bás,хвел
566,Grab::N,uaigh,хоб
567,Kirche::N,eaglais,килиса
568,Sünde::N,peaca,хӏакъ
569,Sünde::N,peaca,мунагь
570,Gott::N,dia,бичас
571,Gott::N,dia,аллагь
572,Arbeiter::N,oibrí,хӏалтӏухъан
573,Chef::N,saoiste,хӏаким
574,Chef::N,saoiste,начальник
575,Chef::N,ceannasaí,хӏаким
576,Chef::N,ceannasaí,начальник
577,Meister::N,máistir,устар
578,Meister::N,máistir,мастер
579,Meister::N,máistir,махщалилав
580,Arzt::N,lia,жайрахӏ
581,Arzt::N,dochtúir,жайрахӏ
582,Lehrer::N,oide,мугӏалим
583,Lehrer::N,múinteoir,мугӏалим
584,Geld::N,airgead,гӏарац
585,Geschäft::N,gnó,
586,Laden::N,siopa,тукен
587,Preis::N,praghas,багьа
588,Ware::N,earra,къайи
589,Nutzen::N,tairbhe,мунпагӏат
590,Reichtum::N,rachmas,бечелъи
591,Reichtum::N,saibhreas,бечелъи
592,Welt::N,domhan,дуниял
593,Land::N,tír,улка
594,Land::N,tír,икълим
595,Staat::N,stát,пачалихъ
596,König::N,rí,пача
597,König::N,rí,малик
598,König::N,rí,къирал
599,König::N,rí,падишагь
600,Macht::N,cumhacht,кверщел
601,Grenze::N,críoch,гӏорхъи
602,Grenze::N,teorainn,гӏорхъи
603,Krieg::N,cogadh,рагъ
604,Feind::N,namhaid,тушман
605,Gewalt::N,foréigean,зулму
606,Kampf::N,troid,къеркьей
607,Bogen[Waffe]::N,bogha,газаргъо
608,Pfeil::N,saighead,чӏор
609,Gewehr::N,gunna,туманкӏ
610,Fehler::N,botún,гъалатӏ
611,Fehler::N,meancóg,гъалатӏ
612,Lüge::N,bréag,гьереси
613,Lüge::N,éitheach,гьереси
614,Schaden::N,dochar,зиян
615,Schaden::N,dochar,зарал
616,Schaden::N,damáiste,зиян
617,Schaden::N,damáiste,зарал
618,Unglück::N,drochrath,балагь
619,Schuld::N,locht,гӏайиб
620,Schuld::N,milleán,гӏайиб
621,Alter::N,aois,гӏумру
622,Schluss::N,deireadh,ахир
623,Zeit::N,am,заман
624,Zeit::N,aimsir,заман
625,Tag::N,lá,къо
626,Morgen::N,maidin,радалмех
627,Mittag::N,nóin,къадемех
628,Abend::N,tráthnóna,релъедамех
629,Nacht::N,oíche,сордо
630,Woche::N,seachtain,анкь
631,Monat::N,mí,моцӏ
632,Jahr::N,bliain,сон
633,Jahr::N,bliain,лъагӏел
634,Frühling::N,earrach,их
635,Sommer::N,samhradh,рии
636,Herbst::N,fómhar,хасалихълъи
637,Winter::N,geimhreadh,кьин
638,Januar::N,Eanáir,январь
639,Februar::N,Feabhra,февра́ль
640,März::N,Márta,март
641,April::N,Aibreán,апрель
642,Mai::N,Bealtaine,май
643,Juni::N,Meitheamh,июнь
644,Juli::N,Iúil,июль
645,August::N,Lúnasa,август
646,September::N,Meán Fómhair,сентябрь
647,Oktober::N,Deireadh Fómhair,октябрь
648,November::N,Samhain,ноябрь
649,November::N,Mí na Samhna,ноябрь
650,Dezember::N,Mí na Nollag,декабрь
651,Montag::N,Luan,итни
652,Montag::N,Dé Luain,итни
653,Dienstag::N,Máirt,талат
654,Dienstag::N,Dé Máirt,талат
655,Mittwoch::N,Céadaoin,арбагӏ
656,Mittwoch::N,Dé Céadaoin,арбагӏ
657,Donnerstag::N,Déardaoin,хамиз
658,Freitag::N,Aoine,рузман
659,Freitag::N,Dé hAoine,рузман
660,Samstag::N,Satharn,щамат
661,Samstag::N,Dé Sathairn,щамат
662,Sonntag::N,Domhnach,гьатӏан
663,Sonntag::N,Dé Domhnaigh,гьатӏан
664,groß::A,mór,кӏудияб
665,klein::A,beag,гьитӏинаб
666,lang::A,fada,халатаб
667,kurz::A,gearr,къокъаб
668,kurz::A,gairid,къокъаб
669,breit::A,leathan,гӏебаб
670,breit::A,fairsing,гӏебаб
671,schmal::A,cúng,къваридаб
672,dicht::A,dlúth,ризаб
673,dick[Gegenstand]::A,tiubh,бицатаб
674,dünn::A,caol,тӏеренаб
675,dünn::A,tanaí,тӏеренаб
676,fein::A,scáinte,тӏеренаб
677,fein::A,fíneálta,тӏеренаб
678,fest::A,daingean,къвакӏараб
679,flach::A,cothrom,чӏепараб
680,glatt::A,mín,цӏвакараб
681,glatt::A,sleamhain,цӏвакараб
682,hart::A,crua,кьварараб
683,weich::A,bog,тамахаб
684,rund::A,cruinn,гургинаб
685,spitz::A,gobach,бегӏераб
686,spitz::A,biorach,бегӏераб
687,scharf::A,géar,рекӏараб
688,scharf::A,faobhrach,рекӏараб
689,stumpf::A,maol,тӏехӏараб
690,stumpf::A,maol,рекӏинчӏеб
691,schwer::A,trom,бакӏаб
692,schön::A,álainn,берцинаб
693,heiß::A,te,лагьараб
694,warm::A,te,хинаб
695,kalt::A,fuar,квачараб
696,kühl::A,fionnuar,квачараб
697,frisch::A,úr,цӏияб
698,frisch::A,friseáilte,цӏияб
699,feucht::A,tais,рагьараб
700,nass::A,fliuch,би́ччараб
701,trocken::A,tirim,бакъвараб
702,voll::A,lán,
703,leer::A,folamh,чӏобогояб
704,offen::A,oscailte,рагьараб
705,geschlossen::A,dúnta,рахараб-къараб
706,geschlossen::A,druidte,рахараб-къараб
707,sauber::A,glan,бацӏцӏадаб
708,schmutzig::A,salach,гъизараб
709,roh::A,amh,хамаб
710,roh::A,amh,гӏатӏгояб
711,reif::A,aibí,барщараб
712,lecker::A,blasta,тӏагӏамаб
713,süß::A,milis,гьуинаб
714,bitter::A,searbh,кьогӏаб
715,sauer::A,géar,цӏекӏаб
716,sauer::A,searbh,цӏекӏаб
717,hell::A,geal,канаб
718,hell::A,soilseach,канаб
719,dunkel::A,dorcha,бецӏаб
720,schwarz::A,dubh,чӏегӏераб
721,weiß::A,bán,хъахӏаб
722,rot::A,dearg,багӏараб
723,gelb::A,buí,гӏобилаб
724,gelb::A,buí,тӏогьилаб
725,blau::A,gorm,хъахӏилаб
726,grün::A,glas,гӏурччинаб
727,grün::A,uaine,гӏурччинаб
728,grau::A,liath,накӏкӏуяб
729,bunt::A,ildathach,къвекӏаб
730,bunt::A,ildathach,чара-гъараб
731,bunt::A,dathannach,къвекӏаб
732,bunt::A,dathannach,чара-гъараб
733,billig::A,saor,учузаб
734,teuer::A,daor,хири́яб
735,teuer::A,costasach,хири́яб
736,wertvoll::A,luachmhar,къиматаб
737,blind::A,dall,беццаб
738,blind::A,caoch,беццаб
739,taub::A,bodhar,гъугъаб
740,kräftig::A,cumhachtach,гучаб
741,stark::A,tréan,къуватаб
742,stark::A,láidir,къуватаб
743,schwach::A,lag,гӏажизаб
744,schwach::A,fann,гӏажизаб
745,fett::A,ramhar,кьарияб
746,schlank::A,caol,чергесаб
747,schlank::A,seang,чергесаб
748,hübsch::A,álainn,гьайбатаб
749,hübsch::A,dathúil,гьайбатаб
750,böse::A,olc,ракӏквешаб
751,dumm::A,dúr,гьагаб
752,dumm::A,dúr,гӏантаб
753,dumm::A,amaideach,гьагаб
754,dumm::A,amaideach,гӏантаб
755,faul::A,falsa,кӏохӏалаб
