,Concept_ID,ku,mrj
70,Stein::N,kevir,кӱ
71,Boden::N,herd,рок
72,Erde::N,ax,свет
73,Staub::N,toz,пырак
74,Rauch::N,dû,шӹкш
75,Funke::N,çirûşk,ип
76,Funke::N,çirûşk,тылип
77,Feuer::N,agir,тыл
78,Licht::N,ronahî,соты
79,Licht::N,ronahî,валгыды
80,Schatten::N,sî,ӹмӹл
81,Wetter::N,hewa,игечӹ
82,Nebel::N,mij,тӹтӹрӓ
83,Wolke::N,ewr,пӹл
84,Regen::N,baran,юр
85,Schnee::N,berf,лым
86,Eis::N,qeşa,и
87,Frost::N,xûsik,ӱштӹ
88,Kälte::N,serma,ӱштӹ
89,Hitze::N,germayî,шокшы
90,Raureif::N,şext,пöрш
91,Regenbogen::N,heftreng,шанавӹл
92,Donner::N,gire-gir,хӹдӹртӹш
93,Strömung::N,şewl,йогы
94,Tropfen::N,dilop,капльы
95,Tropfen::N,dilop,капльык
96,Schaum::N,kef,шонг
97,Schmutz::N,gemar,лявӹрӓ
98,See::N,gol,йӓр
99,Sumpf::N,hezek,лӱкӹ
100,Moor::N,mafêl,куп
101,Wiese::N,sûrik,алык
102,Wald::N,çiya,шӹргӹ
103,Wald::N,daristan,шӹргӹ
104,Hügel::N,gir,пӱгӹрикӓ
105,Anhöhe::N,sere gir,кӱкшикӓ
106,Berg::N,kaş,кырык
107,Gipfel::N,sere gir,неркӓ
108,Höhle::N,şikeft,ы́раж
109,Abhang::N,kaş,полом
110,Quelle::N,kanî,вӹдсӹнзӓ
111,Bach::N,çem,ӓнгӹр
112,Fluss::N,çem,вӹд
113,Fluss::N,rûbar,вӹд
114,Ufer::N,kevî,сир
115,Küste::N,berav,сир
116,Festland::N,bejahî,мӱлӓндӹ
117,Meer::N,behr,тангыж
118,Bucht::N,derav,вӹдъял
119,Insel::N,girav,острок
120,Blume::N,kulînk,пеледӹш
121,Gras::N,giha,шуды
122,Wurzel::N,reh,важ
123,Baum::N,dar,пушӓнгӹ
124,Stamm::N,bavik,пушӓнгӹ тӹнг
125,Rinde::N,qaqil,каргыж
126,Ast::N,gulî,укш
127,Zweig::N,şax,укш
128,Blatt::N,pel,листӹ
129,Birke::N,dara sipî,куги
130,Kiefer[Baum]::N,dara bî,йӓктӹ
131,Weide[Baum]::N,dara belalûk,уа
132,Tanne::N,merx,кож
133,Horn::N,strô,шур
134,Feder::N,pîrtîk,пын
135,Fell::N,heyar,кавашты
136,Flügel::N,per,шылдыр
137,Klaue::N,napîk,кӹч
138,Kralle::N,dinik,лапа
139,Kralle::N,dirnax,лапа
140,Schwanz::N,dûv,пач
141,Ei::N,hêk,мыны
142,Nest::N,hêlîn,пӹжӓш
143,Bau::N,avahî,ыраж
144,Tier::N,heywan,во́льык
145,Herde::N,hoz,кӹтö
146,Kuh::N,çêlek,ышкал
147,Bulle::N,ga,ӱшкӱж
148,Pferd::N,hesp,имни
149,Schaf::N,mîh,шарык
150,Schwein::N,beraz,сасна
151,Hund::N,seh,пи
152,Katze::N,pişîk,коти
153,Bär::N,hirç,мöскӓ
154,Eichhörnchen::N,pilûr,ур
155,Elch::N,pazkovî,шарды
156,Fuchs::N,rovî,рӹвӹж
157,Hase::N,kîroşk,морен
158,Maus::N,mişk,каля
159,Wolf::N,gur,пирӹ
160,Vogel::N,çûk,кек
161,Schwarm::N,lufik,цуца
162,Huhn::N,mirîşk,цӹвӹ
163,Hahn::N,dîk,ӓптӓн
164,Gans::N,qaz,комбы
165,Adler::N,eylo,кучкыж
166,Ente::N,werdek,лыды
167,Eule::N,bûm,тымана
168,Eule::N,kund,тымана
169,Kranich::N,quling,тырня
170,Kranich::N,quling,тыртня
171,Krähe::N,qijik,лудыгарак
172,Kuckuck::N,pepûk,куку
173,Schwan::N,qû,йӱксӹ
174,Fisch::N,masî,кол
175,Barsch::N,okûn,алангы
176,Hecht::N,mesîyê lûf,нуж
177,Hecht::N,mesîyê lûf,нужгол
178,Schlange[Tier]::N,mar,кӹшкы
179,Wurm::N,kurm,шукш
180,Spinne::N,pîrê,ӓнгӹремшӹ
181,Ameise::N,mîro,кыткы
182,Ameise::N,gêrîk,кыткы
183,Laus::N,spi,ти
184,Mücke::N,mêş,кужнер
185,Mücke::N,mêş,кужынер
186,Fliege::N,mêş,шӹнгӓ
187,Schmetterling::N,perperîk,лӹпӹ
188,Beere::N,hirç,мöр
189,Apfel::N,sêv,олма
190,Pilz::N,bîrov,понгы
191,Zwiebel::N,pîvaz,охыра
192,Saat::N,tov,нӱшмӹ
193,Saat::N,tov,нӱшмӱ
194,Korn::N,dexl,пӹрцӹ
195,Heu::N,sap,шуды
196,Schale::N,qaşik,аваха
197,Schale::N,qaşik,карлангы
198,Grube::N,çahl,йӓм
199,Falle::N,dafik,лӱдӹ
200,Falle::N,dafik,лӱдӹш
201,Schlinge::N,dahf,онгы
202,Spur::N,rêç,кишӓ
203,Asche::N,xweli,ломых
204,Asche::N,xweli,ломпыж
205,Dreck::N,gemarî,лявӹрӓ
206,Eisen::N,hesing,кӹртни
207,Gold::N,zêr,шöртни
208,Gold::N,zêr,шöртньӹ
209,Silber::N,zîv,ши
210,Kohle::N,komir,шӱ
211,Glas::N,qedeh,охоница
212,Lehm::N,kelpîç,шун
213,Sand::N,qûm,ошма
214,Mensch::N,mirov,эдем
215,Mann::N,mêr,пӱэргӹ
216,Frau::N,jin,ӹдӹрӓмӓш
217,Kind::N,zarok,ӓзӓ
218,Kind::N,zarok,шачшы
219,Junge::N,kur,рвезӹ
220,Junge::N,kur,ӹрвезӹ
221,Mädchen::N,keç,ӹдӹрӓш
222,Mädchen::N,keçik,ӹдӹрӓш
223,Familie::N,malbat,йиш
224,Familie::N,malbat,семня
225,Großvater::N,bapîr,тьоти
226,Großmutter::N,pîrik,папа
227,Eltern::N,bavudê,ӓтя-ӓвӓ
228,Vater::N,bav,ӓтя
229,Mutter::N,dê,ӓвӓ
230,Mutter::N,dayik,ӓвӓ
231,Sohn::N,kur,эргӹ
232,Tochter::N,keç,ӹдӹр
233,Bruder::N,bira,ӹза
234,Schwester::N,xweh,ӓкӓ
235,Onkel::N,am,кугуза
236,Onkel::N,xal,кугуза
237,Tante::N,metik,куака
238,Tante::N,xaltîk,куака
239,Ehemann::N,mêr,мары
240,Ehefrau::N,kulfet,вӓтӹ
241,Freude::N,kêfxweşî,ӹвӹртӹмӓш
242,Gelächter::N,pîrqînî,ваштылмаш
243,Glück::N,bext,пиӓл
244,Kummer::N,derd,ясы
245,Wunsch::N,daxwaz,охата
246,Wunsch::N,daxwaz,шанымаш
247,Wunsch::N,xwestek,охата
248,Wunsch::N,xwestek,шанымаш
249,Lust::N,şewq,шӓр
250,Lust::N,şewq,охата
251,Lust::N,şewq,шанымаш
252,Geist::N,aqil,тух
253,Gedanke::N,fikir,шанымаш
254,Gedächtnis::N,aqil,ӓш
255,Verstand::N,fêm,ыш
256,Sinn::N,aqil,кын
257,Grund::N,asas,вир
258,Wahrheit::N,rastî,тöр
259,Gespräch::N,guftûgo,хытырымаш
260,Märchen::N,çirok,ямак
261,Erzählung::N,çirok,шайыштмаш
262,Erzählung::N,vegotin,шайыштмаш
263,Nachricht::N,nûçe,увертӓрӹмӓш
264,Neuigkeit::N,hewal,увер
265,Name::N,nav,лӹм
266,Name::N,paşnav,лӹм
267,Rätsel::N,tiştonek,тышты
268,Rede::N,gotar,шая
269,Rede::N,gotar,шамак
270,Rede::N,axavtin,шая
271,Rede::N,axavtin,шамак
272,Sprache::N,ziman,йӹлмӹ
273,Stimme::N,pejn,юк
274,Wort::N,gotin,шамак
275,Zeichen::N,şanek,палӹ
276,Ruf::N,hawar,сӹгӹрӹмӓш
277,Lärm::N,xarbalix,юкланымащ
278,Laut::N,deng,юк
279,Laut::N,hês,юк
280,Ton::N,awaz,юк
281,Lied::N,sitran,мыры
282,Ruhe::N,rihetî,тыр
283,Leute::N,xelk,эдемвлӓ
284,Volk::N,xelk,халык
285,Arbeit::N,xebat,пӓшӓ
286,Gast::N,mêvan,хына
287,Geschenk::N,diyarî,подарка
288,Spiel::N,lîstik,мадыш
289,Gesellschaft::N,komal,йӓл
290,Gesellschaft::N,komal,йӓлвлӓ
291,Hilfe::N,alîkarî,палшык
292,Freund::N,heval,тӓнг
293,Kamerad::N,heval,тос
294,Angelegenheit::N,pirsgirêk,дела
295,Angelegenheit::N,pirsgirêk,йела
296,Angelegenheit::N,pirsgirêk,йыла
297,Angelegenheit::N,pirsgirêk,пӓшӓ
298,Anzahl::N,çend,шот
299,Art::N,çeh,цӹре
300,Stück::N,lib,лаштык
301,Stück::N,parçe,лаштык
302,Teil::N,parçe,пай
303,Teil::N,parçe,часть
304,Hälfte::N,nîvî,пел
305,Kreis::N,çemil,тӹртӹш
306,Kreuz::N,xaç,крестӹ
307,Linie::N,xezik,
308,Strich::N,xezik,
309,Abstand::N,dûrahî,ло
310,Entfernung::N,dûrahî,ло
311,Gegend::N,dever,вӓр
312,Platz::N,çih,вӓр
313,Ort::N,dever,вӓр
314,Seite::N,rûpel,öрдӹж
315,Mitte::N,nav,ло
316,Mitte::N,nabênê,ло
317,Gegenstand::N,tişt,хӓдӹр
318,Sache::N,tişt,хӓдӹр
319,Rand::N,kevî,шöр
320,Kante::N,kevî,шöр
321,Ecke::N,qunç,лык
322,Spitze::N,derzî,вуй
323,Ende::N,talî,вуй
324,Ende::N,talî,мычаш
325,Loch::N,qul,ыраж
326,Winkel::N,kurnîşk,лык
327,Muster::N,desen,тӹрлец
328,Größe::N,mezinî,кӱкшӹц
329,Länge::N,dirêjahî,кыт
330,Höhe::N,bilindayî,кӱкшӹц
331,Gewicht::N,giranî,нелӹц
332,Menge::N,qas,шот
333,Haufen::N,lod,ара
334,Reihe::N,rêz,ряд
335,Boot::N,kelek,пыш
336,Ruder::N,bêrik,вешлӓ
337,Schlitten::N,xîjik,тир
338,Ski::N,lakan,ечӹ
339,Lagerfeuer::N,agir,тыл
340,Last::N,bar,нелӹц
341,Gang::N,fîtêz,ход
342,Schritt::N,gav,ашкыл
343,Norden::N,bakur,йыдпелвел
344,Süden::N,başur,кечӹвӓлвел
345,Westen::N,rojava,кечӹ шӹцмӹ
346,Osten::N,rojhilat,ирвел
347,Osten::N,rojhilat,кечӹ лӱлтмӹ
348,Holz::N,dep,пушӓнгӹ
349,Brett::N,dep,ханга
350,Platte::N,dep,плитӓ
351,Stütze::N,destek,цӓрӓк
352,Stange::N,sing,равы
353,Stange::N,sing,намаш
354,Stock::N,çam,панды
355,Stab::N,qat,равы
356,Rohr::N,borî,пыч
357,Haus::N,mal,пöрт
358,Haus::N,xanî,пöрт
359,Heim::N,mal,пöрт
360,Ofen::N,sobe,камака
361,Fußboden::N,binpê,седӹрӓ
362,Tisch::N,mase,стöл
363,Stuhl::N,kursî,пöкен
364,Wiege::N,derguş,шипкӓ
365,Bett::N,qerewêle,койка
366,Bett::N,qerewêle,кравать
367,Regal::N,rêbaz,полицӓ
368,Kiste::N,sindoq,шӱ́ндӹк
369,Fenster::N,çam,окня
370,Fenster::N,şibeke,окня
371,Tür::N,derî,амаса
372,Tor::N,derge,хапка
373,Zaun::N,hejik,забор
374,Dach::N,sere xanî,левӓш
375,Leiter::N,pêling,ташкалтыш
376,Besen::N,melkes,сало
377,Besen::N,melkes,салко
378,Spaten::N,mer,кольмы
379,Schaufel::N,bêr,лоток
380,Gabel::N,çetel,ви́лка
381,Löffel::N,kevçî,савала
382,Messer::N,kêr,кӹзӹ
383,Nagel::N,bizmar,пыда
384,Netz::N,tor,вӓпш
385,Haken::N,çenqel,крӱк
386,Haken::N,çenqel,кагак
387,Griff::N,destî,кычем
388,Schloss::N,qonax,замок
389,Schloss::N,qonax,сыравач
390,Bild::N,dimen,картин
391,Figur::N,figûr,кӓн
392,Puppe::N,bûk,поханя
393,Beutel::N,kîsik,мешӓк
394,Bündel::N,pêçek,топ
395,Bündel::N,pêçek,пидӹш
396,Bündel::N,pêçek,кӹлдӹш
397,Tasche::N,bêrîk,сумкы
398,Eimer::N,dewl,ведӹрӓ
399,Deckel::N,devik,комдыш
400,Geschirr::N,ferax,ӓтӹ
401,Sack::N,tûr,мешӓк
402,Tasse::N,kada,цӓшкӓ
403,Topf::N,beroş,ми́ска
404,Kessel::N,şîril,пад
405,Essen::N,xwarin,качкыш
406,Essen::N,xwarin,качкыш-йӱш
407,Nahrung::N,xwarin,качкыш
408,Nahrung::N,xwarin,качкыш-йӱш
409,Speise::N,xwarin,няня
410,Fleisch::N,goşt,пай
411,Getreide::N,zad,киндӹ
412,Brei::N,hewdêl,шӹрӓш
413,Brot::N,,сыкыр
414,Scheibe::N,parçe,ламыт
415,Scheibe::N,parçe,лаштык
416,Fett::N,rûn,кая
417,Butter::N,rûn,ӱ
418,Öl::N,rûn,ӱ
419,Salz::N,xwe,санзал
420,Suppe::N,şorbe,лем
421,Honig::N,hingiv,мӱ
422,Milch::N,şîr,шӹшер
423,Tee::N,çay,чӓй
424,Leder::N,çerm,шарга
425,Leder::N,çerm,кавашты
426,Wolle::N,herî,миж
427,Stoff::N,paç,матер
428,Stoff::N,paç,матери
429,Nadel::N,derzî,им
430,Faden::N,ta,шӹртӹ
431,Knopf::N,bişkok,полдыш
432,Knoten::N,girêk,пӱкшем
433,Farbe::N,boyax,чиӓ
434,Farbe::N,boyax,крӓскӓ
435,Kleidung::N,çil,выргем
436,Hemd::N,qutik,тыгыр
437,Hemd::N,miltan,тыгыр
438,Kragen::N,stûvang,шӱ
439,Ärmel::N,hûçik,шокш
440,Hose::N,şewel,ялаш
441,Gürtel::N,qayiş,ӹштӹ
442,Mütze::N,fîno,упш
443,Schuh::N,şêkal,ту́фльы
444,Stiefel::N,gizme,кем
445,Stiefel::N,çizme,кем
446,Ring::N,xelek,шӓргӓш
447,Band::N,band,лемтӓ
448,Kamm::N,şeh,шерге
449,Spiegel::N,eynik,тӹгӹр
450,Riemen::N,qayiş,прӓжӓ
451,Schnur::N,doxin,кӓндӹра
452,Leine::N,şirît,керем
453,Decke::N,bataniye,одеял
454,Kissen::N,balgî,кӹпцӹк
455,Tuch::N,şar,савыц
456,Handtuch::N,dezmal,шӹргӹсавыц
457,Handtuch::N,dezmal,шӹргӹмсавыц
458,Kraft::N,hêz,ви
459,Kraft::N,qewet,ви
460,Stärke::N,xurtî,ви
461,Gesundheit::N,nojdarî,шу
462,Gesundheit::N,nojdarî,шулык
463,Krankheit::N,nexweşî,мыж
464,Schmerz::N,êş,карштыш
465,Wunde::N,kul,шушыр
466,Fieber::N,ta,ӱштӹмыж
467,Arznei::N,derman,лекӓрцӹ
468,Brücke::N,kopî,кӹвер
469,Brunnen::N,çal,вӹдсӹнзӓ
470,Brunnen::N,kani,вӹдсӹнзӓ
471,Weide::N,beyar,ныр
472,Pfad::N,xaçirek,ялгорны
473,Weg::N,rê,корны
474,Straße::N,rê,корны
475,Dorf::N,gund,сола
476,Stadt::N,baçar,города
477,Brief::N,name,сирмӓш
478,Buch::N,kitêb,книгӓ
479,Buch::N,pirtûk,книгӓ
480,Buchstabe::N,herf,буква́
481,Zeitung::N,rojname,газет
482,Zeitung::N,rojname,кайзет
483,Leben::N,jiyan,житя
484,Tod::N,mirin,смöрт
485,Grab::N,mezel,шӹгер
486,Grab::N,mezel,мыгилӓ
487,Grab::N,mezel,шӹгерлӓ
488,Kirche::N,gilyas,церкӹ
489,Sünde::N,guneh,сулык
490,Gott::N,xwedê,йымы
491,Arbeiter::N,hîşçî,пӓшӓзӹ
492,Chef::N,bêg,вуй
493,Meister::N,hoste,мастар
494,Arzt::N,doktor,доктор
495,Lehrer::N,mamoste,тымдышы
496,Geld::N,pere,окса
497,Geschäft::N,firoşgeh,торге́йӹмӓш
498,Laden::N,dikan,лапка
499,Laden::N,dikan,магазин
500,Preis::N,buha,ӓк
501,Ware::N,tişt,товар
502,Nutzen::N,fêde,пайда
503,Reichtum::N,serwet,перке
504,Welt::N,dinya,сӓндӓлӹк
505,Welt::N,dinya,свет
506,Land::N,welat,сӓндӓлӹк
507,Staat::N,dewlet,кугижӓншӹ
508,König::N,şah,король
509,König::N,qral,король
510,Macht::N,qewet,власть
511,Macht::N,destihilat,власть
512,Grenze::N,kevî,пӹсмӓн
513,Krieg::N,çeng,вырсы
514,Krieg::N,sêwaş,вырсы
515,Feind::N,dijmin,тышман
516,Gewalt::N,zor,ви
517,Kampf::N,şer,кредӓлмӓш
518,Bogen[Waffe]::N,kêvan,янгеж
519,Pfeil::N,çîrik,пикш
520,Gewehr::N,tifing,пичӓл
521,Fehler::N,şaşî,самынь
522,Lüge::N,derew,шая
523,Schaden::N,xisar,вре́дӓ
524,Unglück::N,bêbextî,пёда
525,Unglück::N,bêbextî,тымаша
526,Schuld::N,suç,вуйнамат
527,Alter::N,temen,иӓш
528,Alter::N,temen,игечӹ
529,Schluss::N,girtin,пӹтӓртӹш
530,Zeit::N,çax,веремӓ
531,Tag::N,roj,кечӹ
532,Morgen::N,sibeh,ир
533,Morgen::N,sibeh,ирок
534,Mittag::N,nîro,кечӹвӓл
535,Abend::N,êvar,вады
536,Nacht::N,şev,йыд
537,Woche::N,heftî,ӓрня
538,Monat::N,meh,тӹ́лзӹ
539,Jahr::N,sal,год
540,Frühling::N,bihar,шошым
541,Sommer::N,havîn,кӓнгӹж
542,Herbst::N,payîz,шӹжӹ
543,Winter::N,zistan,тел
544,Winter::N,zistan,телӹ
545,Januar::N,çile,январ
546,Januar::N,çile,январь
547,Februar::N,sibat,февраль
548,März::N,adar,март
549,April::N,nîsan,апрель
550,Mai::N,gûlan,май
551,Juni::N,hezîran,июнь
552,Juli::N,tîmeh,июль
553,August::N,tebax,август
554,September::N,îlon,сентябрь
555,Oktober::N,çotmeh,октябрь
556,November::N,mijdar,ноябрь
557,Dezember::N,kanûn,декавыр
558,Montag::N,duşemb,шачмы
559,Dienstag::N,sêşem,кышкыжмы
560,Mittwoch::N,çarşemb,вӹрчегӹ
561,Donnerstag::N,pêşemb,изӓрня
562,Freitag::N,în,когарня
563,Samstag::N,şemî,кукшыгечӹ
564,Sonntag::N,yekşemb,рушӓрня
565,groß::A,mezin,кого
566,klein::A,çûçik,изи
567,lang::A,dirêj,кужы
568,kurz::A,kin,кӹтӹк
569,breit::A,fireh,кымда
570,schmal::A,tenik,ӓнгӹсӹр
571,dicht::A,gir,шӹре
572,dick[Gegenstand]::A,şîşman,кӹжгӹ
573,dünn::A,zirav,вӹцкӹж
574,fein::A,tenik,пыльга
575,fest::A,saxlem,цаткыды
576,flach::A,pahn,тӓлякӓ
577,glatt::A,dûz,ягылгы
578,glatt::A,şayîk,ягылгы
579,hart::A,hişk,пингӹдӹ
580,weich::A,nerm,пышкыды
581,rund::A,gilover,тӹртӹш
582,spitz::A,pîj,кашар
583,scharf::A,tûj,кашар
584,stumpf::A,ne tûj,нӹшкӹ
585,schwer::A,giran,нелӹ
586,schön::A,xweş,цевер
587,schön::A,xweş,олмыдшы
588,schön::A,xweşik,цевер
589,schön::A,xweşik,олмыдшы
590,heiß::A,kelandî,шокшы
591,warm::A,germ,шокшы
592,kalt::A,sar,ӱштӹ
593,kühl::A,jemîrî,юалгы
594,kühl::A,jemîrî,йонгата
595,frisch::A,ter,йонгата
596,feucht::A,şil,ӹлӹкшӹ
597,feucht::A,şil,вӹдӹжгӹ
598,nass::A,şilek,начкы
599,trocken::A,zuwa,кукшы
600,voll::A,tijî,темшӹ
601,voll::A,tijî,темыман
602,leer::A,vala,йӓрӓ
603,offen::A,vekirî,виш
604,geschlossen::A,asê,чӱчмӹ
605,geschlossen::A,asê,тӹкӹлӓлтшӹ
606,sauber::A,pakij,ире
607,schmutzig::A,lewitî,шоран
608,schmutzig::A,lewitî,лявӹрӓн
609,schmutzig::A,lewitî,шорангшы
610,roh::A,xav,пеле кӱшӹ
611,reif::A,gihaştî,кӱшӹ
612,lecker::A,xweş,тотан
613,süß::A,şîrîn,мӱӓн
614,bitter::A,tahl,качы
615,sauer::A,tirş,шапы
616,hell::A,ronî,соты
617,hell::A,ronî,валгыды
618,dunkel::A,tarî,пӹц
619,dunkel::A,tarî,пӹцкемӹш
620,schwarz::A,reş,шим
621,weiß::A,sipî,ош
622,weiß::A,sipî,ошы
623,rot::A,sor,якшаргы
624,gelb::A,zer,сар
625,gelb::A,zer,сары
626,blau::A,şîn,симсӹ
627,grün::A,şîn,ыжар
628,grau::A,gewr,луды
629,bunt::A,rengîn,ала
630,billig::A,erzan,шулдаш
631,teuer::A,biha,шергӹ
632,teuer::A,biha,шергӓкӓн
633,wertvoll::A,hêja,ӓкӓн
634,wertvoll::A,giranbiha,ӓкӓн
635,blind::A,kor,слöпöй
636,blind::A,kor,сльöпöй
637,taub::A,kerr,тӱтӱк
638,kräftig::A,gir,виӓн
639,kräftig::A,xurt,виӓн
640,stark::A,xurt,виӓн
641,schwach::A,kesad,шава
642,schwach::A,kesad,лӹпкӓ
643,schwach::A,kesad,слабка
644,fett::A,qelew,таза
645,schlank::A,zirav,яштака
646,hübsch::A,xweşik,сӹлнӹ
647,hübsch::A,xweşik,олмыдшы
648,böse::A,xerab,шӹдӓн
649,böse::A,aciz,шӹдӓн
650,dumm::A,gêj,окмак
651,faul::A,têmbêl,ялахай
652,fleißig::A,jêhatî,пӓшам яратышы
653,geizig::A,destgirtî,шык
654,klug::A,baqil,ышан
655,geschickt::A,zîrek,мастар
656,geschickt::A,ziring,мастар
657,lieb::A,delal,тыри
658,lustig::A,kêfxweş,мындыр
659,lustig::A,kêfxweş,сусу
660,sanft::A,nazenîn,йӹвӹжӓ
661,hungrig::A,birçî,шужышы
662,krank::A,nexweş,церлӹ
663,krank::A,nexweş,хворой
664,nackt::A,rût,цӓрӓ
665,nackt::A,tazî,цӓрӓ
666,traurig::A,xemgîn,сы́лыкан
667,traurig::A,xemgîn,кымы́лдымы
668,lebendig::A,bisaxî,живой
669,gut::A,baş,яжо
670,schlecht::A,xerab,уда
671,schlecht::A,xerab,худа
672,richtig::A,rast,вургамла
673,richtig::A,saxlem,вургамла
674,schlimm::A,nebaş,йӹрнык
675,wahr::A,rast,настоящий
676,wahr::A,rast,настояшый
677,alt::A,pîr,шонгы
678,alt::A,kevn,шонгы
679,neu::A,nû,у
680,ehemalig::A,kevnar,тошты
681,ehemalig::A,peşidar,тошты
682,alt[Lebewesen]::A,pîr,ӹлалшӹ
683,jung::A,xort,нöргӹ
684,jung::A,xort,молода
685,arm::A,feqîr,укеӓн
686,arm::A,desteng,укеӓн
687,reich::A,dewlemend,паян
688,reich::A,dewlemend,пурлыкан
689,bekannt::A,naskirî,палӹмӹ
690,berühmt::A,navdar,лӹмлы
691,fremd::A,xerîb,эдемӹн
692,verschieden::A,çîhê,тӹрлӹ
693,nah::A,nêzîk,лишӹл
694,fern::A,dûr,мӹндӹр
695,linker::A,çepê,шалахай
696,rechter::A,rastê,вургамла
697,anderer::A,yê din,вес
698,anderer::A,yê din,весӹ
699,erster::A,yekemîn,икшӹ
700,erster::A,yekemîn,икӹмшӹ
701,zweiter::A,duda,кокшы
702,dritter::A,sisêya,кымшы
703,letzter::A,paşîn,остатка
704,allein::ADV,tenê,иктӹ
705,allein::ADV,tenê,иктӹт
706,auf einmal::ADV,jar kê,тöрöк
707,zusammen::ADV,tev,икараш
708,zusammen::ADV,tev,цымырын
709,zusammen::ADV,bi hev re,икараш
710,zusammen::ADV,bi hev re,цымырын
711,lange::ADV,dirêj,кужын
712,plötzlich::ADV,ji nişkave,трӱк
713,sofort::ADV,yekser,полт
714,sofort::ADV,yekser,тöрöк
715,sofort::ADV,yekser,тӹшӓкок
716,später::ADV,paşiyê,вара
717,jetzt::ADV,nuha,
718,heute::ADV,îro,тагачы
719,morgen::ADV,sibeh,иргод
720,morgen::ADV,sibeh,иргодым
721,bald::ADV,nêzîk,чӹнь
722,bald::ADV,nêzîk,вӓшке
723,bald::ADV,nêzîk,выртышты
724,dann::ADV,paşê,пакыла
725,gestern::ADV,do,тенгечӹ
726,einst::ADV,jar ke,икӓнӓ
727,damals::ADV,hîngî,тӹнӓм
728,danach::ADV,piştra,пакыла
729,vorher::ADV,pîşî,перви
730,zuerst::ADV,bere,андак
731,einmal::ADV,çarik,гӓнӓк
732,einmal::ADV,çarik,гӓнӓ
733,manchmal::ADV,çarna,кынамжы
734,oft::ADV,gelek çaran,чӹчкӹдӹн
735,immer::ADV,daîm,со
736,immer::ADV,daîm,соок
737,niemals::ADV,tu çar,нинам
738,niemals::ADV,tu çar,нигынам
739,niemals::ADV,tu çar,нигынамат
740,hier::ADV,li vir,тиштӹ
741,hierhin::ADV,vir,тишкӹ
742,von hier::ADV,ji vir,тишец
743,von hier::ADV,ji vir,тишецӹн
744,dort::ADV,li wê derê,тӹштӹ
745,dorthin::ADV,wêda,тӹшкӹ
746,dorthin::ADV,wêda,тӹшкӹлӓ
747,geradeaus::ADV,rastê rast,вик
748,geradeaus::ADV,rastê rast,тура
749,vorwärts::ADV,ber bi pêş,анзыкы
750,rückwärts::ADV,paşpê,мӹнгеш
751,zurück::ADV,paşdo,мӹнгеш
752,zurück::ADV,paşvê,мӹнгеш
753,unten::ADV,jêrî,ӱлнӹ
