,Concept_ID,kl,et
149,Schwanz::N,paperuusaq,saba
150,Ei::N,mannik,muna
151,Nest::N,ullut,pesa
152,Bau::N,ini,urg
153,Tier::N,uumasoq,loom
154,Herde::N,unguukkat,kari
155,Kuh::N,ussik,lehm
156,Bulle::N,angukulak,pull
157,Bulle::N,anguteralak,pull
158,Bulle::N,angutikulooq,pull
159,Schaf::N,sava,lammas
160,Schwein::N,puuluki,siga
161,Hund::N,qimmeq,koer
162,Katze::N,puisaaq,kass
163,Bär::N,allaq,karu
164,Eichhörnchen::N,sissinnguaq,orav
165,Fuchs::N,terianniaq,rebane
166,Hase::N,ukaleq,jänes
167,Maus::N,teriannguaq,hiir
168,Wolf::N,amaroq,hunt
169,Vogel::N,timmiaq,lind
170,Huhn::N,kukkukooq,kana
171,Huhn::N,marloraaqaaq,kana
172,Hahn::N,kiasiusaq,kukk
173,Gans::N,nerleq,hani
174,Adler::N,nattoralik,kotkas
175,Eule::N,uppik,kakk
176,Eule::N,uppik,öökull
177,Kranich::N,qorlorfik,kurg
178,Krähe::N,tuluatsiaq,vares
179,Kuckuck::N,kukkooq,kägu
180,Schwan::N,qussuk,luik
181,Fisch::N,aalisagaq,kala
182,Schlange[Tier]::N,pulateriarsuk,uss
183,Schlange[Tier]::N,pulateriaarsuk,uss
184,Spinne::N,aasiaq,ämblik
185,Spinne::N,nissavaarsuk,ämblik
186,Ameise::N,uniaaluk,sipelgas
187,Laus::N,kumak,täi
188,Mücke::N,ippernaq,sääsk
189,Fliege::N,ippernaq,kärbes
190,Schmetterling::N,paluaq,liblikas
191,Schmetterling::N,pakkaluaq,liblikas
192,Schmetterling::N,utsuppaluaq,liblikas
193,Schmetterling::N,taqaleqisaaq,liblikas
194,Beere::N,paarmaq,mari
195,Beere::N,paarngaq,mari
196,Apfel::N,iipili,õun
197,Pilz::N,anngiusaq,seen
198,Zwiebel::N,uanitsoq,sibul
199,Saat::N,naatsiiassaq,seeme
200,Korn::N,maannineq,iva
201,Korn::N,maannineq,tera
202,Schale::N,niutsivik,koor
203,Schale::N,ilulissaq qaartussaq,koor
204,Grube::N,itersaq,kaevand
205,Falle::N,pualavoq,lõks
206,Falle::N,pualavoq,püünis
207,Schlinge::N,orseq,aas
208,Schlinge::N,norloq,aas
209,Spur::N,tumaa,jälg
210,Asche::N,arsat,tuhk
211,Dreck::N,minguk,saast
212,Dreck::N,minguk,mustus
213,Eisen::N,savimineq,raud
214,Eisen::N,saffiugassaq,raud
215,Gold::N,kuulti,kuld
216,Silber::N,siilviuvoq,hõbe
217,Kohle::N,aamarsuit aamaruutissat,süsi
218,Glas::N,igalaaq,klaas
219,Glas::N,imertarfik,klaas
220,Glas::N,igalaamineq,klaas
221,Lehm::N,marraq,savi
222,Sand::N,sioqqat,liiv
223,Mensch::N,inuk,inimene
224,Mensch::N,silamiu,inimene
225,Mann::N,angut,mees
226,Frau::N,arnaq,naine
227,Kind::N,meeraq,laps
228,Junge::N,nukappiaraq,poiss
229,Mädchen::N,arnannguaq,tüdruk
230,Familie::N,ilaqutakka,perekond
231,Familie::N,ilaqutariit,perekond
232,Großvater::N,aatak,vanaisa
233,Großmutter::N,aanaq,vanaema
234,Eltern::N,angajoqqaat,vanemad
235,Vater::N,ataata,isa
236,Vater::N,ataataq,isa
237,Mutter::N,anaana,ema
238,Sohn::N,erneq,poeg
239,Tochter::N,panik,tütar
240,Bruder::N,ani,vend
241,Bruder::N,aqqaluk,vend
242,Bruder::N,qatanngut,vend
243,Schwester::N,naja,õde
244,Schwester::N,aleqa,õde
245,Schwester::N,qatanngut,õde
246,Onkel::N,akkak,onu
247,Tante::N,aja,tädi
248,Tante::N,ajak,tädi
249,Tante::N,atsak,tädi
250,Ehemann::N,ui,mees
251,Ehemann::N,ui,abikaasa
252,Ehefrau::N,nuliaq,naine
253,Ehefrau::N,nuliaq,abikaasa
254,Freude::N,tipaatsussuseq,rõõm
255,Gelächter::N,illaq,naer
256,Glück::N,usornaat,õnn
257,Glück::N,usornarsuseq,õnn
258,Wunsch::N,kissaat,soov
259,Lust::N,illigussuseq,himu
260,Lust::N,piummaseq,himu
261,Geist::N,anerneq,vaim
262,Geist::N,toornaq,vaim
263,Gedanke::N,isumassaq,mõte
264,Gedächtnis::N,eqqaamannissuseq,mälu
265,Verstand::N,isuma,aru
266,Verstand::N,isuma,mõistus
267,Verstand::N,sianissut,aru
268,Verstand::N,sianissut,mõistus
269,Verstand::N,misigissut,aru
270,Verstand::N,misigissut,mõistus
271,Verstand::N,sianissuseq,aru
272,Verstand::N,sianissuseq,mõistus
273,Verstand::N,silaqassuseq,aru
274,Verstand::N,silaqassuseq,mõistus
275,Sinn::N,isuma,tähendus
276,Grund::N,patsit,põhjus
277,Wahrheit::N,sallusuissut,tõde
278,Märchen::N,oqalualaarut,muinasjutt
279,Märchen::N,oqaluasaaq,muinasjutt
280,Erzählung::N,oqaluttuaq,jutustus
281,Nachricht::N,oqaassut,teade
282,Nachricht::N,oqqersuut,teade
283,Neuigkeit::N,tusarnartaq,uudis
284,Name::N,ateq,nimi
285,Rätsel::N,nalorsitsaarut,mõistatus
286,Rede::N,oqaluuseq,kõne
287,Sprache::N,oqaatsit,keel
288,Stimme::N,erinaq,hääl
289,Stimme::N,qarluuseq,hääl
290,Wort::N,oqaasii,sõna
291,Zeichen::N,nalunaaqqut,märk
292,Ruf::N,qaaqqussut,hüüe
293,Lärm::N,perpaluk,müra
294,Laut::N,torsukattak,hääl
295,Ton::N,erinaq,toon
296,Lied::N,taalliaq,laul
297,Lied::N,erinarsuut,laul
298,Ruhe::N,qatsunganeq,rahu
299,Ruhe::N,qatsunganeq,vaikus
300,Leute::N,inuiak,inimesed
301,Leute::N,inuiaqatigiit,inimesed
302,Volk::N,inuiaat,rahvas
303,Arbeit::N,suliaq,töö
304,Gast::N,qaaqqusaq,külaline
305,Geschenk::N,pajugut,kingitus
306,Hilfe::N,annertoqqut,abi
307,Freund::N,tiliaq,sõber
308,Freund::N,ikinngut,sõber
309,Kamerad::N,tiliaq,sõber
310,Kamerad::N,ikinngut,sõber
311,Art::N,ileqquuseq,liik
312,Stück::N,nakkaalaniku,tükk
313,Teil::N,tassiaasat,osa
314,Hälfte::N,affaq,pool
315,Kreis::N,kaajaluinneq or kaajaluitsoq,ring
316,Kreuz::N,sanningasulik,rist
317,Linie::N,tittaq,joon
318,Linie::N,titarneq,joon
319,Abstand::N,aku,vahe
320,Abstand::N,ikiaq,vahe
321,Entfernung::N,asi,kaugus
322,Entfernung::N,asi,vahemaa
323,Gegend::N,nuna,ümbrus
324,Platz::N,ini,ruum
325,Platz::N,inissaq,ruum
326,Ort::N,sumiiffik,paik
327,Seite::N,saneraq,pool
328,Mitte::N,qiteq,keskpaik
329,Sache::N,pigisaq,ese
330,Rand::N,sini,äär
331,Rand::N,sini,serv
332,Rand::N,akerfineq,äär
333,Rand::N,akerfineq,serv
334,Kante::N,akerfineq,kant
335,Ecke::N,teqeqqoq,nurk
336,Ecke::N,tikeqqoq,nurk
337,Spitze::N,inngik,teravik
338,Ende::N,isu,ots
339,Ende::N,isu,jupp
340,Loch::N,putu,auk
341,Winkel::N,teqeqqorissaat,nurk
342,Muster::N,ilisserut,muster
343,Größe::N,angissuseq,suurus
344,Länge::N,takissuseq,pikkus
345,Gewicht::N,oqimaalutaq,kaal
346,Gewicht::N,oqimaalutaq,raskus
347,Menge::N,amerlassuseq,arv
348,Menge::N,amerlassuseq,hulk
349,Haufen::N,eqimattat,hunnik
350,Reihe::N,allunaasaq,rivi
351,Boot::N,qajaq,paat
352,Boot::N,angallat,paat
353,Boot::N,umiatsiaq,paat
354,Ruder::N,iput,aer
355,Schlitten::N,qamutit,saan
356,Schlitten::N,qimusseq,saan
357,Ski::N,ataarut,suusk
358,Last::N,nammagaq,koorem
359,Schritt::N,allorneq,samm
360,Norden::N,avannaq,põhi
361,Süden::N,qava,lõuna
362,Süden::N,kujat,lõuna
363,Süden::N,kujataa,lõuna
364,Westen::N,kitaa,lääs
365,Osten::N,kangi,ida
366,Holz::N,qisuk,puu
367,Brett::N,salliligaq,saelaud
368,Platte::N,qaateq,plaat
369,Stütze::N,ajagutaq,tugi
370,Stütze::N,ajaagutaq,tugi
371,Stange::N,kaaviffik,latt
372,Stange::N,kaaviffik,teivas
373,Stock::N,ajaappissat,kepp
374,Stab::N,ajaappissat,varras
375,Rohr::N,sullulik,toru
376,Haus::N,illu,maja
377,Ofen::N,kissarsuut,ahi
378,Fußboden::N,nateq,põrand
379,Tisch::N,allattarfik,laud
380,Stuhl::N,issiavik,tool
381,Stuhl::N,issiaffik,tool
382,Wiege::N,uaasoq,häll
383,Wiege::N,uaasoq,kätki
384,Bett::N,nallavik,voodi
385,Regal::N,ilisivik,riiul
386,Kiste::N,sakissat,kast
387,Kiste::N,illerfiusaq,kast
388,Fenster::N,aki,aken
389,Fenster::N,igalaaq,aken
390,Tür::N,matu,uks
391,Tor::N,isaaffik,värav
392,Zaun::N,saputit,aed
393,Zaun::N,saputit,tara
394,Dach::N,qaliaq,katus
395,Leiter::N,tummeqqat,redel
396,Leiter::N,majuartarfiit,redel
397,Besen::N,saligutit,luud
398,Spaten::N,nivaataq,labidas
399,Schaufel::N,nivaataq,kühvel
400,Gabel::N,qilluaq,kahvel
401,Gabel::N,ajassaatit,kahvel
402,Löffel::N,alussaat,lusikas
403,Messer::N,savik,nuga
404,Nagel::N,kukik,nael
405,Netz::N,anguffaseq,võrk
406,Haken::N,nissik,haak
407,Haken::N,nissik,konks
408,Haken::N,qarsorsaq,haak
409,Haken::N,qarsorsaq,konks
410,Haken::N,qarsorsartoq,haak
411,Haken::N,qarsorsartoq,konks
412,Griff::N,ipi,sang
413,Griff::N,ipi,käepide
414,Schloss::N,illussaarsuaq,lukk
415,Bild::N,assiliaq,pilt
416,Figur::N,kisitsit,kuju
417,Figur::N,kisitsit,kujund
418,Puppe::N,inuusaq,nukk
419,Bündel::N,qilertaq,kimp
420,Tasche::N,pooqattaq,kott
421,Deckel::N,matu,kaas
422,Geschirr::N,anut,nõud
423,Tasse::N,tiitorfik,tass
424,Tasse::N,tiitorfiup ilorlia,tass
425,Topf::N,qoqqoq,pada
426,Kessel::N,uunnaavik,pada
427,Essen::N,igaaq,söök
428,Nahrung::N,neqissaq,toit
429,Speise::N,nerisassat,roog
430,Fleisch::N,neqi,liha
431,Getreide::N,maannineq,teravili
432,Brot::N,iffit,sai
433,Brot::N,iffit,leib
434,Brot::N,iffiaq,sai
435,Brot::N,iffiaq,leib
436,Scheibe::N,igalaassiaq,viil
437,Scheibe::N,igalaassiaq,viilukas
438,Fett::N,tarnutissaq,rasv
439,Fett::N,tarnutissiaq,rasv
440,Butter::N,punneq,või
441,Öl::N,uulia,õli
442,Salz::N,taratsut,sool
443,Suppe::N,qajoq,supp
444,Honig::N,tungusunnitsuut,mesi
445,Milch::N,immuk,piim
446,Tee::N,tii,tee
447,Tee::N,teeq,tee
448,Wolle::N,nuersagassiaq,vill
449,Stoff::N,milliaq,kangas
450,Stoff::N,qarlissiaq,kangas
451,Nadel::N,meqqut,nõel
452,Faden::N,ujalussiaq,niit
453,Knopf::N,attat,nööp
454,Knoten::N,akeroq,sõlm
455,Knoten::N,qilerneq,sõlm
456,Farbe::N,qalipaat,värv
457,Kleidung::N,atisat,riided
458,Kleidung::N,atisat,riietus
459,Kleidung::N,annoraaq,riided
460,Kleidung::N,annoraaq,riietus
461,Hemd::N,ilupaaq,särk
462,Kragen::N,qungasiinnaq,krae
463,Ärmel::N,aaq,varrukas
464,Hose::N,qarliit,püksid
465,Gürtel::N,qiterut,vöö
466,Gürtel::N,unngersaq,vöö
467,Mütze::N,nasaq,müts
468,Schuh::N,skuu,king
469,Schuh::N,ikernuk,king
470,Schuh::N,ateraasaq,king
471,Stiefel::N,kamik,saabas
472,Ring::N,assammiu,sõrmus
473,Band::N,qilerutissiaq,lint
474,Kamm::N,illaagutit,kamm
475,Kamm::N,illaajaatit pl.,kamm
476,Spiegel::N,tarrarsuut,peegel
477,Riemen::N,allunaaq,rihm
478,Schnur::N,kujaaq,nöör
479,Schnur::N,allunaasaq,nöör
480,Leine::N,aleq,jalutusrihm
481,Decke::N,qipik,tekk
482,Kissen::N,akit,padi
483,Tuch::N,qarlissiaq,kalev
484,Handtuch::N,allarut,käterätik
485,Handtuch::N,allarterut,käterätik
486,Kraft::N,pissak,jõud
487,Stärke::N,qerattarsaat,tugevus
488,Gesundheit::N,peqqisusseq,tervis
489,Krankheit::N,nappaat,haigus
490,Schmerz::N,anniaat,valu
491,Wunde::N,iki,haav
492,Fieber::N,nappaat qanimanartoq,palavik
493,Arznei::N,imigassaq,ravim
494,Brücke::N,ikaartarfik,sild
495,Brunnen::N,tissaluttuliaq,kaev
496,Weide::N,masarsuk,karjamaa
497,Pfad::N,aqqut,rada
498,Weg::N,aggerfik,tee
499,Straße::N,aqqusineq,tee
500,Dorf::N,nunaqarfik,küla
501,Stadt::N,illorpaat,linn
502,Stadt::N,illorpalik,linn
503,Brief::N,allagarsiaq,kiri
504,Buch::N,atuakkat,raamat
505,Buch::N,mappersagaq,raamat
506,Buchstabe::N,naqinneq,täht
507,Zeitung::N,aviisi,ajaleht
508,Leben::N,inuussuseq,elu
509,Tod::N,toqu,surm
510,Tod::N,toquneq,surm
511,Grab::N,iliveq,haud
512,Grab::N,illissat,haud
513,Kirche::N,oqaluffik,kirik
514,Sünde::N,ajorti,patt
515,Arbeiter::N,sulisoq,tööline
516,Chef::N,ittoqut,ülemus
517,Chef::N,ittoqut,juhataja
518,Meister::N,naalagaq,meister
519,Arzt::N,katsorsaasoq,arst
520,Lehrer::N,ilinniartitsisoq,õpetaja
521,Geld::N,aningaasat,raha
522,Geschäft::N,niuertarfik,äri
523,Laden::N,niuertarfik,pood
524,Laden::N,niuertarfik,kauplus
525,Preis::N,aki,hind
526,Ware::N,qaliata pii,kaup
527,Ware::N,nioqqutissaq,kaup
528,Nutzen::N,iluaqut,tulu
529,Nutzen::N,iluaqut,kasulikkus
530,Welt::N,nunarsuaq,maailm
531,Land::N,nuna,maa
532,König::N,kunngi,kuningas
533,Macht::N,pissaassuseq,võim
534,Grenze::N,killik,piir
535,Krieg::N,sorsunneq,sõda
536,Feind::N,akeraq,vaenlane
537,Feind::N,akerartorti,vaenlane
538,Feind::N,qinngarsuisoq,vaenlane
539,Kampf::N,sorsunneq,võitlus
540,Pfeil::N,qalugiusaq,nool
541,Gewehr::N,aallaat,püss
542,Fehler::N,kukkuneq,viga
543,Fehler::N,paarlaappaa,viga
544,Unglück::N,perluut,häda
545,Unglück::N,perluut,õnnetus
546,Schuld::N,akiitsugaq,süü
547,Schuld::N,akiligassaq,süü
548,Alter::N,utoqqaq,iga
549,Schluss::N,isu,lõpp
550,Zeit::N,ulloq,aeg
551,Zeit::N,akuttoqatigiinneq,aeg
552,Tag::N,ulloq,päev
553,Morgen::N,ullaaq,hommik
554,Mittag::N,ulloqeqqa,lõuna
555,Mittag::N,ulloqeqqa,keskpäev
556,Abend::N,unnuk,õhtu
557,Nacht::N,unnuaq,öö
558,Woche::N,sapaatip akunnera,nädal
559,Monat::N,qaammat,kuu
560,Jahr::N,ukioq,aasta
561,Frühling::N,upernaaq,kevad
562,Sommer::N,aasaq,suvi
563,Herbst::N,ukiaq,sügis
564,Winter::N,ukioq,talv
565,Januar::N,siulleeq,jaanuar
566,Januar::N,qaammaliaq,jaanuar
567,Februar::N,aarlaat,veebruar
568,März::N,marsi,märts
569,März::N,martsi,märts
570,Mai::N,maaji,mai
571,Juni::N,juuni,juuni
572,Juli::N,juuli,juuli
573,August::N,aggusti,august
574,September::N,septembari,september
575,Oktober::N,oktobari,oktoober
576,November::N,novembari,november
577,Dezember::N,detsembari,detsember
578,Montag::N,ataasinngortoq,esmaspäev
579,Dienstag::N,marlunngorneq,teisipäev
580,Mittwoch::N,pingasunngorneq,kesknädal
581,Donnerstag::N,sisamanngorneq,neljapäev
582,Freitag::N,tallimanngorneq,reede
583,Samstag::N,arfininngorneq,laupäev
584,Sonntag::N,sapaat,pühapäev
585,Sonntag::N,sapaati,pühapäev
586,groß::A,angivoq,suur
587,klein::A,mikivoq,väike
588,klein::A,mikivoq,pisike
589,lang::A,takisooq,pikk
590,kurz::A,naatsoq,lühike
591,breit::A,silippoq,lai
592,schmal::A,amitsoq,kitsas
593,dicht::A,torsusooq,tihe
594,dick[Gegenstand]::A,issuvoq,jäme
595,dick[Gegenstand]::A,issusooq,jäme
596,dünn::A,amitsoq,õhuke
597,dünn::A,amitsoq,peenike
598,fein::A,mamarpoq,peen
599,fein::A,mamarpoq,õhuke
600,fest::A,tangeqarpoq,püsiv
601,fest::A,tangeqarpoq,kindel
602,flach::A,nalimmappoq,lame
603,flach::A,nalimmappoq,tasane
604,glatt::A,quasak,sile
605,hart::A,mattusooq,kõva
606,hart::A,manngerpoq,kõva
607,hart::A,titeqquluppoq,kõva
608,weich::A,nerumaarpoq,pehme
609,rund::A,ammallorippoq,ümar
610,spitz::A,qummukujooq,torkav
611,scharf::A,ipippoq,terav
612,stumpf::A,anngerpoq,nüri
613,schwer::A,oqimaappoq,raske
614,schön::A,kusanarpoq,kena
615,heiß::A,kiappoq,kuum
616,heiß::A,kiappoq,palav
617,warm::A,oqorpoq,soe
618,kalt::A,issippoq,külm
619,kühl::A,pueqqortippoq,jahe
620,feucht::A,isugutavoq,niiske
621,feucht::A,qaasernarpoq,niiske
622,nass::A,imerorpoq,märg
623,trocken::A,panerpoq,kuiv
624,voll::A,ulikkaarpoq,täis
625,leer::A,imaattuarpoq,tühi
626,offen::A,ammavoq,avatud
627,offen::A,ammavoq,lahtine
628,geschlossen::A,matuvoq,suletud
629,sauber::A,eqqippoq,puhas
630,sauber::A,sukuluippoq,puhas
631,sauber::A,ipeqanngilaq,puhas
632,schmutzig::A,tapappoq,räpane
633,schmutzig::A,tapappoq,määrdunud
634,schmutzig::A,minguppoq,räpane
635,schmutzig::A,minguppoq,määrdunud
636,roh::A,aapavoq,toores
637,reif::A,qaarulerpoq,küps
638,süß::A,tungusunnippoq,magus
639,bitter::A,qasilippoq,mõru
640,hell::A,qaamavoq,hele
641,dunkel::A,qernerpoq,pime
642,schwarz::A,qernerpoq,must
643,weiß::A,qaqorpoq,valge
644,rot::A,aappaluppoq,punane
645,gelb::A,sungaarpoq,kollane
646,blau::A,tungujorpoq,sinine
647,grün::A,qorsooqqippoq,roheline
648,grau::A,qaserpoq,hall
649,billig::A,akikippoq,odav
650,wertvoll::A,erlinnarpoq,väärtuslik
651,blind::A,tappiippoq,pime
652,blind::A,isigisaqanngilaq,pime
653,taub::A,tusilarpoq,kurt
654,kräftig::A,pissaq,jõuline
655,kräftig::A,pissarsuaq,jõuline
656,stark::A,sanngivoq,tugev
657,schwach::A,nakuippoq,nõrk
658,schwach::A,nakuippoq,jõuetu
659,fett::A,pualavoq,rasvane
660,schlank::A,tuappoq,sale
661,hübsch::A,aatsialaq,kena
662,böse::A,ajorpoq,tige
663,dumm::A,taqajak,juhm
664,dumm::A,taqajak,rumal
665,dumm::A,sikkilluppoq,juhm
666,dumm::A,sikkilluppoq,rumal
667,dumm::A,qaatusimasaqanngilaq,juhm
668,dumm::A,qaatusimasaqanngilaq,rumal
669,faul::A,eqiasuppoq,laisk
670,faul::A,eqiattortuvoq,laisk
671,fleißig::A,eqiasuippoq,virk
672,fleißig::A,eqiasuippoq,hoolas
673,geizig::A,iasilaarpoq,ihne
674,geizig::A,tukkuippoq,ihne
675,klug::A,mallak,tark
676,klug::A,mallak,arukas
677,klug::A,mallak,mõistlik
678,klug::A,ittanneq,tark
679,klug::A,ittanneq,arukas
680,klug::A,ittanneq,mõistlik
681,klug::A,kutaappoq,tark
682,klug::A,kutaappoq,arukas
683,klug::A,kutaappoq,mõistlik
684,klug::A,kuttaappoq,tark
685,klug::A,kuttaappoq,arukas
686,klug::A,kuttaappoq,mõistlik
687,klug::A,qarasagippoq,tark
688,klug::A,qarasagippoq,arukas
689,klug::A,qarasagippoq,mõistlik
690,lieb::A,akisooq,armas
691,lustig::A,piikulavoq,lõbus
692,sanft::A,isumagippoq,õrn
693,hungrig::A,kaappoq,näljane
694,hungrig::A,perlilerpoq,näljane
695,krank::A,napparsimavoq,haige
696,traurig::A,aliasuppoq,kurb
697,lebendig::A,uumavoq,elus
698,gut::A,ajunngilaq,hea
699,schlecht::A,sualuppoq,halb
700,richtig::A,iluarpoq,õige
701,schlimm::A,amiilaarnarpoq,paha
702,wahr::A,ilumoorpoq,tõene
703,alt::A,pisoqaq,vana
704,neu::A,nutaavoq,uus
705,alt[Lebewesen]::A,utoqqaq,vana
706,jung::A,inuusuppoq,noor
707,jung::A,kingulliarsuk,noor
708,arm::A,piillasoq,vaene
709,arm::A,piitsuuvoq,vaene
710,reich::A,pisuuvoq,rikas
711,berühmt::A,tusaamasaq,tuntud
712,fremd::A,ajasoornarpoq,võõras
713,verschieden::A,allatut,erinev
714,verschieden::A,tamalaat,erinev
715,nah::A,qanippoq,lähedane
716,fern::A,ungasippoq,kauge
717,linker::A,saamerleq,vasak
718,rechter::A,innarluissut,parem
719,erster::A,siulleq,esimene
720,zweiter::A,qataatsup tullia,teine
721,dritter::A,pingajorarterut,kolmas
722,letzter::A,kingulleq,viimane
723,allein::ADV,kisimiippoq,üksi
724,auf einmal::ADV,tassanngaannaq,korraga
725,auf einmal::ADV,tassanngaannaq,ühekorraga
726,zusammen::ADV,attaasa,koos
727,zusammen::ADV,attaasa,üheskoos
728,zusammen::ADV,attarmik,koos
729,zusammen::ADV,attarmik,üheskoos
730,lange::ADV,akuni,kaua
731,plötzlich::ADV,tassanngaannaq,äkki
732,plötzlich::ADV,tassanngaannaq,järsku
733,sofort::ADV,erniinnaq,kohe
734,später::ADV,kingorna,hiljem
735,jetzt::ADV,maanna,nüüd
736,jetzt::ADV,massakkut,nüüd
737,heute::ADV,ullumi,täna
738,morgen::ADV,aqagu,homme
739,bald::ADV,erniinnaq,pea
740,bald::ADV,erniinnaq,varsti
741,dann::ADV,taava,siis
742,gestern::ADV,ippassaq,eile
743,einst::ADV,ataatsimik,vanasti
744,einst::ADV,ilaanni,vanasti
745,damals::ADV,taamani,tookord
746,damals::ADV,taamanikkut,tookord
747,damals::ADV,taassumuunakkut,tookord
748,danach::ADV,taava,seejärel
749,vorher::ADV,siornagut,enne
750,einmal::ADV,ilaanni,kord
