,Concept_ID,nl,ta
83,Eis::N,ijs,பனிக்கட்டி
84,Frost::N,vorst,உறைபனி
85,Kälte::N,kou,குளிர்ந்த
86,Kälte::N,koude,குளிர்ந்த
87,Hitze::N,hitte,சூடு
88,Raureif::N,rijp,உறைபனி வெண்திரை
89,Regenbogen::N,regenboog,வானவில்
90,Donner::N,donder,இடி
91,Strömung::N,stroming,நீரோட்டம்
92,Tropfen::N,druppel,துளி
93,Schaum::N,schuim,நுரை
94,Schmutz::N,vuil,அழுக்கு
95,See::N,meer,ஏரி
96,Sumpf::N,moeras,சதுப்பு நிலம்
97,Moor::N,veen,முட்புதற்காடு
98,Wiese::N,wei,பசும் புல்தரை
99,Wiese::N,weide,பசும் புல்தரை
100,Wald::N,bos,காடு
101,Hügel::N,heuvel,குன்று
102,Anhöhe::N,hoogte,பதுக்கை
103,Berg::N,berg,மலை
104,Gipfel::N,top,உச்சி மாநாடு
105,Höhle::N,hol,குகை
106,Abhang::N,helling,சரிவு
107,Quelle::N,bron,மூலம்
108,Bach::N,beek,ஓடை
109,Fluss::N,stroom,ஆறு
110,Ufer::N,wal,நீர்க்கரை
111,Ufer::N,oever,நீர்க்கரை
112,Küste::N,kust,கடற்கரை
113,Festland::N,vasteland,நிலம்
114,Meer::N,zee,கடல்
115,Bucht::N,baai,சிறுகுடா
116,Bucht::N,inham,சிறுகுடா
117,Insel::N,eiland,தீவு
118,Blume::N,bloem,பூ
119,Gras::N,gras,புல்தரை
120,Wurzel::N,wortel,வேர்
121,Baum::N,boom,மரம்
122,Stamm::N,stam,அடிமரம்
123,Rinde::N,schors,பட்டை
124,Rinde::N,schors,மரப்பட்டை
125,Ast::N,tak,கினை
126,Zweig::N,twijg,குச்சி
127,Blatt::N,blad,இலை
128,Birke::N,berk,பிர்ச் மரம்
129,Kiefer[Baum]::N,den,தேவதாரு மரம்
130,Weide[Baum]::N,wilg,மர வகைகளுள் ஒன்று
131,Tanne::N,spar,சாதிக்கய்
132,Horn::N,hoorn,கொம்பு
133,Feder::N,veer,இறகு
134,Feder::N,pluim,இறகு
135,Fell::N,vel,மென்முடி
136,Flügel::N,vleugel,இறக்கை
137,Klaue::N,klauw,நகம்
138,Kralle::N,klauw,நகம்
139,Schwanz::N,staart,வால்
140,Ei::N,ei,முட்டை
141,Nest::N,nest,கூடு
142,Bau::N,hol,குகை
143,Tier::N,dier,விலங்கு
144,Herde::N,kudde,கூட்டம்
145,Kuh::N,koe,பசு
146,Bulle::N,stier,காளை
147,Pferd::N,paard,குதிரை
148,Schaf::N,schaap,செம்மறிஆடு
149,Schwein::N,varken,பன்றி
150,Hund::N,hond,நாய்
151,Katze::N,kat,பூனை
152,Bär::N,beer,கரடி
153,Eichhörnchen::N,eekhoorntje,அணில்
154,Elch::N,eland,கடம்பை
155,Fuchs::N,vos,நரி
156,Hase::N,haas,முயல்
157,Maus::N,muis,எலி
158,Wolf::N,wolf,ஓநாய்
159,Vogel::N,vogel,பறவை
160,Schwarm::N,zwerm,தொகுதி
161,Huhn::N,kip,கோழிக்குஞசு
162,Huhn::N,hoen,கோழிக்குஞசு
163,Hahn::N,haan,சேவல்
164,Gans::N,gans,பெண் வாத்து
165,Adler::N,arend,பருநது
166,Ente::N,eend,வாத்து
167,Eule::N,uil,ஆந்தை
168,Kranich::N,kraanvogel,நாரை
169,Krähe::N,kraai,காகம்
170,Kuckuck::N,koekoek,குயில்
171,Schwan::N,zwaan,அன்னம்
172,Fisch::N,vis,மீன்
173,Barsch::N,baars,பேர்ச்
174,Hecht::N,snoek,கோலாச்சி மீன்
175,Schlange[Tier]::N,slang,பாம்பு
176,Wurm::N,worm,புழு
177,Spinne::N,spin,சிலந்தி
178,Ameise::N,mier,எறும்பு
179,Laus::N,luis,பேன்
180,Mücke::N,mug,கொசுவினப்பூச்சி
181,Fliege::N,vlieg,ஈ
182,Schmetterling::N,vlinder,வண்ணத்துப்பூச்சி
183,Beere::N,bes,சதைப்பழம்
184,Apfel::N,appel,ஆப்பிள பழம்
185,Pilz::N,paddestoel,காளான்
186,Zwiebel::N,ui,வெங்காயம்
187,Saat::N,zaad,விதை
188,Korn::N,graan,தானியம்
189,Korn::N,korrel,தானியம்
190,Heu::N,hooi,வைக்கோல்
191,Schale::N,schil,தோல்
192,Grube::N,kuil,குழி
193,Falle::N,val,பொறி
194,Schlinge::N,strop,கண்ணி
195,Spur::N,spoor,சுவடு
196,Asche::N,as,சாம்பல்
197,Dreck::N,drek,அழுக்கு
198,Eisen::N,ijzer,இரும்பு
199,Gold::N,goud,தங்கம்
200,Silber::N,zilver,வெள்ளி
201,Kohle::N,kool,நிலக்கரி
202,Glas::N,glas,கண்ணாடி
203,Lehm::N,klei,களிமண்
204,Sand::N,zand,மணல்
205,Mensch::N,mens,மனிதர்கள்
206,Mann::N,man,மனிதன்
207,Frau::N,vrouw,பெண்
208,Kind::N,kind,குழந்தை
209,Junge::N,jongen,பையன்
210,Mädchen::N,meisje,சிறுமி
211,Familie::N,gezin,குடும்பம்
212,Familie::N,familie,குடும்பம்
213,Großvater::N,grootvader,தாத்தா
214,Großmutter::N,grootmoeder,பாட்டி
215,Eltern::N,ouders,பெற்றோர்
216,Vater::N,vader,தந்தை
217,Mutter::N,moeder,தாய்
218,Sohn::N,zoon,மகன்
219,Tochter::N,dochter,மகள்
220,Bruder::N,broer,சகோதரன்
221,Bruder::N,broeder,சகோதரன்
222,Schwester::N,zus,அக்கா
223,Schwester::N,zuster,அக்கா
224,Onkel::N,oom,தாய் மாமன்
225,Tante::N,tante,அத்தை
226,Ehemann::N,echtgenoot,கணவன்
227,Ehefrau::N,echtgenote,மனைவி
228,Freude::N,vreugde,கொண்டாட்டம்
229,Gelächter::N,gelach,சிரிப்பு
230,Glück::N,geluk,மகிழ்ச்சி
231,Kummer::N,verdriet,துயரம்
232,Wunsch::N,wens,விருப்பம்
233,Wunsch::N,verlangen,விருப்பம்
234,Lust::N,zin,விருப்பம்
235,Lust::N,lust,விருப்பம்
236,Geist::N,geest,ஆன்மா
237,Gedanke::N,gedachte,எண்ணம்
238,Gedächtnis::N,geheugen,ஞாபகம்
239,Verstand::N,verstand,மனம்
240,Sinn::N,betekenis,அர்த்தம்
241,Grund::N,reden,காரணம்
242,Wahrheit::N,waarheid,உண்நை
243,Gespräch::N,gesprek,பெசு
244,Märchen::N,sprookje,நம்பத்தகாத கதை
245,Erzählung::N,verhaal,கதை
246,Nachricht::N,tijding,செய்தி
247,Neuigkeit::N,nieuws,செய்தி
248,Neuigkeit::N,nieuwtje,செய்தி
249,Name::N,naam,பெயர்
250,Rätsel::N,raadsel,புதிர்
251,Rede::N,rede,பேச்சு
252,Sprache::N,taal,மொழி
253,Stimme::N,stem,குரல்
254,Wort::N,woord,வார்த்தை
255,Zeichen::N,teken,குறி
256,Ruf::N,roep,அழைப்பு
257,Lärm::N,lawaai,சத்தம்
258,Laut::N,klank,ஒலி
259,Laut::N,geluid,ஒலி
260,Ton::N,toon,குரல்
261,Ton::N,klank,குரல்
262,Lied::N,lied,பாட்டு
263,Ruhe::N,rust,அமைதி
264,Ruhe::N,stilte,அமைதி
265,Leute::N,lui,மக்கள்
266,Leute::N,mensen,மக்கள்
267,Volk::N,volk,மக்கள்
268,Arbeit::N,werk,வேலை
269,Arbeit::N,arbeid,வேலை
270,Gast::N,gast,விருந்தாளி
271,Geschenk::N,cadeau,பரிசுப் பொருள்
272,Geschenk::N,geschenk,பரிசுப் பொருள்
273,Spiel::N,spel,விளையாட்டு
274,Gesellschaft::N,gezelschap,சமுதாயம்
275,Hilfe::N,hulp,உதவி
276,Freund::N,vriend,நண்பன்
277,Kamerad::N,maat,உடனிருப்பவன்
278,Kamerad::N,metgezel,உடனிருப்பவன்
279,Angelegenheit::N,zaak,செய்தி
280,Angelegenheit::N,aangelegenheid,செய்தி
281,Anzahl::N,tal,எண்ணிக்கை
282,Anzahl::N,aantal,எண்ணிக்கை
283,Art::N,slag,வகை
284,Art::N,soort,வகை
285,Stück::N,stuk,துண்டம்
286,Teil::N,deel,பகுதி
287,Hälfte::N,helft,பாதி
288,Kreis::N,kring,வட்டம்
289,Kreis::N,cirkel,வட்டம்
290,Kreuz::N,kruis,சிலுவை
291,Linie::N,lijn,கோடு
292,Strich::N,haal,வாத நோய்
293,Strich::N,streep,வாத நோய்
294,Abstand::N,afstand,இடைவெளி
295,Entfernung::N,afstand,தூரம்
296,Gegend::N,streek,வட்டாரம்
297,Platz::N,ruimte,வெற்றிடம்
298,Ort::N,oord,இடம்
299,Ort::N,plaats,இடம்
300,Seite::N,zij,பக்கம்
301,Seite::N,kant,பக்கம்
302,Seite::N,zijde,பக்கம்
303,Mitte::N,midden,இடைப்பகுதி
304,Gegenstand::N,voorwerp,உருப்படி
305,Sache::N,zaak,பொருள்
306,Rand::N,rand,தொங்கு
307,Rand::N,boord,தொங்கு
308,Kante::N,kant,விளிம்பு
309,Ecke::N,hoek,மூலை
310,Spitze::N,punt,முனை
311,Spitze::N,spits,முனை
312,Ende::N,einde,முடிவு
313,Ende::N,uiteinde,முடிவு
314,Loch::N,gat,துளை
315,Winkel::N,hoek,கோணம்
316,Muster::N,dessin,பாங்கு
317,Muster::N,patroon,பாங்கு
318,Größe::N,grootte,அளவு
319,Länge::N,lengte,நீளம்
320,Höhe::N,hoogte,உயரம்
321,Gewicht::N,gewicht,எடை
322,Menge::N,hoeveelheid,தொகை
323,Haufen::N,hoop,குவியல்
324,Reihe::N,rij,வரிசை
325,Reihe::N,reeks,வரிசை
326,Boot::N,boot,படகு
327,Ruder::N,roeiriem,துடுப்பு
328,Schlitten::N,slee,சகடையிலா வண்டி
329,Schlitten::N,slede,சகடையிலா வண்டி
330,Ski::N,ski,பனிச் சறுக்கல்
331,Lagerfeuer::N,kampvuur,மூட்டம்
332,Last::N,last,பாரம்
333,Last::N,vracht,பாரம்
334,Gang::N,wandeling,நடை
335,Schritt::N,stap,காலடி
336,Schritt::N,schrede,காலடி
337,Norden::N,noorden,வடக்கு
338,Süden::N,zuiden,தெற்கு
339,Westen::N,westen,மேற்கு திசை
340,Osten::N,oosten,கிழக்கு
341,Holz::N,hout,மரக்கட்டை
342,Brett::N,plank,பலகை
343,Platte::N,plaat,பலகம்
344,Stütze::N,stut,அடைப்புகன்
345,Stütze::N,steun,அடைப்புகன்
346,Stange::N,stang,கம்பம்
347,Stock::N,stok,குச்சி
348,Stab::N,staf,கம்பு
349,Rohr::N,pijp,குழாய்
350,Haus::N,huis,வீடு
351,Heim::N,tehuis,வீடு
352,Ofen::N,kachel,அடுப்பு
353,Fußboden::N,vloer,தரை
354,Tisch::N,tafel,மேசை
355,Stuhl::N,stoel,நாற்காலி
356,Wiege::N,wieg,தொட்டில்
357,Bett::N,bed,படுக்கை
358,Regal::N,rek,அலமாரி
359,Kiste::N,kist,பெட்டி
360,Fenster::N,raam,சாளரம்
361,Fenster::N,venster,சாளரம்
362,Tür::N,deur,கதவு
363,Tor::N,poort,வாசற்கதவு
364,Zaun::N,omheining,வேலி
365,Dach::N,dak,கூரை
366,Leiter::N,ladder,ஏணி
367,Besen::N,bezem,விளக்குமாறு
368,Spaten::N,schop,மண்வெட்டி
369,Schaufel::N,schep,அடிதண்டா
370,Gabel::N,vork,முட்கரண்டி
371,Löffel::N,lepel,கரண்டி
372,Messer::N,mes,கத்தி
373,Nagel::N,spijker,ஆணி
374,Netz::N,net,வலை
375,Haken::N,haak,கொக்கி
376,Griff::N,handvat,கைப்பிடி
377,Schloss::N,slot,பூட்டு
378,Bild::N,beeld,படம்
379,Figur::N,figuur,எண்ணிக்கை
380,Puppe::N,pop,பொம்மை
381,Beutel::N,zak,பை
382,Beutel::N,buidel,பை
383,Bündel::N,pak,பொதி
384,Bündel::N,bundel,பொதி
385,Tasche::N,tas,பை
386,Eimer::N,emmer,வாளி
387,Deckel::N,deksel,உறை
388,Geschirr::N,vaatwerk,பாத்திரம்
389,Sack::N,zak,பை
390,Tasse::N,kop,கிண்ணம்
391,Topf::N,pan,பானை
392,Kessel::N,ketel,கெண்டி
393,Essen::N,eten,உணவருந்துதல்
394,Nahrung::N,voedsel,உணவு
395,Speise::N,spijs,உணவு வகை
396,Fleisch::N,vlees,இறைச்சி
397,Getreide::N,graan,மக்காச்சோளம்
398,Brei::N,pap,கஞ்சி
399,Brei::N,brij,கஞ்சி
400,Brot::N,brood,ரொட்டி
401,Scheibe::N,plak,துண்டு
402,Scheibe::N,snede,துண்டு
403,Fett::N,vet,கொழுப்பு
404,Butter::N,boter,வெண்ணெய்
405,Öl::N,olie,எண்ணெய்
406,Salz::N,zout,உப்பு
407,Suppe::N,soep,ரசம்
408,Honig::N,honing,தேன்
409,Milch::N,melk,பால்
410,Tee::N,thee,தெனீர்
411,Leder::N,leer,பதம் செய்யப்பட்ட தோல்
412,Leder::N,leder,பதம் செய்யப்பட்ட தோல்
413,Wolle::N,wol,கம்பளி
414,Stoff::N,stof,துணி
415,Nadel::N,naald,ஊசி
416,Faden::N,draad,நூல்
417,Knopf::N,knoop,பொத்தான்
418,Knoten::N,knoop,முடிச்சு
419,Farbe::N,verf,வண்ணக் குழம்பு
420,Kleidung::N,kledij,ஆடைகள்
421,Kleidung::N,kleding,ஆடைகள்
422,Hemd::N,hemd,சட்டை
423,Kragen::N,kraag,கழுத்துப் பட்டை
424,Ärmel::N,mouw,சட்டைக்கை
425,Hose::N,broek,கால்சட்டை
426,Hose::N,pantalon,கால்சட்டை
427,Gürtel::N,riem,பெல்ட்
428,Gürtel::N,gordel,பெல்ட்
429,Mütze::N,muts,தொப்பி
430,Schuh::N,schoen,காலணி
431,Stiefel::N,laars,காலணி
432,Ring::N,ring,மோதிரம்
433,Band::N,lint,நாடா
434,Kamm::N,kam,கீப்பு
435,Spiegel::N,spiegel,ஆடி
436,Spiegel::N,spiegel,கண்ணாடி
437,Riemen::N,riem,வார்
438,Schnur::N,koord,கயிறு
439,Leine::N,lijn,தோல்வார்
440,Decke::N,deken,போர்வை
441,Kissen::N,kussen,தலையணை
442,Tuch::N,doek,துணி
443,Handtuch::N,handdoek,தண்டு
444,Kraft::N,kracht,நிர்பந்தம்
445,Stärke::N,sterkte,பலம்
446,Gesundheit::N,gezondheid,ஆரோக்கியம்
447,Krankheit::N,ziekte,நோய்
448,Schmerz::N,pijn,வலி
449,Wunde::N,wond,காயம்
450,Fieber::N,koorts,காய்ச்சல்
451,Arznei::N,medicament,மருந்து
452,Arznei::N,geneesmiddel,மருந்து
453,Brücke::N,brug,பாலம்
454,Brunnen::N,put,கேணி
455,Brunnen::N,bron,கேணி
456,Weide::N,wei,மேய்ச்சல் நிலம்
457,Weide::N,weide,மேய்ச்சல் நிலம்
458,Pfad::N,pad,நடை வழி
459,Weg::N,weg,வழி
460,Straße::N,baan,சாலை
461,Straße::N,straat,சாலை
462,Dorf::N,dorp,கிராமம்
463,Stadt::N,stad,நகரம்
464,Brief::N,brief,கடிதம்
465,Buch::N,boek,புத்தகம்
466,Buchstabe::N,letter,எழத்து
467,Zeitung::N,krant,செய்தித்தாள்
468,Zeitung::N,dagblad,செய்தித்தாள்
469,Leben::N,leven,வாழ்க்கை
470,Tod::N,dood,மரணம்
471,Grab::N,graf,சமாதி
472,Kirche::N,kerk,தேவாலயம்
473,Sünde::N,zonde,பாவம்
474,Gott::N,god,கடவுள்
475,Arbeiter::N,arbeider,தொழிலாளி
476,Chef::N,chef,மேலாளர்
477,Meister::N,meester,தலைவன்
478,Arzt::N,arts,மருத்துவர்
479,Arzt::N,dokter,மருத்துவர்
480,Lehrer::N,leraar,ஆசிரியர்
481,Lehrer::N,onderwijzer,ஆசிரியர்
482,Geld::N,geld,பணம்
483,Geschäft::N,zaak,வாணிபம்
484,Laden::N,winkel,கடை
485,Preis::N,prijs,விலை
486,Ware::N,waar,சாமன்கள்
487,Nutzen::N,nut,இலாபம்
488,Nutzen::N,voordeel,இலாபம்
489,Reichtum::N,rijkdom,சொத்து
490,Welt::N,wereld,உலகம்
491,Land::N,land,நாடு
492,Staat::N,staat,நாடு
493,König::N,koning,அரசன்
494,Macht::N,macht,அதிகாரம்
495,Grenze::N,grens,எல்லை
496,Krieg::N,oorlog,போர்
497,Feind::N,vijand,எதிரி
498,Gewalt::N,geweld,வன்முறை
499,Kampf::N,strijd,போராட்டம்
500,Kampf::N,gevecht,போராட்டம்
501,Bogen[Waffe]::N,boog,வில்
502,Pfeil::N,pijl,அம்பு
503,Gewehr::N,geweer,துப்பாக்கி
504,Fehler::N,fout,தவறு
505,Lüge::N,leugen,பொய்
506,Schaden::N,schade,சேதாரம்
507,Unglück::N,tegenspoed,இடையூறு
508,Schuld::N,schuld,குற்றம்
509,Alter::N,leeftijd,வயது
510,Schluss::N,slot,முடிவு
511,Zeit::N,tijd,காலம்
512,Tag::N,dag,நாள்
513,Morgen::N,morgen,காலை நேரம்
514,Morgen::N,ochtend,காலை நேரம்
515,Mittag::N,middag,மதியம்
516,Abend::N,avond,மாலைப் பொழுது
517,Nacht::N,nacht,இரவு
518,Woche::N,week,வாரம்
519,Monat::N,maand,மாதம்
520,Jahr::N,jaar,வருடம்
521,Frühling::N,lente,வசந்தம்
522,Frühling::N,voorjaar,வசந்தம்
523,Sommer::N,zomer,கோடை
524,Herbst::N,herfst,இலையுதிர் காலம்
525,Winter::N,winter,குளிர்காலம்
526,Januar::N,januari,ஜனவரி
527,Februar::N,februari,பிபரவரி மாதம்
528,März::N,maart,மார்ச் மாதம்
529,April::N,april,ஏப்ரல் மாதம்
530,Mai::N,mei,மே மாதம்
531,Juni::N,juni,ஜூன் மாதம்
532,Juli::N,juli,ஜூலை மாதம்
533,August::N,augustus,ஆகஸ்ட் மாதம்
534,September::N,september,செப்டம்பர் மாதம்
535,Oktober::N,oktober,அக்டோபர் மாதம்
536,November::N,november,நவம்பர் மாதம்
537,Dezember::N,december,டிசம்பர்
538,Montag::N,maandag,திங்கட் கிழமை
539,Dienstag::N,dinsdag,செவ்வாய்க்கிழமை
540,Mittwoch::N,woensdag,புதன் கிழமை
541,Donnerstag::N,donderdag,வியாழக் கிழமை
542,Freitag::N,vrijdag,வெள்ளிக்கிழமை
543,Samstag::N,zaterdag,சனிக்கிழமை
544,Sonntag::N,zondag,ஞாயிறுக் கிழமை
545,groß::A,groot,பெரிய
546,klein::A,klein,சிறிய
547,lang::A,lang,நீண்ட
548,kurz::A,kort,குட்டையான
549,breit::A,breed,அகலமான
550,schmal::A,smal,குறுகலான
551,dicht::A,dicht,அடர்த்தியான
552,dick[Gegenstand]::A,dik,தடித்த
553,dünn::A,dun,சன்னமான
554,fein::A,fijn,மெல்லிய
555,fest::A,vast,உறுதியாள
556,flach::A,plat,தட்டையான
557,glatt::A,glad,வழுவழுப்பான
558,hart::A,hard,கடினமான
559,weich::A,week,மென்மையான
560,rund::A,rond,உருண்டையான
561,spitz::A,spits,திகந்தமாக
562,spitz::A,puntig,திகந்தமாக
563,scharf::A,scherp,கூரான
564,stumpf::A,stomp,உளம் திறந்த
565,schwer::A,zwaar,கனமான
566,schön::A,mooi,அழகான
567,schön::A,fraai,அழகான
568,heiß::A,heet,சூடான
569,warm::A,warm,இதமான
570,kalt::A,koud,குளிர்ச்சியான
571,kühl::A,koel,குளிர்ச்சியான
572,frisch::A,fris,சுத்தமான
573,feucht::A,vochtig,ஈரமான
574,nass::A,nat,ஈரமான
575,trocken::A,droog,உலர்ந்த
576,voll::A,vol,நிரம்பிய
577,leer::A,leeg,காலியான
578,offen::A,open,திறந்த
579,geschlossen::A,gesloten,மூடப்பட்ட
580,sauber::A,net,சுத்தமான
581,sauber::A,schoon,சுத்தமான
582,schmutzig::A,vuil,அழக்கான
583,roh::A,rauw,கச்சா
584,reif::A,rijp,பழுத்த
585,lecker::A,lekker,சுவைமிக்க
586,süß::A,zoet,இனிப்பான
587,bitter::A,bitter,கசப்பான
588,sauer::A,zuur,புளிப்பாக
589,hell::A,licht,பளபளப்பான
590,hell::A,helder,பளபளப்பான
591,dunkel::A,donker,கருமையான
592,schwarz::A,zwart,கருப்பு வண்ண
593,weiß::A,wit,வெண்மையன
594,rot::A,rood,சிவப்பு
595,gelb::A,geel,மஞ்சள் வண்ணம்
596,blau::A,blauw,நீல வண்ண
597,grün::A,groen,பச்சை வண்ண
598,grau::A,grijs,சாம்பல் நிற
599,bunt::A,bont,வண்ண மயமான
600,billig::A,goedkoop,மலிவான
601,teuer::A,duur,விலை அதிகமான
602,wertvoll::A,kostbaar,மதிப்புள்ள
603,wertvoll::A,waardevol,மதிப்புள்ள
604,blind::A,blind,பார்வையற்ற
605,taub::A,doof,செவிடான
606,kräftig::A,krachtig,வலிமையான
607,stark::A,sterk,பலமான
608,schwach::A,zwak,பலவீனமான
609,fett::A,vet,பருமனாக
610,schlank::A,slank,ஒல்லியான
611,hübsch::A,leuk,அழகிய
612,böse::A,kwaad,கேடு விளைவிக்கும்
613,dumm::A,dom,முட்டாள்தனமான
614,faul::A,lui,சோம்பலான
615,fleißig::A,vlijtig,ஊக்கந்தளராத
616,geizig::A,gierig,கஞேசத்தனமான
617,klug::A,slim,சாதுரியமான
618,klug::A,schrander,சாதுரியமான
619,klug::A,verstandig,சாதுரியமான
620,geschickt::A,handig,திறமையள்ள
621,geschickt::A,vaardig,திறமையள்ள
622,lieb::A,lief,அன்புக்குரிய
623,lustig::A,vrolijk,களிப்புமிக்க
624,sanft::A,zacht,சாதுவான
625,hungrig::A,hongerig,பசியுடன்
626,krank::A,ziek,நோயுற்று
627,nackt::A,naakt,ஆடையற்ற
628,traurig::A,treurig,சோகமான
629,traurig::A,bedroefd,சோகமான
630,lebendig::A,levend,பிழைப்பு
631,gut::A,goed,நல்ல
632,schlecht::A,slecht,கெட்ட
633,richtig::A,juist,சரியான
634,schlimm::A,erg,அருவருப்பான
635,schlimm::A,kwaad,அருவருப்பான
636,wahr::A,waar,உண்மையான
637,alt::A,oud,பழைய
638,neu::A,nieuw,புதிய
639,ehemalig::A,voormalig,முன்நாள்
640,alt[Lebewesen]::A,oud,வயதான
641,jung::A,jong,இளமையான
642,arm::A,arm,ஏழ்மையான
643,reich::A,rijk,செல்வம் படைத்த
644,bekannt::A,bekend,பழக்கப்பட்ட
645,berühmt::A,beroemd,புகழ்பெற்ற
646,fremd::A,vreemd,அயல் நாட்டு
647,verschieden::A,verscheiden,வித்தியாசமான
648,verschieden::A,verschillend,வித்தியாசமான
649,nah::A,nabij,பக்கத்தில் உள்ள
650,nah::A,nabijgelegen,பக்கத்தில் உள்ள
651,fern::A,ver,தொலை தூரத்தில்
652,linker::A,linker,மீந்திருக்கும்
653,rechter::A,rechter,வலதுபக்கம்
654,anderer::A,andere,மற்ற
655,erster::A,eerste,முதனமையான
656,zweiter::A,tweede,இரண்டாவது
657,dritter::A,derde,மூன்றாவது
658,letzter::A,laatste,கடைசி
659,allein::ADV,alleen,தனியாக
660,auf einmal::ADV,ineens,தடீரென்று
661,auf einmal::ADV,tegelijk,தடீரென்று
662,zusammen::ADV,samen,சேர்ந்து
663,zusammen::ADV,bijeen,சேர்ந்து
664,lange::ADV,lang,அதிக நோம்
665,plötzlich::ADV,eensklaps,தடீரென்று
666,plötzlich::ADV,plotsklaps,தடீரென்று
667,sofort::ADV,terstond,உடனடியாக
668,sofort::ADV,aanstonds,உடனடியாக
669,sofort::ADV,onmiddelijk,உடனடியாக
670,später::ADV,later,பிறகு
671,jetzt::ADV,nu,இப்பொழது
672,jetzt::ADV,nou,இப்பொழது
673,jetzt::ADV,thans,இப்பொழது
674,heute::ADV,heden,இன்று
675,heute::ADV,vandaag,இன்று
676,morgen::ADV,morgen,நாளைக்கு
677,bald::ADV,gauw,சீக்கிரம்
678,bald::ADV,weldra,சீக்கிரம்
679,dann::ADV,dan,அப்பொழுது
680,dann::ADV,toen,அப்பொழுது
681,gestern::ADV,gisteren,நேற்று
682,einst::ADV,eens,ஒரே முறை
683,damals::ADV,toen,அப்பொழுது
684,damals::ADV,destijds,அப்பொழுது
685,danach::ADV,daarna,பிற்பாடு
686,vorher::ADV,vooraf,முன்பாக
687,vorher::ADV,van tevoren,முன்பாக
688,zuerst::ADV,eerst,முதலில்
689,zuerst::ADV,het eerst,முதலில்
690,einmal::ADV,eens,ஒரே முறை
691,einmal::ADV,eenmaal,ஒரே முறை
692,manchmal::ADV,soms,சில நேரங்களில்
693,oft::ADV,vaak,அடிக்கடி
694,oft::ADV,dikwijls,அடிக்கடி
695,immer::ADV,altijd,எப்பொழுதும்
696,niemals::ADV,nooit,ஒருபோதும் இல்லை
697,hier::ADV,hier,இங்கே
698,hierhin::ADV,hierheen,இவ்விடத்திற்கு
