,Concept_ID,kn,ba
42,Ader::N,ನರ,тамыр
43,Sehne::N,ನರ,һеңер
44,Sehne::N,ನರ,тарамыш
45,Knochen::N,ಮೂಳೆ,һойәк
46,Gehirn::N,ಮಿದುಳು,мейе
47,Herz::N,ಹೃದಯ,йорәк
48,Magen::N,ಉದರ,ашҡаҙан
49,Leber::N,ಯಕೃತ್ತು,бауыр
50,Atem::N,ಉಸಿರು,һулыш
51,Hunger::N,ಹಸಿವು,аслыҡ
52,Träne::N,ಕಣ್ಣೀರು,күҙ иәше
53,Geschmack::N,ರುಚಿ,тәм
54,Geruch::N,ವಾಸನೆ,еҫ
55,Schlaf::N,ನಿದ್ರೆ,йоҡлау
56,Traum::N,ಕನಸು,төш
57,Himmel::N,ಬಾನು,күк
58,Sonne::N,ಸೂರ್ಯ,ҡояш
59,Mond::N,ಚಂದ್ರ,ай
60,Stern::N,ಚುಕ್ಕಿ,йондоҙ
61,Luft::N,ವಾಯು,һауа
62,Wind::N,ಗಾಳಿ,ел
63,Welle::N,ಅಲೆ,тулҡын
64,Wasser::N,ನೀರು,һыу
65,Stein::N,ಕಲ್ಲು,таш
66,Boden::N,ನೆಲ,тупраҡ
67,Erde::N,ಭೂಮಿ,балсҡ
68,Staub::N,ದೂಳು,туҙан
69,Rauch::N,ಹೊಗೆ,төтөн
70,Funke::N,ಕಿಡಿ,осҡон
71,Feuer::N,ಬೆಂಕಿ,ут
72,Licht::N,ಬೆಳಕು,яҡтылыҡ
73,Schatten::N,ನೆರಳು,күләгә
74,Wetter::N,ಹವ,һауа торошо
75,Nebel::N,ಮಂಜು,төман
76,Wolke::N,ಮೋಡ,болот
77,Regen::N,ಮಳೆ,ямғыр
78,Schnee::N,ಹಿಮ,ҡар
79,Eis::N,ಮಂಜುಗಡ್ಡೆ,боҙ
80,Frost::N,ಮಂಜು,һалҡын
81,Kälte::N,ಹಿಮ,һыуыҡ
82,Hitze::N,ಉಷ್ಣ,томра
83,Hitze::N,ಉಷ್ಣ,эҫелек
84,Raureif::N,ಇಬ್ಬನಿ,ҡырау
85,Regenbogen::N,ಇಂದ್ರಚಾಪ,йәйғор
86,Donner::N,ಗುಡುಗು,күк күкрәү
87,Strömung::N,ಪ್ರವಾಹ,ағым
88,Tropfen::N,ತೊಟ್ಟು,тамсы
89,Schaum::N,ನೊರೆ,күбек
90,Schmutz::N,ಕಸ,батҡаҡ
91,See::N,ಸರೋವರ,күл
92,Sumpf::N,ಜೌಗುಸ್ಥಳ,һаҙлык
93,Moor::N,ಬಂಜರು ಭೂಮಿ,һаҙ
94,Wiese::N,ಹುಲ್ಲುಗಾವಲು,болон
95,Wald::N,ಕಾಡು,урман
96,Hügel::N,ಗುಡ್ಡೆ,түбә
97,Anhöhe::N,ದಿಬ್ಬ,түбә
98,Anhöhe::N,ದಿಬ್ಬ,ҡалҡыулыҡ
99,Berg::N,ಮಲೆ,тау
100,Berg::N,ಪರ್ವತ,тау
101,Gipfel::N,ಶೃಂಗ,түбә
102,Höhle::N,ಗುಹೆ,мәмерйә
103,Abhang::N,ಇಳಿಜಾರು,ипкен
104,Quelle::N,ಮೂಲ,шишмә
105,Bach::N,ತೊರೆ,шишмә
106,Fluss::N,ನದಿ,йылға
107,Ufer::N,ತೀರ,яр
108,Küste::N,ದಂಡೆ,яр буйы
109,Festland::N,ಭೂಮಿ,ҡоро ер
110,Meer::N,ಕಡಲು,диңгез
111,Bucht::N,ಖಾರಿ,бухта
112,Insel::N,ದ್ವೀಪ,үтрау
113,Blume::N,ಸುಮ,сәскә
114,Gras::N,ಹುಲ್ಲು,үлән
115,Wurzel::N,ಬೇರು,тамыр
116,Baum::N,ಮರ,ағас
117,Stamm::N,ಕಾಂಡ,олон
118,Stamm::N,ಕಾಂಡ,көбәк
119,Rinde::N,ತೂಗಟಿ,ҡабыҡ
120,Ast::N,ಶಾಖೆ,ботаҡ
121,Zweig::N,ರೆಂಬೆ,ботаҡ
122,Zweig::N,ರೆಂಬೆ,тармаҡ
123,Blatt::N,ಎಲೆ,япраҡ
124,Birke::N,ಬರ್ಚ್ ಮರ,ҡайын
125,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,ҡарғай
126,Weide[Baum]::N,ವಿಲೋಮರ,тал
127,Tanne::N,ಭದ್ರದಾರು,шыршы
128,Horn::N,ಕೊಂಬು,мөғөҙ
129,Feder::N,ಪುಕ್ಕ,ҡауырһын
130,Fell::N,ರೋಮ,тире
131,Flügel::N,ರೆಕ್ಕೆ,ҡанат
132,Klaue::N,ಪಂಜ,тырнаҡ
133,Kralle::N,ಉಗುರು,аяҡ
134,Schwanz::N,ಬಾಲ,ҡойроҡ
135,Ei::N,ಮೊಟ್ಟೆ,йомортҡа
136,Nest::N,ಗೂಡು,оя
137,Bau::N,ಅಡಗುದಾಣ,оң
138,Tier::N,ಪ್ರಾಣಿ,жайуан
139,Tier::N,ಪ್ರಾಣಿ,йыртҡыс
140,Herde::N,ಗುಂಪು,көтөү
141,Kuh::N,ಹಸು,һыйыр
142,Bulle::N,ಗೂಳಿ,үгеҙ
143,Pferd::N,ಕುದುರೆ,ат
144,Schaf::N,ಕುರಿ,һарыҡ
145,Schwein::N,ಹಂದಿ,сусҡа
146,Hund::N,ನಾಯಿ,эт
147,Katze::N,ಬೆಕ್ಕು,бесәй
148,Bär::N,ಕರಡಿ,айыу
149,Eichhörnchen::N,ಉಡುತೆ,тейен
150,Elch::N,ಕಡವೆ,мышы
151,Fuchs::N,ನರಿ,төлкө
152,Hase::N,ಮೊಲ,ҡуян
153,Maus::N,ಇಲಿ,сысҡан
154,Wolf::N,ತೋಳ,бүре
155,Vogel::N,ಪಕ್ಷಿ,ҡош
156,Schwarm::N,ಗುಂಪು,көтөү
157,Huhn::N,ಚಿಕ್,тауыҡ
158,Hahn::N,ಹುಂಜ,әтәс
159,Gans::N,ವರಟೆ,ҡаҙ
160,Adler::N,ಗರುಡ,бөркөт
161,Ente::N,ಬಾತು,өйрәк
162,Eule::N,ಗೂಬೆ,өкө
163,Eule::N,ಗೂಬೆ,ябалаҡ
164,Kranich::N,ಕೊಕ್ಕರ,торна
165,Krähe::N,ಕಾಗೆ,ҡарға
166,Kuckuck::N,ಕೋಗಿಲೆ,кәкүк
167,Schwan::N,ಹಂಸಪಕ್ಷಿ,аҡҡош
168,Fisch::N,ಮೀನು,балыҡ
169,Barsch::N,ಪರ್ಚ್ ಮೀನು,алабуға
170,Hecht::N,ಪೈಕ್ ಮೀನು,суртан
171,Schlange[Tier]::N,ಹಾವು,йылан
172,Wurm::N,ಹುಳು,селяүсен
173,Spinne::N,ಊರ್ಣನಾಭ,үрмәксе
174,Ameise::N,ಇರುವೆ,ҡырмыҫҡа
175,Laus::N,ಹೇನು,бет
176,Mücke::N,ಸೊಳ್ಳೆ,серәкәй
177,Fliege::N,ನೊಣ,себен
178,Schmetterling::N,ಪತಂಗ,күбәләк
179,Beere::N,ನಯವಣ್ಣು,еләк
180,Apfel::N,ಸೇಬು,алма
181,Pilz::N,ಅಣಬೆ,бәшмәк
182,Zwiebel::N,ನೀರುಳ್ಳಿ,һуган
183,Saat::N,ಬಿತ್ತ,орлоҡ
184,Korn::N,ಬೀಜ,иген
185,Heu::N,ಕರಡ,бесән
186,Schale::N,ಹೊಟ್ಟು,ҡабыҡ
187,Grube::N,ಗುಂಡಿ,соҡор
188,Falle::N,ಬೋನು,тоҙак
189,Falle::N,ಬೋನು,ҡапҡан
190,Schlinge::N,ಉರುಲು,тоҙак
191,Spur::N,ಜಾಡು,әҫер
192,Asche::N,ಬೂದಿ,көл
193,Dreck::N,ಹೊಲಸು,батҡаҡ
194,Eisen::N,ಕಬ್ಬಿಣ,тимер
195,Gold::N,ಚಿನ್ನ,алтын
196,Silber::N,ಬೆಳ್ಳಿ,көмөш
197,Kohle::N,ಕಲ್ಲಿದ್ದಲು,күмер
198,Glas::N,ಗಾಜು,быяла
199,Lehm::N,ಜೇಡಿಮಣ್ಣು,балсыҡ
200,Sand::N,ಮರಳು,ҡом
201,Mensch::N,ಪುರುಷ,кеше
202,Mann::N,ಆಳು,ир
203,Frau::N,ಹೆಣ್ಣು,ҡатын
204,Kind::N,ಮಗು,бала
205,Junge::N,ಹುಡುಗ,малай
206,Mädchen::N,ಹುಡುಗಿ,ҡыҙ
207,Mädchen::N,ಹುಡುಗಿ,ҡыҙыҡай
208,Familie::N,ಕುಟುಂಬ,ғаилә
209,Großvater::N,ಅಜ್ಜ,олатай
210,Großmutter::N,ಅಮ್ಮ,әбәй
211,Eltern::N,ಹೆತ್ತವರು,ата-әсә
212,Vater::N,ತಂದೆ,атай
213,Mutter::N,ಅಮ್ಮ,әсә
214,Sohn::N,ಮಗ ,ул
215,Tochter::N,ಮಗಳು,ҡыҙ
216,Bruder::N,ತಮ್ಮ,агай
217,Schwester::N,ತಂಗಿ,алай
218,Schwester::N,ತಂಗಿ,һеңле
219,Onkel::N,ಸೋದರಮಾವ,ағай
220,Onkel::N,ದೊಡ್ಡಪ್ಪ,ағай
221,Tante::N,ಚಿಕ್ಕಮ್ಮ,апай
222,Ehemann::N,ಗಂಡ,ир
223,Ehefrau::N,ಹೆಂಡತಿ,ҡатын
224,Freude::N,ನಲಿವು,шатлыҡ
225,Freude::N,ನಲಿವು,ҡыуаныс
226,Gelächter::N,ನಗೆ,көлөү
227,Glück::N,ಆನಂದ,бәхет
228,Kummer::N,ದುಃಖ,ҡайғы
229,Wunsch::N,ಬಯಕೆ,теләк
230,Lust::N,ಇಷ್ಟ,әүәҫлек
231,Geist::N,ಆತ್ಮ,аң
232,Geist::N,ಆತ್ಮ,рух
233,Gedanke::N,ಯೋಚನೆ,уй
234,Gedanke::N,ಯೋಚನೆ,фекер
235,Gedächtnis::N,ಸ್ಮರಣೆ,хәтер
236,Verstand::N,ಮನಸ್ಸು,аҡыл
237,Sinn::N,ಅರ್ಥ,мәғәня
238,Grund::N,ಕಾರಣ,сәбәп
239,Wahrheit::N,ಸತ್ಯ,дөрөҫлөк
240,Gespräch::N,ಸಂಭಾಷಣೆ,әңгәмә
241,Märchen::N,ಸುಳ್ಳು ಕಥೆ,әкиәт
242,Erzählung::N,ಕಥೆ,хикәйә
243,Nachricht::N,ಸಂದೇಶ,хәбәр
244,Neuigkeit::N,ಸುದ್ದಿ,яңылыҡ
245,Name::N,ಹೆಸರು,исем
246,Rätsel::N,ಒಗಟು,йомаҡ
247,Rede::N,ಮಾತು,телмәр
248,Sprache::N,ಭಾಷೆ,тел
249,Sprache::N,ಭಾಷೆ,телмәр
250,Stimme::N,ಧ್ವನಿ,тауыш
251,Wort::N,ಮಾತು,һүҙ
252,Zeichen::N,ಗುರುತು,билдә
253,Ruf::N,ಕೂಗು,саҡырыу
254,Lärm::N,ಸದ್ದು,шаулау
255,Laut::N,ಶಬ್ದ,тауыш
256,Ton::N,ನಾದ,яңғырау
257,Lied::N,ಗಾನ,йыр
258,Ruhe::N,ಶಾಂತಿ,ял
259,Ruhe::N,ಶಾಂತಿ,тыныслыҡ
260,Leute::N,ಮಂದಿ,кешеләр
261,Volk::N,ಜನಾಂಗ,халҡ
262,Arbeit::N,ಕೆಲಸ,эш
263,Gast::N,ಅತಿಥಿ,ҡунаҡ
264,Geschenk::N,ಕಾಣಿಕೆ,бүләк
265,Spiel::N,ಆಟ,уйын
266,Gesellschaft::N,ಸಂಗ,йәмғиәт
267,Hilfe::N,ಸಹಾಯ,ярҙам
268,Freund::N,ಸ್ನೇಹಿತ,дуҫ
269,Kamerad::N,ಜೊತೆಗಾರ,иптәш
270,Angelegenheit::N,ವಿಚಾರ,әш
271,Anzahl::N,ಎಣಿಕೆ,һан
272,Art::N,ತರ,төр
273,Stück::N,ತುಂಡು,киҫәк
274,Teil::N,ಭಾಗ,өлөш
275,Hälfte::N,ಅರ್ಧ,ярты
276,Kreis::N,ವೃತ್ತ,түңәрәк
277,Kreuz::N,ಶಿಲುಬೆ,тәре
278,Linie::N,ರೀಖೆ,һыҙыҡ
279,Strich::N,ಗೀಟು,һыҙат
280,Abstand::N,ಅಂತರ,ара
281,Entfernung::N,ದೂರ,алыҫлыҡ
282,Gegend::N,ವಿಸ್ತೀರ್ಣ,урын
283,Platz::N,ಅಂತರ,арауыҡ
284,Ort::N,ಸ್ಥಳ,ерҙәр
285,Ort::N,ಸ್ಥಳ,урындар
286,Ort::N,ಸ್ಥಳ,эш урыны
287,Seite::N,ಪಕ್ಷ,яҡ
288,Mitte::N,ನಡು,урталыҡ
289,Gegenstand::N,ವಸ್ತು,нәмә
290,Sache::N,ವಸ್ತು,нәмә
291,Sache::N,ವಸ್ತು,әйбер
292,Rand::N,ಅಂಚು,сит
293,Kante::N,ಅಂಚು,ҡабырға
294,Kante::N,ಅಂಚು,ян
295,Ecke::N,ಮೂಲೆ,мөйөш
296,Spitze::N,ತುದಿ,ос
297,Ende::N,ಕೊನೆ,аҙаҡ
298,Loch::N,ತೂತು,тишек
299,Winkel::N,ಕೋನ,мөйөш
300,Muster::N,ನಮೂನೆ,биҙәк
301,Größe::N,ಪ್ರಮಾಣ,ҙурлыҡ
302,Länge::N,ಉದ್ದ,оҙонлоҡ
303,Höhe::N,ಎತ್ತರ,бейеклек
304,Gewicht::N,ತೂಕ,үлсәү
305,Menge::N,ಮೊತ್ತ,һан
306,Haufen::N,ರಾಶಿ,өйөм
307,Reihe::N,ಸಾಲು,рәт
308,Boot::N,ದೋಣಿ,кәмә
309,Ruder::N,ಹುಟ್ಟು,ишкәк
310,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,сана
311,Ski::N,ಜಾರುಪಟ್ಟಿ,саңгы
312,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,костер
313,Last::N,ಹೊರೆ,ауырлыҡ
314,Gang::N,ತಿರುಗಾಟ,барыу
315,Schritt::N,ಹೆಜ್ಜೆ,аҙым
316,Norden::N,ಉತ್ತರ,төньяҡ
317,Süden::N,ದಕ್ಷಿಣ,көньяҡ
318,Westen::N,ಪಶ್ಚಿಮ,көнбайыш
319,Osten::N,ಮೂಡಲು,көнсығыш
320,Holz::N,ಚೌಬೀನೆ,үағас
321,Brett::N,ಹಲಗೆ,таҡта
322,Platte::N,ಹಲಗೆ,плита
323,Stütze::N,ಆಸರೆ,терәк
324,Stange::N,ಕಂಬ,кәртә
325,Stock::N,ಕೋಲು,таяҡ
326,Stab::N,ದೊಣ್ಣೆ,ҡолға
327,Rohr::N,ನಳಿಕೆ,торба
328,Haus::N,ಮನೆ,өй
329,Haus::N,ಮನೆ,йорт
330,Heim::N,ಗೃಹ,өй
331,Ofen::N,ಒಲೆ,мейес
332,Fußboden::N,ನೆಲ,енес
333,Tisch::N,ಮೇಜು,өҫтәл
334,Stuhl::N,ಕುರ್ಚಿ,ултырғыс
335,Wiege::N,ತೊಟ್ಟಿಲು,бишек
336,Bett::N,ಹಾಸಿಗೆ,карауат
337,Regal::N,ಬೀರು,кәштә
338,Kiste::N,ಪಟ್ಟಿಗೆ,йәшинк
339,Fenster::N,ಕಿಟಕಿ,тәҙрә
340,Tür::N,ಬಾಗಿಲು,ишек
341,Tor::N,ಹೆಬ್ಬಾಗಿಲು,ҡапҡа
342,Zaun::N,ಬೇಲಿ,ҡойма
343,Dach::N,ಮಾಳಿಗೆ,түбә
344,Dach::N,ಮಾಳಿಗೆ,ҡыйыҡ
345,Leiter::N,ಏಣಿ,баҫҡыс
346,Besen::N,ಪೊರಕೆ,һепертке
347,Spaten::N,ಗುದ್ದಲಿ,көрәк
348,Schaufel::N,ಸನಿಕೆ,көрәк
349,Gabel::N,ಕವಲು,сәнске
350,Löffel::N,ಚಮಚ,ҡалаҡ
351,Messer::N,ಚಾಕು,бысаҡ
352,Nagel::N,ಆಣಿ,сөй
353,Netz::N,ಬಲೆ,ау
354,Haken::N,ಕೊಂಡಿ,ыргаҡ
355,Griff::N,ಹಿಡಿ,тотҡа
356,Schloss::N,ವೀಗ,йоҙаҡ
357,Bild::N,ಚಿತ್ರ,картина
358,Figur::N,ಆಕಾರ,һын
359,Puppe::N,ಗೊಂಬೆ,ҡурсаҡ
360,Beutel::N,ಸಂಚಿ,тоҡ
361,Bündel::N,ಕಟ್ಟು,төргәк
362,Tasche::N,ಚೀಲ,сумка
363,Eimer::N,ಬಾನೆ,биҙрә
364,Deckel::N,ಮುಚ್ಚಳ,ҡапҡас
365,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,һауыт-һаба
366,Sack::N,ಮೂಟೆ,тоҡ
367,Tasse::N,ಬಟ್ಟಲು,сынаяҡ
368,Topf::N,ಮಡಕೆ,кәстрүл
369,Kessel::N,ಕೆಟಲ್,ҡаҙан
370,Essen::N,ಊಟ,ашау
371,Nahrung::N,ಆಹಾರ,аҙыҡ
372,Speise::N,ಊಟ,аш
373,Fleisch::N,ಮಾಂಸ,ит
374,Getreide::N,ಧಾನ್ಯ,иген
375,Getreide::N,ಧಾನ್ಯ,ашлыҡ
376,Brei::N,ಗಂಜಿ,бутҡа
377,Brot::N,ರೊಟ್ಟಿ,икмәк
378,Scheibe::N,ಹೋಳು,телем
379,Fett::N,ಕೊಬ್ಬು,май
380,Butter::N,ಬೆಣ್ಣೆ,май
381,Öl::N,ಎಣ್ಣೆ,май буяуы
382,Salz::N,ಉಪ್ಪು,тоҙ
383,Suppe::N,ಎಸರು,һурпа
384,Honig::N,ಮಧು,бал
385,Milch::N,ಹಾಲು,һөт
386,Tee::N,ಚಹ,сәй
387,Leder::N,ಚಕ್ಕಳ,күн
388,Wolle::N,ಉಣ್ಣೆ,йөн
389,Stoff::N,ಬಟ್ಟೆ,туҡыма
390,Nadel::N,ಸೂಜಿ,энә
391,Faden::N,ದಾರ,еп
392,Knopf::N,ಗುಂಡು,төймә
393,Knoten::N,ಗಂಟು,төйөн
394,Farbe::N,ಬಣ್ಣ,буяу
395,Kleidung::N,ಅರಿವೆ,кейем
396,Hemd::N,ಅಂಗಿ,күлдәк
397,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,яға
398,Ärmel::N,ತೋಳು,ең
399,Hose::N,ಇಜಾರ,салбар
400,Gürtel::N,ಬೆಲ್ಟು,ҡайыш
401,Mütze::N,ಟೋಪಿ,бүрк
402,Schuh::N,ಪಾದರಕ್ಷೆ,туфли
403,Stiefel::N,ಬೂಟು,итек
404,Ring::N,ಉಂಗುರ,йөҙөк
405,Ring::N,ಉಂಗುರ,балдаҡ
406,Band::N,ರಿಬ್ಬನ್,таҫма
407,Kamm::N,ಹಣಿಗೆ,тараҡ
408,Spiegel::N,ಕನ್ನಡಿ,көзгө
409,Riemen::N,ಬಾರು,ҡайыш
410,Schnur::N,ಹುರಿ,бау
411,Leine::N,ಹಗ್ಗ,бау
412,Decke::N,ಕಂಬಳಿ,одеяд
413,Kissen::N,ದಿಂಬು,мендәр
414,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,яулыҡ
415,Handtuch::N,ಚೌಕ,таҫтамал
416,Kraft::N,ಬಲ,көс
417,Stärke::N,ಶಕ್ತಿ,көс
418,Gesundheit::N,ಆರೋಗ್ಯ,һаулыҡ
419,Krankheit::N,ರೋಗ,сир
420,Krankheit::N,ರೋಗ,ауырыу
421,Schmerz::N,ನೋವು,һыҙлау
422,Schmerz::N,ನೋವು,әрнеү
423,Wunde::N,ಗಾಯ,йәрәхәт
424,Fieber::N,ಜ್ವರ,тапма
425,Fieber::N,ಜ್ವರ,биҙгәк
426,Arznei::N,ಔಷಧ,дарыу
427,Brücke::N,ಸೇತುವೆ,күпер
428,Brunnen::N,ಬಾವಿ,ҡоҙоҡ
429,Weide::N,ಗೋಮಾಳ,көтөүлек
430,Pfad::N,ದಾರಿ,һуҡмаҡ
431,Weg::N,ಹಾದಿ,юл
432,Straße::N,ರಸ್ತೆ,урам
433,Dorf::N,ಹಳ್ಳಿ,ауыл
434,Stadt::N,ಪಟ್ಟಣ,ҡала
435,Brief::N,ಕಾಗದ,хат
436,Buch::N,ಪುಸ್ತಕ,китап
437,Buch::N,ಪುಸ್ತಕ,кенәгә
438,Buchstabe::N,ಅಕ್ಷರ,хәреф
439,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,гәзит
440,Leben::N,ಜೀವನ,йәшәү
441,Tod::N,ಮರಣ,үлем
442,Grab::N,ಗೋರಿ,ҡәбер
443,Kirche::N,ಚರ್ಚು,сиркәү
444,Sünde::N,ಪಾಪ,гөнаһ
445,Gott::N,ದೇವರು,алла
446,Gott::N,ದೇವರು,хоҙай
447,Arbeiter::N,ಕೆಲಸಗಾರ,эшсе
448,Chef::N,ದಣಿ,башлыҡ
449,Meister::N,ಶಿಕ್ಷಕ,оҫта
450,Arzt::N,ವೈದ್ಯ,врач
451,Lehrer::N,ಉಪಾಧ್ಯಾಯ,уҡытыусы
452,Geld::N,ಹಣ,аҡса
453,Geschäft::N,ವಾಣಿಜ್ಯ,эш
454,Laden::N,ಅಂಗಡಿ,магазин
455,Preis::N,ಬೆಲೆ,хаҡ
456,Ware::N,ಸರಕು,тауар
457,Nutzen::N,ಲಾಭ,файҙа
458,Reichtum::N,ಸಂಪತ್ತು,байлыҡ
459,Welt::N,ಭೂಲೋಕ,донъя
460,Land::N,ದೇಶ,ил
461,Staat::N,ರಾಜ್ಯ,дәүләт
462,König::N,ರಾಜ,король
463,Macht::N,ಅಧಿಕಾರ,власть
464,Grenze::N,ಗಡಿ,сик
465,Krieg::N,ಯುದ್ಧ,һуғыш
466,Feind::N,ಶತ್ರು,йылан
467,Gewalt::N,ಹಿಂಸೆ,көслөк
468,Kampf::N,ಹೋರಾಟ,көрәш
469,Bogen[Waffe]::N,ಬಿಲ್ಲು,йәйә
470,Pfeil::N,ಅಂಬು,уҡ
471,Gewehr::N,ಬಂದೂಕು,мылтыҡ
472,Fehler::N,ತಪ್ಪು,хата
473,Lüge::N,ಸುಳ್ಳು,ялған
474,Schaden::N,ಹಾನಿ,зыян
475,Schaden::N,ಹಾನಿ,зарар
476,Unglück::N,ಅಪಾಯ,ҡаза
477,Schuld::N,ದೋಷ,ғәйеп
478,Alter::N,ಮುಪ್ಪು,йәш
479,Schluss::N,ಮುಕ್ತಾಯ,һуң
480,Schluss::N,ಮುಕ್ತಾಯ,аҙаҡ
481,Zeit::N,ಕಾಲ,мәл
482,Zeit::N,ಕಾಲ,заман
483,Tag::N,ದಿನ,көн
484,Morgen::N,ಮುಂಜಾನೆ,иртә
485,Morgen::N,ಮುಂಜಾನೆ,иртәнсәк
486,Mittag::N,ನಡುಹಗಲು,төш
487,Abend::N,ಸಂಜೆ,кис
488,Nacht::N,ರಾತ್ರಿ,төн
489,Woche::N,ವಾರ,аҙна
490,Monat::N,ತಿಂಗಳು,ай
491,Jahr::N,ಸಂವತ್ಸರ,йыл
492,Frühling::N,ವಸಂತ,яҙ
493,Sommer::N,ಬಿಸಿಲುಕಾಲ,йәй
494,Herbst::N,ಶರತ್ಕಾಲ,көз
495,Winter::N,ಚಳಿಗಾಲ,ҡыш
496,Januar::N,ನಾಲ್ಚಳಿ,ғинуар
497,Februar::N,ಅಯ್ಚಳಿ,февраль
498,März::N,ಮೊಬ್ಬೇಸಿಗೆ,март
499,April::N,ಇಬ್ಬೇಸಿಗೆ,апрель
500,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,май
501,Juni::N,ಮೊಮ್ಮಳೆ,июнь
502,Juli::N,ಇಮ್ಮಳೆ,июль
503,August::N,ಮುಮ್ಮಳೆ,август
504,September::N,ನಾಲ್ಮಳೆ,сентябрь
505,Oktober::N,ಮೊಚ್ಚಳಿ,октябрь
506,November::N,ಇಚ್ಚಳಿ,ноябрь
507,Dezember::N,ಮುಚ್ಚಳಿ,декабрь
508,Montag::N,ಸೋಮುವಾರ,дүшәмбе
509,Dienstag::N,ಮಂಗಳವಾರ,шишәмбе
510,Mittwoch::N,ಬುಧವಾರ,шаршамбы
511,Donnerstag::N,ಗುರುವಾರ,кесаҙна
512,Freitag::N,ಶುಕ್ರವಾರ,йома
513,Samstag::N,ಶನಿವಾರ,шәмбе
514,Sonntag::N,ಭಾನುವಾರ,йәкшәмбе
515,groß::A,ದೊಡ್ಡ,ҙур
516,klein::A,ಪುಟ್ಟ,бәләкәс
517,lang::A,ದೀರ್ಘ,оҙон
518,kurz::A,ಚಕ್ಕ,ҡыҫҡа
519,breit::A,ಅಗಲವಾದ,киң
520,schmal::A,ಇಕ್ಕಟ್ಟಾದ,тар
521,dicht::A,ದಟ್ಟ,йыш
522,dicht::A,ದಟ್ಟ,ҡуйы
523,dick[Gegenstand]::A,ದಟ್ಟ,ҡалын
524,dünn::A,ತೆಳು,йоҡа
525,dünn::A,ತೆಳು,нәҙек
526,fein::A,ಕೋಮಲ,нескә
527,fest::A,ಘನ,ныҡ
528,flach::A,ಚಪ್ಪಟೆ,яҫы
529,flach::A,ಚಪ್ಪಟೆ,ялпаҡ
530,glatt::A,ನಯ,шыма
531,hart::A,ಗಟ್ಟಿ,ҡаты
532,weich::A,ಮೃದುವಾದ,йомшаҡ
533,rund::A,ವರ್ತುಳ,түңәрәк
534,spitz::A,ಮೊನಚಾದ,осло түбәле
535,scharf::A,ತೀಕ್ಷ್ಣ,үткер
536,stumpf::A,ಮೊಂಡು,утмәҫ
537,schwer::A,ಭಾರಿ,ауыр
538,schön::A,ಸುಂದರ,матур
539,heiß::A,ಬಿಸಿ,эҫе
540,warm::A,ಬಿಸಿ,йылы
541,kalt::A,ತಣ್ಣನೆಯ,һыуыҡ
542,kühl::A,ತಂಪಾದ,һалҡынса
