,Concept_ID,sah,da
177,Schlange[Tier]::N,моҕой,slange
178,Schlange[Tier]::N,эриэн үөн,slange
179,Wurm::N,үөн,orm
180,Spinne::N,ооҕуй,edderkop
181,Ameise::N,кымырдаҕас,myre
182,Laus::N,быт,lus
183,Mücke::N,кумаар,myg
184,Fliege::N,сахсырҕа,flue
185,Schmetterling::N,лыах,sommerfugl
186,Schmetterling::N,үрүмэччи,sommerfugl
187,Beere::N,отон,bær
188,Apfel::N,яблоко,æble
189,Pilz::N,тэллэй,svamp
190,Zwiebel::N,луук,løg
191,Saat::N,сиэмэ,sæd
192,Korn::N,сиэмэ,korn
193,Heu::N,от,hø
194,Schale::N,хах,skræl
195,Grube::N,дьаама,grav
196,Falle::N,сохсо,fælde
197,Schlinge::N,уктаа,snare
198,Spur::N,суол,spor
199,Asche::N,күл,aske
200,Dreck::N,бадараан,snavs
201,Eisen::N,тимир,jern
202,Gold::N,көмүс,guld
203,Gold::N,кыһыл көмүс,guld
204,Silber::N,көмүс,sølv
205,Silber::N,үрүҥ көмүс,sølv
206,Kohle::N,чох,kul
207,Glas::N,өстүөкүлэ,glas
208,Lehm::N,туой,ler
209,Sand::N,кумах,sand
210,Mensch::N,киһи,mennesge
211,Mann::N,эр,mand
212,Frau::N,дьахтар,kvinde
213,Kind::N,оҕо,barn
214,Junge::N,уол,dreng
215,Mädchen::N,кыыс оҕо,pige
216,Familie::N,кэргэн,familie
217,Großvater::N,эһэ,bedstefar
218,Großmutter::N,эбэ,bedstemor
219,Eltern::N,аҕа-ийэ,forældre
220,Vater::N,аҕа,far
221,Mutter::N,ийэ,mor
222,Sohn::N,уол,søn
223,Tochter::N,кыыс,datter
224,Bruder::N,убай,bror
225,Bruder::N,быраат,bror
226,Schwester::N,аҕас,søster
227,Schwester::N,балыс,søster
228,Onkel::N,таай,onkel
229,Onkel::N,абаҕа,onkel
230,Tante::N,эдьиий,tante
231,Ehemann::N,эр,ægtemand
232,Ehefrau::N,ойох,hustru
233,Freude::N,үөрүү,glæde
234,Gelächter::N,күлүү,latter
235,Glück::N,дьол,lykke
236,Glück::N,соргу,lykke
237,Kummer::N,кутурҕан,sorg
238,Wunsch::N,баҕарыы,ønske
239,Lust::N,баҕа,lyst
240,Geist::N,тыын,ånd
241,Gedanke::N,санаа,tanke
242,Gedächtnis::N,өй,hukommelse
243,Verstand::N,өй,forstand
244,Sinn::N,суолта,mening
245,Sinn::N,суолта,betydning
246,Grund::N,төрүөт,grund
247,Wahrheit::N,кырдьык,sandhed
248,Gespräch::N,бэсиэдэ,samtale
249,Gespräch::N,кэпсэтии,samtale
250,Märchen::N,остуоруйа,eventyr
251,Erzählung::N,кэпсээн,fortælling
252,Nachricht::N,биллэриллии,efterretning
253,Neuigkeit::N,сонун,nyhed
254,Name::N,аат,navn
255,Rätsel::N,таабырын,gåde
256,Rede::N,этии,tale
257,Sprache::N,тыл,sprog
258,Stimme::N,куолас,stemme
259,Wort::N,тыл,ord
260,Zeichen::N,бэлиэ,tegn
261,Ruf::N,ыҥырыы,råb
262,Lärm::N,айдаан,larm
263,Laut::N,тыас,lyd
264,Ton::N,дорҕоон,tone
265,Lied::N,ырыа,sang
266,Ruhe::N,уу чуумпу,ro
267,Ruhe::N,уу чуумпу,hvile
268,Leute::N,дьон,folk
269,Leute::N,дьон,mennesker
270,Volk::N,дьон,folk
271,Volk::N,норуот,folk
272,Arbeit::N,үлэ,arbejde
273,Gast::N,ыалдьыт,gæst
274,Geschenk::N,бэлэх,gave
275,Spiel::N,оонньуу,leg
276,Gesellschaft::N,общество,selskab
277,Hilfe::N,көмө,hjælp
278,Freund::N,доҕор,ven
279,Kamerad::N,атас,kammerat
280,Angelegenheit::N,дьыала,sag
281,Angelegenheit::N,дьыала,anliggende
282,Anzahl::N,ахсаан,antal
283,Art::N,биис,art
284,Stück::N,кырбас,stykke
285,Teil::N,ирээт,del
286,Hälfte::N,аҥар,halvdel
287,Kreis::N,төгүрүк,cirkel
288,Kreis::N,төгүрүмтэ,cirkel
289,Kreuz::N,кириэс,kors
290,Kreuz::N,кириэс,kryds
291,Linie::N,сурааһын,linie
292,Strich::N,сурааһын,streg
293,Abstand::N,арыт,afstand
294,Entfernung::N,ыраах,afstand
295,Gegend::N,сир,egn
296,Platz::N,арыт,plads
297,Ort::N,сир,sted
298,Seite::N,өрүт,side
299,Seite::N,сирэй,side
300,Mitte::N,орто,midte
301,Gegenstand::N,предмет,genstand
302,Sache::N,мал,sag
303,Rand::N,кытыы,rand
304,Rand::N,ойоҕос,rand
305,Kante::N,кырыы,kant
306,Ecke::N,муннук,hjørne
307,Spitze::N,чыпчаал,spids
308,Ende::N,төбө,ende
309,Loch::N,тэһэҕэс,hul
310,Loch::N,дьөлөҕөс,hul
311,Winkel::N,муннук,vinkel
312,Muster::N,оһуор,mønster
313,Größe::N,кээмэй,størrelse
314,Länge::N,уста,længde
315,Höhe::N,үрдүк,højde
316,Gewicht::N,ыйааһын,vægt
317,Menge::N,ахсаан,mængde
318,Haufen::N,чөмчөх,bunke
319,Reihe::N,кэккэ,række
320,Boot::N,оҥочо,båd
321,Ruder::N,эрдии,åre
322,Schlitten::N,сыарҕа,kælk
323,Schlitten::N,сыарҕа,slæde
324,Ski::N,хайыһар,ski
325,Lagerfeuer::N,кутаа,lejrbål
326,Last::N,ыарахан,last
327,Last::N,ыарахан,byrde
328,Gang::N,хаамыы,gang
329,Schritt::N,хардыы,skridt
330,Norden::N,хоту,nord
331,Süden::N,соҕуруу,syd
332,Westen::N,арҕаа,vest
333,Osten::N,илин,øst
334,Holz::N,мас,træ
335,Brett::N,дуоска,bræt
336,Brett::N,хаптаһын,bræt
337,Platte::N,билиитэ,plade
338,Stütze::N,тулааһын,støtte
339,Stange::N,ураҕас,stang
340,Stock::N,мас,stok
341,Stock::N,баалкы,stok
342,Stab::N,ураҕас,stav
343,Rohr::N,турба,rør
344,Haus::N,дьиэ,hus
345,Heim::N,дьиэ,hjem
346,Ofen::N,оһох,ovn
347,Fußboden::N,муоста,gulv
348,Tisch::N,остуол,bord
349,Stuhl::N,устуул,stol
350,Wiege::N,биһик,vugge
351,Bett::N,кырабаат,seng
352,Regal::N,долбуур,reol
353,Kiste::N,дьааһык,kasse
354,Fenster::N,түннүк,vindue
355,Tür::N,аан,dør
356,Tor::N,аан,port
357,Zaun::N,соппулуот,stakit
358,Dach::N,кырыыса,tag
359,Leiter::N,кирилиэс,stige
360,Besen::N,миинньик,kost
361,Spaten::N,күрдьэх,spade
362,Schaufel::N,күрдьэх,skovl
363,Gabel::N,биилкэ,gaffel
364,Löffel::N,луоска,ske
365,Messer::N,быһах,kniv
366,Nagel::N,тоһоҕо,søm
367,Netz::N,илим,net
368,Haken::N,көхө,krog
369,Griff::N,ук,tag
370,Griff::N,ук,håndtag
371,Griff::N,тутаах,tag
372,Griff::N,тутаах,håndtag
373,Schloss::N,күлүүс,lås
374,Bild::N,хартыына,billede
375,Figur::N,фигура,figur
376,Puppe::N,куукула,dukke
377,Beutel::N,мөһөөччук,pose
378,Bündel::N,баайыы,bylt
379,Bündel::N,баайыы,bundt
380,Tasche::N,суумка,taske
381,Eimer::N,биэдэрэ,spand
382,Deckel::N,хаппах,låg
383,Geschirr::N,иһит,husgeråd
384,Sack::N,куул,sæk
385,Tasse::N,сэлиэнэй,kop
386,Topf::N,көстүрүүҥкэ,gryde
387,Kessel::N,хочуол,kedel
388,Essen::N,аһылык,måltid
389,Nahrung::N,ас,mad
390,Nahrung::N,ас,næring
391,Speise::N,аһылык,ret
392,Fleisch::N,эт,kød
393,Getreide::N,злактар,korn
394,Brei::N,хааһы,grød
395,Brot::N,килиэп,brød
396,Scheibe::N,куһуок,skive
397,Fett::N,сыа,fedt
398,Butter::N,арыы,smør
399,Öl::N,арыы,olie
400,Salz::N,туус,salt
401,Suppe::N,мин,suppe
402,Honig::N,мүөт,honning
403,Milch::N,үүт,mælk
404,Tee::N,чэй,te
405,Leder::N,тирии,skind
406,Wolle::N,түү,uld
407,Stoff::N,таҥас,stof
408,Nadel::N,иннэ,nål
409,Faden::N,сап,tråd
410,Knopf::N,тимэх,knap
411,Knoten::N,түмүк,knude
412,Farbe::N,кырааска,farve
413,Kleidung::N,таҥас,påklædning
414,Hemd::N,ырбаахы,skjorte
415,Kragen::N,саҕа,krave
416,Ärmel::N,сиэх,ærme
417,Hose::N,ыстаан,bukser
418,Hose::N,бүрүүкэ,bukser
419,Gürtel::N,кур,bælte
420,Mütze::N,бэргэһэ,hue
421,Schuh::N,бачыыҥка,sko
422,Stiefel::N,саппыкы,støvle
423,Ring::N,биһилэх,ring
424,Band::N,лиэнтэ,bånd
425,Kamm::N,тараах,kam
426,Spiegel::N,сиэркилэ,spejl
427,Riemen::N,кур,rem
428,Schnur::N,быа,snor
429,Leine::N,тэһиин,snor
430,Decke::N,суорҕан,tæppe
431,Kissen::N,сыттык,pude
432,Tuch::N,былаат,sjaltørklæde
433,Handtuch::N,соттор,håndklæde
434,Kraft::N,сыра,kraft
435,Stärke::N,күүс,styrke
436,Gesundheit::N,доруобуйа,sundhed
437,Krankheit::N,ыарыы,sygdom
438,Schmerz::N,ыарыы,smerte
439,Wunde::N,баас,sår
440,Fieber::N,түрүлгэн,feber
441,Fieber::N,лихорадка,feber
442,Fieber::N,температура,feber
443,Arznei::N,эмп,medicin
444,Arznei::N,эмп,lægemiddel
445,Brücke::N,күргэ,bro
446,Brunnen::N,холуодьас,brønd
447,Weide::N,мэччирэҥ,græsgang
448,Pfad::N,ыллык,sti
449,Weg::N,суол,vej
450,Straße::N,суол,gade
451,Dorf::N,дэриэбинэ,landsby
452,Stadt::N,куорат,by
453,Brief::N,сурук,brev
454,Buch::N,кинигэ,bog
455,Buchstabe::N,буква,bogstav
456,Zeitung::N,хаһыат,avis
457,Leben::N,тыын,liv
458,Tod::N,өлүү,død
459,Grab::N,иин,grav
460,Kirche::N,таҥара дьиэтэ,kirke
461,Sünde::N,айыы,synd
462,Gott::N,тангара,gud
463,Arbeiter::N,үлэһит,arbejder
464,Chef::N,баһылык,chef
465,Chef::N,начальник,chef
466,Meister::N,уус,mester
467,Meister::N,маастар,mester
468,Arzt::N,врач,læge
469,Lehrer::N,учуутал,lærer
470,Geld::N,харчы,penge
471,Geschäft::N,идэ,forretning
472,Laden::N,маҕаһыын,butik
473,Laden::N,маҕаһыын,forretning
474,Preis::N,сыана,pris
475,Ware::N,табаар,vare
476,Nutzen::N,туһа,nytte
477,Reichtum::N,баай,rigdom
478,Welt::N,аан дойду,verden
479,Land::N,дойду,land
480,Staat::N,государство,stat
481,König::N,король,konge
482,Macht::N,былаас,magt
483,Grenze::N,кыраныысса,grænse
484,Krieg::N,сэрии,krig
485,Feind::N,өстөөх,fjende
486,Gewalt::N,күүһүлээһин,vold
487,Kampf::N,охсуһуу,kamp
488,Bogen[Waffe]::N,ох,bue
489,Pfeil::N,ох,pil
490,Gewehr::N,саа,gevær
491,Fehler::N,сыыһа,fejl
492,Lüge::N,сымыйа,løgn
493,Schaden::N,хоромньу,skade
494,Unglück::N,алдьархай,uheld
495,Unglück::N,алдьархай,ulykke
496,Schuld::N,буруй,skyld
497,Alter::N,саас,alder
498,Schluss::N,тиһэх,slut
499,Schluss::N,тиһэх,slutning
500,Zeit::N,бириэмэ,tid
501,Tag::N,күн,dag
502,Morgen::N,сарсыарда,morgen
503,Mittag::N,күн ортото,middag
504,Abend::N,киэһэ,aften
505,Nacht::N,түүн,nat
506,Woche::N,нэдиэлэ,uge
507,Monat::N,ый,måned
508,Jahr::N,сыл,år
509,Jahr::N,дьыл,år
510,Frühling::N,саас,forår
511,Sommer::N,сайын,sommer
512,Herbst::N,күһүн,efterår
513,Winter::N,кыһын,vinter
514,Januar::N,тохсунньу,januar
515,Februar::N,олунньу,februar
516,März::N,кулун тутар,marts
517,April::N,муус устар ый,april
518,Mai::N,ыам ыйа,maj
519,Juni::N,бэс ыйа,juni
520,Juli::N,от ыйа,juli
521,August::N,атырдьах ыйа,august
522,September::N,балаҕан ыйа,september
523,Oktober::N,алтынньы,oktober
524,November::N,сэтинньи,november
525,Dezember::N,ахсынньы,december
526,Montag::N,бэнидиэнньик,mandag
527,Dienstag::N,оптуорунньук,tirsdag
528,Mittwoch::N,сэрэдэ,onsdag
529,Donnerstag::N,чэппиэр,torsdag
530,Freitag::N,бээтинсэ,fredag
531,Samstag::N,субуота,lørdag
532,Sonntag::N,баскыһыанньа,søndag
533,groß::A,бөдөҥ,stor
534,groß::A,улахан,stor
535,klein::A,кыр,lille
536,lang::A,уһун,lang
537,kurz::A,кылгас,kort
538,breit::A,кэтит,bred
539,schmal::A,кыараҕас,smal
540,dicht::A,хойуу,tæt
541,dick[Gegenstand]::A,суон,tyk
542,dick[Gegenstand]::A,хойуу,tyk
543,dünn::A,чараас,tynd
544,fein::A,бытархай,fin
545,fein::A,синньигес,fin
546,fest::A,бөҕө,fast
547,fest::A,кытаанах,fast
548,flach::A,хаптаҕай,flad
549,glatt::A,кылааккай,glat
550,hart::A,хатан,hård
551,hart::A,кытаанах,hård
552,weich::A,сымнаҕас,blød
553,rund::A,төгүрүк,rund
554,spitz::A,сытыы,spids
555,spitz::A,уһуктаах,spids
556,scharf::A,сытыы,skarp
557,stumpf::A,сыппах,sløv
558,stumpf::A,сыппах,stump
559,schwer::A,ыарахан,tung
560,schön::A,кыраһыабай,skøn
561,heiß::A,итии,hed
562,warm::A,ичигэс,varm
563,kalt::A,тымныы,kold
564,kühl::A,сөрүүн,kølig
565,frisch::A,ыраас,frisk
566,frisch::A,сөрүүн,frisk
567,frisch::A,тымныы,frisk
568,feucht::A,сииктээх,fugtig
569,nass::A,инчэҕэй,våd
570,trocken::A,кураан,tør
571,voll::A,толору,fuld
572,leer::A,иччитэх,tom
573,offen::A,аһаҕас,åben
574,geschlossen::A,бүтэй,lukket
575,sauber::A,сэбэр,ren
576,schmutzig::A,кирдээх,snavset
577,roh::A,сиикэй,rå
578,reif::A,буспут,moden
579,reif::A,сиппит-хоппут,moden
580,lecker::A,минньигэс,lækker
581,süß::A,минньигэс,sød
582,bitter::A,аһыы,bitter
583,sauer::A,аһыы,sur
584,hell::A,сырдык,lys
585,dunkel::A,хараҥа,mørk
586,schwarz::A,хара,sort
587,weiß::A,үрүҥ,hvid
588,weiß::A,маҥан,hvid
589,rot::A,кыһыл,rød
590,gelb::A,саһархай,gul
591,blau::A,күөх,blå
592,grün::A,күөх,grøn
593,grün::A,от күөҕэ,grøn
594,grau::A,сиэрэй,grå
595,bunt::A,эриэн,broget
596,billig::A,чэпчэки,billig
597,teuer::A,сыаналаах,dyr
598,wertvoll::A,сыаналаах,værdifuld
599,blind::A,хараҕа суох,blind
600,taub::A,дьүлэй,døv
601,kräftig::A,модун,kraftig
602,stark::A,күүстээх,stærk
603,schwach::A,мөлтөх,svag
604,fett::A,эмис,fed
605,schlank::A,дьылҕан,slank
606,schlank::A,дьыпсаҕай,slank
607,hübsch::A,олус кэрэ,køn
608,hübsch::A,көрүөхтэн үчүгэй,køn
609,böse::A,өһүөннээх,ond
610,böse::A,өһүөннээх,slem
611,dumm::A,акаары,dum
612,faul::A,нэс,doven
613,fleißig::A,кыһамньылаах,flittig
614,geizig::A,иҥсэлээх,gerrig
615,klug::A,өйдөөх,klog
616,geschickt::A,наһаа дьоҕурдаах,dygtig
617,geschickt::A,наһаа дьоҕурдаах,behændig
618,lieb::A,тапталлаах,rar
619,lustig::A,көрдөөх,lystig
620,sanft::A,намчы,blid
621,sanft::A,сымнаҕас,blid
622,hungrig::A,аччык,sulten
623,krank::A,ыалдьар,syg
624,nackt::A,сыгынньах,nøgen
625,traurig::A,санаарҕабыллаах,bedrøvet
626,lebendig::A,тыыннаах,levende
627,gut::A,үтүө,god
628,gut::A,үчүгэй,god
629,schlecht::A,куһаҕан,dårlig
630,richtig::A,сөп,rigtig
631,schlimm::A,сидьиҥ,slem
632,schlimm::A,быдьар,slem
633,wahr::A,кырдьык,sand
634,alt::A,былыргы,gammel
635,neu::A,саҥа,ny
636,ehemalig::A,урукку,forhenværende
637,alt[Lebewesen]::A,кырдьаҕас,gammel
638,jung::A,эдэр,ung
639,arm::A,дьадаҥы,fattig
640,reich::A,баай,rig
641,bekannt::A,билэр,kendt
642,berühmt::A,аатырбыт,berømt
643,fremd::A,атын,fremmed
644,verschieden::A,араас,forskellig
645,nah::A,чугас,nær
646,fern::A,ыраах,fjern
647,linker::A,хаҥас,venstre
648,rechter::A,уҥа,højre
649,anderer::A,атын,anden
650,erster::A,маҥнайгы,første
651,zweiter::A,иккис,anden
652,dritter::A,үһүс,tredje
653,letzter::A,тиһэх,sidste
654,allein::ADV,соҕотох,alene
655,auf einmal::ADV,биирдэ,på én gang
656,zusammen::ADV,холбуу,sammen
657,lange::ADV,уһуннук,længe
658,plötzlich::ADV,эмискэ,pludselig
659,sofort::ADV,тута,straks
660,später::ADV,хойут,senere
661,jetzt::ADV,билигин,nu
662,heute::ADV,бүгүн,i dag
663,morgen::ADV,сарсын,i morgen
664,bald::ADV,өтөр,snart
665,dann::ADV,кэнна,så
666,gestern::ADV,бэҕэһээ,i går
667,einst::ADV,биир төгүл,engang
668,einst::ADV,арай биирдэ,engang
669,damals::ADV,оччоҕо,dengang
670,danach::ADV,аары,derefter
671,danach::ADV,ол кэнниттэн,derefter
672,vorher::ADV,урут,før
673,vorher::ADV,урут,forud
674,zuerst::ADV,маҥнай,først
675,einmal::ADV,биирдэ,en gang
676,manchmal::ADV,арыт,sommetider
677,oft::ADV,чаастатык,ofte
678,immer::ADV,мэлдьи,altid
679,niemals::ADV,хаһан да,aldrig
680,hier::ADV,маныаха,her
681,hierhin::ADV,бэттэх,hid
682,hierhin::ADV,бэттэх,herhen
683,von hier::ADV,мантан,herfra
684,dort::ADV,онно,der
685,dorthin::ADV,онно,derhen
686,geradeaus::ADV,быһа,lige ud
687,geradeaus::ADV,быһаччы,lige ud
688,vorwärts::ADV,инники,fremad
689,rückwärts::ADV,төттөру,baglæns
690,zurück::ADV,төттөрү,tilbage
691,unten::ADV,аллара,nede
692,unten::ADV,аллара,forneden
693,hinab::ADV,аллара,ned
694,hinab::ADV,аллара,nedad
695,oben::ADV,үөһэ,oppe
696,oben::ADV,үөһэ,ovenpå
697,hinauf::ADV,өрө,op
698,hinauf::ADV,өрө,opad
699,hinauf::ADV,үөһэ,op
700,hinauf::ADV,үөһэ,opad
701,überall::ADV,бэйдиэ,overalt
702,nicht::ADV,буолбатах,ikke
703,ein wenig::ADV,кыратык,lidt
704,kaum::ADV,нэһиилэ,knap
705,kaum::ADV,нэһиилэ,næppe
706,sehr::ADV,бэрт,meget
707,sehr::ADV,наһаа,meget
708,so::ADV,оччо,så
709,so::ADV,оннук,så
710,noch::ADV,өссө,endnu
711,nur::ADV,эрэ,kun
712,nur::ADV,эрэ,bare
713,nur::ADV,сыччах,kun
714,nur::ADV,сыччах,bare
715,schon::ADV,бэлиэр,alt
716,schon::ADV,бэлиэр,allerede
717,wieder::ADV,эмиэ,igen
718,vergebens::ADV,таак,forgæves
719,vor::PRP,иннигэр,foran
720,vor::PRP,иннигэр,uden for
721,hinter::PRP,кэлин,bag
722,hinter::PRP,кэлин,bagved
723,unter::PRP,-ҕа,under
724,unter::PRP,оһох түгэҕэ,under
725,durch::PRP,курдары,gennem
726,durch::PRP,курдары,igennem
727,neben::PRP,аттыгар,ved siden af
728,zwischen::PRP,ыккардынан,mellem
729,wegen::PRP,уҥуортан,på grund af
730,dies::PRN,ити,dette
731,dies::PRN,бу,dette
732,das::PRN,били,det
733,alles::PRN,барыта,alt
734,ich::PRN,мин,jeg
735,du::PRN,эн,du
736,er::PRN,кнни,han
737,wir::PRN,биһиги,vi
738,ihr::PRN,эһиги,I
739,sie::PRN,кинилэр,de
740,was::FPRN,туох,hvad
741,wer::FPRN,ким,hvem
742,wo::FADV,ханна,hvor
743,wohin::FADV,ханна,hvorhen
744,wie::FADV,хайдах,hvordan
745,warum::FADV,тоҕо,hvorfor
746,wieviel::FNUM,төһө,hvor meget
747,eins::NUM,биир,én
748,zwei::NUM,икки,to
749,drei::NUM,үс,tre
750,vier::NUM,түөрт,fire
751,fünf::NUM,биэс,fem
752,sechs::NUM,алта,seks
753,sieben::NUM,сэттэ,syv
754,acht::NUM,аҕыс,otte
755,neun::NUM,тоҕус,ni
756,zehn::NUM,уон,ti
757,elf::NUM,уон биир,elleve
758,zwölf::NUM,уон икки,tolv
759,zwanzig::NUM,сүүрбэ,tyve
760,dreißig::NUM,отут,tredive
761,vierzig::NUM,түөрт уон,fyrre
762,vierzig::NUM,түөрт уон,fyrretyve
763,fünfzig::NUM,биэс уон,halvtreds
764,sechzig::NUM,алта уон,tres
765,siebzig::NUM,сэттэ уон,halvfjerds
766,achtzig::NUM,аҕыс уон,firs
767,neunzig::NUM,тоҕус уонус,halvfems
768,hundert::NUM,сүүс,hundrede
769,tausend::NUM,тыһыынча,tusind
770,und::CNJ,да,og
771,und::CNJ,уонна,og
772,und::CNJ,итиэннэ,og
773,oder::CNJ,эбэтэр,eller
774,stehen::V,тур,stå
775,sitzen::V,олор,sidde
776,liegen::V,сыт,ligge
777,hängen::V,санньылый,hænge
778,werden::V,буол,blive
779,passieren::V,буол,ske
780,passieren::V,буол,hænde
781,beginnen::V,саҕалан,begynde
782,enden::V,бүт,ende
783,wechseln::V,уларый,veksle
784,aufgehen[Sonne]::V,ой,gå op
785,aufgehen[Sonne]::V,ой,stå op
786,untergehen[Sonne]::V,киир,gå ned
787,scheinen[Sonne]::V,сырдат,skinne
788,donnern::V,эт,tordne
