,Concept_ID,te,cv
142,Kuh::N,ఆవు,ӗне
143,Bulle::N,గిత్త,вӑкӑр
144,Pferd::N,గుఱ్ఱము,лаша
145,Schaf::N,గొఱ్ఱె,сурӑх
146,Schwein::N,పంది,сысна
147,Hund::N,కుక్క,йытӑ
148,Katze::N,పిల్లి,кушак
149,Bär::N,ఎలుగుబంటి,упа
150,Eichhörnchen::N,ఉడుత,пакша
151,Elch::N,కణంజు,пӑши
152,Fuchs::N,గుంటనక్క,тилӗ
153,Hase::N,కుందేలు,куян
154,Hase::N,కుందేలు,мулкач
155,Maus::N,చిట్టెలుక,шӑши
156,Wolf::N,తోడేలు,кашкӑр
157,Vogel::N,పక్షి,кайӑк
158,Vogel::N,పక్షి,вӗҫен кайӑк
159,Schwarm::N,గుంపు,ушкӑн
160,Huhn::N,కోడిపిల్ల,чӑх
161,Huhn::N,కోడిపిల్ల,чӑхӑ
162,Hahn::N,కోడివుంజు,автан
163,Gans::N,ఆడుబాతు,хур
164,Adler::N,గ్రద్ద,ӑмӑрт кайӑк
165,Ente::N,పాట్టిబాతు,кӑвакал
166,Eule::N,గ్రుడ్లగూబ,тӑмана
167,Kranich::N,కొంగ,тӑрна
168,Krähe::N,కాకి,ула курак
169,Kuckuck::N,కోయల,куккук
170,Schwan::N,హంస,акӑш
171,Fisch::N,చేప,пулӑ
172,Barsch::N,ఒకచేఁప,уланкӑ
173,Hecht::N,గండుమీను,ҫӑрттан
174,Schlange[Tier]::N,పాము,ҫӗлен
175,Wurm::N,పురుగు,ӑман
176,Spinne::N,సాలె పురుగు,эрешмен
177,Ameise::N,చీమ,кӑткӑ
178,Laus::N,పేను,пыйтӑ
179,Mücke::N,చీకటీగ,вӑрӑм туна
180,Fliege::N,ఈగ,шӑна
181,Schmetterling::N,సీతాకోకచిలుక,лӗпӗш
182,Beere::N,కాయ,ҫырла
183,Apfel::N,ఆపిల్ పండు,улма
184,Apfel::N,ఆపిల్ పండు,пан улми
185,Pilz::N,కుక్కగొడుగు,кӑмпа
186,Zwiebel::N,నీరుల్లి,сухан
187,Saat::N,విత్తనము,вӑрӑ
188,Korn::N,గింజ,тӗшӗ
189,Korn::N,గింజ,пӗрчӗ
190,Heu::N,ఎండుగడ్డి,утӑ
191,Schale::N,పొట్టు,хупӑ
192,Grube::N,గొయ్యి,шӑтӑк
193,Falle::N,బోను,тапӑ
194,Falle::N,బోను,капкӑн
195,Schlinge::N,ఉరి,йӑлӑ
196,Spur::N,జాడ,йӗр
197,Asche::N,బూడిద,кӗл
198,Dreck::N,ముఱికి,пылчӑк
199,Eisen::N,ఇనుము,тимӗр
200,Gold::N,బంగారము,ылтӑн
201,Silber::N,వెండి,кӗмӗл
202,Kohle::N,నేలబొగ్గు,кӑмрӑк
203,Glas::N,గాజు,кӗленче
204,Lehm::N,బంకమన్ను,тӑм
205,Sand::N,ఇసుక,хӑйӑр
206,Mensch::N,నరుడు,ҫын
207,Mensch::N,నరుడు,этем
208,Mann::N,పురుమడు,ар
209,Frau::N,ఆడుది,хӗрарӑм
210,Kind::N,బిడ్డ,ача
211,Junge::N,బాలుడు,ача
212,Junge::N,బాలుడు,ар ҫын ача
213,Mädchen::N,బాలిక,хӗр ача
214,Familie::N,కుటుంబము,ҫемье
215,Familie::N,కుటుంబము,кил-йыш
216,Großvater::N,తాత,кукаҫи
217,Großmutter::N,అయ్యమ్మ,кукамай
218,Eltern::N,తల్లితండ్రులు,аҫа-ама
219,Vater::N,తండ్రి,атте
220,Mutter::N,తల్లి,анне
221,Sohn::N,కొడుకు,ывӑл
222,Tochter::N,కూతురు,хӗр
223,Bruder::N,పోదరుడు,ар тӑван
224,Schwester::N,సోదరి,аппа
225,Schwester::N,సోదరి,йӑмӑк
226,Onkel::N,మేనమామ,мучи
227,Onkel::N,మేనమామ,пичче
228,Tante::N,మేనత్త,аппа
229,Tante::N,పినతల్లి,аппа
230,Ehemann::N,భర్త,упӑшка
231,Ehefrau::N,భార్య,арӑм
232,Freude::N,సంతోషము,савӑнӑҫ
233,Freude::N,సంతోషము,хаваслӑх
234,Gelächter::N,నవ్వు,кулӑ
235,Glück::N,సంతోషము,телей
236,Glück::N,సంతోషము,ӑраскал
237,Kummer::N,దుఃఖము,хурлӑх
238,Wunsch::N,కోరిక,ӗмӗт
239,Wunsch::N,కోరిక,кӑмӑл
240,Lust::N,కోరిక,кӑмӑл
241,Geist::N,ఆత్మ,чун-чӗм
242,Geist::N,ఆత్మ,ыр-усал
243,Geist::N,ఆత్మ,чун хавалӗ
244,Gedanke::N,ఆలోచన,шухӑш
245,Gedächtnis::N,జ్ఞాపకము,ас
246,Verstand::N,మనస్సు,ӑс
247,Verstand::N,మనస్సు,ӑс-тӑн
248,Verstand::N,మనస్సు,ӑс-хакӑл
249,Sinn::N,అర్థము,тупсӑм
250,Sinn::N,అర్థము,пӗлтерӗш
251,Grund::N,కారణము,сӑлтав
252,Wahrheit::N,సత్యము,чӑнлӑх
253,Gespräch::N,పంభాషణ,калаҫу
254,Märchen::N,అద్భుతకథ,юмах
255,Erzählung::N,కథ,акалав
256,Erzählung::N,కథ,каласа пани
257,Nachricht::N,వార్త,хыпар
258,Neuigkeit::N,వార్త,ҫӗнӗ хыпар
259,Name::N,పేరు,ят
260,Rätsel::N,చిక్కు,сутмалли юмах
261,Rede::N,ఉపన్యాసము,сӑмах
262,Sprache::N,భాష,чӗлхе
263,Stimme::N,కంరథ్సని,сасӑ
264,Wort::N,మాట,сӑмах
265,Zeichen::N,గుర్తు,паллӑ
266,Ruf::N,పిలువు,йыхрав
267,Ruf::N,పిలువు,чӗнӳ
268,Lärm::N,సందడి,шав
269,Laut::N,ధ్వని,сасӑ
270,Ton::N,స్వరము,сасӑ
271,Lied::N,పాట,юрӑ
272,Ruhe::N,గాలిలేమి,канӑҫлӑх
273,Ruhe::N,గాలిలేమి,лӑпкӑлӑх
274,Leute::N,జనులు,ҫамрӑксем
275,Leute::N,జనులు,ҫамрӑк ҫынсем
276,Volk::N,జాతి,халӑх
277,Arbeit::N,పని,ӗҫхӗл
278,Arbeit::N,పని,ӗҫлев
279,Gast::N,అతిధి,хӑна
280,Geschenk::N,దానము,парне
281,Geschenk::N,దానము,кучченеҫ
282,Spiel::N,ఆట,вӑйӑ
283,Gesellschaft::N,జట్టు,общество
284,Hilfe::N,సాహాయ్యము,пулӑшу
285,Freund::N,స్నేహితుడు,тус
286,Kamerad::N,చెలికాడు,юлташ
287,Kamerad::N,చెలికాడు,тус
288,Angelegenheit::N,విషయము,ӗҫ
289,Anzahl::N,లెక్క,йыш
290,Anzahl::N,లెక్క,хисеп
291,Art::N,జాతి,тӗс
292,Stück::N,తునుక,татӑк
293,Teil::N,భాగము,пай
294,Hälfte::N,సగము,ҫурӑ
295,Kreis::N,వృత్తము,ункӑ
296,Kreis::N,వృత్తము,ҫавракӑш
297,Kreuz::N,సిలువ,хӗрес
298,Linie::N,గీత,йӗр
299,Strich::N,గీత,йӗр
300,Abstand::N,సందు,хушӑ
301,Entfernung::N,దూరము,хушӑ
302,Gegend::N,విస్తీర్ణము,вырӑн
303,Platz::N,ఎడము,хутлӑх
304,Ort::N,స్థలము,вырӑн
305,Seite::N,ప్రక్క,ен
306,Seite::N,ప్రక్క,аяк
307,Seite::N,ప్రక్క,айӑк
308,Mitte::N,నడిమి,варӑ
309,Gegenstand::N,పద్దు,япала
310,Sache::N,వస్తువు,япала
311,Rand::N,అంచు,вӗҫ
312,Rand::N,అంచు,хӗрӗ
313,Rand::N,అంచు,хӗрри
314,Kante::N,అంచు,хайкача
315,Kante::N,అంచు,хысак
316,Ecke::N,మూల,кӗтес
317,Spitze::N,మొన,вӗҫ
318,Ende::N,కొన,вӗҫ
319,Loch::N,రంధ్రము,шӑтӑк
320,Winkel::N,కోణము,кӗтес
321,Muster::N,మాదిరి,эреш
322,Größe::N,పరిమాణము,пысӑкӑш
323,Länge::N,పొడుగు,вӑрӑмӑш
324,Höhe::N,పొడుగు,ҫӳллӗш
325,Gewicht::N,భారము,виҫе
326,Gewicht::N,భారము,йывӑрӑш
327,Menge::N,మొత్తము,йыш
328,Haufen::N,రాశి,купа
329,Reihe::N,వరుస,рет
330,Boot::N,పడవ,кимӗ
331,Ruder::N,అడక,кӗсмен
332,Schlitten::N,సరవండ్లు,ҫуна
333,Ski::N,స్కీ,йӗлтӗр
334,Lagerfeuer::N,నెగడు,вут
335,Lagerfeuer::N,నెగడు,кӑвайт
336,Last::N,బరువు,сулмаклӑх
337,Last::N,బరువు,йывӑр япала
338,Gang::N,నడక,куҫӑм
339,Schritt::N,అడుగు,утӑм
340,Schritt::N,అడుగు,пусӑм
341,Norden::N,ఉత్తరదిక్కు,ҫурҫӗр
342,Süden::N,దక్షిణము,кӑнтӑр
343,Westen::N,పడమర,анӑҫ
344,Westen::N,పడమర,хӗвел анӑҫ
345,Osten::N,తూర్పు,хӗвел тухӑҫ
346,Holz::N,కొయ్య,йывӑҫ
347,Brett::N,పలక,хӑма
348,Platte::N,పలక,плита
349,Stütze::N,వాల్సేడ్లు,ура
350,Stange::N,స్తంభము,шерте
351,Stock::N,కఱ్ఱ,патак
352,Stab::N,కఱ్ఱ,шӑчӑ
353,Rohr::N,గొట్టము,пӑрӑх
354,Haus::N,ఇల్లు,ҫурт
355,Heim::N,స్వగృహము,кил
356,Ofen::N,పొయ్యి,кӑмака
357,Fußboden::N,నేల,урай
358,Tisch::N,మేజా,сӗтел
359,Stuhl::N,కుర్చీ,пукан
360,Wiege::N,ఉయ్యాల,сӑпка
361,Bett::N,పడక,кравать
362,Bett::N,మంచం,кравать
363,Regal::N,అటక,ҫӳлӗк
364,Regal::N,అటక,сентре
365,Kiste::N,వెట్టె,ещӗк
366,Kiste::N,వెట్టె,сунтӑх
367,Fenster::N,కిటికి,чӳрече
368,Tür::N,ద్వారము,алӑк
369,Tor::N,ద్వారము,хапха
370,Zaun::N,కంచె,хӳме
371,Dach::N,ఇంటివైకప్పు,тӑрӑ
372,Leiter::N,నిచ్చెన,пусма
373,Besen::N,చీపురుకట్ట,шӑпӑр
374,Spaten::N,పాఱ,кӗреҫе
375,Schaufel::N,పాఱ,кӗреҫе
376,Gabel::N,ముండ్లగరిటె,вилка
377,Löffel::N,గరిటె,кашӑк
378,Messer::N,కత్తి,ҫӗҫӗ
379,Nagel::N,మేకు,пӑта
380,Netz::N,వల,тетел
381,Haken::N,కొక్కెము,йӑрхах
382,Haken::N,కొక్కెము,ҫекӗл
383,Griff::N,పిడి,хӑлӑп
384,Schloss::N,తాళము,ҫӑра
385,Bild::N,చిత్రము,сӑн
386,Bild::N,చిత్రము,сӑнлӑх
387,Bild::N,చిత్రము,картина
388,Figur::N,రూపము,кӗлетке
389,Puppe::N,బొమ్మ,пукане
390,Beutel::N,సంచి,михӗ
391,Bündel::N,మూట,ҫыхӑ
392,Bündel::N,మూట,тӗрке
393,Tasche::N,సంచి,сумка
394,Eimer::N,చేద,витре
395,Deckel::N,మూత,хупӑ
396,Geschirr::N,వంటకాలు,савӑт-сапа
397,Sack::N,గోనెసంచి,михӗ
398,Tasse::N,గిన్నె,курка
399,Topf::N,కుండ,кастрюль
400,Kessel::N,నీరుకాచుపాత్ర,хуран
401,Essen::N,ఆహారము,апат
402,Nahrung::N,ఆహారము,апат-ҫимӗс
403,Speise::N,ఆహారము,апат
404,Speise::N,ఆహారము,ҫимӗҫ
405,Fleisch::N,మాంసము,аш
406,Fleisch::N,మాంసము,какай
407,Getreide::N,ధాన్యము,тырӑ
408,Brei::N,గుజ్జు,пӑтӑ
409,Brot::N,రొట్టె,ҫӑкӑр
410,Scheibe::N,బద్ద,чӗлӗ
411,Scheibe::N,బద్ద,касӑк
412,Fett::N,క్రొవ్వు,ҫу
413,Butter::N,వెన్న,ҫу
414,Öl::N,నూనె,ҫу
415,Salz::N,ఉప్పు,тӑвар
416,Suppe::N,చారు,яшка
417,Honig::N,తెనె,пыл
418,Milch::N,పాలు,сӗт
419,Tee::N,తేనీరు,чей
420,Leder::N,బాగుచేసివతోలు,сӑран
421,Wolle::N,ఉన్ని,ҫӑм
422,Stoff::N,బట్ట,тӗртӗм
423,Nadel::N,సూది,йӗп
424,Faden::N,దారము,ҫип
425,Knopf::N,బొత్తాము,тӳме
426,Knoten::N,ముడి,йӑлӑ
427,Farbe::N,రంగు,сӑрӑ
428,Kleidung::N,బట్టలు,тум
429,Kleidung::N,బట్టలు,ҫипуҫ
430,Kleidung::N,బట్టలు,тум-тир
431,Hemd::N,చొక్కాయ,кӗпе
432,Kragen::N,మాల,ҫуха
433,Ärmel::N,చొక్కాయచెయ్యి,ҫанӑ
434,Hose::N,ఇజారు,шӑлавар
435,Gürtel::N,పటకా,пиҫиххи
436,Mütze::N,టోపి,ҫӗлӗк
437,Schuh::N,పాదరక్ష,пушмак
438,Schuh::N,పాదరక్ష,ботинок
439,Stiefel::N,బూటు,атӑ
440,Ring::N,ఉంగరము,ҫӗрӗ
441,Band::N,నాడా,хаю
442,Band::N,నాడా,йӗсме
443,Kamm::N,దువ్వెన,тура
444,Spiegel::N,అద్దము,тӗкӗр
445,Spiegel::N,అద్దము,куҫ кӗски
446,Riemen::N,వాడా,чӗн
447,Schnur::N,దారము,кантра
448,Leine::N,వారు,касмӑк
449,Decke::N,కంబళి,утиял
450,Kissen::N,తలగడ,ҫытар
451,Kissen::N,తలగడ,минтер
452,Tuch::N,బట్ట,тутӑр
453,Handtuch::N,తువాలు,ал шӑлли
454,Kraft::N,బలము,вӑй
455,Kraft::N,బలము,хӑват
456,Stärke::N,శక్తి,хал
457,Stärke::N,శక్తి,хӑват
458,Gesundheit::N,ఆరోగ్యము,хал
459,Gesundheit::N,ఆరోగ్యము,сывлӑх
460,Krankheit::N,రోగము,чир
461,Schmerz::N,నొప్పి,ырату
462,Wunde::N,గాయము,суран
463,Fieber::N,జ్వరము,сив чир
464,Arznei::N,మందు,эмел
465,Brücke::N,వంతెన,кӗпер
466,Brunnen::N,బావి,ҫӑл
467,Brunnen::N,బావి,пусӑ
468,Brunnen::N,కూపము,ҫӑл
469,Brunnen::N,కూపము,пусӑ
470,Brunnen::N,నుయ్యి,ҫӑл
471,Brunnen::N,నుయ్యి,пусӑ
472,Weide::N,పచ్చికబయలు,ҫаран
473,Pfad::N,కాలిత్రోవ,йӗр
474,Pfad::N,కాలిత్రోవ,сукмак
475,Weg::N,మార్గము,ҫул
476,Weg::N,మార్గము,ҫул-йӗр
477,Straße::N,బాట,ҫӳрев
478,Straße::N,బాట,ҫул ҫӳрени
479,Dorf::N,గ్రామము,ял
480,Stadt::N,పట్టణము,хула
481,Brief::N,జాబు,ҫыру
482,Buch::N,పుస్తకము,кӗнеке
483,Buchstabe::N,అక్షరము,сас палли
484,Zeitung::N,వార్తాపత్రిక,хаҫат
485,Leben::N,ప్రాణము,пурнӑҫ
486,Tod::N,మరణము,вилӗм
487,Grab::N,సమాధి,масар шӑтӑкӗ
488,Kirche::N,క్రెస్తవులగుడి,чиркӳ
489,Sünde::N,పాపము,ҫылӑх
490,Gott::N,దేవుడు,турӑ
491,Arbeiter::N,పనిపాటుచేశేవాడు,рабочи
492,Chef::N,యజమానుడు,пуҫлӑх
493,Meister::N,కళాకారుడు,ӑста
494,Meister::N,కళాకారుడు,мастер
495,Arzt::N,వైద్యుడు,врач
496,Arzt::N,వైద్యుడు,тухтӑр
497,Lehrer::N,ఉపాధ్యాయుడు,учитель
498,Lehrer::N,ఉపాధ్యాయుడు,вӗрентекен
499,Geld::N,ద్రవ్యము,укҫа
500,Geschäft::N,వ్యాపారము,бизнес
501,Laden::N,అంగడి,магазин
502,Preis::N,వెల,хак
503,Ware::N,సరకులు,тавар
504,Nutzen::N,ప్రయోజనము,пайта
505,Reichtum::N,ధనము,мул
506,Welt::N,ప్రపంచము,тӗнче
507,Land::N,దేశము,ҫӗр-шыв
508,Staat::N,రాజ్యము,патшàлӑх
509,König::N,రాజు,король
510,Macht::N,అధికారము,власть
511,Grenze::N,సరిహద్దు,чикӗ
512,Krieg::N,యుద్ధము,вӑрҫӑ
513,Feind::N,శత్రువు,тӑшман
514,Gewalt::N,దౌర్జన్యము,ирӗксӗрлӳ
515,Kampf::N,పోట్లాట,кӗрешӳ
516,Bogen[Waffe]::N,విల్లు,ухӑ
517,Pfeil::N,బాణము,ҫӗмрен
518,Pfeil::N,బాణము,ухӑ йӗппи
519,Gewehr::N,తుపాకి,пӑшал
520,Fehler::N,తప్ప,йӑнӑш
521,Lüge::N,అసత్యము,суя
522,Lüge::N,అసత్యము,ултав
523,Schaden::N,నష్టము,сиен
524,Unglück::N,దురదృష్టము,шар
525,Unglück::N,దురదృష్టము,инкек
526,Schuld::N,తప్పు,айӑп
527,Alter::N,వయస్సు,ҫул шучӗ
528,Schluss::N,ముగింపు,пӗтни
529,Schluss::N,ముగింపు,пӗтмӗш
530,Zeit::N,కాలము,вӑхӑт
531,Tag::N,దినము,кун
532,Morgen::N,ఉదయము,ир
533,Mittag::N,మధ్యాహ్నము,кӑнтӑрла
534,Abend::N,సాయంకాలము,каҫ
535,Nacht::N,రత్రి,каҫ
536,Woche::N,వారము,эрне
537,Monat::N,నెల,уйӑх
538,Jahr::N,సంవత్సరము,ҫулталӑк
539,Frühling::N,వసంతకాలము,ҫур
540,Frühling::N,వసంతకాలము,ҫуркунне
541,Sommer::N,వేసవికాము,ҫу
542,Sommer::N,వేసవికాము,ҫулла
543,Herbst::N,ఆకురాలుకాలము,кӗр
544,Herbst::N,ఆకురాలుకాలము,кӗркунне
545,Winter::N,శీతకాలము,хӗл
546,Winter::N,శీతకాలము,хӗлле
547,Januar::N,జనవరి,январь
548,Februar::N,ఫిబ్రవరి,февраль
549,Februar::N,ఫిబ్రవరి,кӗҫӗн кӑрлач
550,März::N,మార్చి,март
551,März::N,మార్చి,пуш уйӑхӗ
552,April::N,ఏప్రిలు,апрель
553,Mai::N,మే,май
554,Juni::N,జూన్,июнь
555,Juli::N,జూలై,июль
556,August::N,ఆగస్టు,август
557,September::N,సెప్ఠెంబరు,сентябрь
558,September::N,సెప్ఠెంబరు,авӑн уйӑхӗ
559,Oktober::N,అక్టోబరు,октябрь
560,November::N,నవంబరు,ноябрь
561,Dezember::N,డిసెంబర్,раштав
562,Dezember::N,డిసెంబర్,декабрь
563,Montag::N,సోమవారము,тунти кун
564,Dienstag::N,మంగళవారము,ытлари кун
565,Mittwoch::N,బుధవారము,юн кун
566,Donnerstag::N,గురువారము,кӗҫнерни кун
567,Freitag::N,శుక్రవారము,эрне кун
568,Samstag::N,శనివారము,шӑмат кун
569,Sonntag::N,ఆదివారము,вырсарни кун
570,groß::A,గొప్పైన,пысӑк
571,klein::A,చిన్న,пӗчӗк
572,lang::A,పొడుగాటి,вӑрӑм
573,kurz::A,పొట్టి,кӗске
574,breit::A,వెడల్పైన,сарлака
575,schmal::A,ఇఱుకైన,ансӑр
576,dicht::A,దట్టమైన,йӑвӑ
577,dick[Gegenstand]::A,దట్టమైన,хулӑн
578,dünn::A,పలుచని,ҫинҫе
579,dünn::A,పలుచని,ҫӳхе
580,fein::A,నాజాకైన,тарай
581,fein::A,నాజాకైన,вӗлтӗрти
582,fest::A,దృడమైవ,тӗреклӗ
583,flach::A,చదువైన,лаптак
584,glatt::A,నున్నని,такӑр
585,hart::A,కఠినమైన,хытӑ
586,weich::A,మృదువైన,ҫемҫе
587,rund::A,గుండ్రని,ҫавра
588,spitz::A,మొనగల,шӗвӗр
589,scharf::A,పదనైన,ҫивӗч
590,stumpf::A,వాడిలేని,мӑка
591,stumpf::A,వాడిలేని,пуклак
592,stumpf::A,వాడిలేని,тӗрӗнчӗк
593,stumpf::A,వాడిలేని,ӑнкарусӑр
594,schwer::A,బరువ్తెన,йывӑр
595,schön::A,సుందరమైన,илемлӗ
596,heiß::A,వేడియైన,вӗри
597,warm::A,వెచ్చని,ӑшӑ
598,kalt::A,చల్లని,сивӗ
599,kühl::A,చల్లని,уҫӑ
600,frisch::A,తాజాయైన,уҫӑ
601,feucht::A,చెమ్మగానున్న,йӗпе
602,nass::A,తడిగామన్న,нӳрӗ
603,trocken::A,ఎండిన,типӗ
604,voll::A,నిండు,тулли
605,leer::A,శూన్యమైన,пушӑ
606,offen::A,తెఱచియున్న,уҫӑ
607,geschlossen::A,మూసిన,хупӑ
608,sauber::A,పరిశుద్ధమైన,таса
609,schmutzig::A,ముఱికియైన,пылчӑклӑ
610,schmutzig::A,ముఱికియైన,вараланчӑк
611,roh::A,పచ్చి,чӗрӗ
612,reif::A,పండివ,пулнӑ
613,reif::A,పండివ,пиҫӗхнӗ
614,reif::A,పండివ,аталаннӑ
615,reif::A,పండివ,пиҫсе ҫитнӗ
616,lecker::A,రుచి గల,тутлӑ
617,lecker::A,రుచి గల,техӗмлӗ
618,süß::A,తియ్యని,пылак
619,bitter::A,చేదైన,йӳҫӗ
620,sauer::A,పుల్లని,йӳҫӗ
621,sauer::A,పుల్లని,йӳҫек
622,sauer::A,పుల్లని,кӑвасак
623,hell::A,కాంతిగల,ҫутӑ
624,dunkel::A,చీకటియైన,тӗттӗм
625,schwarz::A,నల్లని,хура
626,weiß::A,తెలుపు,шурӑ
627,rot::A,ఎఱ్ఱని,хӗрлӗ
628,gelb::A,పసుపు పచ్చ,сарӑ
629,blau::A,నీలవర్ణము,кӑвак
630,grün::A,ఆకుపచ్చని,симӗс
631,grün::A,ఆకుపచ్చని,пиҫмен
