,Concept_ID,da,ml
66,Boden::N,jord,തറ
67,Boden::N,jord,നിലം
68,Erde::N,jord,മണ്ണ്
69,Staub::N,støv,പൊടി
70,Rauch::N,røg,പുക
71,Funke::N,gnist,തീപ്പൊരി
72,Feuer::N,ild,തീ
73,Licht::N,lys,വിളക്ക്
74,Licht::N,lys,സൂര്യപ്രകാശം
75,Schatten::N,skygge,തണൽ
76,Wetter::N,vejr,കാലാവസ്ഥ
77,Nebel::N,tåge,മൂടൽമഞ്ഞ്
78,Wolke::N,sky,മേഘം
79,Regen::N,regn,മഴ
80,Schnee::N,sne,മഞ്ഞ്
81,Eis::N,is,ഐസ്
82,Frost::N,frost,മൂടൽമഞ്ഞ്
83,Kälte::N,kulde,തണുപ്പ്
84,Hitze::N,hede,ചൂട്
85,Raureif::N,rimfrost,കോടമഞ്ഞ്
86,Regenbogen::N,regnbue,മഴവില്ല്
87,Donner::N,torden,ഇടി
88,Strömung::N,strømning,പ്രവാഹം
89,Tropfen::N,dråbe,തുള്ളി
90,Schaum::N,skum,നുര
91,Schmutz::N,snavs,അഴുക്ക്
92,See::N,sø,തടാകം
93,Sumpf::N,sump,ചതുപ്പുനിലം
94,Moor::N,mose,പാഴ്നിലം
95,Wiese::N,eng,പുൽത്തകിടി
96,Wald::N,skov,വനം
97,Wald::N,skov,കാട്
98,Hügel::N,høj,കുന്ന്
99,Hügel::N,bakke,കുന്ന്
100,Anhöhe::N,høj,ഉയർന്ന ഭൂമി
101,Anhöhe::N,bakke,ഉയർന്ന ഭൂമി
102,Berg::N,bjerg,പർവ്വതം
103,Gipfel::N,top,ഉച്ചകോടി
104,Höhle::N,hule,ഗുഹ
105,Abhang::N,skrænt,ചരിവ്
106,Abhang::N,skråning,ചരിവ്
107,Quelle::N,kilde,ഉറവിടം
108,Bach::N,bæk,അരുവി
109,Fluss::N,flod,നദി
110,Ufer::N,bred,തീരം
111,Küste::N,kyst,കടൽത്തീരം
112,Festland::N,fastland,കര
113,Meer::N,hav,കടൽ
114,Bucht::N,bugt,ഉൾക്കടല്
115,Insel::N,ø,ദ്വീപ്
116,Blume::N,blomst,പൂവ്
117,Gras::N,græs,പുല്ല്
118,Wurzel::N,rod,വേര്
119,Baum::N,træ,മരം
120,Stamm::N,stamme,തായ്ത്തടി
121,Rinde::N,bark,പട്ട
122,Ast::N,gren,ശാഖ
123,Zweig::N,kvist,ശാഖ
124,Blatt::N,blad,ഇല
125,Birke::N,birk,പൂവരശ്
126,Kiefer[Baum]::N,fyrretræ,പൈൻമരം
127,Weide[Baum]::N,piletræ,വില്ലോ
128,Tanne::N,gran,ദേവദാരു
129,Horn::N,horn,മൃഗത്തിൻറെ കൊമ്പ്
130,Feder::N,fjer,തൂവൽ
131,Fell::N,skind,മൃദുരോമം
132,Flügel::N,vinge,ചിറക്
133,Klaue::N,klov,നഖം
134,Kralle::N,klo,നഖം
135,Schwanz::N,hale,വാൽ
136,Ei::N,æg,മുട്ട
137,Nest::N,rede,കൂട്
138,Bau::N,bo,മാളം
139,Tier::N,dyr,മൃഗം
140,Herde::N,flok,കൂട്ടം
141,Kuh::N,ko,പശു
142,Bulle::N,tyr,കാള
143,Pferd::N,hest,കുതിര
144,Schaf::N,får,ആട്
145,Schwein::N,gris,പന്നി
146,Hund::N,hund,നായ്
147,Katze::N,kat,പൂച്ച
148,Bär::N,bjørn,കരടി
149,Eichhörnchen::N,egern,അണ്ണാൻ
150,Elch::N,elg,കടമാന്
151,Fuchs::N,ræv,കുറുക്കൻ
152,Hase::N,hare,മുയൽ
153,Maus::N,mus,ചുണ്ടലി
154,Wolf::N,ulv,ചെന്നായ
155,Vogel::N,fugl,പക്ഷി
156,Schwarm::N,sværm,കൂട്ടം
157,Huhn::N,høne,കോഴി
158,Hahn::N,hane,പൂവൻകോഴി
159,Gans::N,gås,അരയന്നം
160,Adler::N,ørn,കഴുകൻ
161,Ente::N,and,താറാവ്
162,Eule::N,ugle,മൂങ്ങ
163,Kranich::N,trane,കൊക്ക്
164,Krähe::N,krage,കാക്ക
165,Kuckuck::N,gøg,കുയിൽ
166,Schwan::N,svane,അരയന്നം
167,Fisch::N,fisk,മത്സ്യം
168,Barsch::N,aborre,ഒരിനം മത്സ്യം
169,Hecht::N,gedde,ഒരു മത്സ്യം
170,Schlange[Tier]::N,slange,പാമ്പ്
171,Wurm::N,orm,വിര
172,Spinne::N,edderkop,ചിലന്തി
173,Ameise::N,myre,ഉറുമ്പ്
174,Laus::N,lus,പേന്
175,Mücke::N,myg,മശകം
176,Fliege::N,flue,ഈച്ച
177,Schmetterling::N,sommerfugl,ചിത്രശലഭം
178,Beere::N,bær,ബെറി
179,Apfel::N,æble,ആപ്പിൾ
180,Pilz::N,svamp,കൂൺ
181,Zwiebel::N,løg,സവാള
182,Saat::N,sæd,വിത്ത്
183,Korn::N,korn,ധാന്യം
184,Heu::N,hø,വയ്ക്കോൽ
185,Schale::N,skræl,തൊലി
186,Grube::N,grav,കുഴി
187,Falle::N,fælde,കെണി
188,Schlinge::N,snare,കുടുക്ക്
189,Spur::N,spor,ചുവട്
190,Asche::N,aske,ചാരം
191,Dreck::N,snavs,അഴുക്ക്
192,Eisen::N,jern,ഇരുമ്പ്
193,Gold::N,guld,സ്വർണ്ണം
194,Silber::N,sølv,വെള്ളി
195,Kohle::N,kul,കൽക്കരി
196,Glas::N,glas,ഗ്ലാസ്
197,Lehm::N,ler,കളിമണ്ണ്
198,Sand::N,sand,മണൽ
199,Mensch::N,mennesge,മനുഷ്യർ
200,Mann::N,mand,പുരുഷൻ
201,Frau::N,kvinde,സ്ത്രീ
202,Kind::N,barn,കുഞ്ഞ്
203,Junge::N,dreng,ആൺകുട്ടി
204,Mädchen::N,pige,പെൺകുട്ടി
205,Familie::N,familie,കുടുംബം
206,Großvater::N,bedstefar,അപ്പൂപ്പൻ
207,Großmutter::N,bedstemor,അമ്മുമ്മ
208,Eltern::N,forældre,മാതാപിതാക്കള്
209,Vater::N,far,അച്ഛൻ
210,Mutter::N,mor,അമ്മ
211,Sohn::N,søn,മകൻ
212,Tochter::N,datter,മകൾ
213,Bruder::N,bror,ചേട്ടൻ
214,Bruder::N,bror,അനിയൻ
215,Schwester::N,søster,ചേച്ചി
216,Schwester::N,søster,അനിയത്തി
217,Onkel::N,onkel,അമ്മാവൻ
218,Tante::N,tante,മാമി
219,Ehemann::N,ægtemand,ഭർത്താവ്
220,Ehefrau::N,hustru,ഭാര്യ
221,Freude::N,glæde,ആഹ്ലാദം
222,Gelächter::N,latter,ചിരിയുടെ ശബ്ദം
223,Glück::N,lykke,സന്തോഷം
224,Glück::N,lykke,സന്തുഷ്ടി
225,Kummer::N,sorg,ശോകം
226,Wunsch::N,ønske,ആഗ്രഹം
227,Lust::N,lyst,ആഗ്രഹം
228,Geist::N,ånd,ചുറുചുറുക്ക്
229,Gedanke::N,tanke,ചിന്ത
230,Gedächtnis::N,hukommelse,ഓർമ്മശക്തി
231,Verstand::N,forstand,മനസ്സ്
232,Sinn::N,mening,അർത്ഥം
233,Sinn::N,betydning,അർത്ഥം
234,Grund::N,grund,കാരണം
235,Wahrheit::N,sandhed,സത്യം
236,Gespräch::N,samtale,സല്ലാപം
237,Märchen::N,eventyr,യക്ഷിക്കഥ
238,Erzählung::N,fortælling,കഥ
239,Nachricht::N,efterretning,സന്ദേശം
240,Neuigkeit::N,nyhed,വാർത്ത
241,Name::N,navn,പേര്
242,Rätsel::N,gåde,പ്രഹേളിക
243,Rede::N,tale,സംസാരം
244,Sprache::N,sprog,ഭാഷ
245,Stimme::N,stemme,സ്വരം
246,Wort::N,ord,വാക്ക്
247,Zeichen::N,tegn,സംജ്ഞ
248,Ruf::N,råb,വിളി
249,Lärm::N,larm,ആരവം
250,Laut::N,lyd,ശബ്ദം
251,Ton::N,tone,സ്വരഭേദം
252,Lied::N,sang,പാട്ട്
253,Ruhe::N,ro,നിശ്ചലത
254,Ruhe::N,hvile,നിശ്ചലത
255,Leute::N,folk,ജനങ്ങൾ
256,Leute::N,mennesker,ജനങ്ങൾ
257,Volk::N,folk,രാഷ്ടം
258,Arbeit::N,arbejde,ജോലി
259,Gast::N,gæst,അതിലി
260,Geschenk::N,gave,സമ്മാനം
261,Spiel::N,leg,കളി
262,Gesellschaft::N,selskab,കൂട്ടായ്മ
263,Hilfe::N,hjælp,സഹായം
264,Freund::N,ven,സുഹൃത്ത്
265,Kamerad::N,kammerat,കൂട്ടാളി
266,Angelegenheit::N,sag,കാര്യം
267,Angelegenheit::N,anliggende,കാര്യം
268,Anzahl::N,antal,എണ്ണം
269,Art::N,art,തരം
270,Stück::N,stykke,കഷണം
271,Teil::N,del,ഭാഗം
272,Hälfte::N,halvdel,പകുതി
273,Kreis::N,cirkel,വൃത്തം
274,Kreuz::N,kors,കുരിശടയാളം
275,Kreuz::N,kryds,കുരിശടയാളം
276,Linie::N,linie,വര
277,Linie::N,linie,രേഖ
278,Strich::N,streg,പക്ഷാഘാതം
279,Abstand::N,afstand,വിടവ്
280,Entfernung::N,afstand,അകലം
281,Gegend::N,egn,പ്രദേശം
282,Platz::N,plads,ഇടം
283,Ort::N,sted,സ്ഥലം
284,Seite::N,side,വശം
285,Mitte::N,midte,മധ്യസ്ഥാനം
286,Gegenstand::N,genstand,സാധനം
287,Sache::N,sag,വസ്തു
288,Rand::N,rand,തൊങ്ങൽ
289,Kante::N,kant,അറ്റം
290,Ecke::N,hjørne,മൂല
291,Spitze::N,spids,അഗ്രം
292,Ende::N,ende,അവസാനം
293,Loch::N,hul,ദ്വാരം
294,Winkel::N,vinkel,കോൺ
295,Muster::N,mønster,ക്രമം
296,Größe::N,størrelse,വലുപ്പം
297,Länge::N,længde,നീളം
298,Höhe::N,højde,ഉയരം
299,Gewicht::N,vægt,കട്ടി
300,Menge::N,mængde,അളവ്
301,Haufen::N,bunke,കൂമ്പാരം
302,Reihe::N,række,വരി
303,Boot::N,båd,ബോട്ട്
304,Ruder::N,åre,പങ്കായം
305,Schlitten::N,kælk,ഉരുളില്ലാവണ്ടി
306,Schlitten::N,slæde,ഉരുളില്ലാവണ്ടി
307,Ski::N,ski,ഹിമപാദുകം
308,Lagerfeuer::N,lejrbål,തീ
309,Last::N,last,ഭാരം
310,Last::N,byrde,ഭാരം
311,Gang::N,gang,നടത്തം
312,Schritt::N,skridt,ചുവട്
313,Norden::N,nord,വടക്ക്
314,Süden::N,syd,തെക്ക്
315,Westen::N,vest,പടിഞ്ഞാറ്
316,Osten::N,øst,കിഴക്ക്
317,Holz::N,træ,തടി
318,Brett::N,bræt,ബോർഡ്
319,Platte::N,plade,തകിട്
320,Stütze::N,støtte,താങ്ങ്
321,Stange::N,stang,കമ്പ്
322,Stock::N,stok,വടി
323,Stab::N,stav,കുറുവടി
324,Rohr::N,rør,കുഴൽ
325,Haus::N,hus,വീട്
326,Heim::N,hjem,വീട്
327,Ofen::N,ovn,സ്റ്റൌ
328,Fußboden::N,gulv,തറ
329,Tisch::N,bord,മേശ
330,Stuhl::N,stol,കസേര
331,Wiege::N,vugge,തൊട്ടിൽ
332,Bett::N,seng,കിടക്ക
333,Regal::N,reol,ഷെൽഫ്
334,Kiste::N,kasse,പെട്ടി
335,Fenster::N,vindue,ജനൽ
336,Tür::N,dør,വാതിൽ
337,Tor::N,port,കവാടം
338,Zaun::N,stakit,വേലി
339,Dach::N,tag,മേൽക്കുര
340,Leiter::N,stige,ഏണി
341,Besen::N,kost,ചൂല്
342,Spaten::N,spade,തൂമ്പ
343,Schaufel::N,skovl,തൂമ്പ
344,Gabel::N,gaffel,മുൾക്കത്തി
345,Löffel::N,ske,സ്പൂൺ
346,Messer::N,kniv,കത്തി
347,Nagel::N,søm,ആണി
348,Netz::N,net,വല
349,Haken::N,krog,കൊളുത്ത്
350,Griff::N,tag,കൈപ്പിടി
351,Griff::N,håndtag,കൈപ്പിടി
352,Schloss::N,lås,പൂട്ട്
353,Bild::N,billede,ചിത്രം
354,Figur::N,figur,കണക്ക്
355,Puppe::N,dukke,പാവ
356,Beutel::N,pose,ബാഗ്
357,Bündel::N,bylt,കെട്ട്
358,Bündel::N,bundt,കെട്ട്
359,Tasche::N,taske,ബാഗ്
360,Eimer::N,spand,ബക്കറ്റ്
361,Deckel::N,låg,ഉറ
362,Geschirr::N,husgeråd,പിഞ്ഞാണം
363,Sack::N,sæk,ചാക്ക്
364,Tasse::N,kop,കപ്പ്
365,Topf::N,gryde,പാത്രം
366,Kessel::N,kedel,കെറ്റ്ല്
367,Essen::N,måltid,ആഹാരസമയം
368,Nahrung::N,mad,ഭക്ഷണം
369,Nahrung::N,næring,ഭക്ഷണം
370,Speise::N,ret,ഡിഷ്
371,Fleisch::N,kød,മാംസം
372,Getreide::N,korn,ചോളം
373,Brei::N,grød,കഞ്ഞി
374,Brot::N,brød,റോട്ടി
375,Scheibe::N,skive,തുണ്ട്
376,Fett::N,fedt,കൊഴുപ്പ്
377,Butter::N,smør,വെണ്ണ
378,Öl::N,olie,എണ്ണ
379,Salz::N,salt,ഉപ്പ്
380,Suppe::N,suppe,സൂപ്പ്
381,Honig::N,honning,തേൻ
382,Milch::N,mælk,പാൽ
383,Tee::N,te,ചായ
384,Leder::N,skind,തുകൽ
385,Wolle::N,uld,കമ്പിളി
386,Stoff::N,stof,തുണി
387,Nadel::N,nål,സൂചി
388,Faden::N,tråd,നൂല്
389,Knopf::N,knap,ബട്ടൺ
390,Knoten::N,knude,കുരുക്ക്
391,Farbe::N,farve,പെയിൻറ്
392,Kleidung::N,påklædning,വസ്ത്രങ്ങൾ
393,Hemd::N,skjorte,ഷർട്ട്
394,Kragen::N,krave,കുപ്പായക്കഴുത്ത്
395,Ärmel::N,ærme,കുപ്പായക്കൈ
396,Hose::N,bukser,ട്രൌസർ
397,Gürtel::N,bælte,ബെൽറ്റ്
398,Mütze::N,hue,തൊപ്പി
399,Schuh::N,sko,ഷൂ
400,Stiefel::N,støvle,ബൂട്ട്
401,Ring::N,ring,മോതിരം
402,Band::N,bånd,റിബൺ
403,Kamm::N,kam,ചീപ്പ്
404,Spiegel::N,spejl,കണ്ണാടി
405,Riemen::N,rem,സ്ട്രാപ്പ്
406,Schnur::N,snor,ചരട്
407,Leine::N,snor,കെട്ടാനുള്ള തോൽവാർ
408,Decke::N,tæppe,പുതപ്പ്
409,Kissen::N,pude,തലയിണ
410,Tuch::N,sjaltørklæde,സ്കാർഫ്
411,Handtuch::N,håndklæde,തോർത്ത്
412,Kraft::N,kraft,ശക്തി
413,Stärke::N,styrke,ശക്തി
414,Gesundheit::N,sundhed,ആരോഗ്യം
415,Krankheit::N,sygdom,അസുഖം
416,Schmerz::N,smerte,വേദന
417,Wunde::N,sår,മുറിവ്
418,Fieber::N,feber,പനി
419,Arznei::N,medicin,മരുന്ന്
420,Arznei::N,lægemiddel,മരുന്ന്
421,Brücke::N,bro,പാലം
422,Brunnen::N,brønd,കിണർ
423,Weide::N,græsgang,മേച്ചൽ
424,Pfad::N,sti,വഴി
425,Weg::N,vej,വഴി
426,Straße::N,gade,റോഡ്
427,Dorf::N,landsby,ഗ്രാമം
428,Stadt::N,by,നഗരം
429,Brief::N,brev,കത്ത്
430,Buch::N,bog,പുസ്തകം
431,Buchstabe::N,bogstav,അക്ഷരം
432,Zeitung::N,avis,വർത്തമാനപത്രം
433,Leben::N,liv,ജീവൻ
434,Tod::N,død,മരണം
435,Grab::N,grav,ശവക്കുഴി
436,Kirche::N,kirke,പള്ളി
437,Sünde::N,synd,പാപം
438,Gott::N,gud,ദൈവം
439,Arbeiter::N,arbejder,ജോലിക്കാരൻ
440,Chef::N,chef,മേധാവി
441,Meister::N,mester,യജമാനൻ
442,Arzt::N,læge,ഡോക്ടർ
443,Lehrer::N,lærer,അധ്യാപകൻ
444,Geld::N,penge,പണം
445,Geschäft::N,forretning,ബിസിനസ്
446,Laden::N,butik,കട
447,Laden::N,forretning,കട
448,Preis::N,pris,വില
449,Ware::N,vare,ചരക്ക്
450,Nutzen::N,nytte,ലാഭം
451,Reichtum::N,rigdom,ധനം
452,Welt::N,verden,ലോകം
453,Land::N,land,രാജ്യം
454,Staat::N,stat,രാജ്യം
455,König::N,konge,രാജാവ്
456,Macht::N,magt,അധികാരം
457,Grenze::N,grænse,അതിർത്തി
458,Krieg::N,krig,യുദ്ധം
459,Feind::N,fjende,ശത്രു
460,Gewalt::N,vold,അക്രമം
461,Kampf::N,kamp,പോരാട്ടം
462,Bogen[Waffe]::N,bue,വില്ല്
463,Pfeil::N,pil,അമ്പ്
464,Gewehr::N,gevær,തോക്ക്
465,Fehler::N,fejl,പിശക്
466,Lüge::N,løgn,കള്ളം
467,Schaden::N,skade,കേടുപാട്
468,Unglück::N,uheld,ദൌർഭാഗ്യം
469,Unglück::N,ulykke,ദൌർഭാഗ്യം
470,Schuld::N,skyld,തെറ്റ്
471,Alter::N,alder,വയസ്സ്
472,Schluss::N,slut,നിഗമനം
473,Schluss::N,slutning,നിഗമനം
474,Zeit::N,tid,സമയം
475,Tag::N,dag,ദിവസം
476,Morgen::N,morgen,പ്രഭാതം
477,Mittag::N,middag,ഉച്ച
478,Abend::N,aften,സായാഹ്നം
479,Nacht::N,nat,രാത്രി
480,Woche::N,uge,ആഴ്ച
481,Monat::N,måned,മാസം
482,Jahr::N,år,വർഷം
483,Frühling::N,forår,വസന്തം
484,Sommer::N,sommer,വേനൽ
485,Herbst::N,efterår,ശരത്കാലം
486,Winter::N,vinter,ശൈത്യം
487,Januar::N,januar,ജനുവരി
488,Februar::N,februar,ഫെബ്രുവരി
489,März::N,marts,മാർച്ച്
490,April::N,april,ഏപ്രിൾ മാസം
491,Mai::N,maj,മെയ് മാസം
492,Juni::N,juni,ജൂൺ
493,Juli::N,juli,ജൂലൈ
494,August::N,august,ആഗസ്റ്റ്
495,September::N,september,സെപ്തംബർ
496,Oktober::N,oktober,ഒക്ടോബർ
497,November::N,november,നവംബർ
498,Dezember::N,december,ഡിസംബർ
499,Montag::N,mandag,തിങ്കളാഴ്ച
500,Dienstag::N,tirsdag,ചൊവ്വ
501,Mittwoch::N,onsdag,ബുധനാഴ്ച
502,Donnerstag::N,torsdag,വ്യാഴാഴ്ച
503,Freitag::N,fredag,വെള്ളിയാഴ്ച
504,Samstag::N,lørdag,ശനിയാഴ്ച
505,Sonntag::N,søndag,ഞായറാഴ്ച
506,groß::A,stor,വലിയ
507,klein::A,lille,ചെറിയ
508,lang::A,lang,നീണ്ട
509,kurz::A,kort,ഹ്രസ്വമായ
510,breit::A,bred,വിശാലമായ
511,schmal::A,smal,ഇടുങ്ങിയ
512,dicht::A,tæt,നിബിഡമായ
513,dick[Gegenstand]::A,tyk,തടിച്ച
514,dünn::A,tynd,മെലിഞ്ഞ
515,fein::A,fin,നേർത്ത
516,fest::A,fast,ഉറപ്പുള്ള
517,flach::A,flad,പരന്ന
518,glatt::A,glat,മിനുസമുള്ള
519,hart::A,hård,കട്ടിയുള്ള
520,weich::A,blød,മൃദുവായ
521,rund::A,rund,വട്ടത്തിലുള്ള
522,spitz::A,spids,മുനയുള്ള
523,scharf::A,skarp,മൂർച്ചയുള്ള
524,stumpf::A,sløv,തുറന്നടിക്കുന്ന
525,stumpf::A,stump,തുറന്നടിക്കുന്ന
526,schwer::A,tung,ഭാരമുള്ള
527,schön::A,skøn,മനോഹരമായ
528,heiß::A,hed,ചൂടുള്ള
529,warm::A,varm,ചൂടുള്ള
530,kalt::A,kold,തണുത്ത
531,kühl::A,kølig,തണുപ്പുള്ള
532,frisch::A,frisk,ശുദ്ധമായ
533,feucht::A,fugtig,ഈറനുള്ള
534,nass::A,våd,നനഞ്ഞ
535,trocken::A,tør,വരണ്ട
536,voll::A,fuld,നിറയെ
537,leer::A,tom,ഒഴിഞ്ഞ
538,offen::A,åben,തുറന്ന
539,geschlossen::A,lukket,അടച്ച
540,sauber::A,ren,വൃത്തിയുള്ള
541,schmutzig::A,snavset,അഴുക്കുനിറഞ്ഞ
542,roh::A,rå,അസംസ്കൃതമായ
543,reif::A,moden,പഴുത്ത
544,lecker::A,lækker,രുചികരമായ
545,süß::A,sød,മധുരമുള്ള
546,bitter::A,bitter,കടുത്ത
547,sauer::A,sur,പുളിപ്പുള്ള
548,hell::A,lys,ജ്വലിക്കുന്ന
549,dunkel::A,mørk,ഇരുണ്ട
550,schwarz::A,sort,കറുത്ത
551,weiß::A,hvid,വെളുത്ത
552,rot::A,rød,ചുവന്ന
553,gelb::A,gul,മഞ്ഞനിറമായ
554,blau::A,blå,നീലനിറമുള്ള
555,grün::A,grøn,പച്ചനിറമുള്ള
556,grau::A,grå,ചാരനിറത്തിലുള്ള
557,bunt::A,broget,വർണ്ണശബളമായ
558,billig::A,billig,വിലകുറഞ്ഞ
559,teuer::A,dyr,ചെലവേറിയ
560,wertvoll::A,værdifuld,വിലപിടിപ്പുള്ള
561,blind::A,blind,അന്ധനായ
562,taub::A,døv,കേൾവിക്കുറവുള്ള
563,kräftig::A,kraftig,ശക്തിയുള്ള
564,stark::A,stærk,ബലമുള്ള
565,schwach::A,svag,ക്ഷീണിച്ച
566,fett::A,fed,കൊഴുപ്പുള്ള
567,schlank::A,slank,മെലിഞ്ഞ
568,hübsch::A,køn,മനോഹരമായ
569,böse::A,ond,പാപിയായ
570,böse::A,slem,പാപിയായ
571,dumm::A,dum,വിവരംകെട്ട
572,faul::A,doven,അലസനായ
573,fleißig::A,flittig,അദ്ധ്വാനശീലമുള്ള
574,geizig::A,gerrig,പിശുക്കനായ
575,klug::A,klog,ബുദ്ധിസാമർഥ്യമുള്ള
576,geschickt::A,dygtig,പ്രതിഭാശാലി
577,geschickt::A,behændig,പ്രതിഭാശാലി
578,lieb::A,rar,പ്രിയപ്പെട്ട
579,lustig::A,lystig,ആനന്ദകരമായ
580,sanft::A,blid,സൌമ്യമായ
581,hungrig::A,sulten,വിശപ്പുള്ള
582,krank::A,syg,അസുഖമുള്ള
583,nackt::A,nøgen,നഡമായ
584,traurig::A,bedrøvet,വിഷമമുള്ള
585,lebendig::A,levende,ഉപജീവനം
586,gut::A,god,നല്ല
587,schlecht::A,dårlig,മോശമായ
588,richtig::A,rigtig,ശരിയായ
589,schlimm::A,slem,വൃത്തികെട്ട
590,wahr::A,sand,ശരിയായ
591,alt::A,gammel,പഴയ
592,neu::A,ny,പുതിയ
593,ehemalig::A,forhenværende,മുൻ
594,alt[Lebewesen]::A,gammel,വയസ്സുള്ള
595,jung::A,ung,കൌമാരമായ
596,arm::A,fattig,പാവപ്പെട്ട
597,reich::A,rig,സമ്പന്നമായ
598,bekannt::A,kendt,പരിചിതമായ
599,berühmt::A,berømt,പ്രശസ്തനായ
600,fremd::A,fremmed,വൈദേശികമായ
601,verschieden::A,forskellig,വ്യത്യസ്തമായ
602,nah::A,nær,അരികത്തുള്ള
603,fern::A,fjern,അകലെയുള്ള
604,linker::A,venstre,അവശേഷിച്ച
605,rechter::A,højre,വലത്തേ
606,anderer::A,anden,മറ്റുള്ള
607,erster::A,første,ആദ്യത്തെ
608,zweiter::A,anden,രണ്ടാം
609,dritter::A,tredje,മൂന്നാമത്
610,letzter::A,sidste,അവസാനത്തെ
611,allein::ADV,alene,തനിച്ചുള്ള
612,auf einmal::ADV,på én gang,ഉടന്
613,zusammen::ADV,sammen,ഒരുമിച്ച
614,lange::ADV,længe,നീണ്ട_കാലത്തേയ്ക്ക്
615,plötzlich::ADV,pludselig,പെട്ടെന്ന്
616,sofort::ADV,straks,തത്ക്ഷണം
617,später::ADV,senere,പിന്നീട്
618,jetzt::ADV,nu,ഇപ്പോൾ
619,heute::ADV,i dag,ഇന്ന്
620,morgen::ADV,i morgen,നാളെ
621,bald::ADV,snart,ഉടനെ
622,dann::ADV,så,അപ്പോൾ
623,gestern::ADV,i går,ഇന്നലെ
624,einst::ADV,engang,പണ്ടൊരിക്കല്
625,damals::ADV,dengang,അപ്പോൾ
626,danach::ADV,derefter,പിന്നീട്
627,vorher::ADV,før,മുൻപ്
628,vorher::ADV,forud,മുൻപ്
629,zuerst::ADV,først,ആദ്യം
630,einmal::ADV,en gang,ഒരിക്കൽ
631,manchmal::ADV,sommetider,ചിലപ്പോൾ
632,oft::ADV,ofte,പലപ്പോഴും
633,immer::ADV,altid,എപ്പോഴും
634,niemals::ADV,aldrig,ഒരിക്കലും
635,hier::ADV,her,ഇവിടെ
636,hierhin::ADV,hid,ഇവിടേക്ക്
637,hierhin::ADV,herhen,ഇവിടേക്ക്
638,von hier::ADV,herfra,ഇവിടെനിന്ന്
639,dort::ADV,der,അവിടെ
640,dorthin::ADV,derhen,അവിടേക്ക്
641,geradeaus::ADV,lige ud,മുമ്പിൽ
642,geradeaus::ADV,lige ud,മുമന്നോട്ട്
643,vorwärts::ADV,fremad,മുന്നോട്ട്
644,rückwärts::ADV,baglæns,തലതിരിച്ച്
645,zurück::ADV,tilbage,പുറകിലേക്ക്
646,unten::ADV,nede,താഴെ
647,unten::ADV,forneden,താഴെ
648,hinab::ADV,ned,താഴേക്ക്
649,hinab::ADV,nedad,താഴേക്ക്
