,Concept_ID,te,mdf
55,Hunger::N,ఆకలి,вачеши
56,Träne::N,కన్నీటిచుక్క,сельмове́дь
57,Geschmack::N,రుచి,таньф
58,Geruch::N,వాసన,шине
59,Schlaf::N,నిద్ర,удома́
60,Traum::N,కల,он
61,Himmel::N,ఆకాశము,менель
62,Sonne::N,సూర్యుడు,ши
63,Mond::N,చంద్రుడు,ков
64,Stern::N,నక్షత్రము,тяште
65,Luft::N,గాలి,кожф
66,Wind::N,వీచుచున్నగాలి,варма
67,Welle::N,అల,тавла
68,Wasser::N,నీరు,ведь
69,Stein::N,ఱాయి,кев
70,Boden::N,నేల,мода
71,Boden::N,నేల,потмакс
72,Erde::N,మన్ను,мода
73,Erde::N,మన్ను,мастор
74,Staub::N,దుమ్ము,пуль
75,Rauch::N,పొగ,качам
76,Funke::N,అగ్నికణము,ця́тка
77,Feuer::N,అగ్ని,тол
78,Licht::N,కాంతి,ва́лда
79,Schatten::N,నీడ,цильф
80,Wetter::N,వాతావరణ స్థితి,уша
81,Nebel::N,పొగమంచు,тума́н
82,Wolke::N,మేఘము,ковол
83,Regen::N,వాన,пизем
84,Schnee::N,హిమము,лов
85,Eis::N,మంచుగడ్డ,эй
86,Frost::N,పేరిన మంచు,ке́льме
87,Kälte::N,చలి,якшама
88,Hitze::N,వేడిమి,пси
89,Raureif::N,మంచు,леш
90,Regenbogen::N,ఇంద్రధనుస్సు,а́тямъёнга
91,Donner::N,ఉరుము,атям
92,Strömung::N,ప్రవాహము,шудема́
93,Tropfen::N,చుక్క,путькс
94,Tropfen::N,చుక్క,пътняфкс
95,Schaum::N,నురుగు,шов
96,Schmutz::N,మైల,ърда́з
97,See::N,సరస్సు,эрьхке
98,Sumpf::N,చిత్తడినేల,шяй
99,Moor::N,చిత్తడినేల,шяй
100,Wiese::N,పచ్చిక బయలు,луга
101,Wald::N,అడవి,вирь
102,Hügel::N,చివ్నకొండ,губо́р
103,Hügel::N,చివ్నకొండ,пандоня
104,Anhöhe::N,కొండ,губо́р
105,Berg::N,పర్వతము,панда
106,Gipfel::N,శిఖరము,пря
107,Höhle::N,గుహ,у́нда
108,Abhang::N,ఏటవాలు,па́нда ша́ма
109,Quelle::N,మూలము,эшиня
110,Bach::N,కాలువ,шудерькс
111,Fluss::N,నది,ляй
112,Ufer::N,తీరము,търва́
113,Küste::N,తీరము,ляйтърва́
114,Festland::N,భూమి,мода
115,Meer::N,సముద్రము,моря
116,Bucht::N,మరుగు,ведьуське
117,Insel::N,దీవి,цёнга
118,Blume::N,పుష్పము,панчф
119,Gras::N,పచ్చగడ్డి,тише
120,Wurzel::N,వేరు,юр
121,Wurzel::N,వేరు,ункс
122,Baum::N,చెట్టు,шуфта
123,Stamm::N,చెట్టుబోదె,ро́нга
124,Rinde::N,చెట్టుపట్ట,кер
125,Ast::N,కొమ్మ,морга
126,Zweig::N,చివుకు,тарад
127,Blatt::N,ఆకు,лопа
128,Birke::N,తరహా చెట్టు,ке́лу
129,Kiefer[Baum]::N,దేవదారు చెట్టు,пиче
130,Weide[Baum]::N,జాతిచెట్టు,каль
131,Tanne::N,దేవదారుచెట్టు,куз
132,Horn::N,కొమ్ము,сюра
133,Feder::N,ఈక,толга
134,Fell::N,తోలు,кедь
135,Flügel::N,ఱెక్క,паця
136,Klaue::N,వంకరగోరు,кенже
137,Kralle::N,వంకరగోరు,кенже
138,Schwanz::N,తోక,пула
139,Ei::N,గ్రుడ్డు,ал
140,Nest::N,పక్షిగూడు,пиза
141,Bau::N,గుహ,пиза
142,Tier::N,జంతువు,жува́та
143,Herde::N,మంద,нал
144,Herde::N,మంద,стада
145,Kuh::N,ఆవు,скал
146,Kuh::N,ఆవు,тракс
147,Bulle::N,గిత్త,бука
148,Pferd::N,గుఱ్ఱము,лишме
149,Schaf::N,గొఱ్ఱె,уча́
150,Schwein::N,పంది,тува
151,Hund::N,కుక్క,пине
152,Katze::N,పిల్లి,катоня
153,Katze::N,పిల్లి,аваката
154,Bär::N,ఎలుగుబంటి,офта
155,Eichhörnchen::N,ఉడుత,ур
156,Elch::N,కణంజు,ся́рда
157,Fuchs::N,గుంటనక్క,келазь
158,Hase::N,కుందేలు,ну́мол
159,Maus::N,చిట్టెలుక,шеер
160,Wolf::N,తోడేలు,върьгаз
161,Vogel::N,పక్షి,нармонь
162,Schwarm::N,గుంపు,ко́вол
163,Schwarm::N,గుంపు,ме́швеле
164,Huhn::N,కోడిపిల్ల,сараз
165,Hahn::N,కోడివుంజు,а́тякш
166,Gans::N,ఆడుబాతు,маци
167,Adler::N,గ్రద్ద,куцькан
168,Ente::N,పాట్టిబాతు,яксярга
169,Eule::N,గ్రుడ్లగూబ,ко́рож
170,Kranich::N,కొంగ,ка́рга
171,Krähe::N,కాకి,ва́рси
172,Kuckuck::N,కోయల,ку́ку
173,Schwan::N,హంస,ло́ксти
174,Fisch::N,చేప,кал
175,Barsch::N,ఒకచేఁప,о́кунь
176,Hecht::N,గండుమీను,щу́ка
177,Schlange[Tier]::N,పాము,куй
178,Wurm::N,పురుగు,сукс
179,Spinne::N,సాలె పురుగు,унжа́
180,Ameise::N,చీమ,панжам
181,Laus::N,పేను,си
182,Mücke::N,చీకటీగ,ся́ське
183,Fliege::N,ఈగ,кару
184,Schmetterling::N,సీతాకోకచిలుక,ме́лав
185,Beere::N,కాయ,и́мож
186,Apfel::N,ఆపిల్ పండు,марь
187,Pilz::N,కుక్కగొడుగు,панга
188,Zwiebel::N,నీరుల్లి,шурьхкя́
189,Saat::N,విత్తనము,видьмот
190,Korn::N,గింజ,сёра
191,Heu::N,ఎండుగడ్డి,тише
192,Schale::N,పొట్టు,кедь
193,Grube::N,గొయ్యి,лотка
194,Falle::N,బోను,туфкс
195,Falle::N,బోను,кунда́ма
196,Schlinge::N,ఉరి,килькш
197,Spur::N,జాడ,пильгоки́
198,Asche::N,బూడిద,кулу
199,Dreck::N,ముఱికి,ърда́з
200,Eisen::N,ఇనుము,кшни
201,Gold::N,బంగారము,ока
202,Gold::N,బంగారము,золота
203,Silber::N,వెండి,сия́
204,Kohle::N,నేలబొగ్గు,седь
205,Kohle::N,నేలబొగ్గు,седьвальмя
206,Glas::N,గాజు,кля́нцек
207,Lehm::N,బంకమన్ను,сёвонь
208,Sand::N,ఇసుక,шува́р
209,Mensch::N,నరుడు,ломань
210,Mann::N,పురుమడు,аля
211,Mann::N,పురుమడు,цёраломань
212,Frau::N,ఆడుది,ава
213,Kind::N,బిడ్డ,идь
214,Kind::N,బిడ్డ,шаба
215,Junge::N,బాలుడు,цёраня
216,Mädchen::N,బాలిక,стирня́
217,Familie::N,కుటుంబము,тнал
218,Familie::N,కుటుంబము,семья
219,Großvater::N,తాత,атя
220,Großvater::N,తాత,щя́тя
221,Großmutter::N,అయ్యమ్మ,баба
222,Eltern::N,తల్లితండ్రులు,тя́дят-а́лят
223,Vater::N,తండ్రి,аля
224,Mutter::N,తల్లి,ава
225,Mutter::N,తల్లి,тядя
226,Sohn::N,కొడుకు,цёра
227,Tochter::N,కూతురు,стирь
228,Bruder::N,పోదరుడు,дуган
229,Bruder::N,పోదరుడు,пяльне
230,Schwester::N,సోదరి,ака
231,Schwester::N,సోదరి,сазор
232,Onkel::N,మేనమామ,оця
233,Onkel::N,మేనమామ,патя
234,Onkel::N,మేనమామ,щеня́
235,Tante::N,మేనత్త,ака
236,Tante::N,మేనత్త,щака
237,Tante::N,పినతల్లి,ака
238,Tante::N,పినతల్లి,щака
239,Ehemann::N,భర్త,мирде
240,Ehefrau::N,భార్య,ърьвя́
241,Freude::N,సంతోషము,ке́нярдема
242,Gelächter::N,నవ్వు,рахсема
243,Glück::N,సంతోషము,паваз
244,Kummer::N,దుఃఖము,ризф
245,Kummer::N,దుఃఖము,пичефкс
246,Wunsch::N,కోరిక,мяль
247,Wunsch::N,కోరిక,таколдома
248,Lust::N,కోరిక,таколдома
249,Geist::N,ఆత్మ,вайме
250,Gedanke::N,ఆలోచన,мяль
251,Gedächtnis::N,జ్ఞాపకము,прявий
252,Verstand::N,మనస్సు,прявий
253,Sinn::N,అర్థము,ён
254,Grund::N,కారణము,туфта́л
255,Wahrheit::N,సత్యము,ви́де
256,Wahrheit::N,సత్యము,видеши́
257,Gespräch::N,పంభాషణ,корхтама
258,Märchen::N,అద్భుతకథ,ёфкс
259,Erzählung::N,కథ,азкс
260,Nachricht::N,వార్త,куля́
261,Neuigkeit::N,వార్త,куля́
262,Name::N,పేరు,лем
263,Rätsel::N,చిక్కు,со́дама ёфкс
264,Rede::N,ఉపన్యాసము,вал
265,Rede::N,ఉపన్యాసము,корхтама
266,Sprache::N,భాష,кяль
267,Stimme::N,కంరథ్సని,вайгяль
268,Wort::N,మాట,вал
269,Zeichen::N,గుర్తు,тя́ште
270,Zeichen::N,గుర్తు,тя́штькс
271,Ruf::N,పిలువు,тердема
272,Lärm::N,సందడి,гайф
273,Lärm::N,సందడి,жалакодома
274,Laut::N,ధ్వని,вайгяль
275,Ton::N,స్వరము,вайгяль
276,Lied::N,పాట,мора
277,Ruhe::N,గాలిలేమి,сетьме
278,Leute::N,జనులు,ломатть
279,Volk::N,జాతి,наро́д
280,Arbeit::N,పని,тев
281,Gast::N,అతిధి,и́нжи
282,Gast::N,అతిధి,ко́нак
283,Geschenk::N,దానము,казне
284,Spiel::N,ఆట,налхкома
285,Spiel::N,ఆట,налхксема
286,Gesellschaft::N,జట్టు,кружок
287,Hilfe::N,సాహాయ్యము,лездома
288,Freund::N,స్నేహితుడు,я́лга
289,Kamerad::N,చెలికాడు,я́лга
290,Angelegenheit::N,విషయము,тев
291,Anzahl::N,లెక్క,лувкс
292,Art::N,జాతి,вид
293,Stück::N,తునుక,пакш
294,Teil::N,భాగము,часть
295,Teil::N,భాగము,пялькс
296,Hälfte::N,సగము,пяле
297,Kreis::N,వృత్తము,шаркс
298,Kreuz::N,సిలువ,крёз
299,Linie::N,గీత,межа
300,Linie::N,గీత,китькс
301,Strich::N,గీత,межа
302,Abstand::N,సందు,ётка
303,Entfernung::N,దూరము,ётка
304,Gegend::N,విస్తీర్ణము,ва́ста
305,Gegend::N,విస్తీర్ణము,перьфпя́ль
306,Platz::N,ఎడము,ва́ста
307,Ort::N,స్థలము,ва́ста
308,Seite::N,ప్రక్క,пяле
309,Mitte::N,నడిమి,кучка́
310,Gegenstand::N,పద్దు,веща
311,Sache::N,వస్తువు,тев
312,Sache::N,వస్తువు,веща
313,Rand::N,అంచు,пе
314,Kante::N,అంచు,и́рдез
315,Ecke::N,మూల,ужа
316,Spitze::N,మొన,пря
317,Ende::N,కొన,пе
318,Loch::N,రంధ్రము,варя
319,Winkel::N,కోణము,ужа
320,Muster::N,మాదిరి,сёрма
321,Größe::N,పరిమాణము,серь
322,Länge::N,పొడుగు,кува́лма
323,Höhe::N,పొడుగు,серь
324,Gewicht::N,భారము,сталма
325,Menge::N,మొత్తము,лувкс
326,Haufen::N,రాశి,мар
327,Reihe::N,వరుస,ряд
328,Boot::N,పడవ,венеж
329,Ruder::N,అడక,миле
330,Schlitten::N,సరవండ్లు,ну́рда
331,Ski::N,స్కీ,сокс
332,Lagerfeuer::N,నెగడు,то́лмар
333,Last::N,బరువు,канкс
334,Last::N,బరువు,сталма
335,Gang::N,నడక,молема
336,Schritt::N,అడుగు,аськолкс
337,Norden::N,ఉత్తరదిక్కు,якшама шире
338,Süden::N,దక్షిణము,ля́мбе ши́ре
339,Westen::N,పడమర,ши валгома шире
340,Osten::N,తూర్పు,шинь стяма шире
341,Holz::N,కొయ్య,вирь
342,Holz::N,కొయ్య,шуфта
343,Brett::N,పలక,лавця
344,Platte::N,పలక,плита́
345,Stütze::N,వాల్సేడ్లు,неже
346,Stange::N,స్తంభము,олга
347,Stock::N,కఱ్ఱ,байдек
348,Stab::N,కఱ్ఱ,олгоня
349,Rohr::N,గొట్టము,турама
350,Haus::N,ఇల్లు,куд
351,Heim::N,స్వగృహము,куд
352,Ofen::N,పొయ్యి,пянакуд
353,Fußboden::N,నేల,кия́кс
354,Tisch::N,మేజా,шра
355,Tisch::N,మేజా,моркш
356,Stuhl::N,కుర్చీ,стул
357,Wiege::N,ఉయ్యాల,нюря́м
358,Bett::N,పడక,ацам
359,Bett::N,మంచం,ацам
360,Regal::N,అటక,лавцяланга
361,Kiste::N,వెట్టె,парга
362,Fenster::N,కిటికి,валмья
363,Tür::N,ద్వారము,кенкш
364,Tor::N,ద్వారము,ортат
365,Zaun::N,కంచె,перяфкс
366,Dach::N,ఇంటివైకప్పు,кудпря
367,Leiter::N,నిచ్చెన,куцема
368,Besen::N,చీపురుకట్ట,тяльме
369,Spaten::N,పాఱ,ка́йме
370,Schaufel::N,పాఱ,ко́поня
371,Schaufel::N,పాఱ,ця́рдом
372,Gabel::N,ముండ్లగరిటె,ця́нгоня
373,Löffel::N,గరిటె,куцю
374,Messer::N,కత్తి,пеель
375,Nagel::N,మేకు,эска
376,Netz::N,వల,
377,Haken::N,కొక్కెము,кя́чказ
378,Griff::N,పిడి,недь
379,Griff::N,పిడి,кунда́мка
380,Schloss::N,తాళము,замо́к
381,Bild::N,చిత్రము,карти́на
382,Figur::N,రూపము,ронга-понда
383,Puppe::N,బొమ్మ,ня́ка
384,Beutel::N,సంచి,кяскав
385,Bündel::N,మూట,кярьме
386,Tasche::N,సంచి,кошяльня
387,Eimer::N,చేద,ве́дарка
388,Deckel::N,మూత,тавадкс
389,Deckel::N,మూత,вельхкс
390,Geschirr::N,వంటకాలు,кядьге
391,Sack::N,గోనెసంచి,кяскав
392,Tasse::N,గిన్నె,ша́ваня
393,Topf::N,కుండ,кавозь
394,Kessel::N,నీరుకాచుపాత్ర,сргавозь
395,Essen::N,ఆహారము,ярхцама
396,Nahrung::N,ఆహారము,ярхцампяль
397,Speise::N,ఆహారము,ярхцама
398,Fleisch::N,మాంసము,пал
399,Fleisch::N,మాంసము,сиволь
400,Getreide::N,ధాన్యము,сёра
401,Brei::N,గుజ్జు,ям
402,Brot::N,రొట్టె,кши
403,Scheibe::N,బద్ద,кочам
404,Fett::N,క్రొవ్వు,куя́
405,Butter::N,వెన్న,вай
406,Öl::N,నూనె,вай
407,Salz::N,ఉప్పు,сал
408,Suppe::N,చారు,шонгарям
409,Suppe::N,చారు,коршампяль
410,Honig::N,తెనె,медь
411,Milch::N,పాలు,лофца
412,Tee::N,తేనీరు,чай
413,Leder::N,బాగుచేసివతోలు,кедь
414,Wolle::N,ఉన్ని,пона
415,Stoff::N,బట్ట,котф
416,Nadel::N,సూది,салмокс
417,Faden::N,దారము,сюре
418,Knopf::N,బొత్తాము,пуня
419,Knoten::N,ముడి,сюлма
420,Farbe::N,రంగు,архтомбяль
421,Kleidung::N,బట్టలు,щам
422,Hemd::N,చొక్కాయ,па́нар
423,Kragen::N,మాల,сиве
424,Ärmel::N,చొక్కాయచెయ్యి,ожа
425,Hose::N,ఇజారు,понкст
426,Gürtel::N,పటకా,каркс
427,Mütze::N,టోపి,вазь
428,Schuh::N,పాదరక్ష,башма́к
429,Stiefel::N,బూటు,кя́ме
430,Ring::N,ఉంగరము,суркс
431,Band::N,నాడా,керькс
432,Band::N,నాడా,лента
433,Kamm::N,దువ్వెన,сюрьхцем
434,Spiegel::N,అద్దము,ванома
435,Riemen::N,వాడా,шнань каркс
436,Schnur::N,దారము,пикс
437,Schnur::N,దారము,карькскя
438,Leine::N,వారు,вядьме
439,Decke::N,కంబళి,вельхкс
440,Kissen::N,తలగడ,тоду
441,Tuch::N,బట్ట,руця́
442,Handtuch::N,తువాలు,на́рдама
443,Kraft::N,బలము,вий
444,Stärke::N,శక్తి,вииши
445,Gesundheit::N,ఆరోగ్యము,шумбраши́
446,Krankheit::N,రోగము,урма́
447,Krankheit::N,రోగము,сярядема
448,Schmerz::N,నొప్పి,маряма
449,Wunde::N,గాయము,керф
450,Fieber::N,జ్వరము,маштыкс
451,Arznei::N,మందు,надо́бья
452,Arznei::N,మందు,пъчка́фтома
453,Brücke::N,వంతెన,седь
454,Brunnen::N,బావి,эши
455,Brunnen::N,కూపము,эши
456,Brunnen::N,నుయ్యి,эши
457,Weide::N,పచ్చికబయలు,ванома васта
458,Pfad::N,కాలిత్రోవ,ян
459,Pfad::N,కాలిత్రోవ,киня́
460,Weg::N,మార్గము,ки
461,Straße::N,బాట,ки
462,Dorf::N,గ్రామము,веле
463,Stadt::N,పట్టణము,ош
464,Brief::N,జాబు,сёрма
465,Buch::N,పుస్తకము,книга
466,Buchstabe::N,అక్షరము,бу́ква
467,Zeitung::N,వార్తాపత్రిక,газе́та
468,Leben::N,ప్రాణము,эряф
469,Leben::N,ప్రాణము,эряма
470,Tod::N,మరణము,кулома́
471,Grab::N,సమాధి,калма
472,Kirche::N,క్రెస్తవులగుడి,це́рькав
473,Sünde::N,పాపము,пежеть
474,Sünde::N,పాపము,муворкс
475,Gott::N,దేవుడు,шкай
476,Arbeiter::N,పనిపాటుచేశేవాడు,трудендай
477,Arbeiter::N,పనిపాటుచేశేవాడు,работник
478,Chef::N,యజమానుడు,азор
479,Chef::N,యజమానుడు,оцюня
480,Meister::N,కళాకారుడు,мастяр
481,Arzt::N,వైద్యుడు,врач
482,Arzt::N,వైద్యుడు,доктор
483,Lehrer::N,ఉపాధ్యాయుడు,учи́тель
484,Geld::N,ద్రవ్యము,ярмакт
485,Geschäft::N,వ్యాపారము,ладяфкс
486,Geschäft::N,వ్యాపారము,ладяф тев
487,Laden::N,అంగడి,ла́вка
488,Preis::N,వెల,питне
489,Ware::N,సరకులు,миф
490,Ware::N,సరకులు,ра́маф
491,Nutzen::N,ప్రయోజనము,пара
492,Nutzen::N,ప్రయోజనము,лезкс
493,Reichtum::N,ధనము,ко́зяши
494,Welt::N,ప్రపంచము,свет
495,Land::N,దేశము,мастор
496,Staat::N,రాజ్యము,государства
497,König::N,రాజు,король
498,Macht::N,అధికారము,азорондама
499,Macht::N,అధికారము,азорксши
500,Grenze::N,సరిహద్దు,ёткаян
501,Krieg::N,యుద్ధము,война́
502,Feind::N,శత్రువు,душман
503,Feind::N,శత్రువు,каршек тюри
504,Gewalt::N,దౌర్జన్యము,наругама
505,Kampf::N,పోట్లాట,тюрема́
506,Bogen[Waffe]::N,విల్లు,нал
507,Pfeil::N,బాణము,нал
508,Gewehr::N,తుపాకి,винто́вка
509,Fehler::N,తప్ప,эльбядькс
510,Lüge::N,అసత్యము,васькафнема
511,Schaden::N,నష్టము,зия́н
512,Unglück::N,దురదృష్టము,зия́н
513,Schuld::N,తప్పు,муворши
514,Alter::N,వయస్సు,эряф кизот
515,Alter::N,వయస్సు,эряфонь пинге
516,Schluss::N,ముగింపు,пе
517,Zeit::N,కాలము,пинге
518,Tag::N,దినము,ши
519,Morgen::N,ఉదయము,шобдава
520,Mittag::N,మధ్యాహ్నము,шикучка
521,Abend::N,సాయంకాలము,иля́дь
522,Nacht::N,రత్రి,ве
523,Woche::N,వారము,недя́ля
524,Monat::N,నెల,ков
525,Jahr::N,సంవత్సరము,киза
526,Frühling::N,వసంతకాలము,тунда́
527,Sommer::N,వేసవికాము,киза
528,Herbst::N,ఆకురాలుకాలము,сёксе
529,Winter::N,శీతకాలము,тяла
530,Januar::N,జనవరి,кельмеков
531,Februar::N,ఫిబ్రవరి,уфайков
532,März::N,మార్చి,марайков
533,April::N,ఏప్రిలు,шудиков
534,Mai::N,మే,панжиков
535,Juni::N,జూన్,лямбеков
536,Juli::N,జూలై,псиков
537,August::N,ఆగస్టు,сёроньков
538,September::N,సెప్ఠెంబరు,тюжягов
539,Oktober::N,అక్టోబరు,кельмазаков
540,November::N,నవంబరు,эйндамков
541,Dezember::N,డిసెంబర్,кучкаков
542,Montag::N,సోమవారము,одговши
543,Dienstag::N,మంగళవారము,ша́вши
544,Mittwoch::N,బుధవారము,вержи
545,Donnerstag::N,గురువారము,шува́ланя
546,Freitag::N,శుక్రవారము,пя́денця
547,Samstag::N,శనివారము,ёткши
548,Sonntag::N,ఆదివారము,таргоши
549,groß::A,గొప్పైన,оцю
550,klein::A,చిన్న,ёмла
551,lang::A,పొడుగాటి,кува́ка
552,kurz::A,పొట్టి,нюрьхкя́ня
553,breit::A,వెడల్పైన,кели
554,schmal::A,ఇఱుకైన,тяйня
555,dicht::A,దట్టమైన,сиде
556,dicht::A,దట్టమైన,туста
557,dick[Gegenstand]::A,దట్టమైన,эчке
558,dünn::A,పలుచని,шува́ня
559,fein::A,నాజాకైన,шува́ня
560,fest::A,దృడమైవ,кеме
561,flach::A,చదువైన,лапш
562,glatt::A,నున్నని,вадяв
563,glatt::A,నున్నని,такор
564,hart::A,కఠినమైన,калгода
565,weich::A,మృదువైన,ляпе
566,rund::A,గుండ్రని,кру́глай
567,spitz::A,మొనగల,ботаз
568,spitz::A,మొనగల,оржа
569,scharf::A,పదనైన,оржа
570,stumpf::A,వాడిలేని,ношка
571,schwer::A,బరువ్తెన,стака
572,schön::A,సుందరమైన,мазы
573,heiß::A,వేడియైన,пси
574,warm::A,వెచ్చని,лямбе
575,kalt::A,చల్లని,кельме
576,kühl::A,చల్లని,эше
577,frisch::A,తాజాయైన,свежай
578,feucht::A,చెమ్మగానున్న,летьке
579,nass::A,తడిగామన్న,начка
580,trocken::A,ఎండిన,коське
581,voll::A,నిండు,пяшксе
582,leer::A,శూన్యమైన,шава
583,offen::A,తెఱచియున్న,панжада
584,offen::A,తెఱచియున్న,виде
585,geschlossen::A,మూసిన,пякстаф
586,geschlossen::A,మూసిన,сёлгф
587,sauber::A,పరిశుద్ధమైన,ару
588,schmutzig::A,ముఱికియైన,рда́зу
589,schmutzig::A,ముఱికియైన,пя́ндра
590,roh::A,పచ్చి,верок
591,reif::A,పండివ,ке́нерьф
592,lecker::A,రుచి గల,танцти
593,süß::A,తియ్యని,ламбама
594,bitter::A,చేదైన,сяпи
595,sauer::A,పుల్లని,шапама
596,hell::A,కాంతిగల,валда
597,dunkel::A,చీకటియైన,шобда
598,schwarz::A,నల్లని,равжа
599,weiß::A,తెలుపు,акша
600,rot::A,ఎఱ్ఱని,якстерь
601,gelb::A,పసుపు పచ్చ,тюжя́
602,blau::A,నీలవర్ణము,сенем
603,grün::A,ఆకుపచ్చని,пиже
604,grün::A,ఆకుపచ్చని,сянгяря
605,grau::A,నెరిసిన,уле
606,bunt::A,రంగేలీ,сёрмав
607,billig::A,చౌకయైన,у́цез
608,billig::A,చౌకయైన,аф пи́тни
609,teuer::A,వెలపొడుగైన,пи́тни
610,wertvoll::A,విలుప్తెన,питни
611,blind::A,గ్రుడ్డి,сокор
612,taub::A,చెవిటి,пярав
613,kräftig::A,శక్తి గల,пяк вии
614,stark::A,బలమైన,вии
615,schwach::A,బలహీనమైన,лафча
616,fett::A,క్రొవ్విన,куя́
617,schlank::A,సన్నని,виде ронга
618,hübsch::A,సాగప్తెన,мазы
619,böse::A,చెడ్డ,кяжи
620,dumm::A,తెలివిలేని,аф ёню
621,dumm::A,తెలివిలేని,шава пря
622,faul::A,సోమరియైన,нола
623,fleißig::A,శ్రద్దగల,ку́лхцонды
624,geizig::A,పిసినారియైన,кирьжя
625,geizig::A,పిసినారియైన,жаднай
626,klug::A,తెలివిగల,ёню
627,klug::A,తెలివిగల,пря́ви
628,geschickt::A,నిపుణతగల,маштозь тиф
629,lieb::A,ప్రియమైన,цебярь
630,lustig::A,ఉల్లాసము గల,ра́хси
631,sanft::A,సాధువైన,сетьме
632,hungrig::A,ఆకలిగొనిన,вача
633,hungrig::A,ఆకలిగొనిన,вачеда
634,krank::A,వ్యాధిగల,сяряди
635,nackt::A,దిగంబరమైన,штада
636,nackt::A,దిగంబరమైన,кърхтапа
637,traurig::A,విచారముగల,ла́жнай
638,lebendig::A,ప్రాణముతో నున్న,эряй
639,gut::A,మంచి,пара
640,gut::A,మంచి,цебярь
641,schlecht::A,చెడ్డ,кальдяв
642,richtig::A,సరియైన,виде
643,schlimm::A,అసహ్యమైన,кальдяв
644,wahr::A,నిజమైన,афкуксонь
645,alt::A,ముసలి,ташта
646,neu::A,క్రొత్త,од
647,ehemalig::A,పూర్వపు,и́нгольдень
648,alt[Lebewesen]::A,ముసలి,сире
649,jung::A,పసి,од
650,arm::A,బీద,а́шу
651,reich::A,ధనవంతుడైన,козя
652,bekannt::A,తెలిసిన,содаф
653,berühmt::A,ప్రపిద్దికెక్కివ,содавикс
654,fremd::A,అన్యమైన,лия
655,fremd::A,అన్యమైన,аф содаф
656,verschieden::A,భేదమైన,аф фкя ла́цонь
657,nah::A,దగ్గఱనున్న,мала
658,nah::A,దగ్గఱనున్న,аф ичкоздень
659,fern::A,దూరమందున్న,и́чкоздень
660,fern::A,దూరమందున్న,куна́рдонь
661,linker::A,ఎడమప్రక్కగ,кержи
662,rechter::A,కుడి,види
663,anderer::A,వేఱ్తెన,лия
664,erster::A,మొదటి,васенце
665,zweiter::A,రెండన,омбоце
666,dritter::A,మూడో,колмоце
667,letzter::A,కడపటి,ме́кольце
668,allein::ADV,ఒంటిగా,ськамонза
669,auf einmal::ADV,హరాత్తుగ,вихцок
670,zusammen::ADV,కలిసి,марс
671,zusammen::ADV,కలిసి,ма́рса
672,lange::ADV,బహుకాలము,кува́тьс
673,plötzlich::ADV,హరాత్తుగ,а́пак учт
674,sofort::ADV,తక్షణము,тяникиге
675,später::ADV,ఇటీవలి,ме́ле
676,jetzt::ADV,ఇప్పుడు,тяни
677,heute::ADV,నేడు,тячи
678,morgen::ADV,ఱేపు,ва́нды
679,bald::ADV,శీఘ్రముగ,курок
680,dann::ADV,అప్పుడు,меле
681,dann::ADV,అప్పుడు,сяда меле
