,Concept_ID,myv,lez
66,Schlaf::N,удома,ахвар
67,Traum::N,он,ахвар
68,Himmel::N,менель,цав
69,Sonne::N,чи,рагъ
70,Mond::N,ков,варз
71,Stern::N,теште,гъед
72,Luft::N,кошт,гьава
73,Wind::N,варма,гар
74,Welle::N,толкун,лепе
75,Wasser::N,ведь,яд
76,Stein::N,кев,къван
77,Boden::N,мода,накьв
78,Erde::N,мастор,ччил
79,Staub::N,пуль,руг
80,Rauch::N,качамо,гум
81,Funke::N,сятко,цӏелхем
82,Feuer::N,тол,цӏай
83,Licht::N,валдо,экв
84,Schatten::N,сулей,серин
85,Schatten::N,сулейкс,серин
86,Wetter::N,ушо,гьава
87,Nebel::N,сув,ччилин циф
88,Wolke::N,пель,циф
89,Regen::N,пиземс,марф
90,Schnee::N,лов,жив
91,Eis::N,эй,мурк
92,Frost::N,кельме,аяз
93,Kälte::N,якшамо,мекь
94,Kälte::N,якшамо,мекьивал
95,Hitze::N,пси,зегьем
96,Raureif::N,лекш,къирав
97,Regenbogen::N,пурьгинечирьке,яргъируш
98,Regenbogen::N,пурьгинеёнкс,яргъируш
99,Donner::N,пурьгине,цавун ван
100,Strömung::N,чудема,
101,Strömung::N,чудевкс,
102,Tropfen::N,петнявкс,стӏал
103,Schaum::N,чов,каф
104,Schmutz::N,рудаз,чирк
105,Schmutz::N,рудаз,кьуруш
106,See::N,эрьке,вир
107,Sumpf::N,чей,уьлен
108,Moor::N,чей,
109,Wiese::N,луга,векь
110,Wald::N,вирь,там
111,Hügel::N,губорь,кӏунтӏ
112,Hügel::N,пандыне,кӏунтӏ
113,Anhöhe::N,губорь,тепе
114,Anhöhe::N,губорь,гьуьндуьрвал
115,Anhöhe::N,пандыне,тепе
116,Anhöhe::N,пандыне,гьуьндуьрвал
117,Berg::N,пандо,дагъ
118,Gipfel::N,пря,кӏукӏ
119,Höhle::N,пещера,кьветӏ
120,Abhang::N,пандочама,гуьне
121,Quelle::N,ушодкс,чешме
122,Bach::N,чудикерькс,булах
123,Fluss::N,лей,вацӏ
124,Ufer::N,чире,къерех
125,Küste::N,лейчире,къерех
126,Festland::N,мода,кьурамат
127,Meer::N,моря,гьуьл
128,Bucht::N,усия,бухта
129,Insel::N,усия,остров
130,Blume::N,цеця,цуьк
131,Gras::N,тикше,хъач
132,Wurzel::N,юр,дувул
133,Wurzel::N,ундокс,дувул
134,Baum::N,чувто,ттар
135,Stamm::N,рунго,тан
136,Rinde::N,суд,чкал
137,Rinde::N,керь,чкал
138,Ast::N,морго,тӏур
139,Zweig::N,тарад,хел
140,Blatt::N,лопа,пеш
141,Birke::N,килей,верх
142,Kiefer[Baum]::N,пиче,шамагъаж
143,Weide[Baum]::N,каль,цӏвелин ттар
144,Tanne::N,куз,ель
145,Horn::N,сюро,карч
146,Feder::N,толга,цӏакул
147,Fell::N,пона,хам
148,Flügel::N,сёлмо,лув
149,Klaue::N,кенже,къармах
150,Kralle::N,кенже,пац
151,Kralle::N,кенже,тапас
152,Schwanz::N,пуло,ттум
153,Ei::N,ал,кака
154,Nest::N,пизэ,муг
155,Bau::N,варя,тӏеквен
156,Bau::N,пизе,тӏеквен
157,Tier::N,ракша,гьайван
158,Herde::N,стада,суьруь
159,Kuh::N,скал,ккал
160,Bulle::N,бука,яц
161,Bulle::N,бука,бугъа
162,Pferd::N,лишме,балкӏан
163,Schaf::N,реве,хеб
164,Schwein::N,туво,вак
165,Hund::N,пине,кицӏ
166,Hund::N,киска,кицӏ
167,Katze::N,псака,кац
168,Bär::N,овто,сев
169,Eichhörnchen::N,ур,белка
170,Elch::N,сярдо,лось
171,Fuchs::N,ривезь,сикӏ
172,Hase::N,нумоло,къуьр
173,Maus::N,чеерь,кьиф
174,Wolf::N,верьгиз,жанавур
175,Vogel::N,нармунь,луван ничхир
176,Schwarm::N,полк,луж
177,Schwarm::N,стада,луж
178,Huhn::N,сараз,верч
179,Hahn::N,атякш,кӏек
180,Gans::N,гала,къаз
181,Gans::N,мацей,къаз
182,Adler::N,куцькан,лекь
183,Adler::N,тумоатякш,лекь
184,Ente::N,яксярго,пӏатӏ
185,Eule::N,корж,тӏиб
186,Kranich::N,карго,дурна
187,Krähe::N,варака,къаргъа
188,Kuckuck::N,куко,кукупӏ
189,Schwan::N,локсей,къугь
190,Fisch::N,кал,гъед
191,Barsch::N,окунь,окунь
192,Hecht::N,щука,щука
193,Schlange[Tier]::N,гуй,илан
194,Schlange[Tier]::N,гуй,гъуьлягъ
195,Wurm::N,сукс,квак
196,Spinne::N,шанжав,хуьшрекан
197,Ameise::N,коткудав,цегв
198,Laus::N,сий,нет
199,Mücke::N,сеське,ветӏ
200,Fliege::N,карво,тӏветӏ
201,Schmetterling::N,нимиляв,чепелукь
202,Beere::N,умарь,куьлуь емиш
203,Apfel::N,умарь,ич
204,Pilz::N,панго,къарникъуз
205,Zwiebel::N,чурька,чичӏек
206,Saat::N,видьметь,тумар
207,Korn::N,сюро,твар
208,Heu::N,тикше,векь
209,Heu::N,тикше,векьер
210,Schale::N,кедь,пириш
211,Schale::N,кедь,хъуьруьш
212,Schale::N,ваткавкс,пириш
213,Schale::N,ваткавкс,хъуьруьш
214,Grube::N,латко,фур
215,Falle::N,тувор,ракьар
216,Falle::N,кундамка,ракьар
217,Schlinge::N,килькш,гьалкъа
218,Spur::N,челькс,гел
219,Spur::N,пильгеки,гел
220,Asche::N,кулов,руьхъ
221,Dreck::N,рудаз,чирк
222,Dreck::N,рудаз,кьуруш
223,Eisen::N,кшни,ракь
224,Gold::N,сырне,алтун
225,Silber::N,сия,гимиш
226,Kohle::N,сэдь,цӏивин
227,Kohle::N,уголия,цӏивин
228,Glas::N,сулика,шуьше
229,Lehm::N,сёвонь,ччеб
230,Sand::N,човар,къум
231,Mensch::N,ломань,инсан
232,Mann::N,аля,итим
233,Mann::N,цёраломань,итим
234,Frau::N,ава,паб
235,Frau::N,ава,дишегьли
236,Kind::N,эйкакш,аял
237,Junge::N,цёрыне,гада
238,Mädchen::N,тейтерне,руш
239,Familie::N,семия,хзан
240,Familie::N,семия,килфет
241,Großvater::N,покштя,чӏехи буба
242,Großmutter::N,баба,чӏехи диде
243,Eltern::N,тетят-ават,диде-буба
244,Vater::N,тетя,буба
245,Mutter::N,ава,диде
246,Sohn::N,цёра,хва
247,Tochter::N,тейтерь,руш
248,Bruder::N,леля,стха
249,Bruder::N,ялакс,стха
250,Schwester::N,сазор,вах
251,Onkel::N,леля,ими
252,Onkel::N,леля,халу
253,Tante::N,патя,эме
254,Tante::N,патя,хала
255,Ehemann::N,мирде,гъуьл
256,Ehefrau::N,ни,паб
257,Freude::N,кеняркс,шадвал
258,Gelächter::N,ракамо,хъвер
259,Gelächter::N,пейдема,хъвер
260,Glück::N,уцяска,бахт
261,Kummer::N,рискс,дерт
262,Kummer::N,рискс,хажалат
263,Kummer::N,мелявкс,дерт
264,Kummer::N,мелявкс,хажалат
265,Wunsch::N,мель,мурад
266,Wunsch::N,бажамо,мурад
267,Lust::N,бажамо,гьевес
268,Geist::N,ойме,руьгь
269,Gedanke::N,мель,фикир
270,Gedächtnis::N,мель,
271,Verstand::N,прев,акьул
272,Sinn::N,толк,мана
273,Sinn::N,смысла,мана
274,Grund::N,тувтал,себеб
275,Wahrheit::N,видечи,керчек
276,Wahrheit::N,видечи,гьакъикъат
277,Gespräch::N,кортнема,ихтилат
278,Märchen::N,ёвкс,мах
279,Erzählung::N,ёвтнема,кьиса
280,Nachricht::N,куля,хабар
281,Neuigkeit::N,куля,цӏийи хабар
282,Name::N,лем,тӏвар
283,Rätsel::N,содамоёвкс,мискӏал
284,Rede::N,кортамо,рахун
285,Sprache::N,кель,чӏал
286,Stimme::N,ваигель,ван
287,Wort::N,вал,гаф
288,Zeichen::N,теште,ишара
289,Ruf::N,тердема,эвер
290,Lärm::N,шалнома,ван-сес
291,Laut::N,вайгель,ван
292,Laut::N,вайгель,сес
293,Ton::N,гайнема,ван-сес
294,Lied::N,моро,мани
295,Ruhe::N,оймамо,ласвал
296,Ruhe::N,оймамо,фаракъат
297,Ruhe::N,оймамо,асайиш
298,Leute::N,ломанть,инсанар
299,Volk::N,народ,халкь
300,Arbeit::N,тев,кӏвалах
301,Gast::N,инже,мугьман
302,Geschenk::N,казне,савкьат
303,Spiel::N,налксема,къугъун
304,Gesellschaft::N,община,жемят
305,Gesellschaft::N,община,общество
306,Hilfe::N,лездамо,куьмек
307,Freund::N,оя,дуст
308,Freund::N,ялга,дуст
309,Kamerad::N,оя,яр-дуст
310,Kamerad::N,ялга,яр-дуст
311,Angelegenheit::N,тев,кар
312,Anzahl::N,ламоксчи,сан
313,Anzahl::N,ламоксчи,кьадар
314,Art::N,вид,жуьре
315,Stück::N,пакш,кӏус
316,Stück::N,пелькс,кӏус
317,Teil::N,часть,пай
318,Teil::N,пелькс,пай
319,Hälfte::N,пель,зур
320,Hälfte::N,пель,зур пай
321,Hälfte::N,пелькс,зур
322,Hälfte::N,пелькс,зур пай
323,Kreis::N,кирькс,круг
324,Kreis::N,кирькс,чкаяр
325,Kreis::N,кирькс,элкъвей цӏар
326,Kreuz::N,крёст,хаш
327,Linie::N,кикс,цӏар
328,Strich::N,межа,цӏар
329,Abstand::N,ютко,ара
330,Entfernung::N,ютко,мензил
331,Gegend::N,тарка,чка
332,Gegend::N,пертьпелькс,чка
333,Platz::N,васолкс,ара
334,Ort::N,тарка,чка
335,Seite::N,ён,пад
336,Seite::N,чире,пад
337,Mitte::N,куншка,юкь
338,Gegenstand::N,предмет,затӏ
339,Sache::N,тев,шей
340,Sache::N,тев,затӏ
341,Sache::N,веща,шей
342,Sache::N,веща,затӏ
343,Rand::N,пе,къерех
344,Rand::N,чире,къерех
345,Kante::N,ирдез,син
346,Ecke::N,ужо,пӏипӏ
347,Spitze::N,пряне,кӏвенкӏв
348,Spitze::N,пе,кӏвенкӏв
349,Ende::N,пе,кьил
350,Loch::N,варя,тӏеквен
351,Winkel::N,ужо,пӏипӏ
352,Muster::N,сёрма,гишир
353,Größe::N,сэрь,кьадар
354,Größe::N,покшолма,кьадар
355,Länge::N,кувалмо,яргъивал
356,Höhe::N,сэрь,кьакьанвал
357,Höhe::N,пандо,кьакьанвал
358,Gewicht::N,сталмо,заланвал
359,Menge::N,лововкс,кьадар
360,Haufen::N,мар,хара
361,Haufen::N,валявкс,хара
362,Reihe::N,ряд,жерге
363,Boot::N,венч,луьткве
364,Ruder::N,милё,кьусу
365,Schlitten::N,нурдт,гъелерар
366,Ski::N,сокс,
367,Lagerfeuer::N,толбандя,цӏай
368,Last::N,сталмо,заланвал
369,Last::N,кандома,заланвал
370,Gang::N,молема,ериш
371,Gang::N,якамо,ериш
372,Schritt::N,эскелькс,къадам
373,Norden::N,якшамо ёнкс,кефер
374,Norden::N,якшамо ёнкс,кефер пад
375,Süden::N,лембе ёнкс,кьибле
376,Westen::N,чивалгома,рагъакӏидай пад
377,Osten::N,чилисема,рагъэкъечӏдай пад
378,Holz::N,чувто,кӏарас
379,Brett::N,лаз,кьул
380,Brett::N,лаз,тахта
381,Platte::N,плита,
382,Stütze::N,неже,даях
383,Stange::N,олга,юрк
384,Stock::N,мандо,лаш
385,Stab::N,олога,юрк
386,Rohr::N,турба,турба
387,Haus::N,кудо,ужагъ
388,Heim::N,кудо,кӏвал
389,Ofen::N,каштомо,пич
390,Fußboden::N,киякс,кӏвалин ччил
391,Tisch::N,столь,стол
392,Stuhl::N,стул,стул
393,Wiege::N,лавсь,кьеб
394,Wiege::N,нурямот,кьеб
395,Bett::N,ацамо,тахт
396,Regal::N,лався,кьацӏ
397,Regal::N,лавсяланго,кьацӏ
398,Kiste::N,горобия,ящик
399,Kiste::N,сундук,ящик
400,Fenster::N,вальма,дакӏар
401,Tür::N,кенкш,рак
402,Tor::N,ортат,варар
403,Zaun::N,пирявт,пару
404,Zaun::N,пирвякс,пару
405,Dach::N,кудопря,къав
406,Leiter::N,кузтема,гурар
407,Besen::N,тенсть,таран кул
408,Spaten::N,койме,ппер
409,Schaufel::N,кече,хекендаз
410,Schaufel::N,келей койме,хекендаз
411,Gabel::N,сянгине,шиш
412,Löffel::N,пенч,тӏур
413,Messer::N,пеель,чукӏул
414,Nagel::N,эске,мих
415,Netz::N,алтыма,чил
416,Haken::N,кечказ,къармах
417,Griff::N,кедне,ттум
418,Schloss::N,замок,куьлег
419,Schloss::N,панжома,куьлег
420,Bild::N,картина,шикил
421,Bild::N,картина,суьрет
422,Figur::N,рунго,фигура
423,Puppe::N,няка,нини
424,Beutel::N,кескав,тагъар
425,Bündel::N,керькс,галгам
426,Tasche::N,юдма,чанта
427,Eimer::N,ведра,ведре
428,Deckel::N,велькс,кьил
429,Deckel::N,велькс,къалпагъ
430,Geschirr::N,кедьге,къаб-къажах
431,Sack::N,кескав,чувал
432,Tasse::N,чакш,сукӏра
433,Topf::N,кастрюля,къажгъан
434,Kessel::N,котёл,къажгъан
435,Essen::N,ярсамо,тӏуьн
436,Nahrung::N,ярсамопель,тӏуьн
437,Speise::N,ярсамопель,хуьрек
438,Fleisch::N,сывель,як
439,Getreide::N,сюро,техил
440,Brei::N,каша,хапӏа
441,Brei::N,каша,хешил
442,Brot::N,кши,фу
443,Scheibe::N,кочом,чӏук
444,Scheibe::N,сускомо,чӏук
445,Fett::N,куя,ягълу
446,Butter::N,ой,гъери
447,Öl::N,ой,ягълу
448,Salz::N,сал,кьел
449,Suppe::N,ям,суп
450,Suppe::N,ям,шурпа
451,Honig::N,медь,вирт
452,Milch::N,ловсо,нек
453,Tee::N,чай,чай
454,Leder::N,киське,тумаж
455,Wolle::N,пона,йис
456,Stoff::N,коцт,парча
457,Nadel::N,салмукс,раб
458,Faden::N,суре,гъал
459,Knopf::N,пов,дуьгме
460,Knoten::N,сюлмо,тӏвал
461,Farbe::N,артомапель,ранг
462,Kleidung::N,оршамот,партал
463,Hemd::N,панар,перем
464,Kragen::N,сиве,хев
465,Ärmel::N,ожа,хел
466,Hose::N,понкст,шалвар
467,Gürtel::N,каркс,чӏул
468,Mütze::N,чапка,бармак
469,Mütze::N,чапка,бапӏах
470,Schuh::N,туфля,ботинка
471,Stiefel::N,кем,чекме
472,Ring::N,суркс,тупӏал
473,Band::N,лента,тасма
474,Kamm::N,сурсеме,регъ
475,Spiegel::N,чавачамо,гуьзгуь
476,Riemen::N,кшнань каркс,къайиш
477,Schnur::N,пикс,еб
478,Leine::N,ведьме,
479,Decke::N,вельтямо,яргъан
480,Kissen::N,тодов,хъуьцуьган
481,Tuch::N,паця,шал
482,Handtuch::N,нардамо,дасмал
483,Kraft::N,вий,гуж
484,Stärke::N,виевчи,къуват
485,Gesundheit::N,шумбрачи,сагъвал
486,Krankheit::N,орма,тӏал
487,Krankheit::N,сэредема,тӏал
488,Schmerz::N,сэредькс,тӏал
489,Schmerz::N,сэредькс,тӏарвал
490,Wunde::N,керявкс,хер
491,Fieber::N,маштыкс,ифин
492,Arznei::N,ормаменькс,дарман
493,Brücke::N,сэдь,муьгъ
494,Brücke::N,мадамо,муьгъ
495,Brunnen::N,лисьма,къуй
496,Weide::N,ракшань ванома тарка,уьруьш
497,Pfad::N,ян,рехъ
498,Weg::N,ки,рехъ
499,Straße::N,ки,рехъ
500,Dorf::N,веле,хуьр
501,Stadt::N,ош,шегьер
502,Brief::N,сёрма,кагъаз
503,Buch::N,книга,улуб
504,Buchstabe::N,буква,гьарф
505,Zeitung::N,газета,газета
506,Leben::N,эрямо,уьмуьр
507,Tod::N,кулома,кьиникь
508,Grab::N,калмо,сур
509,Kirche::N,церькова,килиса
510,Sünde::N,чумочи,гунагь
511,Gott::N,паз,аллагь
512,Arbeiter::N,робочей,фяле
513,Chef::N,прявт,гьаким
514,Meister::N,кол тевень тенця,устӏар
515,Arzt::N,врач,доктор
516,Lehrer::N,учитель,муаллим
517,Lehrer::N,тонавтыця,муаллим
518,Geld::N,ярмак,пул
519,Geschäft::N,ладязь тев,
520,Laden::N,лавка,магазин
521,Preis::N,питне,къимет
522,Ware::N,миевкс,мал
523,Ware::N,миевкс,товар
524,Ware::N,рамавкс,мал
525,Ware::N,рамавкс,товар
526,Nutzen::N,паро,хийир
527,Nutzen::N,паро,менфят
528,Nutzen::N,лезэ,хийир
529,Nutzen::N,лезэ,менфят
530,Reichtum::N,сюпавчи,девлет
531,Welt::N,мир,дуьнья
532,Welt::N,мастор ланго,дуьнья
533,Land::N,мастор,уьлкве
534,Staat::N,государства,пачагьлугъ
535,Staat::N,государства,государство
536,König::N,король,пачагь
537,Macht::N,азорксчи,власть
538,Grenze::N,буен тешкс,сергьят
539,Krieg::N,война,дяве
540,Feind::N,душман,душман
541,Gewalt::N,нарьгамо,гуж
542,Kampf::N,тюрема,женг
543,Bogen[Waffe]::N,нал,чӏемерук
544,Pfeil::N,нал,хьел
545,Gewehr::N,ружия,тфенг
546,Gewehr::N,винтовка,тфенг
547,Fehler::N,ильведькс,гъалатӏ
548,Fehler::N,ильведевкс,гъалатӏ
549,Lüge::N,манчема,ттаб
550,Lüge::N,кенгелема,ттаб
551,Schaden::N,зыян,зиян
552,Schaden::N,зыян,зарар
553,Unglück::N,зыян,бала
554,Unglück::N,зыян,бедбахтвал
555,Schuld::N,чумочи,тахсир
556,Alter::N,шка,яш
557,Schluss::N,пе,эхир
558,Zeit::N,шка,вяде
559,Zeit::N,пинге,вяде
560,Tag::N,чи,югъ
561,Morgen::N,валске,пакама
562,Mittag::N,чикуншка,нисин
563,Abend::N,чокшнэ,няни
564,Nacht::N,ве,йиф
565,Woche::N,недля,гьафте
566,Monat::N,ков,варз
567,Jahr::N,ие,йис
568,Frühling::N,тундо,гатфар
569,Sommer::N,кизэ,гад
570,Herbst::N,сёксь,зул
571,Winter::N,теле,кьуьд
572,Januar::N,якшамков,январь
573,Februar::N,февраль,февраль
574,März::N,март,март
575,April::N,апрель,апрель
576,Mai::N,май,май
577,Juni::N,июнь,июнь
578,Juli::N,июль,июль
579,August::N,август,август
580,September::N,сентября,сентябрь
581,Oktober::N,октября,октябрь
582,November::N,ноября,ноябрь
583,Dezember::N,декабря,декабрь
584,Montag::N,пондельник,ислен
585,Dienstag::N,овторник,саласа
586,Mittwoch::N,серёда,арбе
587,Donnerstag::N,цетьверьг,хемис югъ
588,Freitag::N,пеця,жуьмя
589,Freitag::N,пеця,жуьмя югъ
590,Samstag::N,субута,киш
591,Samstag::N,шлямочи,киш
592,Sonntag::N,недлячи,гьяд
593,groß::A,ине,еке
594,groß::A,ине,чӏехи
595,groß::A,покш,еке
596,groß::A,покш,чӏехи
597,klein::A,вишка,гъвечӏи
598,lang::A,кувака,яргъи
599,kurz::A,нурькине,куьруь
600,breit::A,келей,гьяркьуь
601,schmal::A,теине,гуьтӏуь
602,dicht::A,тусто,къалин
603,dick[Gegenstand]::A,эчке,
604,dünn::A,човине,кьелечӏ
605,fein::A,човине,шуькӏуь
606,fest::A,кеме,кӏеви
607,flach::A,лапужа,кьулу
608,glatt::A,валаня,цӏалцӏам
609,hart::A,калгодо,кӏеви
610,weich::A,чевте,хъуьтуьл
611,rund::A,кеверь,элкъвей
612,spitz::A,пшти,хци
613,scharf::A,пшти,хци
614,stumpf::A,ношка,къуьруь
615,schwer::A,стака,залан
616,schön::A,мазый,иер
617,heiß::A,пси,кудай
618,warm::A,лембе,чими
619,kalt::A,якшамо,мекьи
620,kühl::A,экше,къайи
621,frisch::A,свежа,таза
622,frisch::A,свежа,михьи
623,feucht::A,летьке,ламу
624,nass::A,начко,кьежей
625,trocken::A,коське,кьуру
626,voll::A,пешксе,ацӏай
627,leer::A,чаво,буш
628,leer::A,чаво,ичӏи
629,offen::A,панжадо,ахъа
630,offen::A,виде,ахъа
631,geschlossen::A,пекстазь,кӏеви
632,geschlossen::A,сёлгозь,кӏеви
633,sauber::A,ванькс,михьи
634,schmutzig::A,ливезев,чиркин
635,schmutzig::A,ливезев,кьацӏай
636,roh::A,верек,чиг
637,roh::A,верек,ицӏи
638,reif::A,кенерезь,дигмиш хьайи
639,lecker::A,тантей,дадлу
640,süß::A,ламбамо,ширин
641,bitter::A,сэпей,туькьуьл
642,sauer::A,чапамо,цуру
643,hell::A,валдо,экуь
644,dunkel::A,чопода,мичӏи
645,schwarz::A,раужо,чӏулав
646,weiß::A,ашо,лацу
647,rot::A,якстере,яру
648,gelb::A,ожо,хъипи
649,blau::A,сэнь,вили
650,grün::A,пиже,къацу
651,grau::A,шержев,рехи
652,bunt::A,сёрмав,цӏару
653,bunt::A,сёрмав,яру-цӏару
654,billig::A,аволь питней,ужуз
655,teuer::A,питней,багьа
656,wertvoll::A,питней,масан
657,blind::A,сокор,буьркьуь
658,taub::A,амариця,биши
659,kräftig::A,пек виев,гужлу
660,stark::A,виев,къуватлу
661,schwach::A,лавшо,такьатсуз
662,fett::A,куя,куьк
663,schlank::A,виде ронга,шумал
664,hübsch::A,мазый,гуьрчег
665,böse::A,кежей,пис
666,dumm::A,чавола,ахмакь
667,dumm::A,превтеме,ахмакь
668,faul::A,нузякс,тенпел
669,fleißig::A,мелень путыця,сяй ийидай
670,fleißig::A,мелень путыця,сяйи ийидай
671,geizig::A,скупой,мискьи
672,klug::A,превей,акьуллу
673,geschickt::A,маштозь теезь,магьир
674,lieb::A,вадря,играми
675,lustig::A,весёла,шад
676,sanft::A,сэтьме,назик
677,sanft::A,сэтьме,милайим
678,hungrig::A,вачо,гишин
679,krank::A,сэредиця,кефсуз
680,nackt::A,штапо,кьецӏил
681,traurig::A,нусманя,пашман
682,lebendig::A,эриця,ччан алай
683,gut::A,паро,хъсан
684,gut::A,паро,вижевай
685,schlecht::A,берянь,пис
686,richtig::A,виде,дуьз
687,schlimm::A,берянь,нифретлу
688,wahr::A,алкуксонь,гьакъикъи
689,alt::A,ташто,эски
690,alt::A,ташто,куьгьне
691,neu::A,од,цӏийи
692,ehemalig::A,икелень,виликан
693,alt[Lebewesen]::A,сыре,кьуьзуь
694,jung::A,од,жегьил
695,arm::A,кажов,кесиб
696,reich::A,сюпав,девлетлу
697,bekannt::A,содавикс,чидай
698,berühmt::A,содавикс,машгьур
699,fremd::A,лия,ччара
700,fremd::A,асодавикс,ччара
701,verschieden::A,эрьва,жуьреба-жуьре
702,nah::A,а васолонь,мукьвал
703,fern::A,умонь,яргъал
704,fern::A,кезэрень,яргъал
705,linker::A,керш,чапла
706,rechter::A,вить,эрчӏи
707,anderer::A,лия,маса
708,anderer::A,лия,муькуь
709,erster::A,васень,сад лагьай
710,erster::A,васенце,сад лагьай
711,zweiter::A,омбоце,кьвед лагьай
712,dritter::A,колмоце,пуд лагьай
713,letzter::A,меельце,эхиримжи
714,allein::ADV,башка,кьилди
715,allein::ADV,ськамонзо,кьилди
716,auf einmal::ADV,вейсэ,
717,zusammen::ADV,вейс,санал
718,zusammen::ADV,вейсэ,санал
719,lange::ADV,кувать,яргъалди
720,plötzlich::ADV,апак учо,садлагьана
721,sofort::ADV,курок,гьасятда
722,sofort::ADV,нейке,гьасятда
723,später::ADV,мейле,гуьгъуьнлай
724,jetzt::ADV,ней,гила
725,heute::ADV,течи,къе
726,morgen::ADV,ванды,пака
727,bald::ADV,курок,мукьва
728,bald::ADV,курок,мукьвара
729,dann::ADV,мейле,ахпа
730,dann::ADV,седе мейле,ахпа
731,gestern::ADV,исяк,накь
732,einst::ADV,весть,садра
733,einst::ADV,зярдо-бути,садра
734,damals::ADV,сестэ,а чӏавуз
735,danach::ADV,мейле,ахпа
736,danach::ADV,седе мейле,ахпа
737,vorher::ADV,васняяк,вилик
738,zuerst::ADV,васня,сифте
739,einmal::ADV,весть,садра
740,manchmal::ADV,лиясто,гагь-гагь
741,oft::ADV,сеетьстэ,гзаф вахтара
742,immer::ADV,свал,гьамиша
743,niemals::ADV,а зярдояк,са чӏавузни
744,niemals::ADV,а зярдояк,са вахтундани
745,hier::ADV,тесэ,ина
746,hierhin::ADV,тей,иниз
747,von hier::ADV,тестэ,инай
748,dort::ADV,тосо,ана
749,dorthin::ADV,тов,аниз
750,geradeaus::ADV,витьстэ,дуьз
751,vorwärts::ADV,икелев,вилик
752,vorwärts::ADV,икелев,виликди
753,rückwärts::ADV,мекев,кьулухъ
754,zurück::ADV,мекев,
755,unten::ADV,ало,агъада
756,hinab::ADV,алов,агъуз
757,oben::ADV,вере,винел
758,hinauf::ADV,верев,виниз
759,überall::ADV,эрьва косо,вирина
760,nicht::ADV,а,ваъ
761,ein wenig::ADV,аламошка,са тӏимил
762,kaum::ADV,ансяк,жизви
763,sehr::ADV,пек,лап
764,sehr::ADV,вельть,лап
765,so::ADV,истя,икӏ
766,noch::ADV,таго,гьеле
767,nur::ADV,ансяк,анжах
768,schon::ADV,уш,хъувуна
769,schon::ADV,уш,мадни дардиз
770,schon::ADV,уш,мадни гуьтӏуьз
771,schon::ADV,уш,мадни гуьтӏуь я
772,wieder::ADV,таго,
773,vergebens::ADV,стяко,нагьакь
774,vergebens::ADV,стяко,нагьакьа
775,vor::PRP,икеле,вилик
776,hinter::PRP,вельде,кьулухъ
777,unter::PRP,ало,кӏаник
778,durch::PRP,пачк,арадай
779,durch::PRP,пачк,-кай хкатна
780,neben::PRP,вакссо,патав
781,neben::PRP,вакссо,мукьув
782,zwischen::PRP,ютксо,ара
783,zwischen::PRP,ютксо,арада
784,wegen::PRP,кис,гъиляй
785,wegen::PRP,коряс,гъиляй
786,wegen::PRP,кувалт,гъиляй
787,dies::PRN,те,и
