,Concept_ID,sk,kv
92,Schmutz::N,špina,нять
93,Schmutz::N,nečistota,нять
94,See::N,jazero,ты
95,Sumpf::N,bahno,арай
96,Moor::N,močiar,нюр
97,Wiese::N,lúka,видз
98,Wald::N,les,вӧр
99,Wald::N,hora,вӧр
100,Hügel::N,vŕšok,мыльк
101,Anhöhe::N,výšina,вывтас
102,Anhöhe::N,výšina,вылынін
103,Anhöhe::N,vyvýšenina,вывтас
104,Anhöhe::N,vyvýšenina,вылынін
105,Berg::N,hora,керӧс
106,Gipfel::N,vrchol,йыв
107,Höhle::N,jaskyňa,нора
108,Abhang::N,úbočie,покат
109,Quelle::N,prameň,больган
110,Bach::N,potok,шор
111,Fluss::N,rieka,ю
112,Ufer::N,breh,берег
113,Küste::N,pobrežie,берег
114,Festland::N,pevnina,му
115,Meer::N,more,море
116,Bucht::N,záliv,курья
117,Bucht::N,zátoka,курья
118,Insel::N,ostrov,
119,Blume::N,kvet,цветок
120,Blume::N,kvetina,цветок
121,Gras::N,tráva,турун
122,Wurzel::N,koreň,вуж
123,Baum::N,strom,пу
124,Stamm::N,kmeň,мыр
125,Stamm::N,kmeň,кер
126,Rinde::N,kôra,кач
127,Ast::N,konár,ув
128,Zweig::N,vetva,ув
129,Blatt::N,list,лист
130,Birke::N,breza,кыдз
131,Kiefer[Baum]::N,sosna,пожум
132,Kiefer[Baum]::N,borovica,пожум
133,Weide[Baum]::N,vŕba,бадь
134,Tanne::N,jedľa,кӧз
135,Horn::N,roh,сюр
136,Feder::N,pero,гӧн
137,Fell::N,koža,кучик
138,Fell::N,kožušina,кучик
139,Flügel::N,krídlo,борд
140,Klaue::N,paznecht,гыж
141,Kralle::N,pazúr,кабыр
142,Schwanz::N,chvost,бӧж
143,Ei::N,vajce,кольть
144,Ei::N,vajíčko,кольть
145,Nest::N,hniezdo,поз
146,Bau::N,nora,осьта
147,Bau::N,nora,нора
148,Tier::N,zviera,зверь
149,Herde::N,stádo,гурт
150,Kuh::N,krava,мӧс
151,Bulle::N,býk,ӧшка
152,Pferd::N,kôň,вӧв
153,Schaf::N,ovca,баля
154,Schwein::N,sviňa,порсь
155,Hund::N,pes,пон
156,Katze::N,mačka,кань
157,Bär::N,medveď,ош
158,Eichhörnchen::N,veverička,ур
159,Elch::N,los,вӧр мӧс
160,Fuchs::N,líška,руч
161,Hase::N,zajac,кӧч
162,Maus::N,myš,шыр
163,Wolf::N,vlk,кӧин
164,Vogel::N,vták,кай
165,Schwarm::N,roj,стая
166,Schwarm::N,roj,чукӧр
167,Huhn::N,kurča,курӧг
168,Huhn::N,sliepka,курӧг
169,Hahn::N,kohút,петух
170,Hahn::N,kohút,ай курӧг
171,Gans::N,hus,дзодзог
172,Adler::N,orol,куч
173,Adler::N,orol,кутш
174,Ente::N,kačka,утка
175,Ente::N,kačica,утка
176,Eule::N,sova,тупка
177,Kranich::N,žeriav,тури
178,Krähe::N,vrana,рака
179,Kuckuck::N,kukučka,кӧк
180,Schwan::N,labuť,юсь
181,Fisch::N,ryba,чери
182,Barsch::N,ostriež,ёкыш
183,Hecht::N,šťuka,сирпинь
184,Schlange[Tier]::N,had,змей
185,Wurm::N,červ,номыр
186,Spinne::N,pavúk,черань
187,Ameise::N,mravec,кӧдзывкар
188,Laus::N,voš,ляпа той
189,Mücke::N,komár,ном
190,Fliege::N,mucha,гут
191,Schmetterling::N,motýľ,бабыв
192,Beere::N,bobuľa,ягӧд
193,Apfel::N,jablko,яблоко
194,Pilz::N,hríb,тшак
195,Zwiebel::N,cibuľa,грез
196,Saat::N,osivo,кӧдзыс
197,Korn::N,zrno,сю
198,Heu::N,seno,турун
199,Schale::N,šupa,кыш
200,Schale::N,šupa,киль
201,Schale::N,škrupina,кыш
202,Schale::N,škrupina,киль
203,Grube::N,jama,яма
204,Falle::N,pasca,нальк
205,Falle::N,pasca,кляпча
206,Falle::N,klepec,нальк
207,Falle::N,klepec,кляпча
208,Schlinge::N,slučka,лӧч
209,Spur::N,stopa,туй
210,Asche::N,popol,пӧим
211,Dreck::N,kal,нять
212,Dreck::N,blato,нять
213,Eisen::N,železo,кӧрт
214,Gold::N,zlato,зарни
215,Silber::N,striebro,язісь
216,Kohle::N,uhlie,шом
217,Kohle::N,uhlie,уголь
218,Glas::N,sklo,стекло
219,Lehm::N,íl,сёй
220,Lehm::N,hlina,сёй
221,Sand::N,piesok,лыа
222,Mensch::N,človek,морт
223,Mann::N,muž,мужик
224,Mann::N,chlap,мужик
225,Frau::N,žena,инька
226,Kind::N,dieťa,кага
227,Junge::N,chlapec,зонка
228,Mädchen::N,dievka,нывкаок
229,Familie::N,rodina,семья
230,Großvater::N,dedo,дед
231,Großvater::N,starý otec,дед
232,Großmutter::N,babička,баб
233,Großmutter::N,stará mať,баб
234,Eltern::N,rodičia,ай-мам
235,Vater::N,otec,ай
236,Mutter::N,mať,мам
237,Mutter::N,matka,мам
238,Sohn::N,syn,зон
239,Tochter::N,dcéra,ныв
240,Bruder::N,brat,вон
241,Schwester::N,sestra,сой
242,Onkel::N,ujo,дядь
243,Onkel::N,strýko,дядь
244,Tante::N,teta,айӧлӧн сой
245,Tante::N,teta,ичинь
246,Tante::N,tetka,айӧлӧн сой
247,Tante::N,tetka,ичинь
248,Ehemann::N,muž,жӧник
249,Ehemann::N,manžel,жӧник
250,Ehefrau::N,žena,инь
251,Ehefrau::N,manželka,инь
252,Freude::N,radosť,гаж
253,Freude::N,radosť,радъялӧм
254,Gelächter::N,smiech,сералӧм
255,Glück::N,šťastie,мичлун
256,Kummer::N,žiaľ,шог
257,Kummer::N,zármutok,шог
258,Wunsch::N,prianie,мӧдӧм
259,Wunsch::N,prianie,охотитӧм
260,Lust::N,chuť,охота
261,Geist::N,duch,лов
262,Gedanke::N,myšlienka,дума
263,Gedächtnis::N,pamäť,тӧдвыв
264,Verstand::N,rozum,вежӧр
265,Sinn::N,zmysel,ылӧс
266,Grund::N,dôvod,мог
267,Grund::N,príčina,мог
268,Wahrheit::N,pravda,правда
269,Gespräch::N,reč,сёрни
270,Gespräch::N,rozhovor,сёрни
271,Märchen::N,rozprávka,сказка
272,Erzählung::N,poviedka,висьт
273,Nachricht::N,správa,юӧр
274,Nachricht::N,správa,висьталӧм
275,Neuigkeit::N,novinka,новость
276,Name::N,meno,ним
277,Rätsel::N,záhada,загадка
278,Rätsel::N,hádanka,загадка
279,Rede::N,reč,сёрни
280,Sprache::N,reč,кыв
281,Sprache::N,jazyk,кыв
282,Stimme::N,hlas,голос
283,Wort::N,slovo,кыв
284,Zeichen::N,znak,пас
285,Ruf::N,volanie,чуксӧм
286,Ruf::N,volanie,чукӧстӧм
287,Ruf::N,zavolanie,чуксӧм
288,Ruf::N,zavolanie,чукӧстӧм
289,Lärm::N,hluk,шум
290,Lärm::N,hurhaj,шум
291,Laut::N,zvuk,шы
292,Ton::N,tón,гор
293,Ton::N,zvuk,гор
294,Lied::N,pieseň,сьыланкыв
295,Ruhe::N,pokoj,спокой
296,Leute::N,ľudia,йӧз
297,Volk::N,ľud,йӧз
298,Volk::N,ľud,народ
299,Volk::N,národ,йӧз
300,Volk::N,národ,народ
301,Arbeit::N,práca,удж
302,Arbeit::N,robota,удж
303,Gast::N,hosť,гӧсь
304,Geschenk::N,dar,гӧснеч
305,Geschenk::N,dar,подарок
306,Spiel::N,hra,орсӧм
307,Gesellschaft::N,spoločnosť,компания
308,Hilfe::N,pomoc,отсӧт
309,Freund::N,priateľ,модз
310,Freund::N,priateľ,дружок
311,Kamerad::N,kamarát,тӧдса
312,Angelegenheit::N,vec,дело
313,Angelegenheit::N,záležitosť,дело
314,Anzahl::N,počet,лыд
315,Anzahl::N,množstvo,лыд
316,Art::N,druh,пӧлӧс
317,Stück::N,kus,тор
318,Stück::N,kúsok,тор
319,Teil::N,časť,юкӧм
320,Hälfte::N,polka,джын
321,Hälfte::N,polovica,джын
322,Kreis::N,kruh,круг
323,Kreuz::N,kríž,перна
324,Linie::N,línia,визь
325,Strich::N,čiara,кырӧв
326,Abstand::N,vzdialenosť,колас
327,Entfernung::N,vzdialenosť,ылына
328,Gegend::N,kraj,места
329,Gegend::N,krajina,места
330,Platz::N,miesto,места
331,Ort::N,miesto,места
332,Seite::N,bok,ладор
333,Seite::N,strana,ладор
334,Mitte::N,stred,шӧр
335,Gegenstand::N,predmet,тор
336,Sache::N,vec,тор
337,Rand::N,kraj,дор
338,Rand::N,okraj,дор
339,Kante::N,hrana,ордлы
340,Ecke::N,roh,пельӧс
341,Spitze::N,hrot,йыв
342,Spitze::N,špička,йыв
343,Ende::N,koniec,йыв
344,Loch::N,diera,осьта
345,Winkel::N,kút,пельӧс
346,Muster::N,vzor,сер
347,Muster::N,vzorka,сер
348,Größe::N,veľkosť,ыжда
349,Länge::N,dĺžka,кузя
350,Höhe::N,výška,сувда
351,Höhe::N,výška,вылына
352,Gewicht::N,váha,сьӧкта
353,Menge::N,množstvo,
354,Haufen::N,hŕba,куча
355,Reihe::N,rad,лёдз
356,Boot::N,čln,пыж
357,Ruder::N,veslo,пелыс
358,Schlitten::N,sane,додь
359,Ski::N,lyža,лямпа
360,Lagerfeuer::N,táborák,бипур
361,Last::N,ťarcha,тягота
362,Last::N,bremeno,тягота
363,Gang::N,chôdza,мунӧм
364,Schritt::N,krok,вожмӧв
365,Norden::N,sever,ой
366,Süden::N,juh,лун
367,Westen::N,západ,рытвыв
368,Osten::N,východ,асыв
369,Holz::N,drevo,пу
370,Brett::N,doska,пӧв
371,Platte::N,doska,плита
372,Platte::N,platňa,плита
373,Stütze::N,opora,пика
374,Stange::N,tyč,зор
375,Stange::N,tyč,потш
376,Stock::N,palica,бедь
377,Stab::N,palica,шест
378,Rohr::N,rúra,труба
379,Haus::N,dom,керку
380,Heim::N,domov,керку
381,Ofen::N,pec,пӧжавны
382,Ofen::N,kachle,пӧжавны
383,Fußboden::N,dlážka,джодж
384,Fußboden::N,podlaha,джодж
385,Tisch::N,stôl,пызан
386,Stuhl::N,stolička,стул
387,Wiege::N,kolíska,зыбка
388,Bett::N,lôžko,кровать
389,Bett::N,posteľ,кровать
390,Regal::N,regál,джадж
391,Regal::N,polica,джадж
392,Kiste::N,debna,ящик
393,Fenster::N,okno,ӧшын
394,Fenster::N,oblok,ӧшын
395,Tür::N,dvere,ыбӧс
396,Tor::N,vráta,ворота
397,Zaun::N,plot,забор
398,Zaun::N,ohrada,забор
399,Dach::N,krov,крыша
400,Dach::N,strecha,крыша
401,Leiter::N,rebrík,лиснич
402,Leiter::N,rebrina,лиснич
403,Besen::N,metla,рос
404,Spaten::N,rýľ,зыр
405,Schaufel::N,lopata,зыр
406,Gabel::N,vidlička,вила
407,Löffel::N,lyžica,пань
408,Messer::N,nôž,пурт
409,Nagel::N,klinec,кӧрттув
410,Netz::N,sieť,кыйӧт
411,Haken::N,hák,ем
412,Haken::N,háčik,ем
413,Griff::N,rukoväť,пу
414,Schloss::N,zámka,замок
415,Bild::N,obraz,картина
416,Figur::N,figúra,мыгӧр
417,Puppe::N,bábka,акань
418,Puppe::N,bábika,акань
419,Beutel::N,vrece,мешӧк
420,Beutel::N,vrecko,мешӧк
421,Bündel::N,uzlík,нин
422,Bündel::N,zväzok,нин
423,Tasche::N,taška,сумка
424,Tasche::N,kabelka,сумка
425,Eimer::N,vedro,ведра
426,Deckel::N,vrchnák,вевт
427,Deckel::N,pokrývka,вевт
428,Geschirr::N,nádoba,доз
429,Geschirr::N,nádoba,бекӧрпань
430,Sack::N,mech,мешӧк
431,Sack::N,vrece,мешӧк
432,Tasse::N,šálka,бекӧр
433,Topf::N,hrniec,кастрюля
434,Kessel::N,kotol,пӧрт
435,Essen::N,jedlo,сёйӧм
436,Nahrung::N,strava,вердан
437,Nahrung::N,potrava,вердан
438,Speise::N,jedlo,сёян
439,Fleisch::N,mäso,яй
440,Getreide::N,obilie,сю
441,Brei::N,kaša,каша
442,Brot::N,chlieb,нянь
443,Scheibe::N,kotúč,шӧрӧм
444,Scheibe::N,krajec,шӧрӧм
445,Fett::N,tuk,гос
446,Fett::N,masť,гос
447,Butter::N,maslo,ви
448,Öl::N,olej,ви
449,Salz::N,soľ,сов
450,Suppe::N,polievka,шыд
451,Honig::N,med,ма
452,Milch::N,mlieko,йӧв
453,Tee::N,čaj,чай
454,Leder::N,koža,кучик
455,Wolle::N,vlna,гӧн
456,Stoff::N,súkno,дӧра
457,Nadel::N,ihla,ем
458,Faden::N,niť,сунис
459,Faden::N,vlákno,сунис
460,Knopf::N,gombík,кизь
461,Knoten::N,uzol,узӧв
462,Knoten::N,uzol,гӧрӧд
463,Farbe::N,farba,краска
464,Kleidung::N,šaty,паськӧм
465,Kleidung::N,šatstvo,паськӧм
466,Hemd::N,košeľa,йӧрнӧс
467,Kragen::N,golier,воротник
468,Ärmel::N,rukáv,сос
469,Hose::N,nohavice,вешьян
470,Gürtel::N,pás,йи
471,Gürtel::N,opasok,йи
472,Mütze::N,čiapka,шапка
473,Schuh::N,obuv,ботинки
474,Schuh::N,topánka,ботинки
475,Stiefel::N,čižma,сапог
476,Ring::N,prsteň,чунькытш
477,Band::N,stuha,ленточка
478,Kamm::N,hrebeň,сынан
479,Spiegel::N,zrkadlo,зеркало
480,Riemen::N,remeň,ремень
481,Schnur::N,šnúra,гез
482,Leine::N,vodidlo,повод
483,Decke::N,deka,одеяло
484,Decke::N,prikrývka,одеяло
485,Kissen::N,poduška,подушка
486,Tuch::N,šatka,чышьян
487,Handtuch::N,uterák,чышкӧт
488,Kraft::N,moc,прак
489,Stärke::N,sila,вын
490,Gesundheit::N,zdravie,здоровье
491,Krankheit::N,nemoc,шог
492,Krankheit::N,choroba,шог
493,Schmerz::N,bolesť,зубыт
494,Wunde::N,rana,рана
495,Fieber::N,horúčka,лёк тресся
496,Fieber::N,horúčka,кынтан шогӧт
497,Arznei::N,liek,лекарство
498,Brücke::N,most,пос
499,Brunnen::N,studňa,колодец 
500,Weide::N,pastva,пода йирсян
501,Pfad::N,chodník,туй
502,Weg::N,cesta,туй
503,Straße::N,hradská,туй
504,Dorf::N,dedina,деревня
505,Stadt::N,mesto,город
506,Brief::N,list,гижӧт
507,Buch::N,kniha,книга
508,Buchstabe::N,litera,буква
509,Buchstabe::N,písmeno,буква
510,Zeitung::N,noviny,газета
511,Leben::N,život,олан
512,Tod::N,smrť,кулӧм
513,Grab::N,hrob,гу
514,Kirche::N,kostol,вичку
515,Sünde::N,hriech,грек
516,Gott::N,boh,ен
517,Arbeiter::N,robotník,уджалiсь
518,Arbeiter::N,pracnovík,уджалiсь
519,Chef::N,šéf,начальник
520,Chef::N,riaditeľ,начальник
521,Meister::N,majster,мастер
522,Arzt::N,lekár,врач
523,Lehrer::N,učiteľ,велӧтісь
524,Geld::N,peniaze,деньга
525,Geschäft::N,obchod,удж
526,Laden::N,obchod,магазин
527,Preis::N,cena,дон
528,Ware::N,tovar,товар
529,Nutzen::N,osoh,путь
530,Nutzen::N,úžitok,путь
531,Reichtum::N,bohatstvo,богатство
532,Welt::N,svet,му
533,Land::N,územie,страна
534,Land::N,krajina,страна
535,Staat::N,štát,государство
536,König::N,kráľ,кан
537,Macht::N,moc,власть
538,Macht::N,mocnosť,власть
539,Grenze::N,hranica,граница
540,Krieg::N,vojna,война
541,Feind::N,nepriateľ,враг
542,Gewalt::N,násilie,
543,Kampf::N,boj,нярасьӧм
544,Kampf::N,boj,вермасьӧм
545,Bogen[Waffe]::N,luk,лук
546,Pfeil::N,šíp,ньӧв
547,Pfeil::N,strela,ньӧв
548,Gewehr::N,puška,ружьё
549,Fehler::N,omyl,ошибка
550,Fehler::N,chyba,ошибка
551,Lüge::N,lož,ылӧтӧм
552,Lüge::N,lož,пӧрьялӧм
553,Schaden::N,ujma,лёк
554,Schaden::N,škoda,лёк
555,Unglück::N,nešťastie,пик
556,Unglück::N,nešťastie,оказзё
557,Schuld::N,vina,вина
558,Schuld::N,previnenie,вина
559,Alter::N,vek,
560,Schluss::N,záver,ком
561,Schluss::N,koniec,ком
562,Zeit::N,čas,кад
563,Tag::N,deň,лун
564,Morgen::N,ráno,асыв
565,Mittag::N,poludnie,луншӧр кад
566,Abend::N,večer,рыт
567,Nacht::N,noc,ой
568,Woche::N,týždeň,неделя
569,Monat::N,mesiac,тӧлicь
570,Jahr::N,rok,год
571,Frühling::N,jar,тулыс
572,Sommer::N,leto,гожум
573,Herbst::N,jeseň,ар
574,Winter::N,zima,тӧв
575,Januar::N,január,январ
576,Februar::N,február,февраль
577,März::N,marec,март
578,April::N,apríl,апрель
579,Mai::N,máj,май
580,Juni::N,jún,юнь
581,Juli::N,júl,юль
582,August::N,august,август
583,September::N,september,сентяб
584,Oktober::N,október,октяб
585,November::N,november,нояб
586,Dezember::N,december,декаб
587,Montag::N,pondelok,вильлун
588,Dienstag::N,utorok,мӧдӧдзлун
589,Mittwoch::N,streda,шӧрлун
590,Donnerstag::N,štvrtok,нёльӧдзлун
591,Freitag::N,piatok,витӧдзлун
592,Samstag::N,sobota,пывсянлун
593,Sonntag::N,nedeľa,кресення
594,groß::A,veľký,ыджыт
595,klein::A,malý,учӧтик
596,lang::A,dlhý,кузь
597,kurz::A,krátky,дженыт
598,breit::A,široký,ота
599,schmal::A,úzky,векнит
600,dicht::A,hustý,тшӧк
601,dick[Gegenstand]::A,tlstý,кыз
602,dünn::A,tenký,вӧснит
603,fein::A,jemný,вӧснит
604,fest::A,pevný,крепыт
605,flach::A,rovný,лапкӧса
606,flach::A,plochý,лапкӧса
607,glatt::A,hladký,волькыт
608,hart::A,tvrdý,чӧрыт
609,weich::A,mäkký,небыт
610,rund::A,guľatý,гӧгрӧса
611,rund::A,okrúhly,гӧгрӧса
612,spitz::A,končitý,ёся
613,scharf::A,ostrý,лэчыт
614,stumpf::A,tupý,ныж
615,schwer::A,ťažký,сьӧкыт
616,schön::A,pekný,басӧк
617,schön::A,krásny,басӧк
618,heiß::A,horúci,жар
619,warm::A,teplý,шоныт
620,kalt::A,studený,кӧдзыт
621,kühl::A,chladný,сайкыт
622,frisch::A,svieži,виль
623,feucht::A,vlhký,вакодь
624,feucht::A,zvlhnutý,вакодь
625,nass::A,mokrý,ва
626,trocken::A,suchý,кӧс
627,voll::A,plný,тыра
628,leer::A,prázdny,тыртӧм
629,offen::A,otvorený,оссьӧм
630,geschlossen::A,zavretý,игана
631,geschlossen::A,zavretý,пӧдана
632,sauber::A,čistý,сӧдз
633,sauber::A,čistý,сӧстӧм
634,schmutzig::A,špinavý,нятьӧсь
635,roh::A,surový,путӧм
636,reif::A,zrelý,кисьмалӧм
637,lecker::A,chutný,кӧра 
638,süß::A,sladký,чӧскыт
639,bitter::A,horký,курыт
640,sauer::A,kyslý,шӧма 
641,hell::A,jasný,югыт
642,hell::A,svetlý,югыт
643,dunkel::A,temný,пемыт
644,schwarz::A,čierny,сьӧд
645,weiß::A,biely,чочком
646,rot::A,červený,гӧрд
647,gelb::A,žltý,веж
648,blau::A,modrý,лӧз
649,blau::A,belasý,лӧз
650,grün::A,zelený,веж
651,grau::A,šedý,руд
652,grau::A,šedý,бусӧй
653,bunt::A,pestrý,быдрӧма
654,billig::A,lacný,донтӧм
655,teuer::A,drahý,дона
656,wertvoll::A,cenný,дона
657,blind::A,slepý,синтӧм
658,taub::A,hluchý,пельтӧм
659,kräftig::A,silný,вына
660,stark::A,silný,вына
661,schwach::A,slabý,некодя
662,schwach::A,bezvládny,некодя
663,fett::A,tučný,госа
664,schlank::A,štíhly,статя
665,hübsch::A,šumný,басӧк
666,hübsch::A,švárny,басӧк
667,böse::A,zlý,лёк
668,dumm::A,hlúpy,бӧбӧв
669,dumm::A,hlúpy,вежӧртӧм
670,faul::A,lenivý,дыш
671,fleißig::A,snaživý,уджалicь
672,fleißig::A,usilovný,уджалicь
673,geizig::A,skupý,жикмӧра
674,geizig::A,skupý,горшаліcь
675,geizig::A,lakomý,жикмӧра
676,geizig::A,lakomý,горшаліcь
677,klug::A,múdry,авья
678,klug::A,múdry,вежӧра
679,klug::A,bystrý,авья
680,klug::A,bystrý,вежӧра
681,geschickt::A,zručný,кипода
682,geschickt::A,šikovný,кипода
683,lieb::A,milý,муса
684,lieb::A,milý,дзулиньӧй
685,lustig::A,veselý,гажа
686,sanft::A,nežný,лебезнӧй
687,hungrig::A,lačný,тшыг
688,hungrig::A,hladný,тшыг
689,krank::A,chorý,шогалiсь
690,krank::A,nemocný,шогалiсь
691,nackt::A,nahý,куш
692,traurig::A,smutný,жугыль
693,lebendig::A,živý,ловья
694,gut::A,dobrý,бур
695,schlecht::A,zlý,умӧль
696,richtig::A,správny,
697,schlimm::A,zlý,нештӧм
698,schlimm::A,nepríjemný,нештӧм
699,wahr::A,pravý,
700,wahr::A,pravdivý,
701,alt::A,starý,важ
702,neu::A,nový,виль
703,ehemalig::A,bývalý,вӧвлӧм
704,alt[Lebewesen]::A,starý,года
705,alt[Lebewesen]::A,starý,годдэза
706,jung::A,mladý,том
707,arm::A,chudobný,гов
708,arm::A,chudobný,беднӧй
709,reich::A,bohatý,эма
710,bekannt::A,známy,тӧдса
711,berühmt::A,slávny,
712,berühmt::A,povestný,
713,fremd::A,cudzí,чужӧй
714,verschieden::A,rôzny,быдкодь
715,verschieden::A,rozličný,быдкодь
716,nah::A,blízky,матiсь
717,fern::A,ďaleký,ылicь
718,linker::A,ľavý,шульга
719,rechter::A,pravý,веськытланись
720,anderer::A,iný,мукӧд
721,anderer::A,druhý,мукӧд
722,erster::A,prvý,медодзза
723,zweiter::A,druhý,кыкӧт
724,dritter::A,tretí,куимӧт
725,dritter::A,tretí,куимӧдз
726,letzter::A,ostatný,бӧрья
727,letzter::A,ostatný,мёдбӧрья
728,letzter::A,posledný,бӧрья
729,letzter::A,posledný,мёдбӧрья
730,allein::ADV,sám,
731,auf einmal::ADV,zároveň,тшӧтш
732,zusammen::ADV,spolu,ӧтлаын
733,zusammen::ADV,spoločne,ӧтлаын
734,lange::ADV,dlho,дыр
735,plötzlich::ADV,náhle,друг
736,sofort::ADV,hneď,тшӧтш
737,sofort::ADV,ihneď,тшӧтш
738,später::ADV,neskoršie,медбӧрын
739,jetzt::ADV,teraz,ӧні
740,heute::ADV,dnes,талун
741,morgen::ADV,zajtra,ашын
742,bald::ADV,skoro,чожа
743,dann::ADV,nato,сыбӧрын
744,dann::ADV,potom,сыбӧрын
745,gestern::ADV,včera,тӧн
746,einst::ADV,kedysi,ӧтпыр
747,einst::ADV,niekedy,ӧтпыр
748,damals::ADV,vtedy,сэк
749,damals::ADV,vtedy,сэки
750,danach::ADV,potom,сэсся
751,danach::ADV,podľa toho,сэсся
752,vorher::ADV,napred,одзжык
753,vorher::ADV,predtým,одзжык
754,zuerst::ADV,najprv,наперво
755,einmal::ADV,raz,ӧтпыр
756,einmal::ADV,jedenkrát,ӧтпыр
757,manchmal::ADV,občas,мукӧдпыр
758,manchmal::ADV,niekedy,мукӧдпыр
759,oft::ADV,často,-лы-
760,immer::ADV,vždy,быдпыр
761,immer::ADV,vždy,быдпырся
762,immer::ADV,ustavične,быдпыр
763,immer::ADV,ustavične,быдпырся
764,niemals::ADV,nikdy,некӧр
765,hier::ADV,tu,татӧн
766,hierhin::ADV,sem,татчӧ
767,hierhin::ADV,tade,татчӧ
768,von hier::ADV,odtiaľto,тасянь
769,dort::ADV,tam,сэтӧн
770,dorthin::ADV,ta,сэтчин
771,dorthin::ADV,tam,сэтчин
772,geradeaus::ADV,rovno,веськыта
773,geradeaus::ADV,priamo,веськыта
774,vorwärts::ADV,napred,одзӧ
775,rückwärts::ADV,nazad,бӧр
776,zurück::ADV,späť,бӧр
777,zurück::ADV,naspäť,бӧр
778,unten::ADV,dolu,увтын
779,unten::ADV,naspodku,увтын
780,hinab::ADV,dolu,увтас
781,oben::ADV,hore,вевдӧрас
782,oben::ADV,navrchu,вевдӧрас
783,hinauf::ADV,hore,вывлань
784,hinauf::ADV,hore,вывланьӧ
785,hinauf::ADV,navrch,вывлань
786,hinauf::ADV,navrch,вывланьӧ
787,überall::ADV,všade,быдлан
788,nicht::ADV,nie,ог
789,ein wenig::ADV,trocha,-ышт
790,ein wenig::ADV,trocha,невна
791,kaum::ADV,ledva,ӧдва
792,sehr::ADV,veľmi,вывтi
793,so::ADV,tak,сiдз
794,so::ADV,takto,сiдз
795,noch::ADV,ešte,эшӧ
796,nur::ADV,len,только
797,schon::ADV,už,ни
798,wieder::ADV,zasa,бӧра
799,vergebens::ADV,márne,весись
800,vergebens::ADV,nadarmo,весись
801,vor::PRP,pred,одзас
802,hinter::PRP,za,бӧрӧ
