,Concept_ID,et,be
167,Hase::N,jänes,заяц
168,Maus::N,hiir,мыш
169,Wolf::N,hunt,воўк
170,Vogel::N,lind,птах
171,Vogel::N,lind,птушка
172,Schwarm::N,parv,чарада
173,Huhn::N,kana,курыца
174,Hahn::N,kukk,певень
175,Gans::N,hani,гусь
176,Adler::N,kotkas,арол
177,Ente::N,part,качка
178,Eule::N,kakk,сава
179,Eule::N,öökull,сава
180,Kranich::N,kurg,жораў
181,Kranich::N,kurg,журавель
182,Krähe::N,vares,варона
183,Kuckuck::N,kägu,зязюля
184,Schwan::N,luik,лебедзь
185,Fisch::N,kala,рыба
186,Barsch::N,ahven,акунь
187,Hecht::N,haug,шчупак
188,Schlange[Tier]::N,uss,змяя
189,Wurm::N,uss,чарвяк
190,Wurm::N,vagel,чарвяк
191,Spinne::N,ämblik,павук
192,Ameise::N,sipelgas,мурашка
193,Laus::N,täi,вош
194,Mücke::N,sääsk,камар
195,Fliege::N,kärbes,муха
196,Schmetterling::N,liblikas,матыль
197,Beere::N,mari,ягада
198,Apfel::N,õun,яблык
199,Pilz::N,seen,грыб
200,Zwiebel::N,sibul,цыбуля
201,Saat::N,seeme,семя
202,Korn::N,iva,зерне
203,Korn::N,tera,зерне
204,Heu::N,hein,сена
205,Schale::N,koor,шалупінне
206,Grube::N,kaevand,яма
207,Falle::N,lõks,пастка
208,Falle::N,püünis,пастка
209,Schlinge::N,aas,сіло
210,Spur::N,jälg,след
211,Asche::N,tuhk,попел
212,Dreck::N,saast,бруд
213,Dreck::N,mustus,бруд
214,Eisen::N,raud,жалеза
215,Gold::N,kuld,золата
216,Silber::N,hõbe,сребра
217,Kohle::N,süsi,вугаль
218,Glas::N,klaas,шкло
219,Lehm::N,savi,гліна
220,Sand::N,liiv,пясок
221,Mensch::N,inimene,чалавек
222,Mann::N,mees,мужчына
223,Frau::N,naine,жанчына
224,Kind::N,laps,дзіця
225,Junge::N,poiss,хлопчык
226,Mädchen::N,tüdruk,дзяўчынка
227,Familie::N,perekond,сямʼя
228,Großvater::N,vanaisa,дзядуля
229,Großmutter::N,vanaema,бабуля
230,Eltern::N,vanemad,бацькі
231,Vater::N,isa,бацька
232,Mutter::N,ema,маці
233,Sohn::N,poeg,сын
234,Tochter::N,tütar,дачка
235,Bruder::N,vend,брат
236,Schwester::N,õde,сястра
237,Onkel::N,onu,дзядзька
238,Tante::N,tädi,цётка
239,Ehemann::N,mees,муж
240,Ehemann::N,abikaasa,муж
241,Ehefrau::N,naine,жонка
242,Ehefrau::N,abikaasa,жонка
243,Freude::N,rõõm,радасць
244,Gelächter::N,naer,смех
245,Glück::N,õnn,шчасце
246,Kummer::N,mure,гора
247,Kummer::N,kurbus,гора
248,Wunsch::N,soov,жаданне
249,Lust::N,himu,цяга
250,Geist::N,vaim,дух
251,Gedanke::N,mõte,думка
252,Gedächtnis::N,mälu,памяць
253,Verstand::N,aru,розум
254,Verstand::N,mõistus,розум
255,Sinn::N,tähendus,сэнс
256,Grund::N,põhjus,зачэпка
257,Wahrheit::N,tõde,праўда
258,Gespräch::N,kõne,размова
259,Gespräch::N,vestlus,размова
260,Märchen::N,muinasjutt,казка
261,Erzählung::N,jutustus,расказ
262,Erzählung::N,jutustus,апавяданне
263,Nachricht::N,teade,вестка
264,Nachricht::N,teade,паведамленне
265,Neuigkeit::N,uudis,навіна
266,Name::N,nimi,імя
267,Rätsel::N,mõistatus,загадка
268,Rede::N,kõne,прамова
269,Sprache::N,keel,мова
270,Stimme::N,hääl,голас
271,Wort::N,sõna,слова
272,Zeichen::N,märk,знак
273,Ruf::N,hüüe,кліч
274,Lärm::N,müra,шум
275,Laut::N,hääl,гук
276,Ton::N,toon,гучанне
277,Lied::N,laul,песня
278,Ruhe::N,rahu,спакой
279,Ruhe::N,vaikus,спакой
280,Leute::N,inimesed,людзі
281,Volk::N,rahvas,народ
282,Arbeit::N,töö,праца
283,Arbeit::N,töö,работа
284,Gast::N,külaline,госць
285,Geschenk::N,kingitus,падарунак
286,Spiel::N,mäng,гульня
287,Gesellschaft::N,selts,таварыства
288,Hilfe::N,abi,дапамога
289,Freund::N,sõber,друг
290,Freund::N,sõber,сябар
291,Kamerad::N,sõber,прыяцель
292,Angelegenheit::N,asi,справа
293,Anzahl::N,arv,колькасць
294,Anzahl::N,hulk,колькасць
295,Art::N,liik,від
296,Stück::N,tükk,кусок
297,Stück::N,tükk,кавалак
298,Teil::N,osa,частка
299,Hälfte::N,pool,палова
300,Hälfte::N,pool,палавіна
301,Kreis::N,ring,круг
302,Kreuz::N,rist,крыж
303,Linie::N,joon,лінія
304,Strich::N,joon,рыса
305,Abstand::N,vahe,прамежак
306,Entfernung::N,kaugus,адлегласць
307,Entfernung::N,vahemaa,адлегласць
308,Gegend::N,ümbrus,мясцовасць
309,Platz::N,ruum,месца
310,Ort::N,paik,месца
311,Seite::N,pool,бок
312,Mitte::N,keskpaik,сярэдзіна
313,Gegenstand::N,ese,прадмет
314,Sache::N,ese,рэч
315,Rand::N,äär,край
316,Rand::N,serv,край
317,Kante::N,kant,руб
318,Kante::N,kant,кант
319,Ecke::N,nurk,вугал
320,Spitze::N,teravik,кончык
321,Ende::N,ots,канец
322,Ende::N,jupp,канец
323,Loch::N,auk,дзірка
324,Winkel::N,nurk,вугал
325,Muster::N,muster,узор
326,Größe::N,suurus,памер
327,Länge::N,pikkus,даўжыня
328,Höhe::N,kõrgus,вышыня
329,Gewicht::N,kaal,вага
330,Gewicht::N,raskus,вага
331,Menge::N,arv,колькасць
332,Menge::N,hulk,колькасць
333,Haufen::N,hunnik,куча
334,Reihe::N,rivi,рад
335,Boot::N,paat,лодка
336,Ruder::N,aer,вясло
337,Schlitten::N,saan,сані
338,Ski::N,suusk,лыжа
339,Lagerfeuer::N,lõke,вогнішча
340,Last::N,koorem,цяжар
341,Gang::N,käik,ход
342,Schritt::N,samm,шаг
343,Schritt::N,samm,крок
344,Norden::N,põhi,поўнач
345,Süden::N,lõuna,поўдзень
346,Westen::N,lääs,захад
347,Osten::N,ida,усход
348,Holz::N,puu,дрэва
349,Holz::N,puu,драўніна
350,Brett::N,saelaud,дошка
351,Platte::N,plaat,пліта
352,Stütze::N,tugi,падпорка
353,Stange::N,latt,жэрдка
354,Stange::N,teivas,жэрдка
355,Stock::N,kepp,палка
356,Stab::N,varras,шост
357,Rohr::N,toru,труба
358,Haus::N,maja,дом
359,Heim::N,kodu,дом
360,Heim::N,kodu,хата
361,Ofen::N,ahi,печ
362,Fußboden::N,põrand,падлога
363,Tisch::N,laud,стол
364,Stuhl::N,tool,стул
365,Stuhl::N,tool,крэсла
366,Wiege::N,häll,калыска
367,Wiege::N,kätki,калыска
368,Bett::N,voodi,ложак
369,Bett::N,voodi,пасцель
370,Regal::N,riiul,паліца
371,Kiste::N,kast,скрынка
372,Fenster::N,aken,акно
373,Tür::N,uks,дзверы
374,Tor::N,värav,вароты
375,Zaun::N,aed,агароджа
376,Zaun::N,tara,агароджа
377,Dach::N,katus,дах
378,Leiter::N,redel,лесвіца
379,Besen::N,luud,мятла
380,Spaten::N,labidas,лапата
381,Spaten::N,labidas,жалязняк
382,Schaufel::N,kühvel,шуфлік
383,Schaufel::N,kühvel,лапатка
384,Gabel::N,kahvel,відэлец
385,Löffel::N,lusikas,лыжка
386,Messer::N,nuga,нож
387,Nagel::N,nael,цвік
388,Netz::N,võrk,сетка
389,Haken::N,haak,крук
390,Haken::N,konks,крук
391,Griff::N,sang,ручка
392,Griff::N,käepide,ручка
393,Schloss::N,lukk,замок
394,Bild::N,pilt,карціна
395,Figur::N,kuju,фігура
396,Figur::N,kujund,фігура
397,Puppe::N,nukk,лялька
398,Beutel::N,paun,мяшок
399,Bündel::N,kimp,вязка
400,Tasche::N,kott,торба
401,Eimer::N,pang,вядро
402,Eimer::N,ämber,вядро
403,Deckel::N,kaas,накрыўка
404,Geschirr::N,nõud,пасуда
405,Sack::N,kott,мех
406,Tasse::N,tass,кубак
407,Topf::N,pada,каструля
408,Kessel::N,pada,кацёл
409,Essen::N,söök,ежа
410,Nahrung::N,toit,харч
411,Speise::N,roog,страва
412,Fleisch::N,liha,мяса
413,Getreide::N,teravili,збожжа
414,Brei::N,puder,каша
415,Brot::N,sai,хлеб
416,Brot::N,leib,хлеб
417,Scheibe::N,viil,луста
418,Scheibe::N,viil,скібка
419,Scheibe::N,viilukas,луста
420,Scheibe::N,viilukas,скібка
421,Fett::N,rasv,тлушч
422,Butter::N,või,масла
423,Öl::N,õli,алей
424,Salz::N,sool,соль
425,Suppe::N,supp,суп
426,Honig::N,mesi,мёд
427,Milch::N,piim,малако
428,Tee::N,tee,чай
429,Tee::N,tee,гарбата
430,Leder::N,nahk,скура
431,Wolle::N,vill,воўна
432,Stoff::N,kangas,тканіна
433,Nadel::N,nõel,іголка
434,Faden::N,niit,нітка
435,Knopf::N,nööp,гузік
436,Knoten::N,sõlm,вузел
437,Farbe::N,värv,фарба
438,Kleidung::N,riided,адзенне
439,Kleidung::N,riietus,адзенне
440,Hemd::N,särk,кашуля
441,Kragen::N,krae,каўнер
442,Ärmel::N,varrukas,рукаў
443,Hose::N,püksid,штаны
444,Gürtel::N,vöö,пояс
445,Mütze::N,müts,шапка
446,Schuh::N,king,чаравік
447,Stiefel::N,saabas,бот
448,Ring::N,sõrmus,кольца
449,Band::N,lint,стужка
450,Kamm::N,kamm,расчоска
451,Spiegel::N,peegel,люстра
452,Riemen::N,rihm,рэмень
453,Schnur::N,nöör,вяроўка
454,Leine::N,jalutusrihm,павадок
455,Decke::N,tekk,коўдра
456,Kissen::N,padi,падушка
457,Tuch::N,kalev,хустка
458,Handtuch::N,käterätik,ручнік
459,Kraft::N,jõud,сіла
460,Stärke::N,tugevus,моц
461,Gesundheit::N,tervis,здароўе
462,Krankheit::N,haigus,хвароба
463,Schmerz::N,valu,боль
464,Wunde::N,haav,рана
465,Fieber::N,palavik,гарачка
466,Fieber::N,palavik,ліхаманка
467,Arznei::N,ravim,лекі
468,Brücke::N,sild,мост
469,Brunnen::N,kaev,калодзеж
470,Weide::N,karjamaa,паша
471,Pfad::N,rada,сцежка
472,Weg::N,tee,шлях
473,Weg::N,tee,дарога
474,Straße::N,tee,вуліца
475,Dorf::N,küla,вёска
476,Stadt::N,linn,горад
477,Brief::N,kiri,ліст
478,Brief::N,kiri,пісьмо
479,Buch::N,raamat,кніга
480,Buchstabe::N,täht,літара
481,Zeitung::N,ajaleht,газета
482,Leben::N,elu,жыццё
483,Tod::N,surm,смерць
484,Grab::N,haud,магіла
485,Kirche::N,kirik,касцёл
486,Kirche::N,kirik,царква
487,Sünde::N,patt,грэх
488,Gott::N,jumal,бог
489,Arbeiter::N,tööline,рабочы
490,Chef::N,ülemus,начальнік
491,Chef::N,juhataja,начальнік
492,Meister::N,meister,майстар
493,Arzt::N,arst,урач
494,Lehrer::N,õpetaja,настаўнік
495,Geld::N,raha,грошы
496,Geschäft::N,äri,заняцце
497,Laden::N,pood,крама
498,Laden::N,pood,магазін
499,Laden::N,kauplus,крама
500,Laden::N,kauplus,магазін
501,Preis::N,hind,цана
502,Ware::N,kaup,тавар
503,Nutzen::N,tulu,выгада
504,Nutzen::N,kasulikkus,выгада
505,Reichtum::N,rikkus,багацце
506,Welt::N,maailm,свет
507,Land::N,maa,краіна
508,Staat::N,riik,дзяржава
509,König::N,kuningas,кароль
510,Macht::N,võim,улада
511,Grenze::N,piir,граніца
512,Krieg::N,sõda,вайна
513,Feind::N,vaenlane,вораг
514,Gewalt::N,väevõim,насілле
515,Kampf::N,võitlus,барацьба
516,Bogen[Waffe]::N,vibu,лук
517,Pfeil::N,nool,страла
518,Gewehr::N,püss,ружжо
519,Fehler::N,viga,памылка
520,Lüge::N,vale,хлусня
521,Schaden::N,kahju,шкода
522,Unglück::N,häda,ліха
523,Unglück::N,häda,бядота
524,Unglück::N,õnnetus,ліха
525,Unglück::N,õnnetus,бядота
526,Schuld::N,süü,віна
527,Alter::N,iga,узрост
528,Schluss::N,lõpp,канец
529,Zeit::N,aeg,час
530,Tag::N,päev,дзень
531,Morgen::N,hommik,ранак
532,Morgen::N,hommik,раніца
533,Mittag::N,lõuna,паўдня
534,Mittag::N,lõuna,поўдзень
535,Mittag::N,keskpäev,паўдня
536,Mittag::N,keskpäev,поўдзень
537,Abend::N,õhtu,вечар
538,Nacht::N,öö,ноч
539,Woche::N,nädal,тыдзень
540,Monat::N,kuu,месяц
541,Jahr::N,aasta,год
542,Frühling::N,kevad,вясна
543,Sommer::N,suvi,лета
544,Herbst::N,sügis,восень
545,Winter::N,talv,зіма
546,Januar::N,jaanuar,студзень
547,Februar::N,veebruar,люты
548,März::N,märts,сакавік
549,April::N,aprill,красавік
550,Mai::N,mai,май
551,Mai::N,mai,травень
552,Juni::N,juuni,чэрвень
553,Juli::N,juuli,ліпень
554,August::N,august,жнівень
555,September::N,september,верасень
556,Oktober::N,oktoober,кастрычнік
557,November::N,november,лістапад
558,Dezember::N,detsember,снежань
559,Montag::N,esmaspäev,панядзелак
560,Dienstag::N,teisipäev,аўторак
561,Mittwoch::N,kesknädal,серада
562,Donnerstag::N,neljapäev,чацвер
563,Freitag::N,reede,пятніца
564,Samstag::N,laupäev,субота
565,Sonntag::N,pühapäev,нядзеля
566,groß::A,suur,вялікі
567,klein::A,väike,маленькі
568,klein::A,pisike,маленькі
569,lang::A,pikk,доўгі
570,kurz::A,lühike,кароткі
571,breit::A,lai,шырокі
572,schmal::A,kitsas,вузкі
573,dicht::A,tihe,густы
574,dick[Gegenstand]::A,jäme,тоўсты
575,dünn::A,õhuke,тонкі
576,dünn::A,peenike,тонкі
577,fein::A,peen,тонкі
578,fein::A,õhuke,тонкі
579,fest::A,püsiv,моцны
580,fest::A,kindel,моцны
581,flach::A,lame,плоскі
582,flach::A,tasane,плоскі
583,glatt::A,sile,гладкі
584,hart::A,kõva,цвёрды
585,weich::A,pehme,мяккі
586,rund::A,ümar,круглы
587,spitz::A,torkav,спічасты
588,spitz::A,torkav,востраканцовы
589,scharf::A,terav,востры
590,stumpf::A,nüri,тупы
591,schwer::A,raske,цяжкі
592,schön::A,kena,прыгожы
593,heiß::A,kuum,гарачы
594,heiß::A,palav,гарачы
595,warm::A,soe,цёплы
596,kalt::A,külm,холадны
597,kühl::A,jahe,халаднаваты
598,frisch::A,värske,свежы
599,feucht::A,niiske,вільготны
600,nass::A,märg,мокры
601,trocken::A,kuiv,сухі
602,voll::A,täis,поўны
603,leer::A,tühi,пусты
604,offen::A,avatud,адкрыты
605,offen::A,avatud,адчынены
606,offen::A,lahtine,адкрыты
607,offen::A,lahtine,адчынены
608,geschlossen::A,suletud,закрыты
609,geschlossen::A,suletud,зачынены
610,sauber::A,puhas,чысты
611,schmutzig::A,räpane,брудны
612,schmutzig::A,määrdunud,брудны
613,roh::A,toores,сыры
614,reif::A,küps,спелы
615,lecker::A,hõrk,смачны
616,lecker::A,maitsev,смачны
617,süß::A,magus,салодкі
618,bitter::A,mõru,горкі
619,sauer::A,hapu,кіслы
620,hell::A,hele,светлы
621,dunkel::A,pime,цёмны
622,schwarz::A,must,чорны
623,weiß::A,valge,белы
624,rot::A,punane,чырвоны
625,gelb::A,kollane,жоўты
626,blau::A,sinine,сіні
627,grün::A,roheline,зялёны
628,grau::A,hall,шэры
629,bunt::A,kirju,пяресты
630,bunt::A,värviline,пяресты
631,billig::A,odav,танны
632,teuer::A,kallis,дарагі
633,wertvoll::A,väärtuslik,цэнны
634,wertvoll::A,väärtuslik,каштоўны
635,blind::A,pime,сляпы
636,taub::A,kurt,глухі
637,kräftig::A,jõuline,магутны
638,stark::A,tugev,сільны
639,schwach::A,nõrk,слабы
640,schwach::A,jõuetu,слабы
641,fett::A,rasvane,тлусты
642,schlank::A,sale,стройны
643,hübsch::A,kena,чароўны
644,böse::A,tige,злы
645,dumm::A,juhm,дурны
646,dumm::A,rumal,дурны
647,faul::A,laisk,лянівы
648,fleißig::A,virk,руплівы
649,fleißig::A,hoolas,руплівы
650,geizig::A,ihne,прагны
651,klug::A,tark,разумны
652,klug::A,arukas,разумны
653,klug::A,mõistlik,разумны
654,geschickt::A,osav,умелы
655,lieb::A,armas,мілы
656,lustig::A,lõbus,вясёлы
657,sanft::A,õrn,ласкавы
658,hungrig::A,näljane,галодны
659,krank::A,haige,хворы
660,nackt::A,alasti,голы
661,traurig::A,kurb,сумны
662,lebendig::A,elus,жывы
663,gut::A,hea,добры
664,schlecht::A,halb,кепскі
665,richtig::A,õige,правільны
666,schlimm::A,paha,агідны
667,wahr::A,tõene,сапраўдны
668,alt::A,vana,стары
669,neu::A,uus,новы
670,ehemalig::A,endine,былы
671,alt[Lebewesen]::A,vana,стары
672,jung::A,noor,малады
673,arm::A,vaene,бедны
674,reich::A,rikas,багаты
675,bekannt::A,teada,знаёмы
676,bekannt::A,tuttav,знаёмы
677,berühmt::A,tuntud,славуты
678,fremd::A,võõras,чужы
679,verschieden::A,erinev,розны
680,nah::A,lähedane,блізкі
681,fern::A,kauge,далёкі
682,linker::A,vasak,левы
683,rechter::A,parem,правы
684,anderer::A,muu,іншы
685,anderer::A,muu,другі
686,anderer::A,teine,іншы
687,anderer::A,teine,другі
688,erster::A,esimene,першы
689,zweiter::A,teine,другі
690,dritter::A,kolmas,трэці
691,letzter::A,viimane,апошні
692,allein::ADV,üksi,сам
693,allein::ADV,üksi,адзін
694,auf einmal::ADV,korraga,адразу
695,auf einmal::ADV,ühekorraga,адразу
696,zusammen::ADV,koos,разам
697,zusammen::ADV,üheskoos,разам
698,lange::ADV,kaua,доўга
699,plötzlich::ADV,äkki,раптам
700,plötzlich::ADV,järsku,раптам
701,sofort::ADV,kohe,зараз
702,später::ADV,hiljem,пазней
703,jetzt::ADV,nüüd,цяпер
704,heute::ADV,täna,сёння
705,morgen::ADV,homme,заўтра
706,bald::ADV,pea,хутка
707,bald::ADV,pea,неўзабаве
708,bald::ADV,varsti,хутка
709,bald::ADV,varsti,неўзабаве
710,dann::ADV,siis,потым
711,gestern::ADV,eile,учора
712,einst::ADV,vanasti,аднойчы
713,damals::ADV,tookord,тады
714,danach::ADV,seejärel,затым
715,vorher::ADV,enne,раней
716,zuerst::ADV,enne,спярша
717,zuerst::ADV,enne,спачатку
718,zuerst::ADV,esmalt,спярша
719,zuerst::ADV,esmalt,спачатку
720,einmal::ADV,kord,адзін раз
721,einmal::ADV,üks kord,адзін раз
722,manchmal::ADV,mõnikord,часам
723,oft::ADV,tihti,часта
724,oft::ADV,sageli,часта
725,immer::ADV,ikka,заўсёды
726,immer::ADV,alati,заўсёды
727,niemals::ADV,mitte kunagi,ніколі
728,hier::ADV,siin,тут
729,hierhin::ADV,siia,сюды
730,von hier::ADV,siit,адсюль
731,von hier::ADV,siit,адгэтуль
732,dort::ADV,seal,там
733,dorthin::ADV,sinna,туды
734,geradeaus::ADV,otse edasi,прама
735,vorwärts::ADV,edasi,наперад
736,rückwärts::ADV,tagurpidi,назад
737,zurück::ADV,tagasi,назад
738,unten::ADV,all,унізе
739,unten::ADV,allpool,унізе
740,hinab::ADV,alla,уніз
741,oben::ADV,ülal,угары
742,oben::ADV,ülal,наверсе
743,hinauf::ADV,üles,угару
744,überall::ADV,kõikjal,усюды
745,nicht::ADV,ei,не
746,nicht::ADV,mitte,не
747,ein wenig::ADV,veidi,трошкі
748,ein wenig::ADV,natuke,трошкі
749,kaum::ADV,vaevalt,ледзьве
750,sehr::ADV,väga,вельмі
751,so::ADV,nii,так
752,noch::ADV,veel,яшчэ
753,nur::ADV,ainult,толькі
754,schon::ADV,juba,ужо
755,wieder::ADV,jälle,зноў
756,vergebens::ADV,asjata,дарма
757,vergebens::ADV,asjata,дарэмна
758,vor::PRP,ees,перад
759,hinter::PRP,taha,за
760,hinter::PRP,taha,ззаду
761,unter::PRP,all,пад
762,durch::PRP,läbi,праз
763,durch::PRP,kaudu,праз
764,neben::PRP,kõrval,каля
765,zwischen::PRP,vahel,між
766,zwischen::PRP,vahel,паміж
767,wegen::PRP,tõttu,з-за
768,wegen::PRP,pärast,з-за
769,dies::PRN,see,гэта
770,das::PRN,see,тое
771,alles::PRN,kõik,усё
772,ich::PRN,mina,я
773,du::PRN,sina,ты
774,er::PRN,tema,ён
775,wir::PRN,me,мы
776,ihr::PRN,te,вы
777,sie::PRN,nad,яны
778,was::FPRN,mis,што
779,wer::FPRN,kes,хто
780,wo::FADV,kus,дзе
781,wohin::FADV,kuhu,куды
782,wie::FADV,kuidas,як
783,warum::FADV,miks,чаму
784,wieviel::FNUM,mitu,колькі
785,wieviel::FNUM,kui palju,колькі
786,eins::NUM,üks,адзін
787,zwei::NUM,kaks,два
788,drei::NUM,kolm,тры
789,vier::NUM,neli,чатыры
790,fünf::NUM,viis,пяць
791,sechs::NUM,kuus,шесць
792,sieben::NUM,seitse,сем
793,acht::NUM,kaheksa,восем
794,neun::NUM,üheksa,дзевяць
795,zehn::NUM,kümme,дзесяць
796,elf::NUM,üksteist,адзінаццаць
797,zwölf::NUM,kaksteist,дванаццаць
798,zwanzig::NUM,kakskümmend,дваццаць
799,dreißig::NUM,kolmkümmend,трыццаць
800,vierzig::NUM,nelikümmend,сорак
801,fünfzig::NUM,viiskümmend,пядзесят
802,sechzig::NUM,kuuskümmend,шесдзесят
803,siebzig::NUM,seitsekümmend,семдзесят
804,achtzig::NUM,kaheksakümmend,восемдзесят
805,neunzig::NUM,üheksakümmend,дзевяноста
806,hundert::NUM,sada,сто
807,tausend::NUM,tuhat,тысяча
808,und::CNJ,ja,і
809,und::CNJ,ja,ды
810,oder::CNJ,või,або
811,stehen::V,seisma,стаяць
812,sitzen::V,istuma,сядзець
813,liegen::V,lamama,ляжаць
814,hängen::V,rippuma,вісець
815,werden::V,saama,стаць
816,werden::V,saama,зрабіцца
817,werden::V,hakkama,стаць
818,werden::V,hakkama,зрабіцца
819,passieren::V,juhtuma,трапіцца
820,beginnen::V,algama,пачацца
821,beginnen::V,hakkama,пачацца
822,enden::V,lõppema,кончыцца
823,wechseln::V,vahelduma,мяняцца
824,aufgehen[Sonne]::V,tõusma,узысці
825,untergehen[Sonne]::V,loojuma,зайсці
826,scheinen[Sonne]::V,paistma,свяціць
