,Concept_ID,da,he
162,Eule::N,ugle,ינשוף
163,Kranich::N,trane,עגור
164,Kranich::N,trane,כרוכיה
165,Krähe::N,krage,עורב
166,Kuckuck::N,gøg,קוקיה
167,Schwan::N,svane,ברבור
168,Fisch::N,fisk,דג
169,Barsch::N,aborre,אוקונוס
170,Hecht::N,gedde,זאב הים
171,Schlange[Tier]::N,slange,נחש
172,Wurm::N,orm,תולעת
173,Spinne::N,edderkop,עכביש
174,Ameise::N,myre,נמלה
175,Laus::N,lus,כנה
176,Mücke::N,myg,יתוש
177,Fliege::N,flue,זבוב
178,Schmetterling::N,sommerfugl,פרפר
179,Beere::N,bær,ענבה
180,Apfel::N,æble,תפוח
181,Pilz::N,svamp,פטריה
182,Zwiebel::N,løg,בצל
183,Saat::N,sæd,זרעים
184,Korn::N,korn,גרעין
185,Heu::N,hø,חציר
186,Schale::N,skræl,קלפה
187,Grube::N,grav,בור
188,Grube::N,grav,שוחה
189,Falle::N,fælde,מלכדת
190,Schlinge::N,snare,לולאה
191,Spur::N,spor,עקבה
192,Asche::N,aske,אפר
193,Dreck::N,snavs,זהמה
194,Eisen::N,jern,ברזל
195,Gold::N,guld,זהב
196,Silber::N,sølv,כסף
197,Kohle::N,kul,פחם
198,Glas::N,glas,זכוכית
199,Lehm::N,ler,חרסית
200,Sand::N,sand,חול
201,Mensch::N,mennesge,אדם
202,Mann::N,mand,איש
203,Mann::N,mand,גבר
204,Frau::N,kvinde,אשה
205,Frau::N,kvinde,גברת
206,Kind::N,barn,ילד
207,Junge::N,dreng,ילד
208,Mädchen::N,pige,נערה
209,Familie::N,familie,משפחה
210,Großvater::N,bedstefar,סבא
211,Großmutter::N,bedstemor,סבתא
212,Eltern::N,forældre,הורים
213,Vater::N,far,אב
214,Mutter::N,mor,אם
215,Sohn::N,søn,בן
216,Tochter::N,datter,בת
217,Bruder::N,bror,אח
218,Schwester::N,søster,אחות
219,Onkel::N,onkel,דוד
220,Tante::N,tante,דודה
221,Ehemann::N,ægtemand,איש
222,Ehemann::N,ægtemand,בעל
223,Ehefrau::N,hustru,אשה
224,Freude::N,glæde,שמחה
225,Gelächter::N,latter,צחוק
226,Glück::N,lykke,אשר
227,Kummer::N,sorg,יגון
228,Kummer::N,sorg,עגמה
229,Wunsch::N,ønske,אחול
230,Wunsch::N,ønske,משאלה
231,Lust::N,lyst,חשק
232,Lust::N,lyst,תשוקה
233,Geist::N,ånd,רוח
234,Gedanke::N,tanke,מחשבה
235,Gedächtnis::N,hukommelse,זכרון
236,Verstand::N,forstand,שכל
237,Sinn::N,mening,מובן
238,Sinn::N,mening,משמעות
239,Sinn::N,betydning,מובן
240,Sinn::N,betydning,משמעות
241,Grund::N,grund,סבה
242,Wahrheit::N,sandhed,אמת
243,Gespräch::N,samtale,דיון
244,Märchen::N,eventyr,אגדה
245,Erzählung::N,fortælling,ספור
246,Nachricht::N,efterretning,ידיעה
247,Neuigkeit::N,nyhed,חדשה
248,Name::N,navn,שם
249,Rätsel::N,gåde,תעלומה
250,Rede::N,tale,נאום
251,Sprache::N,sprog,לשון
252,Stimme::N,stemme,קול
253,Wort::N,ord,מלה
254,Zeichen::N,tegn,סימן
255,Ruf::N,råb,קריאה
256,Lärm::N,larm,רעש
257,Laut::N,lyd,הגה
258,Ton::N,tone,צליל
259,Lied::N,sang,שיר
260,Ruhe::N,ro,שלוה
261,Ruhe::N,hvile,שלוה
262,Leute::N,folk,אנשים
263,Leute::N,mennesker,אנשים
264,Volk::N,folk,עם
265,Arbeit::N,arbejde,עבודה
266,Gast::N,gæst,אורח
267,Geschenk::N,gave,מתנה
268,Spiel::N,leg,משחק
269,Gesellschaft::N,selskab,חברה
270,Hilfe::N,hjælp,עזרה
271,Freund::N,ven,חבר
272,Freund::N,ven,ידיד
273,Kamerad::N,kammerat,רע
274,Angelegenheit::N,sag,ענין
275,Angelegenheit::N,anliggende,ענין
276,Anzahl::N,antal,מספר
277,Art::N,art,סוג
278,Stück::N,stykke,חתיכה
279,Teil::N,del,פרק
280,Hälfte::N,halvdel,חצי
281,Kreis::N,cirkel,מעגל
282,Kreuz::N,kors,צלב
283,Kreuz::N,kryds,צלב
284,Linie::N,linie,קו
285,Strich::N,streg,קו קצר
286,Abstand::N,afstand,מרחק
287,Entfernung::N,afstand,מרחק
288,Gegend::N,egn,נוף
289,Platz::N,plads,שטח
290,Ort::N,sted,אתר
291,Ort::N,sted,מקום
292,Seite::N,side,צד
293,Mitte::N,midte,אמצע
294,Gegenstand::N,genstand,אוביקט
295,Sache::N,sag,דבר
296,Rand::N,rand,פרור
297,Kante::N,kant,קצה
298,Ecke::N,hjørne,פנה
299,Spitze::N,spids,קצה
300,Ende::N,ende,סוף
301,Loch::N,hul,חר
302,Winkel::N,vinkel,פנה
303,Muster::N,mønster,תבנית
304,Größe::N,størrelse,גדל
305,Länge::N,længde,ארך
306,Höhe::N,højde,קומה
307,Höhe::N,højde,גבה
308,Gewicht::N,vægt,משקל
309,Menge::N,mængde,כמות
310,Haufen::N,bunke,ערמה
311,Reihe::N,række,רצף
312,Boot::N,båd,סירה
313,Ruder::N,åre,משוט
314,Schlitten::N,kælk,מזחלת
315,Schlitten::N,slæde,מזחלת
316,Ski::N,ski,מגלשים
317,Lagerfeuer::N,lejrbål,מדורה
318,Last::N,last,משא
319,Last::N,byrde,משא
320,Gang::N,gang,הליכה
321,Schritt::N,skridt,צעד
322,Norden::N,nord,צפון
323,Süden::N,syd,דרום
324,Westen::N,vest,מערב
325,Osten::N,øst,מזרח
326,Holz::N,træ,עץ
327,Brett::N,bræt,קרש
328,Platte::N,plade,לוח
329,Stütze::N,støtte,משען
330,Stange::N,stang,מוט
331,Stock::N,stok,מקל
332,Stab::N,stav,מוט
333,Rohr::N,rør,צנור
334,Haus::N,hus,בית
335,Heim::N,hjem,בית
336,Ofen::N,ovn,תנור
337,Fußboden::N,gulv,רצפה
338,Tisch::N,bord,שלחן
339,Stuhl::N,stol,כסא
340,Wiege::N,vugge,ערש
341,Bett::N,seng,מטה
342,Regal::N,reol,מדף
343,Kiste::N,kasse,תבה
344,Kiste::N,kasse,ארגז
345,Fenster::N,vindue,חלון
346,Tür::N,dør,דלת
347,Tor::N,port,שער
348,Zaun::N,stakit,גדר
349,Dach::N,tag,גג
350,Leiter::N,stige,סלם
351,Besen::N,kost,מטאטא
352,Spaten::N,spade,את
353,Schaufel::N,skovl,את
354,Gabel::N,gaffel,מזלג
355,Löffel::N,ske,כף
356,Messer::N,kniv,סכין
357,Nagel::N,søm,מסמר
358,Netz::N,net,רשת
359,Haken::N,krog,וו
360,Haken::N,krog,קרס
361,Griff::N,tag,ידית
362,Griff::N,håndtag,ידית
363,Schloss::N,lås,מנעול
364,Bild::N,billede,תמונה
365,Figur::N,figur,פסל
366,Puppe::N,dukke,בבה
367,Beutel::N,pose,שק
368,Bündel::N,bylt,צרור
369,Bündel::N,bundt,צרור
370,Tasche::N,taske,שקית
371,Eimer::N,spand,דלי
372,Deckel::N,låg,מכסה
373,Geschirr::N,husgeråd,כלים
374,Sack::N,sæk,שק
375,Tasse::N,kop,ספל
376,Topf::N,gryde,סיר
377,Kessel::N,kedel,קנקן
378,Essen::N,måltid,אכל
379,Essen::N,måltid,ארוחה
380,Nahrung::N,mad,הזנה
381,Nahrung::N,mad,תזונה
382,Nahrung::N,næring,הזנה
383,Nahrung::N,næring,תזונה
384,Speise::N,ret,מאכל
385,Speise::N,ret,ארוחה
386,Fleisch::N,kød,בשר
387,Getreide::N,korn,דגן
388,Brei::N,grød,מחית
389,Brot::N,brød,לחם
390,Scheibe::N,skive,עגול
391,Scheibe::N,skive,פרוסה
392,Fett::N,fedt,שמן
393,Butter::N,smør,חמאה
394,Öl::N,olie,שמן
395,Salz::N,salt,מלח
396,Suppe::N,suppe,מרק
397,Honig::N,honning,דבש
398,Milch::N,mælk,חלב
399,Tee::N,te,תה
400,Leder::N,skind,עור
401,Wolle::N,uld,צמר
402,Stoff::N,stof,בד
403,Stoff::N,stof,אריג
404,Nadel::N,nål,מחט
405,Faden::N,tråd,חוט
406,Knopf::N,knap,כפתור
407,Knoten::N,knude,קשר
408,Farbe::N,farve,צבע
409,Kleidung::N,påklædning,בגדים
410,Hemd::N,skjorte,חלצה
411,Kragen::N,krave,צוארון
412,Ärmel::N,ærme,שרוול
413,Hose::N,bukser,מכנסים
414,Gürtel::N,bælte,חגורה
415,Mütze::N,hue,כובע
416,Schuh::N,sko,נעל
417,Stiefel::N,støvle,מגף
418,Ring::N,ring,טבעת
419,Band::N,bånd,סרט
420,Kamm::N,kam,מסרק
421,Spiegel::N,spejl,מראה
422,Riemen::N,rem,רצועה
423,Schnur::N,snor,חבל
424,Leine::N,snor,מושכות
425,Decke::N,tæppe,שמיכה
426,Kissen::N,pude,כרית
427,Tuch::N,sjaltørklæde,צעיף
428,Handtuch::N,håndklæde,מגבת
429,Kraft::N,kraft,כוח
430,Stärke::N,styrke,און
431,Gesundheit::N,sundhed,בריאות
432,Krankheit::N,sygdom,מחלה
433,Schmerz::N,smerte,כאב
434,Wunde::N,sår,פציעה
435,Fieber::N,feber,חם
436,Arznei::N,medicin,תרופה
437,Arznei::N,lægemiddel,תרופה
438,Brücke::N,bro,גשר
439,Brunnen::N,brønd,באר
440,Weide::N,græsgang,אחו
441,Weide::N,græsgang,מרעה
442,Pfad::N,sti,שביל
443,Pfad::N,sti,מדרכה
444,Weg::N,vej,דרך
445,Straße::N,gade,כביש
446,Dorf::N,landsby,כפר
447,Stadt::N,by,עיר
448,Brief::N,brev,מכתב
449,Buch::N,bog,ספר
450,Buchstabe::N,bogstav,אות
451,Zeitung::N,avis,עתון
452,Leben::N,liv,חיים
453,Tod::N,død,מות
454,Grab::N,grav,קבר
455,Kirche::N,kirke,כנסיה
456,Sünde::N,synd,חטא
457,Gott::N,gud,אל
458,Arbeiter::N,arbejder,פועל
459,Chef::N,chef,ראש
460,Chef::N,chef,מנהל
461,Meister::N,mester,ממחה
462,Arzt::N,læge,רופא
463,Lehrer::N,lærer,מורה
464,Geld::N,penge,כסף
465,Geschäft::N,forretning,עסקה
466,Laden::N,butik,חנות
467,Laden::N,forretning,חנות
468,Preis::N,pris,מחיר
469,Ware::N,vare,סחורה
470,Nutzen::N,nytte,תועלת
471,Reichtum::N,rigdom,עשר
472,Welt::N,verden,עולם
473,Land::N,land,ארץ
474,Staat::N,stat,מדינה
475,König::N,konge,מלך
476,Macht::N,magt,כוח
477,Grenze::N,grænse,גבול
478,Krieg::N,krig,מלחמה
479,Feind::N,fjende,אויב
480,Gewalt::N,vold,אלימות
481,Kampf::N,kamp,קרב
482,Kampf::N,kamp,לחימה
483,Bogen[Waffe]::N,bue,קשת
484,Pfeil::N,pil,חץ
485,Gewehr::N,gevær,רובה
486,Fehler::N,fejl,טעות
487,Lüge::N,løgn,שקר
488,Schaden::N,skade,נזק
489,Unglück::N,uheld,מזל רע
490,Unglück::N,ulykke,מזל רע
491,Schuld::N,skyld,אשמה
492,Alter::N,alder,גיל
493,Schluss::N,slut,סיום
494,Schluss::N,slutning,סיום
495,Zeit::N,tid,זמן
496,Tag::N,dag,יום
497,Morgen::N,morgen,בקר
498,Mittag::N,middag,צהרים
499,Abend::N,aften,ערב
500,Nacht::N,nat,לילה
501,Woche::N,uge,שבוע
502,Monat::N,måned,חדש
503,Jahr::N,år,שנה
504,Frühling::N,forår,אביב
505,Sommer::N,sommer,קיץ
506,Herbst::N,efterår,סתו
507,Winter::N,vinter,חרף
508,Januar::N,januar,ינואר
509,Februar::N,februar,פברואר
510,März::N,marts,מרץ
511,April::N,april,אפריל
512,Mai::N,maj,מאי
513,Juni::N,juni,יוני
514,Juli::N,juli,יולי
515,August::N,august,אוגוסט
516,September::N,september,ספטמבר
517,Oktober::N,oktober,אוקטובר
518,November::N,november,נובמבר
519,Dezember::N,december,דצמבר
520,Montag::N,mandag,יום שני
521,Dienstag::N,tirsdag,יום שלישי
522,Mittwoch::N,onsdag,יום רביעי
523,Donnerstag::N,torsdag,יום חמישי
524,Freitag::N,fredag,יום ששי
525,Samstag::N,lørdag,יום שבת
526,Sonntag::N,søndag,יום ראשון
527,groß::A,stor,גדול
528,klein::A,lille,קטן
529,lang::A,lang,ארך
530,kurz::A,kort,קצר
531,breit::A,bred,רחב
532,schmal::A,smal,צר
533,dicht::A,tæt,צפוף
534,dick[Gegenstand]::A,tyk,עבה
535,dünn::A,tynd,דק
536,fein::A,fin,מעדן
537,fest::A,fast,מוצק
538,flach::A,flad,שטוח
539,glatt::A,glat,חלק
540,hart::A,hård,קשיח
541,weich::A,blød,רך
542,rund::A,rund,עגל
543,spitz::A,spids,חד
544,scharf::A,skarp,חד
545,stumpf::A,sløv,קהה
546,stumpf::A,stump,קהה
547,schwer::A,tung,כבד
548,schön::A,skøn,יפה
549,heiß::A,hed,חם
550,warm::A,varm,חם
551,kalt::A,kold,קר
552,kühl::A,kølig,צונן
553,frisch::A,frisk,טרי
554,feucht::A,fugtig,לח
555,nass::A,våd,רטוב
556,trocken::A,tør,יבש
557,voll::A,fuld,מלא
558,leer::A,tom,ריק
559,offen::A,åben,פתוח
560,geschlossen::A,lukket,סגור
561,sauber::A,ren,נקי
562,schmutzig::A,snavset,מלכלך
563,roh::A,rå,חי
564,reif::A,moden,בשל
565,lecker::A,lækker,טעים
566,süß::A,sød,מתוק
567,bitter::A,bitter,מר
568,sauer::A,sur,חמוץ
569,hell::A,lys,בהיר
570,dunkel::A,mørk,עמום
571,schwarz::A,sort,שחר
572,weiß::A,hvid,לבן
573,rot::A,rød,אדם
574,gelb::A,gul,צהב
575,blau::A,blå,כחל
576,grün::A,grøn,ירק
577,grau::A,grå,אפר
578,bunt::A,broget,צבעוני
579,billig::A,billig,זול
580,teuer::A,dyr,יקר
581,wertvoll::A,værdifuld,יקר ערך
582,blind::A,blind,עור
583,taub::A,døv,חרש
584,kräftig::A,kraftig,חסן
585,stark::A,stærk,חזק
586,schwach::A,svag,חלש
587,fett::A,fed,שמן
588,schlank::A,slank,רזה
589,hübsch::A,køn,יפה תאר
590,böse::A,ond,רשע
591,böse::A,slem,רשע
592,dumm::A,dum,טפש
593,faul::A,doven,עצלן
594,fleißig::A,flittig,חרוץ
595,geizig::A,gerrig,קמצן
596,klug::A,klog,נבון
597,klug::A,klog,פקח
598,geschickt::A,dygtig,מימן
599,geschickt::A,behændig,מימן
600,lieb::A,rar,יקר
601,lieb::A,rar,אהוב
602,lustig::A,lystig,עליז
603,sanft::A,blid,עדין
604,hungrig::A,sulten,רעב
605,krank::A,syg,חולה
606,nackt::A,nøgen,ערום
607,traurig::A,bedrøvet,עצוב
608,lebendig::A,levende,חי
609,gut::A,god,טוב
610,schlecht::A,dårlig,גרוע
611,richtig::A,rigtig,נכון
612,schlimm::A,slem,רע
613,wahr::A,sand,אמתי
614,alt::A,gammel,ישן
615,neu::A,ny,חדש
616,ehemalig::A,forhenværende,לשעבר
617,alt[Lebewesen]::A,gammel,זקן
618,jung::A,ung,צעיר
619,arm::A,fattig,עני
620,reich::A,rig,עשיר
621,bekannt::A,kendt,ידוע
622,berühmt::A,berømt,מפרסם
623,fremd::A,fremmed,זר
624,verschieden::A,forskellig,שונה
625,nah::A,nær,קרוב
626,fern::A,fjern,רחוק
627,linker::A,venstre,שמאלי
628,rechter::A,højre,ימין
629,anderer::A,anden,אחר
630,erster::A,første,ראשון
631,zweiter::A,anden,שני
632,dritter::A,tredje,שלישי
633,letzter::A,sidste,אחרון
634,allein::ADV,alene,לבד
635,auf einmal::ADV,på én gang,בו-זמנית
636,zusammen::ADV,sammen,ביחד
637,lange::ADV,længe,הרבה זמן
638,plötzlich::ADV,pludselig,לפתע
639,plötzlich::ADV,pludselig,פתאום
640,sofort::ADV,straks,מיד
641,später::ADV,senere,לאחר זמן
642,später::ADV,senere,יותר מאחר
643,jetzt::ADV,nu,עכשיו
644,heute::ADV,i dag,היום
645,morgen::ADV,i morgen,מחר
646,bald::ADV,snart,בקרוב
647,dann::ADV,så,אחר-כך
648,gestern::ADV,i går,אתמול
649,einst::ADV,engang,לפנים
650,damals::ADV,dengang,אז
651,danach::ADV,derefter,אחר-כך
652,vorher::ADV,før,לפני זה
653,vorher::ADV,forud,לפני זה
654,zuerst::ADV,først,קדם
655,einmal::ADV,en gang,פעם
656,manchmal::ADV,sommetider,לפעמים
657,oft::ADV,ofte,לעתים קרובות
658,immer::ADV,altid,תמיד
659,niemals::ADV,aldrig,אף פעם
660,hier::ADV,her,כאן
661,hierhin::ADV,hid,פה
662,hierhin::ADV,herhen,פה
663,von hier::ADV,herfra,מפה
664,dort::ADV,der,שם
665,dorthin::ADV,derhen,שם
666,geradeaus::ADV,lige ud,ישר
667,vorwärts::ADV,fremad,קדימה
668,rückwärts::ADV,baglæns,לאחור
669,zurück::ADV,tilbage,בחזרה
670,zurück::ADV,tilbage,אחורנית
671,unten::ADV,nede,למטה
672,unten::ADV,forneden,למטה
673,hinab::ADV,ned,למטה
674,hinab::ADV,nedad,למטה
675,oben::ADV,oppe,מעל
676,oben::ADV,oppe,למעלה
677,oben::ADV,ovenpå,מעל
678,oben::ADV,ovenpå,למעלה
679,hinauf::ADV,op,למעלה
680,hinauf::ADV,opad,למעלה
681,überall::ADV,overalt,בכל מקום
682,nicht::ADV,ikke,לא
683,ein wenig::ADV,lidt,קצת
684,kaum::ADV,knap,בקשי
685,kaum::ADV,næppe,בקשי
686,sehr::ADV,meget,מאוד
687,so::ADV,så,כך
688,so::ADV,så,ככה
689,noch::ADV,endnu,עוד
690,noch::ADV,endnu,עדין
691,nur::ADV,kun,רק
692,nur::ADV,bare,רק
693,schon::ADV,alt,כבר
694,schon::ADV,allerede,כבר
695,wieder::ADV,igen,שוב
696,vergebens::ADV,forgæves,לריק
697,vergebens::ADV,forgæves,לשוא
698,vor::PRP,foran,מול
699,vor::PRP,uden for,מול
700,hinter::PRP,bag,מאחורי
701,hinter::PRP,bagved,מאחורי
702,unter::PRP,under,מתחת
703,durch::PRP,gennem,דרך
704,durch::PRP,igennem,דרך
705,neben::PRP,ved siden af,ליד
706,neben::PRP,ved siden af,על-יד
707,zwischen::PRP,mellem,בין
708,wegen::PRP,på grund af,בשל
709,wegen::PRP,på grund af,בגלל
710,dies::PRN,dette,זה
711,das::PRN,det,זה
712,alles::PRN,alt,הכל
713,ich::PRN,jeg,אני
714,du::PRN,du,את
715,du::PRN,du,אתה
716,er::PRN,han,הוא
717,wir::PRN,vi,אנחנו
718,ihr::PRN,I,לה
719,sie::PRN,de,הם
720,was::FPRN,hvad,מה
721,wer::FPRN,hvem,מי
722,wo::FADV,hvor,איפה
723,wohin::FADV,hvorhen,לאן
724,wie::FADV,hvordan,איך
725,warum::FADV,hvorfor,למה
726,wieviel::FNUM,hvor meget,כמה
727,eins::NUM,én,אחד
728,zwei::NUM,to,שתים
729,drei::NUM,tre,שלושה
730,vier::NUM,fire,ארבעה
731,fünf::NUM,fem,חמשה
732,sechs::NUM,seks,ששה
733,sieben::NUM,syv,שבעה
734,acht::NUM,otte,שמונה
735,neun::NUM,ni,תשעה
736,zehn::NUM,ti,עשרה
737,elf::NUM,elleve,אחת עשרה
738,zwölf::NUM,tolv,שתים עשרה
739,zwanzig::NUM,tyve,עשרים
740,dreißig::NUM,tredive,שלושים
741,vierzig::NUM,fyrre,ארבעים
742,vierzig::NUM,fyrretyve,ארבעים
743,fünfzig::NUM,halvtreds,חמשים
744,sechzig::NUM,tres,ששים
745,siebzig::NUM,halvfjerds,שבעים
746,achtzig::NUM,firs,שמונים
747,neunzig::NUM,halvfems,תשעים
748,hundert::NUM,hundrede,מאה
749,tausend::NUM,tusind,אלף
750,und::CNJ,og,ו
751,oder::CNJ,eller,או
752,stehen::V,stå,עמד
753,sitzen::V,sidde,ישב
754,liegen::V,ligge,שכב
755,hängen::V,hænge,היה תלוי
756,werden::V,blive,הפך ל
757,passieren::V,ske,קרה
758,passieren::V,hænde,קרה
759,beginnen::V,begynde,התחיל
760,enden::V,ende,הסתים
761,wechseln::V,veksle,השתנה
762,aufgehen[Sonne]::V,gå op,זרח
763,aufgehen[Sonne]::V,stå op,זרח
764,untergehen[Sonne]::V,gå ned,שקע
765,scheinen[Sonne]::V,skinne,בהק
766,donnern::V,tordne,רעם
767,wehen::V,blæse,נשב
768,strömen::V,strømme,זרם
769,fließen::V,flyde,זרם
770,sich drehen::V,dreje sig,הסתובב
771,schwanken::V,vakle,התנודד
772,schwingen::V,svinge,התנענע
773,fallen::V,falde,נפל
774,brennen::V,brænde,בער
775,rauchen::V,ryge,עשן
776,regnen::V,regne,ירד גשם
777,gefrieren::V,fryse,קפא
778,tauen::V,tø,נמס
779,schmelzen::V,smelte,התיך
780,trocknen::V,tørre,התיבש
781,sieden::V,koge,רתח
782,faulen::V,rådne,רקב
783,verfaulen::V,rådne,רקב
784,reißen::V,briste,נקרע
785,versinken::V,synke,טבע
786,versinken::V,synke ned,טבע
787,vergehen::V,forløbe,עבר
788,erscheinen::V,vise sig,נגלה
789,erscheinen::V,vise sig,הופיע
790,verschwinden::V,forsvinde,נעלם
791,sinken::V,synke,ירד
792,abnehmen::V,aftage,הפחית
793,zunehmen::V,tiltage,רבה
794,steigen::V,stige,עלה
795,wachsen::V,gro,גדל
796,wachsen::V,vokse,גדל
797,glänzen::V,glinse,נצץ
798,glänzen::V,glinse,בהק
799,funkeln::V,tindre,נצנץ
800,lärmen::V,larme,רעש
801,läuten::V,ringe,צלצל
802,klingeln::V,ringe,צלצל
803,klirren::V,klirre,קרקש
804,brausen::V,bruse,געש
805,rauschen::V,suse,רשרש
806,klingen::V,lyde,נשמע
807,klingen::V,klinge,נשמע
808,bellen::V,gø,נבח
809,heulen::V,hyle,ילל
810,blasen::V,blæse,נשף
811,pfeifen::V,fløjte,שרק
812,schreien::V,skrige,צעק
813,stöhnen::V,stønne,נאנק
814,zittern::V,dirre,רעד
815,zittern::V,skælve,רעד
816,leben::V,leve,חי
817,geboren werden::V,fødes,נולד
818,atmen::V,ånde,נשם
819,trinken::V,drikke,שתה
820,essen::V,spise,אכל
821,schlucken::V,synke,בלע
822,müde werden::V,blive træt,התעיף
823,einschlafen::V,falde i søvn,נרדם
824,schlafen::V,sove,ישן
825,aufwachen::V,vågne,התעורר
826,aufstehen::V,stå op,קם
827,sich erholen::V,komme sig,נפש
828,krank werden::V,blive syg,חלה
