,Concept_ID,ta,mrj
79,Wolke::N,மேகம்,пӹл
80,Regen::N,மழை,юр
81,Schnee::N,உறைபனி,лым
82,Eis::N,பனிக்கட்டி,и
83,Frost::N,உறைபனி,ӱштӹ
84,Kälte::N,குளிர்ந்த,ӱштӹ
85,Hitze::N,சூடு,шокшы
86,Raureif::N,உறைபனி வெண்திரை,пöрш
87,Regenbogen::N,வானவில்,шанавӹл
88,Donner::N,இடி,хӹдӹртӹш
89,Strömung::N,நீரோட்டம்,йогы
90,Tropfen::N,துளி,капльы
91,Tropfen::N,துளி,капльык
92,Schaum::N,நுரை,шонг
93,Schmutz::N,அழுக்கு,лявӹрӓ
94,See::N,ஏரி,йӓр
95,Sumpf::N,சதுப்பு நிலம்,лӱкӹ
96,Moor::N,முட்புதற்காடு,куп
97,Wiese::N,பசும் புல்தரை,алык
98,Wald::N,காடு,шӹргӹ
99,Hügel::N,குன்று,пӱгӹрикӓ
100,Anhöhe::N,பதுக்கை,кӱкшикӓ
101,Berg::N,மலை,кырык
102,Gipfel::N,உச்சி மாநாடு,неркӓ
103,Höhle::N,குகை,ы́раж
104,Abhang::N,சரிவு,полом
105,Quelle::N,மூலம்,вӹдсӹнзӓ
106,Bach::N,ஓடை,ӓнгӹр
107,Fluss::N,ஆறு,вӹд
108,Ufer::N,நீர்க்கரை,сир
109,Küste::N,கடற்கரை,сир
110,Festland::N,நிலம்,мӱлӓндӹ
111,Meer::N,கடல்,тангыж
112,Bucht::N,சிறுகுடா,вӹдъял
113,Insel::N,தீவு,острок
114,Blume::N,பூ,пеледӹш
115,Gras::N,புல்தரை,шуды
116,Wurzel::N,வேர்,важ
117,Baum::N,மரம்,пушӓнгӹ
118,Stamm::N,அடிமரம்,пушӓнгӹ тӹнг
119,Rinde::N,பட்டை,каргыж
120,Rinde::N,மரப்பட்டை,каргыж
121,Ast::N,கினை,укш
122,Zweig::N,குச்சி,укш
123,Blatt::N,இலை,листӹ
124,Birke::N,பிர்ச் மரம்,куги
125,Kiefer[Baum]::N,தேவதாரு மரம்,йӓктӹ
126,Weide[Baum]::N,மர வகைகளுள் ஒன்று,уа
127,Tanne::N,சாதிக்கய்,кож
128,Horn::N,கொம்பு,шур
129,Feder::N,இறகு,пын
130,Fell::N,மென்முடி,кавашты
131,Flügel::N,இறக்கை,шылдыр
132,Klaue::N,நகம்,кӹч
133,Kralle::N,நகம்,лапа
134,Schwanz::N,வால்,пач
135,Ei::N,முட்டை,мыны
136,Nest::N,கூடு,пӹжӓш
137,Bau::N,குகை,ыраж
138,Tier::N,விலங்கு,во́льык
139,Herde::N,கூட்டம்,кӹтö
140,Kuh::N,பசு,ышкал
141,Bulle::N,காளை,ӱшкӱж
142,Pferd::N,குதிரை,имни
143,Schaf::N,செம்மறிஆடு,шарык
144,Schwein::N,பன்றி,сасна
145,Hund::N,நாய்,пи
146,Katze::N,பூனை,коти
147,Bär::N,கரடி,мöскӓ
148,Eichhörnchen::N,அணில்,ур
149,Elch::N,கடம்பை,шарды
150,Fuchs::N,நரி,рӹвӹж
151,Hase::N,முயல்,морен
152,Maus::N,எலி,каля
153,Wolf::N,ஓநாய்,пирӹ
154,Vogel::N,பறவை,кек
155,Schwarm::N,தொகுதி,цуца
156,Huhn::N,கோழிக்குஞசு,цӹвӹ
157,Hahn::N,சேவல்,ӓптӓн
158,Gans::N,பெண் வாத்து,комбы
159,Adler::N,பருநது,кучкыж
160,Ente::N,வாத்து,лыды
161,Eule::N,ஆந்தை,тымана
162,Kranich::N,நாரை,тырня
163,Kranich::N,நாரை,тыртня
164,Krähe::N,காகம்,лудыгарак
165,Kuckuck::N,குயில்,куку
166,Schwan::N,அன்னம்,йӱксӹ
167,Fisch::N,மீன்,кол
168,Barsch::N,பேர்ச்,алангы
169,Hecht::N,கோலாச்சி மீன்,нуж
170,Hecht::N,கோலாச்சி மீன்,нужгол
171,Schlange[Tier]::N,பாம்பு,кӹшкы
172,Wurm::N,புழு,шукш
173,Spinne::N,சிலந்தி,ӓнгӹремшӹ
174,Ameise::N,எறும்பு,кыткы
175,Laus::N,பேன்,ти
176,Mücke::N,கொசுவினப்பூச்சி,кужнер
177,Mücke::N,கொசுவினப்பூச்சி,кужынер
178,Fliege::N,ஈ,шӹнгӓ
179,Schmetterling::N,வண்ணத்துப்பூச்சி,лӹпӹ
180,Beere::N,சதைப்பழம்,мöр
181,Apfel::N,ஆப்பிள பழம்,олма
182,Pilz::N,காளான்,понгы
183,Zwiebel::N,வெங்காயம்,охыра
184,Saat::N,விதை,нӱшмӹ
185,Saat::N,விதை,нӱшмӱ
186,Korn::N,தானியம்,пӹрцӹ
187,Heu::N,வைக்கோல்,шуды
188,Schale::N,தோல்,аваха
189,Schale::N,தோல்,карлангы
190,Grube::N,குழி,йӓм
191,Falle::N,பொறி,лӱдӹ
192,Falle::N,பொறி,лӱдӹш
193,Schlinge::N,கண்ணி,онгы
194,Spur::N,சுவடு,кишӓ
195,Asche::N,சாம்பல்,ломых
196,Asche::N,சாம்பல்,ломпыж
197,Dreck::N,அழுக்கு,лявӹрӓ
198,Eisen::N,இரும்பு,кӹртни
199,Gold::N,தங்கம்,шöртни
200,Gold::N,தங்கம்,шöртньӹ
201,Silber::N,வெள்ளி,ши
202,Kohle::N,நிலக்கரி,шӱ
203,Glas::N,கண்ணாடி,охоница
204,Lehm::N,களிமண்,шун
205,Sand::N,மணல்,ошма
206,Mensch::N,மனிதர்கள்,эдем
207,Mann::N,மனிதன்,пӱэргӹ
208,Frau::N,பெண்,ӹдӹрӓмӓш
209,Kind::N,குழந்தை,ӓзӓ
210,Kind::N,குழந்தை,шачшы
211,Junge::N,பையன்,рвезӹ
212,Junge::N,பையன்,ӹрвезӹ
213,Mädchen::N,சிறுமி,ӹдӹрӓш
214,Familie::N,குடும்பம்,йиш
215,Familie::N,குடும்பம்,семня
216,Großvater::N,தாத்தா,тьоти
217,Großmutter::N,பாட்டி,папа
218,Eltern::N,பெற்றோர்,ӓтя-ӓвӓ
219,Vater::N,தந்தை,ӓтя
220,Mutter::N,தாய்,ӓвӓ
221,Sohn::N,மகன்,эргӹ
222,Tochter::N,மகள்,ӹдӹр
223,Bruder::N,சகோதரன்,ӹза
224,Schwester::N,அக்கா,ӓкӓ
225,Onkel::N,தாய் மாமன்,кугуза
226,Tante::N,அத்தை,куака
227,Ehemann::N,கணவன்,мары
228,Ehefrau::N,மனைவி,вӓтӹ
229,Freude::N,கொண்டாட்டம்,ӹвӹртӹмӓш
230,Gelächter::N,சிரிப்பு,ваштылмаш
231,Glück::N,மகிழ்ச்சி,пиӓл
232,Kummer::N,துயரம்,ясы
233,Wunsch::N,விருப்பம்,охата
234,Wunsch::N,விருப்பம்,шанымаш
235,Lust::N,விருப்பம்,шӓр
236,Lust::N,விருப்பம்,охата
237,Lust::N,விருப்பம்,шанымаш
238,Geist::N,ஆன்மா,тух
239,Gedanke::N,எண்ணம்,шанымаш
240,Gedächtnis::N,ஞாபகம்,ӓш
241,Verstand::N,மனம்,ыш
242,Sinn::N,அர்த்தம்,кын
243,Grund::N,காரணம்,вир
244,Wahrheit::N,உண்நை,тöр
245,Gespräch::N,பெசு,хытырымаш
246,Märchen::N,நம்பத்தகாத கதை,ямак
247,Erzählung::N,கதை,шайыштмаш
248,Nachricht::N,செய்தி,увертӓрӹмӓш
249,Neuigkeit::N,செய்தி,увер
250,Name::N,பெயர்,лӹм
251,Rätsel::N,புதிர்,тышты
252,Rede::N,பேச்சு,шая
253,Rede::N,பேச்சு,шамак
254,Sprache::N,மொழி,йӹлмӹ
255,Stimme::N,குரல்,юк
256,Wort::N,வார்த்தை,шамак
257,Zeichen::N,குறி,палӹ
258,Ruf::N,அழைப்பு,сӹгӹрӹмӓш
259,Lärm::N,சத்தம்,юкланымащ
260,Laut::N,ஒலி,юк
261,Ton::N,குரல்,юк
262,Lied::N,பாட்டு,мыры
263,Ruhe::N,அமைதி,тыр
264,Leute::N,மக்கள்,эдемвлӓ
265,Volk::N,மக்கள்,халык
266,Arbeit::N,வேலை,пӓшӓ
267,Gast::N,விருந்தாளி,хына
268,Geschenk::N,பரிசுப் பொருள்,подарка
269,Spiel::N,விளையாட்டு,мадыш
270,Gesellschaft::N,சமுதாயம்,йӓл
271,Gesellschaft::N,சமுதாயம்,йӓлвлӓ
272,Hilfe::N,உதவி,палшык
273,Freund::N,நண்பன்,тӓнг
274,Kamerad::N,உடனிருப்பவன்,тос
275,Angelegenheit::N,செய்தி,дела
276,Angelegenheit::N,செய்தி,йела
277,Angelegenheit::N,செய்தி,йыла
278,Angelegenheit::N,செய்தி,пӓшӓ
279,Anzahl::N,எண்ணிக்கை,шот
280,Art::N,வகை,цӹре
281,Stück::N,துண்டம்,лаштык
282,Teil::N,பகுதி,пай
283,Teil::N,பகுதி,часть
284,Hälfte::N,பாதி,пел
285,Kreis::N,வட்டம்,тӹртӹш
286,Kreuz::N,சிலுவை,крестӹ
287,Linie::N,கோடு,
288,Strich::N,வாத நோய்,
289,Abstand::N,இடைவெளி,ло
290,Entfernung::N,தூரம்,ло
291,Gegend::N,வட்டாரம்,вӓр
292,Platz::N,வெற்றிடம்,вӓр
293,Ort::N,இடம்,вӓр
294,Seite::N,பக்கம்,öрдӹж
295,Mitte::N,இடைப்பகுதி,ло
296,Gegenstand::N,உருப்படி,хӓдӹр
297,Sache::N,பொருள்,хӓдӹр
298,Rand::N,தொங்கு,шöр
299,Kante::N,விளிம்பு,шöр
300,Ecke::N,மூலை,лык
301,Spitze::N,முனை,вуй
302,Ende::N,முடிவு,вуй
303,Ende::N,முடிவு,мычаш
304,Loch::N,துளை,ыраж
305,Winkel::N,கோணம்,лык
306,Muster::N,பாங்கு,тӹрлец
307,Größe::N,அளவு,кӱкшӹц
308,Länge::N,நீளம்,кыт
309,Höhe::N,உயரம்,кӱкшӹц
310,Gewicht::N,எடை,нелӹц
311,Menge::N,தொகை,шот
312,Haufen::N,குவியல்,ара
313,Reihe::N,வரிசை,ряд
314,Boot::N,படகு,пыш
315,Ruder::N,துடுப்பு,вешлӓ
316,Schlitten::N,சகடையிலா வண்டி,тир
317,Ski::N,பனிச் சறுக்கல்,ечӹ
318,Lagerfeuer::N,மூட்டம்,тыл
319,Last::N,பாரம்,нелӹц
320,Gang::N,நடை,ход
321,Schritt::N,காலடி,ашкыл
322,Norden::N,வடக்கு,йыдпелвел
323,Süden::N,தெற்கு,кечӹвӓлвел
324,Westen::N,மேற்கு திசை,кечӹ шӹцмӹ
325,Osten::N,கிழக்கு,ирвел
326,Osten::N,கிழக்கு,кечӹ лӱлтмӹ
327,Holz::N,மரக்கட்டை,пушӓнгӹ
328,Brett::N,பலகை,ханга
329,Platte::N,பலகம்,плитӓ
330,Stütze::N,அடைப்புகன்,цӓрӓк
331,Stange::N,கம்பம்,равы
332,Stange::N,கம்பம்,намаш
333,Stock::N,குச்சி,панды
334,Stab::N,கம்பு,равы
335,Rohr::N,குழாய்,пыч
336,Haus::N,வீடு,пöрт
337,Heim::N,வீடு,пöрт
338,Ofen::N,அடுப்பு,камака
339,Fußboden::N,தரை,седӹрӓ
340,Tisch::N,மேசை,стöл
341,Stuhl::N,நாற்காலி,пöкен
342,Wiege::N,தொட்டில்,шипкӓ
343,Bett::N,படுக்கை,койка
344,Bett::N,படுக்கை,кравать
345,Regal::N,அலமாரி,полицӓ
346,Kiste::N,பெட்டி,шӱ́ндӹк
347,Fenster::N,சாளரம்,окня
348,Tür::N,கதவு,амаса
349,Tor::N,வாசற்கதவு,хапка
350,Zaun::N,வேலி,забор
351,Dach::N,கூரை,левӓш
352,Leiter::N,ஏணி,ташкалтыш
353,Besen::N,விளக்குமாறு,сало
354,Besen::N,விளக்குமாறு,салко
355,Spaten::N,மண்வெட்டி,кольмы
356,Schaufel::N,அடிதண்டா,лоток
357,Gabel::N,முட்கரண்டி,ви́лка
358,Löffel::N,கரண்டி,савала
359,Messer::N,கத்தி,кӹзӹ
360,Nagel::N,ஆணி,пыда
361,Netz::N,வலை,вӓпш
362,Haken::N,கொக்கி,крӱк
363,Haken::N,கொக்கி,кагак
364,Griff::N,கைப்பிடி,кычем
365,Schloss::N,பூட்டு,замок
366,Schloss::N,பூட்டு,сыравач
367,Bild::N,படம்,картин
368,Figur::N,எண்ணிக்கை,кӓн
369,Puppe::N,பொம்மை,поханя
370,Beutel::N,பை,мешӓк
371,Bündel::N,பொதி,топ
372,Bündel::N,பொதி,пидӹш
373,Bündel::N,பொதி,кӹлдӹш
374,Tasche::N,பை,сумкы
375,Eimer::N,வாளி,ведӹрӓ
376,Deckel::N,உறை,комдыш
377,Geschirr::N,பாத்திரம்,ӓтӹ
378,Sack::N,பை,мешӓк
379,Tasse::N,கிண்ணம்,цӓшкӓ
380,Topf::N,பானை,ми́ска
381,Kessel::N,கெண்டி,пад
382,Essen::N,உணவருந்துதல்,качкыш
383,Essen::N,உணவருந்துதல்,качкыш-йӱш
384,Nahrung::N,உணவு,качкыш
385,Nahrung::N,உணவு,качкыш-йӱш
386,Speise::N,உணவு வகை,няня
387,Fleisch::N,இறைச்சி,пай
388,Getreide::N,மக்காச்சோளம்,киндӹ
389,Brei::N,கஞ்சி,шӹрӓш
390,Brot::N,ரொட்டி,сыкыр
391,Scheibe::N,துண்டு,ламыт
392,Scheibe::N,துண்டு,лаштык
393,Fett::N,கொழுப்பு,кая
394,Butter::N,வெண்ணெய்,ӱ
395,Öl::N,எண்ணெய்,ӱ
396,Salz::N,உப்பு,санзал
397,Suppe::N,ரசம்,лем
398,Honig::N,தேன்,мӱ
399,Milch::N,பால்,шӹшер
400,Tee::N,தெனீர்,чӓй
401,Leder::N,பதம் செய்யப்பட்ட தோல்,шарга
402,Leder::N,பதம் செய்யப்பட்ட தோல்,кавашты
403,Wolle::N,கம்பளி,миж
404,Stoff::N,துணி,матер
405,Stoff::N,துணி,матери
406,Nadel::N,ஊசி,им
407,Faden::N,நூல்,шӹртӹ
408,Knopf::N,பொத்தான்,полдыш
409,Knoten::N,முடிச்சு,пӱкшем
410,Farbe::N,வண்ணக் குழம்பு,чиӓ
411,Farbe::N,வண்ணக் குழம்பு,крӓскӓ
412,Kleidung::N,ஆடைகள்,выргем
413,Hemd::N,சட்டை,тыгыр
414,Kragen::N,கழுத்துப் பட்டை,шӱ
415,Ärmel::N,சட்டைக்கை,шокш
416,Hose::N,கால்சட்டை,ялаш
417,Gürtel::N,பெல்ட்,ӹштӹ
418,Mütze::N,தொப்பி,упш
419,Schuh::N,காலணி,ту́фльы
420,Stiefel::N,காலணி,кем
421,Ring::N,மோதிரம்,шӓргӓш
422,Band::N,நாடா,лемтӓ
423,Kamm::N,கீப்பு,шерге
424,Spiegel::N,ஆடி,тӹгӹр
425,Spiegel::N,கண்ணாடி,тӹгӹр
426,Riemen::N,வார்,прӓжӓ
427,Schnur::N,கயிறு,кӓндӹра
428,Leine::N,தோல்வார்,керем
429,Decke::N,போர்வை,одеял
430,Kissen::N,தலையணை,кӹпцӹк
431,Tuch::N,துணி,савыц
432,Handtuch::N,தண்டு,шӹргӹсавыц
433,Handtuch::N,தண்டு,шӹргӹмсавыц
434,Kraft::N,நிர்பந்தம்,ви
435,Stärke::N,பலம்,ви
436,Gesundheit::N,ஆரோக்கியம்,шу
437,Gesundheit::N,ஆரோக்கியம்,шулык
438,Krankheit::N,நோய்,мыж
439,Schmerz::N,வலி,карштыш
440,Wunde::N,காயம்,шушыр
441,Fieber::N,காய்ச்சல்,ӱштӹмыж
442,Arznei::N,மருந்து,лекӓрцӹ
443,Brücke::N,பாலம்,кӹвер
444,Brunnen::N,கேணி,вӹдсӹнзӓ
445,Weide::N,மேய்ச்சல் நிலம்,ныр
446,Pfad::N,நடை வழி,ялгорны
447,Weg::N,வழி,корны
448,Straße::N,சாலை,корны
449,Dorf::N,கிராமம்,сола
450,Stadt::N,நகரம்,города
451,Brief::N,கடிதம்,сирмӓш
452,Buch::N,புத்தகம்,книгӓ
453,Buchstabe::N,எழத்து,буква́
454,Zeitung::N,செய்தித்தாள்,газет
455,Zeitung::N,செய்தித்தாள்,кайзет
456,Leben::N,வாழ்க்கை,житя
457,Tod::N,மரணம்,смöрт
458,Grab::N,சமாதி,шӹгер
459,Grab::N,சமாதி,мыгилӓ
460,Grab::N,சமாதி,шӹгерлӓ
461,Kirche::N,தேவாலயம்,церкӹ
462,Sünde::N,பாவம்,сулык
463,Gott::N,கடவுள்,йымы
464,Arbeiter::N,தொழிலாளி,пӓшӓзӹ
465,Chef::N,மேலாளர்,вуй
466,Meister::N,தலைவன்,мастар
467,Arzt::N,மருத்துவர்,доктор
468,Lehrer::N,ஆசிரியர்,тымдышы
469,Geld::N,பணம்,окса
470,Geschäft::N,வாணிபம்,торге́йӹмӓш
471,Laden::N,கடை,лапка
472,Laden::N,கடை,магазин
473,Preis::N,விலை,ӓк
474,Ware::N,சாமன்கள்,товар
475,Nutzen::N,இலாபம்,пайда
476,Reichtum::N,சொத்து,перке
477,Welt::N,உலகம்,сӓндӓлӹк
478,Welt::N,உலகம்,свет
479,Land::N,நாடு,сӓндӓлӹк
480,Staat::N,நாடு,кугижӓншӹ
481,König::N,அரசன்,король
482,Macht::N,அதிகாரம்,власть
483,Grenze::N,எல்லை,пӹсмӓн
484,Krieg::N,போர்,вырсы
485,Feind::N,எதிரி,тышман
486,Gewalt::N,வன்முறை,ви
487,Kampf::N,போராட்டம்,кредӓлмӓш
488,Bogen[Waffe]::N,வில்,янгеж
489,Pfeil::N,அம்பு,пикш
490,Gewehr::N,துப்பாக்கி,пичӓл
491,Fehler::N,தவறு,самынь
492,Lüge::N,பொய்,шая
493,Schaden::N,சேதாரம்,вре́дӓ
494,Unglück::N,இடையூறு,пёда
495,Unglück::N,இடையூறு,тымаша
496,Schuld::N,குற்றம்,вуйнамат
497,Alter::N,வயது,иӓш
498,Alter::N,வயது,игечӹ
499,Schluss::N,முடிவு,пӹтӓртӹш
500,Zeit::N,காலம்,веремӓ
501,Tag::N,நாள்,кечӹ
502,Morgen::N,காலை நேரம்,ир
503,Morgen::N,காலை நேரம்,ирок
504,Mittag::N,மதியம்,кечӹвӓл
505,Abend::N,மாலைப் பொழுது,вады
506,Nacht::N,இரவு,йыд
507,Woche::N,வாரம்,ӓрня
508,Monat::N,மாதம்,тӹ́лзӹ
509,Jahr::N,வருடம்,год
510,Frühling::N,வசந்தம்,шошым
511,Sommer::N,கோடை,кӓнгӹж
512,Herbst::N,இலையுதிர் காலம்,шӹжӹ
513,Winter::N,குளிர்காலம்,тел
514,Winter::N,குளிர்காலம்,телӹ
515,Januar::N,ஜனவரி,январ
516,Januar::N,ஜனவரி,январь
517,Februar::N,பிபரவரி மாதம்,февраль
518,März::N,மார்ச் மாதம்,март
519,April::N,ஏப்ரல் மாதம்,апрель
520,Mai::N,மே மாதம்,май
521,Juni::N,ஜூன் மாதம்,июнь
522,Juli::N,ஜூலை மாதம்,июль
523,August::N,ஆகஸ்ட் மாதம்,август
524,September::N,செப்டம்பர் மாதம்,сентябрь
525,Oktober::N,அக்டோபர் மாதம்,октябрь
526,November::N,நவம்பர் மாதம்,ноябрь
527,Dezember::N,டிசம்பர்,декавыр
528,Montag::N,திங்கட் கிழமை,шачмы
529,Dienstag::N,செவ்வாய்க்கிழமை,кышкыжмы
530,Mittwoch::N,புதன் கிழமை,вӹрчегӹ
531,Donnerstag::N,வியாழக் கிழமை,изӓрня
532,Freitag::N,வெள்ளிக்கிழமை,когарня
533,Samstag::N,சனிக்கிழமை,кукшыгечӹ
534,Sonntag::N,ஞாயிறுக் கிழமை,рушӓрня
535,groß::A,பெரிய,кого
536,klein::A,சிறிய,изи
537,lang::A,நீண்ட,кужы
538,kurz::A,குட்டையான,кӹтӹк
539,breit::A,அகலமான,кымда
540,schmal::A,குறுகலான,ӓнгӹсӹр
541,dicht::A,அடர்த்தியான,шӹре
542,dick[Gegenstand]::A,தடித்த,кӹжгӹ
543,dünn::A,சன்னமான,вӹцкӹж
544,fein::A,மெல்லிய,пыльга
545,fest::A,உறுதியாள,цаткыды
546,flach::A,தட்டையான,тӓлякӓ
547,glatt::A,வழுவழுப்பான,ягылгы
548,hart::A,கடினமான,пингӹдӹ
549,weich::A,மென்மையான,пышкыды
550,rund::A,உருண்டையான,тӹртӹш
551,spitz::A,திகந்தமாக,кашар
552,scharf::A,கூரான,кашар
553,stumpf::A,உளம் திறந்த,нӹшкӹ
554,schwer::A,கனமான,нелӹ
555,schön::A,அழகான,цевер
556,schön::A,அழகான,олмыдшы
557,heiß::A,சூடான,шокшы
558,warm::A,இதமான,шокшы
559,kalt::A,குளிர்ச்சியான,ӱштӹ
560,kühl::A,குளிர்ச்சியான,юалгы
561,kühl::A,குளிர்ச்சியான,йонгата
562,frisch::A,சுத்தமான,йонгата
563,feucht::A,ஈரமான,ӹлӹкшӹ
564,feucht::A,ஈரமான,вӹдӹжгӹ
565,nass::A,ஈரமான,начкы
566,trocken::A,உலர்ந்த,кукшы
567,voll::A,நிரம்பிய,темшӹ
568,voll::A,நிரம்பிய,темыман
569,leer::A,காலியான,йӓрӓ
570,offen::A,திறந்த,виш
571,geschlossen::A,மூடப்பட்ட,чӱчмӹ
572,geschlossen::A,மூடப்பட்ட,тӹкӹлӓлтшӹ
573,sauber::A,சுத்தமான,ире
574,schmutzig::A,அழக்கான,шоран
575,schmutzig::A,அழக்கான,лявӹрӓн
576,schmutzig::A,அழக்கான,шорангшы
577,roh::A,கச்சா,пеле кӱшӹ
578,reif::A,பழுத்த,кӱшӹ
579,lecker::A,சுவைமிக்க,тотан
580,süß::A,இனிப்பான,мӱӓн
581,bitter::A,கசப்பான,качы
582,sauer::A,புளிப்பாக,шапы
583,hell::A,பளபளப்பான,соты
584,hell::A,பளபளப்பான,валгыды
585,dunkel::A,கருமையான,пӹц
586,dunkel::A,கருமையான,пӹцкемӹш
587,schwarz::A,கருப்பு வண்ண,шим
588,weiß::A,வெண்மையன,ош
589,weiß::A,வெண்மையன,ошы
590,rot::A,சிவப்பு,якшаргы
591,gelb::A,மஞ்சள் வண்ணம்,сар
592,gelb::A,மஞ்சள் வண்ணம்,сары
593,blau::A,நீல வண்ண,симсӹ
594,grün::A,பச்சை வண்ண,ыжар
595,grau::A,சாம்பல் நிற,луды
596,bunt::A,வண்ண மயமான,ала
597,billig::A,மலிவான,шулдаш
598,teuer::A,விலை அதிகமான,шергӹ
599,teuer::A,விலை அதிகமான,шергӓкӓн
600,wertvoll::A,மதிப்புள்ள,ӓкӓн
601,blind::A,பார்வையற்ற,слöпöй
602,blind::A,பார்வையற்ற,сльöпöй
603,taub::A,செவிடான,тӱтӱк
604,kräftig::A,வலிமையான,виӓн
605,stark::A,பலமான,виӓн
606,schwach::A,பலவீனமான,шава
607,schwach::A,பலவீனமான,лӹпкӓ
608,schwach::A,பலவீனமான,слабка
609,fett::A,பருமனாக,таза
610,schlank::A,ஒல்லியான,яштака
611,hübsch::A,அழகிய,сӹлнӹ
612,hübsch::A,அழகிய,олмыдшы
613,böse::A,கேடு விளைவிக்கும்,шӹдӓн
614,dumm::A,முட்டாள்தனமான,окмак
615,faul::A,சோம்பலான,ялахай
616,fleißig::A,ஊக்கந்தளராத,пӓшам яратышы
617,geizig::A,கஞேசத்தனமான,шык
618,klug::A,சாதுரியமான,ышан
619,geschickt::A,திறமையள்ள,мастар
620,lieb::A,அன்புக்குரிய,тыри
621,lustig::A,களிப்புமிக்க,мындыр
622,lustig::A,களிப்புமிக்க,сусу
623,sanft::A,சாதுவான,йӹвӹжӓ
624,hungrig::A,பசியுடன்,шужышы
625,krank::A,நோயுற்று,церлӹ
626,krank::A,நோயுற்று,хворой
627,nackt::A,ஆடையற்ற,цӓрӓ
628,traurig::A,சோகமான,сы́лыкан
629,traurig::A,சோகமான,кымы́лдымы
630,lebendig::A,பிழைப்பு,живой
631,gut::A,நல்ல,яжо
632,schlecht::A,கெட்ட,уда
633,schlecht::A,கெட்ட,худа
634,richtig::A,சரியான,вургамла
635,schlimm::A,அருவருப்பான,йӹрнык
636,wahr::A,உண்மையான,настоящий
637,wahr::A,உண்மையான,настояшый
638,alt::A,பழைய,шонгы
639,neu::A,புதிய,у
640,ehemalig::A,முன்நாள்,тошты
641,alt[Lebewesen]::A,வயதான,ӹлалшӹ
642,jung::A,இளமையான,нöргӹ
643,jung::A,இளமையான,молода
644,arm::A,ஏழ்மையான,укеӓн
645,reich::A,செல்வம் படைத்த,паян
