,Concept_ID,et,az
87,Eis::N,jää,buz
88,Frost::N,pakane,ayaz
89,Kälte::N,külm,soyuq
90,Kälte::N,külmus,soyuq
91,Hitze::N,kuumus,coşğunluq
92,Hitze::N,palavus,coşğunluq
93,Raureif::N,härmatis,qırov
94,Regenbogen::N,vikerkaar,göy qurşağı
95,Donner::N,kõu,göy gurultusu
96,Donner::N,müristamine,göy gurultusu
97,Strömung::N,voolus,axın
98,Strömung::N,jõevool,axın
99,Tropfen::N,tilk,damcı
100,Schaum::N,vaht,köpük
101,Schmutz::N,pori,çamır
102,Schmutz::N,mustus,çamır
103,See::N,järv,göl
104,Sumpf::N,soo,bataqlıq
105,Moor::N,raba,bataqlıq
106,Wiese::N,aas,çəmən
107,Wiese::N,nurm,çəmən
108,Wald::N,mets,meşə
109,Hügel::N,küngas,təpə
110,Anhöhe::N,küngas,təpə
111,Berg::N,mägi,dağ
112,Gipfel::N,mäetipp,zirvə
113,Höhle::N,koobas,mağara
114,Abhang::N,nõlvak,yamac
115,Quelle::N,allikas,bulaq
116,Bach::N,oja,kiçik çay
117,Fluss::N,jõgi,çay
118,Ufer::N,kallas,kənar
119,Küste::N,rannik,sahil
120,Festland::N,mander,materik
121,Festland::N,maismaa,materik
122,Meer::N,meri,dəniz
123,Bucht::N,laht,körfəz
124,Insel::N,saar,ada
125,Blume::N,lill,çiçək
126,Gras::N,rohi,ot
127,Wurzel::N,juur,kök
128,Baum::N,puu,ağac
129,Stamm::N,tüvi,gövdə
130,Rinde::N,koor,qabıq
131,Ast::N,oks,şax
132,Zweig::N,oks,budaq
133,Blatt::N,leht,yarpaq
134,Birke::N,kask,tozağacı
135,Kiefer[Baum]::N,mänd,şam
136,Weide[Baum]::N,paju,söyüd
137,Tanne::N,nulg,küknar
138,Horn::N,sarv,buynuz
139,Feder::N,sulg,tük
140,Feder::N,sulg,lələk
141,Fell::N,karvkate,xəz
142,Fell::N,karusnahk,xəz
143,Flügel::N,tiib,qanad
144,Flügel::N,tiivik,qanad
145,Klaue::N,küüs,pəncə
146,Kralle::N,küünis,dırnaq
147,Schwanz::N,saba,quyruq
148,Ei::N,muna,yumurta
149,Nest::N,pesa,yuva
150,Bau::N,urg,yuva
151,Tier::N,loom,heyvan
152,Herde::N,kari,sürü
153,Kuh::N,lehm,inək
154,Bulle::N,pull,öküz
155,Pferd::N,hobune,at
156,Schaf::N,lammas,qoyun
157,Schwein::N,siga,donuz
158,Hund::N,koer,it
159,Hund::N,koer,köpək
160,Katze::N,kass,pişik
161,Bär::N,karu,ayı
162,Eichhörnchen::N,orav,dələ
163,Elch::N,põder,sığın
164,Fuchs::N,rebane,tülkü
165,Hase::N,jänes,dovşan
166,Maus::N,hiir,siçan
167,Wolf::N,hunt,qurd
168,Vogel::N,lind,quş
169,Schwarm::N,parv,sürü
170,Huhn::N,kana,toyuq
171,Hahn::N,kukk,xoruz
172,Gans::N,hani,qaz
173,Adler::N,kotkas,qartal
174,Adler::N,kotkas,qaraquş
175,Ente::N,part,ördək
176,Eule::N,kakk,bayquş
177,Eule::N,öökull,bayquş
178,Kranich::N,kurg,durna
179,Krähe::N,vares,qarğa
180,Kuckuck::N,kägu,ququ
181,Schwan::N,luik,qu quşu
182,Fisch::N,kala,balıq
183,Barsch::N,ahven,tar
184,Hecht::N,haug,durnabalığı
185,Schlange[Tier]::N,uss,ilan
186,Wurm::N,uss,qurd
187,Wurm::N,vagel,qurd
188,Spinne::N,ämblik,hörümçək
189,Ameise::N,sipelgas,qarışqa
190,Laus::N,täi,bit
191,Mücke::N,sääsk,ağcaqanad
192,Fliege::N,kärbes,milçək
193,Schmetterling::N,liblikas,kəpənək
194,Beere::N,mari,gilə
195,Apfel::N,õun,alma
196,Pilz::N,seen,göbələk
197,Zwiebel::N,sibul,soğan
198,Saat::N,seeme,əkin
199,Korn::N,iva,taxıl
200,Korn::N,tera,taxıl
201,Heu::N,hein,quru ot
202,Schale::N,koor,qabıq
203,Grube::N,kaevand,çuxur
204,Falle::N,lõks,tələ
205,Falle::N,lõks,duzaq
206,Falle::N,püünis,tələ
207,Falle::N,püünis,duzaq
208,Schlinge::N,aas,ilmək
209,Spur::N,jälg,iz
210,Asche::N,tuhk,kül
211,Dreck::N,saast,kir
212,Dreck::N,mustus,kir
213,Eisen::N,raud,dəmir
214,Gold::N,kuld,altun
215,Silber::N,hõbe,gümüş
216,Kohle::N,süsi,kömür
217,Glas::N,klaas,şüşə
218,Lehm::N,savi,gil
219,Lehm::N,savi,palçıq
220,Sand::N,liiv,qum
221,Mensch::N,inimene,adam
222,Mensch::N,inimene,insan
223,Mann::N,mees,kişi
224,Frau::N,naine,qadın
225,Kind::N,laps,uşaq
226,Junge::N,poiss,oğlan
227,Mädchen::N,tüdruk,qız
228,Familie::N,perekond,ailə
229,Großvater::N,vanaisa,baba
230,Großmutter::N,vanaema,nənə
231,Eltern::N,vanemad,valideyn
232,Vater::N,isa,ata
233,Mutter::N,ema,ana
234,Sohn::N,poeg,oğul
235,Tochter::N,tütar,qız
236,Bruder::N,vend,qardaş
237,Schwester::N,õde,bacı
238,Onkel::N,onu,əmi
239,Onkel::N,onu,dayı
240,Tante::N,tädi,bibi
241,Ehemann::N,mees,ər
242,Ehemann::N,abikaasa,ər
243,Ehefrau::N,naine,arvad
244,Ehefrau::N,abikaasa,arvad
245,Freude::N,rõõm,nəşə
246,Freude::N,rõõm,sevinc
247,Gelächter::N,naer,gülüş
248,Gelächter::N,naer,qəhqəhə
249,Glück::N,õnn,səadət
250,Glück::N,õnn,xoşbəxtlik
251,Kummer::N,mure,qəm
252,Kummer::N,mure,kədər
253,Kummer::N,kurbus,qəm
254,Kummer::N,kurbus,kədər
255,Wunsch::N,soov,arzu
256,Lust::N,himu,həvəs
257,Geist::N,vaim,ruh
258,Gedanke::N,mõte,fikir
259,Gedanke::N,mõte,düşüncə
260,Gedächtnis::N,mälu,xatir
261,Gedächtnis::N,mälu,hafizə
262,Verstand::N,aru,ağıl
263,Verstand::N,mõistus,ağıl
264,Sinn::N,tähendus,məna
265,Grund::N,põhjus,səbəb
266,Wahrheit::N,tõde,haqq
267,Wahrheit::N,tõde,doğruluq
268,Gespräch::N,kõne,söhbət
269,Gespräch::N,kõne,qonuşma
270,Gespräch::N,vestlus,söhbət
271,Gespräch::N,vestlus,qonuşma
272,Märchen::N,muinasjutt,nağıl
273,Erzählung::N,jutustus,hekayə
274,Nachricht::N,teade,xəbər
275,Neuigkeit::N,uudis,xəbər
276,Neuigkeit::N,uudis,yenilik
277,Name::N,nimi,ad
278,Rätsel::N,mõistatus,tapmaca
279,Rede::N,kõne,nitq
280,Sprache::N,keel,dil
281,Stimme::N,hääl,səs
282,Wort::N,sõna,söz
283,Wort::N,sõna,kəlmə
284,Zeichen::N,märk,nişan
285,Ruf::N,hüüe,çığırtı
286,Lärm::N,müra,gurultu
287,Laut::N,hääl,səs
288,Ton::N,toon,ton
289,Lied::N,laul,mahnı
290,Ruhe::N,rahu,sakitlik
291,Ruhe::N,vaikus,sakitlik
292,Leute::N,inimesed,xalq
293,Volk::N,rahvas,millət
294,Arbeit::N,töö,iş
295,Arbeit::N,töö,əmək
296,Gast::N,külaline,qonaq
297,Gast::N,külaline,müsafir
298,Geschenk::N,kingitus,hədiyyə
299,Spiel::N,mäng,oyun
300,Spiel::N,mäng,tamaşa
301,Gesellschaft::N,selts,cəmiyyet
302,Hilfe::N,abi,kömək
303,Hilfe::N,abi,yardım
304,Freund::N,sõber,dost
305,Kamerad::N,sõber,yoldaş
306,Angelegenheit::N,asi,iş
307,Anzahl::N,arv,say
308,Anzahl::N,hulk,say
309,Art::N,liik,çeşid
310,Stück::N,tükk,dənə
311,Stück::N,tükk,parça
312,Teil::N,osa,qisim
313,Hälfte::N,pool,yarım
314,Kreis::N,ring,dairə
315,Kreuz::N,rist,xaç
316,Linie::N,joon,xətt
317,Strich::N,joon,cızıq
318,Abstand::N,vahe,məsafə
319,Entfernung::N,kaugus,məsafə
320,Entfernung::N,kaugus,uzaqlıq
321,Entfernung::N,vahemaa,məsafə
322,Entfernung::N,vahemaa,uzaqlıq
323,Gegend::N,ümbrus,bölgə
324,Platz::N,ruum,yer
325,Ort::N,paik,yer
326,Seite::N,pool,yan
327,Seite::N,pool,tərəf
328,Mitte::N,keskpaik,orta
329,Gegenstand::N,ese,şey
330,Sache::N,ese,şey
331,Rand::N,äär,kənar
332,Rand::N,serv,kənar
333,Kante::N,kant,tiyə
334,Kante::N,kant,kənar
335,Ecke::N,nurk,bucaq
336,Spitze::N,teravik,uc
337,Ende::N,ots,son
338,Ende::N,ots,axır
339,Ende::N,jupp,son
340,Ende::N,jupp,axır
341,Loch::N,auk,deşik
342,Winkel::N,nurk,guşə
343,Muster::N,muster,ülgü
344,Größe::N,suurus,böyüklük
345,Länge::N,pikkus,uzunluq
346,Höhe::N,kõrgus,yüksəklik
347,Gewicht::N,kaal,çəki
348,Gewicht::N,kaal,ağırlıq
349,Gewicht::N,raskus,çəki
350,Gewicht::N,raskus,ağırlıq
351,Menge::N,arv,miqdar
352,Menge::N,hulk,miqdar
353,Haufen::N,hunnik,yığın
354,Reihe::N,rivi,səf
355,Reihe::N,rivi,sıra
356,Boot::N,paat,qayıq
357,Ruder::N,aer,kürək
358,Schlitten::N,saan,kirşə
359,Ski::N,suusk,xizək
360,Lagerfeuer::N,lõke,düşərgə tonqalı
361,Last::N,koorem,yük
362,Gang::N,käik,yeriş
363,Schritt::N,samm,addım
364,Norden::N,põhi,şimal
365,Süden::N,lõuna,cənub
366,Westen::N,lääs,qərb
367,Osten::N,ida,şərq
368,Holz::N,puu,ağac
369,Holz::N,puu,taxta
370,Brett::N,saelaud,taxta
371,Platte::N,plaat,lövhə
372,Stütze::N,tugi,dayaq
373,Stütze::N,tugi,dəstək
374,Stange::N,latt,şüvül
375,Stange::N,teivas,şüvül
376,Stock::N,kepp,dəyənək
377,Stab::N,varras,əsa
378,Stab::N,varras,şüvül
379,Rohr::N,toru,boru
380,Rohr::N,toru,truba
381,Haus::N,maja,ev
382,Heim::N,kodu,ev
383,Ofen::N,ahi,peç
384,Ofen::N,ahi,soba
385,Fußboden::N,põrand,döşəmə
386,Tisch::N,laud,masa
387,Stuhl::N,tool,stul
388,Wiege::N,häll,beşik
389,Wiege::N,kätki,beşik
390,Bett::N,voodi,yataq
391,Regal::N,riiul,rəf
392,Kiste::N,kast,yeşik
393,Kiste::N,kast,sandıq
394,Fenster::N,aken,pəncərə
395,Tür::N,uks,qapı
396,Tor::N,värav,darvaza
397,Zaun::N,aed,çəpər
398,Zaun::N,tara,çəpər
399,Dach::N,katus,dam
400,Leiter::N,redel,nərdivan
401,Besen::N,luud,süpürgə
402,Spaten::N,labidas,kürək
403,Schaufel::N,kühvel,kürək
404,Gabel::N,kahvel,çəngəl
405,Löffel::N,lusikas,qaşıq
406,Messer::N,nuga,bıçaq
407,Nagel::N,nael,mıx
408,Netz::N,võrk,tor
409,Haken::N,haak,çəngəl
410,Haken::N,konks,çəngəl
411,Griff::N,sang,qulp
412,Griff::N,sang,tutacaq
413,Griff::N,käepide,qulp
414,Griff::N,käepide,tutacaq
415,Schloss::N,lukk,qıfıl
416,Bild::N,pilt,rəsm
417,Figur::N,kuju,şəkil
418,Figur::N,kuju,heykəl
419,Figur::N,kujund,şəkil
420,Figur::N,kujund,heykəl
421,Puppe::N,nukk,kukla
422,Puppe::N,nukk,gəlincik
423,Beutel::N,paun,kisə
424,Beutel::N,paun,torba
425,Bündel::N,kimp,bağlama
426,Tasche::N,kott,çanta
427,Eimer::N,pang,vedrə
428,Eimer::N,pang,çəllək
429,Eimer::N,ämber,vedrə
430,Eimer::N,ämber,çəllək
431,Deckel::N,kaas,qapaq
432,Geschirr::N,nõud,qab-qazan
433,Sack::N,kott,çuval
434,Tasse::N,tass,fincan
435,Topf::N,pada,qazan
436,Kessel::N,pada,qazan
437,Essen::N,söök,yemək
438,Nahrung::N,toit,qida
439,Speise::N,roog,xörək
440,Fleisch::N,liha,ət
441,Getreide::N,teravili,taxıl
442,Brei::N,puder,aş
443,Brei::N,puder,sıyıq
444,Brot::N,sai,çörək
445,Brot::N,leib,çörək
446,Scheibe::N,viil,dilim
447,Scheibe::N,viilukas,dilim
448,Fett::N,rasv,yağ
449,Butter::N,või,kərə yağı
450,Öl::N,õli,yağ
451,Salz::N,sool,duz
452,Suppe::N,supp,şorba
453,Honig::N,mesi,bal
454,Milch::N,piim,süd
455,Tee::N,tee,çay
456,Leder::N,nahk,dəri
457,Wolle::N,vill,yun
458,Stoff::N,kangas,qumaş
459,Nadel::N,nõel,iynə
460,Faden::N,niit,sap
461,Knopf::N,nööp,düymə
462,Knoten::N,sõlm,düyün
463,Farbe::N,värv,boya
464,Kleidung::N,riided,geyim
465,Kleidung::N,riietus,geyim
466,Hemd::N,särk,köynək
467,Kragen::N,krae,yaxa
468,Ärmel::N,varrukas,qol
469,Hose::N,püksid,şalvar
470,Gürtel::N,vöö,kəmər
471,Mütze::N,müts,şapka
472,Schuh::N,king,tufli
473,Schuh::N,king,ayaqqabı
474,Stiefel::N,saabas,çəkmə
475,Ring::N,sõrmus,üzük
476,Band::N,lint,lent
477,Kamm::N,kamm,daraq
478,Spiegel::N,peegel,güzgü
479,Riemen::N,rihm,qayış
480,Schnur::N,nöör,ip
481,Leine::N,jalutusrihm,kəmsik
482,Decke::N,tekk,ədyal
483,Decke::N,tekk,yorğan
484,Kissen::N,padi,yastıq
485,Tuch::N,kalev,şarf
486,Tuch::N,kalev,kaşne
487,Handtuch::N,käterätik,dəsmal
488,Kraft::N,jõud,güc
489,Stärke::N,tugevus,qüvvət
490,Gesundheit::N,tervis,sağlamlıq
491,Krankheit::N,haigus,xəstəlik
492,Schmerz::N,valu,ağrı
493,Schmerz::N,valu,sancı
494,Wunde::N,haav,yara
495,Fieber::N,palavik,isitmə
496,Fieber::N,palavik,qızdırma
497,Arznei::N,ravim,ilaç
498,Arznei::N,ravim,dərman
499,Brücke::N,sild,körpü
500,Brunnen::N,kaev,quyu
501,Weide::N,karjamaa,otlaq
502,Pfad::N,rada,cığır
503,Weg::N,tee,yol
504,Straße::N,tee,küçə
505,Dorf::N,küla,kənd
506,Stadt::N,linn,şəhər
507,Brief::N,kiri,məktub
508,Buch::N,raamat,kitab
509,Buchstabe::N,täht,hərf
510,Zeitung::N,ajaleht,qəzet
511,Leben::N,elu,həyat
512,Tod::N,surm,ölüm
513,Grab::N,haud,qəbir
514,Kirche::N,kirik,kilsə
515,Sünde::N,patt,günah
516,Gott::N,jumal,tanrı
517,Arbeiter::N,tööline,işçi
518,Chef::N,ülemus,şef
519,Chef::N,ülemus,rəis
520,Chef::N,juhataja,şef
521,Chef::N,juhataja,rəis
522,Meister::N,meister,usta
523,Arzt::N,arst,həkim
524,Arzt::N,arst,doktor
525,Lehrer::N,õpetaja,müəllim
526,Geld::N,raha,pul
527,Geschäft::N,äri,ticarət
528,Laden::N,pood,dükan
529,Laden::N,kauplus,dükan
530,Preis::N,hind,qiymət
531,Ware::N,kaup,mal
532,Nutzen::N,tulu,fayda
533,Nutzen::N,kasulikkus,fayda
534,Reichtum::N,rikkus,zənginlik
535,Welt::N,maailm,aləm
536,Welt::N,maailm,dünya
537,Land::N,maa,ölkə
538,Staat::N,riik,dövlət
539,König::N,kuningas,kral
540,König::N,kuningas,məlik
541,Macht::N,võim,qüdrət
542,Grenze::N,piir,hüdud
543,Grenze::N,piir,sərhət
544,Krieg::N,sõda,hərb
545,Krieg::N,sõda,müharibə
546,Feind::N,vaenlane,düşmən
547,Gewalt::N,väevõim,cəbr
548,Kampf::N,võitlus,savaş
549,Bogen[Waffe]::N,vibu,yay
550,Pfeil::N,nool,ox
551,Gewehr::N,püss,tüfəng
552,Fehler::N,viga,xəta
553,Lüge::N,vale,yalan
554,Schaden::N,kahju,ziyan
555,Unglück::N,häda,bəla
556,Unglück::N,õnnetus,bəla
557,Schuld::N,süü,təqsir
558,Alter::N,iga,yaş
559,Schluss::N,lõpp,son
560,Zeit::N,aeg,vaxt
561,Zeit::N,aeg,zaman
562,Tag::N,päev,gün
563,Morgen::N,hommik,sabah
564,Mittag::N,lõuna,günorta
565,Mittag::N,keskpäev,günorta
566,Abend::N,õhtu,axşam
567,Nacht::N,öö,gecə
568,Woche::N,nädal,həftə
569,Monat::N,kuu,ay
570,Jahr::N,aasta,il
571,Frühling::N,kevad,yaz
572,Frühling::N,kevad,bahar
573,Sommer::N,suvi,yay
574,Herbst::N,sügis,payız
575,Winter::N,talv,qış
576,Januar::N,jaanuar,Janvar
577,Februar::N,veebruar,Fevral
578,März::N,märts,Mart
579,April::N,aprill,Aprel
580,Mai::N,mai,May
581,Juni::N,juuni,İyun
582,Juli::N,juuli,İyul
583,August::N,august,Avqust
584,September::N,september,Sentyabr
585,Oktober::N,oktoober,Oktyabr
586,November::N,november,Noyabr
587,Dezember::N,detsember,Dekabr
588,Montag::N,esmaspäev,bazar ertəsi
589,Dienstag::N,teisipäev,çərşənbə axşamı
590,Mittwoch::N,kesknädal,çərşənbə
591,Donnerstag::N,neljapäev,cüme axşamı
592,Freitag::N,reede,cüme
593,Samstag::N,laupäev,şənbə
594,Sonntag::N,pühapäev,bazar
595,groß::A,suur,böyük
596,klein::A,väike,kiçik
597,klein::A,pisike,kiçik
598,lang::A,pikk,uzun
599,kurz::A,lühike,qısa
600,breit::A,lai,enli
601,breit::A,lai,geniş
602,schmal::A,kitsas,dar
603,dicht::A,tihe,sıx
604,dick[Gegenstand]::A,jäme,qalın
605,dünn::A,õhuke,nazik
606,dünn::A,peenike,nazik
607,fein::A,peen,incə
608,fein::A,õhuke,incə
609,fest::A,püsiv,bərk
610,fest::A,püsiv,möhkəm
611,fest::A,kindel,bərk
612,fest::A,kindel,möhkəm
613,flach::A,lame,düz
614,flach::A,tasane,düz
615,glatt::A,sile,hamar
616,hart::A,kõva,sərt
617,weich::A,pehme,yumşaq
618,rund::A,ümar,yuvarlaq
619,spitz::A,torkav,uclu
620,spitz::A,torkav,sivri
621,scharf::A,terav,kəskin
622,stumpf::A,nüri,küt
623,schwer::A,raske,ağır
624,schön::A,kena,gözəl
625,schön::A,kena,gəşəng
626,heiß::A,kuum,isti
627,heiß::A,palav,isti
628,warm::A,soe,ilıq
629,kalt::A,külm,soyuq
630,kühl::A,jahe,sərin
631,frisch::A,värske,təzə
632,feucht::A,niiske,nəm
633,nass::A,märg,yaş
634,trocken::A,kuiv,quru
635,voll::A,täis,dolu
636,leer::A,tühi,boş
637,offen::A,avatud,açıq
638,offen::A,lahtine,açıq
639,geschlossen::A,suletud,qapalı
640,sauber::A,puhas,təmiz
641,schmutzig::A,räpane,kirli
642,schmutzig::A,määrdunud,kirli
643,roh::A,toores,çiy
644,reif::A,küps,yetişmiş
645,lecker::A,hõrk,dadlı
646,lecker::A,hõrk,ləzzətli
647,lecker::A,maitsev,dadlı
648,lecker::A,maitsev,ləzzətli
649,süß::A,magus,şirin
650,bitter::A,mõru,acı
651,sauer::A,hapu,turş
652,hell::A,hele,aydın
653,dunkel::A,pime,qaranlıq
654,schwarz::A,must,qara
655,weiß::A,valge,ağ
656,rot::A,punane,qırmızı
657,gelb::A,kollane,sarı
658,blau::A,sinine,göy
659,blau::A,sinine,mavi
660,grün::A,roheline,yaşıl
661,grau::A,hall,boz
662,bunt::A,kirju,əlvan
663,bunt::A,kirju,rəngli
664,bunt::A,värviline,əlvan
665,bunt::A,värviline,rəngli
666,billig::A,odav,ucuz
667,teuer::A,kallis,bahalı
668,wertvoll::A,väärtuslik,qiymətli
669,blind::A,pime,kor
670,taub::A,kurt,kar
671,kräftig::A,jõuline,güclü
672,stark::A,tugev,qüvvətli
673,schwach::A,nõrk,zəif
674,schwach::A,nõrk,gücsüz
675,schwach::A,jõuetu,zəif
676,schwach::A,jõuetu,gücsüz
677,fett::A,rasvane,şişman
678,schlank::A,sale,zərif
679,hübsch::A,kena,göyçək
680,böse::A,tige,fəna
681,dumm::A,juhm,axmaq
682,dumm::A,rumal,axmaq
683,faul::A,laisk,tənbəl
684,fleißig::A,virk,çalışqan
685,fleißig::A,hoolas,çalışqan
686,geizig::A,ihne,xəsis
687,klug::A,tark,ağıllı
688,klug::A,arukas,ağıllı
689,klug::A,mõistlik,ağıllı
690,geschickt::A,osav,bacarıqlı
691,lieb::A,armas,əziz
692,lieb::A,armas,sevimli
693,lustig::A,lõbus,məzəli
694,lustig::A,lõbus,gülməli
695,sanft::A,õrn,mülayim
696,hungrig::A,näljane,ac
697,krank::A,haige,xəstə
698,nackt::A,alasti,çılpaq
699,traurig::A,kurb,qəmgin
700,traurig::A,kurb,kədərli
701,lebendig::A,elus,canlı
702,gut::A,hea,yaxşı
703,schlecht::A,halb,pis
704,richtig::A,õige,doğru
705,schlimm::A,paha,fəna
706,wahr::A,tõene,gərçək
707,alt::A,vana,əski
708,alt::A,vana,köhnə
709,neu::A,uus,yeni
710,ehemalig::A,endine,əvvəlki
711,alt[Lebewesen]::A,vana,qoca
712,jung::A,noor,gənc
713,arm::A,vaene,kasıb
714,arm::A,vaene,yoxsul
715,reich::A,rikas,zəngin
716,bekannt::A,teada,tanış
717,bekannt::A,tuttav,tanış
718,berühmt::A,tuntud,məşhur
719,fremd::A,võõras,yad
720,verschieden::A,erinev,dürlü
721,nah::A,lähedane,yaxın
722,fern::A,kauge,uzaq
723,linker::A,vasak,sol
724,rechter::A,parem,sağ
725,anderer::A,muu,başqa
726,anderer::A,teine,başqa
727,erster::A,esimene,birinci
728,zweiter::A,teine,ikinci
729,dritter::A,kolmas,üçüncü
730,letzter::A,viimane,sonuncu
731,letzter::A,viimane,axırıncı
732,allein::ADV,üksi,tək
733,allein::ADV,üksi,yalqız
734,auf einmal::ADV,korraga,birdən
735,auf einmal::ADV,ühekorraga,birdən
736,zusammen::ADV,koos,birlikdə
737,zusammen::ADV,üheskoos,birlikdə
738,lange::ADV,kaua,uzun
739,plötzlich::ADV,äkki,qəfildən
740,plötzlich::ADV,järsku,qəfildən
741,sofort::ADV,kohe,həmən
742,sofort::ADV,kohe,dərhal
743,später::ADV,hiljem,sonra
744,jetzt::ADV,nüüd,indi
745,heute::ADV,täna,bugün
746,morgen::ADV,homme,sabah
747,bald::ADV,pea,yaxında
748,bald::ADV,pea,tezliklə
749,bald::ADV,varsti,yaxında
750,bald::ADV,varsti,tezliklə
751,dann::ADV,siis,onda
752,gestern::ADV,eile,dünən
753,einst::ADV,vanasti,əvvəllər
754,damals::ADV,tookord,o vaxt
755,danach::ADV,seejärel,sonra
756,vorher::ADV,enne,qabaqcadan
757,zuerst::ADV,enne,əvvəl
758,zuerst::ADV,esmalt,əvvəl
759,einmal::ADV,kord,bir dəfə
760,einmal::ADV,üks kord,bir dəfə
761,manchmal::ADV,mõnikord,hərdənbir
762,oft::ADV,tihti,tez-tez
763,oft::ADV,tihti,çox vaxt
764,oft::ADV,sageli,tez-tez
765,oft::ADV,sageli,çox vaxt
766,immer::ADV,ikka,daimi
767,immer::ADV,ikka,həmişə
768,immer::ADV,alati,daimi
769,immer::ADV,alati,həmişə
770,niemals::ADV,mitte kunagi,əsla
771,niemals::ADV,mitte kunagi,heç bir zaman
772,hier::ADV,siin,bura
773,hier::ADV,siin,burada
774,hierhin::ADV,siia,buraya
775,von hier::ADV,siit,buradan
776,dort::ADV,seal,ora
777,dort::ADV,seal,orada
778,dorthin::ADV,sinna,oraya
779,geradeaus::ADV,otse edasi,düz
780,vorwärts::ADV,edasi,irəli
781,rückwärts::ADV,tagurpidi,geri
782,zurück::ADV,tagasi,geriyə
783,unten::ADV,all,aşağıda
784,unten::ADV,allpool,aşağıda
785,hinab::ADV,alla,aşağı
786,oben::ADV,ülal,yuxarıda
787,hinauf::ADV,üles,yuxarı
788,überall::ADV,kõikjal,hər yerdə
789,nicht::ADV,ei,-ma-
790,nicht::ADV,mitte,-ma-
791,ein wenig::ADV,veidi,bir az
792,ein wenig::ADV,natuke,bir az
793,kaum::ADV,vaevalt,güclə
794,sehr::ADV,väga,çox
795,so::ADV,nii,belə
796,noch::ADV,veel,hələ
797,nur::ADV,ainult,yalnız
798,schon::ADV,juba,artıq
799,wieder::ADV,jälle,yenə
800,vergebens::ADV,asjata,boş yerə
801,vor::PRP,ees,önündə
802,hinter::PRP,taha,arxasında
803,unter::PRP,all,altında
804,durch::PRP,läbi,içindən
805,durch::PRP,kaudu,içindən
806,neben::PRP,kõrval,yanında
807,zwischen::PRP,vahel,arasında
808,wegen::PRP,tõttu,üçün
809,wegen::PRP,tõttu,ötəri
810,wegen::PRP,pärast,üçün
811,wegen::PRP,pärast,ötəri
812,dies::PRN,see,bu
813,das::PRN,see,o
814,alles::PRN,kõik,hər şey
815,ich::PRN,mina,mən
816,du::PRN,sina,sən
