,Concept_ID,ml,lbe
203,Gold::N,സ്വർണ്ണം,муси
204,Silber::N,വെള്ളി,арцу
205,Kohle::N,കൽക്കരി,кӏалаш
206,Kohle::N,കൽക്കരി,хъуручӏ
207,Glas::N,ഗ്ലാസ്,пюрун
208,Lehm::N,കളിമണ്ണ്,сина аьрщи
209,Sand::N,മണൽ,къун
210,Mensch::N,മനുഷ്യർ,инсан
211,Mann::N,പുരുഷൻ,чув
212,Mann::N,പുരുഷൻ,адимина
213,Frau::N,സ്ത്രീ,щарсса
214,Frau::N,സ്ത്രീ,хъамитайпа
215,Kind::N,കുഞ്ഞ്,чӏиви оьрчӏ
216,Junge::N,ആൺകുട്ടി,оьрчӏ
217,Junge::N,ആൺകുട്ടി,бурхьин оьрчӏ
218,Mädchen::N,പെൺകുട്ടി,душ
219,Familie::N,കുടുംബം,кулпат
220,Großvater::N,അപ്പൂപ്പൻ,ттатта
221,Großvater::N,അപ്പൂപ്പൻ,ниттил ппу
222,Großmutter::N,അമ്മുമ്മ,буттал нину
223,Eltern::N,മാതാപിതാക്കള്,нину-ппу
224,Vater::N,അച്ഛൻ,ппу
225,Mutter::N,അമ്മ,нину
226,Sohn::N,മകൻ,арс
227,Tochter::N,മകൾ,душ
228,Bruder::N,ചേട്ടൻ,уссу
229,Bruder::N,അനിയൻ,уссу
230,Schwester::N,ചേച്ചി,ссу
231,Schwester::N,അനിയത്തി,ссу
232,Onkel::N,അമ്മാവൻ,буттауссу
233,Tante::N,മാമി,буттал ссу
234,Ehemann::N,ഭർത്താവ്,лас
235,Ehefrau::N,ഭാര്യ,щар
236,Ehefrau::N,ഭാര്യ,щарсса
237,Freude::N,ആഹ്ലാദം,шадшиву
238,Freude::N,ആഹ്ലാദം,ххаришиву
239,Gelächter::N,ചിരിയുടെ ശബ്ദം,хъяхъаву
240,Glück::N,സന്തോഷം,талихӏ
241,Glück::N,സന്തുഷ്ടി,талихӏ
242,Kummer::N,ശോകം,дард
243,Wunsch::N,ആഗ്രഹം,мурад
244,Lust::N,ആഗ്രഹം,гьавас
245,Lust::N,ആഗ്രഹം,ччаву
246,Geist::N,ചുറുചുറുക്ക്,рухӏ
247,Gedanke::N,ചിന്ത,пикри
