,Concept_ID,tr,hr
86,Staub::N,toz,prašina
87,Rauch::N,duman,dim
88,Funke::N,kıvılcım,iskra
89,Funke::N,kıvılcım,varnica
90,Feuer::N,ateş,vatra
91,Licht::N,ışık,svjetlo
92,Schatten::N,gölge,hlad
93,Schatten::N,gölge,sjena
94,Wetter::N,hava,vrijeme
95,Nebel::N,pus,magla
96,Wolke::N,bulut,oblak
97,Regen::N,yağmur,kiša
98,Schnee::N,kar,snijeg
99,Eis::N,buz,led
100,Frost::N,don,mraz
101,Kälte::N,soğukluk,studen
102,Kälte::N,soğukluk,hladnoća
103,Hitze::N,sıcaklık,vrućina
104,Raureif::N,kırç,inje
105,Regenbogen::N,gökkuşağı,duga
106,Donner::N,gök gürlemesi,grom
107,Donner::N,gök gürlemesi,grmljavina
108,Strömung::N,akıntı,struja
109,Strömung::N,akıntı,strujanje
110,Strömung::N,cereyan,struja
111,Strömung::N,cereyan,strujanje
112,Tropfen::N,damla,kap
113,Tropfen::N,damla,kaplja
114,Schaum::N,köpük,pjena
115,Schmutz::N,çamur,nečistoća
116,Schmutz::N,çamur,prljavština
117,Schmutz::N,pislik,nečistoća
118,Schmutz::N,pislik,prljavština
119,See::N,göl,jezero
120,Sumpf::N,batak,bara
121,Moor::N,cılgıt,močvara
122,Wiese::N,çimen,livada
123,Wald::N,koru,šuma
124,Wald::N,orman,šuma
125,Hügel::N,tepe,brijeg
126,Hügel::N,tepe,brežuljak
127,Anhöhe::N,tümsek,uzvišica
128,Anhöhe::N,yükseklik,uzvišica
129,Berg::N,dağ,brdo
130,Gipfel::N,zirve,vrh
131,Höhle::N,in,pećina
132,Höhle::N,in,spilja
133,Höhle::N,mağara,pećina
134,Höhle::N,mağara,spilja
135,Abhang::N,bayır,obronak
136,Abhang::N,bayır,nizbrdica
137,Quelle::N,pınar,izvor
138,Quelle::N,pınar,vrelo
139,Quelle::N,kaynak,izvor
140,Quelle::N,kaynak,vrelo
141,Bach::N,çay,potok
142,Bach::N,dere,potok
143,Fluss::N,nehir,rijeka
144,Ufer::N,kıyı,obala
145,Ufer::N,sahil,obala
146,Küste::N,kıyı,obala
147,Küste::N,kıyı,morska obala
148,Küste::N,sahil,obala
149,Küste::N,sahil,morska obala
150,Festland::N,kara,kopno
151,Meer::N,deniz,more
152,Bucht::N,koy,zaliv
153,Bucht::N,körfez,zaliv
154,Insel::N,ada,ada
155,Insel::N,ada,otok
156,Blume::N,çiçek,cvijet
157,Gras::N,ot,trava
158,Gras::N,çim,trava
159,Wurzel::N,kök,korijen
160,Baum::N,ağaç,drvo
161,Baum::N,ağaç,stablo
162,Stamm::N,gövde,deblo
163,Stamm::N,gövde,stablo
164,Rinde::N,kabuk,kora
165,Ast::N,dal,grana
166,Ast::N,budak,grana
167,Zweig::N,dal,grana
168,Blatt::N,yaprak,list
169,Birke::N,huş,breza
170,Kiefer[Baum]::N,çam,bor
171,Weide[Baum]::N,söğüt,iva
172,Weide[Baum]::N,söğüt,vŕba
173,Tanne::N,çam,jela
174,Tanne::N,köknar,jela
175,Horn::N,boynuz,rog
176,Feder::N,tüy,pero
177,Fell::N,post,koža
178,Flügel::N,kanat,krilo
179,Klaue::N,pençe,papak
180,Kralle::N,tırnak,pandža
181,Schwanz::N,kuyruk,rep
182,Ei::N,yumurta,jaje
183,Nest::N,yuva,gnijezdo
184,Bau::N,in,jazbina
185,Tier::N,hayvan,životinja
186,Herde::N,sürü,krdo
187,Herde::N,sürü,stado
188,Kuh::N,inek,krava
189,Bulle::N,boğa,bik
190,Pferd::N,at,konj
191,Pferd::N,beygir,konj
192,Schaf::N,koyun,ovca
193,Schwein::N,domuz,svinja
194,Hund::N,it,pas
195,Hund::N,it,pseto
196,Hund::N,köpek,pas
197,Hund::N,köpek,pseto
198,Katze::N,kedi,mačka
199,Bär::N,ayı,medvjed
200,Eichhörnchen::N,sincap,vjeverica
201,Elch::N,büyük kuzey geyiği,los
202,Fuchs::N,tilki,lisica
203,Hase::N,tavşan,zec
204,Maus::N,fare,miš
205,Maus::N,sıçan,miš
206,Wolf::N,kurt,vuk
207,Wolf::N,kurt,kurjak
208,Vogel::N,kuş,ptica
209,Schwarm::N,sürü,roj
210,Schwarm::N,sürü,jato
211,Huhn::N,tavuk,kokoš
212,Hahn::N,horoz,kokot
213,Hahn::N,horoz,pijevac
214,Gans::N,kaz,guska
215,Adler::N,kartal,orao
216,Adler::N,karakuş,orao
217,Ente::N,ördek,patka
218,Eule::N,baykuş,sova
219,Kranich::N,turna,ždral
220,Krähe::N,karga,vrana
221,Kuckuck::N,guguk,kukavica
222,Schwan::N,kuğu,labud
223,Fisch::N,balık,riba
224,Barsch::N,hani,grgeč
225,Barsch::N,levrek,grgeč
226,Hecht::N,turnabalığı,štuka
227,Schlange[Tier]::N,yılan,guja
228,Schlange[Tier]::N,yılan,zmija
229,Wurm::N,kurt,crv
230,Wurm::N,solucan,crv
231,Spinne::N,örümcek,pauk
232,Ameise::N,karınca,mrav
233,Laus::N,bit,uš
234,Mücke::N,sivrisinek,komarac
235,Fliege::N,sinek,muha
236,Schmetterling::N,kelebek,leptir
237,Beere::N,tane,boba
238,Beere::N,tane,bobica
239,Apfel::N,elma,jabuka
240,Pilz::N,mantar,pečurka
241,Zwiebel::N,soğan,luk
242,Zwiebel::N,soğan,kapula
243,Saat::N,ekin,sjemenje
244,Korn::N,tane,zrno
245,Heu::N,kuru ot,sijeno
246,Schale::N,kabuk,kora
247,Schale::N,kabuk,ljuska
248,Grube::N,çukur,jama
249,Falle::N,tuzak,zamka
250,Falle::N,tuzak,klopka
251,Schlinge::N,ilmik,uzao
252,Schlinge::N,ilmik,petlja
253,Spur::N,iz,trag
254,Spur::N,iz,slijed
255,Asche::N,kül,pepeo
256,Dreck::N,pislik,blato
257,Eisen::N,demir,željezo
258,Gold::N,altın,zlato
259,Silber::N,gümüş,srebro
260,Kohle::N,kömür,ugalj
261,Kohle::N,kömür,ugljen
262,Glas::N,cam,staklo
263,Lehm::N,balçık,glina
264,Lehm::N,balçık,ilovača
265,Sand::N,kum,pijesak
266,Mensch::N,insan,čovjek
267,Mann::N,adam,muškarac
268,Mann::N,erkek,muškarac
269,Frau::N,bayan,žena
270,Kind::N,çocuk,čedo
271,Kind::N,çocuk,dijete
272,Junge::N,erkek çocuk,momče
273,Junge::N,erkek çocuk,dječak
274,Mädchen::N,kız,djevojka
275,Mädchen::N,kız,djevojčica
276,Familie::N,aile,obitelj
277,Familie::N,aile,porodica
278,Großvater::N,dede,djed
279,Großvater::N,büyükbaba,djed
280,Großmutter::N,nine,baka
281,Großmutter::N,büyükanne,baka
282,Eltern::N,ebeveyn,roditelji
283,Eltern::N,ana baba,roditelji
284,Vater::N,ata,otac
285,Vater::N,baba,otac
286,Mutter::N,ana,majka
287,Mutter::N,anne,majka
288,Sohn::N,oğul,sin
289,Tochter::N,kız,kći
290,Tochter::N,kız,kćerka
291,Tochter::N,kız evlât,kći
292,Tochter::N,kız evlât,kćerka
293,Bruder::N,abi,brat
294,Bruder::N,erkek kardeş,brat
295,Schwester::N,abla,sestra
296,Schwester::N,kız kardeş,sestra
297,Onkel::N,dayı,čika
298,Onkel::N,dayı,ujak
299,Tante::N,hala,ujna
300,Tante::N,hala,tetka
301,Tante::N,teyze,ujna
302,Tante::N,teyze,tetka
303,Ehemann::N,koca,muž
304,Ehemann::N,koca,suprug
305,Ehefrau::N,karı,žena
306,Ehefrau::N,karı,supruga
307,Freude::N,neşe,radost
308,Freude::N,sevinç,radost
309,Gelächter::N,gülme,grohot
310,Gelächter::N,kahkaha,grohot
311,Glück::N,mutluluk,sreća
312,Kummer::N,dert,jad
313,Kummer::N,dert,briga
314,Kummer::N,keder,jad
315,Kummer::N,keder,briga
316,Wunsch::N,arzu,želja
317,Wunsch::N,istek,želja
318,Lust::N,arzu,volja
319,Lust::N,heves,volja
320,Geist::N,tin,duh
321,Gedanke::N,fikir,misao
322,Gedanke::N,düşünce,misao
323,Gedächtnis::N,bellek,pamćenje
324,Verstand::N,zekâ,um
325,Verstand::N,zekâ,razum
326,Sinn::N,anlam,smisao
327,Sinn::N,anlam,značenje
328,Grund::N,sebep,razlog
329,Wahrheit::N,doğruluk,istina
330,Wahrheit::N,gerçeklik,istina
331,Gespräch::N,görüşme,razgovor
332,Märchen::N,masal,bajka
333,Erzählung::N,öykü,priča
334,Erzählung::N,öykü,pripovijest
335,Erzählung::N,hikâye,priča
336,Erzählung::N,hikâye,pripovijest
337,Nachricht::N,haber,vijest
338,Neuigkeit::N,haber,novost
339,Name::N,ad,ime
340,Name::N,isim,ime
341,Rätsel::N,bilmece,zagonetka
342,Rede::N,söylev,govor
343,Rede::N,söylev,besjeda
344,Rede::N,konuşma,govor
345,Rede::N,konuşma,besjeda
346,Sprache::N,dil,jezik
347,Sprache::N,lisan,jezik
348,Stimme::N,ses,glas
349,Wort::N,kelime,riječ
350,Zeichen::N,işaret,znak
351,Ruf::N,çağırma,povik
352,Ruf::N,çağırma,poklik
353,Lärm::N,şamata,buka
354,Lärm::N,şamata,galama
355,Lärm::N,gürültü,buka
356,Lärm::N,gürültü,galama
357,Laut::N,ses,zvuk
358,Ton::N,ses,ton
359,Lied::N,türkü,pjesma
360,Ruhe::N,sakinlik,tišina
361,Ruhe::N,sakinlik,počinak
362,Leute::N,halk,ljudi
363,Leute::N,insanlar,ljudi
364,Volk::N,ulus,puk
365,Volk::N,ulus,narod
366,Volk::N,millet,puk
367,Volk::N,millet,narod
368,Arbeit::N,iş,rad
369,Arbeit::N,iş,posao
370,Arbeit::N,çalışma,rad
371,Arbeit::N,çalışma,posao
372,Gast::N,konuk,gost
373,Gast::N,misafir,gost
374,Geschenk::N,hediye,dar
375,Geschenk::N,hediye,poklon
376,Geschenk::N,armağan,dar
377,Geschenk::N,armağan,poklon
378,Spiel::N,oyun,igra
379,Gesellschaft::N,çevre,društvo
380,Gesellschaft::N,çevre,kompanija
381,Gesellschaft::N,arkadaşlık,društvo
382,Gesellschaft::N,arkadaşlık,kompanija
383,Hilfe::N,yardım,pomoć
384,Freund::N,dost,prijatelj
385,Freund::N,arkadaş,prijatelj
386,Kamerad::N,arkadaş,drug
387,Kamerad::N,arkadaş,drugar
388,Angelegenheit::N,iş,posao
389,Angelegenheit::N,husus,posao
390,Anzahl::N,sayı,broj
391,Anzahl::N,sayı,brojnost
392,Art::N,çeşit,vid
393,Art::N,çeşit,vrst
394,Stück::N,tane,komad
395,Stück::N,parça,komad
396,Teil::N,kısım,dio
397,Hälfte::N,yarı,polovina
398,Kreis::N,daire,krug
399,Kreuz::N,haç,križ
400,Linie::N,hat,crta
401,Linie::N,çizgi,crta
402,Strich::N,çizgi,crta
403,Abstand::N,aralık,razmak
404,Abstand::N,aralık,odstojanje
405,Entfernung::N,mesafe,udaljenost
406,Entfernung::N,uzaklık,udaljenost
407,Gegend::N,yöre,kraj
408,Gegend::N,yöre,predeo
409,Platz::N,yer,mjesto
410,Ort::N,yer,mjesto
411,Seite::N,yan,bok
412,Seite::N,yan,strana
413,Seite::N,taraf,bok
414,Seite::N,taraf,strana
415,Mitte::N,orta,sredina
416,Mitte::N,merkez,sredina
417,Gegenstand::N,şey,predmet
418,Sache::N,iş,posao
419,Sache::N,şey,posao
420,Rand::N,kenar,rub
421,Rand::N,kenar,kraj
422,Kante::N,kenar,brid
423,Kante::N,kenar,ivica
424,Ecke::N,köşe,ugao
425,Spitze::N,uç,vrh
426,Spitze::N,uç,šiljak
427,Spitze::N,baş,vrh
428,Spitze::N,baş,šiljak
429,Ende::N,uç,konac
430,Loch::N,oyuk,rupa
431,Loch::N,delik,rupa
432,Winkel::N,köşe,kut
433,Winkel::N,köşe,ugao
434,Muster::N,örnek,uzor
435,Größe::N,büyüklük,veličina
436,Länge::N,uzunluk,duljina
437,Höhe::N,yükseklik,visina
438,Gewicht::N,ağırlık,težina
439,Menge::N,miktar,mnoštvo
440,Menge::N,miktar,količina
441,Haufen::N,küme,hrpa
442,Haufen::N,küme,gomila
443,Haufen::N,yığın,hrpa
444,Haufen::N,yığın,gomila
445,Reihe::N,sıra,red
446,Boot::N,kayık,čun
447,Boot::N,kayık,čamac
448,Boot::N,sandal,čun
449,Boot::N,sandal,čamac
450,Ruder::N,kürek,veslo
451,Schlitten::N,kızak,saone
452,Ski::N,kayak,ski
453,Ski::N,kayak,smučka
454,Lagerfeuer::N,kamp ateşi,logorska vatra
455,Last::N,yük,tovar
456,Gang::N,gidiş,hod
457,Gang::N,yürüyüş,hod
458,Schritt::N,adım,korak
459,Norden::N,kuzey,sjever
460,Süden::N,güney,jug
461,Westen::N,batı,zapad
462,Osten::N,doğu,istok
463,Holz::N,ağaç,drvo
464,Holz::N,tahta,drvo
465,Brett::N,tahta,daska
466,Platte::N,levha,ploča
467,Stütze::N,dayak,potpora
468,Stütze::N,destek,potpora
469,Stange::N,çubuk,motka
470,Stock::N,sopa,štap
471,Stock::N,sopa,palica
472,Stock::N,değnek,štap
473,Stock::N,değnek,palica
474,Stab::N,sırık,štap
475,Stab::N,sırık,šipka
476,Stab::N,baston,štap
477,Stab::N,baston,šipka
478,Rohr::N,boru,cijev
479,Haus::N,ev,kuća
480,Heim::N,ev,dom
481,Heim::N,yurt,dom
482,Ofen::N,soba,peć
483,Fußboden::N,taban,pod
484,Fußboden::N,döşeme,pod
485,Tisch::N,masa,stol
486,Tisch::N,masa,trpeza
487,Stuhl::N,iskemle,stolac
488,Stuhl::N,iskemle,stolica
489,Stuhl::N,sandalye,stolac
490,Stuhl::N,sandalye,stolica
491,Wiege::N,beşik,kolijevka
492,Bett::N,yatak,krevet
493,Bett::N,yatak,postelja
494,Regal::N,raf,polica
495,Kiste::N,sandık,sanduk
496,Fenster::N,pencere,prozor
497,Tür::N,kapı,vrata
498,Tor::N,kapı,vrata
499,Tor::N,kapı,kapija
500,Zaun::N,çit,plot
501,Zaun::N,çit,ograda
502,Dach::N,dam,krov
503,Dach::N,çatı,krov
504,Leiter::N,merdiven,ljestve
505,Leiter::N,merdiven,ljestvice
506,Besen::N,süpürge,metla
507,Spaten::N,bel,ašov
508,Schaufel::N,kürek,lopata
509,Gabel::N,çatal,viljuška
510,Löffel::N,kaşık,žlica
511,Messer::N,bıçak,nož
512,Nagel::N,çivi,čavao
513,Netz::N,ağ,mreža
514,Haken::N,çengel,kuka
515,Griff::N,kulp,držak
516,Griff::N,kulp,ručica
517,Griff::N,tutamak,držak
518,Griff::N,tutamak,ručica
519,Schloss::N,kilit,brava
520,Bild::N,imaj,slika
521,Bild::N,resim,slika
522,Figur::N,şekil,figura
523,Figur::N,heykel,figura
524,Puppe::N,kukla,lutka
525,Beutel::N,kese,kesa
526,Beutel::N,torba,kesa
527,Bündel::N,deste,snop
528,Bündel::N,deste,svežanj
529,Tasche::N,çanta,torba
530,Tasche::N,çanta,taška
531,Eimer::N,kova,kabao
532,Deckel::N,kapak,poklopac
533,Geschirr::N,kap kacak,suđe
534,Geschirr::N,kap kacak,posuđe
535,Sack::N,torba,džak
536,Sack::N,torba,vreća
537,Tasse::N,fincan,šalica
538,Topf::N,tencere,lonac
539,Kessel::N,kazan,kazan
540,Essen::N,yemek,obrok
541,Nahrung::N,gıda,hrana
542,Nahrung::N,besin,hrana
543,Speise::N,yemek,jelo
544,Fleisch::N,et,meso
545,Getreide::N,tahıl,žito
546,Getreide::N,tahıl,žitarice
547,Getreide::N,hububat,žito
548,Getreide::N,hububat,žitarice
549,Brei::N,ezme,kaša
550,Brot::N,ekmek,kruh
551,Scheibe::N,dilim,kriška
552,Fett::N,yağ,mast
553,Fett::N,yağ,salo
554,Butter::N,tereyağı,buter
555,Butter::N,tereyağı,maslac
556,Öl::N,yağ,ulje
557,Öl::N,akar yağ,ulje
558,Salz::N,tuz,sol
559,Suppe::N,çorba,supa
560,Honig::N,bal,med
561,Milch::N,süt,mlijeko
562,Tee::N,çay,čaj
563,Leder::N,deri,koža
564,Leder::N,meşin,koža
565,Wolle::N,yün,vuna
566,Stoff::N,kumaş,štof
567,Stoff::N,kumaş,tkanina
568,Nadel::N,iğne,igla
569,Faden::N,tire,nit
570,Faden::N,tire,konac
571,Faden::N,iplik,nit
572,Faden::N,iplik,konac
573,Knopf::N,düğme,dugme
574,Knoten::N,düğüm,čvor
575,Knoten::N,düğüm,uzao
576,Farbe::N,boya,farba
577,Kleidung::N,giyim,odjeća
578,Hemd::N,gömlek,košulja
579,Kragen::N,yaka,ovratnik
580,Ärmel::N,yen,rukav
581,Ärmel::N,elbise kolu,rukav
582,Hose::N,pantolon,hlače
583,Gürtel::N,kuşak,pas
584,Gürtel::N,kuşak,pojas
585,Mütze::N,bere,kapa
586,Mütze::N,kasket,kapa
587,Schuh::N,kundura,cipela
588,Schuh::N,ayakkabı,cipela
589,Stiefel::N,çizme,čizma
590,Ring::N,yüzük,prsten
591,Band::N,bağ,vrpca
592,Band::N,şerit,vrpca
593,Kamm::N,tarak,češalj
594,Spiegel::N,ayna,zrcalo
595,Spiegel::N,ayna,ogledalo
596,Riemen::N,kayış,kaiš
597,Riemen::N,kayış,remen
598,Schnur::N,ip,vrpca
599,Schnur::N,sicim,vrpca
600,Leine::N,kayış,uzica
601,Decke::N,örtü,ćebe
602,Decke::N,örtü,pokrivač
603,Decke::N,yorgan,ćebe
604,Decke::N,yorgan,pokrivač
605,Kissen::N,yastık,jastuk
606,Tuch::N,bez,rubac
607,Tuch::N,bez,marama
608,Handtuch::N,havlu,ručnik
609,Kraft::N,güç,snaga
610,Kraft::N,kuvvet,snaga
611,Stärke::N,kuvvet,jakost
612,Gesundheit::N,sağlık,zdravlje
613,Krankheit::N,hastalık,bolest
614,Schmerz::N,ağrı,bol
615,Schmerz::N,sancı,bol
616,Wunde::N,yara,rana
617,Fieber::N,ateş,groznica
618,Arznei::N,ilâç,lijek
619,Brücke::N,köprü,most
620,Brücke::N,köprü,ćuprija
621,Brunnen::N,kuyu,bunar
622,Brunnen::N,kuyu,zdenac
623,Brunnen::N,çeşme,bunar
624,Brunnen::N,çeşme,zdenac
625,Weide::N,otlak,paša
626,Weide::N,otlak,pašnjak
627,Pfad::N,patika,staza
628,Pfad::N,keçiyolu,staza
629,Weg::N,yol,put
630,Straße::N,yol,drum
631,Straße::N,yol,cesta
632,Straße::N,cadde,drum
633,Straße::N,cadde,cesta
634,Dorf::N,köy,selo
635,Stadt::N,kent,grad
636,Stadt::N,kent,varoš
637,Stadt::N,şehir,grad
638,Stadt::N,şehir,varoš
639,Brief::N,mektup,list
640,Brief::N,mektup,pismo
641,Buch::N,kitap,knjiga
642,Buchstabe::N,harf,slovo
643,Zeitung::N,gazete,novine
644,Leben::N,hayat,život
645,Tod::N,ölüm,smrt
646,Grab::N,kabir,raka
647,Kirche::N,kilise,crkva
648,Sünde::N,günah,grijeh
649,Gott::N,tanrı,bog
650,Arbeiter::N,işçi,radnik
651,Chef::N,şef,šef
652,Chef::N,müdür,šef
653,Meister::N,usta,majstor
654,Arzt::N,hekim,liječnik
655,Arzt::N,doktor,liječnik
656,Lehrer::N,hoca,učitelj
657,Lehrer::N,öğretmen,učitelj
658,Geld::N,para,novac
659,Geschäft::N,ticaret,posao
660,Geschäft::N,ticaret,trgovina
661,Laden::N,dükkân,dućan
662,Preis::N,fiyat,cijena
663,Ware::N,mal,roba
664,Nutzen::N,fayda,korist
665,Reichtum::N,servet,bogatstvo
666,Reichtum::N,zenginlik,bogatstvo
667,Welt::N,dünya,svijet
668,Land::N,ülke,zemlja
669,Staat::N,devlet,država
670,König::N,kral,kralj
671,Macht::N,kudret,moć
672,Macht::N,kudret,vlast
673,Macht::N,iktidar,moć
674,Macht::N,iktidar,vlast
675,Grenze::N,had,granica
676,Grenze::N,sınır,granica
677,Krieg::N,savaş,rat
678,Feind::N,düşman,neprijatelj
679,Gewalt::N,zor,sila
680,Gewalt::N,zor,nasilje
681,Gewalt::N,cebir,sila
682,Gewalt::N,cebir,nasilje
683,Kampf::N,savaş,boj
684,Kampf::N,savaş,borba
685,Bogen[Waffe]::N,yay,luk
686,Pfeil::N,ok,strijela
687,Gewehr::N,tüfek,puška
688,Fehler::N,hata,pogreška
689,Fehler::N,hata,griješka
690,Fehler::N,yanlış,pogreška
691,Fehler::N,yanlış,griješka
692,Lüge::N,yalan,laž
693,Schaden::N,zarar,šteta
694,Unglück::N,felâket,nesreća
695,Unglück::N,talihsizlik,nesreća
696,Schuld::N,suç,krivnja
697,Schuld::N,kabahat,krivnja
698,Alter::N,yaş,dob
699,Schluss::N,son,kraj
700,Schluss::N,son,konac
701,Zeit::N,zaman,doba
702,Zeit::N,zaman,vrijeme
703,Tag::N,gün,dan
704,Morgen::N,sabah,jutro
705,Mittag::N,öğle,podne
706,Abend::N,akşam,veče
707,Abend::N,akşam,večer
708,Nacht::N,gece,noć
709,Woche::N,hafta,sedmica
710,Monat::N,ay,mjesec
711,Jahr::N,yıl,godina
712,Jahr::N,sene,godina
713,Frühling::N,ilkbahar,proljeće
714,Sommer::N,yaz,ljeto
715,Herbst::N,güz,jesen
716,Herbst::N,sonbahar,jesen
717,Winter::N,kış,zima
718,Januar::N,ocak,januar
719,Januar::N,ocak,siječanj
720,Februar::N,şubat,veljača
721,Februar::N,şubat,februar
722,März::N,mart,mart
723,März::N,mart,ožujak
724,April::N,nisan,april
725,April::N,nisan,travanj
726,Mai::N,mayıs,maj
727,Mai::N,mayıs,svibanj
728,Juni::N,haziran,juni
729,Juni::N,haziran,lipanj
730,Juli::N,temmuz,juli
731,Juli::N,temmuz,srpanj
732,August::N,ağustos,august
733,August::N,ağustos,kolovoz
734,September::N,eylül,rujan
735,September::N,eylül,septembar
736,Oktober::N,ekim,oktobar
737,Oktober::N,ekim,listopad
738,November::N,kasım,studeni
739,November::N,kasım,novembar
740,Dezember::N,aralık,prosinac
741,Montag::N,pazartesi,ponedjeljak
742,Montag::N,pazartesi,ponedjeljnik
743,Dienstag::N,salı,utorak
744,Dienstag::N,salı,utornik
745,Mittwoch::N,çarşamba,srijeda
746,Donnerstag::N,perşembe,četvrtak
747,Freitag::N,cuma,petak
748,Samstag::N,cumartesi,subota
749,Sonntag::N,pazar,nedjelja
750,groß::A,büyük,velik
751,klein::A,ufak,mali
752,klein::A,ufak,malen
753,klein::A,küçük,mali
754,klein::A,küçük,malen
755,lang::A,uzun,dug
756,lang::A,uzun,dugačak
757,kurz::A,kısa,kratak
758,breit::A,enli,širok
759,breit::A,geniş,širok
760,schmal::A,dar,uski
761,schmal::A,dar,uzak
762,dicht::A,sık,gust
763,dicht::A,yoğun,gust
764,dick[Gegenstand]::A,kalın,debeo
765,dick[Gegenstand]::A,iri,debeo
766,dünn::A,ince,tanak
767,fein::A,ince,fin
768,fein::A,ince,tanak
769,fein::A,narin,fin
770,fein::A,narin,tanak
771,fest::A,sabit,čvrst
772,fest::A,sağlam,čvrst
773,flach::A,düz,ravan
774,flach::A,düz,plosnat
775,flach::A,yassı,ravan
776,flach::A,yassı,plosnat
777,glatt::A,düz,gladak
778,hart::A,katı,tvrd
779,weich::A,yumuşak,mek
780,weich::A,yumuşak,mekan
781,rund::A,yuvarlak,okrugao
782,spitz::A,sivri,oštar
783,spitz::A,sivri,šiljast
784,scharf::A,keskin,oštar
785,scharf::A,keskin,bridak
786,stumpf::A,kör,tup
787,schwer::A,ağır,težak
788,schön::A,güzel,krasan
789,heiß::A,kızgın,vruć
790,warm::A,sıcak,topao
791,kalt::A,soğuk,hladan
792,kühl::A,serin,hladan
793,frisch::A,taze,svjež
794,feucht::A,nemli,vlažan
795,feucht::A,rutubetli,vlažan
796,nass::A,yaş,mokar
797,nass::A,ıslak,mokar
798,trocken::A,kuru,suh
799,voll::A,dolu,pun
800,voll::A,dolmuş,pun
801,leer::A,boş,prazan
802,offen::A,açık,otvoren
803,geschlossen::A,kapalı,zatvoren
804,sauber::A,pak,čist
805,sauber::A,temiz,čist
806,schmutzig::A,pis,nečist
807,schmutzig::A,pis,blatan
808,schmutzig::A,kirli,nečist
809,schmutzig::A,kirli,blatan
810,roh::A,çiğ,sirov
811,reif::A,olgun,zreo
812,lecker::A,lezzetli,tečan
813,lecker::A,lezzetli,ukusan
814,süß::A,tatlı,sladak
815,süß::A,şekerli,sladak
816,bitter::A,acı,gorak
817,sauer::A,ekşi,kiseo
818,hell::A,aydınlık,vedar
819,hell::A,aydınlık,svijetao
820,dunkel::A,karanlık,taman
821,schwarz::A,kara,crn
822,schwarz::A,siyah,crn
823,weiß::A,ak,bio
824,weiß::A,ak,bijel
825,weiß::A,beyaz,bio
826,weiß::A,beyaz,bijel
827,rot::A,kırmızı,crven
828,gelb::A,sarı,žut
829,blau::A,mavi,plav
830,blau::A,mavi,modar
831,grün::A,yeşil,zelen
832,grau::A,boz,siv
833,bunt::A,renkli,šaren
834,billig::A,ucuz,jeftin
835,teuer::A,pahalı,skup
836,wertvoll::A,değerli,vrijedan
