,Concept_ID,tt,mrj
242,Tochter::N,кыз,ӹдӹр
243,Bruder::N,кардәш,ӹза
244,Schwester::N,апа,ӓкӓ
245,Schwester::N,сеңел,ӓкӓ
246,Onkel::N,дәдә,кугуза
247,Onkel::N,дәдәй,кугуза
248,Tante::N,түти,куака
249,Tante::N,тәтәй,куака
250,Ehemann::N,ир,мары
251,Ehefrau::N,хатын,вӓтӹ
252,Freude::N,сөенеч,ӹвӹртӹмӓш
253,Gelächter::N,көлү,ваштылмаш
254,Gelächter::N,көлеш,ваштылмаш
255,Glück::N,бәхет,пиӓл
256,Kummer::N,хәсрәт,ясы
257,Wunsch::N,теләк,охата
258,Wunsch::N,теләк,шанымаш
259,Lust::N,теләк,шӓр
260,Lust::N,теләк,охата
261,Lust::N,теләк,шанымаш
262,Lust::N,теләү,шӓр
263,Lust::N,теләү,охата
264,Lust::N,теләү,шанымаш
265,Geist::N,рух,тух
266,Gedanke::N,уй,шанымаш
267,Gedanke::N,фикер,шанымаш
268,Gedächtnis::N,хәтер,ӓш
269,Verstand::N,акыл,ыш
270,Sinn::N,мәгънә,кын
271,Grund::N,сәбәп,вир
272,Wahrheit::N,хак,тöр
273,Gespräch::N,әңгәмә,хытырымаш
274,Märchen::N,әкият,ямак
275,Erzählung::N,хикәя,шайыштмаш
276,Nachricht::N,хәбәр,увертӓрӹмӓш
277,Neuigkeit::N,яңалык,увер
278,Name::N,исем,лӹм
279,Rätsel::N,табышмак,тышты
280,Rede::N,нотык,шая
281,Rede::N,нотык,шамак
282,Sprache::N,тел,йӹлмӹ
283,Stimme::N,тавыш,юк
284,Wort::N,сүз,шамак
285,Zeichen::N,ишарә,палӹ
286,Ruf::N,дәшү,сӹгӹрӹмӓш
287,Lärm::N,шау,юкланымащ
288,Laut::N,аваз,юк
289,Ton::N,шалтырату,юк
290,Lied::N,җыр,мыры
291,Ruhe::N,тынлык,тыр
292,Leute::N,халык,эдемвлӓ
293,Volk::N,халык,халык
294,Arbeit::N,эш,пӓшӓ
295,Arbeit::N,хезмәт,пӓшӓ
296,Gast::N,кунак,хына
297,Geschenk::N,бүләк,подарка
298,Spiel::N,уен,мадыш
299,Gesellschaft::N,җәмгыять,йӓл
300,Gesellschaft::N,җәмгыять,йӓлвлӓ
301,Hilfe::N,ярдәм,палшык
302,Hilfe::N,булышлык,палшык
303,Freund::N,дус,тӓнг
304,Kamerad::N,иптәш,тос
305,Angelegenheit::N,эш,дела
306,Angelegenheit::N,эш,йела
307,Angelegenheit::N,эш,йыла
308,Angelegenheit::N,эш,пӓшӓ
309,Anzahl::N,микъдар,шот
310,Art::N,төр,цӹре
311,Stück::N,кисәк,лаштык
312,Teil::N,өлеш,пай
313,Teil::N,өлеш,часть
314,Hälfte::N,ярым,пел
315,Kreis::N,түгәрәк,тӹртӹш
316,Kreuz::N,хач,крестӹ
317,Kreuz::N,тәре,крестӹ
318,Linie::N,сызык,
319,Strich::N,сызык,
320,Abstand::N,ара,ло
321,Entfernung::N,ераклык,ло
322,Gegend::N,урын,вӓр
323,Platz::N,бушлык,вӓр
324,Ort::N,урын,вӓр
325,Seite::N,як,öрдӹж
326,Mitte::N,урта,ло
327,Gegenstand::N,нәрсә,хӓдӹр
328,Sache::N,нәрсә,хӓдӹр
329,Rand::N,чит,шöр
330,Kante::N,кырый,шöр
331,Ecke::N,почмак,лык
332,Spitze::N,оч,вуй
333,Ende::N,азак,вуй
334,Ende::N,азак,мычаш
335,Loch::N,тишек,ыраж
336,Winkel::N,почмак,лык
337,Muster::N,парча,тӹрлец
338,Größe::N,зурлык,кӱкшӹц
339,Länge::N,озынлык,кыт
