,Concept_ID,no,ga
102,Frost::N,frost,sioc
103,Kälte::N,kulde,fuacht
104,Hitze::N,hete,teas
105,Hitze::N,hete,teocht
106,Raureif::N,rimfrost,sioc bán
107,Regenbogen::N,regnbue,stua ceatha
108,Regenbogen::N,regnbue,bogha báistí
109,Donner::N,torden,toirneach
110,Strömung::N,strømning,sruth
111,Tropfen::N,dråpe,deoir
112,Schaum::N,skum,cúr
113,Schmutz::N,søl,salachar
114,Schmutz::N,skitt,salachar
115,See::N,sjø,loch
116,Sumpf::N,sump,portach
117,Sumpf::N,myrlende,portach
118,Moor::N,myr,caorán
119,Moor::N,myr,móinteán
120,Moor::N,myrhei,caorán
121,Moor::N,myrhei,móinteán
122,Wiese::N,eng,cluain
123,Wiese::N,eng,móinéar
124,Wald::N,skog,coill
125,Wald::N,skog,foraois
126,Hügel::N,haug,ard
127,Hügel::N,bakke,ard
128,Anhöhe::N,haug,ard
129,Anhöhe::N,haug,ardán
130,Anhöhe::N,bakke,ard
131,Anhöhe::N,bakke,ardán
132,Berg::N,berg,sliabh
133,Berg::N,fjell,sliabh
134,Gipfel::N,topp,barr
135,Gipfel::N,topp,mullach
136,Höhle::N,hule,uaimh
137,Höhle::N,hule,pluais
138,Abhang::N,li,fána
139,Abhang::N,skråning,fána
140,Quelle::N,kilde,foinse
141,Bach::N,bekk,sruthán
142,Fluss::N,elv,abhainn
143,Ufer::N,bredd,bruach
144,Küste::N,kyst,cósta
145,Küste::N,kyst,cladach
146,Festland::N,fastland,míntír
147,Meer::N,hav,muir
148,Meer::N,hav,farraige
149,Bucht::N,bukt,bá
150,Bucht::N,bukt,cuan
151,Insel::N,øy,inis
152,Insel::N,øy,oileán
153,Blume::N,blomst,bláth
154,Gras::N,gress,féar
155,Wurzel::N,rot,rúta
156,Wurzel::N,rot,fréamh
157,Baum::N,tre,crann
158,Stamm::N,stamme,stoc
159,Stamm::N,stamme,tamhan
160,Rinde::N,bark,coirt
161,Rinde::N,bark,craiceann
162,Ast::N,gren,géag
163,Zweig::N,kvist,géag
164,Zweig::N,kvist,craobh
165,Blatt::N,blad,duille
166,Blatt::N,blad,duilleog
167,Birke::N,bjørk,beith
168,Birke::N,bjørk,crann beithe
169,Kiefer[Baum]::N,furu,péine
170,Weide[Baum]::N,selje,saileach
171,Weide[Baum]::N,piletre,saileach
172,Tanne::N,gran,giúis
173,Horn::N,horn,adharc
174,Feder::N,fjær,cleite
175,Fell::N,skinn,clúmh
176,Flügel::N,vinge,eite
177,Flügel::N,vinge,sciathán
178,Klaue::N,klauv,crúb
179,Klaue::N,klauv,crobh
180,Kralle::N,klo,crobh
181,Schwanz::N,hale,eireaball
182,Ei::N,egg,ubh
183,Nest::N,rede,nead
184,Bau::N,hi,brocais
185,Tier::N,dyr,ainmhí
186,Tier::N,dyr,beithíoch
187,Herde::N,flokk,tréad
188,Kuh::N,ku,bó
189,Bulle::N,tyr,tarbh
190,Pferd::N,hest,each
191,Pferd::N,hest,capall
192,Schaf::N,får,caora
193,Schwein::N,gris,muc
194,Hund::N,hund,madra
195,Katze::N,katt,cat
196,Bär::N,bjørn,béar
197,Eichhörnchen::N,ekorn,iora
198,Elch::N,elg,eilc
199,Fuchs::N,rev,sionnach
200,Fuchs::N,rev,madra rua
201,Hase::N,hare,giorria
202,Maus::N,mus,luch
203,Wolf::N,ulv,mac tíre
204,Wolf::N,varg,mac tíre
205,Vogel::N,fugl,éan
206,Schwarm::N,sverm,saithe
207,Huhn::N,høne,cearc
208,Hahn::N,hane,coileach
209,Gans::N,gås,gé
210,Adler::N,ørn,iolar
211,Ente::N,and,lacha
212,Eule::N,ugle,ulchabhán
213,Kranich::N,trane,grús
214,Krähe::N,kråke,caróg
215,Krähe::N,kråke,préachán
216,Kuckuck::N,gjøk,cuach
217,Schwan::N,svane,eala
218,Fisch::N,fisk,iasc
219,Barsch::N,abbor,péirse
220,Hecht::N,gjedde,liús
221,Schlange[Tier]::N,orm,nathair
222,Schlange[Tier]::N,slange,nathair
223,Wurm::N,orm,péist
224,Wurm::N,mark,péist
225,Spinne::N,edderkopp,damhán alla
226,Ameise::N,maur,seangán
227,Laus::N,lus,míol
228,Mücke::N,mygg,muiscít
229,Mücke::N,mygg,corrmhíol
230,Fliege::N,flue,cuil
231,Fliege::N,flue,cuileog
232,Schmetterling::N,sommerfugl,féileacán
233,Beere::N,bær,caor
234,Apfel::N,eple,úll
235,Pilz::N,sopp,beacán
236,Pilz::N,sopp,muisiriún
237,Zwiebel::N,løk,oinniún
238,Saat::N,sæd,síol
239,Korn::N,korn,gráinne
240,Heu::N,høy,féar
241,Schale::N,skall,scaimh
242,Grube::N,grop,poll
243,Falle::N,felle,gaiste
244,Schlinge::N,snare,sealán
245,Spur::N,spor,rian
246,Asche::N,aske,luaith
247,Dreck::N,møkk,salachar
248,Dreck::N,skitt,salachar
249,Eisen::N,jern,iarann
250,Gold::N,gull,ór
251,Silber::N,sølv,airgead
252,Kohle::N,kol,gual
253,Kohle::N,kull,gual
254,Glas::N,glass,gloine
255,Lehm::N,leire,cré
256,Sand::N,sand,gaineamh
257,Mensch::N,menneske,duine
258,Mann::N,mann,fear
259,Frau::N,kvinne,bean
260,Kind::N,barn,gasúr
261,Kind::N,barn,páiste
262,Junge::N,gutt,buachaill
263,Mädchen::N,pike,cailín
264,Mädchen::N,jente,cailín
265,Familie::N,familie,teaghlach
266,Familie::N,familie,comhluadar
267,Großvater::N,bestefar,seanathair
268,Großmutter::N,bestemor,seanmháthair
269,Eltern::N,foreldre,tuismitheoirí
270,Vater::N,far,athair
271,Mutter::N,mor,máthair
272,Sohn::N,sønn,mac
273,Tochter::N,datter,iníon
274,Bruder::N,bror,deartháir
275,Schwester::N,søster,deirfiúr
276,Onkel::N,onkel,uncail
277,Tante::N,tante,aintín
278,Ehemann::N,ektemann,fear céile
279,Ehefrau::N,hustru,bean chéile
280,Freude::N,glede,áthas
281,Gelächter::N,latter,gáire
282,Glück::N,lykke,séan
283,Glück::N,lykke,sonas
284,Kummer::N,sorg,brón
285,Kummer::N,sorg,buairt
286,Wunsch::N,ønske,guí
287,Wunsch::N,ønske,achainí
288,Lust::N,lyst,fonn
289,Geist::N,ånd,meon
290,Geist::N,ånd,spiorad
291,Gedanke::N,tanke,smaoineamh
292,Gedächtnis::N,minne,cuimhne
293,Gedächtnis::N,hukommelse,cuimhne
294,Verstand::N,forstand,ciall
295,Verstand::N,forstand,intinn
296,Sinn::N,mening,brí
297,Sinn::N,mening,ciall
298,Sinn::N,betydning,brí
299,Sinn::N,betydning,ciall
300,Grund::N,grunn,fáth
301,Wahrheit::N,sannhet,fírinne
302,Gespräch::N,samtale,comhrá
303,Märchen::N,eventyr,scéal
304,Erzählung::N,fortelling,scéal
305,Nachricht::N,melding,teachtaireacht
306,Neuigkeit::N,nyhet,scéala
307,Name::N,navn,ainm
308,Rätsel::N,gåte,tomhas
309,Rede::N,tale,óráid
310,Rede::N,tale,aitheasc
311,Sprache::N,språk,teanga
312,Stimme::N,stemme,guth
313,Wort::N,ord,focal
314,Zeichen::N,tegn,comhartha
315,Ruf::N,rop,glaoch
316,Lärm::N,bråk,torann
317,Laut::N,lyd,fuaim
318,Ton::N,tone,ton
319,Lied::N,vise,amhrán
320,Ruhe::N,ro,suaimhneas
321,Leute::N,folk,muintir
322,Volk::N,folk,pobal
323,Arbeit::N,arbeid,obair
324,Gast::N,gjest,aoi
325,Geschenk::N,gave,féirín
326,Geschenk::N,gave,bronntanas
327,Spiel::N,lek,cluiche
328,Spiel::N,spill,cluiche
329,Gesellschaft::N,selskap,comhluadar
330,Hilfe::N,hjelp,cúnamh
331,Hilfe::N,hjelp,cabhair
332,Freund::N,venn,cara
333,Kamerad::N,kamerat,comrádaí
334,Angelegenheit::N,sak,ábhar
335,Angelegenheit::N,anliggende,ábhar
336,Anzahl::N,antall,líon
337,Art::N,art,sórt
338,Art::N,art,saghas
339,Art::N,slag,sórt
340,Art::N,slag,saghas
341,Stück::N,stykke,píosa
342,Teil::N,del,cuid
343,Teil::N,del,páirt
344,Hälfte::N,halvdel,leath
345,Kreis::N,ring,ciorcal
346,Kreis::N,sirkel,ciorcal
347,Kreuz::N,kors,cros
348,Kreuz::N,kryss,cros
349,Linie::N,linje,líne
350,Strich::N,strek,stríoc
351,Abstand::N,avstand,achar
352,Entfernung::N,avstand,fad
353,Gegend::N,strøk,ceantar
354,Platz::N,plass,áit
355,Platz::N,plass,spás
356,Ort::N,sted,áit
357,Seite::N,side,taobh
358,Mitte::N,midte,lár
359,Gegenstand::N,gjenstand,ball
360,Gegenstand::N,gjenstand,ábhar
361,Sache::N,sak,ní
362,Sache::N,sak,rud
363,Rand::N,rand,imeall
364,Rand::N,rand,ciumhais
365,Kante::N,kant,corr
366,Kante::N,kant,colbha
367,Ecke::N,hjørne,coirnéal
368,Spitze::N,spiss,gob
369,Spitze::N,spiss,barr
370,Ende::N,ende,ceann
371,Ende::N,ende,foirceann
372,Loch::N,hull,poll
373,Winkel::N,vinkel,cúinne
374,Winkel::N,vinkel,uillinn
375,Muster::N,mønster,patrún
376,Größe::N,størrelse,méid
377,Größe::N,størrelse,toise
378,Länge::N,lengde,fad
379,Höhe::N,høyde,airde
380,Gewicht::N,vekt,meáchan
381,Menge::N,mengde,méid
382,Haufen::N,haug,cnap
383,Haufen::N,bunke,cnap
384,Reihe::N,rekke,líne
385,Reihe::N,rekke,sraith
386,Boot::N,båt,bád
387,Ruder::N,åre,rámh
388,Ruder::N,åre,maide rámha
389,Schlitten::N,slede,carr sleamhnáin
390,Schlitten::N,kjelke,carr sleamhnáin
391,Ski::N,ski,scí
392,Lagerfeuer::N,leirbål,tine champa
393,Last::N,bør,ualach
394,Last::N,last,ualach
395,Gang::N,gang,siúlóid
396,Schritt::N,steg,céim
397,Schritt::N,steg,coiscéim
398,Schritt::N,skritt,céim
399,Schritt::N,skritt,coiscéim
400,Norden::N,nord,tuaisceart
401,Süden::N,sør,deisceart
402,Westen::N,vest,iarthar
403,Osten::N,øst,oirthear
404,Holz::N,tre,adhmad
405,Brett::N,fjøl,clár
406,Brett::N,brett,clár
407,Platte::N,plate,leac
408,Stütze::N,støtte,taca
409,Stange::N,stang,polla
410,Stange::N,stang,cuaille
411,Stock::N,pinne,bata
412,Stock::N,pinne,maide
413,Stab::N,stav,maide
414,Stab::N,stav,bachall
415,Stab::N,kjepp,maide
416,Stab::N,kjepp,bachall
417,Rohr::N,rør,píopa
418,Haus::N,hus,teach
419,Heim::N,hjem,baile
420,Ofen::N,ovn,sornóg
421,Fußboden::N,gulv,urlár
422,Tisch::N,bord,bord
423,Tisch::N,bord,tábla
424,Stuhl::N,stol,cathaoir
425,Wiege::N,vogge,cliabhán
426,Bett::N,seng,leaba
427,Regal::N,reol,seilf
428,Regal::N,hylle,seilf
429,Kiste::N,kasse,bosca
430,Fenster::N,vindu,fuinneoig
431,Tür::N,dør,doras
432,Tor::N,port,geata
433,Zaun::N,gjerde,fál
434,Zaun::N,gjerde,claí
435,Dach::N,tak,díon
436,Leiter::N,stige,dréimire
437,Besen::N,kost,scuab
438,Spaten::N,spade,spád
439,Spaten::N,spade,rámhainn
440,Schaufel::N,skuffe,sluasaid
441,Gabel::N,gaffel,forc
442,Gabel::N,gaffel,gabhlóg
443,Löffel::N,skje,spúnóg
444,Messer::N,kniv,scian
445,Nagel::N,spiker,tairne
446,Netz::N,nett,líon
447,Netz::N,nett,eangach
448,Haken::N,krok,croch
449,Griff::N,tak,cos
450,Griff::N,tak,hanla
451,Griff::N,håndtak,cos
452,Griff::N,håndtak,hanla
453,Schloss::N,lås,glas
454,Bild::N,bilde,pictiúr
455,Figur::N,figur,fíor
456,Puppe::N,dukke,bábóg
457,Beutel::N,pose,mála
458,Beutel::N,pose,mealbhóg
459,Bündel::N,bylt,beart
460,Tasche::N,veske,mála
461,Eimer::N,bøtte,buicéad
462,Deckel::N,lokk,clár
463,Deckel::N,lokk,claibín
464,Geschirr::N,kjøkkentøy,soithí
465,Geschirr::N,kjøkkentøy,gréithe
466,Sack::N,sekk,sac
467,Sack::N,sekk,mála
468,Tasse::N,kopp,cupán
469,Topf::N,gryte,pota
470,Kessel::N,kjele,citeal
471,Essen::N,mål,béile
472,Nahrung::N,mat,bia
473,Nahrung::N,næring,bia
474,Speise::N,matrett,mias
475,Fleisch::N,kjøtt,feoil
476,Getreide::N,korn,grán
477,Getreide::N,korn,arbhar
478,Brei::N,grøt,brúitín
479,Brot::N,brød,arán
480,Scheibe::N,skive,píosa
481,Scheibe::N,skive,slisne
482,Fett::N,fett,saill
483,Fett::N,fett,méathras
484,Butter::N,smør,im
485,Öl::N,olje,ola
486,Salz::N,salt,salann
487,Suppe::N,suppe,sú
488,Suppe::N,suppe,anraith
489,Honig::N,honning,mil
490,Milch::N,melk,bainne
491,Tee::N,te,tae
492,Leder::N,lær,leathar
493,Leder::N,skinn,leathar
494,Wolle::N,ull,olann
495,Stoff::N,tøy,éadach
496,Stoff::N,stoff,éadach
497,Nadel::N,nål,snáthaid
498,Faden::N,tråd,snáth
499,Knopf::N,knapp,cnaipe
500,Knoten::N,knute,snaidhm
501,Farbe::N,farge,péint
502,Kleidung::N,påkledning,éadaí
503,Hemd::N,skjorte,léine
504,Kragen::N,krage,bóna
505,Ärmel::N,erme,muinchille
506,Hose::N,bukse,bríste
507,Hose::N,bukse,treabhsar
508,Gürtel::N,belte,crios
509,Mütze::N,lue,caipín
510,Schuh::N,sko,bróg
511,Stiefel::N,støvel,buatais
512,Ring::N,ring,fáinne
513,Band::N,band,ribín
514,Kamm::N,kam,cíor
515,Spiegel::N,speil,scáthán
516,Riemen::N,rem,iall
517,Riemen::N,rem,strapa
518,Schnur::N,snor,téad
519,Schnur::N,snor,sreangán
520,Leine::N,line,iall
521,Decke::N,teppe,pluid
522,Decke::N,teppe,blaincéad
523,Kissen::N,pute,piliúr
524,Kissen::N,pute,adhartán
525,Tuch::N,tøy,scaif
526,Handtuch::N,håndkle,tuáille
527,Kraft::N,kraft,fórsa
528,Stärke::N,styrke,neart
529,Gesundheit::N,helse,sláinte
530,Gesundheit::N,sunnhet,sláinte
531,Krankheit::N,syke,tinneas
532,Krankheit::N,syke,breoiteacht
533,Krankheit::N,sykdom,tinneas
534,Krankheit::N,sykdom,breoiteacht
535,Schmerz::N,smerte,pian
536,Wunde::N,sår,goin
537,Fieber::N,feber,fiabhras
538,Arznei::N,medisin,cógas
539,Arznei::N,legemiddel,cógas
540,Brücke::N,bro,droichead
541,Brunnen::N,brønn,tobar
542,Weide::N,beite,féarach
543,Pfad::N,sti,cosán
544,Pfad::N,sti,conair
545,Weg::N,vei,slí
546,Weg::N,vei,bealach
547,Straße::N,gate,bóthar
548,Dorf::N,landsby,sráidbhaile
549,Stadt::N,by,baile
550,Stadt::N,by,cathair
551,Brief::N,brev,litir
552,Buch::N,bok,cín
553,Buch::N,bok,leabhar
554,Buchstabe::N,bokstav,litir
555,Zeitung::N,avis,nuachtán
556,Leben::N,liv,saol
557,Leben::N,liv,beatha
558,Tod::N,død,bás
559,Grab::N,grav,uaigh
560,Kirche::N,kirke,eaglais
561,Sünde::N,synd,peaca
562,Gott::N,gud,dia
563,Arbeiter::N,arbeider,oibrí
564,Chef::N,sjef,saoiste
565,Chef::N,sjef,ceannasaí
566,Meister::N,mester,máistir
567,Arzt::N,lege,lia
568,Arzt::N,lege,dochtúir
569,Lehrer::N,lærer,oide
570,Lehrer::N,lærer,múinteoir
571,Geld::N,penger,airgead
572,Geschäft::N,forretning,gnó
573,Laden::N,butikk,siopa
574,Preis::N,pris,praghas
575,Ware::N,vare,earra
576,Nutzen::N,nytte,tairbhe
577,Reichtum::N,rikdom,rachmas
578,Reichtum::N,rikdom,saibhreas
579,Welt::N,verden,domhan
580,Land::N,land,tír
581,Staat::N,stat,stát
582,König::N,konge,rí
583,Macht::N,makt,cumhacht
584,Grenze::N,grense,críoch
585,Grenze::N,grense,teorainn
586,Krieg::N,krig,cogadh
587,Feind::N,fiende,namhaid
588,Gewalt::N,vold,foréigean
589,Kampf::N,kamp,troid
590,Bogen[Waffe]::N,bue,bogha
591,Pfeil::N,pil,saighead
592,Gewehr::N,gevær,gunna
593,Fehler::N,feil,botún
594,Fehler::N,feil,meancóg
595,Lüge::N,løgn,bréag
596,Lüge::N,løgn,éitheach
597,Schaden::N,skade,dochar
598,Schaden::N,skade,damáiste
599,Unglück::N,uhell,drochrath
600,Schuld::N,skyld,locht
601,Schuld::N,skyld,milleán
602,Alter::N,alder,aois
603,Schluss::N,slutt,deireadh
604,Zeit::N,tid,am
605,Zeit::N,tid,aimsir
606,Tag::N,dag,lá
607,Morgen::N,morgen,maidin
608,Mittag::N,middag,nóin
609,Abend::N,aften,tráthnóna
610,Nacht::N,natt,oíche
611,Woche::N,uke,seachtain
612,Monat::N,måned,mí
613,Jahr::N,år,bliain
614,Frühling::N,vår,earrach
615,Sommer::N,sommer,samhradh
616,Herbst::N,høst,fómhar
617,Winter::N,vinter,geimhreadh
618,Januar::N,januar,Eanáir
619,Februar::N,februar,Feabhra
620,März::N,mars,Márta
621,April::N,april,Aibreán
622,Mai::N,mai,Bealtaine
623,Juni::N,juni,Meitheamh
624,Juli::N,juli,Iúil
625,August::N,august,Lúnasa
626,September::N,september,Meán Fómhair
627,Oktober::N,oktober,Deireadh Fómhair
628,November::N,november,Samhain
629,November::N,november,Mí na Samhna
630,Dezember::N,desember,Mí na Nollag
631,Montag::N,mandag,Luan
632,Montag::N,mandag,Dé Luain
633,Dienstag::N,tirsdag,Máirt
634,Dienstag::N,tirsdag,Dé Máirt
635,Mittwoch::N,onsdag,Céadaoin
636,Mittwoch::N,onsdag,Dé Céadaoin
637,Donnerstag::N,torsdag,Déardaoin
638,Freitag::N,fredag,Aoine
639,Freitag::N,fredag,Dé hAoine
640,Samstag::N,lørdag,Satharn
641,Samstag::N,lørdag,Dé Sathairn
642,Sonntag::N,søndag,Domhnach
643,Sonntag::N,søndag,Dé Domhnaigh
644,groß::A,stor,mór
645,klein::A,liten,beag
646,lang::A,lang,fada
647,kurz::A,kort,gearr
648,kurz::A,kort,gairid
649,breit::A,bred,leathan
650,breit::A,bred,fairsing
651,schmal::A,smal,cúng
652,dicht::A,tett,dlúth
653,dick[Gegenstand]::A,tykk,tiubh
654,dünn::A,tynn,caol
655,dünn::A,tynn,tanaí
656,fein::A,fin,scáinte
657,fein::A,fin,fíneálta
658,fest::A,fast,daingean
659,flach::A,flat,cothrom
660,glatt::A,glatt,mín
661,glatt::A,glatt,sleamhain
662,hart::A,hard,crua
663,weich::A,myk,bog
664,weich::A,bløt,bog
665,rund::A,rund,cruinn
666,spitz::A,spiss,gobach
667,spitz::A,spiss,biorach
668,scharf::A,kvass,géar
669,scharf::A,kvass,faobhrach
670,stumpf::A,stubb,maol
671,schwer::A,tung,trom
672,schön::A,pen,álainn
673,schön::A,vakker,álainn
674,heiß::A,het,te
675,warm::A,varm,te
676,kalt::A,kald,fuar
677,kühl::A,kjølig,fionnuar
678,frisch::A,fersk,úr
679,frisch::A,fersk,friseáilte
680,feucht::A,fuktig,tais
681,nass::A,våt,fliuch
682,trocken::A,tørr,tirim
683,voll::A,full,lán
684,leer::A,tom,folamh
685,offen::A,åpen,oscailte
686,geschlossen::A,lukket,dúnta
687,geschlossen::A,lukket,druidte
688,sauber::A,ren,glan
689,schmutzig::A,skitten,salach
690,roh::A,rå,amh
691,reif::A,moden,aibí
692,lecker::A,lekker,blasta
693,süß::A,søt,milis
694,bitter::A,besk,searbh
695,bitter::A,bitter,searbh
696,sauer::A,sur,géar
697,sauer::A,sur,searbh
698,hell::A,lys,geal
699,hell::A,lys,soilseach
700,dunkel::A,mørk,dorcha
701,schwarz::A,svart,dubh
702,weiß::A,hvit,bán
703,rot::A,rød,dearg
704,gelb::A,gul,buí
705,blau::A,blå,gorm
706,grün::A,grønn,glas
707,grün::A,grønn,uaine
708,grau::A,grå,liath
709,bunt::A,broket,ildathach
710,bunt::A,broket,dathannach
711,billig::A,billig,saor
712,teuer::A,dyr,daor
713,teuer::A,dyr,costasach
714,wertvoll::A,verdifull,luachmhar
715,blind::A,blind,dall
716,blind::A,blind,caoch
717,taub::A,døv,bodhar
718,kräftig::A,kraftig,cumhachtach
719,stark::A,sterk,tréan
720,stark::A,sterk,láidir
721,schwach::A,svak,lag
722,schwach::A,svak,fann
723,fett::A,fet,ramhar
724,schlank::A,slank,caol
725,schlank::A,slank,seang
726,hübsch::A,pen,álainn
727,hübsch::A,pen,dathúil
728,böse::A,slem,olc
729,dumm::A,dum,dúr
730,dumm::A,dum,amaideach
731,faul::A,lat,falsa
732,faul::A,lat,leisciúil
733,faul::A,doven,falsa
734,faul::A,doven,leisciúil
735,fleißig::A,flittig,dícheallach
736,geizig::A,gjerrig,barainneach
737,geizig::A,gjerrig,sprionlaithe
738,klug::A,klok,cliste
739,geschickt::A,hendig,oilte
740,geschickt::A,hendig,ealaíonta
741,geschickt::A,skikket,oilte
742,geschickt::A,skikket,ealaíonta
743,lieb::A,kjær,dil
744,lieb::A,kjær,dílis
745,lieb::A,snill,dil
746,lieb::A,snill,dílis
747,lustig::A,morsom,aerach
748,lustig::A,morsom,meidhreach
749,sanft::A,blid,bog
750,sanft::A,blid,séimh
751,hungrig::A,sulten,ocrach
752,krank::A,syk,tinn
753,krank::A,syk,breoite
754,nackt::A,naken,nocht
755,traurig::A,sørgmodig,brónach
756,lebendig::A,levende,beo
757,gut::A,god,maith
758,schlecht::A,dårlig,dona
759,schlecht::A,dårlig,droch-
760,richtig::A,riktig,ceart
761,schlimm::A,slem,gránna
762,schlimm::A,slem,tubaisteach
763,wahr::A,sann,fíor
764,alt::A,gammel,sean
765,neu::A,ny,úr
766,neu::A,ny,nua
767,ehemalig::A,forhenværende,iar-
768,ehemalig::A,forhenværende,sean-
769,alt[Lebewesen]::A,gammel,sean
770,alt[Lebewesen]::A,gammel,aosta
771,jung::A,ung,óg
772,arm::A,fattig,bocht
773,reich::A,rik,saibhir
774,reich::A,rik,rachmasach
775,bekannt::A,kjent,atá eolas air
776,berühmt::A,berømt,cailiúil
777,berühmt::A,berømt,clúiteach
778,fremd::A,fremmed,coimhthíoch
779,verschieden::A,forskjellig,éagsúil
780,verschieden::A,forskjellig,difriúil
781,nah::A,nær,gar
782,nah::A,nær,deas
783,fern::A,fjern,i bhfad uainn
784,fern::A,fjern,i bhfad i gcéin
785,linker::A,venstre,clé
786,rechter::A,høyre,deas
787,anderer::A,annen,eile
788,erster::A,første,céad
789,zweiter::A,annen,dóú
790,zweiter::A,annen,dara
791,dritter::A,tredje,tríú
792,dritter::A,tredje,treas
793,letzter::A,sist,déanach
794,letzter::A,sist,deireanach
795,allein::ADV,alene,i d'aonar
796,auf einmal::ADV,med ett,ag an am céanna
797,zusammen::ADV,sammen,le chéile
798,zusammen::ADV,sammen,in eineacht
799,lange::ADV,lenge,fada
800,plötzlich::ADV,plutselig,go tobann
801,plötzlich::ADV,plutselig,i dtobainne
802,sofort::ADV,straks,ar an toirt
803,sofort::ADV,straks,ar an bpointe
804,später::ADV,senere,níos déanaí
805,jetzt::ADV,nå,anois
806,heute::ADV,i dag,inniu
807,morgen::ADV,i morgen,amárach
808,bald::ADV,snart,go luath
809,bald::ADV,snart,gan mhoill
810,dann::ADV,så,ansin
811,gestern::ADV,i går,inné
812,einst::ADV,engang,tráth
813,einst::ADV,engang,uair amháin
814,damals::ADV,den gang,ag an am
815,damals::ADV,den gang,an t-am sin
816,danach::ADV,deretter,ina dhiaidh sin
817,vorher::ADV,før,cheana
818,vorher::ADV,før,roimhe sin
819,vorher::ADV,i forveien,cheana
820,vorher::ADV,i forveien,roimhe sin
821,zuerst::ADV,først,ar dtús
822,einmal::ADV,en gang,uair amháin
823,manchmal::ADV,somme tider,uaireanta
824,oft::ADV,ofte,minic
825,immer::ADV,alltid,i gcónaí
826,niemals::ADV,aldri,riamh
827,hier::ADV,her,anseo
828,hierhin::ADV,hit,anseo
829,von hier::ADV,herfra,an áit seo
830,dort::ADV,der,ann
831,dort::ADV,der,ansin
832,dorthin::ADV,dit,ann
833,dorthin::ADV,dit,ansin
834,geradeaus::ADV,rett fram,ar aghaidh
835,vorwärts::ADV,fram,
836,vorwärts::ADV,framover,
837,rückwärts::ADV,baklengs,siar
838,zurück::ADV,tilbake,ar ais
839,unten::ADV,nede,thíos
