,Concept_ID,av,la
90,Regenbogen::N,нур,arcus
91,Regenbogen::N,чамбара,arcus
92,Donner::N,гъугъай,tonitrus
93,Donner::N,гъугъади,tonitrus
94,Strömung::N,чвахи,fluctus
95,Tropfen::N,резел,gutta
96,Tropfen::N,тӏинкӏ,gutta
97,Tropfen::N,къатӏра,gutta
98,Tropfen::N,тӏенкӏел,gutta
99,Schaum::N,полоп,spuma
100,Schmutz::N,чороклъи,sordes
101,Schmutz::N,чороклъи,squalor
102,See::N,хӏор,lacus
103,Sumpf::N,хьуцӏ,palus
104,Wiese::N,мегъ,pratum
105,Wiese::N,гӏурдаллъи,pratum
106,Wald::N,рохь,silva
107,Hügel::N,гохӏ,collis
108,Anhöhe::N,сийитма,specula
109,Berg::N,мегӏер,mons
110,Gipfel::N,тӏогь,vertex
111,Höhle::N,нохъо,caverna
112,Höhle::N,нохъо,spelunca
113,Abhang::N,лабаллъи,declivum
114,Quelle::N,ицц,fons
115,Bach::N,лъар,rivus
116,Fluss::N,гӏор,flumen
117,Ufer::N,рагӏал,ripa
118,Küste::N,рагӏал,litus
119,Festland::N,ракь,continens
120,Festland::N,ракъдаллъи,continens
121,Meer::N,ралъад,mare
122,Bucht::N,кӏветӏ,sinus
123,Insel::N,чӏинкӏиллъи,insula
124,Blume::N,тӏегь,flos
125,Gras::N,хер,herba
126,Gras::N,хер,gramen
127,Wurzel::N,кьибил,radix
128,Baum::N,гъветӏ,arbor
129,Stamm::N,рохти,truncus
130,Rinde::N,макъар,cortex
131,Ast::N,ноцӏ,ramus
132,Zweig::N,гӏаркьел,ramus
133,Blatt::N,тӏамах,folium
134,Birke::N,мах,betulla
135,Birke::N,махигъветӏ,betulla
136,Kiefer[Baum]::N,накӏкӏигъветӏ,pinus
137,Weide[Baum]::N,рицӏцӏ,salix
138,Weide[Baum]::N,рицӏцӏигъветӏ,salix
139,Tanne::N,ёлка,abies
140,Horn::N,лълъар,cornu
141,Feder::N,хӏули,penna
142,Fell::N,тӏом,pellis
143,Fell::N,цӏоко,pellis
144,Flügel::N,кваркьи,ala
145,Klaue::N,галъ,unguis
146,Kralle::N,квачӏ,unguis
147,Kralle::N,катиквачӏ,unguis
148,Schwanz::N,рачӏ,cauda
149,Ei::N,хоно,ovum
150,Nest::N,бусен,nidus
151,Bau::N,каратӏ,cavum
152,Bau::N,каратӏ,latibulum
153,Tier::N,хӏайван,bestia
154,Herde::N,рехъен,grex
155,Herde::N,рехъед,grex
156,Kuh::N,гӏака,vacca
157,Bulle::N,оц,taurus
158,Pferd::N,чу,equus
159,Schaf::N,чахъу,ovis
160,Schwein::N,болъон,sus
161,Schwein::N,болъон,porcus
162,Hund::N,гьой,canis
163,Katze::N,кету,felis
164,Bär::N,ци,ursus
165,Eichhörnchen::N,гвангва,sciurus
166,Fuchs::N,цер,vulpes
167,Hase::N,гӏанкӏ,lepus
168,Maus::N,гӏункӏкӏ,mus
169,Wolf::N,бацӏ,lupus
170,Vogel::N,хӏинчӏ,avis
171,Schwarm::N,тӏел,examen
172,Huhn::N,гӏанкӏу,gallina
173,Hahn::N,хӏелеко,gallus
174,Gans::N,хъаз,anser
175,Adler::N,цӏум,aquila
176,Ente::N,ордек,anas
177,Eule::N,беццаруз,ulula
178,Eule::N,беццаруз,noctua
179,Kranich::N,къункъра,grus
180,Krähe::N,гъеду,cornix
181,Kuckuck::N,гагу,cuculus
182,Schwan::N,хӏанкъва,olor
183,Schwan::N,хӏанкъва,cycnus
184,Fisch::N,ччугӏа,piscis
185,Barsch::N,окунь,perca
186,Hecht::N,щука,esox
187,Schlange[Tier]::N,борохь,serpens
188,Wurm::N,хӏапара,vermis
189,Spinne::N,хъанхъра,aranea
190,Ameise::N,цӏунцӏра,formica
191,Laus::N,нацӏ,pediculus
192,Mücke::N,кӏкӏара,culex
193,Fliege::N,тӏутӏ,musca
194,Schmetterling::N,кӏалкӏучӏ,papilio
195,Apfel::N,гӏеч,malum
196,Pilz::N,гӏурдахӏан,fungus
197,Zwiebel::N,кӏочӏопер,cepa
198,Saat::N,хьон,seges
199,Korn::N,мугь,granum
200,Heu::N,хер,faenum
201,Schale::N,хъал,putamen
202,Grube::N,гвенд,fovea
203,Falle::N,къор,pedica
204,Falle::N,къотен,pedica
205,Schlinge::N,кӏичӏ,laqueus
206,Spur::N,лъалкӏ,vestigium
207,Asche::N,рахъу,cinis
208,Dreck::N,гъиз,lutum
209,Dreck::N,хӏарщ,lutum
210,Eisen::N,махх,ferrum
211,Gold::N,месед,aurum
212,Silber::N,гӏарац,argentum
213,Kohle::N,тӏурччи,carbo
214,Glas::N,цӏер,vitrum
215,Lehm::N,хӏатӏ,lutum
216,Sand::N,сали,arena
217,Mensch::N,чи,homo
218,Mann::N,бихьинчи,vir
219,Frau::N,гӏадан,mulier
220,Kind::N,лъимер,puer
221,Kind::N,лъимер,infans
222,Junge::N,вас,puer
223,Mädchen::N,яс,puella
224,Familie::N,хъизан,familia
225,Großvater::N,кӏудада,avus
226,Großmutter::N,кӏодо,avia
227,Eltern::N,эбел-эмен,parentes
228,Vater::N,эмен,pater
229,Mutter::N,эбел,mater
230,Sohn::N,вас,filius
231,Tochter::N,яс,filia
232,Bruder::N,вац,frater
233,Schwester::N,яц,soror
234,Onkel::N,даци,patruus
235,Onkel::N,даци,avunculus
236,Tante::N,ада,amita
237,Ehemann::N,рос,maritus
238,Ehefrau::N,чӏужу,uxor
239,Freude::N,ракӏбохи,gaudium
240,Freude::N,ракӏбохи,laetitia
241,Gelächter::N,релъи,risus
242,Glück::N,талихӏ,felicitas
243,Glück::N,талихӏ-рохел,felicitas
244,Kummer::N,хӏалкъай,aegritudo
245,Wunsch::N,къасд,voluntas
246,Wunsch::N,къасд,desiderium
247,Lust::N,гъира,libido
248,Lust::N,гъира,voluptas
249,Geist::N,чӏанкӏ,mens
250,Geist::N,чӏанкӏ,animus
251,Geist::N,рухӏ-жан,mens
252,Geist::N,рухӏ-жан,animus
253,Gedanke::N,пикру,sententia
254,Verstand::N,лумалъи,ratio
255,Verstand::N,лумалъи,ingenium
256,Verstand::N,цӏодорлъи,ratio
257,Verstand::N,цӏодорлъи,ingenium
258,Sinn::N,магӏна,sensus
259,Grund::N,багьана,causa
260,Wahrheit::N,ритӏухълъи,veritas
261,Gespräch::N,накъит,sermo
262,Märchen::N,маргьа,fabula
263,Erzählung::N,къиса,fabula
264,Erzählung::N,къиса,narratio
265,Nachricht::N,хабар,nuntius
266,Neuigkeit::N,хабар-гӏазаб,novitas
267,Name::N,цӏар,nomen
268,Rätsel::N,бицанкӏо,aenigma
269,Rede::N,речь,oratio
270,Rede::N,калам,oratio
271,Sprache::N,мацӏ,lingua
272,Stimme::N,гьаракь,vox
273,Wort::N,рагӏи,verbum
274,Wort::N,рагӏи,vocabulum
275,Zeichen::N,ишара,signum
276,Zeichen::N,гӏаламат,signum
277,Ruf::N,ахӏи,clamor
278,Lärm::N,хъуй,strepitus
279,Lärm::N,хъуди,strepitus
280,Laut::N,гьаракь,sonus
281,Laut::N,сас,sonus
282,Lied::N,кечӏ,carmen
283,Ruhe::N,рахӏат,quies
284,Leute::N,гӏадамал,homines
285,Volk::N,халкъ,populus
286,Arbeit::N,хӏалтӏи,labor
287,Gast::N,гьобол,hospes
288,Gast::N,гьобол,conviva
289,Geschenk::N,сайигъат,munus
290,Spiel::N,хӏай,ludus
291,Spiel::N,расанди,ludus
292,Gesellschaft::N,жамагӏат,societas
293,Hilfe::N,кумек,auxilium
294,Hilfe::N,кумек,subsidium
295,Freund::N,гьудул,amicus
296,Kamerad::N,гьалмагъ,socius
297,Angelegenheit::N,къваригӏел,res
298,Anzahl::N,рикӏкӏен,numerus
299,Art::N,жинс,genus
300,Stück::N,кесек,frustum
301,Stück::N,кесек,fragmentum
302,Teil::N,пай,pars
303,Hälfte::N,бащдаб,dimidium
304,Kreis::N,гор,orbis
305,Kreis::N,гор,circus
306,Kreuz::N,хъанч,crux
307,Linie::N,мухъ,linea
308,Strich::N,хӏучч,lineamentum
309,Abstand::N,манзил,intervallum
310,Entfernung::N,манзил,spatium
311,Gegend::N,рахъ,loca
312,Gegend::N,рахъ,regio
313,Platz::N,бакӏ,locus
314,Ort::N,бакӏ,locus
315,Seite::N,рахъ,latus
316,Mitte::N,бакьулъбакӏ,medium
317,Gegenstand::N,жо,res
318,Sache::N,жо,res
319,Rand::N,мицӏир,margo
320,Kante::N,рагӏал,angulus
321,Kante::N,рагӏа-ракьан,angulus
322,Ecke::N,цили,angulus
323,Spitze::N,тӏогь,cacumen
324,Ende::N,кӏал,caput
325,Loch::N,каратӏ,foramen
326,Muster::N,накъиш,exemplum
327,Größe::N,кӏодо́лъи,magnitudo
328,Länge::N,халалъи,longitudo
329,Höhe::N,борхалъи,altitudo
330,Gewicht::N,бакӏлъи,pondus
331,Haufen::N,гъуни,acervus
332,Reihe::N,ирга́,ordo
333,Boot::N,раса,navicula
334,Ruder::N,раххан,remus
335,Schlitten::N,чанагъ,sclodia
336,Ski::N,лыжаби,narta
337,Lagerfeuer::N,цӏа,ignis
338,Last::N,бакӏлъи,onus
339,Gang::N,хьвади,cursus
340,Gang::N,хьвада-чӏвади,cursus
341,Schritt::N,гали,gradus
342,Norden::N,шимал,septentriones
343,Süden::N,юг,meridies
344,Süden::N,къибла,meridies
345,Westen::N,гъарб,occidens
346,Westen::N,магъриб,occidens
347,Osten::N,шаркъ,oriens
348,Osten::N,машрикъ,oriens
349,Holz::N,цӏул,lignum
350,Brett::N,хъарщи,tabula
351,Platte::N,къоно,lamina
352,Stange::N,гӏер,pertica
353,Stock::N,тӏил,baculum
354,Stab::N,гӏер,scipio
355,Rohr::N,турба,tubus
356,Haus::N,ригь,aedes
357,Haus::N,рукъзал,aedes
358,Heim::N,рукъ,domicilium
359,Ofen::N,печь,fornax
360,Fußboden::N,чӏабар,solum
361,Tisch::N,стол,mensa
362,Stuhl::N,бакӏу,sella
363,Wiege::N,кини,cunae
364,Bett::N,кровать,lectus
365,Regal::N,хъарщи,foruli
366,Kiste::N,ящик,cista
367,Kiste::N,тӏалагъуд,cista
368,Fenster::N,гордо,fenestra
369,Tür::N,нуцӏа,ianua
370,Tor::N,каву,porta
371,Zaun::N,раци,saepes
372,Dach::N,тӏох,tectum
373,Leiter::N,мали,scalae
374,Besen::N,жул,scopae
375,Spaten::N,бел,pala
376,Schaufel::N,раххан,pala
377,Gabel::N,гӏучӏ,fuscinula
378,Löffel::N,гъуд,coclear
379,Messer::N,нус,culter
380,Nagel::N,магӏ,clavus
381,Netz::N,гьин,rete
382,Haken::N,гъанцӏа,hamus
383,Griff::N,гӏоркь,manubrium
384,Schloss::N,кӏулал,claustra
385,Bild::N,сурат,tabula
386,Bild::N,сурат,pictura
387,Puppe::N,нани,pupa
388,Beutel::N,таргьа,sacculus
389,Bündel::N,къай,fascis
390,Tasche::N,сумка,sacculus
391,Tasche::N,къвачӏа,sacculus
392,Eimer::N,ведро,situla
393,Deckel::N,тӏалъел,operculum
394,Deckel::N,дадитӏалъел,operculum
395,Geschirr::N,цӏарагӏ,vasa
396,Sack::N,хъап,saccus
397,Sack::N,къандалъо,saccus
398,Tasse::N,чашка,pocillum
399,Topf::N,хьаг,olla
400,Kessel::N,хьаг,aenum
401,Kessel::N,гереги,aenum
402,Essen::N,тӏагӏам,cena
403,Nahrung::N,квен,cibus
404,Nahrung::N,квен,alimenta
405,Speise::N,квен,cibus
406,Fleisch::N,гьан,caro
407,Getreide::N,бугӏа-ролъ,frumentum
408,Getreide::N,могьолабл_культураби,frumentum
409,Brei::N,карщ,puls
410,Brot::N,чед,panis
411,Scheibe::N,мочӏу,frustum
412,Fett::N,беэнлъи,pingue
413,Butter::N,нах,butȳrum
414,Öl::N,нах,oleum
415,Salz::N,цӏам,sal
416,Suppe::N,чурпа,ius
417,Honig::N,гьоцӏо,mel
418,Milch::N,рахь,lac
419,Tee::N,чай,thea
420,Leder::N,тӏом,corium
421,Wolle::N,квас,lana
422,Stoff::N,ххам,textum
423,Nadel::N,рокӏкӏен,acus
424,Faden::N,кун,filum
425,Knopf::N,маргъал,bulla
426,Knoten::N,гарацӏ,nodus
427,Farbe::N,релъен,pigmentum
428,Kleidung::N,ретӏел,vestimenta
429,Hemd::N,гурде,tunica
430,Kragen::N,габур,collare
431,Ärmel::N,къвал,manica
432,Hose::N,тӏажу,bracae
433,Gürtel::N,рачел,cingulum
434,Mütze::N,тӏагъур,pilleus
435,Stiefel::N,этек,pero
436,Stiefel::N,этек,caliga
437,Stiefel::N,чакма,pero
438,Stiefel::N,чакма,caliga
439,Ring::N,баргъич,anulus
440,Band::N,лента,redimiculum
441,Kamm::N,гьоркьо,pecten
442,Spiegel::N,матӏу,speculum
443,Riemen::N,рижу,lorum
444,Decke::N,одея́ло,lodix
445,Kissen::N,къандалъо,pulvinus
446,Tuch::N,квархьи,velum
447,Handtuch::N,беркӏалрацӏцӏ,mantele
448,Kraft::N,гуч,vis
449,Kraft::N,къуват,vis
450,Stärke::N,хӏалкӏвей,robur
451,Gesundheit::N,сахлъи́,valetudo
452,Krankheit::N,унти,morbus
453,Krankheit::N,щокълъи,morbus
454,Schmerz::N,унти,dolor
455,Wunde::N,ругъун,vulnus
456,Fieber::N,цӏа-кан,febris
457,Arznei::N,дару,remedium
458,Brücke::N,кьо,pons
459,Brunnen::N,гъуй,puteus
460,Weide::N,рицӏцӏ,pascua
461,Weide::N,лъичӏирма,pascua
462,Weide::N,гӏурдаллъи,pascua
463,Weide::N,ри́цӏигъветӏ,pascua
464,Weide::N,рицӏцӏигъветӏ,pascua
465,Pfad::N,сухъмахъ,semita
466,Weg::N,нух,iter
467,Straße::N,нух,via
468,Dorf::N,росу,vicus
469,Stadt::N,шагьар,urbs
470,Stadt::N,шагьар,oppidum
471,Brief::N,кагъат,epistula
472,Brief::N,рисалат,epistula
473,Buch::N,тӏехь,liber
474,Buchstabe::N,хӏарп,littera
475,Zeitung::N,газет,diurnum
476,Leben::N,яшав,vita
477,Tod::N,хвел,mors
478,Grab::N,хоб,sepulcrum
479,Kirche::N,килиса,ecclesia
480,Sünde::N,хӏакъ,peccatum
481,Sünde::N,мунагь,peccatum
482,Gott::N,бичас,deus
483,Gott::N,аллагь,deus
484,Arbeiter::N,хӏалтӏухъан,operarius
485,Chef::N,хӏаким,praefectus
486,Chef::N,начальник,praefectus
487,Meister::N,устар,magister
488,Meister::N,мастер,magister
489,Meister::N,махщалилав,magister
490,Arzt::N,жайрахӏ,medicus
491,Lehrer::N,мугӏалим,magister
492,Geld::N,гӏарац,aes
493,Geld::N,гӏарац,pecunia
494,Laden::N,тукен,taberna
495,Preis::N,багьа,pretium
496,Ware::N,къайи,merx
497,Nutzen::N,мунпагӏат,utilitas
498,Reichtum::N,бечелъи,opes
499,Reichtum::N,бечелъи,divitiae
500,Welt::N,дуниял,mundus
501,Land::N,улка,terra
502,Land::N,икълим,terra
503,Staat::N,пачалихъ,res publica
504,König::N,пача,rex
505,König::N,малик,rex
506,König::N,къирал,rex
507,König::N,падишагь,rex
508,Macht::N,кверщел,potestas
509,Grenze::N,гӏорхъи,limes
510,Krieg::N,рагъ,bellum
511,Feind::N,тушман,inimicus
512,Gewalt::N,зулму,vis
513,Kampf::N,къеркьей,pugna
514,Bogen[Waffe]::N,газаргъо,arcus
515,Pfeil::N,чӏор,sagitta
516,Gewehr::N,туманкӏ,sclopetum
517,Fehler::N,гъалатӏ,error
518,Lüge::N,гьереси,mendacium
519,Schaden::N,зиян,damnum
520,Schaden::N,зиян,detrimentum
521,Schaden::N,зарал,damnum
522,Schaden::N,зарал,detrimentum
523,Unglück::N,балагь,miseria
524,Unglück::N,балагь,calamitas
525,Schuld::N,гӏайиб,culpa
526,Alter::N,гӏумру,aetas
527,Schluss::N,ахир,finis
528,Zeit::N,заман,tempus
529,Tag::N,къо,dies
530,Morgen::N,радалмех,mane
531,Mittag::N,къадемех,meridies
532,Abend::N,релъедамех,vesper
533,Nacht::N,сордо,nox
534,Woche::N,анкь,septimana
535,Monat::N,моцӏ,mensis
536,Jahr::N,сон,annus
537,Jahr::N,лъагӏел,annus
538,Frühling::N,их,ver
539,Sommer::N,рии,aestas
540,Herbst::N,хасалихълъи,autumnus
541,Winter::N,кьин,hiems
542,Januar::N,январь,Ianuarius
543,Februar::N,февра́ль,Februarius
544,März::N,март,Martius
545,April::N,апрель,Aprilis
546,Mai::N,май,Maius
547,Juni::N,июнь,Iunius
548,Juli::N,июль,Iulius
549,August::N,август,Augustus
550,September::N,сентябрь,September
551,Oktober::N,октябрь,Octobris
552,November::N,ноябрь,Novembris
553,Dezember::N,декабрь,December
554,Montag::N,итни,dies lunae
555,Dienstag::N,талат,dies Martis 
556,Mittwoch::N,арбагӏ,dies Mercurii
557,Donnerstag::N,хамиз,dies Iovis
558,Freitag::N,рузман,dies Veneris
559,Samstag::N,щамат,dies Saturni
560,Sonntag::N,гьатӏан,dominicus
561,Sonntag::N,гьатӏан,dies solis
562,groß::A,кӏудияб,magnus
563,klein::A,гьитӏинаб,parvus
564,lang::A,халатаб,longus
565,kurz::A,къокъаб,brevis
566,breit::A,гӏебаб,latus
567,schmal::A,къваридаб,angustus
568,dicht::A,ризаб,densus
569,dick[Gegenstand]::A,бицатаб,crassus
570,dünn::A,тӏеренаб,tenuis
571,fein::A,тӏеренаб,subtilis
572,fest::A,къвакӏараб,solidus
573,fest::A,къвакӏараб,stabilis
574,flach::A,чӏепараб,planus
575,glatt::A,цӏвакараб,levis
576,hart::A,кьварараб,durus
577,weich::A,тамахаб,mollis
578,rund::A,гургинаб,rotundus
579,spitz::A,бегӏераб,acutus
580,scharf::A,рекӏараб,acer
581,stumpf::A,тӏехӏараб,hebes
582,stumpf::A,рекӏинчӏеб,hebes
583,schwer::A,бакӏаб,gravis
584,schön::A,берцинаб,pulcher
585,schön::A,берцинаб,formosus
586,heiß::A,лагьараб,fervidus
587,warm::A,хинаб,calidus
588,kalt::A,квачараб,frigidus
589,kühl::A,квачараб,frigidus
590,frisch::A,цӏияб,recens
591,feucht::A,рагьараб,umidus
592,nass::A,би́ччараб,madidus
593,trocken::A,бакъвараб,aridus
594,leer::A,чӏобогояб,vacuus
595,offen::A,рагьараб,apertus
596,geschlossen::A,рахараб-къараб,clausus
597,sauber::A,бацӏцӏадаб,lautus
598,schmutzig::A,гъизараб,sordidus
599,roh::A,хамаб,crudus
600,roh::A,гӏатӏгояб,crudus
601,reif::A,барщараб,maturus
602,lecker::A,тӏагӏамаб,delicatus
603,süß::A,гьуинаб,dulcis
604,bitter::A,кьогӏаб,amarus
605,bitter::A,кьогӏаб,acerbus
606,sauer::A,цӏекӏаб,acidus
607,hell::A,канаб,clarus
608,dunkel::A,бецӏаб,obscurus
609,schwarz::A,чӏегӏераб,niger
610,weiß::A,хъахӏаб,albus
611,rot::A,багӏараб,ruber
612,gelb::A,гӏобилаб,flavus
613,gelb::A,тӏогьилаб,flavus
614,blau::A,хъахӏилаб,caeruleus
615,grün::A,гӏурччинаб,viridis
616,grau::A,накӏкӏуяб,canus
617,bunt::A,къвекӏаб,varius
618,bunt::A,чара-гъараб,varius
619,billig::A,учузаб,vilis
620,teuer::A,хири́яб,carus
621,wertvoll::A,къиматаб,pretiosus
622,blind::A,беццаб,caecus
623,taub::A,гъугъаб,surdus
624,kräftig::A,гучаб,robustus
625,stark::A,къуватаб,firmus
626,stark::A,къуватаб,validus
627,schwach::A,гӏажизаб,debilis
628,schwach::A,гӏажизаб,infirmus
629,fett::A,кьарияб,crassus
630,schlank::A,чергесаб,procerus
631,hübsch::A,гьайбатаб,pulcher
632,böse::A,ракӏквешаб,improbus
633,dumm::A,гьагаб,stultus
634,dumm::A,гьагаб,stupidus
635,dumm::A,гӏантаб,stultus
636,dumm::A,гӏантаб,stupidus
637,faul::A,кӏохӏалаб,piger
638,faul::A,кӏухӏа́лаб,piger
639,fleißig::A,хӏаракатаб,sedulus
640,geizig::A,къарумаб,avarus
641,klug::A,лумияб,prudens
642,geschickt::A,махщел бугев,sollers
643,lieb::A,гӏазизаб,carus
644,lustig::A,кепаб,iocosus
645,sanft::A,хӏалимаб,clemens
646,sanft::A,хӏере́наб,clemens
647,hungrig::A,бакъараб,impastus
648,krank::A,щокъаб,aeger
649,krank::A,унтараб,aeger
650,nackt::A,гӏицӏаб,nudus
651,nackt::A,чӏанкӏараб,nudus
652,traurig::A,пашманаб,maestus
653,lebendig::A,чӏагояб,vivus
654,gut::A,лъикӏаб,bonus
655,schlecht::A,къадараб,malus
656,richtig::A,битӏараб,rectus
657,schlimm::A,нажасаб,malus
658,schlimm::A,къабихӏаб,malus
659,wahr::A,хӏакъаб,verus
660,wahr::A,битӏараб,verus
661,alt::A,басрияб,antiquus
662,neu::A,цӏияб,novus
663,ehemalig::A,цебе́госеб,pristinus
664,alt[Lebewesen]::A,хераб,vetus
665,jung::A,тӏинчӏаб,iuvenis
666,jung::A,гӏолохъанаб,iuvenis
667,arm::A,пакъираб,pauper
668,reich::A,бечедаб,dives
669,bekannt::A,лъалеб,notus
670,berühmt::A,машгьураб,celeber
671,berühmt::A,машгьураб,illustris
672,fremd::A,чияр,peregrinus
673,verschieden::A,батӏи-батӏияб,varius
674,nah::A,гӏагарда бугеб,propinquus
675,fern::A,рикӏкӏадаб,longinquus
676,linker::A,квегӏаб,sinister
677,rechter::A,кваранаб,dexter
678,anderer::A,батӏияб,alius
679,erster::A,тӏоцебесеб,primus
680,zweiter::A,кӏиабилеб,secundus
681,dritter::A,лъабабилеб,tertius
682,letzter::A,ахирисеб,ultimus
683,allein::ADV,ялгъузго,solum
684,auf einmal::ADV,цихӏинтӏаго,simul
685,zusammen::ADV,цойида,una
686,plötzlich::ADV,цойидасанго,subito
687,plötzlich::ADV,цойидасанго,repente
688,sofort::ADV,гьебсагӏат,statim
689,jetzt::ADV,гьанже,nunc
690,heute::ADV,жакъа,hodie
691,morgen::ADV,метер,cras
692,bald::ADV,гьабсагӏаталъ,mox
693,dann::ADV,цинги,deinde
694,gestern::ADV,сон,heri
695,einst::ADV,цин,olim
696,damals::ADV,гьебмехалъ,tum
697,damals::ADV,гьебмехалда,tum
698,danach::ADV,цинги,postea
699,danach::ADV,хадуса,postea
700,vorher::ADV,цебе,antea
701,zuerst::ADV,тӏоцебе,primo
702,einmal::ADV,цинцӏул,semel
703,einmal::ADV,цихӏин,semel
704,einmal::ADV,цоцӏул,semel
705,manchmal::ADV,олоцӏул,interdum
706,oft::ADV,гӏемерго,saepe
707,immer::ADV,кидаго,semper
708,niemals::ADV,киданиги,numquam
709,hier::ADV,аниб,hic
710,hierhin::ADV,анибехун,huc
711,von hier::ADV,гьаниса,hinc
712,dort::ADV,гьениб,ibi
713,dorthin::ADV,гьадаба,eo
714,geradeaus::ADV,битӏутӏа,recte
715,vorwärts::ADV,цебехун,porro
716,rückwärts::ADV,нахъ-нахъ,retro
717,zurück::ADV,нахъе,retro
718,unten::ADV,ахакь,infra
719,unten::ADV,гъоркь,infra
720,hinab::ADV,эхебе,pessum
721,oben::ADV,тӏад,supra
722,oben::ADV,тӏадехун,supra
723,hinauf::ADV,эхеде,sursum
724,überall::ADV,кибго,ubique
725,ein wenig::ADV,дагьабго,paulum
726,kaum::ADV,хӏалалъ,vix
727,kaum::ADV,хӏалалъ,aegre
728,sehr::ADV,кутакалда,valde
729,sehr::ADV,кутакалда,magnopere
730,so::ADV,гьедин,ita
731,noch::ADV,жеги,etiam
732,nur::ADV,гӏӣцӏго,solum
733,nur::ADV,гӏӣцӏго,tantum
734,wieder::ADV,на́хъеги,rursus
735,vergebens::ADV,чӏалгӏаде,frustra
736,vor::PRP,цебе,ante
737,hinter::PRP,хадуса,post
738,unter::PRP,ахакь,sub
739,unter::PRP,гъоркь,sub
740,neben::PRP,аскӏо,iuxta
741,zwischen::PRP,гьоркьоб,inter
742,wegen::PRP,гьелда,propter
743,dies::PRN,гьаб,hoc
744,dies::PRN,гьеб,hoc
745,das::PRN,доб,id
746,ich::PRN,дун,ego
747,du::PRN,дуца,tu
748,er::PRN,доб,is
749,er::PRN,доб,ille
750,wir::PRN,ниж,nos
751,ihr::PRN,нуж,vos
752,sie::PRN,дол,ii
753,sie::PRN,дол,illi
754,sie::PRN,эл,ii
755,sie::PRN,эл,illi
756,was::FPRN,щиб,quid
757,wer::FPRN,щиб,quis
758,wo::FADV,киб,ubi
759,wo::FADV,кибехун,ubi
760,wohin::FADV,кибехун,quo
761,wie::FADV,кин,quomodo
762,warum::FADV,щай,cur
