,Concept_ID,hu,pt
418,Westen::N,nyugat,ocidente
419,Osten::N,kelet,este
420,Osten::N,kelet,leste
421,Osten::N,kelet,oriente
422,Holz::N,fa,madeira
423,Brett::N,deszka,tábua
424,Brett::N,deszka,prancha
425,Platte::N,lap,laje
426,Platte::N,lap,chapa
427,Platte::N,lemez,laje
428,Platte::N,lemez,chapa
429,Stütze::N,támasz,apoio
430,Stütze::N,támasz,suporte
431,Stütze::N,támaszték,apoio
432,Stütze::N,támaszték,suporte
433,Stange::N,rúd,vara
434,Stange::N,rúd,barra
435,Stange::N,pózna,vara
436,Stange::N,pózna,barra
437,Stock::N,pálca,pau
438,Stock::N,pálca,bengala
439,Stab::N,bot,bastão
440,Rohr::N,cső,cano
441,Haus::N,ház,casa
442,Heim::N,otthon,lar
443,Heim::N,otthon,casa
444,Ofen::N,kályha,estufa
445,Ofen::N,kályha,aquecedor
446,Fußboden::N,padló,piso
447,Tisch::N,asztal,mesa
448,Stuhl::N,szék,cadeira
449,Wiege::N,bölcső,berço
450,Bett::N,ágy,cama
451,Regal::N,polc,estante
452,Regal::N,polc,prateleira
453,Regal::N,állvány,estante
454,Regal::N,állvány,prateleira
455,Kiste::N,láda,caixa
456,Fenster::N,ablak,janela
457,Tür::N,ajtó,porta
458,Tor::N,kapu,portão
459,Zaun::N,kerítés,cerca
460,Zaun::N,kerítés,vedação
461,Dach::N,tető,telhado
462,Leiter::N,létra,escada
463,Leiter::N,létra,escada móvel
464,Besen::N,seprű,vassoura
465,Spaten::N,ásó,pá
466,Schaufel::N,lapát,pá
467,Gabel::N,villa,garfo
468,Löffel::N,kanál,colher
469,Messer::N,kés,faca
470,Nagel::N,szeg,cravo
471,Netz::N,háló,rede
472,Haken::N,kampó,gancho
473,Griff::N,nyél,asa
474,Griff::N,nyél,cabo
475,Griff::N,fogantyú,asa
476,Griff::N,fogantyú,cabo
477,Schloss::N,zár,fechadura
478,Bild::N,kép,imagem
479,Figur::N,alak,figura
480,Puppe::N,bábu,boneca
481,Beutel::N,zacskó,saco
482,Beutel::N,zacskó,bolsa
483,Bündel::N,köteg,fardo
484,Tasche::N,táska,saco
485,Tasche::N,táska,bolso
486,Eimer::N,vödör,balde
487,Deckel::N,fedő,tampa
488,Deckel::N,fedél,tampa
489,Geschirr::N,edény,louça
490,Sack::N,zsák,saca
491,Tasse::N,csésze,chávena
492,Topf::N,fazék,tacho
493,Topf::N,fazék,panela
494,Kessel::N,üst,caldeira
495,Kessel::N,bogrács,caldeira
496,Essen::N,evés,refeição
497,Essen::N,étkezés,refeição
498,Nahrung::N,ennivaló,comida
499,Nahrung::N,ennivaló,alimento
500,Speise::N,étel,prato
501,Fleisch::N,hús,carne
502,Getreide::N,gabona,cereais
503,Brei::N,pép,puré
504,Brei::N,kása,puré
505,Brot::N,kenyér,pão
506,Scheibe::N,szelet,fatia
507,Fett::N,háj,banha
508,Fett::N,háj,gordura
509,Fett::N,zsír,banha
510,Fett::N,zsír,gordura
511,Butter::N,vaj,manteiga
512,Öl::N,olaj,azeite
513,Salz::N,só,sal
514,Suppe::N,leves,sopa
515,Suppe::N,leves,caldo
516,Honig::N,méz,mel
517,Milch::N,tej,leite
518,Tee::N,tea,chá
519,Leder::N,bőr,couro
520,Wolle::N,gyapjú,lã
521,Stoff::N,szövet,pano
522,Stoff::N,szövet,tecido
523,Nadel::N,tű,agulha
524,Faden::N,fonál,fio
525,Knopf::N,gomb,botão
526,Knoten::N,csomó,nó
527,Farbe::N,szín,corante
528,Farbe::N,festék,corante
529,Kleidung::N,ruha,roupa
530,Kleidung::N,ruha,vestuário
531,Kleidung::N,ruházat,roupa
532,Kleidung::N,ruházat,vestuário
533,Hemd::N,ing,camisa
534,Kragen::N,gallér,gola
535,Ärmel::N,ujj,manga
536,Hose::N,gatya,calça
537,Hose::N,nadrág,calça
538,Gürtel::N,öv,cinto
539,Mütze::N,sapka,boné
540,Mütze::N,sapka,barrete
541,Schuh::N,cipő,sapato
542,Stiefel::N,csizma,bota
543,Ring::N,gyűrű,anel
544,Band::N,szalag,fita
545,Band::N,szalag,faixa
546,Kamm::N,fésű,pente
547,Spiegel::N,tükör,espelho
548,Riemen::N,szíj,correia
549,Schnur::N,zsinór,corda
550,Schnur::N,zsinór,cordel
551,Leine::N,póráz,trela
552,Decke::N,takaró,cobertor
553,Kissen::N,párna,almofada
554,Tuch::N,kendő,pano
555,Handtuch::N,törülköző,toalha
556,Kraft::N,erő,força
557,Stärke::N,erő,força
558,Stärke::N,erősség,força
559,Gesundheit::N,egészség,saúde
560,Krankheit::N,kór,doença
561,Krankheit::N,kór,enfermidade
562,Krankheit::N,betegség,doença
563,Krankheit::N,betegség,enfermidade
564,Schmerz::N,fájdalom,dor
565,Wunde::N,seb,chaga
566,Wunde::N,seb,ferida
567,Fieber::N,láz,febre
568,Arznei::N,orvosság,remédio
569,Arznei::N,gyógyszer,remédio
570,Brücke::N,híd,ponte
571,Brunnen::N,kút,poço
572,Weide::N,legelő,pastagem
573,Pfad::N,ösvény,senda
574,Pfad::N,ösvény,trilho
575,Weg::N,út,caminho
576,Straße::N,út,via
577,Straße::N,út,estrada
578,Dorf::N,falu,aldeia
579,Stadt::N,város,cidade
580,Brief::N,levél,carta
581,Buch::N,könyv,livro
582,Buchstabe::N,betű,letra
583,Zeitung::N,újság,jornal
584,Zeitung::N,hírlap,jornal
585,Leben::N,élet,vida
586,Tod::N,halál,morte
587,Grab::N,sír,túmulo
588,Grab::N,sír,sepultura
589,Kirche::N,templom,igreja
590,Sünde::N,bűn,pecado
591,Sünde::N,vétek,pecado
592,Gott::N,isten,deus
593,Arbeiter::N,munkás,operário
594,Arbeiter::N,munkás,trabalhador
595,Chef::N,főnök,chefe
596,Chef::N,főnök,patrão
597,Meister::N,mester,mestre
598,Arzt::N,orvos,médico
599,Lehrer::N,tanár,professor
600,Lehrer::N,tanító,professor
601,Geld::N,pénz,dinheiro
602,Geschäft::N,üzlet,negócio
603,Laden::N,bolt,loja
604,Preis::N,ár,preço
605,Ware::N,áru,mercadoria
606,Nutzen::N,haszon,proveito
607,Reichtum::N,gazdagság,riqueza
608,Welt::N,világ,mundo
609,Land::N,ország,país
610,Staat::N,állam,Estado
611,König::N,király,rei
