,Concept_ID,ca,tr
307,Rätsel::N,endevinalla,bilmece
308,Rede::N,discurs,söylev
309,Rede::N,discurs,konuşma
310,Sprache::N,llēngua,dil
311,Sprache::N,llēngua,lisan
312,Stimme::N,veu,ses
313,Wort::N,mot,kelime
314,Wort::N,paraula,kelime
315,Zeichen::N,signe,işaret
316,Zeichen::N,senyal,işaret
317,Ruf::N,crida,çağırma
318,Lärm::N,sorōll,şamata
319,Lärm::N,sorōll,gürültü
320,Laut::N,so,ses
321,Ton::N,to,ses
322,Lied::N,cançó,türkü
323,Ruhe::N,calma,sakinlik
324,Ruhe::N,silenci,sakinlik
325,Leute::N,gent,halk
326,Leute::N,gent,insanlar
327,Volk::N,poble,ulus
328,Volk::N,poble,millet
329,Arbeit::N,labor,iş
330,Arbeit::N,labor,çalışma
331,Arbeit::N,treball,iş
332,Arbeit::N,treball,çalışma
333,Gast::N,hoste,konuk
334,Gast::N,hoste,misafir
335,Geschenk::N,regal,hediye
336,Geschenk::N,regal,armağan
337,Geschenk::N,obsequi,hediye
338,Geschenk::N,obsequi,armağan
339,Spiel::N,joc,oyun
340,Gesellschaft::N,companyia,çevre
341,Gesellschaft::N,companyia,arkadaşlık
342,Hilfe::N,ajut,yardım
343,Freund::N,amīc,dost
344,Freund::N,amīc,arkadaş
345,Kamerad::N,company,arkadaş
346,Kamerad::N,camarada,arkadaş
347,Angelegenheit::N,afer,iş
348,Angelegenheit::N,afer,husus
349,Angelegenheit::N,assumpte,iş
350,Angelegenheit::N,assumpte,husus
351,Anzahl::N,nombre,sayı
352,Anzahl::N,quantitat,sayı
353,Art::N,tipus,çeşit
354,Art::N,classe,çeşit
355,Stück::N,peça,tane
356,Stück::N,peça,parça
357,Teil::N,part,kısım
358,Hälfte::N,meitat,yarı
359,Kreis::N,cercle,daire
360,Kreuz::N,creu,haç
361,Linie::N,línia,hat
362,Linie::N,línia,çizgi
363,Strich::N,traç,çizgi
364,Strich::N,ratlla,çizgi
365,Abstand::N,distància,aralık
366,Entfernung::N,distància,mesafe
367,Entfernung::N,distància,uzaklık
368,Gegend::N,regió,yöre
369,Gegend::N,contrada,yöre
370,Platz::N,cabuda,yer
371,Ort::N,lloc,yer
372,Seite::N,banda,yan
373,Seite::N,banda,taraf
374,Seite::N,costāt,yan
375,Seite::N,costāt,taraf
376,Mitte::N,mig,orta
377,Mitte::N,mig,merkez
378,Mitte::N,centre,orta
379,Mitte::N,centre,merkez
380,Gegenstand::N,objecte,şey
381,Sache::N,cosa,iş
382,Sache::N,cosa,şey
383,Rand::N,vora,kenar
384,Rand::N,marge,kenar
385,Kante::N,caire,kenar
386,Kante::N,cantell,kenar
387,Ecke::N,cantonada,köşe
388,Spitze::N,punta,uç
389,Spitze::N,punta,baş
390,Ende::N,cap,uç
391,Loch::N,forāt,oyuk
392,Loch::N,forāt,delik
393,Winkel::N,racó,köşe
394,Muster::N,dibuix,örnek
395,Muster::N,disseny,örnek
396,Größe::N,grandària,büyüklük
397,Länge::N,longitud,uzunluk
398,Höhe::N,altura,yükseklik
399,Höhe::N,altitud,yükseklik
400,Gewicht::N,pes,ağırlık
401,Menge::N,quantitat,miktar
402,Haufen::N,pila,küme
403,Haufen::N,pila,yığın
404,Reihe::N,fila,sıra
405,Boot::N,bot,kayık
406,Boot::N,bot,sandal
407,Boot::N,barca,kayık
408,Boot::N,barca,sandal
409,Ruder::N,rem,kürek
410,Schlitten::N,trineu,kızak
411,Ski::N,esquí,kayak
412,Lagerfeuer::N,foc de campament,kamp ateşi
413,Last::N,càrrega,yük
414,Gang::N,marxa,gidiş
415,Gang::N,marxa,yürüyüş
416,Schritt::N,pas,adım
417,Norden::N,nord,kuzey
418,Süden::N,sud,güney
419,Westen::N,oest,batı
420,Westen::N,occident,batı
421,Osten::N,est,doğu
422,Osten::N,orient,doğu
423,Holz::N,fusta,ağaç
424,Holz::N,fusta,tahta
425,Brett::N,taula,tahta
426,Platte::N,placa,levha
427,Stütze::N,suport,dayak
428,Stütze::N,suport,destek
429,Stange::N,vara,çubuk
430,Stock::N,pal,sopa
431,Stock::N,pal,değnek
432,Stab::N,bastó,sırık
433,Stab::N,bastó,baston
434,Rohr::N,tub,boru
435,Haus::N,casa,ev
436,Heim::N,llar,ev
437,Heim::N,llar,yurt
438,Ofen::N,estufa,soba
439,Fußboden::N,terra,taban
440,Fußboden::N,terra,döşeme
441,Tisch::N,taula,masa
442,Stuhl::N,cadira,iskemle
443,Stuhl::N,cadira,sandalye
444,Wiege::N,bressol,beşik
445,Bett::N,llit,yatak
446,Regal::N,prestatgeria,raf
447,Kiste::N,caixa,sandık
448,Fenster::N,finestra,pencere
449,Tür::N,porta,kapı
450,Tor::N,portal,kapı
451,Zaun::N,tanca,çit
452,Dach::N,teulada,dam
453,Dach::N,teulada,çatı
454,Leiter::N,escala,merdiven
455,Leiter::N,escala de mà,merdiven
456,Besen::N,escombra,süpürge
457,Spaten::N,pala,bel
458,Schaufel::N,pala,kürek
459,Gabel::N,forquilla,çatal
460,Löffel::N,cullera,kaşık
461,Messer::N,coltell,bıçak
462,Nagel::N,clau,çivi
463,Netz::N,filat,ağ
464,Haken::N,ganxo,çengel
465,Griff::N,puny,kulp
466,Griff::N,puny,tutamak
467,Griff::N,mànec,kulp
468,Griff::N,mànec,tutamak
469,Schloss::N,pany,kilit
470,Bild::N,imatge,imaj
471,Bild::N,imatge,resim
