,Concept_ID,bn,sq
60,Himmel::N,আকাশ,qiell
61,Sonne::N,সূর্য,diell
62,Mond::N,চন্দ্র,hënë
63,Stern::N,নক্ষত্র,yll
64,Luft::N,বায়ু,ajër
65,Wind::N,বাতাস,erë
66,Welle::N,ঢেউ,valë
67,Welle::N,ঢেউ,dallgë
68,Welle::N,তরঙ্গ,valë
69,Welle::N,তরঙ্গ,dallgë
70,Wasser::N,জল,ujë
71,Stein::N,ঢিল,gur
72,Stein::N,প্রস্তর,gur
73,Boden::N,ভূতল,tokë
74,Boden::N,ভূতল,truall
75,Erde::N,ভূমি,dhe
76,Erde::N,ভূমি,baltë
77,Staub::N,ধুলা,pluhur
78,Rauch::N,ধোঁয়া,tym
79,Funke::N,স্ফুলিঙ্গ,xixë
80,Funke::N,স্ফুলিঙ্গ,shkëndijë
81,Feuer::N,অগ্নি,zjarr
82,Licht::N,আলো,dritë
83,Schatten::N,ছায়া,hije
84,Wetter::N,আবহাওয়া,mot
85,Nebel::N,কুহেলিকা,mjegull
86,Wolke::N,মেঘ,re
87,Regen::N,বৃষ্টি,shi
88,Schnee::N,তুষার,borë
89,Eis::N,বরফ,akull
90,Frost::N,তুষার,ngricë
91,Kälte::N,শৈত্য,të ftohtë
92,Hitze::N,তাপ,vapë
93,Hitze::N,তাপ,nxehtësi
94,Raureif::N,তুহিন,cikmë
95,Regenbogen::N,রামধনু,ylber
96,Donner::N,বজ্রধ্বনি,gjëmim
97,Donner::N,বজ্রধ্বনি,bubullimë
98,Strömung::N,স্রোত,rrymë
99,Tropfen::N,ফোঁটা,pikë
100,Schaum::N,ফেনা,shkumë
101,Schmutz::N,ধুলা,baltë
102,See::N,হ্রদ,liqen
103,Sumpf::N,জলা,batak
104,Moor::N,মাঠ,kënetë
105,Wiese::N,তৃণভূমি,livadh
106,Wald::N,বন,pyll
107,Hügel::N,পাহাড়,kodër
108,Anhöhe::N,টিলা,bregore
109,Berg::N,পর্বত,mal
110,Gipfel::N,শীর্ষ,kulm
111,Höhle::N,গুহা,shpellë
112,Höhle::N,গুহা,zgafelle
113,Abhang::N,ঢাল,shpat
114,Abhang::N,ঢাল,tatëpjetë
115,Quelle::N,উৎস,krua
116,Quelle::N,উৎস,burim
117,Bach::N,ক্ষুদ্র নদী,virua
118,Fluss::N,নদী,lumë
119,Ufer::N,উপকূল,breg
120,Küste::N,তীর,anëdet
121,Küste::N,তীর,bregdet
122,Festland::N,ভূমি,kontinent
123,Meer::N,সমুদ্র,det
124,Bucht::N,উপসাগর,gji deti
125,Insel::N,দ্বীপ,ishull
126,Insel::N,দ্বীপ,ujdhesë
127,Blume::N,ফুল,lule
128,Gras::N,ঘাস,bar
129,Wurzel::N,শিকড়,rrënjë
130,Baum::N,গাছ,pemë
131,Stamm::N,স্কন্ধ,trung
132,Rinde::N,বল্কল,lëvore
133,Ast::N,শাখা,degë
134,Zweig::N,ডাল,bisk
135,Blatt::N,পর্ণ,fletë
136,Blatt::N,পর্ণ,gjethe
137,Birke::N,ভুর্জ,mështekën
138,Kiefer[Baum]::N,পাইন গাছ,pishë
139,Weide[Baum]::N,উইলো,shelg
140,Tanne::N,দেবদারূ গাছ,bredh
141,Horn::N,শিং,bri
142,Feder::N,পালক,pupël
143,Fell::N,রোম,lëkurë
144,Flügel::N,ডানা,krah
145,Flügel::N,ডানা,fletë
146,Klaue::N,নখর,kthetër
147,Kralle::N,নখর,thua
148,Kralle::N,নখর,kthetër
149,Schwanz::N,লেজ,bisht
150,Ei::N,ডিম,vezë
151,Nest::N,কুলায়,fole
152,Bau::N,ডেরা,strofkë
153,Tier::N,জন্তু,kafshë
154,Herde::N,ঝাঁক,kope
155,Herde::N,ঝাঁক,grigjë
156,Kuh::N,গোরু,lopë
157,Bulle::N,বৃষ,dem
158,Pferd::N,ঘোড়া,kalë
159,Schaf::N,ভেড়া,dele
160,Schwein::N,শূকর,derr
161,Hund::N,কুকুর,qen
162,Katze::N,বেড়াল,mace
163,Bär::N,ভল্লুক,ari
164,Eichhörnchen::N,কাঠবিড়াল,ketër
165,Elch::N,হরিণবিশেষ,dre brilopatë
166,Fuchs::N,পাঁতিশিয়াল,dhelpër
167,Hase::N,শশক,lepur
168,Maus::N,নেংটি ইঁদুর,mi
169,Wolf::N,নেকড়ে,ujk
170,Vogel::N,পক্ষী,zog
171,Vogel::N,পক্ষী,shpend
172,Schwarm::N,ঝাঁক,luzmë
173,Huhn::N,মোরগ,pulë
174,Hahn::N,কুক্কুট,gjel
175,Hahn::N,কুক্কুট,këndes
176,Gans::N,হংসী,patë
177,Adler::N,ইগল,shqiponjë
178,Ente::N,হংসী,rosë
179,Eule::N,পেচক,buf
180,Kranich::N,সারস,lejlek
181,Kranich::N,সারস,kurrillë
182,Krähe::N,কাক,sorrë
183,Kuckuck::N,কোকিল,qyqe
184,Schwan::N,মরাল,mjellmë
185,Fisch::N,মাছ,peshk
186,Barsch::N,মৎন্যবিশেষ,purtekë
187,Hecht::N,বানমাছ,mlysh
188,Schlange[Tier]::N,সর্প,gjarpër
189,Wurm::N,কীট,krimb
190,Spinne::N,মাকড়সা,marimangë
191,Ameise::N,পিপীলিকা,thnegël
192,Ameise::N,পিপীলিকা,milingonë
193,Laus::N,উকুন,morr
194,Mücke::N,মশা,kunup
195,Mücke::N,মশা,mushkonjë
196,Fliege::N,মাছি,mizë
197,Schmetterling::N,প্রজাপতি,flutur
198,Beere::N,বেরি,frutë
199,Beere::N,বেরি,manaferrë
200,Apfel::N,আপেল,mollë
201,Pilz::N,ছত্রক,kërpudhë
202,Zwiebel::N,পিয়াজ,qepë
203,Saat::N,বীজ,farë
204,Korn::N,শস্য,grurë
205,Korn::N,শস্য,kokërr
206,Heu::N,খড়,sanë
207,Schale::N,খোসা,lëkurë
208,Grube::N,গর্ত,gropë
209,Falle::N,ফাঁদ,kurth
210,Falle::N,ফাঁদ,grackë
211,Schlinge::N,পাশ,nyjë
212,Spur::N,চিহ্ন,gjurmë
213,Asche::N,ভস্ম,hi
214,Dreck::N,ময়লা,baltë
215,Eisen::N,লোহা,hekur
216,Gold::N,স্বর্ণ,ar
217,Gold::N,স্বর্ণ,flori
218,Silber::N,রৌপ্য,argjend
219,Kohle::N,অঙ্গার,qymyr
220,Glas::N,কাচ,qelq
221,Lehm::N,মৃত্তিকা,argjilë
222,Sand::N,বালি,rërë
223,Mensch::N,নর,njeri
224,Mensch::N,মানুষ,njeri
225,Mann::N,মানুষ,burrë
226,Mann::N,মানুষ,mashkull
227,Frau::N,নারী,grua
228,Frau::N,নারী,femër
229,Kind::N,বাচ্চা,kalama
230,Junge::N,ছেলে,djalë
231,Mädchen::N,মেয়ে,gocë
232,Mädchen::N,মেয়ে,vajzë
233,Familie::N,পরিবার,familje
234,Großvater::N,মাতামহ,gjysh
235,Großmutter::N,মাতামহী,gjyshe
236,Eltern::N,মাতাপিতা,prindër
237,Vater::N,পিতা,atë
238,Mutter::N,মাতা,nënë
239,Sohn::N,ছেলে,bir
240,Tochter::N,মেয়ে,bijë
241,Bruder::N,দাদা,vëlla
242,Schwester::N,বোন,motër
243,Schwester::N,দিদি,motër
244,Onkel::N,মামা,dajë
245,Onkel::N,মামা,xhaxha
246,Tante::N,মাসী,teze
247,Tante::N,মাসী,hallë
248,Ehemann::N,স্বামী,burrë
249,Ehemann::N,স্বামী,bashkëshort
250,Ehefrau::N,পত্নী,grua
251,Ehefrau::N,পত্নী,bashkëshorte
252,Freude::N,উল্লাস,gaz
253,Freude::N,উল্লাস,gëzim
254,Gelächter::N,হাসি,qeshje
255,Glück::N,সুখ,lumturi
256,Kummer::N,দুঃখ,brengë
257,Kummer::N,দুঃখ,pikëllim
258,Wunsch::N,আকাঙ্ক্ষা,dëshirë
259,Lust::N,বাসনা,epsh
260,Lust::N,বাসনা,dashuri
261,Geist::N,আত্না,frymë
262,Geist::N,আত্না,shpirt
263,Gedanke::N,চিন্তা,ide
264,Gedanke::N,চিন্তা,mendim
265,Gedächtnis::N,স্মরণশক্তি,kujtesë
266,Verstand::N,মন,mend
267,Sinn::N,পদার্থ,kuptim
268,Grund::N,কারণ,arsye
269,Wahrheit::N,সত্য,vërtetë
270,Gespräch::N,কথাবার্তা,bisedim
271,Märchen::N,রূপকথা,përrallë
272,Erzählung::N,গল্প,tregim
273,Nachricht::N,তথ্য,lajm
274,Neuigkeit::N,খবরাখবর,risi
275,Name::N,নাম,emër
276,Rätsel::N,ধাঁধা,gjëzë
277,Rätsel::N,ধাঁধা,gjëegjëzë
278,Rede::N,বক্তৃতা,fjalim
279,Sprache::N,ভাষা,gjuhë
280,Stimme::N,স্বর,zë
281,Wort::N,শব্দ,fjalë
282,Zeichen::N,প্রতীক,shenjë
283,Ruf::N,ডাক,thirrmë
284,Lärm::N,হৈচৈ,zhurmë
285,Laut::N,ধ্বনি,tingull
286,Ton::N,স্বর,ton
287,Lied::N,গান,këngë
288,Ruhe::N,শান্তি,qetësi
289,Leute::N,প্রজাপুঞ্জ,botë
290,Leute::N,প্রজাপুঞ্জ,njerëz
291,Volk::N,জাতি,popull
292,Arbeit::N,চাকরি,punë
293,Gast::N,অতিথি,mik
294,Gast::N,অতিথি,mysafir
295,Geschenk::N,উপহার,dhuratë
296,Geschenk::N,উপহার,peshqesh
297,Spiel::N,খেলা,lojë
298,Gesellschaft::N,সঙ্গিগণ,shoqëri
299,Hilfe::N,সাহায্য,ndihmë
300,Freund::N,বন্ধু,mik
301,Kamerad::N,সঙ্গী,shok
302,Angelegenheit::N,বিষয়,punë
303,Anzahl::N,পরিমাণ,sasi
304,Art::N,রকম,lloj
305,Stück::N,টুকরো,copë
306,Teil::N,অংশ,pjesë
307,Hälfte::N,অর্ধেক,gjysmë
308,Kreis::N,বৃত্ত,qark
309,Kreis::N,বৃত্ত,rreth
310,Kreuz::N,ক্রুশ,kryq
311,Linie::N,রেখা,vijë
312,Strich::N,কষি,vizë
313,Abstand::N,ফাঁক,distancë
314,Entfernung::N,ব্যবধান,largim
315,Gegend::N,ক্ষেত্র,vise
316,Gegend::N,ক্ষেত্র,krahinë
317,Platz::N,জায়গা,shesh
318,Ort::N,স্থান,vend
319,Seite::N,পার্শ্ব,anë
320,Mitte::N,মধ্য,mes
321,Gegenstand::N,জিনিস,send
322,Sache::N,বস্তু,gjë
323,Sache::N,বস্তু,send
324,Rand::N,কানা,qoshe
325,Kante::N,ধার,teh
326,Ecke::N,কোণ,qoshe
327,Spitze::N,ডগা,majë
328,Ende::N,প্রান্ত,skaj
329,Ende::N,প্রান্ত,bisht
330,Loch::N,গর্ত,vrimë
331,Winkel::N,কোণ,kënd
332,Muster::N,নমুন্,mostër
333,Größe::N,আয়তন,madhësi
334,Länge::N,দৈর্ঘ্য,gjatësi
335,Höhe::N,উচ্চতা,lartësi
336,Gewicht::N,ওজন,peshë
337,Menge::N,পরিমাণ,sasi
338,Haufen::N,পুঞ্জ,grumbull
339,Reihe::N,শ্রেণী,radhë
340,Reihe::N,শ্রেণী,rresht
341,Boot::N,নৌকা,barkë
342,Boot::N,নৌকা,lundër
343,Ruder::N,দাঁড়,rrem
344,Schlitten::N,স্নেজ্-গাড়ি,sajë
345,Ski::N,শী,ski
346,Lagerfeuer::N,অগ্নি,flakadan
347,Lagerfeuer::N,অগ্নি,zjarr i madh
348,Last::N,বোঝা,barrë
349,Gang::N,হণ্টন,ecje
350,Schritt::N,পদ,hap
351,Norden::N,উত্তরদিক্,veri
352,Süden::N,দক্ষিণদিক,jug
353,Westen::N,পশ্চিমদিক্,perëndim
354,Osten::N,পূর্বদিক,lindje
355,Holz::N,কাঠ,dru
356,Brett::N,তক্তা,dërrasë
357,Platte::N,ফলক,pllakë
358,Stütze::N,নাগদণ্ড,shtyllë
359,Stütze::N,নাগদণ্ড,mbështetesë
360,Stange::N,দণ্ড,shufër
361,Stock::N,ছড়ি,dajak
362,Stab::N,যষ্টি,shkop
363,Rohr::N,নল,tub
364,Haus::N,ঘর,shtëpi
365,Heim::N,বাসা,konak
366,Heim::N,বাসা,shtëpi
367,Ofen::N,স্টোভ্,sobë
368,Ofen::N,স্টোভ্,stufë
369,Fußboden::N,গহতল,dysheme
370,Tisch::N,মেজ,tryezë
371,Tisch::N,টেবিল,tryezë
372,Stuhl::N,চেয়ার,karrige
373,Stuhl::N,কেদারা,karrige
374,Wiege::N,দোলনা,djep
375,Bett::N,শয্যা,shtrat
376,Regal::N,তাক,raft
377,Kiste::N,বাক্স,kuti
378,Fenster::N,জানালা,dritare
379,Tür::N,দ্বার,derë
380,Tor::N,দ্বার,portë
381,Zaun::N,বেড়া,gardh
382,Dach::N,ছাদ,çati
383,Leiter::N,মই,shkallë
384,Besen::N,গুল্মবিশেষ,fshesë
385,Spaten::N,কোদাল,lopatë
386,Schaufel::N,বেলচা,qyrek
387,Gabel::N,কাঁটা,pirun
388,Löffel::N,চামচ,lugë
389,Messer::N,ছুরি,thikë
390,Nagel::N,পেরেক,gozhdë
391,Netz::N,জাল,rrjetë
392,Haken::N,কাচি,grep
393,Haken::N,কাচি,grremç
394,Griff::N,হাতল,dorak
395,Griff::N,হাতল,dorezë
396,Schloss::N,তালা,bravë
397,Bild::N,ছবি,tablo
398,Bild::N,ছবি,pikturë
399,Bild::N,চিত্র,tablo
400,Bild::N,চিত্র,pikturë
401,Figur::N,আকার,figurë
402,Puppe::N,পুতুল,kukull
403,Beutel::N,বটুয়া,qese
404,Beutel::N,বটুয়া,trastë
405,Bündel::N,আঁটি,deng
406,Tasche::N,থলি,çantë
407,Eimer::N,বাল্তি,kovë
408,Deckel::N,আবরণ,kapak
409,Deckel::N,আবরণ,mbulesë
410,Geschirr::N,থালা-বাসন,enë
411,Sack::N,বস্তা,thes
412,Sack::N,বস্তা,torbë
413,Tasse::N,কাপ,filxhan
414,Topf::N,পাত্র,kusi
415,Topf::N,পাত্র,tenxhere
416,Kessel::N,কেটলি,kazan
417,Essen::N,আহার,ngrënie
418,Nahrung::N,খাদ্য,ushqim
419,Speise::N,খাদ্য,gatesë
420,Fleisch::N,মাংস,mish
421,Getreide::N,শস্য,drithë
422,Brei::N,মণ্ড,qull
423,Brot::N,রুটি,bukë
424,Scheibe::N,ফালি,fetë
425,Fett::N,মেদ,lyrë
426,Fett::N,মেদ,yndyrë
427,Butter::N,মাখন,gjalpë
428,Öl::N,তৈল,vaj
429,Salz::N,নুন,kripë
430,Suppe::N,শুরুয়া,supë
431,Suppe::N,শুরুয়া,çorbë
432,Honig::N,মধু,mjaltë
433,Milch::N,দুধ,qumësht
434,Tee::N,চা,çaj
435,Leder::N,পাকা চামড়া,lëkurë
436,Wolle::N,পশম,lesh
437,Stoff::N,বস্ত্র,pëlhurë
438,Nadel::N,সুচ,gjilpërë
439,Faden::N,সূত্র,pe
440,Faden::N,সূত্র,fije
441,Knopf::N,বোতাম,kopsë
442,Knoten::N,গিঁট,komb
443,Farbe::N,রং,bojë
444,Kleidung::N,কাপড়,veshje
445,Hemd::N,শার্ট,këmishë
446,Kragen::N,গলবন্ধ,jakë
447,Ärmel::N,আস্তিন্,mëngë
448,Hose::N,ট্রাউজার,brekë
449,Gürtel::N,কটিবন্ধ,rrip
450,Mütze::N,টুপি,kësulë
451,Schuh::N,জুতো,këpucë
452,Stiefel::N,বুট,çizme
453,Ring::N,আংটি,unazë
454,Band::N,ফিতা,shirit
455,Kamm::N,চিরুনি,krehër
456,Spiegel::N,আয়না,pasqyrë
457,Riemen::N,চাবুক,rrip
458,Schnur::N,দড়ি,litar
459,Schnur::N,দড়ি,cikomë
460,Leine::N,শিকল,rrip
461,Decke::N,কম্বল,batanije
462,Kissen::N,উপাধান,jastëk
463,Tuch::N,বস্ত্র,shami
464,Handtuch::N,তোয়ালে,peshqir
465,Kraft::N,জোর,forcë
466,Stärke::N,শক্তি,koll
467,Gesundheit::N,স্বাস্থ্য,shëndet
468,Krankheit::N,অসুখ,sëmundje
469,Krankheit::N,ব্যামো,sëmundje
470,Schmerz::N,যন্ত্রণা,dhimbje
471,Wunde::N,ক্ষত,plagë
472,Fieber::N,জ্বর,ethe
473,Arznei::N,ঔষধ,ilaç
474,Brücke::N,সেতু,urë
475,Brunnen::N,কূপ,pus
476,Weide::N,পশুচারণভূমি,kullotë
477,Pfad::N,পথ,ravë
478,Pfad::N,পথ,shteg
479,Weg::N,পথ,udhë
480,Weg::N,পথ,shteg
481,Straße::N,রাস্তা,rrugë
482,Dorf::N,গ্রাম,fshat
483,Dorf::N,গ্রাম,katund
484,Stadt::N,শহর,qytet
485,Brief::N,চিঠি,letër
486,Buch::N,বই,libër
487,Buchstabe::N,অক্ষর,shkronjë
488,Zeitung::N,সংবাদপত্র,gazetë
489,Leben::N,জীবন,jetë
490,Tod::N,মৃত্যু,mortje
491,Grab::N,কবর,varr
492,Kirche::N,গির্জা,kishë
493,Sünde::N,পাপ,mëkat
494,Sünde::N,পাপ,gjynah
495,Gott::N,দেবতা,hy
496,Gott::N,দেবতা,zot
497,Arbeiter::N,শ্রমিক,punëtor
498,Chef::N,নেতা,shef
499,Chef::N,নেতা,drejtues
500,Meister::N,ব্যক্তি,mjeshtër
501,Arzt::N,চিকিৎসক,mjek
502,Arzt::N,চিকিৎসক,doktor
503,Lehrer::N,অধ্যাপক,mësues
504,Lehrer::N,অধ্যাপক,arsimtar
505,Geld::N,মুদ্রা,para
506,Geld::N,মুদ্রা,holla
507,Geld::N,টাকাপয়সা,para
508,Geld::N,টাকাপয়সা,holla
509,Geschäft::N,ব্যস্ততা,ujdi
510,Geschäft::N,ব্যস্ততা,biznes
511,Laden::N,দোকান,dyqan
512,Preis::N,মূল্য,çmim
513,Ware::N,পণ্যদ্রব্য,mall
514,Nutzen::N,সুবিধা,dobi
515,Nutzen::N,সুবিধা,leverdi
516,Reichtum::N,ধনদৌলত,kamje
517,Reichtum::N,ধনদৌলত,pasuri
518,Welt::N,জগৎ,botë
519,Land::N,খেত,vend
520,Staat::N,রাষ্ট্র,shtet
521,König::N,রাজা,mbret
522,Macht::N,প্রভাব,fuqi
523,Macht::N,প্রভাব,pushtet
524,Grenze::N,সীমা,kufi
525,Krieg::N,যুদ্ধ,luftë
526,Feind::N,শত্রু,armik
527,Gewalt::N,জোর,dhunë
528,Kampf::N,লড়াই,luftim
529,Bogen[Waffe]::N,ধনুক,hark
530,Pfeil::N,বাণ,shigjetë
531,Gewehr::N,বন্দুক,pushkë
532,Fehler::N,ভুল,gafë
533,Fehler::N,ভুল,gabim
534,Lüge::N,মিথ্যা,gënjeshtër
535,Schaden::N,ক্ষতি,dëm
536,Schaden::N,ক্ষতি,zarar
537,Unglück::N,দুর্ভাগ্য,fatkeqësi
538,Schuld::N,অপরাধ,faj
539,Alter::N,আয়ু,moshë
540,Schluss::N,শেষ,fund
541,Zeit::N,সময়,kohë
542,Tag::N,দিন,ditë
543,Morgen::N,সকাল,mëngjes
544,Mittag::N,মধ্যাহু,mesditë
545,Abend::N,সন্ধ্যা,mbrëmje
546,Nacht::N,রাত্রি,natë
547,Woche::N,সপ্তাহ,javë
548,Monat::N,মাস,muaj
549,Jahr::N,সৌরবর্ষ,vit
550,Frühling::N,বসন্তকাল,pranverë
551,Sommer::N,গ্রীষ্মকাল,verë
552,Herbst::N,শরংঋতু,vjeshtë
553,Winter::N,শীতকাল,dimër
554,Januar::N,জানুয়ারী,janar
555,Februar::N,ফেব্রুয়ারী,shkurt
556,März::N,মার্চ,mars
557,April::N,এপ্রিল,prill
558,Mai::N,মে,maj
559,Juni::N,জুন,qershor
560,Juli::N,জুলাই,korrik
561,August::N,অগাস্ট,gusht
562,September::N,সেপ্টেম্বর,shtator
563,Oktober::N,অক্টোবর,tetor
564,November::N,নভেম্বর,nëntor
565,Dezember::N,ডিসেম্বর,dhjetor
566,Montag::N,সোমবার,hënë
567,Dienstag::N,মঙ্গলবার,martë
568,Mittwoch::N,বুধবার,mërkurë
569,Donnerstag::N,বৃহম্পতিবার,enjte
570,Freitag::N,শুক্রবার,premte
571,Samstag::N,শনিবার,shtunë
572,Sonntag::N,রবিবার,diel
573,groß::A,বৃহৎ,madh
574,klein::A,ছোট,vogël
575,lang::A,দীর্ঘ,gjatë
576,kurz::A,খর্ব,shkurtër
577,kurz::A,হ্রস্ব,shkurtër
578,breit::A,চওড়া,gjerë
579,schmal::A,সরু,ngushtë
580,dicht::A,ঘন,dendur
581,dick[Gegenstand]::A,পুরু,trashë
582,dünn::A,কৃশ,hollë
583,fein::A,সূক্ষ্ম,imët
584,fest::A,দৃঢ়,fortë
585,flach::A,সমতল,sheshtë
586,glatt::A,মসৃণ,rrafshët
587,hart::A,শক্ত,fortë
588,weich::A,নরম,butë
589,rund::A,গোলাকার,rrumbullakët
590,spitz::A,তীক্ষ্ন,majëmprehtë
591,scharf::A,শাণিত,mprehtë
592,stumpf::A,ভোঁতা,topitur
593,schwer::A,ভারী,rëndë
594,schön::A,সুন্দর,bukur
595,heiß::A,গরম,nxehtë
596,warm::A,ঈষদুষ্ণ,ngrohtë
597,kalt::A,ঠাণ্ডা,ftohtë
598,kühl::A,শীতল,freskët
599,frisch::A,তাজা,pastër
600,feucht::A,ভিজা,lagësht
601,nass::A,ভিজা,lagur
602,trocken::A,শুষ্ক,thatë
603,voll::A,পূর্ণ,plotë
604,leer::A,খালি,bosh
605,leer::A,খালি,zbrazët
606,offen::A,খোলা,hapur
607,geschlossen::A,বন্ধ,mbyllur
608,sauber::A,নির্মল,dëlirë
609,schmutzig::A,নোংরা,ndyrë
610,roh::A,কাঁচা,gjallë
611,reif::A,পাকা,arrirë
612,lecker::A,সুস্বাদ,shijshëm
613,süß::A,মিষ্ট,ëmbël
614,bitter::A,তিক্ত,hidhur
615,sauer::A,টক,thartë
616,hell::A,উজ্জ্বল,me dritë
617,dunkel::A,অন্ধকারময়,errët
618,schwarz::A,কালো,i zi
619,weiß::A,সাদা,bardhë
620,rot::A,লাল,kuq
621,gelb::A,হলদে,verdhë
622,blau::A,নীল,blu
623,blau::A,নীল,kaltër
624,grün::A,সবুজ,blertë
625,grün::A,সবুজ,gjelbër
626,grau::A,ছাই-রঙা,hirtë
627,grau::A,ছাই-রঙা,bojë hiri
628,bunt::A,রঙিন,shumëngjyrëshëm
629,billig::A,সস্তা,lirë
630,teuer::A,আক্রা,shtrenjtë
631,wertvoll::A,মহার্ঘ,çmuar
632,wertvoll::A,মহার্ঘ,vlershëm
633,blind::A,কানা,qorr
634,blind::A,কানা,verbër
635,taub::A,বধির,shurdhër
636,kräftig::A,বিশাল,fuqishëm
637,stark::A,শক্তিশালী,fortë
638,schwach::A,দুর্বল,dobët
639,fett::A,মোটা,dhjamur
640,schlank::A,কৃশ,hollë
641,hübsch::A,সুন্দর,bukur
642,hübsch::A,সুন্দর,hijshëm
643,böse::A,খারাপ,keq
644,dumm::A,মূর্খ,teveqel
645,faul::A,শ্রমবিমুখ,dembel
646,fleißig::A,পরিশ্রমী,zellshëm
647,geizig::A,ব্যয়কুণ্ঠ,kurnac
648,geizig::A,ব্যয়কুণ্ঠ,dorështrënguar
649,klug::A,দক্ষ,mençur
650,geschickt::A,পটু,aftë
651,lieb::A,প্রেয়,dashur
652,lustig::A,প্রফুল্ল,gëzuar
653,sanft::A,নম্র,butë
654,hungrig::A,ক্ষুধার্ত,uritur
655,krank::A,অসুস্থ,sëmurë
656,nackt::A,উলঙ্গ,lakuriq
657,nackt::A,উলঙ্গ,zhveshur
658,traurig::A,দুঃখিত,trishtuar
659,lebendig::A,জীবিত,gjallë
660,gut::A,ভালো,mirë
661,schlecht::A,মন্দ,keq
662,richtig::A,ঠিক,drejtë
663,schlimm::A,কদর্য,keq
664,wahr::A,বাস্তব,vërtetë
665,alt::A,পুরাতন,vjetër
666,neu::A,নব,i ri
667,neu::A,নূতন,i ri
668,ehemalig::A,পূর্বকালীন,dikurshëm
669,alt[Lebewesen]::A,বৃদ্ধ,plak
670,jung::A,তরুণ,i ri
671,arm::A,ক্ষুদ্র,varfër
672,arm::A,ক্ষুদ্র,vobektë
673,reich::A,ধনবান্,pasur
674,bekannt::A,সুপরিচিত,njohur
675,berühmt::A,বিখ্যাত,famshëm
676,fremd::A,বিদেশি,huaj
677,verschieden::A,বিসদৃশ,ndryshëm
678,nah::A,নিকটবতী,afërt
679,fern::A,দুরবতী,largët
680,linker::A,বাম,majtë
681,rechter::A,ডান,djathtë
682,rechter::A,ডাইন,djathtë
683,anderer::A,অন্যতর,tjetër
684,erster::A,প্রথম,parë
685,zweiter::A,দ্বিতীয়,dytë
686,dritter::A,তৃতীয়,i tretë
687,letzter::A,সর্বশেষ,fundit
688,allein::ADV,একক,vetëm
689,auf einmal::ADV,জলদি,njëkohësisht
690,zusammen::ADV,একসঙ্গে,bashkë
691,zusammen::ADV,একসঙ্গে,së bashku
692,lange::ADV,লম্বা,për një kohë të gjatë
693,plötzlich::ADV,হঠাৎ,befas
694,sofort::ADV,মুহ্ণর্তমধ্যে,menjëherë
695,sofort::ADV,মুহ্ণর্তমধ্যে,aty për aty
696,später::ADV,পশ্চাতে,më vonë
697,jetzt::ADV,এখন,tash
698,heute::ADV,আজ,sot
699,morgen::ADV,আগামিকাল,nesër
700,bald::ADV,অস্পকালমধ্যে,shpejt
701,bald::ADV,অস্পকালমধ্যে,së shpejti
702,dann::ADV,তখন,pastaj
703,gestern::ADV,গতকাল,dje
