,Concept_ID,sq,no
521,Buch::N,libër,bok
522,Buchstabe::N,shkronjë,bokstav
523,Zeitung::N,gazetë,avis
524,Leben::N,jetë,liv
525,Tod::N,mortje,død
526,Grab::N,varr,grav
527,Kirche::N,kishë,kirke
528,Sünde::N,mëkat,synd
529,Sünde::N,gjynah,synd
530,Gott::N,hy,gud
531,Gott::N,zot,gud
532,Arbeiter::N,punëtor,arbeider
533,Chef::N,shef,sjef
534,Chef::N,drejtues,sjef
535,Meister::N,mjeshtër,mester
536,Arzt::N,mjek,lege
537,Arzt::N,doktor,lege
538,Lehrer::N,mësues,lærer
539,Lehrer::N,arsimtar,lærer
540,Geld::N,para,penger
541,Geld::N,holla,penger
542,Geschäft::N,ujdi,forretning
543,Geschäft::N,biznes,forretning
544,Laden::N,dyqan,butikk
545,Preis::N,çmim,pris
546,Ware::N,mall,vare
547,Nutzen::N,dobi,nytte
548,Nutzen::N,leverdi,nytte
549,Reichtum::N,kamje,rikdom
550,Reichtum::N,pasuri,rikdom
551,Welt::N,botë,verden
552,Land::N,vend,land
553,Staat::N,shtet,stat
554,König::N,mbret,konge
555,Macht::N,fuqi,makt
556,Macht::N,pushtet,makt
557,Grenze::N,kufi,grense
558,Krieg::N,luftë,krig
559,Feind::N,armik,fiende
560,Gewalt::N,dhunë,vold
561,Kampf::N,luftim,kamp
562,Bogen[Waffe]::N,hark,bue
563,Pfeil::N,shigjetë,pil
564,Gewehr::N,pushkë,gevær
565,Fehler::N,gafë,feil
566,Fehler::N,gabim,feil
567,Lüge::N,gënjeshtër,løgn
568,Schaden::N,dëm,skade
569,Schaden::N,zarar,skade
570,Unglück::N,fatkeqësi,uhell
571,Schuld::N,faj,skyld
572,Alter::N,moshë,alder
573,Schluss::N,fund,slutt
574,Zeit::N,kohë,tid
575,Tag::N,ditë,dag
576,Morgen::N,mëngjes,morgen
577,Mittag::N,mesditë,middag
578,Abend::N,mbrëmje,aften
579,Nacht::N,natë,natt
580,Woche::N,javë,uke
581,Monat::N,muaj,måned
582,Jahr::N,vit,år
583,Frühling::N,pranverë,vår
584,Sommer::N,verë,sommer
585,Herbst::N,vjeshtë,høst
586,Winter::N,dimër,vinter
587,Januar::N,janar,januar
