,Concept_ID,sv,se
65,Stirn::N,panna,kállu
66,Stirn::N,panna,käll
67,Stirn::N,panna,вуэххьц
68,Haar::N,hår,voepte
69,Haar::N,hår,vuoppta
70,Haar::N,hår,vuokta
71,Haar::N,hår,vuop'tâ
72,Haar::N,hår,vuõpt
73,Haar::N,hår,вӯппт
74,Schnurrbart::N,mustasch,bijjie-skaavtjoe
75,Schnurrbart::N,mustasch,njunjevuolskávttjá
76,Schnurrbart::N,mustasch,seamu
77,Schnurrbart::N,mustasch,siämu
78,Schnurrbart::N,mustasch,ää´bben
79,Schnurrbart::N,mustasch,о̄а̄бпан
80,Bart::N,skägg,skaavtja
81,Bart::N,skägg,skaavtjoe
82,Bart::N,skägg,skávttjá
83,Bart::N,skägg,seamu
84,Bart::N,skägg,siämu
85,Bart::N,skägg,seäm
86,Bart::N,skägg,ся̄м
87,Kinn::N,haka,gaejpie
88,Kinn::N,haka,gájbbe
89,Kinn::N,haka,gáibi
90,Kinn::N,haka,käibi
91,Kinn::N,haka,käi´bb
92,Kinn::N,haka,ка̄ййп
93,Kiefer[Anatomie]::N,käke,gaejpie
94,Kiefer[Anatomie]::N,käke,oalol
95,Kiefer[Anatomie]::N,käke,oaloldákte
96,Kiefer[Anatomie]::N,käke,gáibi
97,Kiefer[Anatomie]::N,käke,uá'lultähti
98,Kiefer[Anatomie]::N,käke,vuâl'lõš
99,Kiefer[Anatomie]::N,käke,вуаллнешш
100,Kehle::N,strupe,gealoe
101,Kehle::N,strupe,tjåttå
102,Kehle::N,strupe,njiello
103,Kehle::N,strupe,čotta
104,Kehle::N,strupe,čuudâ
105,Kehle::N,strupe,čoodd
106,Kehle::N,strupe,чонт
107,Kehle::N,strupe,кэ̄ҏс
108,Hals::N,hals,tjeapohke
109,Hals::N,hals,tjiebet
110,Hals::N,hals,čeabet
111,Hals::N,hals,čiäppát
112,Hals::N,hals,čeäppat
113,Hals::N,hals,ча̄пэх
114,Genick::N,nacke,tjovrese
115,Genick::N,nacke,nisske
116,Genick::N,nacke,niehkki
117,Genick::N,nacke,niski
118,Genick::N,nacke,niek'ki
119,Genick::N,nacke,nji´šǩǩmaadd
120,Genick::N,nacke,нышшькмоант
121,Kopf::N,huvud,åejjie
122,Kopf::N,huvud,oajvve
123,Kopf::N,huvud,oaivi
124,Kopf::N,huvud,uái'vi
125,Kopf::N,huvud,vuei´vv
126,Kopf::N,huvud,вуэййв
127,Rücken::N,rygg,rudtje
128,Rücken::N,rygg,hárddo
129,Rücken::N,rygg,tjavelk
130,Rücken::N,rygg,sealgi
131,Rücken::N,rygg,selgi
132,Rücken::N,rygg,čielgi
133,Rücken::N,rygg,seä´lǧǧ
134,Rücken::N,rygg,се̄лльк
135,Bauch::N,buk,tjåejjie
136,Bauch::N,buk,tjoajvve
137,Bauch::N,buk,čoavji
138,Bauch::N,buk,čuáv'ji
139,Bauch::N,buk,čåu´jj
140,Bauch::N,buk,чо̄ввьй
141,Bauch::N,mage,tjåejjie
142,Bauch::N,mage,tjoajvve
143,Bauch::N,mage,čoavji
144,Bauch::N,mage,čuáv'ji
145,Bauch::N,mage,čåu´jj
146,Bauch::N,mage,чо̄ввьй
147,Nabel::N,navel,naepie
148,Nabel::N,navel,náhpe
149,Nabel::N,navel,náhpi
150,Nabel::N,navel,nääpi
151,Nabel::N,navel,nää´pp
152,Nabel::N,navel,на̄бпь
153,Busen::N,barm,boenge
154,Busen::N,barm,bållå
155,Busen::N,barm,čižži
156,Busen::N,barm,njamma
157,Busen::N,barm,njižže
158,Busen::N,barm,nje´ǯǯ
159,Busen::N,barm,раннҍт
160,Brust::N,bröst,mïelke
161,Brust::N,bröst,radde
162,Brust::N,bröst,mielgga
163,Brust::N,bröst,raddi
164,Brust::N,bröst,radde
165,Brust::N,bröst,râ´dd
166,Brust::N,bröst,раннҍт
167,Schulter::N,skuldra,åelkie
168,Schulter::N,skuldra,oalgge
169,Schulter::N,skuldra,hárdu
170,Schulter::N,skuldra,ärdee
171,Schulter::N,skuldra,uál'gi
172,Schulter::N,skuldra,a´rddi
173,Schulter::N,skuldra,vuä´lǧǧ
174,Schulter::N,skuldra,вуэллык
175,Arm::N,arm,gïete
176,Arm::N,arm,giehta
177,Arm::N,arm,giehta
178,Arm::N,arm,kietâ
179,Arm::N,arm,kie'tâkaaṿâ
180,Arm::N,arm,ǩiõtt
181,Arm::N,arm,кӣдт
182,Ellenbogen::N,armbåge,gernjere
183,Ellenbogen::N,armbåge,garŋŋel
184,Ellenbogen::N,armbåge,gargŋil
185,Ellenbogen::N,armbåge,käŋŋir
186,Ellenbogen::N,armbåge,kõõnjâr
187,Ellenbogen::N,armbåge,карьнэль
188,Hand::N,hand,gïete
189,Hand::N,hand,giehta
190,Hand::N,hand,giehta
191,Hand::N,hand,kietâ
192,Hand::N,hand,ǩiõtt
193,Hand::N,hand,кӣдт
194,Handfläche::N,handflata,gïeten-låapoe
195,Handfläche::N,handflata,giehtavuodo
196,Handfläche::N,handflata,tjårmmåvuodo
197,Handfläche::N,handflata,giehtaloahpu
198,Handfläche::N,handflata,kiämád
199,Handfläche::N,handflata,kuámmir
200,Handfläche::N,handflata,kuä´m'mer
201,Handfläche::N,handflata,ǩiõttǩeä´m'men
202,Handfläche::N,handflata,ко̄а̄ллдэгк
203,Handfläche::N,handflata,кӣдткоалдэгк
204,Finger::N,finger,soerme
205,Finger::N,finger,tjuvdde
206,Finger::N,finger,suorbma
207,Finger::N,finger,čuvde
208,Finger::N,finger,suor'mâ
209,Finger::N,finger,suõrmm
210,Finger::N,finger,це̄ххп
211,Fingernagel::N,fingernagel,gadtse
212,Fingernagel::N,fingernagel,guehpere
213,Fingernagel::N,fingernagel,gadtsa
214,Fingernagel::N,fingernagel,gazza
215,Fingernagel::N,fingernagel,kozzâ
216,Fingernagel::N,fingernagel,kõʒʒ
217,Fingernagel::N,fingernagel,кэ̄ннц
218,Nagel[Anatomie]::N,nagel,gadtse
219,Nagel[Anatomie]::N,nagel,guehpere
220,Nagel[Anatomie]::N,nagel,gadtsa
221,Nagel[Anatomie]::N,nagel,gazza
222,Nagel[Anatomie]::N,nagel,kozzâ
223,Nagel[Anatomie]::N,nagel,kõʒʒ
224,Nagel[Anatomie]::N,nagel,кэ̄ннц
225,Zeh::N,tå,tjiehtjere
226,Zeh::N,tå,juolggetjuvdde
227,Zeh::N,tå,juolgesuorbma
228,Zeh::N,tå,jyel'gisuor'mâ
229,Zeh::N,tå,jue´lǧǧsuõrmm
230,Zeh::N,tå,ю̄лльк-це̄һп
231,Fuß::N,fot,juelkie
232,Fuß::N,fot,juolgge
233,Fuß::N,fot,juolgi
234,Fuß::N,fot,jyel'gi
235,Fuß::N,fot,jue´lǧǧ
236,Fuß::N,fot,ла̄бпь
237,Ferse::N,häl,båetskie
238,Ferse::N,häl,boasske
239,Ferse::N,häl,šušmi
240,Ferse::N,häl,šušme
241,Ferse::N,häl,jue´lǧǧkädd
242,Ferse::N,häl,ка̄ннт
243,Knie::N,knä,boelve
244,Knie::N,knä,buolvva
245,Knie::N,knä,čibbi
246,Knie::N,knä,veaŋki
247,Knie::N,knä,iidâ
248,Knie::N,knä,puõlvv
249,Knie::N,knä,пуллв
250,Oberschenkel::N,lår,ruaksja
251,Oberschenkel::N,lår,tjibbe
252,Oberschenkel::N,lår,gassaváhkká
253,Oberschenkel::N,lår,badjeváhkáa
254,Oberschenkel::N,lår,čuár'bpeeḷi
255,Oberschenkel::N,lår,če´bb
256,Oberschenkel::N,lår,чуаррбе̄лль
257,Bein::N,ben,juelkie
258,Bein::N,ben,juolgge
259,Bein::N,ben,juolgi
260,Bein::N,ben,jyel'gi
261,Bein::N,ben,jue´lǧǧ
262,Bein::N,ben,ю̄лльк
263,Körper::N,kropp,kråahpe
264,Körper::N,kropp,rumáj
265,Körper::N,kropp,rumaš
266,Körper::N,kropp,ruumâš
267,Körper::N,kropp,rå´pp
268,Körper::N,kropp,лышшьк
269,Körper::N,kropp,роаӈӈьк
270,Haut::N,hud,njaltja
271,Haut::N,hud,lijkke
272,Haut::N,hud,tjuobma
273,Haut::N,hud,liiki
274,Haut::N,hud,liške
275,Haut::N,hud,le´šǩǩ
276,Haut::N,hud,лышшьк
277,Haut::N,skinn,njaltja
278,Haut::N,skinn,lijkke
279,Haut::N,skinn,tjuobma
280,Haut::N,skinn,liiki
281,Haut::N,skinn,liške
282,Haut::N,skinn,le´šǩǩ
283,Haut::N,skinn,лышшьк
284,Blut::N,blod,vïrre
285,Blut::N,blod,maelie
286,Blut::N,blod,varra
287,Blut::N,blod,varra
288,Blut::N,blod,vorrâ
289,Blut::N,blod,võrr
290,Blut::N,blod,вэ̄рр
291,Ader::N,åder,åerie
292,Ader::N,åder,aajroe
293,Ader::N,åder,suodna
294,Ader::N,åder,varrasuotna
295,Ader::N,åder,suoṇâ
296,Ader::N,åder,suõnn
297,Ader::N,åder,сӯнн
298,Sehne::N,sena,soene
299,Sehne::N,sena,gåårtenje
300,Sehne::N,sena,suodna
301,Sehne::N,sena,suotna
302,Sehne::N,sena,suoṇâ
303,Sehne::N,sena,suõnn
304,Sehne::N,sena,сӯнн
305,Knochen::N,ben,måara
306,Knochen::N,ben,måaroe
307,Knochen::N,ben,dákte
308,Knochen::N,ben,dákti
309,Knochen::N,ben,tähti
310,Knochen::N,ben,tä´htt
311,Knochen::N,ben,та̄ххт
312,Knochen::N,ben,та̄ффьт
313,Gehirn::N,hjärna,aajla
314,Gehirn::N,hjärna,vuojŋam
315,Gehirn::N,hjärna,vuoigŋašat
316,Gehirn::N,hjärna,vuoi'ŋâšeh
317,Gehirn::N,hjärna,vuo'ivâšneh
318,Gehirn::N,hjärna,vuõivâšn
319,Gehirn::N,hjärna,вуэййвэшна
320,Herz::N,hjärta,vaajmoe
321,Herz::N,hjärta,tsåhke
322,Herz::N,hjärta,váibmu
323,Herz::N,hjärta,váimu
324,Herz::N,hjärta,čââ´đ
325,Herz::N,hjärta,кӯттҌк
326,Magen::N,mage,tjåejjie
327,Magen::N,mage,tjoajvve
328,Magen::N,mage,čoavji
329,Magen::N,mage,čuáv'ji
330,Magen::N,mage,čåu´jj
331,Magen::N,mage,чо̄ввьй
332,Leber::N,lever,mueksie
333,Leber::N,lever,librre
334,Leber::N,lever,vuoivvas
335,Leber::N,lever,vuoivâs
336,Leber::N,lever,vuõivâs
337,Leber::N,lever,вуйвас
338,Atem::N,anda,voejngehtasse
339,Atem::N,anda,båssånis
340,Atem::N,anda,vuojŋadahka
341,Atem::N,anda,vuoiŋŋahat
342,Atem::N,anda,vuo'iŋâstim
343,Atem::N,anda,jiõg'g
344,Atem::N,anda,вӯйнас
345,Atem::N,anda,вӯййнмушш
346,Atem::N,andedräkt,voejngehtasse
347,Atem::N,andedräkt,båssånis
348,Atem::N,andedräkt,vuojŋadahka
349,Atem::N,andedräkt,vuoiŋŋahat
350,Atem::N,andedräkt,vuo'iŋâstim
351,Atem::N,andedräkt,jiõg'g
352,Atem::N,andedräkt,вӯйнас
353,Atem::N,andedräkt,вӯййнмушш
354,Hunger::N,svält,nielkie
355,Hunger::N,svält,nielgge
356,Hunger::N,svält,nealgi
357,Hunger::N,svält,nelgi
358,Hunger::N,svält,neä´lǧǧ
359,Hunger::N,svält,не̄лльк
360,Hunger::N,hunger,nielkie
361,Hunger::N,hunger,nielgge
362,Hunger::N,hunger,nealgi
363,Hunger::N,hunger,nelgi
364,Hunger::N,hunger,neä´lǧǧ
365,Hunger::N,hunger,не̄лльк
366,Träne::N,tår,gïknjele
367,Träne::N,tår,ganjál
368,Träne::N,tår,ganjal
369,Träne::N,tår,koonjâl
370,Träne::N,tår,kõõnjâl
371,Träne::N,tår,кэ̄нял
372,Geschmack::N,smak,aelmie
373,Geschmack::N,smak,muosse
374,Geschmack::N,smak,smáhkka
375,Geschmack::N,smak,máhku
376,Geschmack::N,smak,smáhkka
377,Geschmack::N,smak,mááhu
378,Geschmack::N,smak,smakkâ
379,Geschmack::N,smak,njõõd
380,Geschmack::N,smak,smääkk
381,Geschmack::N,smak,ня̄лльк
382,Geruch::N,lukt,haaje
383,Geruch::N,lukt,habjja
384,Geruch::N,lukt,hádja
385,Geruch::N,lukt,opsâ
386,Geruch::N,lukt,haajâ
387,Geruch::N,lukt,õpss
388,Geruch::N,lukt,haajj
389,Geruch::N,lukt,апс
390,Geruch::N,lukt,лэ̄гк
391,Schlaf::N,sömn,nahkerh
392,Schlaf::N,sömn,nager
393,Schlaf::N,sömn,oados
394,Schlaf::N,sömn,nagir
395,Schlaf::N,sömn,naṿer
396,Schlaf::N,sömn,nââ´er
397,Schlaf::N,sömn,нагерь
398,Traum::N,dröm,nahkere
399,Traum::N,dröm,niehko
400,Traum::N,dröm,niehku
401,Traum::N,dröm,naṿer
402,Traum::N,dröm,nââ´er
403,Traum::N,dröm,нагерь
404,Himmel::N,himmel,elmie
405,Himmel::N,himmel,almme
406,Himmel::N,himmel,albmi
407,Himmel::N,himmel,alme
408,Himmel::N,himmel,â´lmm
409,Himmel::N,himmel,алльм
410,Sonne::N,sol,biejjie
411,Sonne::N,sol,bæjvásj
412,Sonne::N,sol,beaivváš
413,Sonne::N,sol,peivi
414,Sonne::N,sol,piäiváš
415,Sonne::N,sol,pei´vv
416,Sonne::N,sol,пе̄ййв
417,Mond::N,måne,aske
418,Mond::N,måne,mánno
419,Mond::N,måne,mánnu
420,Mond::N,måne,máánu
421,Mond::N,måne,mään
422,Mond::N,måne,ма̄нн
423,Stern::N,stjärna,daasta
424,Stern::N,stjärna,naestie
425,Stern::N,stjärna,násste
426,Stern::N,stjärna,násti
427,Stern::N,stjärna,täsni
428,Stern::N,stjärna,tä´snn
429,Stern::N,stjärna,та̄ссьт
430,Luft::N,luft,elmie
431,Luft::N,luft,ájmmo
432,Luft::N,luft,áibmu
433,Luft::N,luft,áimu
434,Luft::N,luft,šõŋŋ
435,Luft::N,luft,вӯйнас
436,Wind::N,vind,bïegke
437,Wind::N,vind,biegga
438,Wind::N,vind,biegga
439,Wind::N,vind,pieg'gâ
440,Wind::N,vind,piõg'g
441,Wind::N,vind,пӣӈӈк
442,Welle::N,våg,baaroe
443,Welle::N,våg,bárro
444,Welle::N,våg,bárru
445,Welle::N,våg,pááṛu
446,Welle::N,våg,päärr
447,Welle::N,våg,нэ̄ммп
448,Welle::N,bölja,baaroe
449,Welle::N,bölja,bárro
450,Welle::N,bölja,bárru
451,Welle::N,bölja,pááṛu
452,Welle::N,bölja,päärr
453,Welle::N,bölja,нэ̄ммп
454,Wasser::N,vatten,tjaetsie
455,Wasser::N,vatten,tjáhtje
456,Wasser::N,vatten,čáhci
457,Wasser::N,vatten,čääci
458,Wasser::N,vatten,čää´cc
459,Wasser::N,vatten,ча̄дзь
460,Stein::N,sten,gierkie
461,Stein::N,sten,giergge
462,Stein::N,sten,geađgi
463,Stein::N,sten,keđgi
464,Stein::N,sten,ǩeä´dǧǧ
465,Stein::N,sten,ке̄ддҌк
466,Boden::N,mark,betnie
467,Boden::N,mark,ednam
468,Boden::N,mark,bodni
469,Boden::N,mark,vuođđu
470,Boden::N,mark,ponne
471,Boden::N,mark,vuáđ̣u
472,Boden::N,mark,vuâđđ
473,Boden::N,mark,лаввьн
474,Boden::N,mark,е̄ммьне
475,Erde::N,jord,jåarta
476,Erde::N,jord,mueltie
477,Erde::N,jord,ednam
478,Erde::N,jord,mållde
479,Erde::N,jord,eana
480,Erde::N,jord,eennâm
481,Erde::N,jord,mädd
482,Erde::N,jord,jânnam
483,Erde::N,jord,е̄ммьне
484,Staub::N,damm,heblie
485,Staub::N,damm,tsumhtsie
486,Staub::N,damm,dubme
487,Staub::N,damm,dopmu
488,Staub::N,damm,kovjâ
489,Staub::N,damm,põõ´l
490,Staub::N,damm,кэ̄ббьй
491,Rauch::N,rök,soeve
492,Rauch::N,rök,suovva
493,Rauch::N,rök,suovva
494,Rauch::N,rök,suoṿâ
495,Rauch::N,rök,suõvv
496,Rauch::N,rök,сӯвв
497,Funke::N,gnista,naestie
498,Funke::N,gnista,tjuonam
499,Funke::N,gnista,čuotnan
500,Funke::N,gnista,čuođâlm
501,Funke::N,gnista,iiskâr
502,Funke::N,gnista,čuõzzâm
503,Funke::N,gnista,чӯссэм
504,Feuer::N,eld,dålle
505,Feuer::N,eld,dållå
506,Feuer::N,eld,dolla
507,Feuer::N,eld,tullâ
508,Feuer::N,eld,toll
509,Feuer::N,eld,то̄лл
510,Licht::N,ljus,tjoevke
511,Licht::N,ljus,tjuovgga
512,Licht::N,ljus,čuovga
513,Licht::N,ljus,čuovggas
514,Licht::N,ljus,čuoṿâ
515,Licht::N,ljus,toll
516,Licht::N,ljus,čuõvv
517,Licht::N,ljus,то̄лл
518,Schatten::N,skugga,skugkie
519,Schatten::N,skugga,soejvene
520,Schatten::N,skugga,irkes
521,Schatten::N,skugga,sieges
522,Schatten::N,skugga,itku
523,Schatten::N,skugga,suoivâ
524,Schatten::N,skugga,õõtt
525,Schatten::N,skugga,ǩeeu´niǩ
526,Schatten::N,skugga,кывьнэхь
527,Wetter::N,väder,vïerhtse
528,Wetter::N,väder,dálkke
529,Wetter::N,väder,dálki
530,Wetter::N,väder,šoŋŋâ
531,Wetter::N,väder,šõŋŋ
532,Wetter::N,väder,шэ̄ӈӈ
533,Nebel::N,dimma,såavla
534,Nebel::N,dimma,mearhka
535,Nebel::N,dimma,murkko
536,Nebel::N,dimma,mierkká
537,Nebel::N,dimma,mierká
538,Nebel::N,dimma,miär'kká
539,Nebel::N,dimma,oṃo
540,Nebel::N,dimma,sue´lnn
541,Nebel::N,dimma,цӣгк
542,Nebel::N,dimma,сулльн
543,Nebel::N,töcken,såavla
544,Nebel::N,töcken,mearhka
545,Nebel::N,töcken,murkko
546,Nebel::N,töcken,mierkká
547,Nebel::N,töcken,mierká
548,Nebel::N,töcken,miär'kká
549,Nebel::N,töcken,oṃo
550,Nebel::N,töcken,sue´lnn
551,Nebel::N,töcken,цӣгк
552,Nebel::N,töcken,сулльн
553,Wolke::N,sky,balve
554,Wolke::N,sky,balvva
555,Wolke::N,sky,balva
556,Wolke::N,sky,polvâ
557,Wolke::N,sky,põlvv
558,Wolke::N,sky,пэллв
559,Wolke::N,moln,balve
560,Wolke::N,moln,balvva
561,Wolke::N,moln,balva
562,Wolke::N,moln,polvâ
563,Wolke::N,moln,põlvv
564,Wolke::N,moln,пэллв
565,Regen::N,regn,ebrie
566,Regen::N,regn,harvve
567,Regen::N,regn,arvi
568,Regen::N,regn,arve
569,Regen::N,regn,â´brr
570,Regen::N,regn,аббьр
571,Schnee::N,snö,lopme
572,Schnee::N,snö,moehtege
573,Schnee::N,snö,muohta
574,Schnee::N,snö,muohta
575,Schnee::N,snö,muotâ
576,Schnee::N,snö,muõtt
577,Schnee::N,snö,вэ̄дз
578,Schnee::N,snö,куэллт
579,Eis::N,is,jïenge
580,Eis::N,is,jiegŋa
581,Eis::N,is,jiekŋa
582,Eis::N,is,jieŋ̣â
583,Eis::N,is,jiõŋŋ
584,Eis::N,is,ӣӈӈ
585,Frost::N,frost,baajkoe
586,Frost::N,frost,tjoasskem
587,Frost::N,frost,buolaš
588,Frost::N,frost,puolâš
589,Frost::N,frost,puõlâš
590,Frost::N,frost,мӯнь
591,Kälte::N,köld,jueskie
592,Kälte::N,köld,tjåetskeme
593,Kälte::N,köld,tjoasskem
594,Kälte::N,köld,čoaskin
595,Kälte::N,köld,ko'lmâsvuotâ
596,Kälte::N,köld,ijss
597,Kälte::N,köld,čuä´cǩǩem
598,Kälte::N,köld,tuârggnjõs
599,Kälte::N,köld,кэ̄лмас
600,Hitze::N,hetta,baahke
601,Hitze::N,hetta,báhkka
602,Hitze::N,hetta,báhkka
603,Hitze::N,hetta,pakkâ
604,Hitze::N,hetta,kuṃe
605,Hitze::N,hetta,paašt
606,Hitze::N,hetta,жоарр
607,Raureif::N,rimfrost,jyjse
608,Raureif::N,rimfrost,ridne
609,Raureif::N,rimfrost,goarre
610,Raureif::N,rimfrost,ritni
611,Raureif::N,rimfrost,suhči
612,Raureif::N,rimfrost,riṇe
613,Raureif::N,rimfrost,ай
614,Regenbogen::N,regnbåge,aatjan goengere
615,Regenbogen::N,regnbåge,aatjan joekse
616,Regenbogen::N,regnbåge,ádjájuoksa
617,Regenbogen::N,regnbåge,arvedávgi
618,Regenbogen::N,regnbåge,bajándávgi
619,Regenbogen::N,regnbåge,äijihtävgi
620,Regenbogen::N,regnbåge,teârmmazjohss
621,Regenbogen::N,regnbåge,тӣрмесью̄ккс
622,Donner::N,åska,raejrie
623,Donner::N,åska,átjek
624,Donner::N,åska,átjárájdde
625,Donner::N,åska,áddjá
626,Donner::N,åska,baján
627,Donner::N,åska,juuṛâ
628,Donner::N,åska,tie´rmes
629,Donner::N,åska,тӣрмесь
630,Donner::N,åska,ча̄ркнэгк
631,Donner::N,dunder,raejrie
632,Donner::N,dunder,átjek
633,Donner::N,dunder,átjárájdde
634,Donner::N,dunder,áddjá
635,Donner::N,dunder,baján
636,Donner::N,dunder,juuṛâ
637,Donner::N,dunder,tie´rmes
638,Donner::N,dunder,тӣрмесь
639,Donner::N,dunder,ча̄ркнэгк
640,Strömung::N,strömning,njuvvie
641,Strömung::N,strömning,ájggedáhpe
642,Strömung::N,strömning,rávdnji
643,Strömung::N,strömning,virde
644,Strömung::N,strömning,ve´rdd
645,Strömung::N,strömning,выррьт
646,Tropfen::N,dropper,gåajhkohts
647,Tropfen::N,dropper,gåjkudis
648,Tropfen::N,dropper,goaikkanas
649,Tropfen::N,dropper,čalme
650,Tropfen::N,dropper,čâ´lmm
651,Tropfen::N,dropper,ча̄лльм
652,Schaum::N,skum,sapte
653,Schaum::N,skum,såpptå
654,Schaum::N,skum,sokta
655,Schaum::N,skum,suptâ
656,Schaum::N,skum,soptt
657,Schaum::N,skum,со̄ппт
658,Schmutz::N,lort,haaskoe
659,Schmutz::N,lort,duolvva
660,Schmutz::N,lort,duolva
661,Schmutz::N,lort,durdi
662,Schmutz::N,lort,stänži
663,Schmutz::N,lort,sähss
664,Schmutz::N,lort,са̄ккьс
665,Schmutz::N,lort,не̄шшь
666,Schmutz::N,smuts,haaskoe
667,Schmutz::N,smuts,duolvva
668,Schmutz::N,smuts,duolva
669,Schmutz::N,smuts,durdi
670,Schmutz::N,smuts,stänži
671,Schmutz::N,smuts,sähss
672,Schmutz::N,smuts,са̄ккьс
673,Schmutz::N,smuts,не̄шшь
674,See::N,sjö,jaevrie
675,See::N,sjö,jávrre
676,See::N,sjö,jávri
677,See::N,sjö,jävri
678,See::N,sjö,jâu´rr
679,See::N,sjö,я̄ввьр
680,Sumpf::N,träsk,pluevie
681,Sumpf::N,träsk,áhpe
682,Sumpf::N,träsk,sæmssa
683,Sumpf::N,träsk,jeaggi
684,Sumpf::N,träsk,jeggi
685,Sumpf::N,träsk,jeä´ǧ'ǧ
686,Sumpf::N,träsk,ла̄ммьп
687,Moor::N,myr,pluevie
688,Moor::N,myr,jiegge
689,Moor::N,myr,suotnju
690,Moor::N,myr,karrii
691,Moor::N,myr,kä´rev
692,Moor::N,myr,veättaǩ
693,Moor::N,myr,ла̄ммьп
694,Moor::N,mosse,pluevie
695,Moor::N,mosse,jiegge
696,Moor::N,mosse,suotnju
697,Moor::N,mosse,karrii
698,Moor::N,mosse,kä´rev
699,Moor::N,mosse,veättaǩ
700,Moor::N,mosse,ла̄ммьп
701,Wiese::N,äng,ïentje
702,Wiese::N,äng,giedde
703,Wiese::N,äng,gieddi
704,Wiese::N,äng,nijtto
705,Wiese::N,äng,пуэшенҍ
706,Wald::N,skog,skåake
707,Wald::N,skog,skåajje
708,Wald::N,skog,miehtsie
709,Wald::N,skog,vuovdde
710,Wald::N,skog,miehttse
711,Wald::N,skog,vuovdi
712,Wald::N,skog,meahcci
713,Wald::N,skog,mecci
714,Wald::N,skog,vyemi
715,Wald::N,skog,vue´mm
716,Wald::N,skog,meä´c'c
717,Wald::N,skog,ля̄ммт
718,Hügel::N,höjd,deava
719,Hügel::N,höjd,dievvá
720,Hügel::N,höjd,dievvá
721,Hügel::N,höjd,čummâ
722,Hügel::N,höjd,pä´rcc
723,Hügel::N,höjd,teä´rmm
724,Hügel::N,höjd,ка̄ннҌт
725,Hügel::N,kulle,deava
726,Hügel::N,kulle,dievvá
727,Hügel::N,kulle,dievvá
728,Hügel::N,kulle,čummâ
729,Hügel::N,kulle,pä´rcc
730,Hügel::N,kulle,teä´rmm
731,Hügel::N,kulle,ка̄ннҌт
732,Anhöhe::N,höjd,deava
733,Anhöhe::N,höjd,jalladahke
734,Anhöhe::N,höjd,dievásj
735,Anhöhe::N,höjd,aláš
736,Anhöhe::N,höjd,luohkká
737,Anhöhe::N,höjd,tiävá
738,Anhöhe::N,höjd,poorááš
739,Anhöhe::N,höjd,ču´lpp
740,Anhöhe::N,höjd,škâu´ŋŋ
741,Anhöhe::N,höjd,ка̄ннҌт
742,Anhöhe::N,backe,deava
743,Anhöhe::N,backe,jalladahke
744,Anhöhe::N,backe,dievásj
745,Anhöhe::N,backe,aláš
746,Anhöhe::N,backe,luohkká
747,Anhöhe::N,backe,tiävá
748,Anhöhe::N,backe,poorááš
749,Anhöhe::N,backe,ču´lpp
750,Anhöhe::N,backe,škâu´ŋŋ
751,Anhöhe::N,backe,ка̄ннҌт
752,Berg::N,berg,bïerje
753,Berg::N,berg,várre
