,Concept_ID,br,he
235,Erzählung::N,kontadenn,ספור
236,Nachricht::N,keloù,ידיעה
237,Neuigkeit::N,kelaouenn,חדשה
238,Name::N,anv,שם
239,Rätsel::N,divinatez,תעלומה
240,Rede::N,diskour,נאום
241,Sprache::N,yezh,לשון
242,Stimme::N,mouezh,קול
243,Wort::N,ger,מלה
244,Zeichen::N,sin,סימן
245,Ruf::N,galv,קריאה
246,Lärm::N,trouz,רעש
247,Ton::N,ton,צליל
248,Lied::N,kanaouenn,שיר
249,Ruhe::N,sioulded,שלוה
250,Leute::N,tud,אנשים
251,Volk::N,pobl,עם
252,Arbeit::N,labour,עבודה
253,Gast::N,kouviad,אורח
254,Geschenk::N,prof,מתנה
255,Spiel::N,c'hoari,משחק
256,Gesellschaft::N,kompagnunezh,חברה
257,Gesellschaft::N,kavandad,חברה
258,Hilfe::N,sikour,עזרה
259,Freund::N,mignon,חבר
260,Freund::N,mignon,ידיד
261,Kamerad::N,kamarad,רע
262,Angelegenheit::N,afer,ענין
263,Anzahl::N,niver,מספר
264,Art::N,sort,סוג
265,Stück::N,tamm,חתיכה
266,Teil::N,pezh,פרק
267,Hälfte::N,hanterenn,חצי
268,Kreis::N,kelc'h,מעגל
269,Kreuz::N,kroaz,צלב
270,Linie::N,linenn,קו
271,Strich::N,tenn,קו קצר
272,Abstand::N,distok,מרחק
273,Entfernung::N,keid,מרחק
274,Entfernung::N,kehid,מרחק
275,Gegend::N,korn-bro,נוף
276,Platz::N,plasenn,שטח
277,Ort::N,lec'h,אתר
278,Ort::N,lec'h,מקום
279,Seite::N,tu,צד
280,Mitte::N,kreiz,אמצע
281,Gegenstand::N,tra,אוביקט
282,Sache::N,tra,דבר
283,Rand::N,kantenn,פרור
284,Kante::N,kantenn,קצה
285,Ecke::N,korn,פנה
286,Spitze::N,begell,קצה
287,Ende::N,dibenn,סוף
288,Loch::N,toull,חר
289,Muster::N,tresadenn,תבנית
290,Größe::N,ment,גדל
291,Länge::N,hirder,ארך
292,Höhe::N,uhelder,קומה
293,Höhe::N,uhelder,גבה
294,Gewicht::N,pouez,משקל
295,Menge::N,bern,כמות
296,Haufen::N,bern,ערמה
297,Reihe::N,steud,רצף
298,Boot::N,bag,סירה
299,Ruder::N,roeñv,משוט
300,Schlitten::N,trainell,מזחלת
301,Ski::N,ski,מגלשים
302,Last::N,karg,משא
303,Gang::N,kerzh,הליכה
304,Schritt::N,paz,צעד
305,Norden::N,norzh,צפון
306,Norden::N,hanternoz,צפון
307,Süden::N,su,דרום
308,Süden::N,kreisteiz,דרום
309,Westen::N,kuzh-heol,מערב
310,Osten::N,reter,מזרח
311,Osten::N,sav-heol,מזרח
312,Holz::N,koad,עץ
313,Brett::N,plankenn,קרש
314,Platte::N,plakenn,לוח
315,Stütze::N,harp,משען
316,Stange::N,sparl,מוט
317,Stock::N,bazh,מקל
318,Stab::N,bazh,מוט
319,Rohr::N,tub,צנור
320,Rohr::N,korz,צנור
321,Haus::N,ti,בית
322,Heim::N,kêr,בית
323,Ofen::N,forn,תנור
324,Fußboden::N,plañchod,רצפה
325,Tisch::N,taol,שלחן
326,Stuhl::N,kador,כסא
327,Wiege::N,kavell,ערש
328,Bett::N,gwele,מטה
329,Regal::N,estajerenn,מדף
330,Kiste::N,kased,תבה
331,Kiste::N,kased,ארגז
332,Fenster::N,prenestr,חלון
333,Tür::N,dor,דלת
334,Tor::N,portal,שער
335,Zaun::N,sklotur,גדר
336,Dach::N,toenn,גג
337,Leiter::N,skeul,סלם
338,Besen::N,skubell,מטאטא
339,Spaten::N,pal,את
340,Schaufel::N,pal,את
341,Gabel::N,fourchetez,מזלג
342,Löffel::N,loa,כף
343,Messer::N,kontell,סכין
344,Nagel::N,tach,מסמר
345,Netz::N,roued,רשת
346,Haken::N,krog,וו
347,Haken::N,krog,קרס
348,Griff::N,kemer,ידית
349,Schloss::N,potenn,מנעול
350,Bild::N,skeudenn,תמונה
351,Figur::N,skeud,פסל
352,Figur::N,figur,פסל
353,Puppe::N,merc'hodenn,בבה
354,Beutel::N,sac'h,שק
355,Bündel::N,feskenn,צרור
356,Tasche::N,sac'h,שקית
357,Eimer::N,sailh,דלי
358,Deckel::N,pallenn,מכסה
359,Geschirr::N,listriaj,כלים
360,Sack::N,sac'h,שק
361,Tasse::N,tas,ספל
362,Topf::N,pod,סיר
363,Kessel::N,chaodouron,קנקן
364,Essen::N,pred,אכל
365,Essen::N,pred,ארוחה
366,Nahrung::N,boued,הזנה
367,Nahrung::N,boued,תזונה
368,Speise::N,meuz,מאכל
369,Speise::N,meuz,ארוחה
370,Fleisch::N,kig,בשר
371,Getreide::N,ed,דגן
372,Brei::N,yod,מחית
373,Brot::N,bara,לחם
374,Scheibe::N,tailhenn,עגול
375,Scheibe::N,tailhenn,פרוסה
376,Fett::N,lard,שמן
377,Butter::N,amann,חמאה
378,Öl::N,eoul,שמן
379,Salz::N,holen,מלח
380,Suppe::N,soubenn,מרק
381,Honig::N,mel,דבש
382,Milch::N,laezh,חלב
383,Tee::N,te,תה
384,Leder::N,lêr,עור
385,Wolle::N,gloan,צמר
386,Stoff::N,danvez,בד
387,Stoff::N,danvez,אריג
388,Nadel::N,nadoz,מחט
389,Faden::N,neudenn,חוט
390,Knopf::N,bouton,כפתור
391,Knoten::N,skoulm,קשר
392,Farbe::N,liv,צבע
393,Kleidung::N,dilhad,בגדים
394,Hemd::N,roc'hed,חלצה
395,Kragen::N,gouzoug,צוארון
396,Ärmel::N,milgin,שרוול
397,Hose::N,bragoù,מכנסים
398,Gürtel::N,gouriz,חגורה
399,Mütze::N,boned,כובע
400,Schuh::N,botez,נעל
401,Stiefel::N,botez,מגף
402,Ring::N,gwalenn,טבעת
403,Band::N,bagad,סרט
404,Kamm::N,krib,מסרק
405,Spiegel::N,melezour,מראה
406,Riemen::N,lerenn,רצועה
407,Schnur::N,kordenn,חבל
408,Leine::N,roll,מושכות
409,Decke::N,golo,שמיכה
410,Kissen::N,goubenner,כרית
411,Tuch::N,mezher,צעיף
412,Handtuch::N,toailhon,מגבת
413,Kraft::N,nerzh,כוח
414,Stärke::N,nerzhder,און
415,Gesundheit::N,yec'hed,בריאות
416,Krankheit::N,klañved,מחלה
417,Schmerz::N,poan,כאב
418,Schmerz::N,droug,כאב
419,Wunde::N,gloazadenn,פציעה
420,Fieber::N,terzhienn,חם
421,Arznei::N,louzoù,תרופה
422,Brücke::N,pont,גשר
423,Brunnen::N,puñs,באר
424,Weide::N,prad,אחו
425,Weide::N,prad,מרעה
426,Pfad::N,gwenodenn,שביל
427,Pfad::N,gwenodenn,מדרכה
428,Weg::N,hent,דרך
429,Straße::N,ru,כביש
430,Straße::N,hent,כביש
431,Dorf::N,kêr,כפר
432,Dorf::N,kêriadenn,כפר
433,Stadt::N,kêr,עיר
434,Brief::N,lizher,מכתב
435,Buch::N,levr,ספר
436,Buchstabe::N,lizherenn,אות
437,Zeitung::N,kazetenn,עתון
438,Leben::N,buhez,חיים
439,Tod::N,marv,מות
440,Grab::N,bez,קבר
441,Kirche::N,iliz,כנסיה
442,Sünde::N,pec'hed,חטא
443,Gott::N,doue,אל
444,Arbeiter::N,labourer,פועל
445,Arbeiter::N,micherour,פועל
446,Chef::N,penn,ראש
447,Chef::N,penn,מנהל
448,Meister::N,mestr,ממחה
449,Arzt::N,mezeg,רופא
450,Arzt::N,medisin,רופא
451,Lehrer::N,skolaer,מורה
452,Lehrer::N,kelenner,מורה
453,Geld::N,arc'hant,כסף
454,Geschäft::N,stal,עסקה
455,Laden::N,stal,חנות
456,Preis::N,priz,מחיר
457,Ware::N,marc'hadourezh,סחורה
458,Nutzen::N,gounidegezh,תועלת
459,Nutzen::N,lañs,תועלת
460,Nutzen::N,profit,תועלת
461,Nutzen::N,spleit,תועלת
462,Reichtum::N,pinvidigezh,עשר
463,Welt::N,douar,עולם
464,Land::N,bro,ארץ
465,Staat::N,stad,מדינה
466,König::N,roue,מלך
467,Macht::N,galloud,כוח
468,Grenze::N,harzoù,גבול
469,Krieg::N,brezel,מלחמה
470,Feind::N,eneber,אויב
471,Gewalt::N,tâerder,אלימות
472,Kampf::N,kann,קרב
473,Kampf::N,kann,לחימה
474,Bogen[Waffe]::N,gwareg,קשת
475,Pfeil::N,saezh,חץ
476,Gewehr::N,fuzuilh,רובה
477,Fehler::N,fazi,טעות
478,Lüge::N,gaou,שקר
479,Schaden::N,gwall,נזק
480,Unglück::N,gwalleur,מזל רע
481,Schuld::N,kablusted,אשמה
482,Schuld::N,pec'hedigezh,אשמה
483,Alter::N,oad,גיל
484,Schluss::N,diwezh,סיום
485,Zeit::N,amzer,זמן
486,Tag::N,deizh,יום
487,Morgen::N,beure,בקר
488,Morgen::N,mintin,בקר
489,Mittag::N,kreisteiz,צהרים
490,Abend::N,abardaez,ערב
491,Nacht::N,noz,לילה
492,Woche::N,sizhun,שבוע
493,Monat::N,miz,חדש
494,Jahr::N,bloaz,שנה
495,Frühling::N,nevezamzer,אביב
496,Sommer::N,hañv,קיץ
497,Herbst::N,diskaramzer,סתו
498,Winter::N,goañv,חרף
499,Januar::N,Genver,ינואר
500,Februar::N,C'hwevrer,פברואר
501,März::N,Meurzh,מרץ
502,April::N,Ebrel,אפריל
503,Mai::N,Mae,מאי
504,Juni::N,Mezheven,יוני
505,Juli::N,Gouhere,יולי
506,August::N,Eost,אוגוסט
507,September::N,Gwengolo,ספטמבר
508,Oktober::N,Here,אוקטובר
509,November::N,Du,נובמבר
510,Dezember::N,Kerzu,דצמבר
511,Montag::N,Lun,יום שני
512,Dienstag::N,Meurzh,יום שלישי
513,Mittwoch::N,Merc'her,יום רביעי
514,Donnerstag::N,Yaou,יום חמישי
515,Freitag::N,Gwener,יום ששי
516,Samstag::N,Sadorn,יום שבת
517,Sonntag::N,Sul,יום ראשון
518,groß::A,bras,גדול
519,klein::A,bihan,קטן
520,lang::A,hir,ארך
521,kurz::A,berr,קצר
522,breit::A,ledan,רחב
523,schmal::A,strizh,צר
524,dicht::A,stank,צפוף
525,dick[Gegenstand]::A,tev,עבה
526,dünn::A,moan,דק
527,fein::A,munut,מעדן
528,fest::A,start,מוצק
529,flach::A,plaen,שטוח
530,glatt::A,lintr,חלק
531,glatt::A,levn,חלק
532,hart::A,kalet,קשיח
533,weich::A,blot,רך
534,rund::A,ront,עגל
535,spitz::A,poentet,חד
536,scharf::A,dremm,חד
537,stumpf::A,talsoc'h,קהה
538,schwer::A,pounner,כבד
539,schön::A,kaer,יפה
540,heiß::A,tomm,חם
541,warm::A,tomm,חם
542,kalt::A,yen,קר
543,kühl::A,yen,צונן
544,frisch::A,fresk,טרי
545,feucht::A,gleb,לח
546,nass::A,gleb,רטוב
547,trocken::A,sec'h,יבש
548,voll::A,leun,מלא
549,leer::A,goullo,ריק
550,offen::A,digor,פתוח
551,geschlossen::A,serr,סגור
552,sauber::A,naet,נקי
553,schmutzig::A,lous,מלכלך
554,roh::A,kriz,חי
555,reif::A,darev,בשל
556,lecker::A,lipous,טעים
557,lecker::A,saourus,טעים
558,süß::A,dous,מתוק
559,bitter::A,c'hwerv,מר
560,sauer::A,trenk,חמוץ
561,hell::A,sklaer,בהיר
562,dunkel::A,teñval,עמום
563,schwarz::A,du,שחר
564,weiß::A,gwenn,לבן
565,rot::A,ruz,אדם
566,gelb::A,melen,צהב
567,blau::A,glas,כחל
568,grün::A,gwer,ירק
569,grau::A,louet,אפר
570,bunt::A,liesliv,צבעוני
571,billig::A,marc'had-mat,זול
572,teuer::A,ker,יקר
573,wertvoll::A,prizius,יקר ערך
574,blind::A,dall,עור
575,taub::A,bouzar,חרש
576,kräftig::A,start,חסן
577,stark::A,kreñv,חזק
578,schwach::A,gwan,חלש
579,fett::A,lard,שמן
580,schlank::A,sinkl,רזה
581,hübsch::A,koant,יפה תאר
582,böse::A,gwall,רשע
583,dumm::A,glep,טפש
584,faul::A,lezirek,עצלן
585,fleißig::A,studius,חרוץ
586,geizig::A,tost,קמצן
587,klug::A,speredek,נבון
588,klug::A,speredek,פקח
589,geschickt::A,dornet,מימן
590,lieb::A,koant,יקר
591,lieb::A,koant,אהוב
592,lustig::A,laouen,עליז
593,sanft::A,flour,עדין
594,hungrig::A,marnaon,רעב
595,krank::A,klañv,חולה
596,nackt::A,noazh,ערום
597,traurig::A,trist,עצוב
598,lebendig::A,bev,חי
599,gut::A,mad,טוב
600,schlecht::A,fall,גרוע
601,schlecht::A,gwall,גרוע
602,richtig::A,reizh,נכון
603,schlimm::A,gwall,רע
604,wahr::A,gwir,אמתי
605,alt::A,kozh,ישן
606,neu::A,nevez,חדש
607,ehemalig::A,kozh,לשעבר
608,alt[Lebewesen]::A,kozh,זקן
609,jung::A,yaouank,צעיר
610,arm::A,paour,עני
611,reich::A,pinvidik,עשיר
612,bekannt::A,anavezet,ידוע
613,berühmt::A,brudet,מפרסם
614,fremd::A,dizanav,זר
615,verschieden::A,disheñel,שונה
616,nah::A,nes,קרוב
617,fern::A,diabell,רחוק
618,linker::A,kleiz,שמאלי
619,rechter::A,dehoù,ימין
620,anderer::A,all,אחר
621,erster::A,kentañ,ראשון
622,zweiter::A,eil,שני
623,dritter::A,trede,שלישי
624,letzter::A,diwezhañ,אחרון
625,allein::ADV,e-unan,לבד
626,auf einmal::ADV,ar un dro,בו-זמנית
627,zusammen::ADV,asambles,ביחד
628,lange::ADV,pell,הרבה זמן
629,plötzlich::ADV,en un taol,לפתע
630,plötzlich::ADV,en un taol,פתאום
631,sofort::ADV,diouzhtu,מיד
632,später::ADV,diwezhatoc'h,לאחר זמן
633,später::ADV,diwezhatoc'h,יותר מאחר
634,jetzt::ADV,bremañ,עכשיו
635,heute::ADV,hiziv,היום
636,morgen::ADV,arc'hoazh,מחר
637,bald::ADV,hepdale,בקרוב
638,dann::ADV,a-c'houde,אחר-כך
639,gestern::ADV,dec'h,אתמול
640,einst::ADV,gwechall,לפנים
641,damals::ADV,neuze,אז
642,danach::ADV,goude,אחר-כך
643,vorher::ADV,diagent,לפני זה
644,zuerst::ADV,da gentañ,קדם
645,einmal::ADV,ur wech,פעם
646,manchmal::ADV,a-wechoù,לפעמים
647,oft::ADV,alies,לעתים קרובות
648,immer::ADV,atav,תמיד
649,immer::ADV,bepred,תמיד
650,niemals::ADV,gwech ebet,אף פעם
651,hier::ADV,amañ,כאן
652,hierhin::ADV,dre amañ,פה
653,von hier::ADV,alemañ,מפה
654,dort::ADV,aze,שם
655,dort::ADV,ahont,שם
656,dorthin::ADV,di,שם
657,dorthin::ADV,aze,שם
658,dorthin::ADV,ahont,שם
659,geradeaus::ADV,war-eeun,ישר
660,vorwärts::ADV,war-raok,קדימה
661,rückwärts::ADV,war-lerc'h,לאחור
662,zurück::ADV,war-dreñv,בחזרה
663,zurück::ADV,war-dreñv,אחורנית
664,unten::ADV,en traoñ,למטה
665,hinab::ADV,a-izel,למטה
666,oben::ADV,en nec'h,מעל
667,oben::ADV,en nec'h,למעלה
668,hinauf::ADV,e-krec'h,למעלה
669,überall::ADV,dre-holl,בכל מקום
670,nicht::ADV,ne ... ket,לא
671,ein wenig::ADV,un tammig,קצת
672,kaum::ADV,a-boan,בקשי
673,sehr::ADV,-tre,מאוד
674,sehr::ADV,-kenañ,מאוד
675,so::ADV,evel-se,כך
676,so::ADV,evel-se,ככה
677,noch::ADV,c'hoazh,עוד
678,noch::ADV,c'hoazh,עדין
679,nur::ADV,hepken,רק
680,schon::ADV,dija,כבר
681,wieder::ADV,adarre,שוב
682,vor::PRP,dirak,מול
683,hinter::PRP,a-drek,מאחורי
684,hinter::PRP,a-dreñv,מאחורי
685,unter::PRP,dindan,מתחת
686,durch::PRP,dre,דרך
687,neben::PRP,e-kichen,ליד
688,neben::PRP,e-kichen,על-יד
689,zwischen::PRP,etre,בין
690,wegen::PRP,abalamour da,בשל
691,wegen::PRP,abalamour da,בגלל
692,dies::PRN,hemañ,זה
693,das::PRN,se,זה
694,das::PRN,hennezh,זה
695,alles::PRN,pep tra,הכל
696,ich::PRN,me,אני
697,du::PRN,te,את
698,du::PRN,te,אתה
699,er::PRN,eñ,הוא
700,wir::PRN,ni,אנחנו
701,ihr::PRN,c'hwi,לה
702,sie::PRN,int,הם
703,was::FPRN,petra,מה
704,wer::FPRN,piv,מי
705,wo::FADV,pelec'h,איפה
706,wohin::FADV,da belec'h,לאן
707,wie::FADV,penaos,איך
708,warum::FADV,perak,למה
709,wieviel::FNUM,pet,כמה
710,eins::NUM,unan,אחד
711,zwei::NUM,daou,שתים
712,drei::NUM,tri,שלושה
713,vier::NUM,pevar,ארבעה
714,fünf::NUM,pemp,חמשה
715,sechs::NUM,c'hwec'h,ששה
716,sieben::NUM,seizh,שבעה
717,acht::NUM,eizh,שמונה
718,neun::NUM,nav,תשעה
719,zehn::NUM,dek,עשרה
720,elf::NUM,unnek,אחת עשרה
721,zwölf::NUM,daouzek,שתים עשרה
722,zwanzig::NUM,ugent,עשרים
723,dreißig::NUM,tregont,שלושים
724,vierzig::NUM,daou-ugent,ארבעים
725,fünfzig::NUM,hanter-kant,חמשים
726,sechzig::NUM,tri-ugent,ששים
727,siebzig::NUM,dek ha tri-ugent,שבעים
728,achtzig::NUM,pevar-ugent,שמונים
729,neunzig::NUM,dek ha pevar-ugent,תשעים
730,hundert::NUM,kant,מאה
731,tausend::NUM,mil,אלף
732,und::CNJ,ha,ו
733,oder::CNJ,pe,או
734,stehen::V,bezañ a-sav,עמד
735,sitzen::V,azezañ,ישב
736,sitzen::V,bezañ en e goazez,ישב
737,liegen::V,bezañ en e c'hourvez,שכב
738,hängen::V,krougañ,היה תלוי
739,werden::V,dazonet,הפך ל
740,passieren::V,c'hoarvezout,קרה
741,beginnen::V,stagañ,התחיל
742,enden::V,achuiñ,הסתים
743,wechseln::V,cheñch,השתנה
744,aufgehen[Sonne]::V,dirouzañ,זרח
745,scheinen[Sonne]::V,lugernañ,בהק
746,donnern::V,taranal,רעם
747,wehen::V,c'hwezhañ,נשב
748,strömen::V,deredek,זרם
749,fließen::V,redek,זרם
750,sich drehen::V,troiñ,הסתובב
751,schwanken::V,trantellat,התנודד
752,schwingen::V,froumal,התנענע
753,fallen::V,kouezhañ,נפל
754,brennen::V,deviñ,בער
755,rauchen::V,divogedañ,עשן
756,regnen::V,glavañ,ירד גשם
757,gefrieren::V,reviñ,קפא
758,tauen::V,diskornañ,נמס
759,schmelzen::V,teuziñ,התיך
760,trocknen::V,sec'hañ,התיבש
761,sieden::V,berviñ,רתח
762,faulen::V,breinañ,רקב
763,verfaulen::V,breinañ,רקב
764,reißen::V,darnaouiñ,נקרע
765,versinken::V,sodellañ,טבע
766,vergehen::V,tremen,עבר
767,erscheinen::V,donet war-wel,נגלה
768,erscheinen::V,donet war-wel,הופיע
769,verschwinden::V,monet diwar wel,נעלם
770,sinken::V,en em izelat,ירד
771,abnehmen::V,nebeutaat,הפחית
772,zunehmen::V,kreskiñ,רבה
773,steigen::V,sevel,עלה
774,wachsen::V,kreskiñ,גדל
775,glänzen::V,lugernañ,נצץ
776,glänzen::V,lugernañ,בהק
777,funkeln::V,elieniñ,נצנץ
778,lärmen::V,rabotat,רעש
779,klirren::V,diridignat,קרקש
780,klirren::V,sterlinkañ,קרקש
781,brausen::V,gwegal,געש
782,rauschen::V,trouzal,רשרש
783,klingen::V,seniñ,נשמע
784,bellen::V,harzhal,נבח
785,heulen::V,yudal,ילל
786,blasen::V,c'hwezhañ,נשף
787,pfeifen::V,c'hwitellat,שרק
788,schreien::V,huchal,צעק
789,stöhnen::V,hirvoudiñ,נאנק
790,zittern::V,krenañ,רעד
791,leben::V,bevañ,חי
