,Concept_ID,sq,it
121,Anhöhe::N,bregore,altura
122,Berg::N,mal,monte
123,Berg::N,mal,montagna
124,Gipfel::N,kulm,cima
125,Höhle::N,shpellë,grotta
126,Höhle::N,shpellë,caverna
127,Höhle::N,zgafelle,grotta
128,Höhle::N,zgafelle,caverna
129,Abhang::N,shpat,pendìo
130,Abhang::N,tatëpjetë,pendìo
131,Quelle::N,krua,sorgente
132,Quelle::N,burim,sorgente
133,Bach::N,virua,ruscello
134,Fluss::N,lumë,fiume
135,Ufer::N,breg,riva
136,Küste::N,anëdet,costa
137,Küste::N,bregdet,costa
138,Festland::N,kontinent,terraferma
139,Meer::N,det,mare
140,Bucht::N,gji deti,cala
141,Insel::N,ishull,ìsola
142,Insel::N,ujdhesë,ìsola
143,Blume::N,lule,fiore
144,Gras::N,bar,erba
145,Wurzel::N,rrënjë,radice
146,Baum::N,pemë,àlbero
147,Stamm::N,trung,tronco
148,Rinde::N,lëvore,corteccia
149,Ast::N,degë,ramo
150,Zweig::N,bisk,ramo
151,Blatt::N,fletë,foglia
152,Blatt::N,gjethe,foglia
153,Birke::N,mështekën,betulla
154,Kiefer[Baum]::N,pishë,pino
155,Weide[Baum]::N,shelg,sàlice
156,Tanne::N,bredh,abete
157,Horn::N,bri,corno
158,Feder::N,pupël,penna
159,Fell::N,lëkurë,manto
160,Fell::N,lëkurë,pelame
161,Flügel::N,krah,ala
162,Flügel::N,fletë,ala
163,Klaue::N,kthetër,grinfia
164,Kralle::N,thua,unghia
165,Kralle::N,thua,artiglio
166,Kralle::N,kthetër,unghia
167,Kralle::N,kthetër,artiglio
168,Schwanz::N,bisht,coda
169,Ei::N,vezë,uovo
170,Nest::N,fole,nido
171,Bau::N,strofkë,covo
172,Tier::N,kafshë,bestia
173,Tier::N,kafshë,animale
174,Herde::N,kope,gregge
175,Herde::N,grigjë,gregge
176,Kuh::N,lopë,vacca
177,Bulle::N,dem,toro
178,Pferd::N,kalë,cavallo
179,Schaf::N,dele,pècora
180,Schwein::N,derr,porco
181,Schwein::N,derr,maiale
182,Hund::N,qen,cane
183,Katze::N,mace,gatta
184,Bär::N,ari,orso
185,Eichhörnchen::N,ketër,scoiàttolo
186,Elch::N,dre brilopatë,alce
187,Fuchs::N,dhelpër,volpe
188,Hase::N,lepur,lepre
189,Maus::N,mi,topo
190,Maus::N,mi,sorcio
191,Wolf::N,ujk,lupo
192,Vogel::N,zog,uccello
193,Vogel::N,shpend,uccello
194,Schwarm::N,luzmë,stormo
195,Huhn::N,pulë,gallina
196,Hahn::N,gjel,gallo
197,Hahn::N,këndes,gallo
198,Gans::N,patë,oca
199,Adler::N,shqiponjë,àquila
200,Ente::N,rosë,ànatra
201,Eule::N,buf,gufo
202,Eule::N,buf,civetta
203,Kranich::N,lejlek,gru
204,Kranich::N,kurrillë,gru
205,Krähe::N,sorrë,cornacchia
206,Kuckuck::N,qyqe,cuccù
207,Kuckuck::N,qyqe,cùculo
208,Schwan::N,mjellmë,cigno
209,Fisch::N,peshk,pesce
210,Barsch::N,purtekë,pèrsico
211,Hecht::N,mlysh,luccio
212,Schlange[Tier]::N,gjarpër,serpente
213,Wurm::N,krimb,baco
214,Wurm::N,krimb,verme
215,Spinne::N,marimangë,ragno
216,Ameise::N,thnegël,formica
217,Ameise::N,milingonë,formica
218,Laus::N,morr,pidocchio
219,Mücke::N,kunup,zanzara
220,Mücke::N,mushkonjë,zanzara
221,Fliege::N,mizë,mosca
222,Schmetterling::N,flutur,farfalla
223,Beere::N,frutë,bacca
224,Beere::N,manaferrë,bacca
225,Apfel::N,mollë,mela
226,Pilz::N,kërpudhë,fungo
227,Zwiebel::N,qepë,cipolla
228,Saat::N,farë,semente
229,Korn::N,grurë,grano
230,Korn::N,kokërr,grano
231,Heu::N,sanë,fieno
232,Schale::N,lëkurë,buccia
233,Grube::N,gropë,cava
234,Grube::N,gropë,fossa
235,Falle::N,kurth,tràppola
236,Falle::N,grackë,tràppola
237,Schlinge::N,nyjë,laccio
238,Spur::N,gjurmë,traccia
239,Asche::N,hi,cenere
240,Dreck::N,baltë,fango
241,Eisen::N,hekur,ferro
242,Gold::N,ar,oro
243,Gold::N,flori,oro
244,Silber::N,argjend,argento
245,Kohle::N,qymyr,carbone
246,Glas::N,qelq,vetro
247,Lehm::N,argjilë,argilla
248,Sand::N,rërë,arena
249,Sand::N,rërë,sabbia
250,Mensch::N,njeri,uomo
251,Mensch::N,njeri,èssere umano
252,Mann::N,burrë,uomo
253,Mann::N,mashkull,uomo
254,Frau::N,grua,donna
255,Frau::N,femër,donna
256,Kind::N,kalama,bambino
257,Junge::N,djalë,ragazzo
258,Mädchen::N,gocë,ragazza
259,Mädchen::N,vajzë,ragazza
260,Familie::N,familje,famiglia
261,Großvater::N,gjysh,nonno
262,Großmutter::N,gjyshe,nonna
263,Eltern::N,prindër,genitori
264,Vater::N,atë,padre
265,Mutter::N,nënë,madre
266,Sohn::N,bir,figlio
267,Tochter::N,bijë,figlia
268,Bruder::N,vëlla,fratello
269,Schwester::N,motër,sorella
270,Onkel::N,dajë,zio
271,Onkel::N,xhaxha,zio
272,Tante::N,teze,zia
273,Tante::N,hallë,zia
274,Ehemann::N,burrë,marito
275,Ehemann::N,bashkëshort,marito
276,Ehefrau::N,grua,moglie
277,Ehefrau::N,bashkëshorte,moglie
278,Freude::N,gaz,gioia
279,Freude::N,gaz,piacere
280,Freude::N,gëzim,gioia
281,Freude::N,gëzim,piacere
282,Gelächter::N,qeshje,risata
283,Glück::N,lumturi,felicità
284,Kummer::N,brengë,afflizione
285,Kummer::N,pikëllim,afflizione
286,Wunsch::N,dëshirë,desiderio
287,Lust::N,epsh,voglia
288,Lust::N,dashuri,voglia
289,Geist::N,frymë,mente
290,Geist::N,frymë,spìrito
291,Geist::N,shpirt,mente
292,Geist::N,shpirt,spìrito
293,Gedanke::N,ide,idea
294,Gedanke::N,ide,pensiero
295,Gedanke::N,mendim,idea
296,Gedanke::N,mendim,pensiero
297,Gedächtnis::N,kujtesë,memoria
298,Verstand::N,mend,intelletto
299,Sinn::N,kuptim,senso
300,Sinn::N,kuptim,significato
301,Grund::N,arsye,causa
302,Grund::N,arsye,motivo
303,Grund::N,arsye,ragione
304,Wahrheit::N,vërtetë,verità
305,Gespräch::N,bisedim,discorso
306,Gespräch::N,bisedim,conversazione
307,Märchen::N,përrallë,fiaba
308,Märchen::N,përrallë,fàvola
309,Erzählung::N,tregim,racconto
310,Erzählung::N,tregim,narrazione
311,Nachricht::N,lajm,messaggio
312,Neuigkeit::N,risi,notizia
313,Name::N,emër,nome
314,Rätsel::N,gjëzë,indovinello
315,Rätsel::N,gjëegjëzë,indovinello
316,Rede::N,fjalim,discorso
317,Sprache::N,gjuhë,lingua
318,Sprache::N,gjuhë,linguaggio
319,Stimme::N,zë,voce
320,Wort::N,fjalë,parola
321,Zeichen::N,shenjë,segno
322,Zeichen::N,shenjë,segnale
323,Ruf::N,thirrmë,chiamata
324,Lärm::N,zhurmë,chiasso
325,Lärm::N,zhurmë,strèpito
326,Laut::N,tingull,suono
327,Ton::N,ton,tono
328,Lied::N,këngë,canto
329,Lied::N,këngë,canzone
330,Ruhe::N,qetësi,calma
331,Ruhe::N,qetësi,tranquillità
332,Leute::N,botë,gente
333,Leute::N,njerëz,gente
334,Volk::N,popull,pòpolo
335,Arbeit::N,punë,lavoro
336,Gast::N,mik,òspite
337,Gast::N,mik,invitato
338,Gast::N,mysafir,òspite
339,Gast::N,mysafir,invitato
340,Geschenk::N,dhuratë,regalo
341,Geschenk::N,peshqesh,regalo
342,Spiel::N,lojë,gioco
343,Gesellschaft::N,shoqëri,compagnìa
344,Hilfe::N,ndihmë,aiuto
345,Hilfe::N,ndihmë,soccorso
346,Freund::N,mik,amico
347,Kamerad::N,shok,camerata
348,Angelegenheit::N,punë,affare
349,Angelegenheit::N,punë,faccenda
350,Anzahl::N,sasi,nùmero
351,Anzahl::N,sasi,quantità
352,Art::N,lloj,tipo
353,Art::N,lloj,specie
354,Stück::N,copë,pezzo
355,Teil::N,pjesë,parte
356,Hälfte::N,gjysmë,metà
357,Kreis::N,qark,cìrcolo
358,Kreis::N,rreth,cìrcolo
359,Kreuz::N,kryq,croce
360,Linie::N,vijë,lìnea
361,Strich::N,vizë,tratto
362,Abstand::N,distancë,distanza
363,Entfernung::N,largim,distanza
364,Entfernung::N,largim,lontananza
365,Gegend::N,vise,regione
366,Gegend::N,krahinë,regione
367,Platz::N,shesh,posto
368,Platz::N,shesh,spazio
369,Ort::N,vend,luogo
370,Ort::N,vend,località
371,Seite::N,anë,lato
372,Seite::N,anë,parte
373,Mitte::N,mes,mezzo
374,Mitte::N,mes,centro
375,Gegenstand::N,send,oggetto
376,Sache::N,gjë,cosa
377,Sache::N,send,cosa
378,Rand::N,qoshe,orlo
379,Rand::N,qoshe,bordo
380,Kante::N,teh,spìgolo
381,Ecke::N,qoshe,canto
382,Spitze::N,majë,punta
383,Ende::N,skaj,capo
384,Ende::N,skaj,estremità
385,Ende::N,bisht,capo
386,Ende::N,bisht,estremità
387,Loch::N,vrimë,buco
388,Winkel::N,kënd,àngolo
389,Muster::N,mostër,disegno
390,Größe::N,madhësi,taglia
391,Größe::N,madhësi,grandezza
392,Länge::N,gjatësi,lunghezza
393,Höhe::N,lartësi,altezza
394,Gewicht::N,peshë,peso
395,Menge::N,sasi,quantità
396,Haufen::N,grumbull,cùmulo
397,Haufen::N,grumbull,mucchio
398,Reihe::N,radhë,fila
399,Reihe::N,rresht,fila
400,Boot::N,barkë,barca
401,Boot::N,barkë,battello
402,Boot::N,lundër,barca
403,Boot::N,lundër,battello
404,Ruder::N,rrem,remo
405,Schlitten::N,sajë,slitta
406,Ski::N,ski,sci
407,Lagerfeuer::N,flakadan,falò
408,Lagerfeuer::N,flakadan,fuoco di bivacco
409,Lagerfeuer::N,zjarr i madh,falò
410,Lagerfeuer::N,zjarr i madh,fuoco di bivacco
411,Last::N,barrë,càrico
412,Gang::N,ecje,andata
413,Schritt::N,hap,passo
414,Norden::N,veri,nord
415,Norden::N,veri,settentrione
416,Süden::N,jug,sud
417,Süden::N,jug,meridione
418,Westen::N,perëndim,òvest
419,Westen::N,perëndim,occidente
420,Osten::N,lindje,est
421,Osten::N,lindje,oriente
422,Holz::N,dru,legno
423,Brett::N,dërrasë,asse
424,Brett::N,dërrasë,tàvola
425,Platte::N,pllakë,lastra
426,Platte::N,pllakë,piastra
427,Stütze::N,shtyllë,supporto
428,Stütze::N,mbështetesë,supporto
429,Stange::N,shufër,sbarra
430,Stange::N,shufër,pèrtica
431,Stock::N,dajak,verga
432,Stock::N,dajak,bastone
433,Stock::N,dajak,bacchetta
434,Stab::N,shkop,asta
435,Rohr::N,tub,tubo
436,Haus::N,shtëpi,casa
437,Heim::N,konak,casa
438,Heim::N,shtëpi,casa
439,Ofen::N,sobë,stufa
440,Ofen::N,stufë,stufa
441,Fußboden::N,dysheme,pavimento
442,Tisch::N,tryezë,tàvolo
443,Stuhl::N,karrige,sedia
444,Wiege::N,djep,culla
445,Bett::N,shtrat,letto
446,Regal::N,raft,scaffale
447,Kiste::N,kuti,cassa
448,Fenster::N,dritare,finestra
449,Tür::N,derë,porta
450,Tor::N,portë,portone
451,Zaun::N,gardh,recinto
452,Dach::N,çati,tetto
453,Leiter::N,shkallë,scala
454,Leiter::N,shkallë,scala a pioli
455,Besen::N,fshesë,scopa
456,Spaten::N,lopatë,vanga
457,Schaufel::N,qyrek,pala
458,Gabel::N,pirun,forchetta
459,Löffel::N,lugë,cucchiaio
460,Messer::N,thikë,coltello
461,Nagel::N,gozhdë,chiodo
462,Netz::N,rrjetë,rete
463,Haken::N,grep,uncino
464,Haken::N,grremç,uncino
465,Griff::N,dorak,mànico
466,Griff::N,dorak,maniglia
467,Griff::N,dorezë,mànico
468,Griff::N,dorezë,maniglia
469,Schloss::N,bravë,serratura
470,Bild::N,tablo,quadro
471,Bild::N,tablo,immàgine
472,Bild::N,pikturë,quadro
473,Bild::N,pikturë,immàgine
474,Figur::N,figurë,figura
475,Puppe::N,kukull,bàmbola
476,Beutel::N,qese,borsa
477,Beutel::N,qese,sacchetto
478,Beutel::N,trastë,borsa
479,Beutel::N,trastë,sacchetto
480,Bündel::N,deng,fascio
481,Bündel::N,deng,fagotto
482,Tasche::N,çantë,borsa
483,Eimer::N,kovë,secchio
484,Deckel::N,kapak,coperchio
485,Deckel::N,mbulesë,coperchio
486,Geschirr::N,enë,stoviglie
487,Sack::N,thes,sacco
488,Sack::N,torbë,sacco
489,Tasse::N,filxhan,tazza
490,Topf::N,kusi,pèntola
491,Topf::N,tenxhere,pèntola
492,Kessel::N,kazan,paiolo
493,Kessel::N,kazan,calderone
494,Essen::N,ngrënie,pasto
495,Essen::N,ngrënie,mangiare
496,Nahrung::N,ushqim,cibo
497,Nahrung::N,ushqim,alimento
498,Speise::N,gatesë,piatto
499,Fleisch::N,mish,carne
500,Getreide::N,drithë,cereali
501,Brei::N,qull,purè
502,Brei::N,qull,pappa
503,Brot::N,bukë,pane
504,Scheibe::N,fetë,fetta
505,Scheibe::N,fetë,trancia
506,Fett::N,lyrë,grasso
507,Fett::N,yndyrë,grasso
508,Butter::N,gjalpë,burro
509,Öl::N,vaj,olio
510,Salz::N,kripë,sale
511,Suppe::N,supë,zuppa
512,Suppe::N,supë,minestra
513,Suppe::N,çorbë,zuppa
514,Suppe::N,çorbë,minestra
515,Honig::N,mjaltë,miele
516,Milch::N,qumësht,latte
517,Tee::N,çaj,tè
518,Leder::N,lëkurë,pelle
519,Wolle::N,lesh,lana
520,Stoff::N,pëlhurë,panno
521,Stoff::N,pëlhurë,tessuto
522,Nadel::N,gjilpërë,ago
523,Faden::N,pe,filo
524,Faden::N,fije,filo
525,Knopf::N,kopsë,bottone
526,Knoten::N,komb,nodo
527,Farbe::N,bojë,pittura
528,Kleidung::N,veshje,vestiti
529,Kleidung::N,veshje,vestiario
530,Hemd::N,këmishë,camicia
531,Kragen::N,jakë,bàvero
532,Kragen::N,jakë,colletto
533,Ärmel::N,mëngë,mànica
534,Hose::N,brekë,calzoni
535,Gürtel::N,rrip,cintura
536,Mütze::N,kësulë,berretto
537,Schuh::N,këpucë,scarpa
538,Stiefel::N,çizme,stivale
539,Ring::N,unazë,anello
540,Band::N,shirit,nastro
541,Band::N,shirit,fettuccia
542,Kamm::N,krehër,pèttine
543,Spiegel::N,pasqyrë,specchio
544,Riemen::N,rrip,cinghia
545,Schnur::N,litar,corda
546,Schnur::N,cikomë,corda
547,Leine::N,rrip,guinzaglio
548,Decke::N,batanije,coperta
549,Kissen::N,jastëk,cuscino
550,Kissen::N,jastëk,guanciale
551,Tuch::N,shami,fazzoletto
552,Handtuch::N,peshqir,asciugamano
553,Kraft::N,forcë,forza
554,Stärke::N,koll,forza
555,Stärke::N,koll,vigore
556,Stärke::N,koll,fortezza
557,Gesundheit::N,shëndet,salute
558,Krankheit::N,sëmundje,malattìa
559,Schmerz::N,dhimbje,dolore
560,Wunde::N,plagë,piaga
561,Wunde::N,plagë,ferita
562,Fieber::N,ethe,febbre
563,Arznei::N,ilaç,fàrmaco
564,Arznei::N,ilaç,medicina
565,Brücke::N,urë,ponte
566,Brunnen::N,pus,pozzo
567,Weide::N,kullotë,pàscolo
568,Pfad::N,ravë,sentiero
569,Pfad::N,shteg,sentiero
570,Weg::N,udhë,via
571,Weg::N,udhë,cammino
572,Weg::N,shteg,via
573,Weg::N,shteg,cammino
574,Straße::N,rrugë,strada
575,Dorf::N,fshat,paese
576,Dorf::N,fshat,villaggio
577,Dorf::N,katund,paese
578,Dorf::N,katund,villaggio
579,Stadt::N,qytet,città
580,Brief::N,letër,lèttera
581,Buch::N,libër,libro
582,Buchstabe::N,shkronjë,lèttera
583,Zeitung::N,gazetë,giornale
584,Leben::N,jetë,vita
585,Tod::N,mortje,morte
586,Grab::N,varr,tomba
587,Grab::N,varr,sepolcro
588,Kirche::N,kishë,chiesa
589,Sünde::N,mëkat,peccato
590,Sünde::N,gjynah,peccato
591,Gott::N,hy,dio
592,Gott::N,zot,dio
593,Arbeiter::N,punëtor,operaio
594,Arbeiter::N,punëtor,lavoratore
595,Chef::N,shef,capo
596,Chef::N,shef,padrone
597,Chef::N,drejtues,capo
598,Chef::N,drejtues,padrone
599,Meister::N,mjeshtër,mastro
600,Meister::N,mjeshtër,maestro
601,Arzt::N,mjek,mèdico
602,Arzt::N,mjek,dottore
603,Arzt::N,doktor,mèdico
604,Arzt::N,doktor,dottore
605,Lehrer::N,mësues,professore
606,Lehrer::N,arsimtar,professore
607,Geld::N,para,soldi
608,Geld::N,para,denaro
609,Geld::N,holla,soldi
610,Geld::N,holla,denaro
611,Geschäft::N,ujdi,affare
612,Geschäft::N,ujdi,negozio
613,Geschäft::N,biznes,affare
614,Geschäft::N,biznes,negozio
615,Laden::N,dyqan,negozio
616,Preis::N,çmim,prezzo
617,Ware::N,mall,merce
618,Nutzen::N,dobi,ùtile
619,Nutzen::N,dobi,profitto
620,Nutzen::N,leverdi,ùtile
621,Nutzen::N,leverdi,profitto
622,Reichtum::N,kamje,ricchezza
623,Reichtum::N,pasuri,ricchezza
624,Welt::N,botë,mondo
625,Land::N,vend,paese
626,Staat::N,shtet,Stato
627,König::N,mbret,re
628,Macht::N,fuqi,potere
629,Macht::N,pushtet,potere
630,Grenze::N,kufi,confine
631,Grenze::N,kufi,frontiera
632,Krieg::N,luftë,guerra
633,Feind::N,armik,nemico
634,Gewalt::N,dhunë,violenza
635,Kampf::N,luftim,lotta
636,Bogen[Waffe]::N,hark,arco
637,Pfeil::N,shigjetë,freccia
638,Gewehr::N,pushkë,fucile
639,Fehler::N,gafë,errore
640,Fehler::N,gafë,sbaglio
641,Fehler::N,gabim,errore
642,Fehler::N,gabim,sbaglio
643,Lüge::N,gënjeshtër,bugìa
644,Lüge::N,gënjeshtër,menzogna
645,Schaden::N,dëm,danno
646,Schaden::N,zarar,danno
647,Unglück::N,fatkeqësi,sfortuna
648,Schuld::N,faj,colpa
649,Alter::N,moshë,età
650,Schluss::N,fund,fine
651,Zeit::N,kohë,tempo
652,Tag::N,ditë,giorno
653,Tag::N,ditë,giornata
654,Morgen::N,mëngjes,mattina
655,Mittag::N,mesditë,mezzogiorno
656,Abend::N,mbrëmje,sera
657,Abend::N,mbrëmje,serata
658,Nacht::N,natë,notte
659,Woche::N,javë,settimana
660,Monat::N,muaj,mese
661,Jahr::N,vit,anno
662,Frühling::N,pranverë,primavera
663,Sommer::N,verë,estate
664,Herbst::N,vjeshtë,autunno
665,Winter::N,dimër,inverno
666,Januar::N,janar,gennaio
667,Februar::N,shkurt,febbraio
668,März::N,mars,marzo
669,April::N,prill,aprile
670,Mai::N,maj,maggio
671,Juni::N,qershor,giugno
672,Juli::N,korrik,luglio
673,August::N,gusht,agosto
674,September::N,shtator,settembre
675,Oktober::N,tetor,ottobre
676,November::N,nëntor,novembre
677,Dezember::N,dhjetor,dicembre
678,Montag::N,hënë,lunedì
679,Dienstag::N,martë,martedì
680,Mittwoch::N,mërkurë,mercoledì
681,Donnerstag::N,enjte,giovedì
682,Freitag::N,premte,venerdì
683,Samstag::N,shtunë,sàbato
684,Sonntag::N,diel,domenica
685,groß::A,madh,grande
686,klein::A,vogël,pìccolo
687,lang::A,gjatë,lungo
688,kurz::A,shkurtër,corto
689,breit::A,gjerë,largo
690,schmal::A,ngushtë,stretto
691,dicht::A,dendur,denso
692,dick[Gegenstand]::A,trashë,spesso
693,dünn::A,hollë,sottile
694,fein::A,imët,fine
695,fein::A,imët,delicato
696,fest::A,fortë,sodo
697,fest::A,fortë,fisso
698,flach::A,sheshtë,piano
699,flach::A,sheshtë,piatto
700,glatt::A,rrafshët,liscio
701,hart::A,fortë,duro
702,weich::A,butë,molle
703,rund::A,rrumbullakët,rotondo
704,spitz::A,majëmprehtë,aguzzo
705,spitz::A,majëmprehtë,appuntito
706,scharf::A,mprehtë,affilato
707,scharf::A,mprehtë,tagliente
708,stumpf::A,topitur,smussato
709,schwer::A,rëndë,pesante
710,schön::A,bukur,bello
711,heiß::A,nxehtë,caldo
712,heiß::A,nxehtë,bollente
713,warm::A,ngrohtë,caldo
714,kalt::A,ftohtë,freddo
715,kühl::A,freskët,fresco
716,frisch::A,pastër,fresco
717,feucht::A,lagësht,ùmido
718,nass::A,lagur,bagnato
719,trocken::A,thatë,secco
720,voll::A,plotë,pieno
721,leer::A,bosh,vuoto
722,leer::A,zbrazët,vuoto
723,offen::A,hapur,aperto
724,geschlossen::A,mbyllur,chiuso
725,sauber::A,dëlirë,netto
726,sauber::A,dëlirë,pulito
727,schmutzig::A,ndyrë,sporco
728,schmutzig::A,ndyrë,sùdicio
729,roh::A,gjallë,crudo
730,reif::A,arrirë,maturo
731,lecker::A,shijshëm,ghiotto
732,lecker::A,shijshëm,squisito
733,süß::A,ëmbël,dolce
734,bitter::A,hidhur,amaro
735,sauer::A,thartë,aspro
736,sauer::A,thartë,acerbo
737,hell::A,me dritë,chiaro
738,dunkel::A,errët,buio
739,dunkel::A,errët,oscuro
740,schwarz::A,i zi,nero
741,weiß::A,bardhë,bianco
742,rot::A,kuq,rosso
743,gelb::A,verdhë,giallo
744,blau::A,blu,blu
745,blau::A,blu,azzurro
746,blau::A,kaltër,blu
747,blau::A,kaltër,azzurro
748,grün::A,blertë,verde
749,grün::A,gjelbër,verde
750,grau::A,hirtë,grigio
751,grau::A,bojë hiri,grigio
752,bunt::A,shumëngjyrëshëm,variopinto
753,billig::A,lirë,a buon prezzo
754,billig::A,lirë,a buon mercato
755,teuer::A,shtrenjtë,caro
756,wertvoll::A,çmuar,prezioso
757,wertvoll::A,vlershëm,prezioso
758,blind::A,qorr,cieco
759,blind::A,verbër,cieco
760,taub::A,shurdhër,sordo
761,kräftig::A,fuqishëm,forte
762,kräftig::A,fuqishëm,robusto
763,stark::A,fortë,forte
764,stark::A,fortë,vigoroso
765,schwach::A,dobët,dèbole
766,fett::A,dhjamur,grasso
767,schlank::A,hollë,snello
768,schlank::A,hollë,slanciato
769,hübsch::A,bukur,bello
770,hübsch::A,bukur,carino
771,hübsch::A,hijshëm,bello
772,hübsch::A,hijshëm,carino
773,böse::A,keq,cattivo
774,dumm::A,teveqel,stùpido
775,faul::A,dembel,pigro
776,fleißig::A,zellshëm,diligente
777,geizig::A,kurnac,avaro
778,geizig::A,dorështrënguar,avaro
779,klug::A,mençur,intelligente
780,geschickt::A,aftë,àbile
781,lieb::A,dashur,caro
782,lustig::A,gëzuar,gaio
783,lustig::A,gëzuar,allegro
784,sanft::A,butë,dolce
785,hungrig::A,uritur,affamato
786,krank::A,sëmurë,malato
787,krank::A,sëmurë,infermo
788,nackt::A,lakuriq,nudo
789,nackt::A,zhveshur,nudo
790,traurig::A,trishtuar,triste
791,lebendig::A,gjallë,vivo
792,gut::A,mirë,buono
793,schlecht::A,keq,cattivo
794,richtig::A,drejtë,giusto
795,schlimm::A,keq,grave
796,wahr::A,vërtetë,vero
797,alt::A,vjetër,vecchio
798,neu::A,i ri,nuovo
799,ehemalig::A,dikurshëm,vecchio
800,ehemalig::A,dikurshëm,d'una_volta
801,alt[Lebewesen]::A,plak,anziano
802,jung::A,i ri,giovane
803,arm::A,varfër,pòvero
804,arm::A,vobektë,pòvero
805,reich::A,pasur,ricco
806,bekannt::A,njohur,noto
807,bekannt::A,njohur,conosciuto
808,berühmt::A,famshëm,famoso
809,berühmt::A,famshëm,cèlebre
810,fremd::A,huaj,estràneo
811,fremd::A,huaj,straniero
812,verschieden::A,ndryshëm,diverso
813,verschieden::A,ndryshëm,differente
814,nah::A,afërt,vicino
