,Concept_ID,no,sv
94,Frost::N,frost,frost
95,Kälte::N,kulde,köld
96,Hitze::N,hete,hetta
97,Raureif::N,rimfrost,rimfrost
98,Regenbogen::N,regnbue,regnbåge
99,Donner::N,torden,åska
100,Donner::N,torden,dunder
101,Strömung::N,strømning,strömning
102,Tropfen::N,dråpe,dropper
103,Schaum::N,skum,skum
104,Schmutz::N,søl,lort
105,Schmutz::N,søl,smuts
106,Schmutz::N,skitt,lort
107,Schmutz::N,skitt,smuts
108,See::N,sjø,sjö
109,Sumpf::N,sump,träsk
110,Sumpf::N,myrlende,träsk
111,Moor::N,myr,myr
112,Moor::N,myr,mosse
113,Moor::N,myrhei,myr
114,Moor::N,myrhei,mosse
115,Wiese::N,eng,äng
116,Wald::N,skog,skog
117,Hügel::N,haug,höjd
118,Hügel::N,haug,kulle
119,Hügel::N,bakke,höjd
120,Hügel::N,bakke,kulle
121,Anhöhe::N,haug,höjd
122,Anhöhe::N,haug,backe
123,Anhöhe::N,bakke,höjd
124,Anhöhe::N,bakke,backe
125,Berg::N,berg,berg
126,Berg::N,berg,fjäll
127,Berg::N,fjell,berg
128,Berg::N,fjell,fjäll
129,Gipfel::N,topp,topp
130,Höhle::N,hule,håla
131,Höhle::N,hule,grotta
132,Abhang::N,li,slänt
133,Abhang::N,li,sluttning
134,Abhang::N,skråning,slänt
135,Abhang::N,skråning,sluttning
136,Quelle::N,kilde,källa
137,Bach::N,bekk,bäck
138,Fluss::N,elv,älv
139,Fluss::N,elv,flod
140,Ufer::N,bredd,strand
141,Küste::N,kyst,kust
142,Festland::N,fastland,fastland
143,Meer::N,hav,hav
144,Bucht::N,bukt,vik
145,Bucht::N,bukt,bukt
146,Insel::N,øy,ö
147,Blume::N,blomst,blomma
148,Blume::N,blomst,blomster
149,Gras::N,gress,gräs
150,Wurzel::N,rot,rot
151,Baum::N,tre,träd
152,Stamm::N,stamme,stam
153,Rinde::N,bark,bark
154,Ast::N,gren,gren
155,Zweig::N,kvist,kvist
156,Blatt::N,blad,löv
157,Blatt::N,blad,blad
158,Birke::N,bjørk,björk
159,Kiefer[Baum]::N,furu,tall
160,Weide[Baum]::N,selje,pil
161,Weide[Baum]::N,selje,vide
162,Weide[Baum]::N,piletre,pil
163,Weide[Baum]::N,piletre,vide
164,Tanne::N,gran,gran
165,Horn::N,horn,horn
166,Feder::N,fjær,fjäder
167,Fell::N,skinn,fäll
168,Fell::N,skinn,skinn
169,Flügel::N,vinge,vinge
170,Klaue::N,klauv,klöv
171,Kralle::N,klo,klo
172,Schwanz::N,hale,svans
173,Schwanz::N,hale,stjärt
174,Ei::N,egg,ägg
175,Nest::N,rede,rede
176,Nest::N,rede,näste
177,Bau::N,hi,bo
178,Tier::N,dyr,djur
179,Herde::N,flokk,flock
180,Kuh::N,ku,ko
181,Bulle::N,tyr,tjur
182,Pferd::N,hest,häst
183,Schaf::N,får,får
184,Schwein::N,gris,svin
185,Hund::N,hund,hund
186,Katze::N,katt,katt
187,Bär::N,bjørn,björn
188,Eichhörnchen::N,ekorn,ekorre
189,Elch::N,elg,älg
190,Fuchs::N,rev,räv
191,Hase::N,hare,hare
192,Maus::N,mus,mus
193,Wolf::N,ulv,varg
194,Wolf::N,varg,varg
195,Vogel::N,fugl,fågel
196,Schwarm::N,sverm,svärm
197,Huhn::N,høne,höns
198,Hahn::N,hane,tupp
199,Gans::N,gås,gås
200,Adler::N,ørn,örn
201,Ente::N,and,anka
202,Eule::N,ugle,uggla
203,Kranich::N,trane,trana
204,Krähe::N,kråke,kråka
205,Kuckuck::N,gjøk,gök
206,Schwan::N,svane,svan
207,Fisch::N,fisk,fisk
208,Barsch::N,abbor,abborre
209,Hecht::N,gjedde,gädda
210,Schlange[Tier]::N,orm,orm
211,Schlange[Tier]::N,slange,orm
212,Wurm::N,orm,mask
213,Wurm::N,mark,mask
214,Spinne::N,edderkopp,spindel
215,Ameise::N,maur,myra
216,Laus::N,lus,lus
217,Mücke::N,mygg,mygga
218,Fliege::N,flue,fluga
219,Schmetterling::N,sommerfugl,fjäril
220,Beere::N,bær,bär
221,Apfel::N,eple,äpple
222,Pilz::N,sopp,svamp
223,Zwiebel::N,løk,lök
224,Saat::N,sæd,sådd
225,Korn::N,korn,korn
226,Heu::N,høy,hö
227,Schale::N,skall,skal
228,Grube::N,grop,grop
229,Falle::N,felle,fälla
230,Schlinge::N,snare,snara
231,Spur::N,spor,spår
232,Asche::N,aske,aska
233,Dreck::N,møkk,lort
234,Dreck::N,skitt,lort
235,Eisen::N,jern,järn
236,Gold::N,gull,guld
237,Silber::N,sølv,silver
238,Kohle::N,kol,kol
239,Kohle::N,kull,kol
240,Glas::N,glass,glas
241,Lehm::N,leire,lera
242,Sand::N,sand,sand
243,Mensch::N,menneske,människa
244,Mann::N,mann,man
245,Frau::N,kvinne,kvinna
246,Kind::N,barn,barn
247,Junge::N,gutt,pojke
248,Mädchen::N,pike,flicka
249,Mädchen::N,jente,flicka
250,Familie::N,familie,familj
251,Großvater::N,bestefar,morfar
252,Großmutter::N,bestemor,farmor
253,Eltern::N,foreldre,föräldrar
254,Vater::N,far,far
255,Mutter::N,mor,mor
256,Sohn::N,sønn,son
257,Tochter::N,datter,dotter
258,Bruder::N,bror,bror
259,Schwester::N,søster,syster
260,Onkel::N,onkel,morbror
261,Tante::N,tante,tant
262,Ehemann::N,ektemann,äkta man
263,Ehefrau::N,hustru,hustru
264,Freude::N,glede,fröjd
265,Freude::N,glede,glädje
266,Gelächter::N,latter,åtlöje
267,Glück::N,lykke,lycka
268,Kummer::N,sorg,sorg
269,Wunsch::N,ønske,önskan
270,Lust::N,lyst,lust
271,Geist::N,ånd,ande
272,Gedanke::N,tanke,tanke
273,Gedächtnis::N,minne,minne
274,Gedächtnis::N,hukommelse,minne
275,Verstand::N,forstand,förstånd
276,Sinn::N,mening,mening
277,Sinn::N,mening,betydelse
278,Sinn::N,betydning,mening
279,Sinn::N,betydning,betydelse
280,Grund::N,grunn,skäl
281,Grund::N,grunn,grund
282,Wahrheit::N,sannhet,sanning
283,Gespräch::N,samtale,samtal
284,Märchen::N,eventyr,saga
285,Erzählung::N,fortelling,berättelse
286,Nachricht::N,melding,meddelande
287,Neuigkeit::N,nyhet,nyhet
288,Name::N,navn,namn
289,Rätsel::N,gåte,gåta
290,Rede::N,tale,tal
291,Sprache::N,språk,språk
292,Stimme::N,stemme,stämma
293,Wort::N,ord,ord
294,Zeichen::N,tegn,tecken
295,Ruf::N,rop,rop
296,Lärm::N,bråk,bråk
297,Lärm::N,bråk,oväsen
298,Laut::N,lyd,ljud
299,Ton::N,tone,ton
300,Lied::N,vise,sång
301,Ruhe::N,ro,ro
302,Ruhe::N,ro,lugn
303,Leute::N,folk,folk
304,Volk::N,folk,folk
305,Arbeit::N,arbeid,arbete
306,Gast::N,gjest,gäst
307,Geschenk::N,gave,gåva
308,Geschenk::N,gave,present
309,Spiel::N,lek,lek
310,Spiel::N,lek,spel
311,Spiel::N,spill,lek
312,Spiel::N,spill,spel
313,Gesellschaft::N,selskap,sällskap
314,Hilfe::N,hjelp,hjälp
315,Freund::N,venn,vän
316,Kamerad::N,kamerat,kamrat
317,Angelegenheit::N,sak,ärende
318,Angelegenheit::N,sak,angelägenhet
319,Angelegenheit::N,anliggende,ärende
320,Angelegenheit::N,anliggende,angelägenhet
321,Anzahl::N,antall,antal
322,Art::N,art,art
323,Art::N,art,slag
324,Art::N,slag,art
325,Art::N,slag,slag
326,Stück::N,stykke,stycke
327,Teil::N,del,del
328,Hälfte::N,halvdel,halva
329,Kreis::N,ring,krets
330,Kreis::N,ring,cirkel
331,Kreis::N,sirkel,krets
332,Kreis::N,sirkel,cirkel
333,Kreuz::N,kors,kors
334,Kreuz::N,kors,kryss
335,Kreuz::N,kryss,kors
336,Kreuz::N,kryss,kryss
337,Linie::N,linje,linje
338,Strich::N,strek,streck
339,Abstand::N,avstand,avstånd
340,Entfernung::N,avstand,avstånd
341,Gegend::N,strøk,trakt
342,Platz::N,plass,plats
343,Ort::N,sted,plats
344,Ort::N,sted,ställe
345,Seite::N,side,sida
346,Mitte::N,midte,mitt
347,Gegenstand::N,gjenstand,föremål
348,Sache::N,sak,sak
349,Rand::N,rand,rand
350,Kante::N,kant,kant
351,Ecke::N,hjørne,vrå
352,Ecke::N,hjørne,hörn
353,Spitze::N,spiss,spets
354,Ende::N,ende,ända
355,Loch::N,hull,hål
356,Winkel::N,vinkel,vinkel
357,Muster::N,mønster,mönster
358,Größe::N,størrelse,storlek
359,Länge::N,lengde,längd
360,Höhe::N,høyde,höjd
361,Gewicht::N,vekt,tyngd
362,Menge::N,mengde,mängd
363,Haufen::N,haug,hög
364,Haufen::N,bunke,hög
365,Reihe::N,rekke,rad
366,Boot::N,båt,båt
367,Ruder::N,åre,åra
368,Schlitten::N,slede,släde
369,Schlitten::N,kjelke,släde
370,Ski::N,ski,skida
371,Lagerfeuer::N,leirbål,lägereld
372,Last::N,bør,last
373,Last::N,bør,börda
374,Last::N,last,last
375,Last::N,last,börda
376,Gang::N,gang,gång
377,Schritt::N,steg,steg
378,Schritt::N,skritt,steg
379,Norden::N,nord,norr
380,Süden::N,sør,söder
381,Westen::N,vest,väster
382,Osten::N,øst,öster
383,Holz::N,tre,trä
384,Brett::N,fjøl,bräda
385,Brett::N,brett,bräda
386,Platte::N,plate,platta
387,Stütze::N,støtte,stöd
388,Stütze::N,støtte,stötta
389,Stange::N,stang,stång
390,Stock::N,pinne,käpp
391,Stock::N,pinne,pinne
392,Stab::N,stav,stav
393,Stab::N,kjepp,stav
394,Rohr::N,rør,rör
395,Haus::N,hus,hus
396,Heim::N,hjem,hem
397,Ofen::N,ovn,ugn
398,Fußboden::N,gulv,golv
399,Tisch::N,bord,bord
400,Stuhl::N,stol,stol
401,Wiege::N,vogge,vagga
402,Bett::N,seng,säng
403,Regal::N,reol,hylla
404,Regal::N,hylle,hylla
405,Kiste::N,kasse,låda
406,Fenster::N,vindu,fönster
407,Tür::N,dør,dörr
408,Tor::N,port,port
409,Zaun::N,gjerde,staket
410,Zaun::N,gjerde,stängsel
411,Dach::N,tak,tak
412,Leiter::N,stige,stege
413,Besen::N,kost,kvast
414,Spaten::N,spade,spade
415,Schaufel::N,skuffe,skovel
416,Schaufel::N,skuffe,skyffel
417,Gabel::N,gaffel,gaffel
418,Löffel::N,skje,sked
419,Messer::N,kniv,kniv
420,Nagel::N,spiker,spik
421,Netz::N,nett,nät
422,Haken::N,krok,krok
423,Griff::N,tak,tag
424,Griff::N,tak,handtag
425,Griff::N,håndtak,tag
426,Griff::N,håndtak,handtag
427,Schloss::N,lås,las
428,Bild::N,bilde,bild
429,Figur::N,figur,figur
430,Puppe::N,dukke,docka
431,Beutel::N,pose,påse
432,Bündel::N,bylt,bunt
433,Bündel::N,bylt,knippa
434,Tasche::N,veske,väska
435,Eimer::N,bøtte,hink
436,Eimer::N,bøtte,ämbar
437,Deckel::N,lokk,lock
438,Geschirr::N,kjøkkentøy,servis
439,Geschirr::N,kjøkkentøy,porslin
440,Sack::N,sekk,säck
441,Tasse::N,kopp,kopp
442,Topf::N,gryte,gryta
443,Topf::N,gryte,kastrull
444,Kessel::N,kjele,kittel
445,Essen::N,mål,mål
446,Nahrung::N,mat,näring
447,Nahrung::N,næring,näring
448,Speise::N,matrett,maträtt
449,Fleisch::N,kjøtt,kött
450,Getreide::N,korn,säd
451,Getreide::N,korn,spannmål
452,Brei::N,grøt,gröt
453,Brot::N,brød,bröd
454,Scheibe::N,skive,skiva
455,Fett::N,fett,fett
456,Butter::N,smør,smör
457,Öl::N,olje,olja
458,Salz::N,salt,salt
459,Suppe::N,suppe,soppa
460,Honig::N,honning,honung
461,Milch::N,melk,mjölk
462,Tee::N,te,te
463,Leder::N,lær,läder
464,Leder::N,skinn,läder
465,Wolle::N,ull,ull
466,Wolle::N,ull,ylle
467,Stoff::N,tøy,tyg
468,Stoff::N,tøy,stoff
469,Stoff::N,stoff,tyg
470,Stoff::N,stoff,stoff
471,Nadel::N,nål,nål
472,Faden::N,tråd,tråd
473,Knopf::N,knapp,knapp
474,Knoten::N,knute,knut
475,Farbe::N,farge,färg
476,Kleidung::N,påkledning,klädsel
477,Hemd::N,skjorte,skjorta
478,Kragen::N,krage,krage
479,Ärmel::N,erme,ärm
480,Hose::N,bukse,byxor
481,Gürtel::N,belte,bälte
482,Mütze::N,lue,mössa
483,Schuh::N,sko,sko
484,Stiefel::N,støvel,stövel
485,Ring::N,ring,ring
486,Band::N,band,band
487,Kamm::N,kam,kam
488,Spiegel::N,speil,spegel
489,Riemen::N,rem,rem
490,Schnur::N,snor,snöre
491,Leine::N,line,lina
492,Decke::N,teppe,täcke
493,Kissen::N,pute,dyna
494,Kissen::N,pute,kudde
495,Tuch::N,tøy,sjal
496,Handtuch::N,håndkle,handduk
497,Kraft::N,kraft,kraft
498,Stärke::N,styrke,styrka
499,Gesundheit::N,helse,hälsa
500,Gesundheit::N,sunnhet,hälsa
501,Krankheit::N,syke,sjukdom
502,Krankheit::N,sykdom,sjukdom
503,Schmerz::N,smerte,smärta
504,Wunde::N,sår,sår
505,Fieber::N,feber,feber
506,Arznei::N,medisin,medicin
507,Arznei::N,medisin,läkemedel
508,Arznei::N,legemiddel,medicin
509,Arznei::N,legemiddel,läkemedel
510,Brücke::N,bro,bro
511,Brunnen::N,brønn,brunn
512,Weide::N,beite,bete
513,Pfad::N,sti,stig
514,Weg::N,vei,väg
515,Straße::N,gate,gata
516,Dorf::N,landsby,by
517,Stadt::N,by,stad
518,Brief::N,brev,brev
519,Buch::N,bok,bok
520,Buchstabe::N,bokstav,bokstav
521,Zeitung::N,avis,tidning
522,Leben::N,liv,liv
523,Tod::N,død,död
524,Grab::N,grav,grav
525,Kirche::N,kirke,kyrka
526,Sünde::N,synd,synd
527,Gott::N,gud,gud
528,Arbeiter::N,arbeider,arbetare
529,Chef::N,sjef,chef
530,Meister::N,mester,mästare
531,Arzt::N,lege,läkare
532,Lehrer::N,lærer,lärare
533,Geld::N,penger,pengar
534,Geschäft::N,forretning,rörelse
535,Laden::N,butikk,affär
536,Preis::N,pris,pris
537,Ware::N,vare,vara
538,Nutzen::N,nytte,gagn
539,Nutzen::N,nytte,nytta
540,Reichtum::N,rikdom,rikedom
541,Welt::N,verden,värld
542,Land::N,land,land
543,Staat::N,stat,stat
544,König::N,konge,kung
545,König::N,konge,konung
546,Macht::N,makt,makt
547,Grenze::N,grense,gräns
548,Krieg::N,krig,krig
549,Feind::N,fiende,fiende
550,Gewalt::N,vold,våld
551,Kampf::N,kamp,kamp
552,Kampf::N,kamp,strid
553,Bogen[Waffe]::N,bue,båge
554,Pfeil::N,pil,pil
555,Gewehr::N,gevær,gevär
556,Fehler::N,feil,fel
557,Lüge::N,løgn,lögn
558,Schaden::N,skade,skada
559,Unglück::N,uhell,otur
560,Unglück::N,uhell,olycka
561,Schuld::N,skyld,skuld
562,Alter::N,alder,ålder
563,Schluss::N,slutt,slut
564,Zeit::N,tid,tid
565,Tag::N,dag,dag
566,Morgen::N,morgen,morgon
567,Mittag::N,middag,middag
568,Abend::N,aften,kväll
569,Nacht::N,natt,natt
570,Woche::N,uke,vecka
571,Monat::N,måned,månad
572,Jahr::N,år,år
573,Frühling::N,vår,vår
574,Sommer::N,sommer,sommar
575,Herbst::N,høst,höst
576,Winter::N,vinter,vinter
577,Januar::N,januar,januari
578,Februar::N,februar,februari
579,März::N,mars,mars
580,April::N,april,april
581,Mai::N,mai,maj
582,Juni::N,juni,juni
583,Juli::N,juli,juli
584,August::N,august,augusti
585,September::N,september,september
586,Oktober::N,oktober,oktober
587,November::N,november,november
588,Dezember::N,desember,december
589,Montag::N,mandag,måndag
590,Dienstag::N,tirsdag,tisdag
591,Mittwoch::N,onsdag,onsdag
592,Donnerstag::N,torsdag,torsdag
593,Freitag::N,fredag,fredag
594,Samstag::N,lørdag,lördag
595,Sonntag::N,søndag,söndag
596,groß::A,stor,stor
597,klein::A,liten,liten
598,lang::A,lang,lång
599,kurz::A,kort,kort
600,breit::A,bred,bred
601,schmal::A,smal,smal
602,dicht::A,tett,tät
603,dick[Gegenstand]::A,tykk,tjock
604,dünn::A,tynn,tunn
605,fein::A,fin,fin
606,fest::A,fast,fast
607,flach::A,flat,platt
608,glatt::A,glatt,glatt
609,hart::A,hard,hård
610,weich::A,myk,mjuk
611,weich::A,bløt,mjuk
612,rund::A,rund,rund
613,spitz::A,spiss,toppig
614,spitz::A,spiss,spetsig
615,scharf::A,kvass,vass
616,scharf::A,kvass,skarp
617,stumpf::A,stubb,slö
618,schwer::A,tung,tung
619,schön::A,pen,skön
620,schön::A,pen,vacker
621,schön::A,vakker,skön
622,schön::A,vakker,vacker
623,heiß::A,het,het
624,warm::A,varm,varm
625,kalt::A,kald,kall
626,kühl::A,kjølig,sval
627,kühl::A,kjølig,kylig
628,frisch::A,fersk,färsk
629,feucht::A,fuktig,fuktig
630,nass::A,våt,våt
631,trocken::A,tørr,torr
632,voll::A,full,full
633,leer::A,tom,tom
634,offen::A,åpen,öppen
635,geschlossen::A,lukket,stängd
636,sauber::A,ren,ren
637,schmutzig::A,skitten,snuskig
638,roh::A,rå,rå
639,reif::A,moden,mogen
640,lecker::A,lekker,läcker
641,süß::A,søt,söt
642,bitter::A,besk,besk
643,bitter::A,besk,bitter
644,bitter::A,bitter,besk
645,bitter::A,bitter,bitter
646,sauer::A,sur,sur
647,hell::A,lys,ljus
648,dunkel::A,mørk,mörk
649,schwarz::A,svart,svart
650,weiß::A,hvit,vit
651,rot::A,rød,röd
652,gelb::A,gul,gul
653,blau::A,blå,blå
654,grün::A,grønn,grön
655,grau::A,grå,grå
656,bunt::A,broket,brokig
657,billig::A,billig,billig
658,teuer::A,dyr,dyr
659,wertvoll::A,verdifull,värdefull
660,blind::A,blind,blind
661,taub::A,døv,döv
662,kräftig::A,kraftig,kraftig
663,stark::A,sterk,stark
664,schwach::A,svak,svag
665,fett::A,fet,fet
666,schlank::A,slank,slank
667,hübsch::A,pen,snygg
668,hübsch::A,pen,vacker
669,böse::A,slem,ond
670,böse::A,slem,elak
671,dumm::A,dum,dum
672,faul::A,lat,lat
673,faul::A,doven,lat
674,fleißig::A,flittig,flitig
675,geizig::A,gjerrig,snål
676,geizig::A,gjerrig,girig
677,klug::A,klok,klok
678,geschickt::A,hendig,händig
679,geschickt::A,hendig,skicklig
680,geschickt::A,skikket,händig
681,geschickt::A,skikket,skicklig
682,lieb::A,kjær,kär
683,lieb::A,kjær,snäll
684,lieb::A,snill,kär
685,lieb::A,snill,snäll
686,lustig::A,morsom,rolig
687,lustig::A,morsom,lustig
688,sanft::A,blid,mild
689,hungrig::A,sulten,hungrig
690,krank::A,syk,sjuk
691,nackt::A,naken,naken
692,traurig::A,sørgmodig,ledsen
693,traurig::A,sørgmodig,sorgsen
694,lebendig::A,levende,levande
695,gut::A,god,bra
696,schlecht::A,dårlig,dålig
697,richtig::A,riktig,riktig
698,schlimm::A,slem,illa
699,wahr::A,sann,sann
700,alt::A,gammel,gammal
701,neu::A,ny,ny
702,ehemalig::A,forhenværende,forn
703,ehemalig::A,forhenværende,tidigare
704,alt[Lebewesen]::A,gammel,gammal
705,jung::A,ung,ung
706,arm::A,fattig,fattig
707,reich::A,rik,rik
708,bekannt::A,kjent,känd
709,berühmt::A,berømt,berömd
710,fremd::A,fremmed,främmande
711,verschieden::A,forskjellig,åtskillig
712,nah::A,nær,nära
713,fern::A,fjern,fjärran
714,linker::A,venstre,vänster
715,rechter::A,høyre,höger
716,anderer::A,annen,annan
717,erster::A,første,första
718,zweiter::A,annen,andra
719,dritter::A,tredje,tredje
720,letzter::A,sist,sist
721,allein::ADV,alene,allena
722,auf einmal::ADV,med ett,på en gång
723,zusammen::ADV,sammen,tillsammans
724,lange::ADV,lenge,länge
725,plötzlich::ADV,plutselig,plötsligt
726,sofort::ADV,straks,strax
727,sofort::ADV,straks,genast
728,später::ADV,senere,senare
729,jetzt::ADV,nå,nu
730,heute::ADV,i dag,i dag
731,morgen::ADV,i morgen,i morgon
732,bald::ADV,snart,snart
733,dann::ADV,så,då
734,gestern::ADV,i går,i går
735,einst::ADV,engang,en gång
736,damals::ADV,den gang,då
737,damals::ADV,den gang,den gången
738,danach::ADV,deretter,därefter
739,vorher::ADV,før,före
740,vorher::ADV,før,förut
741,vorher::ADV,i forveien,före
742,vorher::ADV,i forveien,förut
743,zuerst::ADV,først,först
744,einmal::ADV,en gang,en gång
745,manchmal::ADV,somme tider,ibland
746,oft::ADV,ofte,ofta
747,immer::ADV,alltid,alltid
748,niemals::ADV,aldri,aldrig
749,hier::ADV,her,här
750,hierhin::ADV,hit,hit
751,von hier::ADV,herfra,härifrån
752,dort::ADV,der,där
753,dorthin::ADV,dit,dit
754,geradeaus::ADV,rett fram,rätt fram
755,vorwärts::ADV,fram,fram
756,vorwärts::ADV,fram,framåt
757,vorwärts::ADV,framover,fram
758,vorwärts::ADV,framover,framåt
759,rückwärts::ADV,baklengs,baklänges
760,zurück::ADV,tilbake,tillbaka
761,unten::ADV,nede,nere
762,unten::ADV,nede,nedanför
763,hinab::ADV,ned,ned
764,hinab::ADV,ned,nedåt
765,hinab::ADV,nedover,ned
766,hinab::ADV,nedover,nedåt
767,oben::ADV,oppe,ovan
768,oben::ADV,oppe,ovanpå
769,oben::ADV,ovenpå,ovan
770,oben::ADV,ovenpå,ovanpå
771,hinauf::ADV,opp,upp
772,hinauf::ADV,opp,uppåt
773,hinauf::ADV,oppover,upp
774,hinauf::ADV,oppover,uppåt
775,überall::ADV,overalt,överallt
776,nicht::ADV,ikke,ej
777,nicht::ADV,ikke,inte
778,ein wenig::ADV,litt,litet
779,kaum::ADV,neppe,knappt
780,kaum::ADV,neppe,knappast
781,sehr::ADV,svært,mycket
782,so::ADV,så,så
783,noch::ADV,enda,än
784,noch::ADV,enda,ännu
785,nur::ADV,bare,bara
786,nur::ADV,bare,endast
787,schon::ADV,alt,redan
788,schon::ADV,allerede,redan
789,wieder::ADV,igjen,åter
790,vergebens::ADV,forgjeves,förgäves
791,vor::PRP,foran,utanför
792,vor::PRP,utenfor,utanför
793,hinter::PRP,bak,bakom
794,hinter::PRP,bakom,bakom
795,unter::PRP,under,under
796,durch::PRP,gjennom,genom
797,durch::PRP,gjennom,igenom
798,durch::PRP,igjennom,genom
799,durch::PRP,igjennom,igenom
800,neben::PRP,ved siden av,bredvid
801,neben::PRP,ved siden av,vid sidan av
802,zwischen::PRP,mellom,mellan
803,wegen::PRP,på grunn av,på grund av
804,dies::PRN,dette,detta
805,das::PRN,det,det
806,alles::PRN,alt,allt
807,ich::PRN,jeg,jag
808,du::PRN,du,du
809,er::PRN,han,han
810,wir::PRN,vi,vi
811,ihr::PRN,dere,ni
812,sie::PRN,de,de
813,was::FPRN,hva,vad
814,wer::FPRN,hvem,vem
815,wo::FADV,hvor,var
816,wohin::FADV,hvor ... hen,vart
817,wie::FADV,hvordan,hur
818,warum::FADV,hvorfor,varför
819,wieviel::FNUM,hvor mye,hur mycket
820,eins::NUM,en,en
821,eins::NUM,en,ett
822,eins::NUM,ett,en
823,eins::NUM,ett,ett
824,zwei::NUM,to,två
825,drei::NUM,tre,tre
826,vier::NUM,fire,fyra
827,fünf::NUM,fem,fem
828,sechs::NUM,seks,sex
829,sieben::NUM,sju,sju
830,acht::NUM,åtte,åtta
831,neun::NUM,ni,nio
832,zehn::NUM,ti,tio
833,elf::NUM,elleve,elva
834,zwölf::NUM,tolv,tolv
835,zwanzig::NUM,tjue,tjugo
836,dreißig::NUM,tretti,trettio
837,vierzig::NUM,førti,fyrtio
838,fünfzig::NUM,femti,femtio
839,sechzig::NUM,seksti,sextio
840,siebzig::NUM,sytti,sjuttio
841,achtzig::NUM,åtti,åttio
842,neunzig::NUM,nitti,nittio
843,hundert::NUM,hundre,hundra
844,tausend::NUM,tusen,tusen
845,und::CNJ,og,och
846,oder::CNJ,eller,eller
847,stehen::V,stå,stå
848,sitzen::V,sitte,sitta
849,liegen::V,ligge,ligga
850,hängen::V,henge,hänga
851,werden::V,bli,bli
852,passieren::V,skje,ske
853,passieren::V,skje,hända
854,passieren::V,hende,ske
855,passieren::V,hende,hända
856,beginnen::V,begynne,börja
857,enden::V,ende,ända
858,enden::V,slutte,ända
859,wechseln::V,veksle,växla
860,aufgehen[Sonne]::V,stå opp,gå upp
861,untergehen[Sonne]::V,gå ned,gå ned
862,scheinen[Sonne]::V,skinne,skina
863,donnern::V,tordne,dundra
864,wehen::V,blåse,blåsa
865,strömen::V,strømme,forsa
866,strömen::V,strømme,strömma
867,fließen::V,flyte,flyta
868,sich drehen::V,dreie seg,snurra
869,schwanken::V,svaie,vackla
870,schwingen::V,svinge,svinga
