,Concept_ID,cv,tt
51,Gehirn::N,миме,ми
52,Herz::N,чӗре,йөрәк
53,Magen::N,хырӑмлӑх,ашказаны
54,Leber::N,пӗвер,бавыр
55,Atem::N,сывлав,сулыш
56,Hunger::N,выҫлӑх,ачлык
57,Träne::N,куҫҫуль,яшь
58,Geschmack::N,техӗм,тәм
59,Geschmack::N,техӗм,зәвык
60,Geruch::N,шӑршӑ,ис
61,Schlaf::N,ыйхӑ,йокы
62,Traum::N,тӗлӗк,төш
63,Himmel::N,пӗлӗт,күк
64,Sonne::N,хӗвел,кояш
65,Mond::N,уйӑх,ай
66,Stern::N,ҫӑлтӑр,йолдыз
67,Luft::N,сывлӑш,һава
68,Wind::N,ҫил,җил
69,Welle::N,хум,дулкын
70,Wasser::N,шыв,су
71,Wasser::N,шыв-шур,су
72,Stein::N,чул,таш
73,Boden::N,тӑпра,туфрак
74,Erde::N,ҫӗр,җир
75,Staub::N,тусан,тузан
76,Rauch::N,тӗтӗм,төтен
77,Funke::N,хӗм,очкын
78,Feuer::N,вут,ут
79,Feuer::N,ҫулӑм,ут
80,Licht::N,ҫутӑ,якты
81,Schatten::N,сулхӑн,күләгә
82,Wetter::N,ҫанталӑк,һава
83,Nebel::N,тӗтре,томан
84,Wolke::N,пӗлӗт,болыт
85,Regen::N,ҫумӑр,яңгыр
86,Schnee::N,юр,кар
87,Eis::N,пӑр,боз
88,Frost::N,сивӗ,суык
89,Frost::N,сивӗ,салкын
90,Kälte::N,сивӗ,суык
91,Kälte::N,сивӗ,салкын
92,Hitze::N,вӗри,эсселек
93,Hitze::N,шӑрӑх,эсселек
94,Raureif::N,пас,бәс
95,Raureif::N,пас,сыкы
96,Regenbogen::N,асамат кӗперӗ,салават күпере
97,Donner::N,аслати,күкрәү
98,Strömung::N,юхӑ,агыш'агым
99,Tropfen::N,тумлам,тамчы
100,Schaum::N,кӑпӑк,күбек
101,Schmutz::N,пылчӑк,пычрак
102,See::N,кӳлӗ,күл
103,Sumpf::N,шур,саз
104,Sumpf::N,шурлӑх,саз
105,Moor::N,торфлӑ шурлӑх,торфлык
106,Wiese::N,улӑх,болын
107,Wiese::N,ҫаран,болын
108,Wald::N,вӑрман,урман
109,Hügel::N,сӑрт,калку
110,Hügel::N,тӗмеске,калку
111,Anhöhe::N,сӑрт,үр
112,Berg::N,ту,тау
113,Gipfel::N,тӳпе,оч
114,Höhle::N,ҫӗр хӑвӑлӗ,мәгарә
115,Abhang::N,тӑвайкки,кабырга
116,Quelle::N,ҫӑл куҫ,чишмә
117,Bach::N,пӗчӗк шыв,елга
118,Fluss::N,юхан шыв,дәрья
119,Ufer::N,ҫыран,су кырые
120,Küste::N,тинӗс ҫыранӗ,яр буе
121,Festland::N,тип ҫӗр,коры җир
122,Meer::N,тинӗс,диңгез
123,Bucht::N,тинӗс кукӑрӗ,бухта
124,Bucht::N,тинӗс кукӑрӗ,култык
125,Insel::N,утрав,атау
126,Insel::N,утрав,утрау
127,Blume::N,чечек,чәчкә
128,Gras::N,курӑк,үлән
129,Wurzel::N,тымар,тамыр
130,Baum::N,йывӑҫ,агач
131,Stamm::N,вулӑ,кәүсә
132,Rinde::N,хуйӑр,кабык
133,Ast::N,турат,ботак
134,Zweig::N,турат,ботак
135,Zweig::N,турат,тармак
136,Blatt::N,ҫулҫӑ,яфрак
137,Birke::N,хурӑн,каен
138,Kiefer[Baum]::N,хыр,нарат
139,Weide[Baum]::N,хӑва,тал
140,Tanne::N,чӑрӑш,чыршы
141,Horn::N,мӑйрака,мөгез
142,Feder::N,тӗк,йон
143,Fell::N,ҫӑм,тире
144,Flügel::N,ҫунат,канат
145,Klaue::N,чӗрне,тырнак
146,Kralle::N,ура,тырнак
147,Schwanz::N,хӳре,койрык
148,Ei::N,ҫӑмарта,күкәй
149,Ei::N,ҫӑмарта,йомырка
150,Nest::N,йӑва,оя
151,Bau::N,йӗнӗ,өн
152,Tier::N,выльӑх,хайван
153,Herde::N,кӗтӳ,көтү
154,Kuh::N,ӗне,сыер
155,Bulle::N,вӑкӑр,үгез
156,Pferd::N,лаша,ат
157,Schaf::N,сурӑх,сарык
158,Schwein::N,сысна,дуңгыз
159,Hund::N,йытӑ,эт
160,Katze::N,кушак,песи
161,Bär::N,упа,аю
162,Eichhörnchen::N,пакша,тиен
163,Elch::N,пӑши,поши
164,Fuchs::N,тилӗ,төлке
165,Hase::N,куян,куян
166,Hase::N,мулкач,куян
167,Maus::N,шӑши,тычкан
168,Wolf::N,кашкӑр,бүре
169,Vogel::N,кайӑк,кош
170,Vogel::N,вӗҫен кайӑк,кош
171,Schwarm::N,ушкӑн,көтү
172,Huhn::N,чӑх,тавык
173,Huhn::N,чӑхӑ,тавык
174,Hahn::N,автан,әтәч
175,Gans::N,хур,каз
176,Adler::N,ӑмӑрт кайӑк,каракош
177,Ente::N,кӑвакал,үрдәк
178,Eule::N,тӑмана,ябалак
179,Kranich::N,тӑрна,торна
180,Krähe::N,ула курак,карга
181,Kuckuck::N,куккук,күке
182,Kuckuck::N,куккук,кәккүк
183,Schwan::N,акӑш,аккош
184,Fisch::N,пулӑ,балык
185,Barsch::N,уланкӑ,алабуга
186,Hecht::N,ҫӑрттан,чуртан
187,Schlange[Tier]::N,ҫӗлен,елан
188,Wurm::N,ӑман,корт
189,Spinne::N,эрешмен,үрмәкүч
190,Ameise::N,кӑткӑ,кырмыска
191,Laus::N,пыйтӑ,бет
192,Mücke::N,вӑрӑм туна,черки
193,Mücke::N,вӑрӑм туна,озынборын
194,Fliege::N,шӑна,чебен
195,Schmetterling::N,лӗпӗш,күбәләк
196,Beere::N,ҫырла,җиләк
197,Apfel::N,улма,алма
198,Apfel::N,пан улми,алма
199,Pilz::N,кӑмпа,гөмбә
200,Zwiebel::N,сухан,суган
201,Zwiebel::N,сухан,суганбаш
202,Saat::N,вӑрӑ,орлык
203,Korn::N,тӗшӗ,иген
204,Korn::N,тӗшӗ,орлык
205,Korn::N,пӗрчӗ,иген
206,Korn::N,пӗрчӗ,орлык
207,Heu::N,утӑ,печән
208,Schale::N,хупӑ,кабык
209,Grube::N,шӑтӑк,баз
210,Grube::N,шӑтӑк,чокыр
211,Falle::N,тапӑ,тозак
212,Falle::N,тапӑ,капкын
213,Falle::N,капкӑн,тозак
214,Falle::N,капкӑн,капкын
215,Schlinge::N,йӑлӑ,элмәк
216,Spur::N,йӗр,эз
217,Asche::N,кӗл,көл
218,Dreck::N,пылчӑк,пычрак
219,Eisen::N,тимӗр,тимер
220,Gold::N,ылтӑн,алтын
221,Silber::N,кӗмӗл,көмеш
222,Kohle::N,кӑмрӑк,күмер
223,Glas::N,кӗленче,пыяла
224,Lehm::N,тӑм,балчык
225,Sand::N,хӑйӑр,ком
226,Mensch::N,ҫын,адәм
227,Mensch::N,ҫын,инсан
228,Mensch::N,этем,адәм
229,Mensch::N,этем,инсан
230,Mann::N,ар,ир
231,Frau::N,хӗрарӑм,хатын
232,Kind::N,ача,бала
233,Junge::N,ача,малай
234,Junge::N,ар ҫын ача,малай
235,Mädchen::N,хӗр ача,кыз
236,Familie::N,ҫемье,гаилә
237,Familie::N,кил-йыш,гаилә
238,Großvater::N,кукаҫи,бабай
239,Großmutter::N,кукамай,әби
240,Eltern::N,аҫа-ама,ата-ана
241,Vater::N,атте,ата
242,Mutter::N,анне,ана
243,Sohn::N,ывӑл,ул
244,Tochter::N,хӗр,кыз
245,Bruder::N,ар тӑван,кардәш
246,Schwester::N,аппа,апа
247,Schwester::N,аппа,сеңел
248,Schwester::N,йӑмӑк,апа
249,Schwester::N,йӑмӑк,сеңел
250,Onkel::N,мучи,дәдә
251,Onkel::N,мучи,дәдәй
252,Onkel::N,пичче,дәдә
253,Onkel::N,пичче,дәдәй
254,Tante::N,аппа,түти
255,Tante::N,аппа,тәтәй
256,Ehemann::N,упӑшка,ир
257,Ehefrau::N,арӑм,хатын
258,Freude::N,савӑнӑҫ,сөенеч
259,Freude::N,хаваслӑх,сөенеч
260,Gelächter::N,кулӑ,көлү
261,Gelächter::N,кулӑ,көлеш
262,Glück::N,телей,бәхет
263,Glück::N,ӑраскал,бәхет
264,Kummer::N,хурлӑх,хәсрәт
265,Wunsch::N,ӗмӗт,теләк
266,Wunsch::N,кӑмӑл,теләк
267,Lust::N,кӑмӑл,теләк
268,Lust::N,кӑмӑл,теләү
269,Geist::N,чун-чӗм,рух
270,Geist::N,ыр-усал,рух
271,Geist::N,чун хавалӗ,рух
272,Gedanke::N,шухӑш,уй
273,Gedanke::N,шухӑш,фикер
274,Gedächtnis::N,ас,хәтер
275,Verstand::N,ӑс,акыл
276,Verstand::N,ӑс-тӑн,акыл
277,Verstand::N,ӑс-хакӑл,акыл
278,Sinn::N,тупсӑм,мәгънә
279,Sinn::N,пӗлтерӗш,мәгънә
280,Grund::N,сӑлтав,сәбәп
281,Wahrheit::N,чӑнлӑх,хак
282,Gespräch::N,калаҫу,әңгәмә
283,Märchen::N,юмах,әкият
284,Erzählung::N,акалав,хикәя
285,Erzählung::N,каласа пани,хикәя
286,Nachricht::N,хыпар,хәбәр
287,Neuigkeit::N,ҫӗнӗ хыпар,яңалык
288,Name::N,ят,исем
289,Rätsel::N,сутмалли юмах,табышмак
290,Rede::N,сӑмах,нотык
291,Sprache::N,чӗлхе,тел
292,Stimme::N,сасӑ,тавыш
293,Wort::N,сӑмах,сүз
294,Zeichen::N,паллӑ,ишарә
295,Ruf::N,йыхрав,дәшү
296,Ruf::N,чӗнӳ,дәшү
297,Lärm::N,шав,шау
298,Laut::N,сасӑ,аваз
299,Ton::N,сасӑ,шалтырату
300,Lied::N,юрӑ,җыр
301,Ruhe::N,канӑҫлӑх,тынлык
302,Ruhe::N,лӑпкӑлӑх,тынлык
303,Leute::N,ҫамрӑксем,халык
304,Leute::N,ҫамрӑк ҫынсем,халык
305,Volk::N,халӑх,халык
306,Arbeit::N,ӗҫхӗл,эш
307,Arbeit::N,ӗҫхӗл,хезмәт
308,Arbeit::N,ӗҫлев,эш
309,Arbeit::N,ӗҫлев,хезмәт
310,Gast::N,хӑна,кунак
311,Geschenk::N,парне,бүләк
312,Geschenk::N,кучченеҫ,бүләк
313,Spiel::N,вӑйӑ,уен
314,Gesellschaft::N,общество,җәмгыять
315,Hilfe::N,пулӑшу,ярдәм
316,Hilfe::N,пулӑшу,булышлык
317,Freund::N,тус,дус
318,Kamerad::N,юлташ,иптәш
319,Kamerad::N,тус,иптәш
320,Angelegenheit::N,ӗҫ,эш
321,Anzahl::N,йыш,микъдар
322,Anzahl::N,хисеп,микъдар
323,Art::N,тӗс,төр
324,Stück::N,татӑк,кисәк
325,Teil::N,пай,өлеш
326,Hälfte::N,ҫурӑ,ярым
327,Kreis::N,ункӑ,түгәрәк
328,Kreis::N,ҫавракӑш,түгәрәк
329,Kreuz::N,хӗрес,хач
330,Kreuz::N,хӗрес,тәре
331,Linie::N,йӗр,сызык
332,Strich::N,йӗр,сызык
333,Abstand::N,хушӑ,ара
334,Entfernung::N,хушӑ,ераклык
335,Gegend::N,вырӑн,урын
336,Platz::N,хутлӑх,бушлык
337,Ort::N,вырӑн,урын
338,Seite::N,ен,як
339,Seite::N,аяк,як
340,Seite::N,айӑк,як
341,Mitte::N,варӑ,урта
342,Gegenstand::N,япала,нәрсә
343,Sache::N,япала,нәрсә
344,Rand::N,вӗҫ,чит
345,Rand::N,хӗрӗ,чит
346,Rand::N,хӗрри,чит
347,Kante::N,хайкача,кырый
348,Kante::N,хысак,кырый
349,Ecke::N,кӗтес,почмак
350,Spitze::N,вӗҫ,оч
351,Ende::N,вӗҫ,азак
352,Loch::N,шӑтӑк,тишек
353,Winkel::N,кӗтес,почмак
354,Muster::N,эреш,парча
355,Größe::N,пысӑкӑш,зурлык
356,Länge::N,вӑрӑмӑш,озынлык
357,Höhe::N,ҫӳллӗш,биеклек
358,Gewicht::N,виҫе,авырлык
359,Gewicht::N,йывӑрӑш,авырлык
360,Menge::N,йыш,микъдар
361,Haufen::N,купа,өем
362,Reihe::N,рет,рәт
363,Boot::N,кимӗ,каек
364,Boot::N,кимӗ,көймә
365,Ruder::N,кӗсмен,ишкәк
366,Schlitten::N,ҫуна,чана
367,Ski::N,йӗлтӗр,чаңгы
368,Lagerfeuer::N,вут,костёр
369,Lagerfeuer::N,кӑвайт,костёр
370,Last::N,сулмаклӑх,йөк
371,Last::N,йывӑр япала,йөк
372,Gang::N,куҫӑм,йөреш
373,Schritt::N,утӑм,адым
374,Schritt::N,пусӑм,адым
375,Norden::N,ҫурҫӗр,төньяк
376,Süden::N,кӑнтӑр,көньяк
377,Westen::N,анӑҫ,көнбатыш
378,Westen::N,хӗвел анӑҫ,көнбатыш
379,Osten::N,хӗвел тухӑҫ,шәрык
380,Osten::N,хӗвел тухӑҫ,көнчыгыш
381,Holz::N,йывӑҫ,агач
382,Brett::N,хӑма,такта
383,Platte::N,плита,плитә
384,Stütze::N,ура,таяу
385,Stange::N,шерте,колга
386,Stock::N,патак,таяк
387,Stab::N,шӑчӑ,таяк
388,Rohr::N,пӑрӑх,торба
389,Haus::N,ҫурт,өй
390,Haus::N,ҫурт,йорт
391,Heim::N,кил,гаилә
392,Heim::N,кил,нәсел
393,Ofen::N,кӑмака,мич
394,Fußboden::N,урай,идән
395,Tisch::N,сӗтел,өстәл
396,Stuhl::N,пукан,утыргыч
397,Wiege::N,сӑпка,бишек
398,Bett::N,кравать,ятак
399,Bett::N,кравать,урын-җир
400,Regal::N,ҫӳлӗк,киштә
401,Regal::N,ҫӳлӗк,шүрлек
402,Regal::N,сентре,киштә
403,Regal::N,сентре,шүрлек
404,Kiste::N,ещӗк,әрҗә
405,Kiste::N,сунтӑх,әрҗә
406,Fenster::N,чӳрече,тәрәзә
407,Tür::N,алӑк,ишек
408,Tor::N,хапха,капка
409,Zaun::N,хӳме,койма
410,Dach::N,тӑрӑ,түбә
411,Leiter::N,пусма,баскыч
412,Besen::N,шӑпӑр,себерке
413,Spaten::N,кӗреҫе,көрәк
414,Schaufel::N,кӗреҫе,көрәк
415,Gabel::N,вилка,чәннечке
416,Löffel::N,кашӑк,кашык
417,Messer::N,ҫӗҫӗ,пычак
418,Nagel::N,пӑта,кадак
419,Netz::N,тетел,челтәр
420,Haken::N,йӑрхах,ыргак
421,Haken::N,ҫекӗл,ыргак
422,Griff::N,хӑлӑп,тотка
423,Schloss::N,ҫӑра,йозак
424,Bild::N,сӑн,рәсем
425,Bild::N,сӑн,картина
426,Bild::N,сӑнлӑх,рәсем
427,Bild::N,сӑнлӑх,картина
428,Bild::N,картина,рәсем
429,Bild::N,картина,картина
430,Figur::N,кӗлетке,сын
431,Figur::N,кӗлетке,фигура
432,Puppe::N,пукане,курчак
433,Beutel::N,михӗ,луза
434,Bündel::N,ҫыхӑ,бәйләм
435,Bündel::N,тӗрке,бәйләм
436,Tasche::N,сумка,букча
437,Eimer::N,витре,чиләк
438,Deckel::N,хупӑ,капкач
439,Geschirr::N,савӑт-сапа,савыт-саба
440,Geschirr::N,савӑт-сапа,кашык-аяк
441,Sack::N,михӗ,капчык
442,Tasse::N,курка,чынаяк
443,Topf::N,кастрюль,чүлмәк
444,Kessel::N,хуран,казан
445,Essen::N,апат,ашау
446,Nahrung::N,апат-ҫимӗс,азык
447,Nahrung::N,апат-ҫимӗс,тәгам
448,Nahrung::N,апат-ҫимӗс,ашамлык
449,Speise::N,апат,ризык
450,Speise::N,ҫимӗҫ,ризык
451,Fleisch::N,аш,ит
452,Fleisch::N,какай,ит
453,Getreide::N,тырӑ,ашлык
454,Brei::N,пӑтӑ,ботка
455,Brot::N,ҫӑкӑр,ипи
456,Brot::N,ҫӑкӑр,икмәк
457,Scheibe::N,чӗлӗ,телем
458,Scheibe::N,касӑк,телем
459,Fett::N,ҫу,май
460,Butter::N,ҫу,май
461,Öl::N,ҫу,май
462,Salz::N,тӑвар,тоз
463,Suppe::N,яшка,шулпа
464,Honig::N,пыл,бал
465,Milch::N,сӗт,сөт
466,Tee::N,чей,чәй
467,Leder::N,сӑран,күн
468,Wolle::N,ҫӑм,йон
469,Stoff::N,тӗртӗм,тукыма
470,Nadel::N,йӗп,энә
471,Faden::N,ҫип,җеп
472,Knopf::N,тӳме,төймә
473,Knoten::N,йӑлӑ,төен
474,Farbe::N,сӑрӑ,буяу
475,Kleidung::N,тум,кием
476,Kleidung::N,ҫипуҫ,кием
477,Kleidung::N,тум-тир,кием
478,Hemd::N,кӗпе,күлмәк
479,Kragen::N,ҫуха,яка
480,Ärmel::N,ҫанӑ,җиң
481,Hose::N,шӑлавар,чалбар
482,Gürtel::N,пиҫиххи,билбау
483,Mütze::N,ҫӗлӗк,бүрек
484,Schuh::N,пушмак,башмак
485,Schuh::N,ботинок,башмак
486,Stiefel::N,атӑ,итек
487,Ring::N,ҫӗрӗ,балдак
488,Band::N,хаю,тасма
489,Band::N,йӗсме,тасма
490,Kamm::N,тура,тарак
491,Spiegel::N,тӗкӗр,көзге
492,Spiegel::N,куҫ кӗски,көзге
493,Riemen::N,чӗн,каеш
494,Schnur::N,кантра,бау
495,Leine::N,касмӑк,тезген
496,Decke::N,утиял,юрган
497,Kissen::N,ҫытар,мендәр
498,Kissen::N,минтер,мендәр
499,Tuch::N,тутӑр,яулык
500,Handtuch::N,ал шӑлли,сөлгә
501,Kraft::N,вӑй,егәр
502,Kraft::N,вӑй,дәрман
503,Kraft::N,хӑват,егәр
504,Kraft::N,хӑват,дәрман
505,Stärke::N,хал,көч
506,Stärke::N,хал,дәрман
507,Stärke::N,хӑват,көч
508,Stärke::N,хӑват,дәрман
509,Gesundheit::N,хал,саулык
510,Gesundheit::N,сывлӑх,саулык
511,Krankheit::N,чир,чир
512,Krankheit::N,чир,хаста
513,Krankheit::N,чир,сырхау
514,Schmerz::N,ырату,авырту
515,Wunde::N,суран,яра
516,Wunde::N,суран,җәрәхәт
517,Fieber::N,сив чир,бизгәк
518,Arznei::N,эмел,дару
519,Brücke::N,кӗпер,күпер
520,Brunnen::N,ҫӑл,кое
521,Brunnen::N,пусӑ,кое
522,Weide::N,ҫаран,утлавык
523,Pfad::N,йӗр,сукмак
524,Pfad::N,сукмак,сукмак
525,Weg::N,ҫул,юл
526,Weg::N,ҫул-йӗр,юл
527,Straße::N,ҫӳрев,урам
528,Straße::N,ҫул ҫӳрени,урам
529,Dorf::N,ял,авыл
530,Stadt::N,хула,шәһәр
531,Brief::N,ҫыру,хат
532,Buch::N,кӗнеке,китап
533,Buchstabe::N,сас палли,хәреф
534,Zeitung::N,хаҫат,газет
535,Zeitung::N,хаҫат,газета
536,Leben::N,пурнӑҫ,гомер
537,Leben::N,пурнӑҫ,тормыш
538,Leben::N,пурнӑҫ,тереклек
539,Tod::N,вилӗм,үлем
540,Grab::N,масар шӑтӑкӗ,гүр
541,Grab::N,масар шӑтӑкӗ,кабер
542,Kirche::N,чиркӳ,чиркәү
543,Sünde::N,ҫылӑх,язык
544,Sünde::N,ҫылӑх,гөнаһ
545,Gott::N,турӑ,алла
546,Gott::N,турӑ,ходай
547,Arbeiter::N,рабочи,эшче
548,Chef::N,пуҫлӑх,башлык
549,Meister::N,ӑста,оста
550,Meister::N,мастер,оста
551,Arzt::N,врач,врач
552,Arzt::N,врач,табиб
553,Arzt::N,тухтӑр,врач
554,Arzt::N,тухтӑр,табиб
555,Lehrer::N,учитель,укытучы
556,Lehrer::N,учитель,мөгаллим
557,Lehrer::N,вӗрентекен,укытучы
558,Lehrer::N,вӗрентекен,мөгаллим
559,Geld::N,укҫа,акча
560,Geschäft::N,бизнес,эш
561,Laden::N,магазин,кибет
562,Laden::N,магазин,магазин
563,Preis::N,хак,бәя
564,Preis::N,хак,бәһа
565,Ware::N,тавар,товар
566,Nutzen::N,пайта,файда
567,Reichtum::N,мул,байлык
568,Welt::N,тӗнче,дөнья
569,Land::N,ҫӗр-шыв,ил
570,Staat::N,патшàлӑх,дәүләт
571,König::N,король,патша
572,Macht::N,власть,хакимият
573,Grenze::N,чикӗ,чик
574,Krieg::N,вӑрҫӑ,сугыш
575,Feind::N,тӑшман,дошман
576,Gewalt::N,ирӗксӗрлӳ,көчләү
577,Kampf::N,кӗрешӳ,көрәш
578,Bogen[Waffe]::N,ухӑ,җәя
579,Pfeil::N,ҫӗмрен,ук
580,Pfeil::N,ухӑ йӗппи,ук
581,Gewehr::N,пӑшал,мылтык
582,Fehler::N,йӑнӑш,хата
583,Lüge::N,суя,ялган
584,Lüge::N,ултав,ялган
585,Schaden::N,сиен,зыян
586,Schaden::N,сиен,зарар
587,Unglück::N,шар,бәла
588,Unglück::N,инкек,бәла
589,Schuld::N,айӑп,гаеп
590,Alter::N,ҫул шучӗ,яшь
591,Schluss::N,пӗтни,ахыр
592,Schluss::N,пӗтмӗш,ахыр
593,Zeit::N,вӑхӑт,заман
594,Tag::N,кун,көн
595,Morgen::N,ир,иртә
596,Mittag::N,кӑнтӑрла,өйлә
597,Abend::N,каҫ,кич
598,Nacht::N,каҫ,төн
599,Woche::N,эрне,атна
600,Monat::N,уйӑх,ай
601,Jahr::N,ҫулталӑк,ел
602,Frühling::N,ҫур,яз
603,Frühling::N,ҫуркунне,яз
604,Sommer::N,ҫу,җәй
605,Sommer::N,ҫулла,җәй
606,Herbst::N,кӗр,көз
607,Herbst::N,кӗркунне,көз
608,Winter::N,хӗл,кыш
609,Winter::N,хӗлле,кыш
610,Januar::N,январь,гыйнвар
611,Februar::N,февраль,февраль
612,Februar::N,кӗҫӗн кӑрлач,февраль
613,März::N,март,март
614,März::N,пуш уйӑхӗ,март
615,April::N,апрель,апрель
616,Mai::N,май,май
617,Juni::N,июнь,июнь
618,Juli::N,июль,июль
619,August::N,август,август
620,September::N,сентябрь,сентябрь
621,September::N,авӑн уйӑхӗ,сентябрь
622,Oktober::N,октябрь,октябрь
623,November::N,ноябрь,ноябрь
624,Dezember::N,раштав,декабрь
625,Dezember::N,декабрь,декабрь
626,Montag::N,тунти кун,дүшәмбе
627,Dienstag::N,ытлари кун,сишәмбе
628,Mittwoch::N,юн кун,чәршәмбе
629,Donnerstag::N,кӗҫнерни кун,атнакич
630,Donnerstag::N,кӗҫнерни кун,пәнҗешәмбе
631,Freitag::N,эрне кун,җомга
632,Samstag::N,шӑмат кун,шимбә
633,Sonntag::N,вырсарни кун,якшәмбе
634,groß::A,пысӑк,зур
635,klein::A,пӗчӗк,кечкенә
636,lang::A,вӑрӑм,озын
637,kurz::A,кӗске,кыска
638,breit::A,сарлака,киң
639,schmal::A,ансӑр,кысык
640,dicht::A,йӑвӑ,куе
641,dick[Gegenstand]::A,хулӑн,калын
642,dünn::A,ҫинҫе,нечкә
643,dünn::A,ҫӳхе,нечкә
644,fein::A,тарай,нәзакәтле
645,fein::A,вӗлтӗрти,нәзакәтле
646,fest::A,тӗреклӗ,нык
647,flach::A,лаптак,яссы
648,flach::A,лаптак,ялпак
649,glatt::A,такӑр,шома
650,hart::A,хытӑ,каты
651,weich::A,ҫемҫе,йомшак
652,rund::A,ҫавра,түгәрәк
653,spitz::A,шӗвӗр,очлы
654,scharf::A,ҫивӗч,үткен
655,stumpf::A,мӑка,үтмәс
656,stumpf::A,пуклак,үтмәс
657,stumpf::A,тӗрӗнчӗк,үтмәс
658,stumpf::A,ӑнкарусӑр,үтмәс
659,schwer::A,йывӑр,салмак
660,schön::A,илемлӗ,гүзәл
661,heiß::A,вӗри,эссе
662,warm::A,ӑшӑ,җылы
663,kalt::A,сивӗ,суык
664,kalt::A,сивӗ,салкын
665,kühl::A,уҫӑ,салкынча
666,frisch::A,уҫӑ,салкынча
667,feucht::A,йӗпе,юеш
668,nass::A,нӳрӗ,дымлы
669,trocken::A,типӗ,коры
670,voll::A,тулли,тулы
671,leer::A,пушӑ,буш
672,offen::A,уҫӑ,ачык
673,geschlossen::A,хупӑ,йомык
674,sauber::A,таса,пакь
675,sauber::A,таса,чиста
676,schmutzig::A,пылчӑклӑ,керле
677,schmutzig::A,пылчӑклӑ,пычрак
678,schmutzig::A,вараланчӑк,керле
679,schmutzig::A,вараланчӑк,пычрак
680,roh::A,чӗрӗ,чи
681,reif::A,пулнӑ,өлгергән
682,reif::A,пиҫӗхнӗ,өлгергән
683,reif::A,аталаннӑ,өлгергән
684,reif::A,пиҫсе ҫитнӗ,өлгергән
685,lecker::A,тутлӑ,тәмле
686,lecker::A,техӗмлӗ,тәмле
687,süß::A,пылак,татлы
688,bitter::A,йӳҫӗ,ачы
689,sauer::A,йӳҫӗ,әче
690,sauer::A,йӳҫек,әче
691,sauer::A,кӑвасак,әче
692,hell::A,ҫутӑ,якты
693,dunkel::A,тӗттӗм,кара
694,schwarz::A,хура,кара
695,weiß::A,шурӑ,ак
696,rot::A,хӗрлӗ,кызыл
697,gelb::A,сарӑ,сары
698,blau::A,кӑвак,күк
699,grün::A,симӗс,яшел
700,grün::A,пиҫмен,яшел
701,grün::A,ӑс пухман,яшел
702,grau::A,кӑвак,соры
703,bunt::A,чӑпар,чуар
704,billig::A,йӳнӗ,арзан
705,teuer::A,хаклӑ,хаклы
706,wertvoll::A,паха,кыйммәтле
707,blind::A,суккӑр,сукыр
708,blind::A,суккӑр,күзсез
709,taub::A,хӑлхасӑр,чукрак
710,taub::A,хӑлхасӑр,саңгырау
711,kräftig::A,хӑватлӑ,егәрле
712,stark::A,вирлӗ,нык
713,stark::A,вирлӗ,базык
714,schwach::A,халсӑр,зәгыйфь
715,fett::A,самӑр,симез
716,fett::A,мӑнтӑр,симез
717,schlank::A,йӑрӑс,нәзек
718,schlank::A,яштака,нәзек
719,hübsch::A,хитре,чибәр
720,böse::A,усал,усал
721,dumm::A,ухмах,акылсыз
722,faul::A,наян,ялкау
723,faul::A,наян,иренчәк
724,faul::A,юлхав,ялкау
725,faul::A,юлхав,иренчәк
