,Concept_ID,kn,ml
69,Rauch::N,ಹೊಗೆ,പുക
70,Funke::N,ಕಿಡಿ,തീപ്പൊരി
71,Feuer::N,ಬೆಂಕಿ,തീ
72,Licht::N,ಬೆಳಕು,വിളക്ക്
73,Licht::N,ಬೆಳಕು,സൂര്യപ്രകാശം
74,Schatten::N,ನೆರಳು,തണൽ
75,Wetter::N,ಹವ,കാലാവസ്ഥ
76,Nebel::N,ಮಂಜು,മൂടൽമഞ്ഞ്
77,Wolke::N,ಮೋಡ,മേഘം
78,Regen::N,ಮಳೆ,മഴ
79,Schnee::N,ಹಿಮ,മഞ്ഞ്
80,Eis::N,ಮಂಜುಗಡ್ಡೆ,ഐസ്
81,Frost::N,ಮಂಜು,മൂടൽമഞ്ഞ്
82,Kälte::N,ಹಿಮ,തണുപ്പ്
83,Hitze::N,ಉಷ್ಣ,ചൂട്
84,Raureif::N,ಇಬ್ಬನಿ,കോടമഞ്ഞ്
85,Regenbogen::N,ಇಂದ್ರಚಾಪ,മഴവില്ല്
86,Donner::N,ಗುಡುಗು,ഇടി
87,Strömung::N,ಪ್ರವಾಹ,പ്രവാഹം
88,Tropfen::N,ತೊಟ್ಟು,തുള്ളി
89,Schaum::N,ನೊರೆ,നുര
90,Schmutz::N,ಕಸ,അഴുക്ക്
91,See::N,ಸರೋವರ,തടാകം
92,Sumpf::N,ಜೌಗುಸ್ಥಳ,ചതുപ്പുനിലം
93,Moor::N,ಬಂಜರು ಭೂಮಿ,പാഴ്നിലം
94,Wiese::N,ಹುಲ್ಲುಗಾವಲು,പുൽത്തകിടി
95,Wald::N,ಕಾಡು,വനം
96,Wald::N,ಕಾಡು,കാട്
97,Hügel::N,ಗುಡ್ಡೆ,കുന്ന്
98,Anhöhe::N,ದಿಬ್ಬ,ഉയർന്ന ഭൂമി
99,Berg::N,ಮಲೆ,പർവ്വതം
100,Berg::N,ಪರ್ವತ,പർവ്വതം
101,Gipfel::N,ಶೃಂಗ,ഉച്ചകോടി
102,Höhle::N,ಗುಹೆ,ഗുഹ
103,Abhang::N,ಇಳಿಜಾರು,ചരിവ്
104,Quelle::N,ಮೂಲ,ഉറവിടം
105,Bach::N,ತೊರೆ,അരുവി
106,Fluss::N,ನದಿ,നദി
107,Ufer::N,ತೀರ,തീരം
108,Küste::N,ದಂಡೆ,കടൽത്തീരം
109,Festland::N,ಭೂಮಿ,കര
110,Meer::N,ಕಡಲು,കടൽ
111,Bucht::N,ಖಾರಿ,ഉൾക്കടല്
112,Insel::N,ದ್ವೀಪ,ദ്വീപ്
113,Blume::N,ಸುಮ,പൂവ്
114,Gras::N,ಹುಲ್ಲು,പുല്ല്
115,Wurzel::N,ಬೇರು,വേര്
116,Baum::N,ಮರ,മരം
117,Stamm::N,ಕಾಂಡ,തായ്ത്തടി
118,Rinde::N,ತೂಗಟಿ,പട്ട
119,Ast::N,ಶಾಖೆ,ശാഖ
120,Zweig::N,ರೆಂಬೆ,ശാഖ
121,Blatt::N,ಎಲೆ,ഇല
122,Birke::N,ಬರ್ಚ್ ಮರ,പൂവരശ്
123,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,പൈൻമരം
124,Weide[Baum]::N,ವಿಲೋಮರ,വില്ലോ
125,Tanne::N,ಭದ್ರದಾರು,ദേവദാരു
126,Horn::N,ಕೊಂಬು,മൃഗത്തിൻറെ കൊമ്പ്
127,Feder::N,ಪುಕ್ಕ,തൂവൽ
128,Fell::N,ರೋಮ,മൃദുരോമം
129,Flügel::N,ರೆಕ್ಕೆ,ചിറക്
130,Klaue::N,ಪಂಜ,നഖം
131,Kralle::N,ಉಗುರು,നഖം
132,Schwanz::N,ಬಾಲ,വാൽ
133,Ei::N,ಮೊಟ್ಟೆ,മുട്ട
134,Nest::N,ಗೂಡು,കൂട്
135,Bau::N,ಅಡಗುದಾಣ,മാളം
136,Tier::N,ಪ್ರಾಣಿ,മൃഗം
137,Herde::N,ಗುಂಪು,കൂട്ടം
138,Kuh::N,ಹಸು,പശു
139,Bulle::N,ಗೂಳಿ,കാള
140,Pferd::N,ಕುದುರೆ,കുതിര
141,Schaf::N,ಕುರಿ,ആട്
142,Schwein::N,ಹಂದಿ,പന്നി
143,Hund::N,ನಾಯಿ,നായ്
144,Katze::N,ಬೆಕ್ಕು,പൂച്ച
145,Bär::N,ಕರಡಿ,കരടി
146,Eichhörnchen::N,ಉಡುತೆ,അണ്ണാൻ
147,Elch::N,ಕಡವೆ,കടമാന്
148,Fuchs::N,ನರಿ,കുറുക്കൻ
149,Hase::N,ಮೊಲ,മുയൽ
150,Maus::N,ಇಲಿ,ചുണ്ടലി
151,Wolf::N,ತೋಳ,ചെന്നായ
152,Vogel::N,ಪಕ್ಷಿ,പക്ഷി
153,Schwarm::N,ಗುಂಪು,കൂട്ടം
154,Huhn::N,ಚಿಕ್,കോഴി
155,Hahn::N,ಹುಂಜ,പൂവൻകോഴി
156,Gans::N,ವರಟೆ,അരയന്നം
157,Adler::N,ಗರುಡ,കഴുകൻ
158,Ente::N,ಬಾತು,താറാവ്
159,Eule::N,ಗೂಬೆ,മൂങ്ങ
160,Kranich::N,ಕೊಕ್ಕರ,കൊക്ക്
161,Krähe::N,ಕಾಗೆ,കാക്ക
162,Kuckuck::N,ಕೋಗಿಲೆ,കുയിൽ
163,Schwan::N,ಹಂಸಪಕ್ಷಿ,അരയന്നം
164,Fisch::N,ಮೀನು,മത്സ്യം
165,Barsch::N,ಪರ್ಚ್ ಮೀನು,ഒരിനം മത്സ്യം
166,Hecht::N,ಪೈಕ್ ಮೀನು,ഒരു മത്സ്യം
167,Schlange[Tier]::N,ಹಾವು,പാമ്പ്
168,Wurm::N,ಹುಳು,വിര
169,Spinne::N,ಊರ್ಣನಾಭ,ചിലന്തി
170,Ameise::N,ಇರುವೆ,ഉറുമ്പ്
171,Laus::N,ಹೇನು,പേന്
172,Mücke::N,ಸೊಳ್ಳೆ,മശകം
173,Fliege::N,ನೊಣ,ഈച്ച
174,Schmetterling::N,ಪತಂಗ,ചിത്രശലഭം
175,Beere::N,ನಯವಣ್ಣು,ബെറി
176,Apfel::N,ಸೇಬು,ആപ്പിൾ
177,Pilz::N,ಅಣಬೆ,കൂൺ
178,Zwiebel::N,ನೀರುಳ್ಳಿ,സവാള
179,Saat::N,ಬಿತ್ತ,വിത്ത്
180,Korn::N,ಬೀಜ,ധാന്യം
181,Heu::N,ಕರಡ,വയ്ക്കോൽ
182,Schale::N,ಹೊಟ್ಟು,തൊലി
183,Grube::N,ಗುಂಡಿ,കുഴി
184,Falle::N,ಬೋನು,കെണി
185,Schlinge::N,ಉರುಲು,കുടുക്ക്
186,Spur::N,ಜಾಡು,ചുവട്
187,Asche::N,ಬೂದಿ,ചാരം
188,Dreck::N,ಹೊಲಸು,അഴുക്ക്
189,Eisen::N,ಕಬ್ಬಿಣ,ഇരുമ്പ്
190,Gold::N,ಚಿನ್ನ,സ്വർണ്ണം
191,Silber::N,ಬೆಳ್ಳಿ,വെള്ളി
192,Kohle::N,ಕಲ್ಲಿದ್ದಲು,കൽക്കരി
193,Glas::N,ಗಾಜು,ഗ്ലാസ്
194,Lehm::N,ಜೇಡಿಮಣ್ಣು,കളിമണ്ണ്
195,Sand::N,ಮರಳು,മണൽ
196,Mensch::N,ಪುರುಷ,മനുഷ്യർ
197,Mann::N,ಆಳು,പുരുഷൻ
198,Frau::N,ಹೆಣ್ಣು,സ്ത്രീ
199,Kind::N,ಮಗು,കുഞ്ഞ്
200,Junge::N,ಹುಡುಗ,ആൺകുട്ടി
201,Mädchen::N,ಹುಡುಗಿ,പെൺകുട്ടി
202,Familie::N,ಕುಟುಂಬ,കുടുംബം
203,Großvater::N,ಅಜ್ಜ,അപ്പൂപ്പൻ
204,Großmutter::N,ಅಮ್ಮ,അമ്മുമ്മ
205,Eltern::N,ಹೆತ್ತವರು,മാതാപിതാക്കള്
206,Vater::N,ತಂದೆ,അച്ഛൻ
207,Mutter::N,ಅಮ್ಮ,അമ്മ
208,Sohn::N,ಮಗ ,മകൻ
209,Tochter::N,ಮಗಳು,മകൾ
210,Bruder::N,ತಮ್ಮ,ചേട്ടൻ
211,Bruder::N,ತಮ್ಮ,അനിയൻ
212,Schwester::N,ತಂಗಿ,ചേച്ചി
213,Schwester::N,ತಂಗಿ,അനിയത്തി
214,Onkel::N,ಸೋದರಮಾವ,അമ്മാവൻ
215,Onkel::N,ದೊಡ್ಡಪ್ಪ,അമ്മാവൻ
216,Tante::N,ಚಿಕ್ಕಮ್ಮ,മാമി
217,Ehemann::N,ಗಂಡ,ഭർത്താവ്
218,Ehefrau::N,ಹೆಂಡತಿ,ഭാര്യ
219,Freude::N,ನಲಿವು,ആഹ്ലാദം
220,Gelächter::N,ನಗೆ,ചിരിയുടെ ശബ്ദം
221,Glück::N,ಆನಂದ,സന്തോഷം
222,Glück::N,ಆನಂದ,സന്തുഷ്ടി
223,Kummer::N,ದುಃಖ,ശോകം
224,Wunsch::N,ಬಯಕೆ,ആഗ്രഹം
225,Lust::N,ಇಷ್ಟ,ആഗ്രഹം
226,Geist::N,ಆತ್ಮ,ചുറുചുറുക്ക്
227,Gedanke::N,ಯೋಚನೆ,ചിന്ത
228,Gedächtnis::N,ಸ್ಮರಣೆ,ഓർമ്മശക്തി
229,Verstand::N,ಮನಸ್ಸು,മനസ്സ്
230,Sinn::N,ಅರ್ಥ,അർത്ഥം
231,Grund::N,ಕಾರಣ,കാരണം
232,Wahrheit::N,ಸತ್ಯ,സത്യം
233,Gespräch::N,ಸಂಭಾಷಣೆ,സല്ലാപം
234,Märchen::N,ಸುಳ್ಳು ಕಥೆ,യക്ഷിക്കഥ
235,Erzählung::N,ಕಥೆ,കഥ
236,Nachricht::N,ಸಂದೇಶ,സന്ദേശം
237,Neuigkeit::N,ಸುದ್ದಿ,വാർത്ത
238,Name::N,ಹೆಸರು,പേര്
239,Rätsel::N,ಒಗಟು,പ്രഹേളിക
240,Rede::N,ಮಾತು,സംസാരം
241,Sprache::N,ಭಾಷೆ,ഭാഷ
242,Stimme::N,ಧ್ವನಿ,സ്വരം
243,Wort::N,ಮಾತು,വാക്ക്
244,Zeichen::N,ಗುರುತು,സംജ്ഞ
245,Ruf::N,ಕೂಗು,വിളി
246,Lärm::N,ಸದ್ದು,ആരവം
247,Laut::N,ಶಬ್ದ,ശബ്ദം
248,Ton::N,ನಾದ,സ്വരഭേദം
249,Lied::N,ಗಾನ,പാട്ട്
250,Ruhe::N,ಶಾಂತಿ,നിശ്ചലത
251,Leute::N,ಮಂದಿ,ജനങ്ങൾ
252,Volk::N,ಜನಾಂಗ,രാഷ്ടം
253,Arbeit::N,ಕೆಲಸ,ജോലി
254,Gast::N,ಅತಿಥಿ,അതിലി
255,Geschenk::N,ಕಾಣಿಕೆ,സമ്മാനം
256,Spiel::N,ಆಟ,കളി
257,Gesellschaft::N,ಸಂಗ,കൂട്ടായ്മ
258,Hilfe::N,ಸಹಾಯ,സഹായം
259,Freund::N,ಸ್ನೇಹಿತ,സുഹൃത്ത്
260,Kamerad::N,ಜೊತೆಗಾರ,കൂട്ടാളി
261,Angelegenheit::N,ವಿಚಾರ,കാര്യം
262,Anzahl::N,ಎಣಿಕೆ,എണ്ണം
263,Art::N,ತರ,തരം
264,Stück::N,ತುಂಡು,കഷണം
265,Teil::N,ಭಾಗ,ഭാഗം
266,Hälfte::N,ಅರ್ಧ,പകുതി
267,Kreis::N,ವೃತ್ತ,വൃത്തം
268,Kreuz::N,ಶಿಲುಬೆ,കുരിശടയാളം
269,Linie::N,ರೀಖೆ,വര
270,Linie::N,ರೀಖೆ,രേഖ
271,Strich::N,ಗೀಟು,പക്ഷാഘാതം
272,Abstand::N,ಅಂತರ,വിടവ്
273,Entfernung::N,ದೂರ,അകലം
274,Gegend::N,ವಿಸ್ತೀರ್ಣ,പ്രദേശം
275,Platz::N,ಅಂತರ,ഇടം
276,Ort::N,ಸ್ಥಳ,സ്ഥലം
277,Seite::N,ಪಕ್ಷ,വശം
278,Mitte::N,ನಡು,മധ്യസ്ഥാനം
279,Gegenstand::N,ವಸ್ತು,സാധനം
280,Sache::N,ವಸ್ತು,വസ്തു
281,Rand::N,ಅಂಚು,തൊങ്ങൽ
282,Kante::N,ಅಂಚು,അറ്റം
283,Ecke::N,ಮೂಲೆ,മൂല
284,Spitze::N,ತುದಿ,അഗ്രം
285,Ende::N,ಕೊನೆ,അവസാനം
286,Loch::N,ತೂತು,ദ്വാരം
287,Winkel::N,ಕೋನ,കോൺ
288,Muster::N,ನಮೂನೆ,ക്രമം
289,Größe::N,ಪ್ರಮಾಣ,വലുപ്പം
290,Länge::N,ಉದ್ದ,നീളം
291,Höhe::N,ಎತ್ತರ,ഉയരം
292,Gewicht::N,ತೂಕ,കട്ടി
293,Menge::N,ಮೊತ್ತ,അളവ്
294,Haufen::N,ರಾಶಿ,കൂമ്പാരം
295,Reihe::N,ಸಾಲು,വരി
296,Boot::N,ದೋಣಿ,ബോട്ട്
297,Ruder::N,ಹುಟ್ಟು,പങ്കായം
298,Schlitten::N,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ,ഉരുളില്ലാവണ്ടി
299,Ski::N,ಜಾರುಪಟ್ಟಿ,ഹിമപാദുകം
300,Lagerfeuer::N,ಶಿಬಿರಾಗ್ನಿ,തീ
301,Last::N,ಹೊರೆ,ഭാരം
302,Gang::N,ತಿರುಗಾಟ,നടത്തം
303,Schritt::N,ಹೆಜ್ಜೆ,ചുവട്
304,Norden::N,ಉತ್ತರ,വടക്ക്
305,Süden::N,ದಕ್ಷಿಣ,തെക്ക്
306,Westen::N,ಪಶ್ಚಿಮ,പടിഞ്ഞാറ്
307,Osten::N,ಮೂಡಲು,കിഴക്ക്
308,Holz::N,ಚೌಬೀನೆ,തടി
309,Brett::N,ಹಲಗೆ,ബോർഡ്
310,Platte::N,ಹಲಗೆ,തകിട്
311,Stütze::N,ಆಸರೆ,താങ്ങ്
312,Stange::N,ಕಂಬ,കമ്പ്
313,Stock::N,ಕೋಲು,വടി
314,Stab::N,ದೊಣ್ಣೆ,കുറുവടി
315,Rohr::N,ನಳಿಕೆ,കുഴൽ
316,Haus::N,ಮನೆ,വീട്
317,Heim::N,ಗೃಹ,വീട്
318,Ofen::N,ಒಲೆ,സ്റ്റൌ
319,Fußboden::N,ನೆಲ,തറ
320,Tisch::N,ಮೇಜು,മേശ
321,Stuhl::N,ಕುರ್ಚಿ,കസേര
322,Wiege::N,ತೊಟ್ಟಿಲು,തൊട്ടിൽ
323,Bett::N,ಹಾಸಿಗೆ,കിടക്ക
324,Regal::N,ಬೀರು,ഷെൽഫ്
325,Kiste::N,ಪಟ್ಟಿಗೆ,പെട്ടി
326,Fenster::N,ಕಿಟಕಿ,ജനൽ
327,Tür::N,ಬಾಗಿಲು,വാതിൽ
328,Tor::N,ಹೆಬ್ಬಾಗಿಲು,കവാടം
329,Zaun::N,ಬೇಲಿ,വേലി
330,Dach::N,ಮಾಳಿಗೆ,മേൽക്കുര
331,Leiter::N,ಏಣಿ,ഏണി
332,Besen::N,ಪೊರಕೆ,ചൂല്
333,Spaten::N,ಗುದ್ದಲಿ,തൂമ്പ
334,Schaufel::N,ಸನಿಕೆ,തൂമ്പ
335,Gabel::N,ಕವಲು,മുൾക്കത്തി
336,Löffel::N,ಚಮಚ,സ്പൂൺ
337,Messer::N,ಚಾಕು,കത്തി
338,Nagel::N,ಆಣಿ,ആണി
339,Netz::N,ಬಲೆ,വല
340,Haken::N,ಕೊಂಡಿ,കൊളുത്ത്
341,Griff::N,ಹಿಡಿ,കൈപ്പിടി
342,Schloss::N,ವೀಗ,പൂട്ട്
343,Bild::N,ಚಿತ್ರ,ചിത്രം
344,Figur::N,ಆಕಾರ,കണക്ക്
345,Puppe::N,ಗೊಂಬೆ,പാവ
346,Beutel::N,ಸಂಚಿ,ബാഗ്
347,Bündel::N,ಕಟ್ಟು,കെട്ട്
348,Tasche::N,ಚೀಲ,ബാഗ്
349,Eimer::N,ಬಾನೆ,ബക്കറ്റ്
350,Deckel::N,ಮುಚ್ಚಳ,ഉറ
351,Geschirr::N,ಭಕ್ಷ್ಯಗಳು,പിഞ്ഞാണം
352,Sack::N,ಮೂಟೆ,ചാക്ക്
353,Tasse::N,ಬಟ್ಟಲು,കപ്പ്
354,Topf::N,ಮಡಕೆ,പാത്രം
355,Kessel::N,ಕೆಟಲ್,കെറ്റ്ല്
356,Essen::N,ಊಟ,ആഹാരസമയം
357,Nahrung::N,ಆಹಾರ,ഭക്ഷണം
358,Speise::N,ಊಟ,ഡിഷ്
359,Fleisch::N,ಮಾಂಸ,മാംസം
360,Getreide::N,ಧಾನ್ಯ,ചോളം
361,Brei::N,ಗಂಜಿ,കഞ്ഞി
362,Brot::N,ರೊಟ್ಟಿ,റോട്ടി
363,Scheibe::N,ಹೋಳು,തുണ്ട്
364,Fett::N,ಕೊಬ್ಬು,കൊഴുപ്പ്
365,Butter::N,ಬೆಣ್ಣೆ,വെണ്ണ
366,Öl::N,ಎಣ್ಣೆ,എണ്ണ
367,Salz::N,ಉಪ್ಪು,ഉപ്പ്
368,Suppe::N,ಎಸರು,സൂപ്പ്
369,Honig::N,ಮಧು,തേൻ
370,Milch::N,ಹಾಲು,പാൽ
371,Tee::N,ಚಹ,ചായ
372,Leder::N,ಚಕ್ಕಳ,തുകൽ
373,Wolle::N,ಉಣ್ಣೆ,കമ്പിളി
374,Stoff::N,ಬಟ್ಟೆ,തുണി
375,Nadel::N,ಸೂಜಿ,സൂചി
376,Faden::N,ದಾರ,നൂല്
377,Knopf::N,ಗುಂಡು,ബട്ടൺ
378,Knoten::N,ಗಂಟು,കുരുക്ക്
379,Farbe::N,ಬಣ್ಣ,പെയിൻറ്
380,Kleidung::N,ಅರಿವೆ,വസ്ത്രങ്ങൾ
381,Hemd::N,ಅಂಗಿ,ഷർട്ട്
382,Kragen::N,ಕುತ್ತಿಗೆಪಟ್ಟಿ,കുപ്പായക്കഴുത്ത്
383,Ärmel::N,ತೋಳು,കുപ്പായക്കൈ
384,Hose::N,ಇಜಾರ,ട്രൌസർ
385,Gürtel::N,ಬೆಲ್ಟು,ബെൽറ്റ്
386,Mütze::N,ಟೋಪಿ,തൊപ്പി
387,Schuh::N,ಪಾದರಕ್ಷೆ,ഷൂ
388,Stiefel::N,ಬೂಟು,ബൂട്ട്
389,Ring::N,ಉಂಗುರ,മോതിരം
390,Band::N,ರಿಬ್ಬನ್,റിബൺ
391,Kamm::N,ಹಣಿಗೆ,ചീപ്പ്
392,Spiegel::N,ಕನ್ನಡಿ,കണ്ണാടി
393,Riemen::N,ಬಾರು,സ്ട്രാപ്പ്
394,Schnur::N,ಹುರಿ,ചരട്
395,Leine::N,ಹಗ್ಗ,കെട്ടാനുള്ള തോൽവാർ
396,Decke::N,ಕಂಬಳಿ,പുതപ്പ്
397,Kissen::N,ದಿಂಬು,തലയിണ
398,Tuch::N,ಕೊರಳ ಬಟ್ಟೆ,സ്കാർഫ്
399,Handtuch::N,ಚೌಕ,തോർത്ത്
400,Kraft::N,ಬಲ,ശക്തി
401,Stärke::N,ಶಕ್ತಿ,ശക്തി
402,Gesundheit::N,ಆರೋಗ್ಯ,ആരോഗ്യം
403,Krankheit::N,ರೋಗ,അസുഖം
404,Schmerz::N,ನೋವು,വേദന
405,Wunde::N,ಗಾಯ,മുറിവ്
406,Fieber::N,ಜ್ವರ,പനി
407,Arznei::N,ಔಷಧ,മരുന്ന്
408,Brücke::N,ಸೇತುವೆ,പാലം
409,Brunnen::N,ಬಾವಿ,കിണർ
410,Weide::N,ಗೋಮಾಳ,മേച്ചൽ
411,Pfad::N,ದಾರಿ,വഴി
412,Weg::N,ಹಾದಿ,വഴി
413,Straße::N,ರಸ್ತೆ,റോഡ്
414,Dorf::N,ಹಳ್ಳಿ,ഗ്രാമം
415,Stadt::N,ಪಟ್ಟಣ,നഗരം
416,Brief::N,ಕಾಗದ,കത്ത്
417,Buch::N,ಪುಸ್ತಕ,പുസ്തകം
418,Buchstabe::N,ಅಕ್ಷರ,അക്ഷരം
419,Zeitung::N,ವಾರ್ತಾಪತ್ರಿಕೆ,വർത്തമാനപത്രം
420,Leben::N,ಜೀವನ,ജീവൻ
421,Tod::N,ಮರಣ,മരണം
422,Grab::N,ಗೋರಿ,ശവക്കുഴി
423,Kirche::N,ಚರ್ಚು,പള്ളി
424,Sünde::N,ಪಾಪ,പാപം
425,Gott::N,ದೇವರು,ദൈവം
426,Arbeiter::N,ಕೆಲಸಗಾರ,ജോലിക്കാരൻ
427,Chef::N,ದಣಿ,മേധാവി
428,Meister::N,ಶಿಕ್ಷಕ,യജമാനൻ
429,Arzt::N,ವೈದ್ಯ,ഡോക്ടർ
430,Lehrer::N,ಉಪಾಧ್ಯಾಯ,അധ്യാപകൻ
431,Geld::N,ಹಣ,പണം
432,Geschäft::N,ವಾಣಿಜ್ಯ,ബിസിനസ്
433,Laden::N,ಅಂಗಡಿ,കട
434,Preis::N,ಬೆಲೆ,വില
435,Ware::N,ಸರಕು,ചരക്ക്
436,Nutzen::N,ಲಾಭ,ലാഭം
437,Reichtum::N,ಸಂಪತ್ತು,ധനം
438,Welt::N,ಭೂಲೋಕ,ലോകം
439,Land::N,ದೇಶ,രാജ്യം
440,Staat::N,ರಾಜ್ಯ,രാജ്യം
441,König::N,ರಾಜ,രാജാവ്
442,Macht::N,ಅಧಿಕಾರ,അധികാരം
443,Grenze::N,ಗಡಿ,അതിർത്തി
444,Krieg::N,ಯುದ್ಧ,യുദ്ധം
445,Feind::N,ಶತ್ರು,ശത്രു
446,Gewalt::N,ಹಿಂಸೆ,അക്രമം
447,Kampf::N,ಹೋರಾಟ,പോരാട്ടം
448,Bogen[Waffe]::N,ಬಿಲ್ಲು,വില്ല്
449,Pfeil::N,ಅಂಬು,അമ്പ്
450,Gewehr::N,ಬಂದೂಕು,തോക്ക്
451,Fehler::N,ತಪ್ಪು,പിശക്
452,Lüge::N,ಸುಳ್ಳು,കള്ളം
453,Schaden::N,ಹಾನಿ,കേടുപാട്
454,Unglück::N,ಅಪಾಯ,ദൌർഭാഗ്യം
455,Schuld::N,ದೋಷ,തെറ്റ്
456,Alter::N,ಮುಪ್ಪು,വയസ്സ്
457,Schluss::N,ಮುಕ್ತಾಯ,നിഗമനം
458,Zeit::N,ಕಾಲ,സമയം
459,Tag::N,ದಿನ,ദിവസം
460,Morgen::N,ಮುಂಜಾನೆ,പ്രഭാതം
461,Mittag::N,ನಡುಹಗಲು,ഉച്ച
462,Abend::N,ಸಂಜೆ,സായാഹ്നം
463,Nacht::N,ರಾತ್ರಿ,രാത്രി
464,Woche::N,ವಾರ,ആഴ്ച
465,Monat::N,ತಿಂಗಳು,മാസം
466,Jahr::N,ಸಂವತ್ಸರ,വർഷം
467,Frühling::N,ವಸಂತ,വസന്തം
468,Sommer::N,ಬಿಸಿಲುಕಾಲ,വേനൽ
469,Herbst::N,ಶರತ್ಕಾಲ,ശരത്കാലം
470,Winter::N,ಚಳಿಗಾಲ,ശൈത്യം
471,Januar::N,ನಾಲ್ಚಳಿ,ജനുവരി
472,Februar::N,ಅಯ್ಚಳಿ,ഫെബ്രുവരി
473,März::N,ಮೊಬ್ಬೇಸಿಗೆ,മാർച്ച്
474,April::N,ಇಬ್ಬೇಸಿಗೆ,ഏപ്രിൾ മാസം
475,Mai::N,ಮುಬ್ಬೇಸಿಗೆ,മെയ് മാസം
476,Juni::N,ಮೊಮ್ಮಳೆ,ജൂൺ
477,Juli::N,ಇಮ್ಮಳೆ,ജൂലൈ
478,August::N,ಮುಮ್ಮಳೆ,ആഗസ്റ്റ്
479,September::N,ನಾಲ್ಮಳೆ,സെപ്തംബർ
480,Oktober::N,ಮೊಚ್ಚಳಿ,ഒക്ടോബർ
481,November::N,ಇಚ್ಚಳಿ,നവംബർ
482,Dezember::N,ಮುಚ್ಚಳಿ,ഡിസംബർ
