,Concept_ID,kv,ml
127,Feder::N,гӧн,തൂവൽ
128,Fell::N,кучик,മൃദുരോമം
129,Flügel::N,борд,ചിറക്
130,Klaue::N,гыж,നഖം
131,Kralle::N,кабыр,നഖം
132,Schwanz::N,бӧж,വാൽ
133,Ei::N,кольть,മുട്ട
134,Nest::N,поз,കൂട്
135,Bau::N,осьта,മാളം
136,Bau::N,нора,മാളം
137,Tier::N,зверь,മൃഗം
138,Herde::N,гурт,കൂട്ടം
139,Kuh::N,мӧс,പശു
140,Bulle::N,ӧшка,കാള
141,Pferd::N,вӧв,കുതിര
142,Schaf::N,баля,ആട്
143,Schwein::N,порсь,പന്നി
144,Hund::N,пон,നായ്
145,Katze::N,кань,പൂച്ച
146,Bär::N,ош,കരടി
147,Eichhörnchen::N,ур,അണ്ണാൻ
148,Elch::N,вӧр мӧс,കടമാന്
149,Fuchs::N,руч,കുറുക്കൻ
150,Hase::N,кӧч,മുയൽ
151,Maus::N,шыр,ചുണ്ടലി
152,Wolf::N,кӧин,ചെന്നായ
153,Vogel::N,кай,പക്ഷി
154,Schwarm::N,стая,കൂട്ടം
155,Schwarm::N,чукӧр,കൂട്ടം
156,Huhn::N,курӧг,കോഴി
157,Hahn::N,петух,പൂവൻകോഴി
158,Hahn::N,ай курӧг,പൂവൻകോഴി
159,Gans::N,дзодзог,അരയന്നം
160,Adler::N,куч,കഴുകൻ
161,Adler::N,кутш,കഴുകൻ
162,Ente::N,утка,താറാവ്
163,Eule::N,тупка,മൂങ്ങ
164,Kranich::N,тури,കൊക്ക്
165,Krähe::N,рака,കാക്ക
166,Kuckuck::N,кӧк,കുയിൽ
167,Schwan::N,юсь,അരയന്നം
168,Fisch::N,чери,മത്സ്യം
169,Barsch::N,ёкыш,ഒരിനം മത്സ്യം
170,Hecht::N,сирпинь,ഒരു മത്സ്യം
171,Schlange[Tier]::N,змей,പാമ്പ്
172,Wurm::N,номыр,വിര
173,Spinne::N,черань,ചിലന്തി
174,Ameise::N,кӧдзывкар,ഉറുമ്പ്
175,Laus::N,ляпа той,പേന്
176,Mücke::N,ном,മശകം
177,Fliege::N,гут,ഈച്ച
178,Schmetterling::N,бабыв,ചിത്രശലഭം
179,Beere::N,ягӧд,ബെറി
180,Apfel::N,яблоко,ആപ്പിൾ
181,Pilz::N,тшак,കൂൺ
182,Zwiebel::N,грез,സവാള
183,Saat::N,кӧдзыс,വിത്ത്
184,Korn::N,сю,ധാന്യം
185,Heu::N,турун,വയ്ക്കോൽ
186,Schale::N,кыш,തൊലി
187,Schale::N,киль,തൊലി
188,Grube::N,яма,കുഴി
189,Falle::N,нальк,കെണി
190,Falle::N,кляпча,കെണി
191,Schlinge::N,лӧч,കുടുക്ക്
192,Spur::N,туй,ചുവട്
193,Asche::N,пӧим,ചാരം
194,Dreck::N,нять,അഴുക്ക്
195,Eisen::N,кӧрт,ഇരുമ്പ്
196,Gold::N,зарни,സ്വർണ്ണം
197,Silber::N,язісь,വെള്ളി
198,Kohle::N,шом,കൽക്കരി
199,Kohle::N,уголь,കൽക്കരി
200,Glas::N,стекло,ഗ്ലാസ്
201,Lehm::N,сёй,കളിമണ്ണ്
202,Sand::N,лыа,മണൽ
203,Mensch::N,морт,മനുഷ്യർ
204,Mann::N,мужик,പുരുഷൻ
205,Frau::N,инька,സ്ത്രീ
206,Kind::N,кага,കുഞ്ഞ്
207,Junge::N,зонка,ആൺകുട്ടി
208,Mädchen::N,нывкаок,പെൺകുട്ടി
209,Familie::N,семья,കുടുംബം
210,Großvater::N,дед,അപ്പൂപ്പൻ
211,Großmutter::N,баб,അമ്മുമ്മ
212,Eltern::N,ай-мам,മാതാപിതാക്കള്
213,Vater::N,ай,അച്ഛൻ
214,Mutter::N,мам,അമ്മ
215,Sohn::N,зон,മകൻ
216,Tochter::N,ныв,മകൾ
217,Bruder::N,вон,ചേട്ടൻ
218,Bruder::N,вон,അനിയൻ
219,Schwester::N,сой,ചേച്ചി
220,Schwester::N,сой,അനിയത്തി
221,Onkel::N,дядь,അമ്മാവൻ
222,Tante::N,айӧлӧн сой,മാമി
223,Tante::N,ичинь,മാമി
224,Ehemann::N,жӧник,ഭർത്താവ്
225,Ehefrau::N,инь,ഭാര്യ
226,Freude::N,гаж,ആഹ്ലാദം
227,Freude::N,радъялӧм,ആഹ്ലാദം
228,Gelächter::N,сералӧм,ചിരിയുടെ ശബ്ദം
229,Glück::N,мичлун,സന്തോഷം
230,Glück::N,мичлун,സന്തുഷ്ടി
231,Kummer::N,шог,ശോകം
232,Wunsch::N,мӧдӧм,ആഗ്രഹം
233,Wunsch::N,охотитӧм,ആഗ്രഹം
234,Lust::N,охота,ആഗ്രഹം
235,Geist::N,лов,ചുറുചുറുക്ക്
236,Gedanke::N,дума,ചിന്ത
237,Gedächtnis::N,тӧдвыв,ഓർമ്മശക്തി
238,Verstand::N,вежӧр,മനസ്സ്
239,Sinn::N,ылӧс,അർത്ഥം
240,Grund::N,мог,കാരണം
241,Wahrheit::N,правда,സത്യം
242,Gespräch::N,сёрни,സല്ലാപം
243,Märchen::N,сказка,യക്ഷിക്കഥ
244,Erzählung::N,висьт,കഥ
245,Nachricht::N,юӧр,സന്ദേശം
246,Nachricht::N,висьталӧм,സന്ദേശം
247,Neuigkeit::N,новость,വാർത്ത
248,Name::N,ним,പേര്
249,Rätsel::N,загадка,പ്രഹേളിക
250,Rede::N,сёрни,സംസാരം
251,Sprache::N,кыв,ഭാഷ
252,Stimme::N,голос,സ്വരം
253,Wort::N,кыв,വാക്ക്
254,Zeichen::N,пас,സംജ്ഞ
255,Ruf::N,чуксӧм,വിളി
256,Ruf::N,чукӧстӧм,വിളി
257,Lärm::N,шум,ആരവം
258,Laut::N,шы,ശബ്ദം
259,Ton::N,гор,സ്വരഭേദം
260,Lied::N,сьыланкыв,പാട്ട്
261,Ruhe::N,спокой,നിശ്ചലത
262,Leute::N,йӧз,ജനങ്ങൾ
263,Volk::N,йӧз,രാഷ്ടം
264,Volk::N,народ,രാഷ്ടം
265,Arbeit::N,удж,ജോലി
266,Gast::N,гӧсь,അതിലി
267,Geschenk::N,гӧснеч,സമ്മാനം
268,Geschenk::N,подарок,സമ്മാനം
269,Spiel::N,орсӧм,കളി
270,Gesellschaft::N,компания,കൂട്ടായ്മ
271,Hilfe::N,отсӧт,സഹായം
272,Freund::N,модз,സുഹൃത്ത്
273,Freund::N,дружок,സുഹൃത്ത്
274,Kamerad::N,тӧдса,കൂട്ടാളി
275,Angelegenheit::N,дело,കാര്യം
276,Anzahl::N,лыд,എണ്ണം
277,Art::N,пӧлӧс,തരം
278,Stück::N,тор,കഷണം
279,Teil::N,юкӧм,ഭാഗം
280,Hälfte::N,джын,പകുതി
281,Kreis::N,круг,വൃത്തം
282,Kreuz::N,перна,കുരിശടയാളം
283,Linie::N,визь,വര
284,Linie::N,визь,രേഖ
285,Strich::N,кырӧв,പക്ഷാഘാതം
286,Abstand::N,колас,വിടവ്
287,Entfernung::N,ылына,അകലം
288,Gegend::N,места,പ്രദേശം
289,Platz::N,места,ഇടം
290,Ort::N,места,സ്ഥലം
291,Seite::N,ладор,വശം
292,Mitte::N,шӧр,മധ്യസ്ഥാനം
293,Gegenstand::N,тор,സാധനം
294,Sache::N,тор,വസ്തു
295,Rand::N,дор,തൊങ്ങൽ
296,Kante::N,ордлы,അറ്റം
297,Ecke::N,пельӧс,മൂല
298,Spitze::N,йыв,അഗ്രം
299,Ende::N,йыв,അവസാനം
300,Loch::N,осьта,ദ്വാരം
301,Winkel::N,пельӧс,കോൺ
302,Muster::N,сер,ക്രമം
303,Größe::N,ыжда,വലുപ്പം
304,Länge::N,кузя,നീളം
305,Höhe::N,сувда,ഉയരം
306,Höhe::N,вылына,ഉയരം
307,Gewicht::N,сьӧкта,കട്ടി
308,Haufen::N,куча,കൂമ്പാരം
309,Reihe::N,лёдз,വരി
310,Boot::N,пыж,ബോട്ട്
311,Ruder::N,пелыс,പങ്കായം
312,Schlitten::N,додь,ഉരുളില്ലാവണ്ടി
313,Ski::N,лямпа,ഹിമപാദുകം
314,Lagerfeuer::N,бипур,തീ
315,Last::N,тягота,ഭാരം
316,Gang::N,мунӧм,നടത്തം
317,Schritt::N,вожмӧв,ചുവട്
318,Norden::N,ой,വടക്ക്
319,Süden::N,лун,തെക്ക്
320,Westen::N,рытвыв,പടിഞ്ഞാറ്
321,Osten::N,асыв,കിഴക്ക്
322,Holz::N,пу,തടി
323,Brett::N,пӧв,ബോർഡ്
324,Platte::N,плита,തകിട്
325,Stütze::N,пика,താങ്ങ്
326,Stange::N,зор,കമ്പ്
327,Stange::N,потш,കമ്പ്
328,Stock::N,бедь,വടി
329,Stab::N,шест,കുറുവടി
330,Rohr::N,труба,കുഴൽ
331,Haus::N,керку,വീട്
332,Heim::N,керку,വീട്
333,Ofen::N,пӧжавны,സ്റ്റൌ
334,Fußboden::N,джодж,തറ
335,Tisch::N,пызан,മേശ
336,Stuhl::N,стул,കസേര
337,Wiege::N,зыбка,തൊട്ടിൽ
338,Bett::N,кровать,കിടക്ക
339,Regal::N,джадж,ഷെൽഫ്
340,Kiste::N,ящик,പെട്ടി
341,Fenster::N,ӧшын,ജനൽ
342,Tür::N,ыбӧс,വാതിൽ
343,Tor::N,ворота,കവാടം
344,Zaun::N,забор,വേലി
345,Dach::N,крыша,മേൽക്കുര
346,Leiter::N,лиснич,ഏണി
347,Besen::N,рос,ചൂല്
348,Spaten::N,зыр,തൂമ്പ
349,Schaufel::N,зыр,തൂമ്പ
350,Gabel::N,вила,മുൾക്കത്തി
351,Löffel::N,пань,സ്പൂൺ
352,Messer::N,пурт,കത്തി
353,Nagel::N,кӧрттув,ആണി
354,Netz::N,кыйӧт,വല
355,Haken::N,ем,കൊളുത്ത്
356,Griff::N,пу,കൈപ്പിടി
357,Schloss::N,замок,പൂട്ട്
358,Bild::N,картина,ചിത്രം
359,Figur::N,мыгӧр,കണക്ക്
360,Puppe::N,акань,പാവ
361,Beutel::N,мешӧк,ബാഗ്
362,Bündel::N,нин,കെട്ട്
363,Tasche::N,сумка,ബാഗ്
364,Eimer::N,ведра,ബക്കറ്റ്
365,Deckel::N,вевт,ഉറ
366,Geschirr::N,доз,പിഞ്ഞാണം
367,Geschirr::N,бекӧрпань,പിഞ്ഞാണം
368,Sack::N,мешӧк,ചാക്ക്
369,Tasse::N,бекӧр,കപ്പ്
370,Topf::N,кастрюля,പാത്രം
371,Kessel::N,пӧрт,കെറ്റ്ല്
372,Essen::N,сёйӧм,ആഹാരസമയം
373,Nahrung::N,вердан,ഭക്ഷണം
374,Speise::N,сёян,ഡിഷ്
375,Fleisch::N,яй,മാംസം
376,Getreide::N,сю,ചോളം
377,Brei::N,каша,കഞ്ഞി
378,Brot::N,нянь,റോട്ടി
379,Scheibe::N,шӧрӧм,തുണ്ട്
380,Fett::N,гос,കൊഴുപ്പ്
381,Butter::N,ви,വെണ്ണ
382,Öl::N,ви,എണ്ണ
383,Salz::N,сов,ഉപ്പ്
384,Suppe::N,шыд,സൂപ്പ്
385,Honig::N,ма,തേൻ
386,Milch::N,йӧв,പാൽ
387,Tee::N,чай,ചായ
388,Leder::N,кучик,തുകൽ
389,Wolle::N,гӧн,കമ്പിളി
390,Stoff::N,дӧра,തുണി
391,Nadel::N,ем,സൂചി
392,Faden::N,сунис,നൂല്
393,Knopf::N,кизь,ബട്ടൺ
394,Knoten::N,узӧв,കുരുക്ക്
395,Knoten::N,гӧрӧд,കുരുക്ക്
396,Farbe::N,краска,പെയിൻറ്
397,Kleidung::N,паськӧм,വസ്ത്രങ്ങൾ
398,Hemd::N,йӧрнӧс,ഷർട്ട്
399,Kragen::N,воротник,കുപ്പായക്കഴുത്ത്
400,Ärmel::N,сос,കുപ്പായക്കൈ
401,Hose::N,вешьян,ട്രൌസർ
402,Gürtel::N,йи,ബെൽറ്റ്
403,Mütze::N,шапка,തൊപ്പി
404,Schuh::N,ботинки,ഷൂ
405,Stiefel::N,сапог,ബൂട്ട്
406,Ring::N,чунькытш,മോതിരം
407,Band::N,ленточка,റിബൺ
408,Kamm::N,сынан,ചീപ്പ്
409,Spiegel::N,зеркало,കണ്ണാടി
410,Riemen::N,ремень,സ്ട്രാപ്പ്
411,Schnur::N,гез,ചരട്
412,Leine::N,повод,കെട്ടാനുള്ള തോൽവാർ
413,Decke::N,одеяло,പുതപ്പ്
414,Kissen::N,подушка,തലയിണ
415,Tuch::N,чышьян,സ്കാർഫ്
416,Handtuch::N,чышкӧт,തോർത്ത്
417,Kraft::N,прак,ശക്തി
418,Stärke::N,вын,ശക്തി
419,Gesundheit::N,здоровье,ആരോഗ്യം
420,Krankheit::N,шог,അസുഖം
421,Schmerz::N,зубыт,വേദന
422,Wunde::N,рана,മുറിവ്
423,Fieber::N,лёк тресся,പനി
424,Fieber::N,кынтан шогӧт,പനി
425,Arznei::N,лекарство,മരുന്ന്
426,Brücke::N,пос,പാലം
427,Brunnen::N,колодец ,കിണർ
428,Weide::N,пода йирсян,മേച്ചൽ
429,Pfad::N,туй,വഴി
430,Weg::N,туй,വഴി
431,Straße::N,туй,റോഡ്
432,Dorf::N,деревня,ഗ്രാമം
433,Stadt::N,город,നഗരം
434,Brief::N,гижӧт,കത്ത്
435,Buch::N,книга,പുസ്തകം
436,Buchstabe::N,буква,അക്ഷരം
437,Zeitung::N,газета,വർത്തമാനപത്രം
438,Leben::N,олан,ജീവൻ
439,Tod::N,кулӧм,മരണം
440,Grab::N,гу,ശവക്കുഴി
441,Kirche::N,вичку,പള്ളി
442,Sünde::N,грек,പാപം
443,Gott::N,ен,ദൈവം
444,Arbeiter::N,уджалiсь,ജോലിക്കാരൻ
445,Chef::N,начальник,മേധാവി
446,Meister::N,мастер,യജമാനൻ
447,Arzt::N,врач,ഡോക്ടർ
448,Lehrer::N,велӧтісь,അധ്യാപകൻ
449,Geld::N,деньга,പണം
450,Geschäft::N,удж,ബിസിനസ്
451,Laden::N,магазин,കട
452,Preis::N,дон,വില
453,Ware::N,товар,ചരക്ക്
454,Nutzen::N,путь,ലാഭം
455,Reichtum::N,богатство,ധനം
456,Welt::N,му,ലോകം
457,Land::N,страна,രാജ്യം
458,Staat::N,государство,രാജ്യം
459,König::N,кан,രാജാവ്
460,Macht::N,власть,അധികാരം
461,Grenze::N,граница,അതിർത്തി
462,Krieg::N,война,യുദ്ധം
463,Feind::N,враг,ശത്രു
464,Kampf::N,нярасьӧм,പോരാട്ടം
465,Kampf::N,вермасьӧм,പോരാട്ടം
466,Bogen[Waffe]::N,лук,വില്ല്
467,Pfeil::N,ньӧв,അമ്പ്
468,Gewehr::N,ружьё,തോക്ക്
469,Fehler::N,ошибка,പിശക്
470,Lüge::N,ылӧтӧм,കള്ളം
471,Lüge::N,пӧрьялӧм,കള്ളം
472,Schaden::N,лёк,കേടുപാട്
473,Unglück::N,пик,ദൌർഭാഗ്യം
474,Unglück::N,оказзё,ദൌർഭാഗ്യം
475,Schuld::N,вина,തെറ്റ്
476,Schluss::N,ком,നിഗമനം
477,Zeit::N,кад,സമയം
478,Tag::N,лун,ദിവസം
479,Morgen::N,асыв,പ്രഭാതം
480,Mittag::N,луншӧр кад,ഉച്ച
481,Abend::N,рыт,സായാഹ്നം
482,Nacht::N,ой,രാത്രി
483,Woche::N,неделя,ആഴ്ച
484,Monat::N,тӧлicь,മാസം
485,Jahr::N,год,വർഷം
486,Frühling::N,тулыс,വസന്തം
487,Sommer::N,гожум,വേനൽ
488,Herbst::N,ар,ശരത്കാലം
489,Winter::N,тӧв,ശൈത്യം
490,Januar::N,январ,ജനുവരി
491,Februar::N,февраль,ഫെബ്രുവരി
492,März::N,март,മാർച്ച്
493,April::N,апрель,ഏപ്രിൾ മാസം
494,Mai::N,май,മെയ് മാസം
495,Juni::N,юнь,ജൂൺ
496,Juli::N,юль,ജൂലൈ
497,August::N,август,ആഗസ്റ്റ്
498,September::N,сентяб,സെപ്തംബർ
499,Oktober::N,октяб,ഒക്ടോബർ
500,November::N,нояб,നവംബർ
501,Dezember::N,декаб,ഡിസംബർ
502,Montag::N,вильлун,തിങ്കളാഴ്ച
503,Dienstag::N,мӧдӧдзлун,ചൊവ്വ
504,Mittwoch::N,шӧрлун,ബുധനാഴ്ച
505,Donnerstag::N,нёльӧдзлун,വ്യാഴാഴ്ച
506,Freitag::N,витӧдзлун,വെള്ളിയാഴ്ച
507,Samstag::N,пывсянлун,ശനിയാഴ്ച
508,Sonntag::N,кресення,ഞായറാഴ്ച
509,groß::A,ыджыт,വലിയ
510,klein::A,учӧтик,ചെറിയ
511,lang::A,кузь,നീണ്ട
512,kurz::A,дженыт,ഹ്രസ്വമായ
513,breit::A,ота,വിശാലമായ
514,schmal::A,векнит,ഇടുങ്ങിയ
515,dicht::A,тшӧк,നിബിഡമായ
516,dick[Gegenstand]::A,кыз,തടിച്ച
517,dünn::A,вӧснит,മെലിഞ്ഞ
518,fein::A,вӧснит,നേർത്ത
519,fest::A,крепыт,ഉറപ്പുള്ള
520,flach::A,лапкӧса,പരന്ന
521,glatt::A,волькыт,മിനുസമുള്ള
522,hart::A,чӧрыт,കട്ടിയുള്ള
523,weich::A,небыт,മൃദുവായ
524,rund::A,гӧгрӧса,വട്ടത്തിലുള്ള
525,spitz::A,ёся,മുനയുള്ള
526,scharf::A,лэчыт,മൂർച്ചയുള്ള
527,stumpf::A,ныж,തുറന്നടിക്കുന്ന
528,schwer::A,сьӧкыт,ഭാരമുള്ള
529,schön::A,басӧк,മനോഹരമായ
530,heiß::A,жар,ചൂടുള്ള
531,warm::A,шоныт,ചൂടുള്ള
532,kalt::A,кӧдзыт,തണുത്ത
533,kühl::A,сайкыт,തണുപ്പുള്ള
534,frisch::A,виль,ശുദ്ധമായ
535,feucht::A,вакодь,ഈറനുള്ള
536,nass::A,ва,നനഞ്ഞ
537,trocken::A,кӧс,വരണ്ട
538,voll::A,тыра,നിറയെ
539,leer::A,тыртӧм,ഒഴിഞ്ഞ
540,offen::A,оссьӧм,തുറന്ന
541,geschlossen::A,игана,അടച്ച
542,geschlossen::A,пӧдана,അടച്ച
543,sauber::A,сӧдз,വൃത്തിയുള്ള
544,sauber::A,сӧстӧм,വൃത്തിയുള്ള
545,schmutzig::A,нятьӧсь,അഴുക്കുനിറഞ്ഞ
546,roh::A,путӧм,അസംസ്കൃതമായ
547,reif::A,кисьмалӧм,പഴുത്ത
548,lecker::A,кӧра ,രുചികരമായ
549,süß::A,чӧскыт,മധുരമുള്ള
550,bitter::A,курыт,കടുത്ത
551,sauer::A,шӧма ,പുളിപ്പുള്ള
552,hell::A,югыт,ജ്വലിക്കുന്ന
553,dunkel::A,пемыт,ഇരുണ്ട
554,schwarz::A,сьӧд,കറുത്ത
555,weiß::A,чочком,വെളുത്ത
556,rot::A,гӧрд,ചുവന്ന
557,gelb::A,веж,മഞ്ഞനിറമായ
558,blau::A,лӧз,നീലനിറമുള്ള
559,grün::A,веж,പച്ചനിറമുള്ള
560,grau::A,руд,ചാരനിറത്തിലുള്ള
561,grau::A,бусӧй,ചാരനിറത്തിലുള്ള
562,bunt::A,быдрӧма,വർണ്ണശബളമായ
563,billig::A,донтӧм,വിലകുറഞ്ഞ
564,teuer::A,дона,ചെലവേറിയ
565,wertvoll::A,дона,വിലപിടിപ്പുള്ള
566,blind::A,синтӧм,അന്ധനായ
567,taub::A,пельтӧм,കേൾവിക്കുറവുള്ള
568,kräftig::A,вына,ശക്തിയുള്ള
569,stark::A,вына,ബലമുള്ള
570,schwach::A,некодя,ക്ഷീണിച്ച
571,fett::A,госа,കൊഴുപ്പുള്ള
572,schlank::A,статя,മെലിഞ്ഞ
573,hübsch::A,басӧк,മനോഹരമായ
574,böse::A,лёк,പാപിയായ
575,dumm::A,бӧбӧв,വിവരംകെട്ട
576,dumm::A,вежӧртӧм,വിവരംകെട്ട
577,faul::A,дыш,അലസനായ
578,fleißig::A,уджалicь,അദ്ധ്വാനശീലമുള്ള
579,geizig::A,жикмӧра,പിശുക്കനായ
580,geizig::A,горшаліcь,പിശുക്കനായ
581,klug::A,авья,ബുദ്ധിസാമർഥ്യമുള്ള
582,klug::A,вежӧра,ബുദ്ധിസാമർഥ്യമുള്ള
583,geschickt::A,кипода,പ്രതിഭാശാലി
584,lieb::A,муса,പ്രിയപ്പെട്ട
585,lieb::A,дзулиньӧй,പ്രിയപ്പെട്ട
586,lustig::A,гажа,ആനന്ദകരമായ
587,sanft::A,лебезнӧй,സൌമ്യമായ
588,hungrig::A,тшыг,വിശപ്പുള്ള
589,krank::A,шогалiсь,അസുഖമുള്ള
590,nackt::A,куш,നഡമായ
591,traurig::A,жугыль,വിഷമമുള്ള
592,lebendig::A,ловья,ഉപജീവനം
593,gut::A,бур,നല്ല
594,schlecht::A,умӧль,മോശമായ
595,schlimm::A,нештӧм,വൃത്തികെട്ട
596,alt::A,важ,പഴയ
597,neu::A,виль,പുതിയ
598,ehemalig::A,вӧвлӧм,മുൻ
599,alt[Lebewesen]::A,года,വയസ്സുള്ള
600,alt[Lebewesen]::A,годдэза,വയസ്സുള്ള
601,jung::A,том,കൌമാരമായ
602,arm::A,гов,പാവപ്പെട്ട
603,arm::A,беднӧй,പാവപ്പെട്ട
604,reich::A,эма,സമ്പന്നമായ
605,bekannt::A,тӧдса,പരിചിതമായ
606,fremd::A,чужӧй,വൈദേശികമായ
607,verschieden::A,быдкодь,വ്യത്യസ്തമായ
608,nah::A,матiсь,അരികത്തുള്ള
609,fern::A,ылicь,അകലെയുള്ള
610,linker::A,шульга,അവശേഷിച്ച
611,rechter::A,веськытланись,വലത്തേ
612,anderer::A,мукӧд,മറ്റുള്ള
613,erster::A,медодзза,ആദ്യത്തെ
614,zweiter::A,кыкӧт,രണ്ടാം
615,dritter::A,куимӧт,മൂന്നാമത്
616,dritter::A,куимӧдз,മൂന്നാമത്
617,letzter::A,бӧрья,അവസാനത്തെ
618,letzter::A,мёдбӧрья,അവസാനത്തെ
619,auf einmal::ADV,тшӧтш,ഉടന്
620,zusammen::ADV,ӧтлаын,ഒരുമിച്ച
621,lange::ADV,дыр,നീണ്ട_കാലത്തേയ്ക്ക്
622,plötzlich::ADV,друг,പെട്ടെന്ന്
623,sofort::ADV,тшӧтш,തത്ക്ഷണം
624,später::ADV,медбӧрын,പിന്നീട്
