,Concept_ID,hy,ka
354,Haufen::N,կույտ,გროვა
355,Reihe::N,շարք,რიგი
356,Reihe::N,շարք,წყება
357,Reihe::N,կարգ,რიგი
358,Reihe::N,կարգ,წყება
359,Boot::N,նավակ,გემი
360,Ruder::N,թի,ხოფი
361,Ruder::N,թի,ნიჩაბი
362,Ruder::N,թիակ,ხოფი
363,Ruder::N,թիակ,ნიჩაბი
364,Schlitten::N,բալխիր,მარხილი
365,Ski::N,դահուկ,თხილამური
366,Lagerfeuer::N,բացօդեայ կրակ,კოცონი
367,Last::N,բեռ,ტვირთი
368,Gang::N,զբոսանք,სვლა
369,Schritt::N,քայլ,ბიჯი
370,Norden::N,հյուսիս,ჩრდილოეთი
371,Süden::N,հարավ,სამხრეთი
372,Westen::N,արեւմուտք,დასავლეთი
373,Osten::N,արեւելք,აღმოსავლეთი
374,Holz::N,փայտ,ხე
375,Brett::N,տախտակ,დაფა
376,Brett::N,տախտակ,ფიცარი
377,Platte::N,թիթեղ,თლილი ქვა
378,Stütze::N,նեցուկ,საყრდენი
379,Stange::N,ձող,ჭოკი
380,Stock::N,փայտ,კეტი
381,Stab::N,ցուպ,ლატანი
382,Stab::N,գավազան,ლატანი
383,Rohr::N,խողովակ,მილაკი
384,Haus::N,տուն,სახლი
385,Heim::N,տուն,ოჯახის კერა
386,Ofen::N,վառարան,ღუმელი
387,Fußboden::N,հատակ,იატაკი
388,Tisch::N,սեղան,სუფრა
389,Tisch::N,սեղան,მაგიდა
390,Stuhl::N,աթոռ,სკამი
391,Wiege::N,օրորոց,აკვანი
392,Bett::N,անկողին,საწოლი
393,Bett::N,անկողին,სარეცელი
394,Regal::N,դարակ,თაროები
395,Kiste::N,տուփ,ყუთი
396,Kiste::N,տուփ,სკივრი
397,Fenster::N,պատուհան,ფანჯარა
398,Fenster::N,պատուհան,სარკმელი
399,Tür::N,դուռ,ბჭე
400,Tür::N,դուռ,კარი
401,Tor::N,դարպաս,ჭიშკარი
402,Zaun::N,ցանկապատ,ღობე
403,Zaun::N,ցանկապատ,გალავანი
404,Dach::N,տանիք,სახურავი
405,Dach::N,կտուր,სახურავი
406,Leiter::N,սանդուղք,კიბე
407,Besen::N,ավել,ცოცხი
408,Spaten::N,բահ,ნიჩაბი
409,Schaufel::N,թի,ბარი
410,Gabel::N,պատառաքաղ,ჩანგალი
