,Concept_ID,te,ta
385,Spiegel::N,అద్దము,ஆடி
386,Spiegel::N,అద్దము,கண்ணாடி
387,Riemen::N,వాడా,வார்
388,Schnur::N,దారము,கயிறு
389,Leine::N,వారు,தோல்வார்
390,Decke::N,కంబళి,போர்வை
391,Kissen::N,తలగడ,தலையணை
392,Tuch::N,బట్ట,துணி
393,Handtuch::N,తువాలు,தண்டு
394,Kraft::N,బలము,நிர்பந்தம்
395,Stärke::N,శక్తి,பலம்
396,Gesundheit::N,ఆరోగ్యము,ஆரோக்கியம்
397,Krankheit::N,రోగము,நோய்
398,Schmerz::N,నొప్పి,வலி
399,Wunde::N,గాయము,காயம்
400,Fieber::N,జ్వరము,காய்ச்சல்
401,Arznei::N,మందు,மருந்து
402,Brücke::N,వంతెన,பாலம்
403,Brunnen::N,బావి,கேணி
404,Brunnen::N,కూపము,கேணி
405,Brunnen::N,నుయ్యి,கேணி
406,Weide::N,పచ్చికబయలు,மேய்ச்சல் நிலம்
407,Pfad::N,కాలిత్రోవ,நடை வழி
408,Weg::N,మార్గము,வழி
409,Straße::N,బాట,சாலை
410,Dorf::N,గ్రామము,கிராமம்
411,Stadt::N,పట్టణము,நகரம்
412,Brief::N,జాబు,கடிதம்
413,Buch::N,పుస్తకము,புத்தகம்
414,Buchstabe::N,అక్షరము,எழத்து
415,Zeitung::N,వార్తాపత్రిక,செய்தித்தாள்
416,Leben::N,ప్రాణము,வாழ்க்கை
417,Tod::N,మరణము,மரணம்
418,Grab::N,సమాధి,சமாதி
419,Kirche::N,క్రెస్తవులగుడి,தேவாலயம்
420,Sünde::N,పాపము,பாவம்
421,Gott::N,దేవుడు,கடவுள்
422,Arbeiter::N,పనిపాటుచేశేవాడు,தொழிலாளி
423,Chef::N,యజమానుడు,மேலாளர்
424,Meister::N,కళాకారుడు,தலைவன்
425,Arzt::N,వైద్యుడు,மருத்துவர்
426,Lehrer::N,ఉపాధ్యాయుడు,ஆசிரியர்
427,Geld::N,ద్రవ్యము,பணம்
428,Geschäft::N,వ్యాపారము,வாணிபம்
429,Laden::N,అంగడి,கடை
430,Preis::N,వెల,விலை
431,Ware::N,సరకులు,சாமன்கள்
432,Nutzen::N,ప్రయోజనము,இலாபம்
433,Reichtum::N,ధనము,சொத்து
434,Welt::N,ప్రపంచము,உலகம்
435,Land::N,దేశము,நாடு
436,Staat::N,రాజ్యము,நாடு
437,König::N,రాజు,அரசன்
438,Macht::N,అధికారము,அதிகாரம்
439,Grenze::N,సరిహద్దు,எல்லை
440,Krieg::N,యుద్ధము,போர்
441,Feind::N,శత్రువు,எதிரி
442,Gewalt::N,దౌర్జన్యము,வன்முறை
443,Kampf::N,పోట్లాట,போராட்டம்
444,Bogen[Waffe]::N,విల్లు,வில்
445,Pfeil::N,బాణము,அம்பு
446,Gewehr::N,తుపాకి,துப்பாக்கி
447,Fehler::N,తప్ప,தவறு
448,Lüge::N,అసత్యము,பொய்
449,Schaden::N,నష్టము,சேதாரம்
450,Unglück::N,దురదృష్టము,இடையூறு
451,Schuld::N,తప్పు,குற்றம்
452,Alter::N,వయస్సు,வயது
453,Schluss::N,ముగింపు,முடிவு
454,Zeit::N,కాలము,காலம்
455,Tag::N,దినము,நாள்
456,Morgen::N,ఉదయము,காலை நேரம்
457,Mittag::N,మధ్యాహ్నము,மதியம்
458,Abend::N,సాయంకాలము,மாலைப் பொழுது
459,Nacht::N,రత్రి,இரவு
460,Woche::N,వారము,வாரம்
461,Monat::N,నెల,மாதம்
462,Jahr::N,సంవత్సరము,வருடம்
463,Frühling::N,వసంతకాలము,வசந்தம்
464,Sommer::N,వేసవికాము,கோடை
465,Herbst::N,ఆకురాలుకాలము,இலையுதிர் காலம்
466,Winter::N,శీతకాలము,குளிர்காலம்
467,Januar::N,జనవరి,ஜனவரி
468,Februar::N,ఫిబ్రవరి,பிபரவரி மாதம்
469,März::N,మార్చి,மார்ச் மாதம்
470,April::N,ఏప్రిలు,ஏப்ரல் மாதம்
471,Mai::N,మే,மே மாதம்
472,Juni::N,జూన్,ஜூன் மாதம்
473,Juli::N,జూలై,ஜூலை மாதம்
474,August::N,ఆగస్టు,ஆகஸ்ட் மாதம்
475,September::N,సెప్ఠెంబరు,செப்டம்பர் மாதம்
476,Oktober::N,అక్టోబరు,அக்டோபர் மாதம்
477,November::N,నవంబరు,நவம்பர் மாதம்
478,Dezember::N,డిసెంబర్,டிசம்பர்
479,Montag::N,సోమవారము,திங்கட் கிழமை
480,Dienstag::N,మంగళవారము,செவ்வாய்க்கிழமை
481,Mittwoch::N,బుధవారము,புதன் கிழமை
482,Donnerstag::N,గురువారము,வியாழக் கிழமை
483,Freitag::N,శుక్రవారము,வெள்ளிக்கிழமை
484,Samstag::N,శనివారము,சனிக்கிழமை
485,Sonntag::N,ఆదివారము,ஞாயிறுக் கிழமை
486,groß::A,గొప్పైన,பெரிய
487,klein::A,చిన్న,சிறிய
488,lang::A,పొడుగాటి,நீண்ட
489,kurz::A,పొట్టి,குட்டையான
490,breit::A,వెడల్పైన,அகலமான
491,schmal::A,ఇఱుకైన,குறுகலான
492,dicht::A,దట్టమైన,அடர்த்தியான
