,Concept_ID,no,kn
100,Wald::N,skog,ಕಾಡು
101,Hügel::N,haug,ಗುಡ್ಡೆ
102,Hügel::N,bakke,ಗುಡ್ಡೆ
103,Anhöhe::N,haug,ದಿಬ್ಬ
104,Anhöhe::N,bakke,ದಿಬ್ಬ
105,Berg::N,berg,ಮಲೆ
106,Berg::N,berg,ಪರ್ವತ
107,Berg::N,fjell,ಮಲೆ
108,Berg::N,fjell,ಪರ್ವತ
109,Gipfel::N,topp,ಶೃಂಗ
110,Höhle::N,hule,ಗುಹೆ
111,Abhang::N,li,ಇಳಿಜಾರು
112,Abhang::N,skråning,ಇಳಿಜಾರು
113,Quelle::N,kilde,ಮೂಲ
114,Bach::N,bekk,ತೊರೆ
115,Fluss::N,elv,ನದಿ
116,Ufer::N,bredd,ತೀರ
117,Küste::N,kyst,ದಂಡೆ
118,Festland::N,fastland,ಭೂಮಿ
119,Meer::N,hav,ಕಡಲು
120,Bucht::N,bukt,ಖಾರಿ
121,Insel::N,øy,ದ್ವೀಪ
122,Blume::N,blomst,ಸುಮ
123,Gras::N,gress,ಹುಲ್ಲು
124,Wurzel::N,rot,ಬೇರು
125,Baum::N,tre,ಮರ
126,Stamm::N,stamme,ಕಾಂಡ
127,Rinde::N,bark,ತೂಗಟಿ
128,Ast::N,gren,ಶಾಖೆ
129,Zweig::N,kvist,ರೆಂಬೆ
130,Blatt::N,blad,ಎಲೆ
131,Birke::N,bjørk,ಬರ್ಚ್ ಮರ
132,Kiefer[Baum]::N,furu,ದೇವದಾರು ಮರ
133,Weide[Baum]::N,selje,ವಿಲೋಮರ
134,Weide[Baum]::N,piletre,ವಿಲೋಮರ
135,Tanne::N,gran,ಭದ್ರದಾರು
136,Horn::N,horn,ಕೊಂಬು
137,Feder::N,fjær,ಪುಕ್ಕ
138,Fell::N,skinn,ರೋಮ
139,Flügel::N,vinge,ರೆಕ್ಕೆ
140,Klaue::N,klauv,ಪಂಜ
141,Kralle::N,klo,ಉಗುರು
142,Schwanz::N,hale,ಬಾಲ
143,Ei::N,egg,ಮೊಟ್ಟೆ
144,Nest::N,rede,ಗೂಡು
145,Bau::N,hi,ಅಡಗುದಾಣ
146,Tier::N,dyr,ಪ್ರಾಣಿ
147,Herde::N,flokk,ಗುಂಪು
148,Kuh::N,ku,ಹಸು
149,Bulle::N,tyr,ಗೂಳಿ
150,Pferd::N,hest,ಕುದುರೆ
151,Schaf::N,får,ಕುರಿ
152,Schwein::N,gris,ಹಂದಿ
153,Hund::N,hund,ನಾಯಿ
154,Katze::N,katt,ಬೆಕ್ಕು
155,Bär::N,bjørn,ಕರಡಿ
156,Eichhörnchen::N,ekorn,ಉಡುತೆ
157,Elch::N,elg,ಕಡವೆ
158,Fuchs::N,rev,ನರಿ
159,Hase::N,hare,ಮೊಲ
160,Maus::N,mus,ಇಲಿ
161,Wolf::N,ulv,ತೋಳ
162,Wolf::N,varg,ತೋಳ
163,Vogel::N,fugl,ಪಕ್ಷಿ
164,Schwarm::N,sverm,ಗುಂಪು
165,Huhn::N,høne,ಚಿಕ್
166,Hahn::N,hane,ಹುಂಜ
167,Gans::N,gås,ವರಟೆ
168,Adler::N,ørn,ಗರುಡ
169,Ente::N,and,ಬಾತು
170,Eule::N,ugle,ಗೂಬೆ
171,Kranich::N,trane,ಕೊಕ್ಕರ
172,Krähe::N,kråke,ಕಾಗೆ
173,Kuckuck::N,gjøk,ಕೋಗಿಲೆ
174,Schwan::N,svane,ಹಂಸಪಕ್ಷಿ
175,Fisch::N,fisk,ಮೀನು
176,Barsch::N,abbor,ಪರ್ಚ್ ಮೀನು
177,Hecht::N,gjedde,ಪೈಕ್ ಮೀನು
178,Schlange[Tier]::N,orm,ಹಾವು
179,Schlange[Tier]::N,slange,ಹಾವು
180,Wurm::N,orm,ಹುಳು
181,Wurm::N,mark,ಹುಳು
182,Spinne::N,edderkopp,ಊರ್ಣನಾಭ
183,Ameise::N,maur,ಇರುವೆ
184,Laus::N,lus,ಹೇನು
185,Mücke::N,mygg,ಸೊಳ್ಳೆ
186,Fliege::N,flue,ನೊಣ
187,Schmetterling::N,sommerfugl,ಪತಂಗ
188,Beere::N,bær,ನಯವಣ್ಣು
189,Apfel::N,eple,ಸೇಬು
190,Pilz::N,sopp,ಅಣಬೆ
191,Zwiebel::N,løk,ನೀರುಳ್ಳಿ
192,Saat::N,sæd,ಬಿತ್ತ
193,Korn::N,korn,ಬೀಜ
194,Heu::N,høy,ಕರಡ
195,Schale::N,skall,ಹೊಟ್ಟು
196,Grube::N,grop,ಗುಂಡಿ
197,Falle::N,felle,ಬೋನು
198,Schlinge::N,snare,ಉರುಲು
199,Spur::N,spor,ಜಾಡು
200,Asche::N,aske,ಬೂದಿ
201,Dreck::N,møkk,ಹೊಲಸು
202,Dreck::N,skitt,ಹೊಲಸು
203,Eisen::N,jern,ಕಬ್ಬಿಣ
204,Gold::N,gull,ಚಿನ್ನ
205,Silber::N,sølv,ಬೆಳ್ಳಿ
206,Kohle::N,kol,ಕಲ್ಲಿದ್ದಲು
207,Kohle::N,kull,ಕಲ್ಲಿದ್ದಲು
208,Glas::N,glass,ಗಾಜು
209,Lehm::N,leire,ಜೇಡಿಮಣ್ಣು
210,Sand::N,sand,ಮರಳು
211,Mensch::N,menneske,ಪುರುಷ
212,Mann::N,mann,ಆಳು
213,Frau::N,kvinne,ಹೆಣ್ಣು
214,Kind::N,barn,ಮಗು
215,Junge::N,gutt,ಹುಡುಗ
216,Mädchen::N,pike,ಹುಡುಗಿ
217,Mädchen::N,jente,ಹುಡುಗಿ
218,Familie::N,familie,ಕುಟುಂಬ
219,Großvater::N,bestefar,ಅಜ್ಜ
220,Großmutter::N,bestemor,ಅಮ್ಮ
221,Eltern::N,foreldre,ಹೆತ್ತವರು
222,Vater::N,far,ತಂದೆ
223,Mutter::N,mor,ಅಮ್ಮ
224,Sohn::N,sønn,ಮಗ 
225,Tochter::N,datter,ಮಗಳು
226,Bruder::N,bror,ತಮ್ಮ
227,Schwester::N,søster,ತಂಗಿ
228,Onkel::N,onkel,ಸೋದರಮಾವ
229,Onkel::N,onkel,ದೊಡ್ಡಪ್ಪ
230,Tante::N,tante,ಚಿಕ್ಕಮ್ಮ
231,Ehemann::N,ektemann,ಗಂಡ
232,Ehefrau::N,hustru,ಹೆಂಡತಿ
233,Freude::N,glede,ನಲಿವು
234,Gelächter::N,latter,ನಗೆ
235,Glück::N,lykke,ಆನಂದ
236,Kummer::N,sorg,ದುಃಖ
237,Wunsch::N,ønske,ಬಯಕೆ
238,Lust::N,lyst,ಇಷ್ಟ
239,Geist::N,ånd,ಆತ್ಮ
240,Gedanke::N,tanke,ಯೋಚನೆ
241,Gedächtnis::N,minne,ಸ್ಮರಣೆ
242,Gedächtnis::N,hukommelse,ಸ್ಮರಣೆ
243,Verstand::N,forstand,ಮನಸ್ಸು
244,Sinn::N,mening,ಅರ್ಥ
245,Sinn::N,betydning,ಅರ್ಥ
246,Grund::N,grunn,ಕಾರಣ
247,Wahrheit::N,sannhet,ಸತ್ಯ
248,Gespräch::N,samtale,ಸಂಭಾಷಣೆ
249,Märchen::N,eventyr,ಸುಳ್ಳು ಕಥೆ
250,Erzählung::N,fortelling,ಕಥೆ
251,Nachricht::N,melding,ಸಂದೇಶ
252,Neuigkeit::N,nyhet,ಸುದ್ದಿ
253,Name::N,navn,ಹೆಸರು
254,Rätsel::N,gåte,ಒಗಟು
255,Rede::N,tale,ಮಾತು
256,Sprache::N,språk,ಭಾಷೆ
257,Stimme::N,stemme,ಧ್ವನಿ
258,Wort::N,ord,ಮಾತು
259,Zeichen::N,tegn,ಗುರುತು
260,Ruf::N,rop,ಕೂಗು
261,Lärm::N,bråk,ಸದ್ದು
262,Laut::N,lyd,ಶಬ್ದ
263,Ton::N,tone,ನಾದ
264,Lied::N,vise,ಗಾನ
265,Ruhe::N,ro,ಶಾಂತಿ
266,Leute::N,folk,ಮಂದಿ
267,Volk::N,folk,ಜನಾಂಗ
268,Arbeit::N,arbeid,ಕೆಲಸ
269,Gast::N,gjest,ಅತಿಥಿ
270,Geschenk::N,gave,ಕಾಣಿಕೆ
271,Spiel::N,lek,ಆಟ
272,Spiel::N,spill,ಆಟ
273,Gesellschaft::N,selskap,ಸಂಗ
274,Hilfe::N,hjelp,ಸಹಾಯ
275,Freund::N,venn,ಸ್ನೇಹಿತ
276,Kamerad::N,kamerat,ಜೊತೆಗಾರ
277,Angelegenheit::N,sak,ವಿಚಾರ
278,Angelegenheit::N,anliggende,ವಿಚಾರ
279,Anzahl::N,antall,ಎಣಿಕೆ
280,Art::N,art,ತರ
281,Art::N,slag,ತರ
282,Stück::N,stykke,ತುಂಡು
283,Teil::N,del,ಭಾಗ
284,Hälfte::N,halvdel,ಅರ್ಧ
285,Kreis::N,ring,ವೃತ್ತ
286,Kreis::N,sirkel,ವೃತ್ತ
287,Kreuz::N,kors,ಶಿಲುಬೆ
288,Kreuz::N,kryss,ಶಿಲುಬೆ
289,Linie::N,linje,ರೀಖೆ
290,Strich::N,strek,ಗೀಟು
291,Abstand::N,avstand,ಅಂತರ
292,Entfernung::N,avstand,ದೂರ
293,Gegend::N,strøk,ವಿಸ್ತೀರ್ಣ
294,Platz::N,plass,ಅಂತರ
295,Ort::N,sted,ಸ್ಥಳ
296,Seite::N,side,ಪಕ್ಷ
297,Mitte::N,midte,ನಡು
298,Gegenstand::N,gjenstand,ವಸ್ತು
299,Sache::N,sak,ವಸ್ತು
300,Rand::N,rand,ಅಂಚು
301,Kante::N,kant,ಅಂಚು
302,Ecke::N,hjørne,ಮೂಲೆ
303,Spitze::N,spiss,ತುದಿ
304,Ende::N,ende,ಕೊನೆ
305,Loch::N,hull,ತೂತು
306,Winkel::N,vinkel,ಕೋನ
307,Muster::N,mønster,ನಮೂನೆ
308,Größe::N,størrelse,ಪ್ರಮಾಣ
309,Länge::N,lengde,ಉದ್ದ
310,Höhe::N,høyde,ಎತ್ತರ
311,Gewicht::N,vekt,ತೂಕ
312,Menge::N,mengde,ಮೊತ್ತ
313,Haufen::N,haug,ರಾಶಿ
314,Haufen::N,bunke,ರಾಶಿ
315,Reihe::N,rekke,ಸಾಲು
316,Boot::N,båt,ದೋಣಿ
317,Ruder::N,åre,ಹುಟ್ಟು
318,Schlitten::N,slede,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
319,Schlitten::N,kjelke,ಚಕ್ರವಿಲ್ಲದ ಜಾರುಬಮ್ಡಿ
320,Ski::N,ski,ಜಾರುಪಟ್ಟಿ
321,Lagerfeuer::N,leirbål,ಶಿಬಿರಾಗ್ನಿ
322,Last::N,bør,ಹೊರೆ
323,Last::N,last,ಹೊರೆ
324,Gang::N,gang,ತಿರುಗಾಟ
325,Schritt::N,steg,ಹೆಜ್ಜೆ
326,Schritt::N,skritt,ಹೆಜ್ಜೆ
327,Norden::N,nord,ಉತ್ತರ
328,Süden::N,sør,ದಕ್ಷಿಣ
329,Westen::N,vest,ಪಶ್ಚಿಮ
330,Osten::N,øst,ಮೂಡಲು
331,Holz::N,tre,ಚೌಬೀನೆ
332,Brett::N,fjøl,ಹಲಗೆ
333,Brett::N,brett,ಹಲಗೆ
334,Platte::N,plate,ಹಲಗೆ
335,Stütze::N,støtte,ಆಸರೆ
336,Stange::N,stang,ಕಂಬ
337,Stock::N,pinne,ಕೋಲು
338,Stab::N,stav,ದೊಣ್ಣೆ
339,Stab::N,kjepp,ದೊಣ್ಣೆ
340,Rohr::N,rør,ನಳಿಕೆ
341,Haus::N,hus,ಮನೆ
342,Heim::N,hjem,ಗೃಹ
343,Ofen::N,ovn,ಒಲೆ
344,Fußboden::N,gulv,ನೆಲ
345,Tisch::N,bord,ಮೇಜು
346,Stuhl::N,stol,ಕುರ್ಚಿ
347,Wiege::N,vogge,ತೊಟ್ಟಿಲು
348,Bett::N,seng,ಹಾಸಿಗೆ
349,Regal::N,reol,ಬೀರು
350,Regal::N,hylle,ಬೀರು
351,Kiste::N,kasse,ಪಟ್ಟಿಗೆ
352,Fenster::N,vindu,ಕಿಟಕಿ
353,Tür::N,dør,ಬಾಗಿಲು
354,Tor::N,port,ಹೆಬ್ಬಾಗಿಲು
355,Zaun::N,gjerde,ಬೇಲಿ
356,Dach::N,tak,ಮಾಳಿಗೆ
357,Leiter::N,stige,ಏಣಿ
358,Besen::N,kost,ಪೊರಕೆ
359,Spaten::N,spade,ಗುದ್ದಲಿ
360,Schaufel::N,skuffe,ಸನಿಕೆ
361,Gabel::N,gaffel,ಕವಲು
362,Löffel::N,skje,ಚಮಚ
363,Messer::N,kniv,ಚಾಕು
364,Nagel::N,spiker,ಆಣಿ
365,Netz::N,nett,ಬಲೆ
366,Haken::N,krok,ಕೊಂಡಿ
367,Griff::N,tak,ಹಿಡಿ
368,Griff::N,håndtak,ಹಿಡಿ
369,Schloss::N,lås,ವೀಗ
370,Bild::N,bilde,ಚಿತ್ರ
371,Figur::N,figur,ಆಕಾರ
372,Puppe::N,dukke,ಗೊಂಬೆ
373,Beutel::N,pose,ಸಂಚಿ
374,Bündel::N,bylt,ಕಟ್ಟು
375,Tasche::N,veske,ಚೀಲ
376,Eimer::N,bøtte,ಬಾನೆ
377,Deckel::N,lokk,ಮುಚ್ಚಳ
378,Geschirr::N,kjøkkentøy,ಭಕ್ಷ್ಯಗಳು
379,Sack::N,sekk,ಮೂಟೆ
380,Tasse::N,kopp,ಬಟ್ಟಲು
381,Topf::N,gryte,ಮಡಕೆ
382,Kessel::N,kjele,ಕೆಟಲ್
383,Essen::N,mål,ಊಟ
384,Nahrung::N,mat,ಆಹಾರ
385,Nahrung::N,næring,ಆಹಾರ
386,Speise::N,matrett,ಊಟ
387,Fleisch::N,kjøtt,ಮಾಂಸ
388,Getreide::N,korn,ಧಾನ್ಯ
389,Brei::N,grøt,ಗಂಜಿ
390,Brot::N,brød,ರೊಟ್ಟಿ
391,Scheibe::N,skive,ಹೋಳು
392,Fett::N,fett,ಕೊಬ್ಬು
393,Butter::N,smør,ಬೆಣ್ಣೆ
394,Öl::N,olje,ಎಣ್ಣೆ
395,Salz::N,salt,ಉಪ್ಪು
396,Suppe::N,suppe,ಎಸರು
397,Honig::N,honning,ಮಧು
398,Milch::N,melk,ಹಾಲು
399,Tee::N,te,ಚಹ
400,Leder::N,lær,ಚಕ್ಕಳ
401,Leder::N,skinn,ಚಕ್ಕಳ
402,Wolle::N,ull,ಉಣ್ಣೆ
403,Stoff::N,tøy,ಬಟ್ಟೆ
404,Stoff::N,stoff,ಬಟ್ಟೆ
405,Nadel::N,nål,ಸೂಜಿ
406,Faden::N,tråd,ದಾರ
407,Knopf::N,knapp,ಗುಂಡು
408,Knoten::N,knute,ಗಂಟು
409,Farbe::N,farge,ಬಣ್ಣ
410,Kleidung::N,påkledning,ಅರಿವೆ
411,Hemd::N,skjorte,ಅಂಗಿ
412,Kragen::N,krage,ಕುತ್ತಿಗೆಪಟ್ಟಿ
413,Ärmel::N,erme,ತೋಳು
414,Hose::N,bukse,ಇಜಾರ
415,Gürtel::N,belte,ಬೆಲ್ಟು
416,Mütze::N,lue,ಟೋಪಿ
417,Schuh::N,sko,ಪಾದರಕ್ಷೆ
418,Stiefel::N,støvel,ಬೂಟು
419,Ring::N,ring,ಉಂಗುರ
420,Band::N,band,ರಿಬ್ಬನ್
421,Kamm::N,kam,ಹಣಿಗೆ
422,Spiegel::N,speil,ಕನ್ನಡಿ
423,Riemen::N,rem,ಬಾರು
424,Schnur::N,snor,ಹುರಿ
425,Leine::N,line,ಹಗ್ಗ
426,Decke::N,teppe,ಕಂಬಳಿ
427,Kissen::N,pute,ದಿಂಬು
428,Tuch::N,tøy,ಕೊರಳ ಬಟ್ಟೆ
429,Handtuch::N,håndkle,ಚೌಕ
430,Kraft::N,kraft,ಬಲ
431,Stärke::N,styrke,ಶಕ್ತಿ
432,Gesundheit::N,helse,ಆರೋಗ್ಯ
433,Gesundheit::N,sunnhet,ಆರೋಗ್ಯ
434,Krankheit::N,syke,ರೋಗ
435,Krankheit::N,sykdom,ರೋಗ
436,Schmerz::N,smerte,ನೋವು
437,Wunde::N,sår,ಗಾಯ
438,Fieber::N,feber,ಜ್ವರ
439,Arznei::N,medisin,ಔಷಧ
440,Arznei::N,legemiddel,ಔಷಧ
441,Brücke::N,bro,ಸೇತುವೆ
442,Brunnen::N,brønn,ಬಾವಿ
443,Weide::N,beite,ಗೋಮಾಳ
444,Pfad::N,sti,ದಾರಿ
445,Weg::N,vei,ಹಾದಿ
446,Straße::N,gate,ರಸ್ತೆ
447,Dorf::N,landsby,ಹಳ್ಳಿ
448,Stadt::N,by,ಪಟ್ಟಣ
449,Brief::N,brev,ಕಾಗದ
450,Buch::N,bok,ಪುಸ್ತಕ
451,Buchstabe::N,bokstav,ಅಕ್ಷರ
452,Zeitung::N,avis,ವಾರ್ತಾಪತ್ರಿಕೆ
453,Leben::N,liv,ಜೀವನ
454,Tod::N,død,ಮರಣ
455,Grab::N,grav,ಗೋರಿ
456,Kirche::N,kirke,ಚರ್ಚು
457,Sünde::N,synd,ಪಾಪ
458,Gott::N,gud,ದೇವರು
459,Arbeiter::N,arbeider,ಕೆಲಸಗಾರ
460,Chef::N,sjef,ದಣಿ
461,Meister::N,mester,ಶಿಕ್ಷಕ
462,Arzt::N,lege,ವೈದ್ಯ
463,Lehrer::N,lærer,ಉಪಾಧ್ಯಾಯ
464,Geld::N,penger,ಹಣ
465,Geschäft::N,forretning,ವಾಣಿಜ್ಯ
466,Laden::N,butikk,ಅಂಗಡಿ
467,Preis::N,pris,ಬೆಲೆ
468,Ware::N,vare,ಸರಕು
469,Nutzen::N,nytte,ಲಾಭ
470,Reichtum::N,rikdom,ಸಂಪತ್ತು
471,Welt::N,verden,ಭೂಲೋಕ
472,Land::N,land,ದೇಶ
473,Staat::N,stat,ರಾಜ್ಯ
474,König::N,konge,ರಾಜ
475,Macht::N,makt,ಅಧಿಕಾರ
476,Grenze::N,grense,ಗಡಿ
477,Krieg::N,krig,ಯುದ್ಧ
478,Feind::N,fiende,ಶತ್ರು
479,Gewalt::N,vold,ಹಿಂಸೆ
480,Kampf::N,kamp,ಹೋರಾಟ
481,Bogen[Waffe]::N,bue,ಬಿಲ್ಲು
482,Pfeil::N,pil,ಅಂಬು
483,Gewehr::N,gevær,ಬಂದೂಕು
484,Fehler::N,feil,ತಪ್ಪು
485,Lüge::N,løgn,ಸುಳ್ಳು
486,Schaden::N,skade,ಹಾನಿ
487,Unglück::N,uhell,ಅಪಾಯ
488,Schuld::N,skyld,ದೋಷ
489,Alter::N,alder,ಮುಪ್ಪು
490,Schluss::N,slutt,ಮುಕ್ತಾಯ
491,Zeit::N,tid,ಕಾಲ
492,Tag::N,dag,ದಿನ
493,Morgen::N,morgen,ಮುಂಜಾನೆ
494,Mittag::N,middag,ನಡುಹಗಲು
495,Abend::N,aften,ಸಂಜೆ
496,Nacht::N,natt,ರಾತ್ರಿ
497,Woche::N,uke,ವಾರ
498,Monat::N,måned,ತಿಂಗಳು
499,Jahr::N,år,ಸಂವತ್ಸರ
500,Frühling::N,vår,ವಸಂತ
501,Sommer::N,sommer,ಬಿಸಿಲುಕಾಲ
502,Herbst::N,høst,ಶರತ್ಕಾಲ
503,Winter::N,vinter,ಚಳಿಗಾಲ
504,Januar::N,januar,ನಾಲ್ಚಳಿ
505,Februar::N,februar,ಅಯ್ಚಳಿ
506,März::N,mars,ಮೊಬ್ಬೇಸಿಗೆ
507,April::N,april,ಇಬ್ಬೇಸಿಗೆ
508,Mai::N,mai,ಮುಬ್ಬೇಸಿಗೆ
509,Juni::N,juni,ಮೊಮ್ಮಳೆ
510,Juli::N,juli,ಇಮ್ಮಳೆ
511,August::N,august,ಮುಮ್ಮಳೆ
512,September::N,september,ನಾಲ್ಮಳೆ
513,Oktober::N,oktober,ಮೊಚ್ಚಳಿ
514,November::N,november,ಇಚ್ಚಳಿ
515,Dezember::N,desember,ಮುಚ್ಚಳಿ
516,Montag::N,mandag,ಸೋಮುವಾರ
517,Dienstag::N,tirsdag,ಮಂಗಳವಾರ
518,Mittwoch::N,onsdag,ಬುಧವಾರ
519,Donnerstag::N,torsdag,ಗುರುವಾರ
520,Freitag::N,fredag,ಶುಕ್ರವಾರ
521,Samstag::N,lørdag,ಶನಿವಾರ
522,Sonntag::N,søndag,ಭಾನುವಾರ
523,groß::A,stor,ದೊಡ್ಡ
524,klein::A,liten,ಪುಟ್ಟ
525,lang::A,lang,ದೀರ್ಘ
526,kurz::A,kort,ಚಕ್ಕ
527,breit::A,bred,ಅಗಲವಾದ
528,schmal::A,smal,ಇಕ್ಕಟ್ಟಾದ
529,dicht::A,tett,ದಟ್ಟ
530,dick[Gegenstand]::A,tykk,ದಟ್ಟ
531,dünn::A,tynn,ತೆಳು
532,fein::A,fin,ಕೋಮಲ
533,fest::A,fast,ಘನ
534,flach::A,flat,ಚಪ್ಪಟೆ
535,glatt::A,glatt,ನಯ
536,hart::A,hard,ಗಟ್ಟಿ
537,weich::A,myk,ಮೃದುವಾದ
538,weich::A,bløt,ಮೃದುವಾದ
539,rund::A,rund,ವರ್ತುಳ
540,spitz::A,spiss,ಮೊನಚಾದ
541,scharf::A,kvass,ತೀಕ್ಷ್ಣ
542,stumpf::A,stubb,ಮೊಂಡು
543,schwer::A,tung,ಭಾರಿ
544,schön::A,pen,ಸುಂದರ
545,schön::A,vakker,ಸುಂದರ
546,heiß::A,het,ಬಿಸಿ
547,warm::A,varm,ಬಿಸಿ
548,kalt::A,kald,ತಣ್ಣನೆಯ
549,kühl::A,kjølig,ತಂಪಾದ
550,frisch::A,fersk,ನಿರ್ಮಲ
551,feucht::A,fuktig,ಒದ್ದೆಯಾದ
552,nass::A,våt,ಒದ್ದೆಯಾದ
553,trocken::A,tørr,ಶುಷ್ಕ
554,voll::A,full,ತುಂಬಿದ
555,leer::A,tom,ಖಾಲಿ
556,offen::A,åpen,ಮುಚ್ಚಲ್ಲದ
557,geschlossen::A,lukket,ಮುಚ್ಚಿದ
558,sauber::A,ren,ಶುದ್ಧ
559,schmutzig::A,skitten,ಅಶುದ್ಧ
560,roh::A,rå,ಹಸಿ
561,reif::A,moden,ಹಣ್ಣಾದ
562,lecker::A,lekker,ಗುಚಿಕರ
563,süß::A,søt,ಸಿಹಿ
564,bitter::A,besk,ಕಹಿ
565,bitter::A,bitter,ಕಹಿ
566,sauer::A,sur,ಹುಳಿಯಾದ
567,hell::A,lys,ಹೊಳೆಯುವ
568,dunkel::A,mørk,ಮಬ್ಬಾದ
569,schwarz::A,svart,ಕಪ್ಪು
570,weiß::A,hvit,ಬಿಳಿಯ
571,rot::A,rød,ಕೆಂಪು
572,gelb::A,gul,ಹಳದಯ
573,blau::A,blå,ನೀಲ
574,grün::A,grønn,ಕಾಯಾದ
575,grau::A,grå,ಬೂದುಬಣ್ಣದ
576,bunt::A,broket,ವರ್ಣರಂಜಿತ
577,billig::A,billig,ಅಗ್ಗ
578,teuer::A,dyr,ದುಬಾರಿಯಾದ
