,Concept_ID,lt,mrj
123,Festland::N,sausuma,мӱлӓндӹ
124,Meer::N,jūra,тангыж
125,Bucht::N,įlanka,вӹдъял
126,Bucht::N,užutekis,вӹдъял
127,Insel::N,sala,острок
128,Blume::N,gėlė,пеледӹш
129,Gras::N,žolė,шуды
130,Wurzel::N,šaknis,важ
131,Baum::N,medis,пушӓнгӹ
132,Stamm::N,kamienas,пушӓнгӹ тӹнг
133,Rinde::N,žievė,каргыж
134,Ast::N,šaka,укш
135,Zweig::N,šakelė,укш
136,Blatt::N,lapas,листӹ
137,Birke::N,beržas,куги
138,Kiefer[Baum]::N,pušis,йӓктӹ
139,Weide[Baum]::N,karklas,уа
140,Tanne::N,eglė,кож
141,Tanne::N,kėnis,кож
142,Horn::N,ragas,шур
143,Feder::N,plunksna,пын
144,Fell::N,kailis,кавашты
145,Flügel::N,sparnas,шылдыр
146,Klaue::N,kanopa,кӹч
147,Kralle::N,nagas,лапа
148,Schwanz::N,uodega,пач
149,Ei::N,kiaušinis,мыны
150,Nest::N,gūžta,пӹжӓш
151,Nest::N,lizdas,пӹжӓш
152,Bau::N,ola,ыраж
153,Tier::N,gyvūnas,во́льык
154,Herde::N,banda,кӹтö
155,Herde::N,kaimenė,кӹтö
156,Kuh::N,karvė,ышкал
157,Bulle::N,bulius,ӱшкӱж
158,Pferd::N,arklys,имни
159,Schaf::N,avis,шарык
160,Schwein::N,kiaulė,сасна
161,Hund::N,šuo,пи
162,Katze::N,katė,коти
163,Bär::N,lokys,мöскӓ
164,Eichhörnchen::N,voveraitė,ур
165,Elch::N,briedis,шарды
166,Fuchs::N,lapė,рӹвӹж
167,Hase::N,kiškas,морен
168,Maus::N,pelė,каля
169,Wolf::N,vilkas,пирӹ
170,Vogel::N,paukštis,кек
171,Schwarm::N,spiečius,цуца
172,Huhn::N,višta,цӹвӹ
173,Hahn::N,gaidys,ӓптӓн
174,Gans::N,žąsis,комбы
175,Adler::N,erelis,кучкыж
176,Ente::N,antis,лыды
177,Eule::N,pelėda,тымана
178,Kranich::N,gervė,тырня
179,Kranich::N,gervė,тыртня
180,Krähe::N,varna,лудыгарак
181,Kuckuck::N,gegužė,куку
182,Schwan::N,gulbė,йӱксӹ
183,Fisch::N,žuvis,кол
184,Barsch::N,ešerys,алангы
185,Hecht::N,lydeka,нуж
186,Hecht::N,lydeka,нужгол
187,Schlange[Tier]::N,gyvatė,кӹшкы
188,Wurm::N,kirmėlė,шукш
189,Spinne::N,voras,ӓнгӹремшӹ
190,Ameise::N,skruzdė,кыткы
191,Laus::N,utėlė,ти
192,Mücke::N,uodas,кужнер
193,Mücke::N,uodas,кужынер
194,Fliege::N,musė,шӹнгӓ
195,Schmetterling::N,drugys,лӹпӹ
196,Schmetterling::N,peteliškė,лӹпӹ
197,Beere::N,uoga,мöр
198,Apfel::N,obuolys,олма
199,Pilz::N,grybas,понгы
200,Zwiebel::N,svogūnas,охыра
201,Saat::N,sėkla,нӱшмӹ
202,Saat::N,sėkla,нӱшмӱ
203,Korn::N,grūdai,пӹрцӹ
204,Heu::N,šienas,шуды
205,Schale::N,žievelė,аваха
206,Schale::N,žievelė,карлангы
207,Grube::N,duobė,йӓм
208,Falle::N,pinklės,лӱдӹ
209,Falle::N,pinklės,лӱдӹш
210,Falle::N,žabangai,лӱдӹ
211,Falle::N,žabangai,лӱдӹш
212,Schlinge::N,kilpa,онгы
213,Spur::N,vėžė,кишӓ
214,Spur::N,pėdos,кишӓ
215,Spur::N,pėdsakas,кишӓ
216,Asche::N,pelenai,ломых
217,Asche::N,pelenai,ломпыж
218,Dreck::N,purvas,лявӹрӓ
219,Eisen::N,geležis,кӹртни
220,Gold::N,auksas,шöртни
221,Gold::N,auksas,шöртньӹ
222,Silber::N,sidabras,ши
223,Kohle::N,anglis,шӱ
224,Glas::N,stiklas,охоница
225,Lehm::N,molis,шун
226,Sand::N,smėlis,ошма
227,Mensch::N,žmogus,эдем
228,Mann::N,vyras,пӱэргӹ
229,Mann::N,vyriškis,пӱэргӹ
230,Frau::N,moteris,ӹдӹрӓмӓш
231,Kind::N,vaikas,ӓзӓ
232,Kind::N,vaikas,шачшы
233,Junge::N,vaikinas,рвезӹ
234,Junge::N,vaikinas,ӹрвезӹ
235,Junge::N,berniukas,рвезӹ
236,Junge::N,berniukas,ӹрвезӹ
237,Mädchen::N,mergytė,ӹдӹрӓш
238,Mädchen::N,mergaitė,ӹдӹрӓш
239,Familie::N,šeima,йиш
240,Familie::N,šeima,семня
241,Großvater::N,senelis,тьоти
242,Großmutter::N,senelė,папа
243,Eltern::N,tėvai,ӓтя-ӓвӓ
244,Vater::N,tėvas,ӓтя
245,Mutter::N,motina,ӓвӓ
246,Sohn::N,sūnus,эргӹ
247,Tochter::N,duktė,ӹдӹр
248,Bruder::N,brolis,ӹза
249,Schwester::N,sesuo,ӓкӓ
250,Onkel::N,dėdė,кугуза
251,Tante::N,teta,куака
252,Ehemann::N,vyras,мары
253,Ehefrau::N,žmona,вӓтӹ
254,Freude::N,džiaugsmas,ӹвӹртӹмӓш
255,Gelächter::N,juokas,ваштылмаш
256,Glück::N,laimė,пиӓл
257,Kummer::N,vargas,ясы
258,Kummer::N,rūpestis,ясы
259,Wunsch::N,troškimas,охата
260,Wunsch::N,troškimas,шанымаш
261,Wunsch::N,pageidavimas,охата
262,Wunsch::N,pageidavimas,шанымаш
263,Lust::N,noras,шӓр
264,Lust::N,noras,охата
265,Lust::N,noras,шанымаш
266,Lust::N,geidulys,шӓр
267,Lust::N,geidulys,охата
268,Lust::N,geidulys,шанымаш
269,Geist::N,dvasia,тух
270,Gedanke::N,mintis,шанымаш
271,Gedächtnis::N,atmintis,ӓш
272,Verstand::N,protas,ыш
273,Sinn::N,prasmė,кын
274,Grund::N,priežastis,вир
275,Wahrheit::N,tiesa,тöр
276,Wahrheit::N,teisybė,тöр
277,Gespräch::N,pokalbis,хытырымаш
278,Märchen::N,pasaka,ямак
279,Erzählung::N,apsakymas,шайыштмаш
280,Erzählung::N,pasakojimas,шайыштмаш
281,Nachricht::N,žinia,увертӓрӹмӓш
282,Neuigkeit::N,naujiena,увер
283,Name::N,vardas,лӹм
284,Rätsel::N,mįslė,тышты
285,Rede::N,kalba,шая
286,Rede::N,kalba,шамак
287,Sprache::N,kalba,йӹлмӹ
288,Stimme::N,balsas,юк
289,Wort::N,žodis,шамак
290,Zeichen::N,žymė,палӹ
291,Zeichen::N,ženklas,палӹ
292,Ruf::N,šauksmas,сӹгӹрӹмӓш
293,Lärm::N,triukšmas,юкланымащ
294,Laut::N,garsas,юк
295,Ton::N,tonas,юк
296,Ton::N,garsas,юк
297,Lied::N,daina,мыры
298,Lied::N,giesmė,мыры
299,Ruhe::N,ramybė,тыр
300,Ruhe::N,ramumas,тыр
301,Leute::N,žmonės,эдемвлӓ
302,Volk::N,tauta,халык
303,Arbeit::N,darbas,пӓшӓ
304,Arbeit::N,triūsas,пӓшӓ
305,Gast::N,svečias,хына
306,Geschenk::N,dovana,подарка
307,Spiel::N,žaismas,мадыш
308,Spiel::N,žaidimas,мадыш
309,Gesellschaft::N,draugija,йӓл
310,Gesellschaft::N,draugija,йӓлвлӓ
311,Gesellschaft::N,kompanija,йӓл
312,Gesellschaft::N,kompanija,йӓлвлӓ
313,Hilfe::N,pagalba,палшык
314,Freund::N,draugas,тӓнг
315,Freund::N,bičiulis,тӓнг
316,Kamerad::N,draugas,тос
317,Angelegenheit::N,dalykas,дела
318,Angelegenheit::N,dalykas,йела
319,Angelegenheit::N,dalykas,йыла
320,Angelegenheit::N,dalykas,пӓшӓ
321,Angelegenheit::N,reikalas,дела
322,Angelegenheit::N,reikalas,йела
323,Angelegenheit::N,reikalas,йыла
324,Angelegenheit::N,reikalas,пӓшӓ
325,Anzahl::N,kiekis,шот
326,Anzahl::N,skaičius,шот
327,Art::N,rūšis,цӹре
328,Stück::N,gabalas,лаштык
329,Teil::N,dalis,пай
330,Teil::N,dalis,часть
331,Hälfte::N,pusė,пел
332,Kreis::N,ratas,тӹртӹш
333,Kreis::N,apskritis,тӹртӹш
334,Kreis::N,apskritimas,тӹртӹш
335,Kreuz::N,kryžius,крестӹ
336,Linie::N,linija,
337,Strich::N,brėžis,
338,Strich::N,brūkšnys,
339,Abstand::N,atstumas,ло
340,Entfernung::N,atstumas,ло
341,Gegend::N,vietovė,вӓр
342,Platz::N,vieta,вӓр
343,Ort::N,vieta,вӓр
344,Ort::N,vietovė,вӓр
345,Seite::N,pusė,öрдӹж
346,Seite::N,šonas,öрдӹж
347,Mitte::N,vidurys,ло
348,Gegenstand::N,dalykas,хӓдӹр
349,Sache::N,daiktas,хӓдӹр
350,Rand::N,kraštas,шöр
351,Rand::N,pakraštys,шöр
352,Kante::N,kraštas,шöр
353,Ecke::N,kertė,лык
354,Ecke::N,kampas,лык
355,Spitze::N,priekis,вуй
356,Spitze::N,priešakys,вуй
357,Ende::N,galas,вуй
358,Ende::N,galas,мычаш
359,Loch::N,skylė,ыраж
360,Winkel::N,kampas,лык
361,Winkel::N,kampelis,лык
362,Muster::N,raštas,тӹрлец
363,Größe::N,dydis,кӱкшӹц
364,Größe::N,didumas,кӱкшӹц
365,Länge::N,ilgis,кыт
366,Länge::N,ilgumas,кыт
367,Höhe::N,aukštis,кӱкшӹц
368,Höhe::N,aukštuma,кӱкшӹц
369,Gewicht::N,svoris,нелӹц
370,Gewicht::N,svarstis,нелӹц
371,Menge::N,kiekis,шот
372,Menge::N,daugybė,шот
373,Haufen::N,krūva,ара
374,Haufen::N,šūsnis,ара
375,Reihe::N,greta,ряд
376,Boot::N,valtis,пыш
377,Boot::N,laivelis,пыш
378,Ruder::N,irklas,вешлӓ
379,Schlitten::N,rogės,тир
380,Schlitten::N,rogutės,тир
381,Ski::N,slidė,ечӹ
382,Lagerfeuer::N,laužas,тыл
383,Last::N,našta,нелӹц
384,Last::N,nešulys,нелӹц
385,Gang::N,eisena,ход
386,Schritt::N,žingsnis,ашкыл
387,Norden::N,šiaurė,йыдпелвел
388,Norden::N,žiemiai,йыдпелвел
389,Süden::N,pietūs,кечӹвӓлвел
390,Westen::N,vakarai,кечӹ шӹцмӹ
391,Osten::N,rytai,ирвел
392,Osten::N,rytai,кечӹ лӱлтмӹ
393,Holz::N,mediena,пушӓнгӹ
394,Brett::N,lenta,ханга
395,Platte::N,plokštė,плитӓ
396,Stütze::N,atrama,цӓрӓк
397,Stütze::N,atspara,цӓрӓк
398,Stange::N,lazda,равы
399,Stange::N,lazda,намаш
400,Stange::N,kartis,равы
401,Stange::N,kartis,намаш
402,Stock::N,lazda,панды
403,Stab::N,kartis,равы
404,Rohr::N,vamzdis,пыч
405,Haus::N,namas,пöрт
406,Heim::N,namai,пöрт
407,Ofen::N,krosnis,камака
408,Fußboden::N,grindys,седӹрӓ
409,Tisch::N,stalas,стöл
410,Stuhl::N,kėdė,пöкен
411,Wiege::N,lopšys,шипкӓ
412,Bett::N,lova,койка
413,Bett::N,lova,кравать
414,Bett::N,patalai,койка
415,Bett::N,patalai,кравать
416,Regal::N,lentyna,полицӓ
417,Kiste::N,dėžė,шӱ́ндӹк
418,Fenster::N,langas,окня
419,Tür::N,durys,амаса
420,Tor::N,vartai,хапка
421,Zaun::N,tvora,забор
422,Dach::N,stogas,левӓш
423,Leiter::N,kopėčios,ташкалтыш
424,Besen::N,šluota,сало
425,Besen::N,šluota,салко
426,Spaten::N,lopeta,кольмы
427,Spaten::N,kastuvas,кольмы
428,Schaufel::N,semtuvas,лоток
429,Gabel::N,šakutė,ви́лка
430,Löffel::N,šaukštas,савала
431,Messer::N,peilis,кӹзӹ
432,Nagel::N,vinis,пыда
433,Netz::N,tinklas,вӓпш
434,Haken::N,vagis,крӱк
435,Haken::N,vagis,кагак
436,Haken::N,kablys,крӱк
437,Haken::N,kablys,кагак
438,Griff::N,kotas,кычем
439,Griff::N,rankena,кычем
440,Schloss::N,spyna,замок
441,Schloss::N,spyna,сыравач
442,Schloss::N,užraktas,замок
443,Schloss::N,užraktas,сыравач
444,Bild::N,paveikslas,картин
445,Figur::N,figūra,кӓн
446,Puppe::N,lėlė,поханя
447,Beutel::N,krepšys,мешӓк
448,Beutel::N,maišelis,мешӓк
449,Bündel::N,ryšulys,топ
450,Bündel::N,ryšulys,пидӹш
451,Bündel::N,ryšulys,кӹлдӹш
452,Tasche::N,krepšelis,сумкы
453,Eimer::N,kibiras,ведӹрӓ
454,Deckel::N,dangtis,комдыш
455,Geschirr::N,indai,ӓтӹ
456,Sack::N,maišas,мешӓк
457,Tasse::N,puodukas,цӓшкӓ
458,Topf::N,puodas,ми́ска
459,Kessel::N,katilas,пад
460,Essen::N,valgis,качкыш
461,Essen::N,valgis,качкыш-йӱш
462,Nahrung::N,penas,качкыш
463,Nahrung::N,penas,качкыш-йӱш
464,Nahrung::N,maistas,качкыш
465,Nahrung::N,maistas,качкыш-йӱш
466,Speise::N,patiekalas,няня
467,Fleisch::N,mėsa,пай
468,Getreide::N,javai,киндӹ
469,Brei::N,košė,шӹрӓш
470,Brot::N,duona,сыкыр
471,Scheibe::N,riekė,ламыт
472,Scheibe::N,riekė,лаштык
473,Fett::N,taukai,кая
474,Fett::N,riebalai,кая
475,Butter::N,sviestas,ӱ
476,Öl::N,aliejus,ӱ
477,Salz::N,druska,санзал
478,Suppe::N,sriuba,лем
479,Honig::N,medus,мӱ
480,Milch::N,pienas,шӹшер
481,Tee::N,arbata,чӓй
482,Leder::N,oda,шарга
483,Leder::N,oda,кавашты
484,Wolle::N,vilna,миж
485,Stoff::N,audeklas,матер
486,Stoff::N,audeklas,матери
487,Nadel::N,adata,им
488,Faden::N,gija,шӹртӹ
489,Faden::N,siūlas,шӹртӹ
490,Knopf::N,saga,полдыш
491,Knoten::N,mazgas,пӱкшем
492,Farbe::N,dažai,чиӓ
493,Farbe::N,dažai,крӓскӓ
494,Kleidung::N,rūbai,выргем
495,Kleidung::N,drabužiai,выргем
496,Hemd::N,marškiniai,тыгыр
497,Kragen::N,apykaklė,шӱ
498,Ärmel::N,rankovė,шокш
499,Hose::N,kelnės,ялаш
500,Gürtel::N,juosta,ӹштӹ
501,Gürtel::N,diržas,ӹштӹ
502,Mütze::N,kepurė,упш
503,Schuh::N,batas,ту́фльы
504,Stiefel::N,auliniai batai,кем
505,Ring::N,žiedas,шӓргӓш
506,Band::N,kaspinas,лемтӓ
507,Kamm::N,šukos,шерге
508,Spiegel::N,veidrodis,тӹгӹр
509,Riemen::N,diržas,прӓжӓ
510,Schnur::N,virvė,кӓндӹра
511,Leine::N,pavadėlis,керем
512,Decke::N,antklodė,одеял
513,Kissen::N,pagalvė,кӹпцӹк
514,Kissen::N,priegalvis,кӹпцӹк
515,Tuch::N,skarelė,савыц
516,Handtuch::N,rankšluostis,шӹргӹсавыц
517,Handtuch::N,rankšluostis,шӹргӹмсавыц
518,Kraft::N,jėga,ви
519,Stärke::N,stiprumas,ви
520,Gesundheit::N,sveikata,шу
521,Gesundheit::N,sveikata,шулык
522,Krankheit::N,liga,мыж
523,Schmerz::N,skausmas,карштыш
524,Wunde::N,žaizda,шушыр
525,Fieber::N,karštis,ӱштӹмыж
526,Arznei::N,vaistas,лекӓрцӹ
527,Brücke::N,tiltas,кӹвер
528,Brunnen::N,šulinys,вӹдсӹнзӓ
529,Weide::N,ganykla,ныр
530,Weide::N,gluosnis,ныр
531,Pfad::N,takas,ялгорны
532,Weg::N,kelias,корны
533,Straße::N,gatvė,корны
534,Dorf::N,kaimas,сола
535,Dorf::N,sodžius,сола
536,Stadt::N,miestas,города
537,Brief::N,laiškas,сирмӓш
538,Buch::N,knyga,книгӓ
539,Buchstabe::N,raidė,буква́
540,Zeitung::N,laikraštis,газет
541,Zeitung::N,laikraštis,кайзет
542,Leben::N,gyvybė,житя
543,Leben::N,gyvenimas,житя
544,Tod::N,mirtis,смöрт
545,Grab::N,kapas,шӹгер
546,Grab::N,kapas,мыгилӓ
547,Grab::N,kapas,шӹгерлӓ
548,Kirche::N,bažnyčia,церкӹ
549,Sünde::N,nuodėmė,сулык
550,Sünde::N,nusidėjimas,сулык
551,Gott::N,dievas,йымы
552,Arbeiter::N,darbininkas,пӓшӓзӹ
553,Chef::N,šefas,вуй
554,Chef::N,vadovas,вуй
555,Chef::N,viršininkas,вуй
556,Meister::N,meistras,мастар
557,Arzt::N,gydytojas,доктор
558,Lehrer::N,mokytojas,тымдышы
559,Geld::N,pinigai,окса
560,Geschäft::N,biznis,торге́йӹмӓш
561,Laden::N,krautuvė,лапка
562,Laden::N,krautuvė,магазин
563,Laden::N,parduotuvė,лапка
564,Laden::N,parduotuvė,магазин
565,Preis::N,kaina,ӓк
566,Ware::N,prekė,товар
567,Nutzen::N,nauda,пайда
568,Nutzen::N,pelnas,пайда
569,Reichtum::N,turtas,перке
570,Welt::N,pasaulis,сӓндӓлӹк
571,Welt::N,pasaulis,свет
572,Land::N,žemė,сӓндӓлӹк
573,Land::N,šalis,сӓндӓлӹк
574,Staat::N,valstija,кугижӓншӹ
575,König::N,karalius,король
576,Macht::N,galia,власть
577,Macht::N,valdžia,власть
578,Grenze::N,riba,пӹсмӓн
579,Grenze::N,siena,пӹсмӓн
580,Krieg::N,karas,вырсы
581,Feind::N,priešas,тышман
582,Gewalt::N,jėga,ви
583,Gewalt::N,smurtas,ви
584,Gewalt::N,prievarta,ви
585,Kampf::N,kova,кредӓлмӓш
586,Bogen[Waffe]::N,lankas,янгеж
587,Pfeil::N,strėlė,пикш
588,Gewehr::N,šautuvas,пичӓл
589,Fehler::N,klaida,самынь
590,Lüge::N,melas,шая
591,Schaden::N,nuostolis,вре́дӓ
592,Schaden::N,apgadinimas,вре́дӓ
593,Unglück::N,nelaimė,пёда
594,Unglück::N,nelaimė,тымаша
595,Schuld::N,kaltė,вуйнамат
596,Alter::N,amžius,иӓш
597,Alter::N,amžius,игечӹ
598,Schluss::N,pabaiga,пӹтӓртӹш
599,Zeit::N,laikas,веремӓ
600,Tag::N,diena,кечӹ
601,Morgen::N,rytas,ир
602,Morgen::N,rytas,ирок
603,Mittag::N,vidurdienis,кечӹвӓл
604,Abend::N,vakaras,вады
605,Nacht::N,naktis,йыд
606,Woche::N,savaitė,ӓрня
607,Monat::N,mėnuo,тӹ́лзӹ
608,Jahr::N,metai,год
609,Frühling::N,pavasaris,шошым
610,Sommer::N,vasara,кӓнгӹж
611,Herbst::N,ruduo,шӹжӹ
612,Winter::N,žiema,тел
613,Winter::N,žiema,телӹ
614,Januar::N,sausis,январ
615,Januar::N,sausis,январь
616,Februar::N,vasaris,февраль
617,März::N,kovas,март
618,April::N,balandis,апрель
619,Mai::N,gegužė,май
620,Juni::N,birželis,июнь
621,Juli::N,liepa,июль
622,August::N,rugpjūtis,август
623,September::N,rugsėjis,сентябрь
624,Oktober::N,spalis,октябрь
625,November::N,lapkritis,ноябрь
626,Dezember::N,gruodis,декавыр
627,Montag::N,pirmadienis,шачмы
628,Dienstag::N,antradienis,кышкыжмы
629,Mittwoch::N,trečiadienis,вӹрчегӹ
630,Donnerstag::N,ketvirtadienis,изӓрня
631,Freitag::N,penktadienis,когарня
632,Samstag::N,šeštadienis,кукшыгечӹ
633,Sonntag::N,sekmadienis,рушӓрня
634,groß::A,didis,кого
635,groß::A,didelis,кого
636,klein::A,mažas,изи
637,lang::A,ilgas,кужы
638,kurz::A,trumpas,кӹтӹк
639,breit::A,platus,кымда
640,schmal::A,smulkus,ӓнгӹсӹр
641,dicht::A,tankus,шӹре
642,dick[Gegenstand]::A,storas,кӹжгӹ
643,dünn::A,plonas,вӹцкӹж
644,fein::A,smulkus,пыльга
645,fest::A,kietas,цаткыды
646,fest::A,tvirtas,цаткыды
647,flach::A,lėkštas,тӓлякӓ
648,flach::A,plokščias,тӓлякӓ
649,glatt::A,slidus,ягылгы
650,hart::A,kietas,пингӹдӹ
651,weich::A,minkštas,пышкыды
652,rund::A,apvalus,тӹртӹш
653,rund::A,apskritas,тӹртӹш
654,spitz::A,aštrus,кашар
655,spitz::A,smailus,кашар
656,scharf::A,aštrus,кашар
657,stumpf::A,bukas,нӹшкӹ
658,stumpf::A,atšipęs,нӹшкӹ
659,schwer::A,sunkus,нелӹ
660,schön::A,gražus,цевер
661,schön::A,gražus,олмыдшы
662,heiß::A,karštas,шокшы
663,warm::A,šiltas,шокшы
664,kalt::A,šaltas,ӱштӹ
665,kühl::A,vėsus,юалгы
666,kühl::A,vėsus,йонгата
667,kühl::A,bejausmis,юалгы
668,kühl::A,bejausmis,йонгата
669,frisch::A,šviežias,йонгата
670,feucht::A,drėgnas,ӹлӹкшӹ
671,feucht::A,drėgnas,вӹдӹжгӹ
672,nass::A,šlapias,начкы
673,trocken::A,sausas,кукшы
674,voll::A,pilnas,темшӹ
675,voll::A,pilnas,темыман
676,leer::A,tuščias,йӓрӓ
677,offen::A,atviras,виш
678,geschlossen::A,uždaras,чӱчмӹ
679,geschlossen::A,uždaras,тӹкӹлӓлтшӹ
680,geschlossen::A,uždarytas,чӱчмӹ
681,geschlossen::A,uždarytas,тӹкӹлӓлтшӹ
682,sauber::A,švarus,ире
683,schmutzig::A,nešvarus,шоран
684,schmutzig::A,nešvarus,лявӹрӓн
685,schmutzig::A,nešvarus,шорангшы
686,schmutzig::A,purvinas,шоран
687,schmutzig::A,purvinas,лявӹрӓн
688,schmutzig::A,purvinas,шорангшы
689,roh::A,žalias,пеле кӱшӹ
690,reif::A,prinokęs,кӱшӹ
691,reif::A,pribrendęs,кӱшӹ
692,lecker::A,gardus,тотан
693,süß::A,saldus,мӱӓн
694,bitter::A,kartus,качы
695,sauer::A,gižus,шапы
696,sauer::A,rūgštus,шапы
697,hell::A,šviesus,соты
698,hell::A,šviesus,валгыды
699,hell::A,skaistus,соты
700,hell::A,skaistus,валгыды
701,dunkel::A,tamsus,пӹц
702,dunkel::A,tamsus,пӹцкемӹш
703,schwarz::A,juodas,шим
704,weiß::A,baltas,ош
705,weiß::A,baltas,ошы
706,rot::A,raudonas,якшаргы
707,gelb::A,geltonas,сар
708,gelb::A,geltonas,сары
709,blau::A,mėlynas,симсӹ
710,grün::A,žalias,ыжар
711,grau::A,pilkas,луды
712,bunt::A,margas,ала
713,bunt::A,spalvotas,ала
714,billig::A,pigus,шулдаш
715,teuer::A,brangus,шергӹ
716,teuer::A,brangus,шергӓкӓн
717,wertvoll::A,vertingas,ӓкӓн
718,blind::A,aklas,слöпöй
719,blind::A,aklas,сльöпöй
720,taub::A,kurčias,тӱтӱк
721,kräftig::A,stiprus,виӓн
722,stark::A,stiprus,виӓн
723,schwach::A,silpnas,шава
724,schwach::A,silpnas,лӹпкӓ
725,schwach::A,silpnas,слабка
726,fett::A,riebus,таза
727,schlank::A,laibas,яштака
728,schlank::A,lieknas,яштака
729,hübsch::A,gražus,сӹлнӹ
730,hübsch::A,gražus,олмыдшы
731,böse::A,blogas,шӹдӓн
732,dumm::A,paikas,окмак
733,dumm::A,kvailas,окмак
734,faul::A,tingus,ялахай
