,Concept_ID,ta,he
54,Schlaf::N,தூக்கம்,שנה
55,Traum::N,கனவு,חלום
56,Himmel::N,வானம்,שמים
57,Sonne::N,சூரியன்,שמש
58,Mond::N,சந்திரன்,ירח
59,Stern::N,நட்சத்திரம்,כוכב
60,Luft::N,காறறு,אויר
61,Wind::N,காற்று,רוח
62,Welle::N,அலை,גל
63,Wasser::N,நீர்,מים
64,Stein::N,கல்,אבן
65,Boden::N,தரை,קרקע
66,Erde::N,மண்,אדמה
67,Staub::N,தூசி,אבק
68,Rauch::N,புகை,עשן
69,Funke::N,தீப்பொறி,ניצוץ
70,Feuer::N,தீ,אש
71,Licht::N,வெளிச்சம்,אור
72,Schatten::N,நிழல்,צל
73,Wetter::N,வானிலை,מזג אויר
74,Nebel::N,பனிமூட்டம்,ערפל
75,Wolke::N,மேகம்,ענן
76,Regen::N,மழை,גשם
77,Schnee::N,உறைபனி,שלג
78,Eis::N,பனிக்கட்டி,קרח
79,Frost::N,உறைபனி,צנה
80,Kälte::N,குளிர்ந்த,קר
81,Hitze::N,சூடு,חם
82,Raureif::N,உறைபனி வெண்திரை,כפור
83,Regenbogen::N,வானவில்,קשת
84,Donner::N,இடி,רעם
85,Strömung::N,நீரோட்டம்,זרימה
86,Tropfen::N,துளி,טפה
87,Schaum::N,நுரை,קצף
88,Schmutz::N,அழுக்கு,לכלוך
89,See::N,ஏரி,אגם
90,Sumpf::N,சதுப்பு நிலம்,בצה
91,Moor::N,முட்புதற்காடு,בצה
92,Wiese::N,பசும் புல்தரை,מרעה
93,Wald::N,காடு,יער
94,Hügel::N,குன்று,תל
95,Anhöhe::N,பதுக்கை,מעלה
96,Berg::N,மலை,הר
97,Gipfel::N,உச்சி மாநாடு,פסגה
98,Höhle::N,குகை,מערה
99,Abhang::N,சரிவு,מדרון
100,Abhang::N,சரிவு,שפוע
101,Quelle::N,மூலம்,מעין
102,Bach::N,ஓடை,נחל
103,Fluss::N,ஆறு,נהר
104,Ufer::N,நீர்க்கரை,גדה
105,Küste::N,கடற்கரை,חוף
106,Festland::N,நிலம்,יבשה
107,Meer::N,கடல்,ים
108,Bucht::N,சிறுகுடா,מפרץ
109,Insel::N,தீவு,אי
110,Blume::N,பூ,פרח
111,Gras::N,புல்தரை,דשא
112,Wurzel::N,வேர்,שרש
113,Baum::N,மரம்,עץ
114,Stamm::N,அடிமரம்,גזע
115,Rinde::N,பட்டை,קלפת עץ
116,Rinde::N,மரப்பட்டை,קלפת עץ
117,Ast::N,கினை,ענף
118,Zweig::N,குச்சி,ענף
119,Blatt::N,இலை,עלה
120,Birke::N,பிர்ச் மரம்,שדר
121,Kiefer[Baum]::N,தேவதாரு மரம்,ארן
122,Weide[Baum]::N,மர வகைகளுள் ஒன்று,ערבה
123,Tanne::N,சாதிக்கய்,אשוח
124,Horn::N,கொம்பு,קרן
125,Feder::N,இறகு,נוצה
126,Fell::N,மென்முடி,פרוה
127,Flügel::N,இறக்கை,כנף
128,Klaue::N,நகம்,טלף
129,Kralle::N,நகம்,טפר
130,Schwanz::N,வால்,זנב
131,Ei::N,முட்டை,ביצה
132,Nest::N,கூடு,קן
133,Bau::N,குகை,מחלה
134,Tier::N,விலங்கு,חיה
135,Herde::N,கூட்டம்,עדר
136,Kuh::N,பசு,פרה
137,Bulle::N,காளை,פר
138,Pferd::N,குதிரை,סוס
139,Schaf::N,செம்மறிஆடு,כבשה
140,Schwein::N,பன்றி,חזיר
141,Hund::N,நாய்,כלב
142,Katze::N,பூனை,חתול
143,Bär::N,கரடி,דב
144,Eichhörnchen::N,அணில்,סנאי
145,Elch::N,கடம்பை,דישון
146,Fuchs::N,நரி,שועל
147,Hase::N,முயல்,ארנב
148,Maus::N,எலி,עכבר
149,Wolf::N,ஓநாய்,זאב
150,Vogel::N,பறவை,צפור
151,Schwarm::N,தொகுதி,נחיל
152,Schwarm::N,தொகுதி,להקה
153,Huhn::N,கோழிக்குஞசு,תרנגלת
154,Hahn::N,சேவல்,תרנגול
155,Gans::N,பெண் வாத்து,אוז
156,Adler::N,பருநது,עיט
157,Ente::N,வாத்து,ברוז
158,Eule::N,ஆந்தை,ינשוף
159,Kranich::N,நாரை,עגור
160,Kranich::N,நாரை,כרוכיה
161,Krähe::N,காகம்,עורב
162,Kuckuck::N,குயில்,קוקיה
163,Schwan::N,அன்னம்,ברבור
164,Fisch::N,மீன்,דג
165,Barsch::N,பேர்ச்,אוקונוס
166,Hecht::N,கோலாச்சி மீன்,זאב הים
167,Schlange[Tier]::N,பாம்பு,נחש
168,Wurm::N,புழு,תולעת
169,Spinne::N,சிலந்தி,עכביש
170,Ameise::N,எறும்பு,נמלה
171,Laus::N,பேன்,כנה
172,Mücke::N,கொசுவினப்பூச்சி,יתוש
173,Fliege::N,ஈ,זבוב
174,Schmetterling::N,வண்ணத்துப்பூச்சி,פרפר
175,Beere::N,சதைப்பழம்,ענבה
176,Apfel::N,ஆப்பிள பழம்,תפוח
177,Pilz::N,காளான்,פטריה
178,Zwiebel::N,வெங்காயம்,בצל
179,Saat::N,விதை,זרעים
180,Korn::N,தானியம்,גרעין
181,Heu::N,வைக்கோல்,חציר
182,Schale::N,தோல்,קלפה
183,Grube::N,குழி,בור
184,Grube::N,குழி,שוחה
185,Falle::N,பொறி,מלכדת
186,Schlinge::N,கண்ணி,לולאה
187,Spur::N,சுவடு,עקבה
188,Asche::N,சாம்பல்,אפר
189,Dreck::N,அழுக்கு,זהמה
190,Eisen::N,இரும்பு,ברזל
191,Gold::N,தங்கம்,זהב
192,Silber::N,வெள்ளி,כסף
193,Kohle::N,நிலக்கரி,פחם
194,Glas::N,கண்ணாடி,זכוכית
195,Lehm::N,களிமண்,חרסית
196,Sand::N,மணல்,חול
197,Mensch::N,மனிதர்கள்,אדם
198,Mann::N,மனிதன்,איש
199,Mann::N,மனிதன்,גבר
200,Frau::N,பெண்,אשה
201,Frau::N,பெண்,גברת
202,Kind::N,குழந்தை,ילד
203,Junge::N,பையன்,ילד
204,Mädchen::N,சிறுமி,נערה
205,Familie::N,குடும்பம்,משפחה
206,Großvater::N,தாத்தா,סבא
207,Großmutter::N,பாட்டி,סבתא
208,Eltern::N,பெற்றோர்,הורים
209,Vater::N,தந்தை,אב
210,Mutter::N,தாய்,אם
211,Sohn::N,மகன்,בן
212,Tochter::N,மகள்,בת
213,Bruder::N,சகோதரன்,אח
214,Schwester::N,அக்கா,אחות
215,Onkel::N,தாய் மாமன்,דוד
216,Tante::N,அத்தை,דודה
217,Ehemann::N,கணவன்,איש
218,Ehemann::N,கணவன்,בעל
219,Ehefrau::N,மனைவி,אשה
220,Freude::N,கொண்டாட்டம்,שמחה
221,Gelächter::N,சிரிப்பு,צחוק
222,Glück::N,மகிழ்ச்சி,אשר
223,Kummer::N,துயரம்,יגון
224,Kummer::N,துயரம்,עגמה
225,Wunsch::N,விருப்பம்,אחול
226,Wunsch::N,விருப்பம்,משאלה
227,Lust::N,விருப்பம்,חשק
228,Lust::N,விருப்பம்,תשוקה
229,Geist::N,ஆன்மா,רוח
230,Gedanke::N,எண்ணம்,מחשבה
231,Gedächtnis::N,ஞாபகம்,זכרון
232,Verstand::N,மனம்,שכל
233,Sinn::N,அர்த்தம்,מובן
234,Sinn::N,அர்த்தம்,משמעות
235,Grund::N,காரணம்,סבה
236,Wahrheit::N,உண்நை,אמת
237,Gespräch::N,பெசு,דיון
238,Märchen::N,நம்பத்தகாத கதை,אגדה
239,Erzählung::N,கதை,ספור
240,Nachricht::N,செய்தி,ידיעה
241,Neuigkeit::N,செய்தி,חדשה
242,Name::N,பெயர்,שם
243,Rätsel::N,புதிர்,תעלומה
244,Rede::N,பேச்சு,נאום
245,Sprache::N,மொழி,לשון
246,Stimme::N,குரல்,קול
247,Wort::N,வார்த்தை,מלה
248,Zeichen::N,குறி,סימן
249,Ruf::N,அழைப்பு,קריאה
250,Lärm::N,சத்தம்,רעש
251,Laut::N,ஒலி,הגה
252,Ton::N,குரல்,צליל
253,Lied::N,பாட்டு,שיר
254,Ruhe::N,அமைதி,שלוה
255,Leute::N,மக்கள்,אנשים
256,Volk::N,மக்கள்,עם
257,Arbeit::N,வேலை,עבודה
258,Gast::N,விருந்தாளி,אורח
259,Geschenk::N,பரிசுப் பொருள்,מתנה
260,Spiel::N,விளையாட்டு,משחק
261,Gesellschaft::N,சமுதாயம்,חברה
262,Hilfe::N,உதவி,עזרה
263,Freund::N,நண்பன்,חבר
264,Freund::N,நண்பன்,ידיד
265,Kamerad::N,உடனிருப்பவன்,רע
266,Angelegenheit::N,செய்தி,ענין
267,Anzahl::N,எண்ணிக்கை,מספר
268,Art::N,வகை,סוג
269,Stück::N,துண்டம்,חתיכה
270,Teil::N,பகுதி,פרק
271,Hälfte::N,பாதி,חצי
272,Kreis::N,வட்டம்,מעגל
273,Kreuz::N,சிலுவை,צלב
274,Linie::N,கோடு,קו
275,Strich::N,வாத நோய்,קו קצר
276,Abstand::N,இடைவெளி,מרחק
277,Entfernung::N,தூரம்,מרחק
278,Gegend::N,வட்டாரம்,נוף
279,Platz::N,வெற்றிடம்,שטח
280,Ort::N,இடம்,אתר
281,Ort::N,இடம்,מקום
282,Seite::N,பக்கம்,צד
283,Mitte::N,இடைப்பகுதி,אמצע
284,Gegenstand::N,உருப்படி,אוביקט
285,Sache::N,பொருள்,דבר
286,Rand::N,தொங்கு,פרור
287,Kante::N,விளிம்பு,קצה
288,Ecke::N,மூலை,פנה
289,Spitze::N,முனை,קצה
290,Ende::N,முடிவு,סוף
291,Loch::N,துளை,חר
292,Winkel::N,கோணம்,פנה
293,Muster::N,பாங்கு,תבנית
294,Größe::N,அளவு,גדל
295,Länge::N,நீளம்,ארך
296,Höhe::N,உயரம்,קומה
297,Höhe::N,உயரம்,גבה
298,Gewicht::N,எடை,משקל
299,Menge::N,தொகை,כמות
300,Haufen::N,குவியல்,ערמה
301,Reihe::N,வரிசை,רצף
302,Boot::N,படகு,סירה
303,Ruder::N,துடுப்பு,משוט
304,Schlitten::N,சகடையிலா வண்டி,מזחלת
305,Ski::N,பனிச் சறுக்கல்,מגלשים
306,Lagerfeuer::N,மூட்டம்,מדורה
307,Last::N,பாரம்,משא
308,Gang::N,நடை,הליכה
309,Schritt::N,காலடி,צעד
310,Norden::N,வடக்கு,צפון
311,Süden::N,தெற்கு,דרום
312,Westen::N,மேற்கு திசை,מערב
313,Osten::N,கிழக்கு,מזרח
314,Holz::N,மரக்கட்டை,עץ
315,Brett::N,பலகை,קרש
316,Platte::N,பலகம்,לוח
317,Stütze::N,அடைப்புகன்,משען
318,Stange::N,கம்பம்,מוט
319,Stock::N,குச்சி,מקל
320,Stab::N,கம்பு,מוט
321,Rohr::N,குழாய்,צנור
322,Haus::N,வீடு,בית
323,Heim::N,வீடு,בית
324,Ofen::N,அடுப்பு,תנור
325,Fußboden::N,தரை,רצפה
326,Tisch::N,மேசை,שלחן
327,Stuhl::N,நாற்காலி,כסא
328,Wiege::N,தொட்டில்,ערש
329,Bett::N,படுக்கை,מטה
330,Regal::N,அலமாரி,מדף
331,Kiste::N,பெட்டி,תבה
332,Kiste::N,பெட்டி,ארגז
333,Fenster::N,சாளரம்,חלון
334,Tür::N,கதவு,דלת
335,Tor::N,வாசற்கதவு,שער
336,Zaun::N,வேலி,גדר
337,Dach::N,கூரை,גג
338,Leiter::N,ஏணி,סלם
339,Besen::N,விளக்குமாறு,מטאטא
340,Spaten::N,மண்வெட்டி,את
341,Schaufel::N,அடிதண்டா,את
342,Gabel::N,முட்கரண்டி,מזלג
343,Löffel::N,கரண்டி,כף
344,Messer::N,கத்தி,סכין
345,Nagel::N,ஆணி,מסמר
346,Netz::N,வலை,רשת
347,Haken::N,கொக்கி,וו
348,Haken::N,கொக்கி,קרס
349,Griff::N,கைப்பிடி,ידית
350,Schloss::N,பூட்டு,מנעול
351,Bild::N,படம்,תמונה
352,Figur::N,எண்ணிக்கை,פסל
353,Puppe::N,பொம்மை,בבה
354,Beutel::N,பை,שק
355,Bündel::N,பொதி,צרור
356,Tasche::N,பை,שקית
357,Eimer::N,வாளி,דלי
358,Deckel::N,உறை,מכסה
359,Geschirr::N,பாத்திரம்,כלים
360,Sack::N,பை,שק
361,Tasse::N,கிண்ணம்,ספל
362,Topf::N,பானை,סיר
363,Kessel::N,கெண்டி,קנקן
364,Essen::N,உணவருந்துதல்,אכל
365,Essen::N,உணவருந்துதல்,ארוחה
366,Nahrung::N,உணவு,הזנה
367,Nahrung::N,உணவு,תזונה
368,Speise::N,உணவு வகை,מאכל
369,Speise::N,உணவு வகை,ארוחה
370,Fleisch::N,இறைச்சி,בשר
371,Getreide::N,மக்காச்சோளம்,דגן
372,Brei::N,கஞ்சி,מחית
373,Brot::N,ரொட்டி,לחם
374,Scheibe::N,துண்டு,עגול
375,Scheibe::N,துண்டு,פרוסה
376,Fett::N,கொழுப்பு,שמן
377,Butter::N,வெண்ணெய்,חמאה
378,Öl::N,எண்ணெய்,שמן
379,Salz::N,உப்பு,מלח
380,Suppe::N,ரசம்,מרק
381,Honig::N,தேன்,דבש
382,Milch::N,பால்,חלב
383,Tee::N,தெனீர்,תה
384,Leder::N,பதம் செய்யப்பட்ட தோல்,עור
385,Wolle::N,கம்பளி,צמר
386,Stoff::N,துணி,בד
387,Stoff::N,துணி,אריג
388,Nadel::N,ஊசி,מחט
389,Faden::N,நூல்,חוט
390,Knopf::N,பொத்தான்,כפתור
391,Knoten::N,முடிச்சு,קשר
392,Farbe::N,வண்ணக் குழம்பு,צבע
393,Kleidung::N,ஆடைகள்,בגדים
394,Hemd::N,சட்டை,חלצה
395,Kragen::N,கழுத்துப் பட்டை,צוארון
396,Ärmel::N,சட்டைக்கை,שרוול
397,Hose::N,கால்சட்டை,מכנסים
398,Gürtel::N,பெல்ட்,חגורה
399,Mütze::N,தொப்பி,כובע
400,Schuh::N,காலணி,נעל
401,Stiefel::N,காலணி,מגף
402,Ring::N,மோதிரம்,טבעת
403,Band::N,நாடா,סרט
404,Kamm::N,கீப்பு,מסרק
405,Spiegel::N,ஆடி,מראה
406,Spiegel::N,கண்ணாடி,מראה
407,Riemen::N,வார்,רצועה
408,Schnur::N,கயிறு,חבל
409,Leine::N,தோல்வார்,מושכות
410,Decke::N,போர்வை,שמיכה
411,Kissen::N,தலையணை,כרית
412,Tuch::N,துணி,צעיף
413,Handtuch::N,தண்டு,מגבת
414,Kraft::N,நிர்பந்தம்,כוח
415,Stärke::N,பலம்,און
416,Gesundheit::N,ஆரோக்கியம்,בריאות
417,Krankheit::N,நோய்,מחלה
418,Schmerz::N,வலி,כאב
419,Wunde::N,காயம்,פציעה
420,Fieber::N,காய்ச்சல்,חם
421,Arznei::N,மருந்து,תרופה
422,Brücke::N,பாலம்,גשר
423,Brunnen::N,கேணி,באר
424,Weide::N,மேய்ச்சல் நிலம்,אחו
425,Weide::N,மேய்ச்சல் நிலம்,מרעה
426,Pfad::N,நடை வழி,שביל
427,Pfad::N,நடை வழி,מדרכה
428,Weg::N,வழி,דרך
429,Straße::N,சாலை,כביש
430,Dorf::N,கிராமம்,כפר
431,Stadt::N,நகரம்,עיר
432,Brief::N,கடிதம்,מכתב
433,Buch::N,புத்தகம்,ספר
434,Buchstabe::N,எழத்து,אות
435,Zeitung::N,செய்தித்தாள்,עתון
436,Leben::N,வாழ்க்கை,חיים
437,Tod::N,மரணம்,מות
438,Grab::N,சமாதி,קבר
439,Kirche::N,தேவாலயம்,כנסיה
440,Sünde::N,பாவம்,חטא
441,Gott::N,கடவுள்,אל
442,Arbeiter::N,தொழிலாளி,פועל
443,Chef::N,மேலாளர்,ראש
444,Chef::N,மேலாளர்,מנהל
445,Meister::N,தலைவன்,ממחה
446,Arzt::N,மருத்துவர்,רופא
447,Lehrer::N,ஆசிரியர்,מורה
448,Geld::N,பணம்,כסף
449,Geschäft::N,வாணிபம்,עסקה
450,Laden::N,கடை,חנות
451,Preis::N,விலை,מחיר
452,Ware::N,சாமன்கள்,סחורה
453,Nutzen::N,இலாபம்,תועלת
454,Reichtum::N,சொத்து,עשר
455,Welt::N,உலகம்,עולם
456,Land::N,நாடு,ארץ
457,Staat::N,நாடு,מדינה
458,König::N,அரசன்,מלך
459,Macht::N,அதிகாரம்,כוח
460,Grenze::N,எல்லை,גבול
461,Krieg::N,போர்,מלחמה
462,Feind::N,எதிரி,אויב
463,Gewalt::N,வன்முறை,אלימות
464,Kampf::N,போராட்டம்,קרב
465,Kampf::N,போராட்டம்,לחימה
466,Bogen[Waffe]::N,வில்,קשת
467,Pfeil::N,அம்பு,חץ
468,Gewehr::N,துப்பாக்கி,רובה
469,Fehler::N,தவறு,טעות
470,Lüge::N,பொய்,שקר
471,Schaden::N,சேதாரம்,נזק
472,Unglück::N,இடையூறு,מזל רע
473,Schuld::N,குற்றம்,אשמה
474,Alter::N,வயது,גיל
475,Schluss::N,முடிவு,סיום
476,Zeit::N,காலம்,זמן
477,Tag::N,நாள்,יום
478,Morgen::N,காலை நேரம்,בקר
479,Mittag::N,மதியம்,צהרים
480,Abend::N,மாலைப் பொழுது,ערב
481,Nacht::N,இரவு,לילה
482,Woche::N,வாரம்,שבוע
483,Monat::N,மாதம்,חדש
484,Jahr::N,வருடம்,שנה
485,Frühling::N,வசந்தம்,אביב
486,Sommer::N,கோடை,קיץ
487,Herbst::N,இலையுதிர் காலம்,סתו
488,Winter::N,குளிர்காலம்,חרף
489,Januar::N,ஜனவரி,ינואר
490,Februar::N,பிபரவரி மாதம்,פברואר
491,März::N,மார்ச் மாதம்,מרץ
492,April::N,ஏப்ரல் மாதம்,אפריל
493,Mai::N,மே மாதம்,מאי
494,Juni::N,ஜூன் மாதம்,יוני
495,Juli::N,ஜூலை மாதம்,יולי
496,August::N,ஆகஸ்ட் மாதம்,אוגוסט
497,September::N,செப்டம்பர் மாதம்,ספטמבר
498,Oktober::N,அக்டோபர் மாதம்,אוקטובר
499,November::N,நவம்பர் மாதம்,נובמבר
500,Dezember::N,டிசம்பர்,דצמבר
501,Montag::N,திங்கட் கிழமை,יום שני
502,Dienstag::N,செவ்வாய்க்கிழமை,יום שלישי
503,Mittwoch::N,புதன் கிழமை,יום רביעי
504,Donnerstag::N,வியாழக் கிழமை,יום חמישי
505,Freitag::N,வெள்ளிக்கிழமை,יום ששי
506,Samstag::N,சனிக்கிழமை,יום שבת
507,Sonntag::N,ஞாயிறுக் கிழமை,יום ראשון
508,groß::A,பெரிய,גדול
509,klein::A,சிறிய,קטן
510,lang::A,நீண்ட,ארך
511,kurz::A,குட்டையான,קצר
512,breit::A,அகலமான,רחב
513,schmal::A,குறுகலான,צר
514,dicht::A,அடர்த்தியான,צפוף
515,dick[Gegenstand]::A,தடித்த,עבה
516,dünn::A,சன்னமான,דק
517,fein::A,மெல்லிய,מעדן
518,fest::A,உறுதியாள,מוצק
519,flach::A,தட்டையான,שטוח
520,glatt::A,வழுவழுப்பான,חלק
521,hart::A,கடினமான,קשיח
522,weich::A,மென்மையான,רך
523,rund::A,உருண்டையான,עגל
524,spitz::A,திகந்தமாக,חד
525,scharf::A,கூரான,חד
526,stumpf::A,உளம் திறந்த,קהה
527,schwer::A,கனமான,כבד
528,schön::A,அழகான,יפה
529,heiß::A,சூடான,חם
530,warm::A,இதமான,חם
531,kalt::A,குளிர்ச்சியான,קר
532,kühl::A,குளிர்ச்சியான,צונן
533,frisch::A,சுத்தமான,טרי
534,feucht::A,ஈரமான,לח
535,nass::A,ஈரமான,רטוב
536,trocken::A,உலர்ந்த,יבש
537,voll::A,நிரம்பிய,מלא
538,leer::A,காலியான,ריק
539,offen::A,திறந்த,פתוח
540,geschlossen::A,மூடப்பட்ட,סגור
541,sauber::A,சுத்தமான,נקי
542,schmutzig::A,அழக்கான,מלכלך
543,roh::A,கச்சா,חי
544,reif::A,பழுத்த,בשל
545,lecker::A,சுவைமிக்க,טעים
546,süß::A,இனிப்பான,מתוק
547,bitter::A,கசப்பான,מר
548,sauer::A,புளிப்பாக,חמוץ
549,hell::A,பளபளப்பான,בהיר
550,dunkel::A,கருமையான,עמום
551,schwarz::A,கருப்பு வண்ண,שחר
552,weiß::A,வெண்மையன,לבן
553,rot::A,சிவப்பு,אדם
554,gelb::A,மஞ்சள் வண்ணம்,צהב
555,blau::A,நீல வண்ண,כחל
556,grün::A,பச்சை வண்ண,ירק
557,grau::A,சாம்பல் நிற,אפר
558,bunt::A,வண்ண மயமான,צבעוני
559,billig::A,மலிவான,זול
560,teuer::A,விலை அதிகமான,יקר
561,wertvoll::A,மதிப்புள்ள,יקר ערך
562,blind::A,பார்வையற்ற,עור
563,taub::A,செவிடான,חרש
564,kräftig::A,வலிமையான,חסן
565,stark::A,பலமான,חזק
566,schwach::A,பலவீனமான,חלש
567,fett::A,பருமனாக,שמן
568,schlank::A,ஒல்லியான,רזה
569,hübsch::A,அழகிய,יפה תאר
570,böse::A,கேடு விளைவிக்கும்,רשע
571,dumm::A,முட்டாள்தனமான,טפש
572,faul::A,சோம்பலான,עצלן
573,fleißig::A,ஊக்கந்தளராத,חרוץ
574,geizig::A,கஞேசத்தனமான,קמצן
575,klug::A,சாதுரியமான,נבון
576,klug::A,சாதுரியமான,פקח
577,geschickt::A,திறமையள்ள,מימן
578,lieb::A,அன்புக்குரிய,יקר
579,lieb::A,அன்புக்குரிய,אהוב
580,lustig::A,களிப்புமிக்க,עליז
581,sanft::A,சாதுவான,עדין
582,hungrig::A,பசியுடன்,רעב
583,krank::A,நோயுற்று,חולה
584,nackt::A,ஆடையற்ற,ערום
585,traurig::A,சோகமான,עצוב
586,lebendig::A,பிழைப்பு,חי
587,gut::A,நல்ல,טוב
588,schlecht::A,கெட்ட,גרוע
589,richtig::A,சரியான,נכון
590,schlimm::A,அருவருப்பான,רע
591,wahr::A,உண்மையான,אמתי
592,alt::A,பழைய,ישן
593,neu::A,புதிய,חדש
594,ehemalig::A,முன்நாள்,לשעבר
595,alt[Lebewesen]::A,வயதான,זקן
596,jung::A,இளமையான,צעיר
597,arm::A,ஏழ்மையான,עני
598,reich::A,செல்வம் படைத்த,עשיר
599,bekannt::A,பழக்கப்பட்ட,ידוע
600,berühmt::A,புகழ்பெற்ற,מפרסם
601,fremd::A,அயல் நாட்டு,זר
602,verschieden::A,வித்தியாசமான,שונה
603,nah::A,பக்கத்தில் உள்ள,קרוב
604,fern::A,தொலை தூரத்தில்,רחוק
605,linker::A,மீந்திருக்கும்,שמאלי
606,rechter::A,வலதுபக்கம்,ימין
607,anderer::A,மற்ற,אחר
608,erster::A,முதனமையான,ראשון
609,zweiter::A,இரண்டாவது,שני
610,dritter::A,மூன்றாவது,שלישי
611,letzter::A,கடைசி,אחרון
612,allein::ADV,தனியாக,לבד
613,auf einmal::ADV,தடீரென்று,בו-זמנית
614,zusammen::ADV,சேர்ந்து,ביחד
615,lange::ADV,அதிக நோம்,הרבה זמן
616,plötzlich::ADV,தடீரென்று,לפתע
617,plötzlich::ADV,தடீரென்று,פתאום
618,sofort::ADV,உடனடியாக,מיד
619,später::ADV,பிறகு,לאחר זמן
620,später::ADV,பிறகு,יותר מאחר
621,jetzt::ADV,இப்பொழது,עכשיו
622,heute::ADV,இன்று,היום
623,morgen::ADV,நாளைக்கு,מחר
624,bald::ADV,சீக்கிரம்,בקרוב
625,dann::ADV,அப்பொழுது,אחר-כך
626,gestern::ADV,நேற்று,אתמול
627,einst::ADV,ஒரே முறை,לפנים
628,damals::ADV,அப்பொழுது,אז
629,danach::ADV,பிற்பாடு,אחר-כך
630,vorher::ADV,முன்பாக,לפני זה
631,zuerst::ADV,முதலில்,קדם
632,einmal::ADV,ஒரே முறை,פעם
633,manchmal::ADV,சில நேரங்களில்,לפעמים
634,oft::ADV,அடிக்கடி,לעתים קרובות
635,immer::ADV,எப்பொழுதும்,תמיד
636,niemals::ADV,ஒருபோதும் இல்லை,אף פעם
637,hier::ADV,இங்கே,כאן
638,hierhin::ADV,இவ்விடத்திற்கு,פה
639,von hier::ADV,இனி,מפה
640,dort::ADV,அங்கே,שם
641,dorthin::ADV,அவ்விடத்திற்கு,שם
642,geradeaus::ADV,முன்னாலிருக்கும்,ישר
643,vorwärts::ADV,முன்புறமாக,קדימה
644,rückwärts::ADV,பின்னோக்கி,לאחור
645,zurück::ADV,பின்பக்கம்,בחזרה
646,zurück::ADV,பின்பக்கம்,אחורנית
647,unten::ADV,கீழாக,למטה
648,hinab::ADV,கீழ் நோக்கி,למטה
649,oben::ADV,மேலே,מעל
650,oben::ADV,மேலே,למעלה
651,hinauf::ADV,மேலே,למעלה
652,überall::ADV,எல்லா இடத்திலும்,בכל מקום
653,nicht::ADV,இல்லை,לא
654,ein wenig::ADV,கொஞ்சம்,קצת
655,kaum::ADV,அரிதாக,בקשי
656,sehr::ADV,மிக்க,מאוד
657,so::ADV,மிகவும்,כך
658,so::ADV,மிகவும்,ככה
659,noch::ADV,இப்பொழுதும்,עוד
660,noch::ADV,இப்பொழுதும்,עדין
661,nur::ADV,மட்டும்,רק
662,schon::ADV,ஏற்கனவே,כבר
663,wieder::ADV,மறுபடியும்,שוב
664,vergebens::ADV,வீண்,לריק
665,vergebens::ADV,வீண்,לשוא
666,vor::PRP,முன்,מול
667,hinter::PRP,பின்பக்கம்,מאחורי
668,unter::PRP,கீழே,מתחת
669,durch::PRP,ஊடே,דרך
670,neben::PRP,அடுத்து,ליד
671,neben::PRP,அடுத்து,על-יד
672,zwischen::PRP,இடையில்,בין
673,wegen::PRP,ஏனெனில்,בשל
674,wegen::PRP,ஏனெனில்,בגלל
675,dies::PRN,இது,זה
676,das::PRN,அது,זה
677,alles::PRN,ஒவ்வொன்றும்,הכל
