,Concept_ID,ml,be
228,Freude::N,ആഹ്ലാദം,радасць
229,Gelächter::N,ചിരിയുടെ ശബ്ദം,смех
230,Glück::N,സന്തോഷം,шчасце
231,Glück::N,സന്തുഷ്ടി,шчасце
232,Kummer::N,ശോകം,гора
233,Wunsch::N,ആഗ്രഹം,жаданне
234,Lust::N,ആഗ്രഹം,цяга
235,Geist::N,ചുറുചുറുക്ക്,дух
236,Gedanke::N,ചിന്ത,думка
237,Gedächtnis::N,ഓർമ്മശക്തി,памяць
238,Verstand::N,മനസ്സ്,розум
239,Sinn::N,അർത്ഥം,сэнс
240,Grund::N,കാരണം,зачэпка
241,Wahrheit::N,സത്യം,праўда
242,Gespräch::N,സല്ലാപം,размова
243,Märchen::N,യക്ഷിക്കഥ,казка
244,Erzählung::N,കഥ,расказ
245,Erzählung::N,കഥ,апавяданне
246,Nachricht::N,സന്ദേശം,вестка
247,Nachricht::N,സന്ദേശം,паведамленне
248,Neuigkeit::N,വാർത്ത,навіна
249,Name::N,പേര്,імя
250,Rätsel::N,പ്രഹേളിക,загадка
251,Rede::N,സംസാരം,прамова
252,Sprache::N,ഭാഷ,мова
253,Stimme::N,സ്വരം,голас
254,Wort::N,വാക്ക്,слова
255,Zeichen::N,സംജ്ഞ,знак
256,Ruf::N,വിളി,кліч
257,Lärm::N,ആരവം,шум
258,Laut::N,ശബ്ദം,гук
259,Ton::N,സ്വരഭേദം,гучанне
260,Lied::N,പാട്ട്,песня
261,Ruhe::N,നിശ്ചലത,спакой
262,Leute::N,ജനങ്ങൾ,людзі
263,Volk::N,രാഷ്ടം,народ
264,Arbeit::N,ജോലി,праца
265,Arbeit::N,ജോലി,работа
266,Gast::N,അതിലി,госць
267,Geschenk::N,സമ്മാനം,падарунак
268,Spiel::N,കളി,гульня
269,Gesellschaft::N,കൂട്ടായ്മ,таварыства
270,Hilfe::N,സഹായം,дапамога
271,Freund::N,സുഹൃത്ത്,друг
272,Freund::N,സുഹൃത്ത്,сябар
273,Kamerad::N,കൂട്ടാളി,прыяцель
274,Angelegenheit::N,കാര്യം,справа
275,Anzahl::N,എണ്ണം,колькасць
276,Art::N,തരം,від
277,Stück::N,കഷണം,кусок
278,Stück::N,കഷണം,кавалак
279,Teil::N,ഭാഗം,частка
280,Hälfte::N,പകുതി,палова
281,Hälfte::N,പകുതി,палавіна
282,Kreis::N,വൃത്തം,круг
283,Kreuz::N,കുരിശടയാളം,крыж
284,Linie::N,വര,лінія
285,Linie::N,രേഖ,лінія
286,Strich::N,പക്ഷാഘാതം,рыса
287,Abstand::N,വിടവ്,прамежак
288,Entfernung::N,അകലം,адлегласць
289,Gegend::N,പ്രദേശം,мясцовасць
290,Platz::N,ഇടം,месца
291,Ort::N,സ്ഥലം,месца
292,Seite::N,വശം,бок
293,Mitte::N,മധ്യസ്ഥാനം,сярэдзіна
294,Gegenstand::N,സാധനം,прадмет
295,Sache::N,വസ്തു,рэч
296,Rand::N,തൊങ്ങൽ,край
297,Kante::N,അറ്റം,руб
298,Kante::N,അറ്റം,кант
299,Ecke::N,മൂല,вугал
300,Spitze::N,അഗ്രം,кончык
301,Ende::N,അവസാനം,канец
302,Loch::N,ദ്വാരം,дзірка
303,Winkel::N,കോൺ,вугал
304,Muster::N,ക്രമം,узор
305,Größe::N,വലുപ്പം,памер
306,Länge::N,നീളം,даўжыня
307,Höhe::N,ഉയരം,вышыня
308,Gewicht::N,കട്ടി,вага
309,Menge::N,അളവ്,колькасць
310,Haufen::N,കൂമ്പാരം,куча
311,Reihe::N,വരി,рад
312,Boot::N,ബോട്ട്,лодка
313,Ruder::N,പങ്കായം,вясло
314,Schlitten::N,ഉരുളില്ലാവണ്ടി,сані
315,Ski::N,ഹിമപാദുകം,лыжа
316,Lagerfeuer::N,തീ,вогнішча
317,Last::N,ഭാരം,цяжар
318,Gang::N,നടത്തം,ход
319,Schritt::N,ചുവട്,шаг
320,Schritt::N,ചുവട്,крок
321,Norden::N,വടക്ക്,поўнач
322,Süden::N,തെക്ക്,поўдзень
323,Westen::N,പടിഞ്ഞാറ്,захад
324,Osten::N,കിഴക്ക്,усход
325,Holz::N,തടി,дрэва
326,Holz::N,തടി,драўніна
327,Brett::N,ബോർഡ്,дошка
328,Platte::N,തകിട്,пліта
329,Stütze::N,താങ്ങ്,падпорка
330,Stange::N,കമ്പ്,жэрдка
331,Stock::N,വടി,палка
332,Stab::N,കുറുവടി,шост
333,Rohr::N,കുഴൽ,труба
334,Haus::N,വീട്,дом
335,Heim::N,വീട്,дом
336,Heim::N,വീട്,хата
337,Ofen::N,സ്റ്റൌ,печ
338,Fußboden::N,തറ,падлога
339,Tisch::N,മേശ,стол
340,Stuhl::N,കസേര,стул
341,Stuhl::N,കസേര,крэсла
342,Wiege::N,തൊട്ടിൽ,калыска
343,Bett::N,കിടക്ക,ложак
344,Bett::N,കിടക്ക,пасцель
345,Regal::N,ഷെൽഫ്,паліца
346,Kiste::N,പെട്ടി,скрынка
347,Fenster::N,ജനൽ,акно
348,Tür::N,വാതിൽ,дзверы
349,Tor::N,കവാടം,вароты
350,Zaun::N,വേലി,агароджа
351,Dach::N,മേൽക്കുര,дах
352,Leiter::N,ഏണി,лесвіца
353,Besen::N,ചൂല്,мятла
354,Spaten::N,തൂമ്പ,лапата
355,Spaten::N,തൂമ്പ,жалязняк
356,Schaufel::N,തൂമ്പ,шуфлік
357,Schaufel::N,തൂമ്പ,лапатка
358,Gabel::N,മുൾക്കത്തി,відэлец
359,Löffel::N,സ്പൂൺ,лыжка
360,Messer::N,കത്തി,нож
361,Nagel::N,ആണി,цвік
362,Netz::N,വല,сетка
363,Haken::N,കൊളുത്ത്,крук
364,Griff::N,കൈപ്പിടി,ручка
365,Schloss::N,പൂട്ട്,замок
366,Bild::N,ചിത്രം,карціна
367,Figur::N,കണക്ക്,фігура
368,Puppe::N,പാവ,лялька
369,Beutel::N,ബാഗ്,мяшок
370,Bündel::N,കെട്ട്,вязка
371,Tasche::N,ബാഗ്,торба
372,Eimer::N,ബക്കറ്റ്,вядро
373,Deckel::N,ഉറ,накрыўка
374,Geschirr::N,പിഞ്ഞാണം,пасуда
375,Sack::N,ചാക്ക്,мех
376,Tasse::N,കപ്പ്,кубак
377,Topf::N,പാത്രം,каструля
378,Kessel::N,കെറ്റ്ല്,кацёл
379,Essen::N,ആഹാരസമയം,ежа
380,Nahrung::N,ഭക്ഷണം,харч
381,Speise::N,ഡിഷ്,страва
382,Fleisch::N,മാംസം,мяса
383,Getreide::N,ചോളം,збожжа
384,Brei::N,കഞ്ഞി,каша
385,Brot::N,റോട്ടി,хлеб
386,Scheibe::N,തുണ്ട്,луста
387,Scheibe::N,തുണ്ട്,скібка
388,Fett::N,കൊഴുപ്പ്,тлушч
389,Butter::N,വെണ്ണ,масла
390,Öl::N,എണ്ണ,алей
391,Salz::N,ഉപ്പ്,соль
392,Suppe::N,സൂപ്പ്,суп
393,Honig::N,തേൻ,мёд
394,Milch::N,പാൽ,малако
395,Tee::N,ചായ,чай
396,Tee::N,ചായ,гарбата
397,Leder::N,തുകൽ,скура
398,Wolle::N,കമ്പിളി,воўна
399,Stoff::N,തുണി,тканіна
400,Nadel::N,സൂചി,іголка
401,Faden::N,നൂല്,нітка
402,Knopf::N,ബട്ടൺ,гузік
403,Knoten::N,കുരുക്ക്,вузел
404,Farbe::N,പെയിൻറ്,фарба
405,Kleidung::N,വസ്ത്രങ്ങൾ,адзенне
406,Hemd::N,ഷർട്ട്,кашуля
407,Kragen::N,കുപ്പായക്കഴുത്ത്,каўнер
408,Ärmel::N,കുപ്പായക്കൈ,рукаў
409,Hose::N,ട്രൌസർ,штаны
410,Gürtel::N,ബെൽറ്റ്,пояс
411,Mütze::N,തൊപ്പി,шапка
412,Schuh::N,ഷൂ,чаравік
413,Stiefel::N,ബൂട്ട്,бот
414,Ring::N,മോതിരം,кольца
415,Band::N,റിബൺ,стужка
416,Kamm::N,ചീപ്പ്,расчоска
417,Spiegel::N,കണ്ണാടി,люстра
418,Riemen::N,സ്ട്രാപ്പ്,рэмень
419,Schnur::N,ചരട്,вяроўка
420,Leine::N,കെട്ടാനുള്ള തോൽവാർ,павадок
421,Decke::N,പുതപ്പ്,коўдра
422,Kissen::N,തലയിണ,падушка
423,Tuch::N,സ്കാർഫ്,хустка
424,Handtuch::N,തോർത്ത്,ручнік
425,Kraft::N,ശക്തി,сіла
426,Stärke::N,ശക്തി,моц
427,Gesundheit::N,ആരോഗ്യം,здароўе
428,Krankheit::N,അസുഖം,хвароба
429,Schmerz::N,വേദന,боль
430,Wunde::N,മുറിവ്,рана
431,Fieber::N,പനി,гарачка
432,Fieber::N,പനി,ліхаманка
433,Arznei::N,മരുന്ന്,лекі
434,Brücke::N,പാലം,мост
435,Brunnen::N,കിണർ,калодзеж
436,Weide::N,മേച്ചൽ,паша
437,Pfad::N,വഴി,сцежка
438,Weg::N,വഴി,шлях
439,Weg::N,വഴി,дарога
440,Straße::N,റോഡ്,вуліца
441,Dorf::N,ഗ്രാമം,вёска
442,Stadt::N,നഗരം,горад
443,Brief::N,കത്ത്,ліст
444,Brief::N,കത്ത്,пісьмо
445,Buch::N,പുസ്തകം,кніга
446,Buchstabe::N,അക്ഷരം,літара
447,Zeitung::N,വർത്തമാനപത്രം,газета
448,Leben::N,ജീവൻ,жыццё
449,Tod::N,മരണം,смерць
450,Grab::N,ശവക്കുഴി,магіла
451,Kirche::N,പള്ളി,касцёл
452,Kirche::N,പള്ളി,царква
453,Sünde::N,പാപം,грэх
454,Gott::N,ദൈവം,бог
455,Arbeiter::N,ജോലിക്കാരൻ,рабочы
456,Chef::N,മേധാവി,начальнік
457,Meister::N,യജമാനൻ,майстар
458,Arzt::N,ഡോക്ടർ,урач
459,Lehrer::N,അധ്യാപകൻ,настаўнік
460,Geld::N,പണം,грошы
461,Geschäft::N,ബിസിനസ്,заняцце
462,Laden::N,കട,крама
463,Laden::N,കട,магазін
464,Preis::N,വില,цана
465,Ware::N,ചരക്ക്,тавар
466,Nutzen::N,ലാഭം,выгада
467,Reichtum::N,ധനം,багацце
468,Welt::N,ലോകം,свет
469,Land::N,രാജ്യം,краіна
470,Staat::N,രാജ്യം,дзяржава
471,König::N,രാജാവ്,кароль
472,Macht::N,അധികാരം,улада
473,Grenze::N,അതിർത്തി,граніца
474,Krieg::N,യുദ്ധം,вайна
475,Feind::N,ശത്രു,вораг
476,Gewalt::N,അക്രമം,насілле
477,Kampf::N,പോരാട്ടം,барацьба
478,Bogen[Waffe]::N,വില്ല്,лук
479,Pfeil::N,അമ്പ്,страла
480,Gewehr::N,തോക്ക്,ружжо
481,Fehler::N,പിശക്,памылка
482,Lüge::N,കള്ളം,хлусня
483,Schaden::N,കേടുപാട്,шкода
484,Unglück::N,ദൌർഭാഗ്യം,ліха
485,Unglück::N,ദൌർഭാഗ്യം,бядота
486,Schuld::N,തെറ്റ്,віна
487,Alter::N,വയസ്സ്,узрост
488,Schluss::N,നിഗമനം,канец
489,Zeit::N,സമയം,час
490,Tag::N,ദിവസം,дзень
491,Morgen::N,പ്രഭാതം,ранак
492,Morgen::N,പ്രഭാതം,раніца
493,Mittag::N,ഉച്ച,паўдня
494,Mittag::N,ഉച്ച,поўдзень
495,Abend::N,സായാഹ്നം,вечар
496,Nacht::N,രാത്രി,ноч
497,Woche::N,ആഴ്ച,тыдзень
498,Monat::N,മാസം,месяц
499,Jahr::N,വർഷം,год
500,Frühling::N,വസന്തം,вясна
501,Sommer::N,വേനൽ,лета
502,Herbst::N,ശരത്കാലം,восень
503,Winter::N,ശൈത്യം,зіма
504,Januar::N,ജനുവരി,студзень
505,Februar::N,ഫെബ്രുവരി,люты
506,März::N,മാർച്ച്,сакавік
507,April::N,ഏപ്രിൾ മാസം,красавік
508,Mai::N,മെയ് മാസം,май
509,Mai::N,മെയ് മാസം,травень
510,Juni::N,ജൂൺ,чэрвень
511,Juli::N,ജൂലൈ,ліпень
512,August::N,ആഗസ്റ്റ്,жнівень
513,September::N,സെപ്തംബർ,верасень
514,Oktober::N,ഒക്ടോബർ,кастрычнік
515,November::N,നവംബർ,лістапад
516,Dezember::N,ഡിസംബർ,снежань
517,Montag::N,തിങ്കളാഴ്ച,панядзелак
518,Dienstag::N,ചൊവ്വ,аўторак
519,Mittwoch::N,ബുധനാഴ്ച,серада
520,Donnerstag::N,വ്യാഴാഴ്ച,чацвер
521,Freitag::N,വെള്ളിയാഴ്ച,пятніца
522,Samstag::N,ശനിയാഴ്ച,субота
523,Sonntag::N,ഞായറാഴ്ച,нядзеля
524,groß::A,വലിയ,вялікі
525,klein::A,ചെറിയ,маленькі
526,lang::A,നീണ്ട,доўгі
527,kurz::A,ഹ്രസ്വമായ,кароткі
528,breit::A,വിശാലമായ,шырокі
529,schmal::A,ഇടുങ്ങിയ,вузкі
530,dicht::A,നിബിഡമായ,густы
531,dick[Gegenstand]::A,തടിച്ച,тоўсты
532,dünn::A,മെലിഞ്ഞ,тонкі
533,fein::A,നേർത്ത,тонкі
534,fest::A,ഉറപ്പുള്ള,моцны
535,flach::A,പരന്ന,плоскі
536,glatt::A,മിനുസമുള്ള,гладкі
537,hart::A,കട്ടിയുള്ള,цвёрды
538,weich::A,മൃദുവായ,мяккі
539,rund::A,വട്ടത്തിലുള്ള,круглы
540,spitz::A,മുനയുള്ള,спічасты
541,spitz::A,മുനയുള്ള,востраканцовы
542,scharf::A,മൂർച്ചയുള്ള,востры
543,stumpf::A,തുറന്നടിക്കുന്ന,тупы
544,schwer::A,ഭാരമുള്ള,цяжкі
545,schön::A,മനോഹരമായ,прыгожы
546,heiß::A,ചൂടുള്ള,гарачы
547,warm::A,ചൂടുള്ള,цёплы
548,kalt::A,തണുത്ത,холадны
549,kühl::A,തണുപ്പുള്ള,халаднаваты
550,frisch::A,ശുദ്ധമായ,свежы
551,feucht::A,ഈറനുള്ള,вільготны
552,nass::A,നനഞ്ഞ,мокры
553,trocken::A,വരണ്ട,сухі
554,voll::A,നിറയെ,поўны
555,leer::A,ഒഴിഞ്ഞ,пусты
556,offen::A,തുറന്ന,адкрыты
557,offen::A,തുറന്ന,адчынены
558,geschlossen::A,അടച്ച,закрыты
559,geschlossen::A,അടച്ച,зачынены
560,sauber::A,വൃത്തിയുള്ള,чысты
561,schmutzig::A,അഴുക്കുനിറഞ്ഞ,брудны
562,roh::A,അസംസ്കൃതമായ,сыры
563,reif::A,പഴുത്ത,спелы
564,lecker::A,രുചികരമായ,смачны
565,süß::A,മധുരമുള്ള,салодкі
566,bitter::A,കടുത്ത,горкі
567,sauer::A,പുളിപ്പുള്ള,кіслы
568,hell::A,ജ്വലിക്കുന്ന,светлы
569,dunkel::A,ഇരുണ്ട,цёмны
570,schwarz::A,കറുത്ത,чорны
571,weiß::A,വെളുത്ത,белы
572,rot::A,ചുവന്ന,чырвоны
573,gelb::A,മഞ്ഞനിറമായ,жоўты
574,blau::A,നീലനിറമുള്ള,сіні
575,grün::A,പച്ചനിറമുള്ള,зялёны
576,grau::A,ചാരനിറത്തിലുള്ള,шэры
577,bunt::A,വർണ്ണശബളമായ,пяресты
578,billig::A,വിലകുറഞ്ഞ,танны
579,teuer::A,ചെലവേറിയ,дарагі
580,wertvoll::A,വിലപിടിപ്പുള്ള,цэнны
581,wertvoll::A,വിലപിടിപ്പുള്ള,каштоўны
582,blind::A,അന്ധനായ,сляпы
583,taub::A,കേൾവിക്കുറവുള്ള,глухі
584,kräftig::A,ശക്തിയുള്ള,магутны
585,stark::A,ബലമുള്ള,сільны
586,schwach::A,ക്ഷീണിച്ച,слабы
587,fett::A,കൊഴുപ്പുള്ള,тлусты
588,schlank::A,മെലിഞ്ഞ,стройны
589,hübsch::A,മനോഹരമായ,чароўны
590,böse::A,പാപിയായ,злы
591,dumm::A,വിവരംകെട്ട,дурны
592,faul::A,അലസനായ,лянівы
593,fleißig::A,അദ്ധ്വാനശീലമുള്ള,руплівы
594,geizig::A,പിശുക്കനായ,прагны
595,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,разумны
596,geschickt::A,പ്രതിഭാശാലി,умелы
597,lieb::A,പ്രിയപ്പെട്ട,мілы
598,lustig::A,ആനന്ദകരമായ,вясёлы
599,sanft::A,സൌമ്യമായ,ласкавы
600,hungrig::A,വിശപ്പുള്ള,галодны
601,krank::A,അസുഖമുള്ള,хворы
602,nackt::A,നഡമായ,голы
603,traurig::A,വിഷമമുള്ള,сумны
604,lebendig::A,ഉപജീവനം,жывы
605,gut::A,നല്ല,добры
606,schlecht::A,മോശമായ,кепскі
607,richtig::A,ശരിയായ,правільны
608,schlimm::A,വൃത്തികെട്ട,агідны
609,wahr::A,ശരിയായ,сапраўдны
610,alt::A,പഴയ,стары
611,neu::A,പുതിയ,новы
612,ehemalig::A,മുൻ,былы
613,alt[Lebewesen]::A,വയസ്സുള്ള,стары
614,jung::A,കൌമാരമായ,малады
615,arm::A,പാവപ്പെട്ട,бедны
616,reich::A,സമ്പന്നമായ,багаты
617,bekannt::A,പരിചിതമായ,знаёмы
618,berühmt::A,പ്രശസ്തനായ,славуты
619,fremd::A,വൈദേശികമായ,чужы
620,verschieden::A,വ്യത്യസ്തമായ,розны
621,nah::A,അരികത്തുള്ള,блізкі
622,fern::A,അകലെയുള്ള,далёкі
623,linker::A,അവശേഷിച്ച,левы
624,rechter::A,വലത്തേ,правы
625,anderer::A,മറ്റുള്ള,іншы
626,anderer::A,മറ്റുള്ള,другі
627,erster::A,ആദ്യത്തെ,першы
628,zweiter::A,രണ്ടാം,другі
629,dritter::A,മൂന്നാമത്,трэці
630,letzter::A,അവസാനത്തെ,апошні
631,allein::ADV,തനിച്ചുള്ള,сам
632,allein::ADV,തനിച്ചുള്ള,адзін
633,auf einmal::ADV,ഉടന്,адразу
634,zusammen::ADV,ഒരുമിച്ച,разам
635,lange::ADV,നീണ്ട_കാലത്തേയ്ക്ക്,доўга
636,plötzlich::ADV,പെട്ടെന്ന്,раптам
637,sofort::ADV,തത്ക്ഷണം,зараз
638,später::ADV,പിന്നീട്,пазней
639,jetzt::ADV,ഇപ്പോൾ,цяпер
