,Concept_ID,la,kv
330,Höhe::N,altitudo,сувда
331,Höhe::N,altitudo,вылына
332,Gewicht::N,pondus,сьӧкта
333,Menge::N,copia,
334,Haufen::N,acervus,куча
335,Reihe::N,ordo,лёдз
336,Boot::N,navicula,пыж
337,Ruder::N,remus,пелыс
338,Schlitten::N,sclodia,додь
339,Ski::N,narta,лямпа
340,Lagerfeuer::N,ignis,бипур
341,Last::N,onus,тягота
342,Gang::N,cursus,мунӧм
343,Schritt::N,gradus,вожмӧв
344,Norden::N,septentriones,ой
345,Süden::N,meridies,лун
346,Westen::N,occidens,рытвыв
347,Osten::N,oriens,асыв
348,Holz::N,lignum,пу
349,Brett::N,tabula,пӧв
350,Platte::N,lamina,плита
351,Stütze::N,adminiculum,пика
352,Stange::N,pertica,зор
353,Stange::N,pertica,потш
354,Stock::N,baculum,бедь
355,Stab::N,scipio,шест
356,Rohr::N,tubus,труба
357,Haus::N,aedes,керку
358,Heim::N,domicilium,керку
359,Ofen::N,fornax,пӧжавны
360,Fußboden::N,solum,джодж
361,Tisch::N,mensa,пызан
362,Stuhl::N,sella,стул
363,Wiege::N,cunae,зыбка
364,Bett::N,lectus,кровать
365,Regal::N,foruli,джадж
366,Kiste::N,cista,ящик
367,Fenster::N,fenestra,ӧшын
368,Tür::N,ianua,ыбӧс
369,Tor::N,porta,ворота
370,Zaun::N,saepes,забор
371,Dach::N,tectum,крыша
372,Leiter::N,scalae,лиснич
373,Besen::N,scopae,рос
374,Spaten::N,pala,зыр
375,Schaufel::N,pala,зыр
376,Gabel::N,fuscinula,вила
377,Löffel::N,coclear,пань
378,Messer::N,culter,пурт
379,Nagel::N,clavus,кӧрттув
380,Netz::N,rete,кыйӧт
381,Haken::N,hamus,ем
382,Griff::N,manubrium,пу
383,Schloss::N,claustra,замок
384,Bild::N,tabula,картина
385,Bild::N,pictura,картина
386,Figur::N,statunculum,мыгӧр
387,Puppe::N,pupa,акань
388,Beutel::N,sacculus,мешӧк
389,Bündel::N,fascis,нин
390,Tasche::N,sacculus,сумка
391,Eimer::N,situla,ведра
392,Deckel::N,operculum,вевт
393,Geschirr::N,vasa,доз
394,Geschirr::N,vasa,бекӧрпань
395,Sack::N,saccus,мешӧк
396,Tasse::N,pocillum,бекӧр
397,Topf::N,olla,кастрюля
398,Kessel::N,aenum,пӧрт
399,Essen::N,cena,сёйӧм
400,Nahrung::N,cibus,вердан
401,Nahrung::N,alimenta,вердан
402,Speise::N,cibus,сёян
403,Fleisch::N,caro,яй
404,Getreide::N,frumentum,сю
405,Brei::N,puls,каша
406,Brot::N,panis,нянь
407,Scheibe::N,frustum,шӧрӧм
408,Fett::N,pingue,гос
409,Butter::N,butȳrum,ви
410,Öl::N,oleum,ви
411,Salz::N,sal,сов
412,Suppe::N,ius,шыд
413,Honig::N,mel,ма
414,Milch::N,lac,йӧв
415,Tee::N,thea,чай
416,Leder::N,corium,кучик
417,Wolle::N,lana,гӧн
418,Stoff::N,textum,дӧра
419,Nadel::N,acus,ем
420,Faden::N,filum,сунис
421,Knopf::N,bulla,кизь
422,Knoten::N,nodus,узӧв
423,Knoten::N,nodus,гӧрӧд
424,Farbe::N,pigmentum,краска
425,Kleidung::N,vestimenta,паськӧм
426,Hemd::N,tunica,йӧрнӧс
427,Kragen::N,collare,воротник
428,Ärmel::N,manica,сос
429,Hose::N,bracae,вешьян
430,Gürtel::N,cingulum,йи
431,Mütze::N,pilleus,шапка
432,Schuh::N,calceus,ботинки
433,Stiefel::N,pero,сапог
434,Stiefel::N,caliga,сапог
435,Ring::N,anulus,чунькытш
