,Concept_ID,ca,cv
214,Schale::N,closca,хупӑ
215,Grube::N,sot,шӑтӑк
216,Grube::N,clot,шӑтӑк
217,Falle::N,trampa,тапӑ
218,Falle::N,trampa,капкӑн
219,Schlinge::N,baga,йӑлӑ
220,Spur::N,traça,йӗр
221,Asche::N,cendra,кӗл
222,Dreck::N,llot,пылчӑк
223,Eisen::N,ferro,тимӗр
224,Gold::N,or,ылтӑн
225,Silber::N,plata,кӗмӗл
226,Kohle::N,carbó,кӑмрӑк
227,Glas::N,vidre,кӗленче
228,Lehm::N,fang,тӑм
229,Lehm::N,argila,тӑм
230,Sand::N,arena,хӑйӑр
231,Mensch::N,humà,ҫын
232,Mensch::N,humà,этем
233,Mensch::N,persona,ҫын
234,Mensch::N,persona,этем
235,Mann::N,home,ар
236,Frau::N,dona,хӗрарӑм
237,Kind::N,nen,ача
238,Junge::N,noi,ача
239,Junge::N,noi,ар ҫын ача
240,Mädchen::N,noia,хӗр ача
241,Familie::N,família,ҫемье
242,Familie::N,família,кил-йыш
243,Großvater::N,avi,кукаҫи
244,Großmutter::N,àvia,кукамай
245,Eltern::N,pares,аҫа-ама
246,Vater::N,pare,атте
247,Mutter::N,mare,анне
248,Sohn::N,fill,ывӑл
249,Tochter::N,filla,хӗр
250,Bruder::N,germà,ар тӑван
251,Schwester::N,germana,аппа
252,Schwester::N,germana,йӑмӑк
253,Onkel::N,oncle,мучи
254,Onkel::N,oncle,пичче
255,Tante::N,tia,аппа
256,Ehemann::N,espòs,упӑшка
257,Ehefrau::N,muller,арӑм
258,Freude::N,goig,савӑнӑҫ
259,Freude::N,goig,хаваслӑх
260,Freude::N,alegria,савӑнӑҫ
261,Freude::N,alegria,хаваслӑх
262,Gelächter::N,riallada,кулӑ
263,Glück::N,felicitat,телей
264,Glück::N,felicitat,ӑраскал
265,Kummer::N,pena,хурлӑх
266,Wunsch::N,desig,ӗмӗт
267,Wunsch::N,desig,кӑмӑл
268,Lust::N,ganes,кӑмӑл
269,Geist::N,ment,чун-чӗм
270,Geist::N,ment,ыр-усал
271,Geist::N,ment,чун хавалӗ
272,Geist::N,esperit,чун-чӗм
273,Geist::N,esperit,ыр-усал
274,Geist::N,esperit,чун хавалӗ
275,Gedanke::N,pensament,шухӑш
276,Gedächtnis::N,memòria,ас
277,Verstand::N,raó,ӑс
278,Verstand::N,raó,ӑс-тӑн
279,Verstand::N,raó,ӑс-хакӑл
280,Verstand::N,seny,ӑс
281,Verstand::N,seny,ӑс-тӑн
282,Verstand::N,seny,ӑс-хакӑл
283,Sinn::N,solta,тупсӑм
284,Sinn::N,solta,пӗлтерӗш
285,Sinn::N,sentit,тупсӑм
286,Sinn::N,sentit,пӗлтерӗш
287,Grund::N,raó,сӑлтав
288,Grund::N,causa,сӑлтав
289,Wahrheit::N,veritāt,чӑнлӑх
290,Gespräch::N,conversa,калаҫу
291,Märchen::N,conte,юмах
292,Erzählung::N,narració,акалав
293,Erzählung::N,narració,каласа пани
294,Nachricht::N,missatge,хыпар
295,Neuigkeit::N,novetat,ҫӗнӗ хыпар
296,Name::N,nom,ят
297,Rätsel::N,endevinalla,сутмалли юмах
298,Rede::N,discurs,сӑмах
299,Sprache::N,llēngua,чӗлхе
300,Stimme::N,veu,сасӑ
301,Wort::N,mot,сӑмах
302,Wort::N,paraula,сӑмах
303,Zeichen::N,signe,паллӑ
304,Zeichen::N,senyal,паллӑ
305,Ruf::N,crida,йыхрав
306,Ruf::N,crida,чӗнӳ
307,Lärm::N,sorōll,шав
308,Laut::N,so,сасӑ
309,Ton::N,to,сасӑ
310,Lied::N,cançó,юрӑ
311,Ruhe::N,calma,канӑҫлӑх
312,Ruhe::N,calma,лӑпкӑлӑх
313,Ruhe::N,silenci,канӑҫлӑх
314,Ruhe::N,silenci,лӑпкӑлӑх
315,Leute::N,gent,ҫамрӑксем
316,Leute::N,gent,ҫамрӑк ҫынсем
317,Volk::N,poble,халӑх
318,Arbeit::N,labor,ӗҫхӗл
319,Arbeit::N,labor,ӗҫлев
320,Arbeit::N,treball,ӗҫхӗл
321,Arbeit::N,treball,ӗҫлев
322,Gast::N,hoste,хӑна
323,Geschenk::N,regal,парне
324,Geschenk::N,regal,кучченеҫ
325,Geschenk::N,obsequi,парне
326,Geschenk::N,obsequi,кучченеҫ
327,Spiel::N,joc,вӑйӑ
328,Gesellschaft::N,companyia,общество
329,Hilfe::N,ajut,пулӑшу
330,Freund::N,amīc,тус
331,Kamerad::N,company,юлташ
332,Kamerad::N,company,тус
333,Kamerad::N,camarada,юлташ
334,Kamerad::N,camarada,тус
335,Angelegenheit::N,afer,ӗҫ
336,Angelegenheit::N,assumpte,ӗҫ
337,Anzahl::N,nombre,йыш
338,Anzahl::N,nombre,хисеп
339,Anzahl::N,quantitat,йыш
340,Anzahl::N,quantitat,хисеп
341,Art::N,tipus,тӗс
342,Art::N,classe,тӗс
343,Stück::N,peça,татӑк
344,Teil::N,part,пай
345,Hälfte::N,meitat,ҫурӑ
346,Kreis::N,cercle,ункӑ
347,Kreis::N,cercle,ҫавракӑш
348,Kreuz::N,creu,хӗрес
349,Linie::N,línia,йӗр
350,Strich::N,traç,йӗр
351,Strich::N,ratlla,йӗр
352,Abstand::N,distància,хушӑ
353,Entfernung::N,distància,хушӑ
354,Gegend::N,regió,вырӑн
355,Gegend::N,contrada,вырӑн
356,Platz::N,cabuda,хутлӑх
357,Ort::N,lloc,вырӑн
358,Seite::N,banda,ен
359,Seite::N,banda,аяк
360,Seite::N,banda,айӑк
361,Seite::N,costāt,ен
362,Seite::N,costāt,аяк
363,Seite::N,costāt,айӑк
364,Mitte::N,mig,варӑ
365,Mitte::N,centre,варӑ
366,Gegenstand::N,objecte,япала
367,Sache::N,cosa,япала
368,Rand::N,vora,вӗҫ
369,Rand::N,vora,хӗрӗ
370,Rand::N,vora,хӗрри
371,Rand::N,marge,вӗҫ
372,Rand::N,marge,хӗрӗ
373,Rand::N,marge,хӗрри
374,Kante::N,caire,хайкача
375,Kante::N,caire,хысак
376,Kante::N,cantell,хайкача
377,Kante::N,cantell,хысак
378,Ecke::N,cantonada,кӗтес
379,Spitze::N,punta,вӗҫ
380,Ende::N,cap,вӗҫ
381,Loch::N,forāt,шӑтӑк
382,Winkel::N,racó,кӗтес
383,Muster::N,dibuix,эреш
384,Muster::N,disseny,эреш
385,Größe::N,grandària,пысӑкӑш
386,Länge::N,longitud,вӑрӑмӑш
387,Höhe::N,altura,ҫӳллӗш
388,Höhe::N,altitud,ҫӳллӗш
389,Gewicht::N,pes,виҫе
390,Gewicht::N,pes,йывӑрӑш
391,Menge::N,quantitat,йыш
392,Haufen::N,pila,купа
393,Reihe::N,fila,рет
394,Boot::N,bot,кимӗ
395,Boot::N,barca,кимӗ
396,Ruder::N,rem,кӗсмен
397,Schlitten::N,trineu,ҫуна
398,Ski::N,esquí,йӗлтӗр
399,Lagerfeuer::N,foc de campament,вут
400,Lagerfeuer::N,foc de campament,кӑвайт
401,Last::N,càrrega,сулмаклӑх
402,Last::N,càrrega,йывӑр япала
403,Gang::N,marxa,куҫӑм
404,Schritt::N,pas,утӑм
405,Schritt::N,pas,пусӑм
406,Norden::N,nord,ҫурҫӗр
407,Süden::N,sud,кӑнтӑр
408,Westen::N,oest,анӑҫ
409,Westen::N,oest,хӗвел анӑҫ
410,Westen::N,occident,анӑҫ
411,Westen::N,occident,хӗвел анӑҫ
412,Osten::N,est,хӗвел тухӑҫ
413,Osten::N,orient,хӗвел тухӑҫ
414,Holz::N,fusta,йывӑҫ
415,Brett::N,taula,хӑма
416,Platte::N,placa,плита
417,Stütze::N,suport,ура
418,Stange::N,vara,шерте
419,Stock::N,pal,патак
420,Stab::N,bastó,шӑчӑ
421,Rohr::N,tub,пӑрӑх
422,Haus::N,casa,ҫурт
423,Heim::N,llar,кил
424,Ofen::N,estufa,кӑмака
425,Fußboden::N,terra,урай
426,Tisch::N,taula,сӗтел
427,Stuhl::N,cadira,пукан
428,Wiege::N,bressol,сӑпка
429,Bett::N,llit,кравать
430,Regal::N,prestatgeria,ҫӳлӗк
431,Regal::N,prestatgeria,сентре
432,Kiste::N,caixa,ещӗк
433,Kiste::N,caixa,сунтӑх
434,Fenster::N,finestra,чӳрече
435,Tür::N,porta,алӑк
436,Tor::N,portal,хапха
437,Zaun::N,tanca,хӳме
438,Dach::N,teulada,тӑрӑ
439,Leiter::N,escala,пусма
440,Leiter::N,escala de mà,пусма
441,Besen::N,escombra,шӑпӑр
442,Spaten::N,pala,кӗреҫе
443,Schaufel::N,pala,кӗреҫе
444,Gabel::N,forquilla,вилка
445,Löffel::N,cullera,кашӑк
446,Messer::N,coltell,ҫӗҫӗ
447,Nagel::N,clau,пӑта
448,Netz::N,filat,тетел
449,Haken::N,ganxo,йӑрхах
450,Haken::N,ganxo,ҫекӗл
451,Griff::N,puny,хӑлӑп
452,Griff::N,mànec,хӑлӑп
453,Schloss::N,pany,ҫӑра
454,Bild::N,imatge,сӑн
455,Bild::N,imatge,сӑнлӑх
456,Bild::N,imatge,картина
457,Figur::N,figura,кӗлетке
458,Puppe::N,nina,пукане
459,Beutel::N,bossa,михӗ
460,Bündel::N,feix,ҫыхӑ
461,Bündel::N,feix,тӗрке
462,Bündel::N,paquet,ҫыхӑ
463,Bündel::N,paquet,тӗрке
464,Tasche::N,bossa,сумка
465,Eimer::N,galleda,витре
466,Deckel::N,tapa,хупӑ
467,Deckel::N,tapadora,хупӑ
468,Geschirr::N,vaixella,савӑт-сапа
469,Sack::N,sac,михӗ
470,Sack::N,saca,михӗ
471,Tasse::N,tassa,курка
472,Topf::N,pot,кастрюль
473,Topf::N,olla,кастрюль
474,Kessel::N,caldera,хуран
475,Essen::N,àpat,апат
476,Essen::N,menjada,апат
477,Nahrung::N,aliment,апат-ҫимӗс
478,Speise::N,plat,апат
479,Speise::N,plat,ҫимӗҫ
480,Fleisch::N,carn,аш
481,Fleisch::N,carn,какай
482,Getreide::N,cereals,тырӑ
483,Brei::N,puré,пӑтӑ
484,Brot::N,pa,ҫӑкӑр
485,Scheibe::N,tall,чӗлӗ
486,Scheibe::N,tall,касӑк
487,Scheibe::N,llesca,чӗлӗ
488,Scheibe::N,llesca,касӑк
489,Fett::N,greix,ҫу
490,Butter::N,mantega,ҫу
491,Öl::N,oli,ҫу
492,Salz::N,sal,тӑвар
493,Suppe::N,sopa,яшка
494,Honig::N,mel,пыл
495,Milch::N,llet,сӗт
496,Tee::N,te,чей
497,Leder::N,cuir,сӑран
498,Wolle::N,llana,ҫӑм
499,Stoff::N,tela,тӗртӗм
500,Nadel::N,agulla,йӗп
501,Faden::N,fil,ҫип
502,Knopf::N,botó,тӳме
503,Knoten::N,nus,йӑлӑ
504,Farbe::N,pintura,сӑрӑ
505,Kleidung::N,roba,тум
506,Kleidung::N,roba,ҫипуҫ
507,Kleidung::N,roba,тум-тир
508,Kleidung::N,vestits,тум
509,Kleidung::N,vestits,ҫипуҫ
510,Kleidung::N,vestits,тум-тир
511,Hemd::N,camisa,кӗпе
512,Kragen::N,coll,ҫуха
513,Ärmel::N,màniga,ҫанӑ
514,Hose::N,pantalōns,шӑлавар
515,Gürtel::N,cinturó,пиҫиххи
516,Mütze::N,gorra,ҫӗлӗк
517,Schuh::N,sabata,пушмак
518,Schuh::N,sabata,ботинок
519,Stiefel::N,bota,атӑ
520,Ring::N,anell,ҫӗрӗ
521,Band::N,veta,хаю
522,Band::N,veta,йӗсме
523,Band::N,cinta,хаю
524,Band::N,cinta,йӗсме
525,Kamm::N,pinta,тура
526,Spiegel::N,mirāll,тӗкӗр
527,Spiegel::N,mirāll,куҫ кӗски
528,Riemen::N,corretja,чӗн
529,Schnur::N,corda,кантра
530,Leine::N,corretja,касмӑк
531,Decke::N,manta,утиял
532,Decke::N,flassada,утиял
533,Kissen::N,coixí,ҫытар
534,Kissen::N,coixí,минтер
535,Tuch::N,mocador,тутӑр
536,Handtuch::N,tovallola,ал шӑлли
537,Kraft::N,força,вӑй
538,Kraft::N,força,хӑват
539,Stärke::N,vigor,хал
540,Stärke::N,vigor,хӑват
541,Gesundheit::N,salut,хал
542,Gesundheit::N,salut,сывлӑх
543,Krankheit::N,malaltia,чир
544,Schmerz::N,dolor,ырату
545,Wunde::N,ferida,суран
546,Fieber::N,febre,сив чир
547,Arznei::N,medicament,эмел
548,Brücke::N,pont,кӗпер
549,Brunnen::N,pou,ҫӑл
550,Brunnen::N,pou,пусӑ
551,Weide::N,pastura,ҫаран
552,Pfad::N,senda,йӗр
553,Pfad::N,senda,сукмак
554,Pfad::N,sender,йӗр
555,Pfad::N,sender,сукмак
556,Weg::N,camí,ҫул
557,Weg::N,camí,ҫул-йӗр
558,Straße::N,carretera,ҫӳрев
559,Straße::N,carretera,ҫул ҫӳрени
560,Dorf::N,poble,ял
561,Stadt::N,ciutāt,хула
562,Brief::N,carta,ҫыру
563,Buch::N,llibre,кӗнеке
564,Buchstabe::N,lletra,сас палли
565,Zeitung::N,diāri,хаҫат
566,Leben::N,vida,пурнӑҫ
567,Tod::N,mort,вилӗм
568,Grab::N,tomba,масар шӑтӑкӗ
569,Kirche::N,església,чиркӳ
570,Sünde::N,pecat,ҫылӑх
571,Gott::N,déu,турӑ
572,Arbeiter::N,obrer,рабочи
573,Chef::N,cap,пуҫлӑх
574,Meister::N,mestre,ӑста
575,Meister::N,mestre,мастер
576,Arzt::N,metge,врач
577,Arzt::N,metge,тухтӑр
578,Lehrer::N,mestre,учитель
579,Lehrer::N,mestre,вӗрентекен
580,Geld::N,dinērs,укҫа
581,Geschäft::N,negoci,бизнес
582,Laden::N,tenda,магазин
583,Laden::N,botiga,магазин
584,Preis::N,preu,хак
585,Ware::N,mercaderia,тавар
586,Nutzen::N,profit,пайта
587,Reichtum::N,riquesa,мул
588,Welt::N,món,тӗнче
589,Land::N,país,ҫӗр-шыв
590,Staat::N,estat,патшàлӑх
591,König::N,rei,король
592,Macht::N,poder,власть
593,Macht::N,potència,власть
594,Grenze::N,frontera,чикӗ
595,Krieg::N,guerra,вӑрҫӑ
596,Feind::N,enemic,тӑшман
597,Gewalt::N,violència,ирӗксӗрлӳ
598,Kampf::N,lluita,кӗрешӳ
599,Bogen[Waffe]::N,arc,ухӑ
600,Pfeil::N,fletxa,ҫӗмрен
601,Pfeil::N,fletxa,ухӑ йӗппи
602,Gewehr::N,fusell,пӑшал
603,Gewehr::N,escopeta,пӑшал
604,Fehler::N,falta,йӑнӑш
605,Lüge::N,mentida,суя
606,Lüge::N,mentida,ултав
607,Schaden::N,dany,сиен
608,Unglück::N,desgràcia,шар
609,Unglück::N,desgràcia,инкек
610,Schuld::N,culpa,айӑп
611,Alter::N,edat,ҫул шучӗ
612,Schluss::N,fi,пӗтни
613,Schluss::N,fi,пӗтмӗш
614,Schluss::N,final,пӗтни
615,Schluss::N,final,пӗтмӗш
616,Zeit::N,temps,вӑхӑт
617,Tag::N,dia,кун
618,Morgen::N,matí,ир
619,Mittag::N,migdia,кӑнтӑрла
620,Abend::N,vespre,каҫ
621,Nacht::N,nit,каҫ
622,Woche::N,setmana,эрне
623,Monat::N,mes,уйӑх
624,Jahr::N,any,ҫулталӑк
625,Frühling::N,primavera,ҫур
626,Frühling::N,primavera,ҫуркунне
627,Sommer::N,estīu,ҫу
628,Sommer::N,estīu,ҫулла
629,Herbst::N,tardor,кӗр
630,Herbst::N,tardor,кӗркунне
631,Winter::N,hivērn,хӗл
632,Winter::N,hivērn,хӗлле
633,Januar::N,gener,январь
634,Februar::N,febrer,февраль
635,Februar::N,febrer,кӗҫӗн кӑрлач
636,März::N,març,март
637,März::N,març,пуш уйӑхӗ
638,April::N,abril,апрель
639,Mai::N,maig,май
640,Juni::N,juny,июнь
641,Juli::N,juliol,июль
642,August::N,agost,август
643,September::N,setembre,сентябрь
644,September::N,setembre,авӑн уйӑхӗ
645,Oktober::N,octubre,октябрь
646,November::N,novembre,ноябрь
647,Dezember::N,desembre,раштав
648,Dezember::N,desembre,декабрь
649,Montag::N,dilluns,тунти кун
650,Dienstag::N,dimarts,ытлари кун
651,Mittwoch::N,dimecres,юн кун
652,Donnerstag::N,dijous,кӗҫнерни кун
653,Freitag::N,divendres,эрне кун
654,Samstag::N,dissabte,шӑмат кун
655,Sonntag::N,diumenge,вырсарни кун
656,groß::A,gros,пысӑк
657,klein::A,petīt,пӗчӗк
658,lang::A,llarg,вӑрӑм
659,kurz::A,curt,кӗске
660,breit::A,ample,сарлака
661,schmal::A,estret,ансӑр
662,dicht::A,dens,йӑвӑ
663,dick[Gegenstand]::A,gruixūt,хулӑн
664,dünn::A,prim,ҫинҫе
665,dünn::A,prim,ҫӳхе
666,fein::A,fi,тарай
667,fein::A,fi,вӗлтӗрти
668,fest::A,ferm,тӗреклӗ
669,fest::A,sòlid,тӗреклӗ
670,flach::A,pla,лаптак
671,glatt::A,llis,такӑр
672,hart::A,dur,хытӑ
673,weich::A,tou,ҫемҫе
674,rund::A,rodó,ҫавра
675,spitz::A,punxegut,шӗвӗр
676,scharf::A,agut,ҫивӗч
677,stumpf::A,rom,мӑка
678,stumpf::A,rom,пуклак
679,stumpf::A,rom,тӗрӗнчӗк
680,stumpf::A,rom,ӑнкарусӑр
681,stumpf::A,esmussat,мӑка
682,stumpf::A,esmussat,пуклак
683,stumpf::A,esmussat,тӗрӗнчӗк
684,stumpf::A,esmussat,ӑнкарусӑр
685,schwer::A,pesāt,йывӑр
686,schön::A,bonīc,илемлӗ
687,heiß::A,calēnt,вӗри
688,warm::A,càlid,ӑшӑ
689,kalt::A,fred,сивӗ
690,kühl::A,fresc,уҫӑ
691,frisch::A,fresc,уҫӑ
692,feucht::A,humit,йӗпе
693,nass::A,mullat,нӳрӗ
694,trocken::A,sec,типӗ
695,voll::A,ple,тулли
696,leer::A,buit,пушӑ
697,offen::A,obert,уҫӑ
698,geschlossen::A,tancat,хупӑ
699,sauber::A,net,таса
700,schmutzig::A,brut,пылчӑклӑ
701,schmutzig::A,brut,вараланчӑк
702,roh::A,cru,чӗрӗ
703,reif::A,madur,пулнӑ
704,reif::A,madur,пиҫӗхнӗ
705,reif::A,madur,аталаннӑ
706,reif::A,madur,пиҫсе ҫитнӗ
707,lecker::A,deliciós,тутлӑ
708,lecker::A,deliciós,техӗмлӗ
709,süß::A,dolç,пылак
710,bitter::A,amarg,йӳҫӗ
711,sauer::A,agre,йӳҫӗ
712,sauer::A,agre,йӳҫек
713,sauer::A,agre,кӑвасак
714,hell::A,clar,ҫутӑ
715,dunkel::A,fosc,тӗттӗм
716,schwarz::A,negre,хура
717,weiß::A,blanc,шурӑ
718,rot::A,vermēll,хӗрлӗ
719,gelb::A,groc,сарӑ
720,blau::A,blau,кӑвак
721,grün::A,verd,симӗс
722,grün::A,verd,пиҫмен
723,grün::A,verd,ӑс пухман
724,grau::A,gris,кӑвак
725,bunt::A,multicolor,чӑпар
726,billig::A,barat,йӳнӗ
727,teuer::A,car,хаклӑ
728,wertvoll::A,preciós,паха
729,blind::A,cec,суккӑр
730,taub::A,sord,хӑлхасӑр
731,kräftig::A,fort,хӑватлӑ
732,kräftig::A,vigorós,хӑватлӑ
733,stark::A,fort,вирлӗ
734,schwach::A,feble,халсӑр
735,fett::A,gras,самӑр
736,fett::A,gras,мӑнтӑр
737,schlank::A,esvelt,йӑрӑс
738,schlank::A,esvelt,яштака
739,hübsch::A,maco,хитре
740,böse::A,dolent,усал
741,dumm::A,ximple,ухмах
742,dumm::A,estúpid,ухмах
743,faul::A,gandūl,наян
744,faul::A,gandūl,юлхав
745,faul::A,gandūl,ӳркенчӗк
746,faul::A,mandrós,наян
747,faul::A,mandrós,юлхав
748,faul::A,mandrós,ӳркенчӗк
749,fleißig::A,diligēnt,хастар
