,Concept_ID,mdf,cv
278,Lust::N,таколдома,кӑмӑл
279,Geist::N,вайме,чун-чӗм
280,Geist::N,вайме,ыр-усал
281,Geist::N,вайме,чун хавалӗ
282,Gedanke::N,мяль,шухӑш
283,Gedächtnis::N,прявий,ас
284,Verstand::N,прявий,ӑс
285,Verstand::N,прявий,ӑс-тӑн
286,Verstand::N,прявий,ӑс-хакӑл
287,Sinn::N,ён,тупсӑм
288,Sinn::N,ён,пӗлтерӗш
289,Grund::N,туфта́л,сӑлтав
290,Wahrheit::N,ви́де,чӑнлӑх
291,Wahrheit::N,видеши́,чӑнлӑх
292,Gespräch::N,корхтама,калаҫу
293,Märchen::N,ёфкс,юмах
294,Erzählung::N,азкс,акалав
295,Erzählung::N,азкс,каласа пани
296,Nachricht::N,куля́,хыпар
297,Neuigkeit::N,куля́,ҫӗнӗ хыпар
298,Name::N,лем,ят
299,Rätsel::N,со́дама ёфкс,сутмалли юмах
300,Rede::N,вал,сӑмах
301,Rede::N,корхтама,сӑмах
302,Sprache::N,кяль,чӗлхе
303,Stimme::N,вайгяль,сасӑ
304,Wort::N,вал,сӑмах
305,Zeichen::N,тя́ште,паллӑ
306,Zeichen::N,тя́штькс,паллӑ
307,Ruf::N,тердема,йыхрав
308,Ruf::N,тердема,чӗнӳ
309,Lärm::N,гайф,шав
310,Lärm::N,жалакодома,шав
311,Laut::N,вайгяль,сасӑ
312,Ton::N,вайгяль,сасӑ
313,Lied::N,мора,юрӑ
314,Ruhe::N,сетьме,канӑҫлӑх
315,Ruhe::N,сетьме,лӑпкӑлӑх
316,Leute::N,ломатть,ҫамрӑксем
317,Leute::N,ломатть,ҫамрӑк ҫынсем
318,Volk::N,наро́д,халӑх
319,Arbeit::N,тев,ӗҫхӗл
320,Arbeit::N,тев,ӗҫлев
321,Gast::N,и́нжи,хӑна
322,Gast::N,ко́нак,хӑна
323,Geschenk::N,казне,парне
324,Geschenk::N,казне,кучченеҫ
325,Spiel::N,налхкома,вӑйӑ
326,Spiel::N,налхксема,вӑйӑ
327,Gesellschaft::N,кружок,общество
328,Hilfe::N,лездома,пулӑшу
329,Freund::N,я́лга,тус
330,Kamerad::N,я́лга,юлташ
331,Kamerad::N,я́лга,тус
332,Angelegenheit::N,тев,ӗҫ
333,Anzahl::N,лувкс,йыш
334,Anzahl::N,лувкс,хисеп
335,Art::N,вид,тӗс
336,Stück::N,пакш,татӑк
337,Teil::N,часть,пай
338,Teil::N,пялькс,пай
339,Hälfte::N,пяле,ҫурӑ
340,Kreis::N,шаркс,ункӑ
341,Kreis::N,шаркс,ҫавракӑш
342,Kreuz::N,крёз,хӗрес
343,Linie::N,межа,йӗр
344,Linie::N,китькс,йӗр
345,Strich::N,межа,йӗр
346,Abstand::N,ётка,хушӑ
347,Entfernung::N,ётка,хушӑ
348,Gegend::N,ва́ста,вырӑн
349,Gegend::N,перьфпя́ль,вырӑн
350,Platz::N,ва́ста,хутлӑх
351,Ort::N,ва́ста,вырӑн
352,Seite::N,пяле,ен
353,Seite::N,пяле,аяк
354,Seite::N,пяле,айӑк
355,Mitte::N,кучка́,варӑ
356,Gegenstand::N,веща,япала
357,Sache::N,тев,япала
358,Sache::N,веща,япала
359,Rand::N,пе,вӗҫ
360,Rand::N,пе,хӗрӗ
361,Rand::N,пе,хӗрри
362,Kante::N,и́рдез,хайкача
363,Kante::N,и́рдез,хысак
364,Ecke::N,ужа,кӗтес
365,Spitze::N,пря,вӗҫ
366,Ende::N,пе,вӗҫ
367,Loch::N,варя,шӑтӑк
368,Winkel::N,ужа,кӗтес
369,Muster::N,сёрма,эреш
370,Größe::N,серь,пысӑкӑш
371,Länge::N,кува́лма,вӑрӑмӑш
372,Höhe::N,серь,ҫӳллӗш
373,Gewicht::N,сталма,виҫе
374,Gewicht::N,сталма,йывӑрӑш
375,Menge::N,лувкс,йыш
376,Haufen::N,мар,купа
377,Reihe::N,ряд,рет
378,Boot::N,венеж,кимӗ
379,Ruder::N,миле,кӗсмен
380,Schlitten::N,ну́рда,ҫуна
