,Concept_ID,ml,ku
127,Blatt::N,ഇല,pel
128,Birke::N,പൂവരശ്,dara sipî
129,Kiefer[Baum]::N,പൈൻമരം,dara bî
130,Weide[Baum]::N,വില്ലോ,dara belalûk
131,Tanne::N,ദേവദാരു,merx
132,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,strô
133,Feder::N,തൂവൽ,pîrtîk
134,Fell::N,മൃദുരോമം,heyar
135,Flügel::N,ചിറക്,per
136,Klaue::N,നഖം,napîk
137,Kralle::N,നഖം,dinik
138,Kralle::N,നഖം,dirnax
139,Schwanz::N,വാൽ,dûv
140,Ei::N,മുട്ട,hêk
141,Nest::N,കൂട്,hêlîn
142,Bau::N,മാളം,avahî
143,Tier::N,മൃഗം,heywan
144,Herde::N,കൂട്ടം,hoz
145,Kuh::N,പശു,çêlek
146,Bulle::N,കാള,ga
147,Pferd::N,കുതിര,hesp
148,Schaf::N,ആട്,mîh
149,Schwein::N,പന്നി,beraz
150,Hund::N,നായ്,seh
151,Katze::N,പൂച്ച,pişîk
152,Bär::N,കരടി,hirç
153,Eichhörnchen::N,അണ്ണാൻ,pilûr
154,Elch::N,കടമാന്,pazkovî
155,Fuchs::N,കുറുക്കൻ,rovî
156,Hase::N,മുയൽ,kîroşk
157,Maus::N,ചുണ്ടലി,mişk
158,Wolf::N,ചെന്നായ,gur
159,Vogel::N,പക്ഷി,çûk
160,Schwarm::N,കൂട്ടം,lufik
161,Huhn::N,കോഴി,mirîşk
162,Hahn::N,പൂവൻകോഴി,dîk
163,Gans::N,അരയന്നം,qaz
164,Adler::N,കഴുകൻ,eylo
165,Ente::N,താറാവ്,werdek
166,Eule::N,മൂങ്ങ,bûm
167,Eule::N,മൂങ്ങ,kund
168,Kranich::N,കൊക്ക്,quling
169,Krähe::N,കാക്ക,qijik
170,Kuckuck::N,കുയിൽ,pepûk
171,Schwan::N,അരയന്നം,qû
172,Fisch::N,മത്സ്യം,masî
173,Barsch::N,ഒരിനം മത്സ്യം,okûn
174,Hecht::N,ഒരു മത്സ്യം,mesîyê lûf
175,Schlange[Tier]::N,പാമ്പ്,mar
176,Wurm::N,വിര,kurm
177,Spinne::N,ചിലന്തി,pîrê
178,Ameise::N,ഉറുമ്പ്,mîro
179,Ameise::N,ഉറുമ്പ്,gêrîk
180,Laus::N,പേന്,spi
181,Mücke::N,മശകം,mêş
182,Fliege::N,ഈച്ച,mêş
183,Schmetterling::N,ചിത്രശലഭം,perperîk
184,Beere::N,ബെറി,hirç
185,Apfel::N,ആപ്പിൾ,sêv
186,Pilz::N,കൂൺ,bîrov
187,Zwiebel::N,സവാള,pîvaz
188,Saat::N,വിത്ത്,tov
189,Korn::N,ധാന്യം,dexl
190,Heu::N,വയ്ക്കോൽ,sap
191,Schale::N,തൊലി,qaşik
192,Grube::N,കുഴി,çahl
193,Falle::N,കെണി,dafik
194,Schlinge::N,കുടുക്ക്,dahf
195,Spur::N,ചുവട്,rêç
196,Asche::N,ചാരം,xweli
197,Dreck::N,അഴുക്ക്,gemarî
198,Eisen::N,ഇരുമ്പ്,hesing
199,Gold::N,സ്വർണ്ണം,zêr
200,Silber::N,വെള്ളി,zîv
201,Kohle::N,കൽക്കരി,komir
202,Glas::N,ഗ്ലാസ്,qedeh
203,Lehm::N,കളിമണ്ണ്,kelpîç
204,Sand::N,മണൽ,qûm
205,Mensch::N,മനുഷ്യർ,mirov
206,Mann::N,പുരുഷൻ,mêr
207,Frau::N,സ്ത്രീ,jin
208,Kind::N,കുഞ്ഞ്,zarok
209,Junge::N,ആൺകുട്ടി,kur
210,Mädchen::N,പെൺകുട്ടി,keç
211,Mädchen::N,പെൺകുട്ടി,keçik
212,Familie::N,കുടുംബം,malbat
213,Großvater::N,അപ്പൂപ്പൻ,bapîr
214,Großmutter::N,അമ്മുമ്മ,pîrik
215,Eltern::N,മാതാപിതാക്കള്,bavudê
216,Vater::N,അച്ഛൻ,bav
217,Mutter::N,അമ്മ,dê
218,Mutter::N,അമ്മ,dayik
219,Sohn::N,മകൻ,kur
220,Tochter::N,മകൾ,keç
221,Bruder::N,ചേട്ടൻ,bira
222,Bruder::N,അനിയൻ,bira
223,Schwester::N,ചേച്ചി,xweh
224,Schwester::N,അനിയത്തി,xweh
225,Onkel::N,അമ്മാവൻ,am
226,Onkel::N,അമ്മാവൻ,xal
227,Tante::N,മാമി,metik
228,Tante::N,മാമി,xaltîk
229,Ehemann::N,ഭർത്താവ്,mêr
230,Ehefrau::N,ഭാര്യ,kulfet
231,Freude::N,ആഹ്ലാദം,kêfxweşî
232,Gelächter::N,ചിരിയുടെ ശബ്ദം,pîrqînî
233,Glück::N,സന്തോഷം,bext
234,Glück::N,സന്തുഷ്ടി,bext
235,Kummer::N,ശോകം,derd
236,Wunsch::N,ആഗ്രഹം,daxwaz
237,Wunsch::N,ആഗ്രഹം,xwestek
238,Lust::N,ആഗ്രഹം,şewq
239,Geist::N,ചുറുചുറുക്ക്,aqil
240,Gedanke::N,ചിന്ത,fikir
241,Gedächtnis::N,ഓർമ്മശക്തി,aqil
242,Verstand::N,മനസ്സ്,fêm
243,Sinn::N,അർത്ഥം,aqil
244,Grund::N,കാരണം,asas
245,Wahrheit::N,സത്യം,rastî
246,Gespräch::N,സല്ലാപം,guftûgo
247,Märchen::N,യക്ഷിക്കഥ,çirok
248,Erzählung::N,കഥ,çirok
249,Erzählung::N,കഥ,vegotin
250,Nachricht::N,സന്ദേശം,nûçe
251,Neuigkeit::N,വാർത്ത,hewal
252,Name::N,പേര്,nav
253,Name::N,പേര്,paşnav
254,Rätsel::N,പ്രഹേളിക,tiştonek
255,Rede::N,സംസാരം,gotar
256,Rede::N,സംസാരം,axavtin
257,Sprache::N,ഭാഷ,ziman
258,Stimme::N,സ്വരം,pejn
259,Wort::N,വാക്ക്,gotin
260,Zeichen::N,സംജ്ഞ,şanek
261,Ruf::N,വിളി,hawar
262,Lärm::N,ആരവം,xarbalix
263,Laut::N,ശബ്ദം,deng
264,Laut::N,ശബ്ദം,hês
265,Ton::N,സ്വരഭേദം,awaz
266,Lied::N,പാട്ട്,sitran
267,Ruhe::N,നിശ്ചലത,rihetî
268,Leute::N,ജനങ്ങൾ,xelk
269,Volk::N,രാഷ്ടം,xelk
270,Arbeit::N,ജോലി,xebat
271,Gast::N,അതിലി,mêvan
272,Geschenk::N,സമ്മാനം,diyarî
273,Spiel::N,കളി,lîstik
274,Gesellschaft::N,കൂട്ടായ്മ,komal
275,Hilfe::N,സഹായം,alîkarî
276,Freund::N,സുഹൃത്ത്,heval
277,Kamerad::N,കൂട്ടാളി,heval
278,Angelegenheit::N,കാര്യം,pirsgirêk
279,Anzahl::N,എണ്ണം,çend
280,Art::N,തരം,çeh
281,Stück::N,കഷണം,lib
282,Stück::N,കഷണം,parçe
283,Teil::N,ഭാഗം,parçe
284,Hälfte::N,പകുതി,nîvî
285,Kreis::N,വൃത്തം,çemil
286,Kreuz::N,കുരിശടയാളം,xaç
287,Linie::N,വര,xezik
288,Linie::N,രേഖ,xezik
289,Strich::N,പക്ഷാഘാതം,xezik
290,Abstand::N,വിടവ്,dûrahî
291,Entfernung::N,അകലം,dûrahî
292,Gegend::N,പ്രദേശം,dever
293,Platz::N,ഇടം,çih
294,Ort::N,സ്ഥലം,dever
295,Seite::N,വശം,rûpel
296,Mitte::N,മധ്യസ്ഥാനം,nav
297,Mitte::N,മധ്യസ്ഥാനം,nabênê
298,Gegenstand::N,സാധനം,tişt
299,Sache::N,വസ്തു,tişt
300,Rand::N,തൊങ്ങൽ,kevî
301,Kante::N,അറ്റം,kevî
302,Ecke::N,മൂല,qunç
303,Spitze::N,അഗ്രം,derzî
304,Ende::N,അവസാനം,talî
305,Loch::N,ദ്വാരം,qul
306,Winkel::N,കോൺ,kurnîşk
307,Muster::N,ക്രമം,desen
308,Größe::N,വലുപ്പം,mezinî
309,Länge::N,നീളം,dirêjahî
310,Höhe::N,ഉയരം,bilindayî
311,Gewicht::N,കട്ടി,giranî
312,Menge::N,അളവ്,qas
313,Haufen::N,കൂമ്പാരം,lod
314,Reihe::N,വരി,rêz
315,Boot::N,ബോട്ട്,kelek
316,Ruder::N,പങ്കായം,bêrik
317,Schlitten::N,ഉരുളില്ലാവണ്ടി,xîjik
318,Ski::N,ഹിമപാദുകം,lakan
319,Lagerfeuer::N,തീ,agir
320,Last::N,ഭാരം,bar
321,Gang::N,നടത്തം,fîtêz
322,Schritt::N,ചുവട്,gav
323,Norden::N,വടക്ക്,bakur
324,Süden::N,തെക്ക്,başur
325,Westen::N,പടിഞ്ഞാറ്,rojava
326,Osten::N,കിഴക്ക്,rojhilat
327,Holz::N,തടി,dep
328,Brett::N,ബോർഡ്,dep
329,Platte::N,തകിട്,dep
330,Stütze::N,താങ്ങ്,destek
331,Stange::N,കമ്പ്,sing
332,Stock::N,വടി,çam
333,Stab::N,കുറുവടി,qat
334,Rohr::N,കുഴൽ,borî
335,Haus::N,വീട്,mal
336,Haus::N,വീട്,xanî
337,Heim::N,വീട്,mal
338,Ofen::N,സ്റ്റൌ,sobe
339,Fußboden::N,തറ,binpê
340,Tisch::N,മേശ,mase
341,Stuhl::N,കസേര,kursî
342,Wiege::N,തൊട്ടിൽ,derguş
343,Bett::N,കിടക്ക,qerewêle
344,Regal::N,ഷെൽഫ്,rêbaz
345,Kiste::N,പെട്ടി,sindoq
346,Fenster::N,ജനൽ,çam
347,Fenster::N,ജനൽ,şibeke
348,Tür::N,വാതിൽ,derî
349,Tor::N,കവാടം,derge
350,Zaun::N,വേലി,hejik
351,Dach::N,മേൽക്കുര,sere xanî
352,Leiter::N,ഏണി,pêling
353,Besen::N,ചൂല്,melkes
354,Spaten::N,തൂമ്പ,mer
355,Schaufel::N,തൂമ്പ,bêr
356,Gabel::N,മുൾക്കത്തി,çetel
357,Löffel::N,സ്പൂൺ,kevçî
358,Messer::N,കത്തി,kêr
359,Nagel::N,ആണി,bizmar
360,Netz::N,വല,tor
361,Haken::N,കൊളുത്ത്,çenqel
362,Griff::N,കൈപ്പിടി,destî
363,Schloss::N,പൂട്ട്,qonax
364,Bild::N,ചിത്രം,dimen
365,Figur::N,കണക്ക്,figûr
366,Puppe::N,പാവ,bûk
367,Beutel::N,ബാഗ്,kîsik
368,Bündel::N,കെട്ട്,pêçek
369,Tasche::N,ബാഗ്,bêrîk
370,Eimer::N,ബക്കറ്റ്,dewl
371,Deckel::N,ഉറ,devik
372,Geschirr::N,പിഞ്ഞാണം,ferax
373,Sack::N,ചാക്ക്,tûr
374,Tasse::N,കപ്പ്,kada
375,Topf::N,പാത്രം,beroş
376,Kessel::N,കെറ്റ്ല്,şîril
377,Essen::N,ആഹാരസമയം,xwarin
378,Nahrung::N,ഭക്ഷണം,xwarin
379,Speise::N,ഡിഷ്,xwarin
380,Fleisch::N,മാംസം,goşt
381,Getreide::N,ചോളം,zad
382,Brei::N,കഞ്ഞി,hewdêl
383,Brot::N,റോട്ടി,
384,Scheibe::N,തുണ്ട്,parçe
385,Fett::N,കൊഴുപ്പ്,rûn
386,Butter::N,വെണ്ണ,rûn
387,Öl::N,എണ്ണ,rûn
388,Salz::N,ഉപ്പ്,xwe
389,Suppe::N,സൂപ്പ്,şorbe
390,Honig::N,തേൻ,hingiv
391,Milch::N,പാൽ,şîr
392,Tee::N,ചായ,çay
393,Leder::N,തുകൽ,çerm
394,Wolle::N,കമ്പിളി,herî
395,Stoff::N,തുണി,paç
396,Nadel::N,സൂചി,derzî
397,Faden::N,നൂല്,ta
398,Knopf::N,ബട്ടൺ,bişkok
399,Knoten::N,കുരുക്ക്,girêk
400,Farbe::N,പെയിൻറ്,boyax
401,Kleidung::N,വസ്ത്രങ്ങൾ,çil
402,Hemd::N,ഷർട്ട്,qutik
403,Hemd::N,ഷർട്ട്,miltan
404,Kragen::N,കുപ്പായക്കഴുത്ത്,stûvang
405,Ärmel::N,കുപ്പായക്കൈ,hûçik
406,Hose::N,ട്രൌസർ,şewel
407,Gürtel::N,ബെൽറ്റ്,qayiş
408,Mütze::N,തൊപ്പി,fîno
409,Schuh::N,ഷൂ,şêkal
410,Stiefel::N,ബൂട്ട്,gizme
411,Stiefel::N,ബൂട്ട്,çizme
412,Ring::N,മോതിരം,xelek
413,Band::N,റിബൺ,band
414,Kamm::N,ചീപ്പ്,şeh
415,Spiegel::N,കണ്ണാടി,eynik
416,Riemen::N,സ്ട്രാപ്പ്,qayiş
417,Schnur::N,ചരട്,doxin
418,Leine::N,കെട്ടാനുള്ള തോൽവാർ,şirît
419,Decke::N,പുതപ്പ്,bataniye
420,Kissen::N,തലയിണ,balgî
421,Tuch::N,സ്കാർഫ്,şar
422,Handtuch::N,തോർത്ത്,dezmal
423,Kraft::N,ശക്തി,hêz
424,Kraft::N,ശക്തി,qewet
425,Stärke::N,ശക്തി,xurtî
426,Gesundheit::N,ആരോഗ്യം,nojdarî
427,Krankheit::N,അസുഖം,nexweşî
428,Schmerz::N,വേദന,êş
429,Wunde::N,മുറിവ്,kul
430,Fieber::N,പനി,ta
431,Arznei::N,മരുന്ന്,derman
432,Brücke::N,പാലം,kopî
433,Brunnen::N,കിണർ,çal
434,Brunnen::N,കിണർ,kani
435,Weide::N,മേച്ചൽ,beyar
436,Pfad::N,വഴി,xaçirek
437,Weg::N,വഴി,rê
438,Straße::N,റോഡ്,rê
439,Dorf::N,ഗ്രാമം,gund
440,Stadt::N,നഗരം,baçar
441,Brief::N,കത്ത്,name
442,Buch::N,പുസ്തകം,kitêb
443,Buch::N,പുസ്തകം,pirtûk
444,Buchstabe::N,അക്ഷരം,herf
445,Zeitung::N,വർത്തമാനപത്രം,rojname
446,Leben::N,ജീവൻ,jiyan
447,Tod::N,മരണം,mirin
448,Grab::N,ശവക്കുഴി,mezel
449,Kirche::N,പള്ളി,gilyas
450,Sünde::N,പാപം,guneh
451,Gott::N,ദൈവം,xwedê
452,Arbeiter::N,ജോലിക്കാരൻ,hîşçî
453,Chef::N,മേധാവി,bêg
454,Meister::N,യജമാനൻ,hoste
455,Arzt::N,ഡോക്ടർ,doktor
456,Lehrer::N,അധ്യാപകൻ,mamoste
457,Geld::N,പണം,pere
458,Geschäft::N,ബിസിനസ്,firoşgeh
459,Laden::N,കട,dikan
460,Preis::N,വില,buha
461,Ware::N,ചരക്ക്,tişt
462,Nutzen::N,ലാഭം,fêde
463,Reichtum::N,ധനം,serwet
464,Welt::N,ലോകം,dinya
465,Land::N,രാജ്യം,welat
466,Staat::N,രാജ്യം,dewlet
467,König::N,രാജാവ്,şah
468,König::N,രാജാവ്,qral
469,Macht::N,അധികാരം,qewet
470,Macht::N,അധികാരം,destihilat
471,Grenze::N,അതിർത്തി,kevî
472,Krieg::N,യുദ്ധം,çeng
473,Krieg::N,യുദ്ധം,sêwaş
474,Feind::N,ശത്രു,dijmin
475,Gewalt::N,അക്രമം,zor
476,Kampf::N,പോരാട്ടം,şer
477,Bogen[Waffe]::N,വില്ല്,kêvan
478,Pfeil::N,അമ്പ്,çîrik
479,Gewehr::N,തോക്ക്,tifing
480,Fehler::N,പിശക്,şaşî
481,Lüge::N,കള്ളം,derew
482,Schaden::N,കേടുപാട്,xisar
483,Unglück::N,ദൌർഭാഗ്യം,bêbextî
484,Schuld::N,തെറ്റ്,suç
485,Alter::N,വയസ്സ്,temen
486,Schluss::N,നിഗമനം,girtin
487,Zeit::N,സമയം,çax
488,Tag::N,ദിവസം,roj
489,Morgen::N,പ്രഭാതം,sibeh
490,Mittag::N,ഉച്ച,nîro
491,Abend::N,സായാഹ്നം,êvar
492,Nacht::N,രാത്രി,şev
493,Woche::N,ആഴ്ച,heftî
494,Monat::N,മാസം,meh
495,Jahr::N,വർഷം,sal
496,Frühling::N,വസന്തം,bihar
497,Sommer::N,വേനൽ,havîn
498,Herbst::N,ശരത്കാലം,payîz
499,Winter::N,ശൈത്യം,zistan
500,Januar::N,ജനുവരി,çile
501,Februar::N,ഫെബ്രുവരി,sibat
502,März::N,മാർച്ച്,adar
503,April::N,ഏപ്രിൾ മാസം,nîsan
504,Mai::N,മെയ് മാസം,gûlan
505,Juni::N,ജൂൺ,hezîran
506,Juli::N,ജൂലൈ,tîmeh
507,August::N,ആഗസ്റ്റ്,tebax
508,September::N,സെപ്തംബർ,îlon
509,Oktober::N,ഒക്ടോബർ,çotmeh
510,November::N,നവംബർ,mijdar
511,Dezember::N,ഡിസംബർ,kanûn
512,Montag::N,തിങ്കളാഴ്ച,duşemb
513,Dienstag::N,ചൊവ്വ,sêşem
514,Mittwoch::N,ബുധനാഴ്ച,çarşemb
515,Donnerstag::N,വ്യാഴാഴ്ച,pêşemb
516,Freitag::N,വെള്ളിയാഴ്ച,în
517,Samstag::N,ശനിയാഴ്ച,şemî
518,Sonntag::N,ഞായറാഴ്ച,yekşemb
519,groß::A,വലിയ,mezin
520,klein::A,ചെറിയ,çûçik
521,lang::A,നീണ്ട,dirêj
522,kurz::A,ഹ്രസ്വമായ,kin
523,breit::A,വിശാലമായ,fireh
524,schmal::A,ഇടുങ്ങിയ,tenik
525,dicht::A,നിബിഡമായ,gir
526,dick[Gegenstand]::A,തടിച്ച,şîşman
527,dünn::A,മെലിഞ്ഞ,zirav
528,fein::A,നേർത്ത,tenik
529,fest::A,ഉറപ്പുള്ള,saxlem
530,flach::A,പരന്ന,pahn
531,glatt::A,മിനുസമുള്ള,dûz
532,glatt::A,മിനുസമുള്ള,şayîk
533,hart::A,കട്ടിയുള്ള,hişk
534,weich::A,മൃദുവായ,nerm
535,rund::A,വട്ടത്തിലുള്ള,gilover
536,spitz::A,മുനയുള്ള,pîj
537,scharf::A,മൂർച്ചയുള്ള,tûj
538,stumpf::A,തുറന്നടിക്കുന്ന,ne tûj
539,schwer::A,ഭാരമുള്ള,giran
540,schön::A,മനോഹരമായ,xweş
541,schön::A,മനോഹരമായ,xweşik
542,heiß::A,ചൂടുള്ള,kelandî
543,warm::A,ചൂടുള്ള,germ
544,kalt::A,തണുത്ത,sar
545,kühl::A,തണുപ്പുള്ള,jemîrî
546,frisch::A,ശുദ്ധമായ,ter
547,feucht::A,ഈറനുള്ള,şil
548,nass::A,നനഞ്ഞ,şilek
549,trocken::A,വരണ്ട,zuwa
550,voll::A,നിറയെ,tijî
551,leer::A,ഒഴിഞ്ഞ,vala
552,offen::A,തുറന്ന,vekirî
553,geschlossen::A,അടച്ച,asê
554,sauber::A,വൃത്തിയുള്ള,pakij
555,schmutzig::A,അഴുക്കുനിറഞ്ഞ,lewitî
556,roh::A,അസംസ്കൃതമായ,xav
557,reif::A,പഴുത്ത,gihaştî
558,lecker::A,രുചികരമായ,xweş
559,süß::A,മധുരമുള്ള,şîrîn
560,bitter::A,കടുത്ത,tahl
561,sauer::A,പുളിപ്പുള്ള,tirş
562,hell::A,ജ്വലിക്കുന്ന,ronî
563,dunkel::A,ഇരുണ്ട,tarî
564,schwarz::A,കറുത്ത,reş
565,weiß::A,വെളുത്ത,sipî
566,rot::A,ചുവന്ന,sor
567,gelb::A,മഞ്ഞനിറമായ,zer
568,blau::A,നീലനിറമുള്ള,şîn
569,grün::A,പച്ചനിറമുള്ള,şîn
570,grau::A,ചാരനിറത്തിലുള്ള,gewr
571,bunt::A,വർണ്ണശബളമായ,rengîn
572,billig::A,വിലകുറഞ്ഞ,erzan
573,teuer::A,ചെലവേറിയ,biha
574,wertvoll::A,വിലപിടിപ്പുള്ള,hêja
575,wertvoll::A,വിലപിടിപ്പുള്ള,giranbiha
576,blind::A,അന്ധനായ,kor
577,taub::A,കേൾവിക്കുറവുള്ള,kerr
578,kräftig::A,ശക്തിയുള്ള,gir
579,kräftig::A,ശക്തിയുള്ള,xurt
580,stark::A,ബലമുള്ള,xurt
581,schwach::A,ക്ഷീണിച്ച,kesad
582,fett::A,കൊഴുപ്പുള്ള,qelew
583,schlank::A,മെലിഞ്ഞ,zirav
584,hübsch::A,മനോഹരമായ,xweşik
585,böse::A,പാപിയായ,xerab
586,böse::A,പാപിയായ,aciz
587,dumm::A,വിവരംകെട്ട,gêj
588,faul::A,അലസനായ,têmbêl
589,fleißig::A,അദ്ധ്വാനശീലമുള്ള,jêhatî
590,geizig::A,പിശുക്കനായ,destgirtî
591,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,baqil
592,geschickt::A,പ്രതിഭാശാലി,zîrek
593,geschickt::A,പ്രതിഭാശാലി,ziring
594,lieb::A,പ്രിയപ്പെട്ട,delal
595,lustig::A,ആനന്ദകരമായ,kêfxweş
596,sanft::A,സൌമ്യമായ,nazenîn
597,hungrig::A,വിശപ്പുള്ള,birçî
598,krank::A,അസുഖമുള്ള,nexweş
599,nackt::A,നഡമായ,rût
600,nackt::A,നഡമായ,tazî
601,traurig::A,വിഷമമുള്ള,xemgîn
602,lebendig::A,ഉപജീവനം,bisaxî
603,gut::A,നല്ല,baş
604,schlecht::A,മോശമായ,xerab
605,richtig::A,ശരിയായ,rast
606,richtig::A,ശരിയായ,saxlem
607,schlimm::A,വൃത്തികെട്ട,nebaş
608,wahr::A,ശരിയായ,rast
609,alt::A,പഴയ,pîr
610,alt::A,പഴയ,kevn
611,neu::A,പുതിയ,nû
612,ehemalig::A,മുൻ,kevnar
613,ehemalig::A,മുൻ,peşidar
614,alt[Lebewesen]::A,വയസ്സുള്ള,pîr
615,jung::A,കൌമാരമായ,xort
616,arm::A,പാവപ്പെട്ട,feqîr
617,arm::A,പാവപ്പെട്ട,desteng
618,reich::A,സമ്പന്നമായ,dewlemend
619,bekannt::A,പരിചിതമായ,naskirî
620,berühmt::A,പ്രശസ്തനായ,navdar
621,fremd::A,വൈദേശികമായ,xerîb
622,verschieden::A,വ്യത്യസ്തമായ,çîhê
623,nah::A,അരികത്തുള്ള,nêzîk
624,fern::A,അകലെയുള്ള,dûr
625,linker::A,അവശേഷിച്ച,çepê
626,rechter::A,വലത്തേ,rastê
627,anderer::A,മറ്റുള്ള,yê din
628,erster::A,ആദ്യത്തെ,yekemîn
629,zweiter::A,രണ്ടാം,duda
630,dritter::A,മൂന്നാമത്,sisêya
631,letzter::A,അവസാനത്തെ,paşîn
632,allein::ADV,തനിച്ചുള്ള,tenê
633,auf einmal::ADV,ഉടന്,jar kê
634,zusammen::ADV,ഒരുമിച്ച,tev
635,zusammen::ADV,ഒരുമിച്ച,bi hev re
636,lange::ADV,നീണ്ട_കാലത്തേയ്ക്ക്,dirêj
637,plötzlich::ADV,പെട്ടെന്ന്,ji nişkave
638,sofort::ADV,തത്ക്ഷണം,yekser
