,Concept_ID,et,uk
154,Schaf::N,lammas,вівця
155,Schwein::N,siga,свиня
156,Hund::N,koer,собака
157,Katze::N,kass,кішка
158,Bär::N,karu,ведмідь
159,Eichhörnchen::N,orav,білка
160,Elch::N,põder,лось
161,Fuchs::N,rebane,лисиця
162,Hase::N,jänes,заєць
163,Maus::N,hiir,миша
164,Wolf::N,hunt,вовк
165,Vogel::N,lind,птах
166,Schwarm::N,parv,зграя
167,Huhn::N,kana,курка
168,Hahn::N,kukk,півень
169,Gans::N,hani,гуска
170,Adler::N,kotkas,орел
171,Ente::N,part,качка
172,Eule::N,kakk,сова
173,Eule::N,öökull,сова
174,Kranich::N,kurg,журавель
175,Krähe::N,vares,ворона
176,Kuckuck::N,kägu,зозуля
177,Schwan::N,luik,лебідь
178,Fisch::N,kala,риба
179,Barsch::N,ahven,окунь
180,Hecht::N,haug,щука
181,Schlange[Tier]::N,uss,змія
182,Wurm::N,uss,черв’як
183,Wurm::N,vagel,черв’як
184,Spinne::N,ämblik,павук
185,Ameise::N,sipelgas,мурашка
186,Laus::N,täi,воша
187,Mücke::N,sääsk,комар
188,Fliege::N,kärbes,муха
189,Schmetterling::N,liblikas,метелик
190,Beere::N,mari,ягода
191,Apfel::N,õun,яблуко
192,Pilz::N,seen,гриб
193,Zwiebel::N,sibul,цибуля
194,Saat::N,seeme,сім’я
195,Korn::N,iva,зерно
196,Korn::N,tera,зерно
197,Heu::N,hein,сіно
198,Schale::N,koor,шкірка
199,Grube::N,kaevand,яма
200,Falle::N,lõks,пастка
201,Falle::N,püünis,пастка
202,Schlinge::N,aas,петля
203,Spur::N,jälg,слід
204,Asche::N,tuhk,зола
205,Asche::N,tuhk,попіл
206,Dreck::N,saast,бруд
207,Dreck::N,mustus,бруд
208,Eisen::N,raud,залізо
209,Gold::N,kuld,золото
210,Silber::N,hõbe,срібло
211,Kohle::N,süsi,вугілля
212,Glas::N,klaas,скло
213,Lehm::N,savi,глина
214,Sand::N,liiv,пісок
215,Mensch::N,inimene,людина
216,Mann::N,mees,чоловік
217,Frau::N,naine,жінка
218,Kind::N,laps,дитина
219,Junge::N,poiss,хлопець
220,Mädchen::N,tüdruk,дівчина
221,Familie::N,perekond,сім’я
222,Familie::N,perekond,родина
223,Großvater::N,vanaisa,дідусь
224,Großmutter::N,vanaema,бабуся
225,Eltern::N,vanemad,батьки
226,Vater::N,isa,батько
227,Mutter::N,ema,мати
228,Sohn::N,poeg,син
229,Tochter::N,tütar,дочка
230,Bruder::N,vend,брат
231,Schwester::N,õde,сестра
232,Onkel::N,onu,дядько
233,Tante::N,tädi,тітка
234,Ehemann::N,mees,чоловік
235,Ehemann::N,abikaasa,чоловік
236,Ehefrau::N,naine,жінка
237,Ehefrau::N,naine,дружина
238,Ehefrau::N,abikaasa,жінка
239,Ehefrau::N,abikaasa,дружина
240,Freude::N,rõõm,радощі
241,Gelächter::N,naer,сміх
242,Glück::N,õnn,щастя
243,Kummer::N,mure,горе
244,Kummer::N,kurbus,горе
245,Wunsch::N,soov,бажання
246,Lust::N,himu,бажання
247,Geist::N,vaim,дух
248,Gedanke::N,mõte,думка
249,Gedächtnis::N,mälu,пам’ять
250,Verstand::N,aru,розум
251,Verstand::N,mõistus,розум
252,Sinn::N,tähendus,зміст
253,Sinn::N,tähendus,значення
254,Grund::N,põhjus,причина
255,Wahrheit::N,tõde,правда
256,Gespräch::N,kõne,розмова
257,Gespräch::N,vestlus,розмова
258,Märchen::N,muinasjutt,байка
259,Erzählung::N,jutustus,повість
260,Erzählung::N,jutustus,оповідання
261,Nachricht::N,teade,повідомлення
262,Neuigkeit::N,uudis,новина
263,Name::N,nimi,ім’я
264,Rätsel::N,mõistatus,загадка
265,Rede::N,kõne,промова
266,Sprache::N,keel,мова
267,Stimme::N,hääl,голос
268,Wort::N,sõna,слово
269,Zeichen::N,märk,знак
270,Ruf::N,hüüe,оклик
271,Lärm::N,müra,шум
272,Laut::N,hääl,звук
273,Ton::N,toon,тон
274,Lied::N,laul,пісня
275,Ruhe::N,rahu,спокій
276,Ruhe::N,vaikus,спокій
277,Leute::N,inimesed,люди
278,Volk::N,rahvas,народ
279,Arbeit::N,töö,робота
280,Gast::N,külaline,гість
281,Geschenk::N,kingitus,подарунок
282,Spiel::N,mäng,гра
283,Gesellschaft::N,selts,товариство
284,Hilfe::N,abi,допомога
285,Freund::N,sõber,друг
286,Freund::N,sõber,приятель
287,Kamerad::N,sõber,товариш
288,Angelegenheit::N,asi,справа
289,Anzahl::N,arv,число
290,Anzahl::N,hulk,число
291,Art::N,liik,рід
292,Stück::N,tükk,кусок
293,Teil::N,osa,частина
294,Hälfte::N,pool,половина
295,Kreis::N,ring,круг
296,Kreis::N,ring,коло
297,Kreuz::N,rist,хрест
298,Linie::N,joon,лінія
299,Strich::N,joon,штрих
300,Abstand::N,vahe,проміжок
301,Entfernung::N,kaugus,відстань
302,Entfernung::N,vahemaa,відстань
303,Gegend::N,ümbrus,місцевість
304,Platz::N,ruum,площа
305,Ort::N,paik,місце
306,Seite::N,pool,сторона
307,Mitte::N,keskpaik,середина
308,Gegenstand::N,ese,предмет
309,Sache::N,ese,річ
310,Rand::N,äär,край
311,Rand::N,serv,край
312,Kante::N,kant,ребро
313,Ecke::N,nurk,ріг
314,Spitze::N,teravik,кінчик
315,Ende::N,ots,кінець
316,Ende::N,jupp,кінець
317,Loch::N,auk,діра
318,Winkel::N,nurk,куток
319,Muster::N,muster,узор
320,Größe::N,suurus,розмір
321,Länge::N,pikkus,довжина
322,Höhe::N,kõrgus,висота
323,Gewicht::N,kaal,вага
324,Gewicht::N,raskus,вага
325,Menge::N,arv,кількість
326,Menge::N,hulk,кількість
327,Haufen::N,hunnik,купа
328,Reihe::N,rivi,ряд
329,Boot::N,paat,човен
330,Ruder::N,aer,весло
331,Schlitten::N,saan,сани
332,Ski::N,suusk,лижа
333,Lagerfeuer::N,lõke,вогнище
334,Last::N,koorem,тягар
335,Last::N,koorem,вантаж
336,Gang::N,käik,хід
337,Schritt::N,samm,крок
338,Norden::N,põhi,північ
339,Süden::N,lõuna,південь
340,Westen::N,lääs,захід
341,Osten::N,ida,схід
342,Holz::N,puu,дрова
343,Brett::N,saelaud,дошка
344,Platte::N,plaat,плита
345,Stütze::N,tugi,підпірка
346,Stange::N,latt,жердина
347,Stange::N,teivas,жердина
348,Stock::N,kepp,палиця
349,Stab::N,varras,палиця
350,Rohr::N,toru,труба
351,Haus::N,maja,дім
352,Haus::N,maja,хата
353,Heim::N,kodu,житло
354,Ofen::N,ahi,піч
355,Fußboden::N,põrand,підлога
356,Tisch::N,laud,стіл
357,Stuhl::N,tool,стілець
358,Wiege::N,häll,колиска
359,Wiege::N,kätki,колиска
360,Bett::N,voodi,ліжко
361,Bett::N,voodi,постіль
362,Regal::N,riiul,полиця
363,Kiste::N,kast,ящик
364,Fenster::N,aken,вікно
365,Tür::N,uks,двері
366,Tor::N,värav,ворота
367,Zaun::N,aed,паркан
368,Zaun::N,aed,огорожа
369,Zaun::N,tara,паркан
370,Zaun::N,tara,огорожа
371,Dach::N,katus,дах
372,Leiter::N,redel,драбина
373,Besen::N,luud,мітла
374,Spaten::N,labidas,заступ
375,Schaufel::N,kühvel,совок
376,Schaufel::N,kühvel,лопата
377,Gabel::N,kahvel,виделка
378,Löffel::N,lusikas,ложка
379,Messer::N,nuga,ніж
380,Nagel::N,nael,цвях
381,Netz::N,võrk,сіть
382,Haken::N,haak,крюк
383,Haken::N,konks,крюк
384,Griff::N,sang,ручка
385,Griff::N,sang,держак
386,Griff::N,käepide,ручка
387,Griff::N,käepide,держак
388,Schloss::N,lukk,замок
389,Bild::N,pilt,картина
390,Figur::N,kuju,фігура
391,Figur::N,kujund,фігура
392,Puppe::N,nukk,лялька
393,Beutel::N,paun,мішечок
394,Beutel::N,paun,торбинка
395,Bündel::N,kimp,в’язка
396,Tasche::N,kott,сумка
397,Eimer::N,pang,відро
398,Eimer::N,ämber,відро
399,Deckel::N,kaas,кришка
400,Geschirr::N,nõud,посуд
401,Sack::N,kott,мішок
402,Tasse::N,tass,чашка
403,Topf::N,pada,горщик
404,Kessel::N,pada,котел
405,Essen::N,söök,їжа
406,Nahrung::N,toit,харч
407,Speise::N,roog,страва
408,Fleisch::N,liha,м’ясо
409,Getreide::N,teravili,хліб
410,Getreide::N,teravili,збіжжя
411,Brei::N,puder,каша
412,Brot::N,sai,хліб
413,Brot::N,leib,хліб
414,Scheibe::N,viil,скибочка
415,Scheibe::N,viilukas,скибочка
416,Fett::N,rasv,жир
417,Butter::N,või,масло
418,Öl::N,õli,олія
419,Salz::N,sool,сіль
420,Suppe::N,supp,суп
421,Honig::N,mesi,мед
422,Milch::N,piim,молоко
423,Tee::N,tee,чай
424,Leder::N,nahk,шкіра
425,Wolle::N,vill,шерсть
426,Stoff::N,kangas,тканина
427,Nadel::N,nõel,голка
428,Faden::N,niit,нитка
429,Knopf::N,nööp,ґудзик
430,Knoten::N,sõlm,вузол
431,Farbe::N,värv,фарба
432,Kleidung::N,riided,одяг
433,Kleidung::N,riided,убрання
434,Kleidung::N,riietus,одяг
435,Kleidung::N,riietus,убрання
436,Hemd::N,särk,сорочка
437,Kragen::N,krae,комір
438,Ärmel::N,varrukas,рукав
439,Hose::N,püksid,брюки
440,Gürtel::N,vöö,пояс
441,Mütze::N,müts,шапка
442,Schuh::N,king,ботинок
443,Stiefel::N,saabas,чобіт
444,Ring::N,sõrmus,кільце
445,Band::N,lint,стрічка
446,Kamm::N,kamm,гребінець
447,Spiegel::N,peegel,дзеркало
448,Riemen::N,rihm,ремінь
449,Schnur::N,nöör,вірьовка
450,Leine::N,jalutusrihm,шворка
451,Decke::N,tekk,ковдра
452,Kissen::N,padi,подушка
453,Tuch::N,kalev,хустка
454,Handtuch::N,käterätik,рушник
455,Kraft::N,jõud,сила
456,Stärke::N,tugevus,сила
457,Gesundheit::N,tervis,здоров’я
458,Krankheit::N,haigus,хвороба
459,Schmerz::N,valu,біль
460,Wunde::N,haav,рана
461,Fieber::N,palavik,гарячка
462,Arznei::N,ravim,ліки
463,Brücke::N,sild,міст
464,Brunnen::N,kaev,колодязь
465,Weide::N,karjamaa,пасовище
466,Pfad::N,rada,стежка
467,Weg::N,tee,шлях
468,Weg::N,tee,дорога
469,Straße::N,tee,вулиця
470,Dorf::N,küla,село
471,Stadt::N,linn,місто
472,Brief::N,kiri,лист
473,Buch::N,raamat,книга
474,Buch::N,raamat,книжка
475,Buchstabe::N,täht,буква
476,Buchstabe::N,täht,літера
477,Zeitung::N,ajaleht,газета
478,Leben::N,elu,життя
479,Tod::N,surm,смерть
480,Grab::N,haud,могила
481,Kirche::N,kirik,церква
482,Sünde::N,patt,гріх
483,Gott::N,jumal,бог
484,Arbeiter::N,tööline,робітник
485,Chef::N,ülemus,хазяїн
486,Chef::N,juhataja,хазяїн
487,Meister::N,meister,умілець
488,Arzt::N,arst,лікар
489,Lehrer::N,õpetaja,вчитель
490,Geld::N,raha,гроші
491,Geschäft::N,äri,заняття
492,Laden::N,pood,магазин
493,Laden::N,pood,крамниця
494,Laden::N,kauplus,магазин
495,Laden::N,kauplus,крамниця
496,Preis::N,hind,ціна
497,Ware::N,kaup,товар
498,Nutzen::N,tulu,вигода
499,Nutzen::N,tulu,користь
500,Nutzen::N,kasulikkus,вигода
501,Nutzen::N,kasulikkus,користь
502,Reichtum::N,rikkus,багатство
503,Welt::N,maailm,світ
504,Land::N,maa,країна
505,Staat::N,riik,держава
506,König::N,kuningas,король
507,Macht::N,võim,влада
508,Grenze::N,piir,кордон
509,Krieg::N,sõda,війна
510,Feind::N,vaenlane,ворог
511,Gewalt::N,väevõim,насильство
512,Kampf::N,võitlus,бій
513,Kampf::N,võitlus,боротьба
514,Bogen[Waffe]::N,vibu,лук
515,Pfeil::N,nool,стріла
516,Gewehr::N,püss,рушниця
517,Gewehr::N,püss,гвинтівка
518,Fehler::N,viga,помилка
519,Lüge::N,vale,брехня
520,Schaden::N,kahju,шкода
521,Schaden::N,kahju,збиток
522,Unglück::N,häda,нещастя
523,Unglück::N,õnnetus,нещастя
524,Schuld::N,süü,провина
525,Alter::N,iga,вік
526,Alter::N,iga,літа
527,Schluss::N,lõpp,кінець
528,Zeit::N,aeg,час
529,Tag::N,päev,день
530,Morgen::N,hommik,ранок
531,Mittag::N,lõuna,південь
532,Mittag::N,keskpäev,південь
533,Abend::N,õhtu,вечір
534,Nacht::N,öö,ніч
535,Woche::N,nädal,тиждень
536,Monat::N,kuu,місяць
537,Jahr::N,aasta,рік
538,Frühling::N,kevad,весна
539,Sommer::N,suvi,літо
540,Herbst::N,sügis,осінь
541,Winter::N,talv,зима
542,Januar::N,jaanuar,січень
543,Februar::N,veebruar,лютий
544,März::N,märts,березень
545,April::N,aprill,квітень
546,Mai::N,mai,травень
547,Juni::N,juuni,червень
548,Juli::N,juuli,липень
549,August::N,august,серпень
550,September::N,september,вересень
551,Oktober::N,oktoober,жовтень
552,November::N,november,листопад
553,Dezember::N,detsember,грудень
554,Montag::N,esmaspäev,понеділок
555,Dienstag::N,teisipäev,вівторок
556,Mittwoch::N,kesknädal,середа
557,Donnerstag::N,neljapäev,четвер
558,Freitag::N,reede,п’ятниця
559,Samstag::N,laupäev,субота
560,Sonntag::N,pühapäev,неділя
561,groß::A,suur,великий
562,klein::A,väike,малий
563,klein::A,väike,маленький
564,klein::A,pisike,малий
565,klein::A,pisike,маленький
566,lang::A,pikk,довгий
567,kurz::A,lühike,короткий
568,breit::A,lai,широкий
569,schmal::A,kitsas,вузький
570,dicht::A,tihe,густий
571,dick[Gegenstand]::A,jäme,товстий
572,dünn::A,õhuke,тонкий
573,dünn::A,peenike,тонкий
574,fein::A,peen,дрібний
575,fein::A,õhuke,дрібний
576,fest::A,püsiv,міцний
577,fest::A,kindel,міцний
578,flach::A,lame,плоский
579,flach::A,tasane,плоский
580,glatt::A,sile,рівний
581,glatt::A,sile,гладенький
582,hart::A,kõva,твердий
583,weich::A,pehme,м’який
584,rund::A,ümar,круглий
585,spitz::A,torkav,гострокінцевий
586,scharf::A,terav,гострий
587,stumpf::A,nüri,тупий
588,schwer::A,raske,важкий
589,schön::A,kena,вродливий
590,heiß::A,kuum,жаркий
591,heiß::A,kuum,гарячий
592,heiß::A,palav,жаркий
593,heiß::A,palav,гарячий
594,warm::A,soe,теплий
595,kalt::A,külm,холодний
596,kühl::A,jahe,прохолодний
597,frisch::A,värske,свіжий
598,feucht::A,niiske,вогкий
599,nass::A,märg,мокрий
600,trocken::A,kuiv,сухий
601,voll::A,täis,повний
602,leer::A,tühi,пустий
603,offen::A,avatud,відкритий
604,offen::A,lahtine,відкритий
605,geschlossen::A,suletud,закритий
606,geschlossen::A,suletud,зачинений
607,sauber::A,puhas,чистий
608,sauber::A,puhas,охайний
609,schmutzig::A,räpane,брудний
610,schmutzig::A,määrdunud,брудний
611,roh::A,toores,сирий
612,reif::A,küps,зрілий
613,lecker::A,hõrk,смачний
614,lecker::A,maitsev,смачний
615,süß::A,magus,солодкий
616,bitter::A,mõru,гіркий
617,sauer::A,hapu,кислий
618,hell::A,hele,світлий
619,dunkel::A,pime,темний
620,schwarz::A,must,чорний
621,weiß::A,valge,сивий
622,rot::A,punane,червоний
623,gelb::A,kollane,жовтий
624,blau::A,sinine,синій
625,grün::A,roheline,зелений
626,grau::A,hall,сірий
627,bunt::A,kirju,барвистий
628,bunt::A,värviline,барвистий
629,billig::A,odav,дешевий
630,teuer::A,kallis,дорогий
631,wertvoll::A,väärtuslik,цінний
632,blind::A,pime,сліпий
633,taub::A,kurt,глухий
634,kräftig::A,jõuline,могутній
635,stark::A,tugev,сильний
636,schwach::A,nõrk,слабкий
637,schwach::A,jõuetu,слабкий
638,fett::A,rasvane,жирний
639,fett::A,rasvane,товстий
640,schlank::A,sale,тонкий
641,schlank::A,sale,стрункий
642,hübsch::A,kena,чарівний
643,böse::A,tige,злий
644,böse::A,tige,лихий
645,dumm::A,juhm,дурний
646,dumm::A,rumal,дурний
647,faul::A,laisk,ледачий
648,fleißig::A,virk,старанний
649,fleißig::A,hoolas,старанний
650,geizig::A,ihne,скупий
651,klug::A,tark,мудрий
652,klug::A,tark,розумний
653,klug::A,arukas,мудрий
654,klug::A,arukas,розумний
655,klug::A,mõistlik,мудрий
656,klug::A,mõistlik,розумний
657,geschickt::A,osav,умілий
658,lieb::A,armas,милий
659,lustig::A,lõbus,веселий
660,sanft::A,õrn,лагідний
661,hungrig::A,näljane,голодний
662,krank::A,haige,слабий
663,nackt::A,alasti,голий
664,traurig::A,kurb,сумний
665,lebendig::A,elus,живий
666,gut::A,hea,добрий
667,schlecht::A,halb,поганий
668,schlecht::A,halb,кепський
669,richtig::A,õige,правильний
670,schlimm::A,paha,бридкий
671,wahr::A,tõene,справжній
672,alt::A,vana,старий
673,neu::A,uus,новий
674,ehemalig::A,endine,колишній
675,alt[Lebewesen]::A,vana,старий
676,jung::A,noor,молодий
677,arm::A,vaene,бідний
678,reich::A,rikas,багатий
679,bekannt::A,teada,знайомий
680,bekannt::A,tuttav,знайомий
681,berühmt::A,tuntud,славетний
682,fremd::A,võõras,чужий
683,verschieden::A,erinev,різний
684,nah::A,lähedane,близький
685,fern::A,kauge,далекий
686,linker::A,vasak,лівий
687,rechter::A,parem,правий
688,anderer::A,muu,інакший
689,anderer::A,teine,інакший
690,erster::A,esimene,перший
691,zweiter::A,teine,другий
692,dritter::A,kolmas,третій
693,letzter::A,viimane,останній
694,allein::ADV,üksi,сам
695,allein::ADV,üksi,один
696,auf einmal::ADV,korraga,відразу
697,auf einmal::ADV,ühekorraga,відразу
698,zusammen::ADV,koos,разом
699,zusammen::ADV,koos,спільно
700,zusammen::ADV,üheskoos,разом
701,zusammen::ADV,üheskoos,спільно
702,lange::ADV,kaua,довго
703,plötzlich::ADV,äkki,раптом
704,plötzlich::ADV,järsku,раптом
705,sofort::ADV,kohe,зараз
706,später::ADV,hiljem,пізніше
707,jetzt::ADV,nüüd,тепер
708,heute::ADV,täna,сьогодні
709,morgen::ADV,homme,завтра
710,bald::ADV,pea,незабаром
711,bald::ADV,varsti,незабаром
712,dann::ADV,siis,потім
713,gestern::ADV,eile,вчора
714,einst::ADV,vanasti,колись
715,damals::ADV,tookord,тоді
716,danach::ADV,seejärel,згодом
717,vorher::ADV,enne,раніше
718,zuerst::ADV,enne,спершу
719,zuerst::ADV,enne,спочатку
720,zuerst::ADV,esmalt,спершу
721,zuerst::ADV,esmalt,спочатку
722,einmal::ADV,kord,один раз
723,einmal::ADV,üks kord,один раз
724,manchmal::ADV,mõnikord,іноді
725,manchmal::ADV,mõnikord,інколи
726,oft::ADV,tihti,часто
727,oft::ADV,sageli,часто
728,immer::ADV,ikka,завжди
729,immer::ADV,alati,завжди
730,niemals::ADV,mitte kunagi,ніколи
731,hier::ADV,siin,тут
732,hierhin::ADV,siia,сюди
733,von hier::ADV,siit,звідси
734,dort::ADV,seal,там
735,dorthin::ADV,sinna,туди
736,geradeaus::ADV,otse edasi,прямо
737,vorwärts::ADV,edasi,вперед
738,rückwärts::ADV,tagurpidi,назад
739,zurück::ADV,tagasi,назад
740,unten::ADV,all,внизу
741,unten::ADV,allpool,внизу
742,hinab::ADV,alla,вниз
743,oben::ADV,ülal,вгорі
744,hinauf::ADV,üles,вгору
745,überall::ADV,kõikjal,скрізь
746,nicht::ADV,ei,не
747,nicht::ADV,mitte,не
748,ein wenig::ADV,veidi,трохи
749,ein wenig::ADV,veidi,небагато
750,ein wenig::ADV,natuke,трохи
751,ein wenig::ADV,natuke,небагато
752,kaum::ADV,vaevalt,ледве
753,sehr::ADV,väga,дуже
754,so::ADV,nii,так
755,noch::ADV,veel,ще
756,nur::ADV,ainult,лише
757,nur::ADV,ainult,тільки
758,schon::ADV,juba,вже
759,wieder::ADV,jälle,знову
760,vergebens::ADV,asjata,дарма
761,vor::PRP,ees,перед
762,hinter::PRP,taha,ззаду
763,hinter::PRP,taha,позаду
764,unter::PRP,all,під
765,durch::PRP,läbi,крізь
766,durch::PRP,kaudu,крізь
767,neben::PRP,kõrval,біля
768,zwischen::PRP,vahel,між
769,wegen::PRP,tõttu,з-за
770,wegen::PRP,tõttu,через
771,wegen::PRP,pärast,з-за
772,wegen::PRP,pärast,через
773,dies::PRN,see,це
774,das::PRN,see,то
775,alles::PRN,kõik,все
776,ich::PRN,mina,я
777,du::PRN,sina,ти
778,er::PRN,tema,він
779,wir::PRN,me,ми
780,ihr::PRN,te,ви
781,sie::PRN,nad,вони
782,was::FPRN,mis,що
783,wer::FPRN,kes,хто
784,wo::FADV,kus,де
785,wohin::FADV,kuhu,куди
786,wie::FADV,kuidas,як
787,warum::FADV,miks,чому
788,wieviel::FNUM,mitu,скільки
789,wieviel::FNUM,kui palju,скільки
790,eins::NUM,üks,один
791,zwei::NUM,kaks,два
792,drei::NUM,kolm,три
793,vier::NUM,neli,чотири
794,fünf::NUM,viis,п’ять
795,sechs::NUM,kuus,шість
796,sieben::NUM,seitse,сім
797,acht::NUM,kaheksa,вісім
798,neun::NUM,üheksa,дев’ять
799,zehn::NUM,kümme,десять
800,elf::NUM,üksteist,одинадцять
801,zwölf::NUM,kaksteist,дванадцять
802,zwanzig::NUM,kakskümmend,двадцять
803,dreißig::NUM,kolmkümmend,тридцять
804,vierzig::NUM,nelikümmend,сорок
805,fünfzig::NUM,viiskümmend,п’ятдесят
806,sechzig::NUM,kuuskümmend,шістдесят
807,siebzig::NUM,seitsekümmend,сімдесят
808,achtzig::NUM,kaheksakümmend,вісімдесят
809,neunzig::NUM,üheksakümmend,дев’яносто
810,hundert::NUM,sada,сто
811,tausend::NUM,tuhat,тисяча
812,und::CNJ,ja,і
813,oder::CNJ,või,або
814,stehen::V,seisma,стояти
815,sitzen::V,istuma,сидіти
816,liegen::V,lamama,лежати
817,hängen::V,rippuma,висіти
818,werden::V,saama,стати
819,werden::V,saama,робитися
820,werden::V,hakkama,стати
821,werden::V,hakkama,робитися
822,passieren::V,juhtuma,трапитися
823,beginnen::V,algama,початися
824,beginnen::V,hakkama,початися
825,enden::V,lõppema,кінчитися
826,wechseln::V,vahelduma,мінятися
827,aufgehen[Sonne]::V,tõusma,зійти
828,untergehen[Sonne]::V,loojuma,зайти
829,scheinen[Sonne]::V,paistma,світити
830,donnern::V,kõmisema,гриміти
831,wehen::V,puhuma,віяти
832,strömen::V,voolama,литися
833,fließen::V,voolama,текти
834,sich drehen::V,pöörduma,обертатися
835,schwanken::V,kõikuma,коливатися
836,schwingen::V,võnkuma,хитатися
837,schwingen::V,võnkuma,гойдатися
838,fallen::V,langema,падати
839,brennen::V,põlema,горіти
