,Concept_ID,no,az
59,Schlaf::N,søvn,yuxu
60,Traum::N,drøm,röya
61,Himmel::N,himmel,göy
62,Himmel::N,himmel,səma
63,Sonne::N,sol,günəş
64,Mond::N,måne,ay
65,Stern::N,stjerne,ulduz
66,Luft::N,luft,hava
67,Wind::N,vind,yel
68,Wind::N,vind,külək
69,Welle::N,bølge,dalğa
70,Wasser::N,vann,su
71,Stein::N,stein,daş
72,Boden::N,bakke,yer
73,Boden::N,bakke,zəmin
74,Erde::N,jord,yer torpaq
75,Staub::N,støv,toz
76,Rauch::N,røyk,tüstü
77,Funke::N,gnist,qığılcım
78,Feuer::N,ild,od
79,Licht::N,lys,işıq
80,Schatten::N,skygge,kölgə
81,Wetter::N,vær,hava
82,Nebel::N,tåke,duman
83,Wolke::N,sky,bulud
84,Regen::N,regn,yağış
85,Regen::N,regn,yağmur
86,Schnee::N,snø,qar
87,Eis::N,is,buz
88,Frost::N,frost,ayaz
89,Kälte::N,kulde,soyuq
90,Hitze::N,hete,coşğunluq
91,Raureif::N,rimfrost,qırov
92,Regenbogen::N,regnbue,göy qurşağı
93,Donner::N,torden,göy gurultusu
94,Strömung::N,strømning,axın
95,Tropfen::N,dråpe,damcı
96,Schaum::N,skum,köpük
97,Schmutz::N,søl,çamır
98,Schmutz::N,skitt,çamır
99,See::N,sjø,göl
100,Sumpf::N,sump,bataqlıq
101,Sumpf::N,myrlende,bataqlıq
102,Moor::N,myr,bataqlıq
103,Moor::N,myrhei,bataqlıq
104,Wiese::N,eng,çəmən
105,Wald::N,skog,meşə
106,Hügel::N,haug,təpə
107,Hügel::N,bakke,təpə
108,Anhöhe::N,haug,təpə
109,Anhöhe::N,bakke,təpə
110,Berg::N,berg,dağ
111,Berg::N,fjell,dağ
112,Gipfel::N,topp,zirvə
113,Höhle::N,hule,mağara
114,Abhang::N,li,yamac
115,Abhang::N,skråning,yamac
116,Quelle::N,kilde,bulaq
117,Bach::N,bekk,kiçik çay
118,Fluss::N,elv,çay
119,Ufer::N,bredd,kənar
120,Küste::N,kyst,sahil
121,Festland::N,fastland,materik
122,Meer::N,hav,dəniz
123,Bucht::N,bukt,körfəz
124,Insel::N,øy,ada
125,Blume::N,blomst,çiçək
126,Gras::N,gress,ot
127,Wurzel::N,rot,kök
128,Baum::N,tre,ağac
129,Stamm::N,stamme,gövdə
130,Rinde::N,bark,qabıq
131,Ast::N,gren,şax
132,Zweig::N,kvist,budaq
133,Blatt::N,blad,yarpaq
134,Birke::N,bjørk,tozağacı
135,Kiefer[Baum]::N,furu,şam
136,Weide[Baum]::N,selje,söyüd
137,Weide[Baum]::N,piletre,söyüd
138,Tanne::N,gran,küknar
139,Horn::N,horn,buynuz
140,Feder::N,fjær,tük
141,Feder::N,fjær,lələk
142,Fell::N,skinn,xəz
143,Flügel::N,vinge,qanad
144,Klaue::N,klauv,pəncə
145,Kralle::N,klo,dırnaq
146,Schwanz::N,hale,quyruq
147,Ei::N,egg,yumurta
148,Nest::N,rede,yuva
149,Bau::N,hi,yuva
150,Tier::N,dyr,heyvan
151,Herde::N,flokk,sürü
152,Kuh::N,ku,inək
153,Bulle::N,tyr,öküz
154,Pferd::N,hest,at
155,Schaf::N,får,qoyun
156,Schwein::N,gris,donuz
157,Hund::N,hund,it
158,Hund::N,hund,köpək
159,Katze::N,katt,pişik
160,Bär::N,bjørn,ayı
161,Eichhörnchen::N,ekorn,dələ
162,Elch::N,elg,sığın
163,Fuchs::N,rev,tülkü
164,Hase::N,hare,dovşan
165,Maus::N,mus,siçan
166,Wolf::N,ulv,qurd
167,Wolf::N,varg,qurd
168,Vogel::N,fugl,quş
169,Schwarm::N,sverm,sürü
170,Huhn::N,høne,toyuq
171,Hahn::N,hane,xoruz
172,Gans::N,gås,qaz
173,Adler::N,ørn,qartal
174,Adler::N,ørn,qaraquş
175,Ente::N,and,ördək
176,Eule::N,ugle,bayquş
177,Kranich::N,trane,durna
178,Krähe::N,kråke,qarğa
179,Kuckuck::N,gjøk,ququ
180,Schwan::N,svane,qu quşu
181,Fisch::N,fisk,balıq
182,Barsch::N,abbor,tar
183,Hecht::N,gjedde,durnabalığı
184,Schlange[Tier]::N,orm,ilan
185,Schlange[Tier]::N,slange,ilan
186,Wurm::N,orm,qurd
187,Wurm::N,mark,qurd
188,Spinne::N,edderkopp,hörümçək
189,Ameise::N,maur,qarışqa
190,Laus::N,lus,bit
191,Mücke::N,mygg,ağcaqanad
192,Fliege::N,flue,milçək
193,Schmetterling::N,sommerfugl,kəpənək
194,Beere::N,bær,gilə
195,Apfel::N,eple,alma
196,Pilz::N,sopp,göbələk
197,Zwiebel::N,løk,soğan
198,Saat::N,sæd,əkin
199,Korn::N,korn,taxıl
200,Heu::N,høy,quru ot
201,Schale::N,skall,qabıq
202,Grube::N,grop,çuxur
203,Falle::N,felle,tələ
204,Falle::N,felle,duzaq
205,Schlinge::N,snare,ilmək
206,Spur::N,spor,iz
207,Asche::N,aske,kül
208,Dreck::N,møkk,kir
209,Dreck::N,skitt,kir
210,Eisen::N,jern,dəmir
211,Gold::N,gull,altun
212,Silber::N,sølv,gümüş
213,Kohle::N,kol,kömür
214,Kohle::N,kull,kömür
215,Glas::N,glass,şüşə
216,Lehm::N,leire,gil
217,Lehm::N,leire,palçıq
218,Sand::N,sand,qum
219,Mensch::N,menneske,adam
220,Mensch::N,menneske,insan
221,Mann::N,mann,kişi
222,Frau::N,kvinne,qadın
223,Kind::N,barn,uşaq
224,Junge::N,gutt,oğlan
225,Mädchen::N,pike,qız
226,Mädchen::N,jente,qız
227,Familie::N,familie,ailə
228,Großvater::N,bestefar,baba
229,Großmutter::N,bestemor,nənə
230,Eltern::N,foreldre,valideyn
231,Vater::N,far,ata
232,Mutter::N,mor,ana
233,Sohn::N,sønn,oğul
234,Tochter::N,datter,qız
235,Bruder::N,bror,qardaş
236,Schwester::N,søster,bacı
237,Onkel::N,onkel,əmi
238,Onkel::N,onkel,dayı
239,Tante::N,tante,bibi
240,Ehemann::N,ektemann,ər
241,Ehefrau::N,hustru,arvad
242,Freude::N,glede,nəşə
243,Freude::N,glede,sevinc
244,Gelächter::N,latter,gülüş
245,Gelächter::N,latter,qəhqəhə
246,Glück::N,lykke,səadət
247,Glück::N,lykke,xoşbəxtlik
248,Kummer::N,sorg,qəm
249,Kummer::N,sorg,kədər
250,Wunsch::N,ønske,arzu
251,Lust::N,lyst,həvəs
252,Geist::N,ånd,ruh
253,Gedanke::N,tanke,fikir
254,Gedanke::N,tanke,düşüncə
255,Gedächtnis::N,minne,xatir
256,Gedächtnis::N,minne,hafizə
257,Gedächtnis::N,hukommelse,xatir
258,Gedächtnis::N,hukommelse,hafizə
259,Verstand::N,forstand,ağıl
260,Sinn::N,mening,məna
261,Sinn::N,betydning,məna
262,Grund::N,grunn,səbəb
263,Wahrheit::N,sannhet,haqq
264,Wahrheit::N,sannhet,doğruluq
265,Gespräch::N,samtale,söhbət
266,Gespräch::N,samtale,qonuşma
267,Märchen::N,eventyr,nağıl
268,Erzählung::N,fortelling,hekayə
269,Nachricht::N,melding,xəbər
270,Neuigkeit::N,nyhet,xəbər
271,Neuigkeit::N,nyhet,yenilik
272,Name::N,navn,ad
273,Rätsel::N,gåte,tapmaca
274,Rede::N,tale,nitq
275,Sprache::N,språk,dil
276,Stimme::N,stemme,səs
277,Wort::N,ord,söz
278,Wort::N,ord,kəlmə
279,Zeichen::N,tegn,nişan
280,Ruf::N,rop,çığırtı
281,Lärm::N,bråk,gurultu
282,Laut::N,lyd,səs
283,Ton::N,tone,ton
284,Lied::N,vise,mahnı
285,Ruhe::N,ro,sakitlik
286,Leute::N,folk,xalq
287,Volk::N,folk,millət
288,Arbeit::N,arbeid,iş
289,Arbeit::N,arbeid,əmək
290,Gast::N,gjest,qonaq
291,Gast::N,gjest,müsafir
292,Geschenk::N,gave,hədiyyə
293,Spiel::N,lek,oyun
294,Spiel::N,lek,tamaşa
295,Spiel::N,spill,oyun
296,Spiel::N,spill,tamaşa
297,Gesellschaft::N,selskap,cəmiyyet
298,Hilfe::N,hjelp,kömək
299,Hilfe::N,hjelp,yardım
300,Freund::N,venn,dost
301,Kamerad::N,kamerat,yoldaş
302,Angelegenheit::N,sak,iş
303,Angelegenheit::N,anliggende,iş
304,Anzahl::N,antall,say
305,Art::N,art,çeşid
306,Art::N,slag,çeşid
307,Stück::N,stykke,dənə
308,Stück::N,stykke,parça
309,Teil::N,del,qisim
310,Hälfte::N,halvdel,yarım
311,Kreis::N,ring,dairə
312,Kreis::N,sirkel,dairə
313,Kreuz::N,kors,xaç
314,Kreuz::N,kryss,xaç
315,Linie::N,linje,xətt
316,Strich::N,strek,cızıq
317,Abstand::N,avstand,məsafə
318,Entfernung::N,avstand,məsafə
319,Entfernung::N,avstand,uzaqlıq
320,Gegend::N,strøk,bölgə
321,Platz::N,plass,yer
322,Ort::N,sted,yer
323,Seite::N,side,yan
324,Seite::N,side,tərəf
325,Mitte::N,midte,orta
326,Gegenstand::N,gjenstand,şey
327,Sache::N,sak,şey
328,Rand::N,rand,kənar
329,Kante::N,kant,tiyə
330,Kante::N,kant,kənar
331,Ecke::N,hjørne,bucaq
332,Spitze::N,spiss,uc
333,Ende::N,ende,son
334,Ende::N,ende,axır
335,Loch::N,hull,deşik
336,Winkel::N,vinkel,guşə
337,Muster::N,mønster,ülgü
338,Größe::N,størrelse,böyüklük
339,Länge::N,lengde,uzunluq
340,Höhe::N,høyde,yüksəklik
341,Gewicht::N,vekt,çəki
342,Gewicht::N,vekt,ağırlıq
343,Menge::N,mengde,miqdar
344,Haufen::N,haug,yığın
345,Haufen::N,bunke,yığın
346,Reihe::N,rekke,səf
347,Reihe::N,rekke,sıra
348,Boot::N,båt,qayıq
349,Ruder::N,åre,kürək
350,Schlitten::N,slede,kirşə
351,Schlitten::N,kjelke,kirşə
352,Ski::N,ski,xizək
353,Lagerfeuer::N,leirbål,düşərgə tonqalı
354,Last::N,bør,yük
355,Last::N,last,yük
356,Gang::N,gang,yeriş
357,Schritt::N,steg,addım
358,Schritt::N,skritt,addım
359,Norden::N,nord,şimal
360,Süden::N,sør,cənub
361,Westen::N,vest,qərb
362,Osten::N,øst,şərq
363,Holz::N,tre,ağac
364,Holz::N,tre,taxta
365,Brett::N,fjøl,taxta
366,Brett::N,brett,taxta
367,Platte::N,plate,lövhə
368,Stütze::N,støtte,dayaq
369,Stütze::N,støtte,dəstək
370,Stange::N,stang,şüvül
371,Stock::N,pinne,dəyənək
372,Stab::N,stav,əsa
373,Stab::N,stav,şüvül
374,Stab::N,kjepp,əsa
375,Stab::N,kjepp,şüvül
376,Rohr::N,rør,boru
377,Rohr::N,rør,truba
378,Haus::N,hus,ev
379,Heim::N,hjem,ev
380,Ofen::N,ovn,peç
381,Ofen::N,ovn,soba
382,Fußboden::N,gulv,döşəmə
383,Tisch::N,bord,masa
384,Stuhl::N,stol,stul
385,Wiege::N,vogge,beşik
386,Bett::N,seng,yataq
387,Regal::N,reol,rəf
388,Regal::N,hylle,rəf
389,Kiste::N,kasse,yeşik
390,Kiste::N,kasse,sandıq
391,Fenster::N,vindu,pəncərə
392,Tür::N,dør,qapı
393,Tor::N,port,darvaza
394,Zaun::N,gjerde,çəpər
395,Dach::N,tak,dam
396,Leiter::N,stige,nərdivan
397,Besen::N,kost,süpürgə
398,Spaten::N,spade,kürək
399,Schaufel::N,skuffe,kürək
400,Gabel::N,gaffel,çəngəl
401,Löffel::N,skje,qaşıq
402,Messer::N,kniv,bıçaq
403,Nagel::N,spiker,mıx
404,Netz::N,nett,tor
405,Haken::N,krok,çəngəl
406,Griff::N,tak,qulp
407,Griff::N,tak,tutacaq
408,Griff::N,håndtak,qulp
409,Griff::N,håndtak,tutacaq
410,Schloss::N,lås,qıfıl
411,Bild::N,bilde,rəsm
412,Figur::N,figur,şəkil
413,Figur::N,figur,heykəl
414,Puppe::N,dukke,kukla
415,Puppe::N,dukke,gəlincik
416,Beutel::N,pose,kisə
417,Beutel::N,pose,torba
418,Bündel::N,bylt,bağlama
419,Tasche::N,veske,çanta
420,Eimer::N,bøtte,vedrə
421,Eimer::N,bøtte,çəllək
422,Deckel::N,lokk,qapaq
423,Geschirr::N,kjøkkentøy,qab-qazan
424,Sack::N,sekk,çuval
425,Tasse::N,kopp,fincan
426,Topf::N,gryte,qazan
427,Kessel::N,kjele,qazan
428,Essen::N,mål,yemək
429,Nahrung::N,mat,qida
430,Nahrung::N,næring,qida
431,Speise::N,matrett,xörək
432,Fleisch::N,kjøtt,ət
433,Getreide::N,korn,taxıl
434,Brei::N,grøt,aş
435,Brei::N,grøt,sıyıq
436,Brot::N,brød,çörək
437,Scheibe::N,skive,dilim
438,Fett::N,fett,yağ
439,Butter::N,smør,kərə yağı
440,Öl::N,olje,yağ
441,Salz::N,salt,duz
442,Suppe::N,suppe,şorba
443,Honig::N,honning,bal
444,Milch::N,melk,süd
445,Tee::N,te,çay
446,Leder::N,lær,dəri
447,Leder::N,skinn,dəri
448,Wolle::N,ull,yun
449,Stoff::N,tøy,qumaş
450,Stoff::N,stoff,qumaş
451,Nadel::N,nål,iynə
452,Faden::N,tråd,sap
453,Knopf::N,knapp,düymə
454,Knoten::N,knute,düyün
455,Farbe::N,farge,boya
456,Kleidung::N,påkledning,geyim
457,Hemd::N,skjorte,köynək
458,Kragen::N,krage,yaxa
459,Ärmel::N,erme,qol
460,Hose::N,bukse,şalvar
461,Gürtel::N,belte,kəmər
462,Mütze::N,lue,şapka
463,Schuh::N,sko,tufli
464,Schuh::N,sko,ayaqqabı
465,Stiefel::N,støvel,çəkmə
466,Ring::N,ring,üzük
467,Band::N,band,lent
468,Kamm::N,kam,daraq
469,Spiegel::N,speil,güzgü
470,Riemen::N,rem,qayış
471,Schnur::N,snor,ip
472,Leine::N,line,kəmsik
473,Decke::N,teppe,ədyal
474,Decke::N,teppe,yorğan
475,Kissen::N,pute,yastıq
476,Tuch::N,tøy,şarf
477,Tuch::N,tøy,kaşne
478,Handtuch::N,håndkle,dəsmal
479,Kraft::N,kraft,güc
480,Stärke::N,styrke,qüvvət
481,Gesundheit::N,helse,sağlamlıq
482,Gesundheit::N,sunnhet,sağlamlıq
483,Krankheit::N,syke,xəstəlik
484,Krankheit::N,sykdom,xəstəlik
485,Schmerz::N,smerte,ağrı
486,Schmerz::N,smerte,sancı
487,Wunde::N,sår,yara
488,Fieber::N,feber,isitmə
489,Fieber::N,feber,qızdırma
490,Arznei::N,medisin,ilaç
491,Arznei::N,medisin,dərman
492,Arznei::N,legemiddel,ilaç
493,Arznei::N,legemiddel,dərman
494,Brücke::N,bro,körpü
495,Brunnen::N,brønn,quyu
496,Weide::N,beite,otlaq
497,Pfad::N,sti,cığır
498,Weg::N,vei,yol
499,Straße::N,gate,küçə
500,Dorf::N,landsby,kənd
501,Stadt::N,by,şəhər
502,Brief::N,brev,məktub
503,Buch::N,bok,kitab
504,Buchstabe::N,bokstav,hərf
505,Zeitung::N,avis,qəzet
506,Leben::N,liv,həyat
507,Tod::N,død,ölüm
508,Grab::N,grav,qəbir
509,Kirche::N,kirke,kilsə
510,Sünde::N,synd,günah
511,Gott::N,gud,tanrı
512,Arbeiter::N,arbeider,işçi
513,Chef::N,sjef,şef
514,Chef::N,sjef,rəis
515,Meister::N,mester,usta
516,Arzt::N,lege,həkim
517,Arzt::N,lege,doktor
518,Lehrer::N,lærer,müəllim
519,Geld::N,penger,pul
520,Geschäft::N,forretning,ticarət
521,Laden::N,butikk,dükan
522,Preis::N,pris,qiymət
523,Ware::N,vare,mal
524,Nutzen::N,nytte,fayda
525,Reichtum::N,rikdom,zənginlik
526,Welt::N,verden,aləm
527,Welt::N,verden,dünya
528,Land::N,land,ölkə
529,Staat::N,stat,dövlət
530,König::N,konge,kral
531,König::N,konge,məlik
532,Macht::N,makt,qüdrət
533,Grenze::N,grense,hüdud
534,Grenze::N,grense,sərhət
535,Krieg::N,krig,hərb
536,Krieg::N,krig,müharibə
537,Feind::N,fiende,düşmən
538,Gewalt::N,vold,cəbr
539,Kampf::N,kamp,savaş
540,Bogen[Waffe]::N,bue,yay
541,Pfeil::N,pil,ox
542,Gewehr::N,gevær,tüfəng
543,Fehler::N,feil,xəta
544,Lüge::N,løgn,yalan
545,Schaden::N,skade,ziyan
546,Unglück::N,uhell,bəla
547,Schuld::N,skyld,təqsir
548,Alter::N,alder,yaş
549,Schluss::N,slutt,son
550,Zeit::N,tid,vaxt
551,Zeit::N,tid,zaman
552,Tag::N,dag,gün
553,Morgen::N,morgen,sabah
554,Mittag::N,middag,günorta
555,Abend::N,aften,axşam
556,Nacht::N,natt,gecə
557,Woche::N,uke,həftə
558,Monat::N,måned,ay
559,Jahr::N,år,il
560,Frühling::N,vår,yaz
561,Frühling::N,vår,bahar
562,Sommer::N,sommer,yay
563,Herbst::N,høst,payız
564,Winter::N,vinter,qış
565,Januar::N,januar,Janvar
566,Februar::N,februar,Fevral
567,März::N,mars,Mart
568,April::N,april,Aprel
569,Mai::N,mai,May
570,Juni::N,juni,İyun
571,Juli::N,juli,İyul
572,August::N,august,Avqust
573,September::N,september,Sentyabr
574,Oktober::N,oktober,Oktyabr
575,November::N,november,Noyabr
576,Dezember::N,desember,Dekabr
577,Montag::N,mandag,bazar ertəsi
578,Dienstag::N,tirsdag,çərşənbə axşamı
579,Mittwoch::N,onsdag,çərşənbə
580,Donnerstag::N,torsdag,cüme axşamı
581,Freitag::N,fredag,cüme
582,Samstag::N,lørdag,şənbə
583,Sonntag::N,søndag,bazar
584,groß::A,stor,böyük
585,klein::A,liten,kiçik
586,lang::A,lang,uzun
587,kurz::A,kort,qısa
588,breit::A,bred,enli
589,breit::A,bred,geniş
590,schmal::A,smal,dar
591,dicht::A,tett,sıx
592,dick[Gegenstand]::A,tykk,qalın
593,dünn::A,tynn,nazik
594,fein::A,fin,incə
595,fest::A,fast,bərk
596,fest::A,fast,möhkəm
597,flach::A,flat,düz
598,glatt::A,glatt,hamar
599,hart::A,hard,sərt
600,weich::A,myk,yumşaq
601,weich::A,bløt,yumşaq
602,rund::A,rund,yuvarlaq
603,spitz::A,spiss,uclu
604,spitz::A,spiss,sivri
605,scharf::A,kvass,kəskin
606,stumpf::A,stubb,küt
607,schwer::A,tung,ağır
608,schön::A,pen,gözəl
609,schön::A,pen,gəşəng
610,schön::A,vakker,gözəl
611,schön::A,vakker,gəşəng
612,heiß::A,het,isti
613,warm::A,varm,ilıq
614,kalt::A,kald,soyuq
615,kühl::A,kjølig,sərin
616,frisch::A,fersk,təzə
617,feucht::A,fuktig,nəm
618,nass::A,våt,yaş
619,trocken::A,tørr,quru
620,voll::A,full,dolu
621,leer::A,tom,boş
622,offen::A,åpen,açıq
623,geschlossen::A,lukket,qapalı
624,sauber::A,ren,təmiz
625,schmutzig::A,skitten,kirli
626,roh::A,rå,çiy
627,reif::A,moden,yetişmiş
628,lecker::A,lekker,dadlı
629,lecker::A,lekker,ləzzətli
630,süß::A,søt,şirin
631,bitter::A,besk,acı
632,bitter::A,bitter,acı
633,sauer::A,sur,turş
634,hell::A,lys,aydın
635,dunkel::A,mørk,qaranlıq
636,schwarz::A,svart,qara
637,weiß::A,hvit,ağ
638,rot::A,rød,qırmızı
639,gelb::A,gul,sarı
640,blau::A,blå,göy
641,blau::A,blå,mavi
642,grün::A,grønn,yaşıl
643,grau::A,grå,boz
644,bunt::A,broket,əlvan
645,bunt::A,broket,rəngli
646,billig::A,billig,ucuz
647,teuer::A,dyr,bahalı
648,wertvoll::A,verdifull,qiymətli
649,blind::A,blind,kor
650,taub::A,døv,kar
651,kräftig::A,kraftig,güclü
652,stark::A,sterk,qüvvətli
653,schwach::A,svak,zəif
654,schwach::A,svak,gücsüz
655,fett::A,fet,şişman
656,schlank::A,slank,zərif
657,hübsch::A,pen,göyçək
658,böse::A,slem,fəna
659,dumm::A,dum,axmaq
660,faul::A,lat,tənbəl
661,faul::A,doven,tənbəl
662,fleißig::A,flittig,çalışqan
663,geizig::A,gjerrig,xəsis
664,klug::A,klok,ağıllı
665,geschickt::A,hendig,bacarıqlı
666,geschickt::A,skikket,bacarıqlı
667,lieb::A,kjær,əziz
668,lieb::A,kjær,sevimli
669,lieb::A,snill,əziz
670,lieb::A,snill,sevimli
671,lustig::A,morsom,məzəli
672,lustig::A,morsom,gülməli
673,sanft::A,blid,mülayim
674,hungrig::A,sulten,ac
675,krank::A,syk,xəstə
676,nackt::A,naken,çılpaq
677,traurig::A,sørgmodig,qəmgin
678,traurig::A,sørgmodig,kədərli
679,lebendig::A,levende,canlı
680,gut::A,god,yaxşı
681,schlecht::A,dårlig,pis
682,richtig::A,riktig,doğru
683,schlimm::A,slem,fəna
684,wahr::A,sann,gərçək
685,alt::A,gammel,əski
686,alt::A,gammel,köhnə
687,neu::A,ny,yeni
688,ehemalig::A,forhenværende,əvvəlki
689,alt[Lebewesen]::A,gammel,qoca
690,jung::A,ung,gənc
691,arm::A,fattig,kasıb
692,arm::A,fattig,yoxsul
693,reich::A,rik,zəngin
694,bekannt::A,kjent,tanış
695,berühmt::A,berømt,məşhur
696,fremd::A,fremmed,yad
697,verschieden::A,forskjellig,dürlü
698,nah::A,nær,yaxın
699,fern::A,fjern,uzaq
700,linker::A,venstre,sol
701,rechter::A,høyre,sağ
702,anderer::A,annen,başqa
703,erster::A,første,birinci
704,zweiter::A,annen,ikinci
705,dritter::A,tredje,üçüncü
706,letzter::A,sist,sonuncu
707,letzter::A,sist,axırıncı
708,allein::ADV,alene,tək
709,allein::ADV,alene,yalqız
710,auf einmal::ADV,med ett,birdən
711,zusammen::ADV,sammen,birlikdə
712,lange::ADV,lenge,uzun
713,plötzlich::ADV,plutselig,qəfildən
714,sofort::ADV,straks,həmən
715,sofort::ADV,straks,dərhal
716,später::ADV,senere,sonra
717,jetzt::ADV,nå,indi
718,heute::ADV,i dag,bugün
719,morgen::ADV,i morgen,sabah
720,bald::ADV,snart,yaxında
721,bald::ADV,snart,tezliklə
722,dann::ADV,så,onda
723,gestern::ADV,i går,dünən
724,einst::ADV,engang,əvvəllər
725,damals::ADV,den gang,o vaxt
726,danach::ADV,deretter,sonra
727,vorher::ADV,før,qabaqcadan
728,vorher::ADV,i forveien,qabaqcadan
729,zuerst::ADV,først,əvvəl
730,einmal::ADV,en gang,bir dəfə
731,manchmal::ADV,somme tider,hərdənbir
732,oft::ADV,ofte,tez-tez
733,oft::ADV,ofte,çox vaxt
734,immer::ADV,alltid,daimi
735,immer::ADV,alltid,həmişə
736,niemals::ADV,aldri,əsla
737,niemals::ADV,aldri,heç bir zaman
738,hier::ADV,her,bura
739,hier::ADV,her,burada
740,hierhin::ADV,hit,buraya
741,von hier::ADV,herfra,buradan
742,dort::ADV,der,ora
743,dort::ADV,der,orada
744,dorthin::ADV,dit,oraya
745,geradeaus::ADV,rett fram,düz
746,vorwärts::ADV,fram,irəli
747,vorwärts::ADV,framover,irəli
748,rückwärts::ADV,baklengs,geri
749,zurück::ADV,tilbake,geriyə
750,unten::ADV,nede,aşağıda
751,hinab::ADV,ned,aşağı
752,hinab::ADV,nedover,aşağı
753,oben::ADV,oppe,yuxarıda
754,oben::ADV,ovenpå,yuxarıda
755,hinauf::ADV,opp,yuxarı
756,hinauf::ADV,oppover,yuxarı
757,überall::ADV,overalt,hər yerdə
758,nicht::ADV,ikke,-ma-
759,ein wenig::ADV,litt,bir az
760,kaum::ADV,neppe,güclə
761,sehr::ADV,svært,çox
762,so::ADV,så,belə
763,noch::ADV,enda,hələ
764,nur::ADV,bare,yalnız
765,schon::ADV,alt,artıq
766,schon::ADV,allerede,artıq
767,wieder::ADV,igjen,yenə
768,vergebens::ADV,forgjeves,boş yerə
769,vor::PRP,foran,önündə
770,vor::PRP,utenfor,önündə
771,hinter::PRP,bak,arxasında
772,hinter::PRP,bakom,arxasında
773,unter::PRP,under,altında
774,durch::PRP,gjennom,içindən
775,durch::PRP,igjennom,içindən
776,neben::PRP,ved siden av,yanında
777,zwischen::PRP,mellom,arasında
778,wegen::PRP,på grunn av,üçün
779,wegen::PRP,på grunn av,ötəri
780,dies::PRN,dette,bu
781,das::PRN,det,o
782,alles::PRN,alt,hər şey
783,ich::PRN,jeg,mən
784,du::PRN,du,sən
785,er::PRN,han,o
786,wir::PRN,vi,biz
787,ihr::PRN,dere,siz
788,sie::PRN,de,onlar
789,was::FPRN,hva,nə
790,wer::FPRN,hvem,kim
791,wo::FADV,hvor,harada
792,wohin::FADV,hvor ... hen,haraya
793,wie::FADV,hvordan,necə
794,warum::FADV,hvorfor,niyə
795,warum::FADV,hvorfor,nə üçün
796,wieviel::FNUM,hvor mye,neçə
797,wieviel::FNUM,hvor mye,nə qədər
798,eins::NUM,en,bir
799,eins::NUM,ett,bir
800,zwei::NUM,to,iki
801,drei::NUM,tre,üç
802,vier::NUM,fire,dörd
803,fünf::NUM,fem,beş
804,sechs::NUM,seks,altı
805,sieben::NUM,sju,yeddi
806,acht::NUM,åtte,səkkiz
807,neun::NUM,ni,doqquz
808,zehn::NUM,ti,on
809,elf::NUM,elleve,on bir
810,zwölf::NUM,tolv,on iki
811,zwanzig::NUM,tjue,iyirmi
812,dreißig::NUM,tretti,otuz
813,vierzig::NUM,førti,qırx
814,fünfzig::NUM,femti,əlli
815,sechzig::NUM,seksti,altmış
816,siebzig::NUM,sytti,yetmiş
817,achtzig::NUM,åtti,səksən
818,neunzig::NUM,nitti,doxsan
819,hundert::NUM,hundre,yüz
820,tausend::NUM,tusen,min
821,und::CNJ,og,və
822,oder::CNJ,eller,ya
823,stehen::V,stå,durmaq
824,sitzen::V,sitte,oturmaq
825,liegen::V,ligge,uzanmaq
826,hängen::V,henge,asılmaq
827,werden::V,bli,olmaq
828,passieren::V,skje,olmaq
