,Concept_ID,no,sah
63,Geruch::N,lukt,сыт
64,Schlaf::N,søvn,утуйуу
65,Traum::N,drøm,түүл
66,Himmel::N,himmel,халлаан
67,Sonne::N,sol,күн
68,Mond::N,måne,ый
69,Stern::N,stjerne,сулус
70,Luft::N,luft,салгын
71,Wind::N,vind,тыал
72,Welle::N,bølge,долгун
73,Welle::N,bølge,балхаан
74,Wasser::N,vann,уу
75,Stein::N,stein,таас
76,Boden::N,bakke,сир
77,Erde::N,jord,буор
78,Staub::N,støv,быыл
79,Rauch::N,røyk,буруо
80,Funke::N,gnist,кыым
81,Feuer::N,ild,уот
82,Licht::N,lys,уот
83,Schatten::N,skygge,күлүк
84,Wetter::N,vær,күн-дьыл
85,Nebel::N,tåke,туман
86,Wolke::N,sky,былыт
87,Regen::N,regn,самыыр
88,Schnee::N,snø,хаар
89,Eis::N,is,муус
90,Frost::N,frost,тымныы
91,Kälte::N,kulde,тымныы
92,Hitze::N,hete,куйаас
93,Raureif::N,rimfrost,кырыа
94,Regenbogen::N,regnbue,кустук
95,Donner::N,torden,этиҥ
96,Strömung::N,strømning,сүүрүк
97,Tropfen::N,dråpe,таммах
98,Tropfen::N,dråpe,хааппыла
99,Schaum::N,skum,күүгэн
100,Schmutz::N,søl,кир
101,Schmutz::N,skitt,кир
102,See::N,sjø,күөл
103,Sumpf::N,sump,бадараан
104,Sumpf::N,myrlende,бадараан
105,Moor::N,myr,дьэбэрэ
106,Moor::N,myrhei,дьэбэрэ
107,Wiese::N,eng,ходуһа
108,Wald::N,skog,ойуур
109,Hügel::N,haug,булгунньах
110,Hügel::N,bakke,булгунньах
111,Anhöhe::N,haug,үрдэл
112,Anhöhe::N,bakke,үрдэл
113,Berg::N,berg,хайа
114,Berg::N,fjell,хайа
115,Gipfel::N,topp,чыпчаал
116,Höhle::N,hule,хайа_хаспаҕа
117,Höhle::N,hule,көҥүс
118,Abhang::N,li,эниэ
119,Abhang::N,skråning,эниэ
120,Quelle::N,kilde,дьүүктэ
121,Bach::N,bekk,үрүйэ
122,Fluss::N,elv,өрүс
123,Ufer::N,bredd,биэрэк
124,Küste::N,kyst,кытыл
125,Festland::N,fastland,кураанах сир
126,Meer::N,hav,муора
127,Bucht::N,bukt,хомо
128,Bucht::N,bukt,бухта
129,Insel::N,øy,арыы
130,Blume::N,blomst,сибэкки
131,Gras::N,gress,от
132,Wurzel::N,rot,силис
133,Baum::N,tre,мас
134,Stamm::N,stamme,умнас
135,Rinde::N,bark,хатырык
136,Ast::N,gren,мутук
137,Zweig::N,kvist,лабаа
138,Blatt::N,blad,сэбирдэх
139,Birke::N,bjørk,хатыҥ
140,Kiefer[Baum]::N,furu,бэс
141,Weide[Baum]::N,selje,үөт
142,Weide[Baum]::N,selje,талах
143,Weide[Baum]::N,piletre,үөт
144,Weide[Baum]::N,piletre,талах
145,Tanne::N,gran,харыйа
146,Horn::N,horn,муос
147,Feder::N,fjær,куорсун
148,Fell::N,skinn,тирии
149,Flügel::N,vinge,кынат
150,Klaue::N,klauv,тыҥырах
151,Kralle::N,klo,баппаҕай
152,Schwanz::N,hale,кутурук
153,Ei::N,egg,сымыыт
154,Nest::N,rede,уйа
155,Bau::N,hi,хороон
156,Tier::N,dyr,кыыл
157,Tier::N,dyr,харамай
158,Herde::N,flokk,үөр
159,Kuh::N,ku,ынах
160,Bulle::N,tyr,оҕус
161,Pferd::N,hest,сылгы
162,Schaf::N,får,овца
163,Schwein::N,gris,сибиинньэ
164,Hund::N,hund,ыт
165,Katze::N,katt,куоска
166,Bär::N,bjørn,эһэ
167,Eichhörnchen::N,ekorn,тииҥ
168,Elch::N,elg,тайах
169,Fuchs::N,rev,саһыл
170,Hase::N,hare,куобах
171,Maus::N,mus,кутуйах
172,Wolf::N,ulv,бөрө
173,Wolf::N,varg,бөрө
174,Vogel::N,fugl,көтөр
175,Schwarm::N,sverm,бөлөх
176,Huhn::N,høne,куурусса
177,Hahn::N,hane,бөтүүк
178,Gans::N,gås,хаас
179,Adler::N,ørn,хотой
180,Ente::N,and,кус
181,Eule::N,ugle,мэкчиргэ
182,Kranich::N,trane,туруйа
183,Krähe::N,kråke,тураах
184,Kuckuck::N,gjøk,кэҕэ
185,Schwan::N,svane,куба
186,Fisch::N,fisk,балык
187,Barsch::N,abbor,алыһар
188,Hecht::N,gjedde,сордон
189,Schlange[Tier]::N,orm,моҕой
190,Schlange[Tier]::N,orm,эриэн үөн
191,Schlange[Tier]::N,slange,моҕой
192,Schlange[Tier]::N,slange,эриэн үөн
193,Wurm::N,orm,үөн
194,Wurm::N,mark,үөн
195,Spinne::N,edderkopp,ооҕуй
196,Ameise::N,maur,кымырдаҕас
197,Laus::N,lus,быт
198,Mücke::N,mygg,кумаар
199,Fliege::N,flue,сахсырҕа
200,Schmetterling::N,sommerfugl,лыах
201,Schmetterling::N,sommerfugl,үрүмэччи
202,Beere::N,bær,отон
203,Apfel::N,eple,яблоко
204,Pilz::N,sopp,тэллэй
205,Zwiebel::N,løk,луук
206,Saat::N,sæd,сиэмэ
207,Korn::N,korn,сиэмэ
208,Heu::N,høy,от
209,Schale::N,skall,хах
210,Grube::N,grop,дьаама
211,Falle::N,felle,сохсо
212,Schlinge::N,snare,уктаа
213,Spur::N,spor,суол
214,Asche::N,aske,күл
215,Dreck::N,møkk,бадараан
216,Dreck::N,skitt,бадараан
217,Eisen::N,jern,тимир
218,Gold::N,gull,көмүс
219,Gold::N,gull,кыһыл көмүс
220,Silber::N,sølv,көмүс
221,Silber::N,sølv,үрүҥ көмүс
222,Kohle::N,kol,чох
223,Kohle::N,kull,чох
224,Glas::N,glass,өстүөкүлэ
225,Lehm::N,leire,туой
226,Sand::N,sand,кумах
227,Mensch::N,menneske,киһи
228,Mann::N,mann,эр
229,Frau::N,kvinne,дьахтар
230,Kind::N,barn,оҕо
231,Junge::N,gutt,уол
232,Mädchen::N,pike,кыыс оҕо
233,Mädchen::N,jente,кыыс оҕо
234,Familie::N,familie,кэргэн
235,Großvater::N,bestefar,эһэ
236,Großmutter::N,bestemor,эбэ
237,Eltern::N,foreldre,аҕа-ийэ
238,Vater::N,far,аҕа
239,Mutter::N,mor,ийэ
240,Sohn::N,sønn,уол
241,Tochter::N,datter,кыыс
242,Bruder::N,bror,убай
243,Bruder::N,bror,быраат
244,Schwester::N,søster,аҕас
245,Schwester::N,søster,балыс
246,Onkel::N,onkel,таай
247,Onkel::N,onkel,абаҕа
248,Tante::N,tante,эдьиий
249,Ehemann::N,ektemann,эр
250,Ehefrau::N,hustru,ойох
251,Freude::N,glede,үөрүү
252,Gelächter::N,latter,күлүү
253,Glück::N,lykke,дьол
254,Glück::N,lykke,соргу
255,Kummer::N,sorg,кутурҕан
256,Wunsch::N,ønske,баҕарыы
257,Lust::N,lyst,баҕа
258,Geist::N,ånd,тыын
259,Gedanke::N,tanke,санаа
260,Gedächtnis::N,minne,өй
261,Gedächtnis::N,hukommelse,өй
262,Verstand::N,forstand,өй
263,Sinn::N,mening,суолта
264,Sinn::N,betydning,суолта
265,Grund::N,grunn,төрүөт
266,Wahrheit::N,sannhet,кырдьык
267,Gespräch::N,samtale,бэсиэдэ
268,Gespräch::N,samtale,кэпсэтии
269,Märchen::N,eventyr,остуоруйа
270,Erzählung::N,fortelling,кэпсээн
271,Nachricht::N,melding,биллэриллии
272,Neuigkeit::N,nyhet,сонун
273,Name::N,navn,аат
274,Rätsel::N,gåte,таабырын
275,Rede::N,tale,этии
276,Sprache::N,språk,тыл
277,Stimme::N,stemme,куолас
278,Wort::N,ord,тыл
279,Zeichen::N,tegn,бэлиэ
280,Ruf::N,rop,ыҥырыы
281,Lärm::N,bråk,айдаан
282,Laut::N,lyd,тыас
283,Ton::N,tone,дорҕоон
284,Lied::N,vise,ырыа
285,Ruhe::N,ro,уу чуумпу
286,Leute::N,folk,дьон
287,Volk::N,folk,дьон
288,Volk::N,folk,норуот
289,Arbeit::N,arbeid,үлэ
290,Gast::N,gjest,ыалдьыт
291,Geschenk::N,gave,бэлэх
292,Spiel::N,lek,оонньуу
293,Spiel::N,spill,оонньуу
294,Gesellschaft::N,selskap,общество
295,Hilfe::N,hjelp,көмө
296,Freund::N,venn,доҕор
297,Kamerad::N,kamerat,атас
298,Angelegenheit::N,sak,дьыала
299,Angelegenheit::N,anliggende,дьыала
300,Anzahl::N,antall,ахсаан
301,Art::N,art,биис
302,Art::N,slag,биис
303,Stück::N,stykke,кырбас
304,Teil::N,del,ирээт
305,Hälfte::N,halvdel,аҥар
306,Kreis::N,ring,төгүрүк
307,Kreis::N,ring,төгүрүмтэ
308,Kreis::N,sirkel,төгүрүк
309,Kreis::N,sirkel,төгүрүмтэ
310,Kreuz::N,kors,кириэс
311,Kreuz::N,kryss,кириэс
312,Linie::N,linje,сурааһын
313,Strich::N,strek,сурааһын
314,Abstand::N,avstand,арыт
315,Entfernung::N,avstand,ыраах
316,Gegend::N,strøk,сир
317,Platz::N,plass,арыт
318,Ort::N,sted,сир
319,Seite::N,side,өрүт
320,Seite::N,side,сирэй
321,Mitte::N,midte,орто
322,Gegenstand::N,gjenstand,предмет
323,Sache::N,sak,мал
324,Rand::N,rand,кытыы
325,Rand::N,rand,ойоҕос
326,Kante::N,kant,кырыы
327,Ecke::N,hjørne,муннук
328,Spitze::N,spiss,чыпчаал
329,Ende::N,ende,төбө
330,Loch::N,hull,тэһэҕэс
331,Loch::N,hull,дьөлөҕөс
332,Winkel::N,vinkel,муннук
333,Muster::N,mønster,оһуор
334,Größe::N,størrelse,кээмэй
335,Länge::N,lengde,уста
336,Höhe::N,høyde,үрдүк
337,Gewicht::N,vekt,ыйааһын
338,Menge::N,mengde,ахсаан
339,Haufen::N,haug,чөмчөх
340,Haufen::N,bunke,чөмчөх
341,Reihe::N,rekke,кэккэ
342,Boot::N,båt,оҥочо
343,Ruder::N,åre,эрдии
344,Schlitten::N,slede,сыарҕа
345,Schlitten::N,kjelke,сыарҕа
346,Ski::N,ski,хайыһар
347,Lagerfeuer::N,leirbål,кутаа
348,Last::N,bør,ыарахан
349,Last::N,last,ыарахан
350,Gang::N,gang,хаамыы
351,Schritt::N,steg,хардыы
352,Schritt::N,skritt,хардыы
353,Norden::N,nord,хоту
354,Süden::N,sør,соҕуруу
355,Westen::N,vest,арҕаа
356,Osten::N,øst,илин
357,Holz::N,tre,мас
358,Brett::N,fjøl,дуоска
359,Brett::N,fjøl,хаптаһын
360,Brett::N,brett,дуоска
361,Brett::N,brett,хаптаһын
362,Platte::N,plate,билиитэ
363,Stütze::N,støtte,тулааһын
364,Stange::N,stang,ураҕас
365,Stock::N,pinne,мас
366,Stock::N,pinne,баалкы
367,Stab::N,stav,ураҕас
368,Stab::N,kjepp,ураҕас
369,Rohr::N,rør,турба
370,Haus::N,hus,дьиэ
371,Heim::N,hjem,дьиэ
372,Ofen::N,ovn,оһох
373,Fußboden::N,gulv,муоста
374,Tisch::N,bord,остуол
375,Stuhl::N,stol,устуул
376,Wiege::N,vogge,биһик
377,Bett::N,seng,кырабаат
378,Regal::N,reol,долбуур
379,Regal::N,hylle,долбуур
380,Kiste::N,kasse,дьааһык
381,Fenster::N,vindu,түннүк
382,Tür::N,dør,аан
383,Tor::N,port,аан
384,Zaun::N,gjerde,соппулуот
385,Dach::N,tak,кырыыса
386,Leiter::N,stige,кирилиэс
387,Besen::N,kost,миинньик
388,Spaten::N,spade,күрдьэх
389,Schaufel::N,skuffe,күрдьэх
390,Gabel::N,gaffel,биилкэ
391,Löffel::N,skje,луоска
392,Messer::N,kniv,быһах
393,Nagel::N,spiker,тоһоҕо
394,Netz::N,nett,илим
395,Haken::N,krok,көхө
396,Griff::N,tak,ук
397,Griff::N,tak,тутаах
398,Griff::N,håndtak,ук
399,Griff::N,håndtak,тутаах
400,Schloss::N,lås,күлүүс
401,Bild::N,bilde,хартыына
402,Figur::N,figur,фигура
403,Puppe::N,dukke,куукула
404,Beutel::N,pose,мөһөөччук
405,Bündel::N,bylt,баайыы
406,Tasche::N,veske,суумка
407,Eimer::N,bøtte,биэдэрэ
408,Deckel::N,lokk,хаппах
409,Geschirr::N,kjøkkentøy,иһит
410,Sack::N,sekk,куул
411,Tasse::N,kopp,сэлиэнэй
412,Topf::N,gryte,көстүрүүҥкэ
413,Kessel::N,kjele,хочуол
414,Essen::N,mål,аһылык
415,Nahrung::N,mat,ас
416,Nahrung::N,næring,ас
417,Speise::N,matrett,аһылык
418,Fleisch::N,kjøtt,эт
419,Getreide::N,korn,злактар
420,Brei::N,grøt,хааһы
421,Brot::N,brød,килиэп
422,Scheibe::N,skive,куһуок
423,Fett::N,fett,сыа
424,Butter::N,smør,арыы
425,Öl::N,olje,арыы
426,Salz::N,salt,туус
427,Suppe::N,suppe,мин
428,Honig::N,honning,мүөт
429,Milch::N,melk,үүт
430,Tee::N,te,чэй
431,Leder::N,lær,тирии
432,Leder::N,skinn,тирии
433,Wolle::N,ull,түү
434,Stoff::N,tøy,таҥас
435,Stoff::N,stoff,таҥас
436,Nadel::N,nål,иннэ
437,Faden::N,tråd,сап
438,Knopf::N,knapp,тимэх
439,Knoten::N,knute,түмүк
440,Farbe::N,farge,кырааска
441,Kleidung::N,påkledning,таҥас
442,Hemd::N,skjorte,ырбаахы
443,Kragen::N,krage,саҕа
444,Ärmel::N,erme,сиэх
445,Hose::N,bukse,ыстаан
446,Hose::N,bukse,бүрүүкэ
447,Gürtel::N,belte,кур
448,Mütze::N,lue,бэргэһэ
449,Schuh::N,sko,бачыыҥка
450,Stiefel::N,støvel,саппыкы
451,Ring::N,ring,биһилэх
452,Band::N,band,лиэнтэ
453,Kamm::N,kam,тараах
454,Spiegel::N,speil,сиэркилэ
455,Riemen::N,rem,кур
456,Schnur::N,snor,быа
457,Leine::N,line,тэһиин
458,Decke::N,teppe,суорҕан
459,Kissen::N,pute,сыттык
460,Tuch::N,tøy,былаат
461,Handtuch::N,håndkle,соттор
462,Kraft::N,kraft,сыра
463,Stärke::N,styrke,күүс
464,Gesundheit::N,helse,доруобуйа
465,Gesundheit::N,sunnhet,доруобуйа
466,Krankheit::N,syke,ыарыы
467,Krankheit::N,sykdom,ыарыы
468,Schmerz::N,smerte,ыарыы
469,Wunde::N,sår,баас
470,Fieber::N,feber,түрүлгэн
471,Fieber::N,feber,лихорадка
472,Fieber::N,feber,температура
473,Arznei::N,medisin,эмп
474,Arznei::N,legemiddel,эмп
475,Brücke::N,bro,күргэ
476,Brunnen::N,brønn,холуодьас
477,Weide::N,beite,мэччирэҥ
478,Pfad::N,sti,ыллык
479,Weg::N,vei,суол
480,Straße::N,gate,суол
481,Dorf::N,landsby,дэриэбинэ
482,Stadt::N,by,куорат
483,Brief::N,brev,сурук
484,Buch::N,bok,кинигэ
485,Buchstabe::N,bokstav,буква
486,Zeitung::N,avis,хаһыат
487,Leben::N,liv,тыын
488,Tod::N,død,өлүү
489,Grab::N,grav,иин
490,Kirche::N,kirke,таҥара дьиэтэ
491,Sünde::N,synd,айыы
492,Gott::N,gud,тангара
493,Arbeiter::N,arbeider,үлэһит
494,Chef::N,sjef,баһылык
495,Chef::N,sjef,начальник
496,Meister::N,mester,уус
497,Meister::N,mester,маастар
498,Arzt::N,lege,врач
499,Lehrer::N,lærer,учуутал
500,Geld::N,penger,харчы
501,Geschäft::N,forretning,идэ
502,Laden::N,butikk,маҕаһыын
503,Preis::N,pris,сыана
504,Ware::N,vare,табаар
505,Nutzen::N,nytte,туһа
506,Reichtum::N,rikdom,баай
507,Welt::N,verden,аан дойду
508,Land::N,land,дойду
509,Staat::N,stat,государство
510,König::N,konge,король
511,Macht::N,makt,былаас
512,Grenze::N,grense,кыраныысса
513,Krieg::N,krig,сэрии
514,Feind::N,fiende,өстөөх
515,Gewalt::N,vold,күүһүлээһин
516,Kampf::N,kamp,охсуһуу
517,Bogen[Waffe]::N,bue,ох
518,Pfeil::N,pil,ох
519,Gewehr::N,gevær,саа
520,Fehler::N,feil,сыыһа
521,Lüge::N,løgn,сымыйа
522,Schaden::N,skade,хоромньу
523,Unglück::N,uhell,алдьархай
524,Schuld::N,skyld,буруй
525,Alter::N,alder,саас
526,Schluss::N,slutt,тиһэх
527,Zeit::N,tid,бириэмэ
528,Tag::N,dag,күн
529,Morgen::N,morgen,сарсыарда
530,Mittag::N,middag,күн ортото
531,Abend::N,aften,киэһэ
532,Nacht::N,natt,түүн
533,Woche::N,uke,нэдиэлэ
534,Monat::N,måned,ый
535,Jahr::N,år,сыл
536,Jahr::N,år,дьыл
537,Frühling::N,vår,саас
538,Sommer::N,sommer,сайын
539,Herbst::N,høst,күһүн
540,Winter::N,vinter,кыһын
541,Januar::N,januar,тохсунньу
542,Februar::N,februar,олунньу
543,März::N,mars,кулун тутар
544,April::N,april,муус устар ый
545,Mai::N,mai,ыам ыйа
546,Juni::N,juni,бэс ыйа
547,Juli::N,juli,от ыйа
548,August::N,august,атырдьах ыйа
549,September::N,september,балаҕан ыйа
550,Oktober::N,oktober,алтынньы
551,November::N,november,сэтинньи
552,Dezember::N,desember,ахсынньы
553,Montag::N,mandag,бэнидиэнньик
554,Dienstag::N,tirsdag,оптуорунньук
555,Mittwoch::N,onsdag,сэрэдэ
556,Donnerstag::N,torsdag,чэппиэр
557,Freitag::N,fredag,бээтинсэ
558,Samstag::N,lørdag,субуота
559,Sonntag::N,søndag,баскыһыанньа
560,groß::A,stor,бөдөҥ
561,groß::A,stor,улахан
562,klein::A,liten,кыр
563,lang::A,lang,уһун
564,kurz::A,kort,кылгас
565,breit::A,bred,кэтит
566,schmal::A,smal,кыараҕас
567,dicht::A,tett,хойуу
568,dick[Gegenstand]::A,tykk,суон
569,dick[Gegenstand]::A,tykk,хойуу
570,dünn::A,tynn,чараас
571,fein::A,fin,бытархай
572,fein::A,fin,синньигес
573,fest::A,fast,бөҕө
574,fest::A,fast,кытаанах
575,flach::A,flat,хаптаҕай
576,glatt::A,glatt,кылааккай
577,hart::A,hard,хатан
578,hart::A,hard,кытаанах
579,weich::A,myk,сымнаҕас
580,weich::A,bløt,сымнаҕас
581,rund::A,rund,төгүрүк
582,spitz::A,spiss,сытыы
583,spitz::A,spiss,уһуктаах
584,scharf::A,kvass,сытыы
585,stumpf::A,stubb,сыппах
586,schwer::A,tung,ыарахан
587,schön::A,pen,кыраһыабай
588,schön::A,vakker,кыраһыабай
589,heiß::A,het,итии
590,warm::A,varm,ичигэс
591,kalt::A,kald,тымныы
592,kühl::A,kjølig,сөрүүн
593,frisch::A,fersk,ыраас
594,frisch::A,fersk,сөрүүн
595,frisch::A,fersk,тымныы
596,feucht::A,fuktig,сииктээх
597,nass::A,våt,инчэҕэй
598,trocken::A,tørr,кураан
599,voll::A,full,толору
600,leer::A,tom,иччитэх
601,offen::A,åpen,аһаҕас
602,geschlossen::A,lukket,бүтэй
603,sauber::A,ren,сэбэр
604,schmutzig::A,skitten,кирдээх
605,roh::A,rå,сиикэй
606,reif::A,moden,буспут
607,reif::A,moden,сиппит-хоппут
608,lecker::A,lekker,минньигэс
609,süß::A,søt,минньигэс
610,bitter::A,besk,аһыы
611,bitter::A,bitter,аһыы
612,sauer::A,sur,аһыы
613,hell::A,lys,сырдык
614,dunkel::A,mørk,хараҥа
615,schwarz::A,svart,хара
616,weiß::A,hvit,үрүҥ
617,weiß::A,hvit,маҥан
618,rot::A,rød,кыһыл
619,gelb::A,gul,саһархай
620,blau::A,blå,күөх
621,grün::A,grønn,күөх
622,grün::A,grønn,от күөҕэ
623,grau::A,grå,сиэрэй
624,bunt::A,broket,эриэн
625,billig::A,billig,чэпчэки
626,teuer::A,dyr,сыаналаах
627,wertvoll::A,verdifull,сыаналаах
628,blind::A,blind,хараҕа суох
629,taub::A,døv,дьүлэй
630,kräftig::A,kraftig,модун
631,stark::A,sterk,күүстээх
632,schwach::A,svak,мөлтөх
633,fett::A,fet,эмис
634,schlank::A,slank,дьылҕан
635,schlank::A,slank,дьыпсаҕай
636,hübsch::A,pen,олус кэрэ
637,hübsch::A,pen,көрүөхтэн үчүгэй
638,böse::A,slem,өһүөннээх
639,dumm::A,dum,акаары
640,faul::A,lat,нэс
641,faul::A,doven,нэс
642,fleißig::A,flittig,кыһамньылаах
643,geizig::A,gjerrig,иҥсэлээх
644,klug::A,klok,өйдөөх
645,geschickt::A,hendig,наһаа дьоҕурдаах
646,geschickt::A,skikket,наһаа дьоҕурдаах
647,lieb::A,kjær,тапталлаах
648,lieb::A,snill,тапталлаах
649,lustig::A,morsom,көрдөөх
650,sanft::A,blid,намчы
651,sanft::A,blid,сымнаҕас
652,hungrig::A,sulten,аччык
653,krank::A,syk,ыалдьар
654,nackt::A,naken,сыгынньах
655,traurig::A,sørgmodig,санаарҕабыллаах
656,lebendig::A,levende,тыыннаах
657,gut::A,god,үтүө
658,gut::A,god,үчүгэй
659,schlecht::A,dårlig,куһаҕан
660,richtig::A,riktig,сөп
661,schlimm::A,slem,сидьиҥ
662,schlimm::A,slem,быдьар
663,wahr::A,sann,кырдьык
664,alt::A,gammel,былыргы
665,neu::A,ny,саҥа
666,ehemalig::A,forhenværende,урукку
667,alt[Lebewesen]::A,gammel,кырдьаҕас
668,jung::A,ung,эдэр
669,arm::A,fattig,дьадаҥы
670,reich::A,rik,баай
671,bekannt::A,kjent,билэр
672,berühmt::A,berømt,аатырбыт
673,fremd::A,fremmed,атын
674,verschieden::A,forskjellig,араас
675,nah::A,nær,чугас
676,fern::A,fjern,ыраах
677,linker::A,venstre,хаҥас
678,rechter::A,høyre,уҥа
679,anderer::A,annen,атын
680,erster::A,første,маҥнайгы
681,zweiter::A,annen,иккис
682,dritter::A,tredje,үһүс
683,letzter::A,sist,тиһэх
684,allein::ADV,alene,соҕотох
685,auf einmal::ADV,med ett,биирдэ
686,zusammen::ADV,sammen,холбуу
687,lange::ADV,lenge,уһуннук
688,plötzlich::ADV,plutselig,эмискэ
689,sofort::ADV,straks,тута
690,später::ADV,senere,хойут
691,jetzt::ADV,nå,билигин
692,heute::ADV,i dag,бүгүн
693,morgen::ADV,i morgen,сарсын
694,bald::ADV,snart,өтөр
695,dann::ADV,så,кэнна
696,gestern::ADV,i går,бэҕэһээ
697,einst::ADV,engang,биир төгүл
698,einst::ADV,engang,арай биирдэ
699,damals::ADV,den gang,оччоҕо
700,danach::ADV,deretter,аары
701,danach::ADV,deretter,ол кэнниттэн
702,vorher::ADV,før,урут
703,vorher::ADV,i forveien,урут
704,zuerst::ADV,først,маҥнай
705,einmal::ADV,en gang,биирдэ
706,manchmal::ADV,somme tider,арыт
707,oft::ADV,ofte,чаастатык
708,immer::ADV,alltid,мэлдьи
709,niemals::ADV,aldri,хаһан да
710,hier::ADV,her,маныаха
711,hierhin::ADV,hit,бэттэх
712,von hier::ADV,herfra,мантан
713,dort::ADV,der,онно
714,dorthin::ADV,dit,онно
715,geradeaus::ADV,rett fram,быһа
716,geradeaus::ADV,rett fram,быһаччы
717,vorwärts::ADV,fram,инники
718,vorwärts::ADV,framover,инники
719,rückwärts::ADV,baklengs,төттөру
720,zurück::ADV,tilbake,төттөрү
721,unten::ADV,nede,аллара
722,hinab::ADV,ned,аллара
723,hinab::ADV,nedover,аллара
724,oben::ADV,oppe,үөһэ
725,oben::ADV,ovenpå,үөһэ
726,hinauf::ADV,opp,өрө
727,hinauf::ADV,opp,үөһэ
728,hinauf::ADV,oppover,өрө
729,hinauf::ADV,oppover,үөһэ
730,überall::ADV,overalt,бэйдиэ
731,nicht::ADV,ikke,буолбатах
732,ein wenig::ADV,litt,кыратык
733,kaum::ADV,neppe,нэһиилэ
734,sehr::ADV,svært,бэрт
735,sehr::ADV,svært,наһаа
736,so::ADV,så,оччо
737,so::ADV,så,оннук
738,noch::ADV,enda,өссө
739,nur::ADV,bare,эрэ
740,nur::ADV,bare,сыччах
741,schon::ADV,alt,бэлиэр
742,schon::ADV,allerede,бэлиэр
743,wieder::ADV,igjen,эмиэ
744,vergebens::ADV,forgjeves,таак
745,vor::PRP,foran,иннигэр
746,vor::PRP,utenfor,иннигэр
747,hinter::PRP,bak,кэлин
748,hinter::PRP,bakom,кэлин
749,unter::PRP,under,-ҕа
750,unter::PRP,under,оһох түгэҕэ
751,durch::PRP,gjennom,курдары
752,durch::PRP,igjennom,курдары
753,neben::PRP,ved siden av,аттыгар
754,zwischen::PRP,mellom,ыккардынан
755,wegen::PRP,på grunn av,уҥуортан
756,dies::PRN,dette,ити
757,dies::PRN,dette,бу
758,das::PRN,det,били
759,alles::PRN,alt,барыта
760,ich::PRN,jeg,мин
761,du::PRN,du,эн
762,er::PRN,han,кнни
763,wir::PRN,vi,биһиги
764,ihr::PRN,dere,эһиги
765,sie::PRN,de,кинилэр
766,was::FPRN,hva,туох
767,wer::FPRN,hvem,ким
768,wo::FADV,hvor,ханна
769,wohin::FADV,hvor ... hen,ханна
770,wie::FADV,hvordan,хайдах
771,warum::FADV,hvorfor,тоҕо
772,wieviel::FNUM,hvor mye,төһө
773,eins::NUM,en,биир
774,eins::NUM,ett,биир
775,zwei::NUM,to,икки
776,drei::NUM,tre,үс
777,vier::NUM,fire,түөрт
778,fünf::NUM,fem,биэс
779,sechs::NUM,seks,алта
780,sieben::NUM,sju,сэттэ
781,acht::NUM,åtte,аҕыс
782,neun::NUM,ni,тоҕус
783,zehn::NUM,ti,уон
784,elf::NUM,elleve,уон биир
785,zwölf::NUM,tolv,уон икки
786,zwanzig::NUM,tjue,сүүрбэ
787,dreißig::NUM,tretti,отут
788,vierzig::NUM,førti,түөрт уон
789,fünfzig::NUM,femti,биэс уон
