,Concept_ID,uk,kl
63,Himmel::N,небо,qilak
64,Sonne::N,сонце,seqineq
65,Mond::N,місяць,qaammat
66,Stern::N,зірка,ulloriaq
67,Luft::N,повітря,silaannaq
68,Wind::N,вітер,anori
69,Wind::N,вітер,anorsarik
70,Welle::N,хвиля,aalappaa
71,Wasser::N,вода,imeq
72,Stein::N,камінь,ujarak
73,Boden::N,ґрунт,nateq
74,Erde::N,земля,issoq
75,Staub::N,пил,pujualanerit
76,Staub::N,пил,pujoralanerit
77,Rauch::N,дим,iseq
78,Rauch::N,дим,pujoq
79,Funke::N,іскра,illoorneq
80,Feuer::N,вогонь,inneq
81,Licht::N,світло,qaamaneq
82,Schatten::N,тінь,tarraq
83,Wetter::N,погода,sila
84,Nebel::N,туман,pujoq
85,Wolke::N,хмара,nuia
86,Regen::N,дощ,sialuk
87,Schnee::N,сніг,aput
88,Eis::N,лід,siku
89,Frost::N,мороз,issi
90,Frost::N,мороз,issik
91,Kälte::N,холод,issi
92,Hitze::N,жар,kianneq
93,Hitze::N,жар,kiassuseq
94,Raureif::N,іній,kaneq
95,Regenbogen::N,райдуга,neriusaaq
96,Donner::N,грім,kalleq
97,Strömung::N,струмина,
98,Tropfen::N,крапля,kuseriarneq
99,Schaum::N,піна,qapuk
100,Schmutz::N,бруд,minguk
101,See::N,озеро,taseq
102,Sumpf::N,драговина,maqulluk
103,Moor::N,болото,
104,Wiese::N,луг,masarsuk
105,Wiese::N,лука,masarsuk
106,Wald::N,ліс,
107,Hügel::N,горб,qattuneq
108,Hügel::N,горб,majuariaq
109,Hügel::N,горб,majorajaaq
110,Hügel::N,горб,qaqqannguaq
111,Anhöhe::N,височина,
112,Berg::N,гора,qaqqaq
113,Gipfel::N,вершина,
114,Höhle::N,печера,qaarusuk
115,Abhang::N,схил,ippik
116,Abhang::N,схил,sivinganeq
117,Abhang::N,схил,sivingajaaq
118,Abhang::N,схил,kussangajaaq
119,Quelle::N,джерело,
120,Bach::N,струмок,kuunnguaq
121,Fluss::N,річка,kuuk
122,Ufer::N,берег,sissap sinaa
123,Küste::N,узбережжя,sineriak
124,Festland::N,суша,
125,Meer::N,море,imaq
126,Bucht::N,бухта,ikeq
127,Bucht::N,бухта,kangerluk
128,Bucht::N,бухта,kangerliumaneq
129,Bucht::N,затока,ikeq
130,Bucht::N,затока,kangerluk
131,Bucht::N,затока,kangerliumaneq
132,Insel::N,острів,qeqertaq
133,Blume::N,квітка,naasoq
134,Gras::N,трава,ivigaq
135,Wurzel::N,корінь,niulutaq
136,Baum::N,дерево,orpik
137,Stamm::N,стовбур,kanaartaq
138,Rinde::N,кора,ameraq
139,Ast::N,гілка,avalequt
140,Zweig::N,галузь,avalequt
141,Blatt::N,лист,pilutaq
142,Birke::N,береза,patitsit
143,Kiefer[Baum]::N,сосна,
144,Weide[Baum]::N,верба,palleq
145,Tanne::N,ялиця,orsuerneq
146,Horn::N,ріг,nassuk
147,Feder::N,перо,suluk
148,Fell::N,хутро,ameq
149,Flügel::N,крило,suluk
150,Flügel::N,крило,isaroq
151,Klaue::N,кіготь,kukik
152,Kralle::N,лапа,kukik
153,Schwanz::N,хвіст,pamioq
154,Schwanz::N,хвіст,paperuusaq
155,Ei::N,яйце,mannik
156,Nest::N,гніздо,ullut
157,Bau::N,лігво,ini
158,Tier::N,тварина,uumasoq
159,Herde::N,стадо,unguukkat
160,Kuh::N,корова,ussik
161,Bulle::N,бик,angukulak
162,Bulle::N,бик,anguteralak
163,Bulle::N,бик,angutikulooq
164,Bulle::N,бугай,angukulak
165,Bulle::N,бугай,anguteralak
166,Bulle::N,бугай,angutikulooq
167,Pferd::N,кінь,
168,Schaf::N,вівця,sava
169,Schwein::N,свиня,puuluki
170,Hund::N,собака,qimmeq
171,Katze::N,кішка,puisaaq
172,Bär::N,ведмідь,allaq
173,Eichhörnchen::N,білка,sissinnguaq
174,Elch::N,лось,
175,Fuchs::N,лисиця,terianniaq
176,Hase::N,заєць,ukaleq
177,Maus::N,миша,teriannguaq
178,Wolf::N,вовк,amaroq
179,Vogel::N,птах,timmiaq
180,Schwarm::N,зграя,
181,Huhn::N,курка,kukkukooq
182,Huhn::N,курка,marloraaqaaq
183,Hahn::N,півень,kiasiusaq
184,Gans::N,гуска,nerleq
185,Adler::N,орел,nattoralik
186,Ente::N,качка,
187,Eule::N,сова,uppik
188,Kranich::N,журавель,qorlorfik
189,Krähe::N,ворона,tuluatsiaq
190,Kuckuck::N,зозуля,kukkooq
191,Schwan::N,лебідь,qussuk
192,Fisch::N,риба,aalisagaq
193,Barsch::N,окунь,
194,Hecht::N,щука,
195,Schlange[Tier]::N,змія,pulateriarsuk
196,Schlange[Tier]::N,змія,pulateriaarsuk
197,Wurm::N,черв’як,
198,Spinne::N,павук,aasiaq
199,Spinne::N,павук,nissavaarsuk
200,Ameise::N,мурашка,uniaaluk
201,Laus::N,воша,kumak
202,Mücke::N,комар,ippernaq
203,Fliege::N,муха,ippernaq
204,Schmetterling::N,метелик,paluaq
205,Schmetterling::N,метелик,pakkaluaq
206,Schmetterling::N,метелик,utsuppaluaq
207,Schmetterling::N,метелик,taqaleqisaaq
208,Beere::N,ягода,paarmaq
209,Beere::N,ягода,paarngaq
210,Apfel::N,яблуко,iipili
211,Pilz::N,гриб,anngiusaq
212,Zwiebel::N,цибуля,uanitsoq
213,Saat::N,сім’я,naatsiiassaq
214,Korn::N,зерно,maannineq
215,Heu::N,сіно,
216,Schale::N,шкірка,niutsivik
217,Schale::N,шкірка,ilulissaq qaartussaq
218,Grube::N,яма,itersaq
219,Falle::N,пастка,pualavoq
220,Schlinge::N,петля,orseq
221,Schlinge::N,петля,norloq
222,Spur::N,слід,tumaa
223,Asche::N,зола,arsat
224,Asche::N,попіл,arsat
225,Dreck::N,бруд,minguk
226,Eisen::N,залізо,savimineq
227,Eisen::N,залізо,saffiugassaq
228,Gold::N,золото,kuulti
229,Silber::N,срібло,siilviuvoq
230,Kohle::N,вугілля,aamarsuit aamaruutissat
231,Glas::N,скло,igalaaq
232,Glas::N,скло,imertarfik
233,Glas::N,скло,igalaamineq
234,Lehm::N,глина,marraq
235,Sand::N,пісок,sioqqat
236,Mensch::N,людина,inuk
237,Mensch::N,людина,silamiu
238,Mann::N,чоловік,angut
239,Frau::N,жінка,arnaq
240,Kind::N,дитина,meeraq
241,Junge::N,хлопець,nukappiaraq
242,Mädchen::N,дівчина,arnannguaq
243,Familie::N,сім’я,ilaqutakka
244,Familie::N,сім’я,ilaqutariit
245,Familie::N,родина,ilaqutakka
246,Familie::N,родина,ilaqutariit
247,Großvater::N,дідусь,aatak
248,Großmutter::N,бабуся,aanaq
249,Eltern::N,батьки,angajoqqaat
250,Vater::N,батько,ataata
251,Vater::N,батько,ataataq
252,Mutter::N,мати,anaana
253,Sohn::N,син,erneq
254,Tochter::N,дочка,panik
255,Bruder::N,брат,ani
256,Bruder::N,брат,aqqaluk
257,Bruder::N,брат,qatanngut
258,Schwester::N,сестра,naja
259,Schwester::N,сестра,aleqa
260,Schwester::N,сестра,qatanngut
261,Onkel::N,дядько,akkak
262,Tante::N,тітка,aja
263,Tante::N,тітка,ajak
264,Tante::N,тітка,atsak
265,Ehemann::N,чоловік,ui
266,Ehefrau::N,жінка,nuliaq
267,Ehefrau::N,дружина,nuliaq
268,Freude::N,радощі,tipaatsussuseq
269,Gelächter::N,сміх,illaq
270,Glück::N,щастя,usornaat
271,Glück::N,щастя,usornarsuseq
272,Kummer::N,горе,
273,Wunsch::N,бажання,kissaat
274,Lust::N,бажання,illigussuseq
275,Lust::N,бажання,piummaseq
276,Geist::N,дух,anerneq
277,Geist::N,дух,toornaq
278,Gedanke::N,думка,isumassaq
279,Gedächtnis::N,пам’ять,eqqaamannissuseq
280,Verstand::N,розум,isuma
281,Verstand::N,розум,sianissut
282,Verstand::N,розум,misigissut
283,Verstand::N,розум,sianissuseq
284,Verstand::N,розум,silaqassuseq
285,Sinn::N,зміст,isuma
286,Sinn::N,значення,isuma
287,Grund::N,причина,patsit
288,Wahrheit::N,правда,sallusuissut
289,Gespräch::N,розмова,
290,Märchen::N,байка,oqalualaarut
291,Märchen::N,байка,oqaluasaaq
292,Erzählung::N,повість,oqaluttuaq
293,Erzählung::N,оповідання,oqaluttuaq
294,Nachricht::N,повідомлення,oqaassut
295,Nachricht::N,повідомлення,oqqersuut
296,Neuigkeit::N,новина,tusarnartaq
297,Name::N,ім’я,ateq
298,Rätsel::N,загадка,nalorsitsaarut
299,Rede::N,промова,oqaluuseq
300,Sprache::N,мова,oqaatsit
301,Stimme::N,голос,erinaq
302,Stimme::N,голос,qarluuseq
303,Wort::N,слово,oqaasii
304,Zeichen::N,знак,nalunaaqqut
305,Ruf::N,оклик,qaaqqussut
306,Lärm::N,шум,perpaluk
307,Laut::N,звук,torsukattak
308,Ton::N,тон,erinaq
309,Lied::N,пісня,taalliaq
310,Lied::N,пісня,erinarsuut
311,Ruhe::N,спокій,qatsunganeq
312,Leute::N,люди,inuiak
313,Leute::N,люди,inuiaqatigiit
314,Volk::N,народ,inuiaat
315,Arbeit::N,робота,suliaq
316,Gast::N,гість,qaaqqusaq
317,Geschenk::N,подарунок,pajugut
318,Spiel::N,гра,
319,Gesellschaft::N,товариство,
320,Hilfe::N,допомога,annertoqqut
321,Freund::N,друг,tiliaq
322,Freund::N,друг,ikinngut
323,Freund::N,приятель,tiliaq
324,Freund::N,приятель,ikinngut
325,Kamerad::N,товариш,tiliaq
326,Kamerad::N,товариш,ikinngut
327,Angelegenheit::N,справа,
328,Anzahl::N,число,
329,Art::N,рід,ileqquuseq
330,Stück::N,кусок,nakkaalaniku
331,Teil::N,частина,tassiaasat
332,Hälfte::N,половина,affaq
333,Kreis::N,круг,kaajaluinneq or kaajaluitsoq
334,Kreis::N,коло,kaajaluinneq or kaajaluitsoq
335,Kreuz::N,хрест,sanningasulik
336,Linie::N,лінія,tittaq
337,Linie::N,лінія,titarneq
338,Strich::N,штрих,
339,Abstand::N,проміжок,aku
340,Abstand::N,проміжок,ikiaq
341,Entfernung::N,відстань,asi
342,Gegend::N,місцевість,nuna
343,Platz::N,площа,ini
344,Platz::N,площа,inissaq
345,Ort::N,місце,sumiiffik
346,Seite::N,сторона,saneraq
347,Mitte::N,середина,qiteq
348,Gegenstand::N,предмет,
349,Sache::N,річ,pigisaq
350,Rand::N,край,sini
351,Rand::N,край,akerfineq
352,Kante::N,ребро,akerfineq
353,Ecke::N,ріг,teqeqqoq
354,Ecke::N,ріг,tikeqqoq
355,Spitze::N,кінчик,inngik
356,Ende::N,кінець,isu
357,Loch::N,діра,putu
358,Winkel::N,куток,teqeqqorissaat
359,Muster::N,узор,ilisserut
360,Größe::N,розмір,angissuseq
361,Länge::N,довжина,takissuseq
362,Höhe::N,висота,
363,Gewicht::N,вага,oqimaalutaq
364,Menge::N,кількість,amerlassuseq
365,Haufen::N,купа,eqimattat
366,Reihe::N,ряд,allunaasaq
367,Boot::N,човен,qajaq
368,Boot::N,човен,angallat
369,Boot::N,човен,umiatsiaq
370,Ruder::N,весло,iput
371,Schlitten::N,сани,qamutit
372,Schlitten::N,сани,qimusseq
373,Ski::N,лижа,ataarut
374,Lagerfeuer::N,вогнище,
375,Last::N,тягар,nammagaq
376,Last::N,вантаж,nammagaq
377,Gang::N,хід,
378,Schritt::N,крок,allorneq
379,Norden::N,північ,avannaq
380,Süden::N,південь,qava
381,Süden::N,південь,kujat
382,Süden::N,південь,kujataa
383,Westen::N,захід,kitaa
384,Osten::N,схід,kangi
385,Holz::N,дрова,qisuk
386,Brett::N,дошка,salliligaq
387,Platte::N,плита,qaateq
388,Stütze::N,підпірка,ajagutaq
389,Stütze::N,підпірка,ajaagutaq
390,Stange::N,жердина,kaaviffik
391,Stock::N,палиця,ajaappissat
392,Stab::N,палиця,ajaappissat
393,Rohr::N,труба,sullulik
394,Haus::N,дім,illu
395,Haus::N,хата,illu
396,Heim::N,житло,
397,Ofen::N,піч,kissarsuut
398,Fußboden::N,підлога,nateq
399,Tisch::N,стіл,allattarfik
400,Stuhl::N,стілець,issiavik
401,Stuhl::N,стілець,issiaffik
402,Wiege::N,колиска,uaasoq
403,Bett::N,ліжко,nallavik
404,Bett::N,постіль,nallavik
405,Regal::N,полиця,ilisivik
406,Kiste::N,ящик,sakissat
407,Kiste::N,ящик,illerfiusaq
408,Fenster::N,вікно,aki
409,Fenster::N,вікно,igalaaq
410,Tür::N,двері,matu
411,Tor::N,ворота,isaaffik
412,Zaun::N,паркан,saputit
413,Zaun::N,огорожа,saputit
414,Dach::N,дах,qaliaq
415,Leiter::N,драбина,tummeqqat
416,Leiter::N,драбина,majuartarfiit
417,Besen::N,мітла,saligutit
418,Spaten::N,заступ,nivaataq
419,Schaufel::N,совок,nivaataq
420,Schaufel::N,лопата,nivaataq
421,Gabel::N,виделка,qilluaq
422,Gabel::N,виделка,ajassaatit
423,Löffel::N,ложка,alussaat
424,Messer::N,ніж,savik
425,Nagel::N,цвях,kukik
426,Netz::N,сіть,anguffaseq
427,Haken::N,крюк,nissik
428,Haken::N,крюк,qarsorsaq
429,Haken::N,крюк,qarsorsartoq
430,Griff::N,ручка,ipi
431,Griff::N,держак,ipi
432,Schloss::N,замок,illussaarsuaq
433,Bild::N,картина,assiliaq
434,Figur::N,фігура,kisitsit
435,Puppe::N,лялька,inuusaq
436,Beutel::N,мішечок,
437,Beutel::N,торбинка,
438,Bündel::N,в’язка,qilertaq
439,Tasche::N,сумка,pooqattaq
440,Eimer::N,відро,
441,Deckel::N,кришка,matu
442,Geschirr::N,посуд,anut
443,Sack::N,мішок,
444,Tasse::N,чашка,tiitorfik
445,Tasse::N,чашка,tiitorfiup ilorlia
446,Topf::N,горщик,qoqqoq
447,Kessel::N,котел,uunnaavik
448,Essen::N,їжа,igaaq
449,Nahrung::N,харч,neqissaq
450,Speise::N,страва,nerisassat
451,Fleisch::N,м’ясо,neqi
452,Getreide::N,хліб,maannineq
453,Getreide::N,збіжжя,maannineq
454,Brei::N,каша,
455,Brot::N,хліб,iffit
456,Brot::N,хліб,iffiaq
457,Scheibe::N,скибочка,igalaassiaq
458,Fett::N,жир,tarnutissaq
459,Fett::N,жир,tarnutissiaq
460,Butter::N,масло,punneq
461,Öl::N,олія,uulia
462,Salz::N,сіль,taratsut
463,Suppe::N,суп,qajoq
464,Honig::N,мед,tungusunnitsuut
465,Milch::N,молоко,immuk
466,Tee::N,чай,tii
467,Tee::N,чай,teeq
468,Leder::N,шкіра,
469,Wolle::N,шерсть,nuersagassiaq
470,Stoff::N,тканина,milliaq
471,Stoff::N,тканина,qarlissiaq
472,Nadel::N,голка,meqqut
473,Faden::N,нитка,ujalussiaq
474,Knopf::N,ґудзик,attat
475,Knoten::N,вузол,akeroq
476,Knoten::N,вузол,qilerneq
477,Farbe::N,фарба,qalipaat
478,Kleidung::N,одяг,atisat
479,Kleidung::N,одяг,annoraaq
480,Kleidung::N,убрання,atisat
481,Kleidung::N,убрання,annoraaq
482,Hemd::N,сорочка,ilupaaq
483,Kragen::N,комір,qungasiinnaq
484,Ärmel::N,рукав,aaq
485,Hose::N,брюки,qarliit
486,Gürtel::N,пояс,qiterut
487,Gürtel::N,пояс,unngersaq
488,Mütze::N,шапка,nasaq
489,Schuh::N,ботинок,skuu
490,Schuh::N,ботинок,ikernuk
491,Schuh::N,ботинок,ateraasaq
492,Stiefel::N,чобіт,kamik
493,Ring::N,кільце,assammiu
494,Band::N,стрічка,qilerutissiaq
495,Kamm::N,гребінець,illaagutit
496,Kamm::N,гребінець,illaajaatit pl.
497,Spiegel::N,дзеркало,tarrarsuut
498,Riemen::N,ремінь,allunaaq
499,Schnur::N,вірьовка,kujaaq
500,Schnur::N,вірьовка,allunaasaq
501,Leine::N,шворка,aleq
502,Decke::N,ковдра,qipik
503,Kissen::N,подушка,akit
504,Tuch::N,хустка,qarlissiaq
505,Handtuch::N,рушник,allarut
506,Handtuch::N,рушник,allarterut
507,Kraft::N,сила,pissak
508,Stärke::N,сила,qerattarsaat
509,Gesundheit::N,здоров’я,peqqisusseq
510,Krankheit::N,хвороба,nappaat
511,Schmerz::N,біль,anniaat
512,Wunde::N,рана,iki
513,Fieber::N,гарячка,nappaat qanimanartoq
514,Arznei::N,ліки,imigassaq
515,Brücke::N,міст,ikaartarfik
516,Brunnen::N,колодязь,tissaluttuliaq
517,Weide::N,пасовище,masarsuk
518,Pfad::N,стежка,aqqut
519,Weg::N,шлях,aggerfik
520,Weg::N,дорога,aggerfik
521,Straße::N,вулиця,aqqusineq
522,Dorf::N,село,nunaqarfik
523,Stadt::N,місто,illorpaat
524,Stadt::N,місто,illorpalik
525,Brief::N,лист,allagarsiaq
526,Buch::N,книга,atuakkat
527,Buch::N,книга,mappersagaq
528,Buch::N,книжка,atuakkat
529,Buch::N,книжка,mappersagaq
530,Buchstabe::N,буква,naqinneq
531,Buchstabe::N,літера,naqinneq
532,Zeitung::N,газета,aviisi
533,Leben::N,життя,inuussuseq
534,Tod::N,смерть,toqu
535,Tod::N,смерть,toquneq
536,Grab::N,могила,iliveq
537,Grab::N,могила,illissat
538,Kirche::N,церква,oqaluffik
539,Sünde::N,гріх,ajorti
540,Gott::N,бог,
541,Arbeiter::N,робітник,sulisoq
542,Chef::N,хазяїн,ittoqut
543,Meister::N,умілець,naalagaq
544,Arzt::N,лікар,katsorsaasoq
545,Lehrer::N,вчитель,ilinniartitsisoq
546,Geld::N,гроші,aningaasat
547,Geschäft::N,заняття,niuertarfik
548,Laden::N,магазин,niuertarfik
549,Laden::N,крамниця,niuertarfik
550,Preis::N,ціна,aki
551,Ware::N,товар,qaliata pii
552,Ware::N,товар,nioqqutissaq
553,Nutzen::N,вигода,iluaqut
554,Nutzen::N,користь,iluaqut
555,Reichtum::N,багатство,
556,Welt::N,світ,nunarsuaq
557,Land::N,країна,nuna
558,Staat::N,держава,
559,König::N,король,kunngi
560,Macht::N,влада,pissaassuseq
561,Grenze::N,кордон,killik
562,Krieg::N,війна,sorsunneq
563,Feind::N,ворог,akeraq
564,Feind::N,ворог,akerartorti
565,Feind::N,ворог,qinngarsuisoq
566,Gewalt::N,насильство,
567,Kampf::N,бій,sorsunneq
568,Kampf::N,боротьба,sorsunneq
569,Bogen[Waffe]::N,лук,
570,Pfeil::N,стріла,qalugiusaq
571,Gewehr::N,рушниця,aallaat
572,Gewehr::N,гвинтівка,aallaat
573,Fehler::N,помилка,kukkuneq
574,Fehler::N,помилка,paarlaappaa
575,Lüge::N,брехня,
576,Schaden::N,шкода,
577,Schaden::N,збиток,
578,Unglück::N,нещастя,perluut
579,Schuld::N,провина,akiitsugaq
580,Schuld::N,провина,akiligassaq
581,Alter::N,вік,utoqqaq
582,Alter::N,літа,utoqqaq
583,Schluss::N,кінець,isu
584,Zeit::N,час,ulloq
585,Zeit::N,час,akuttoqatigiinneq
586,Tag::N,день,ulloq
587,Morgen::N,ранок,ullaaq
588,Mittag::N,південь,ulloqeqqa
589,Abend::N,вечір,unnuk
590,Nacht::N,ніч,unnuaq
591,Woche::N,тиждень,sapaatip akunnera
592,Monat::N,місяць,qaammat
593,Jahr::N,рік,ukioq
594,Frühling::N,весна,upernaaq
595,Sommer::N,літо,aasaq
596,Herbst::N,осінь,ukiaq
597,Winter::N,зима,ukioq
598,Januar::N,січень,siulleeq
599,Januar::N,січень,qaammaliaq
600,Februar::N,лютий,aarlaat
601,März::N,березень,marsi
602,März::N,березень,martsi
603,April::N,квітень,
604,Mai::N,травень,maaji
605,Juni::N,червень,juuni
606,Juli::N,липень,juuli
607,August::N,серпень,aggusti
608,September::N,вересень,septembari
609,Oktober::N,жовтень,oktobari
610,November::N,листопад,novembari
611,Dezember::N,грудень,detsembari
612,Montag::N,понеділок,ataasinngortoq
613,Dienstag::N,вівторок,marlunngorneq
614,Mittwoch::N,середа,pingasunngorneq
615,Donnerstag::N,четвер,sisamanngorneq
616,Freitag::N,п’ятниця,tallimanngorneq
617,Samstag::N,субота,arfininngorneq
618,Sonntag::N,неділя,sapaat
619,Sonntag::N,неділя,sapaati
620,groß::A,великий,angivoq
621,klein::A,малий,mikivoq
622,klein::A,маленький,mikivoq
623,lang::A,довгий,takisooq
624,kurz::A,короткий,naatsoq
625,breit::A,широкий,silippoq
626,schmal::A,вузький,amitsoq
627,dicht::A,густий,torsusooq
628,dick[Gegenstand]::A,товстий,issuvoq
629,dick[Gegenstand]::A,товстий,issusooq
630,dünn::A,тонкий,amitsoq
631,fein::A,дрібний,mamarpoq
632,fest::A,міцний,tangeqarpoq
633,flach::A,плоский,nalimmappoq
634,glatt::A,рівний,quasak
635,glatt::A,гладенький,quasak
636,hart::A,твердий,mattusooq
637,hart::A,твердий,manngerpoq
638,hart::A,твердий,titeqquluppoq
639,weich::A,м’який,nerumaarpoq
640,rund::A,круглий,ammallorippoq
641,spitz::A,гострокінцевий,qummukujooq
642,scharf::A,гострий,ipippoq
643,stumpf::A,тупий,anngerpoq
644,schwer::A,важкий,oqimaappoq
645,schön::A,вродливий,kusanarpoq
646,heiß::A,жаркий,kiappoq
647,heiß::A,гарячий,kiappoq
648,warm::A,теплий,oqorpoq
649,kalt::A,холодний,issippoq
650,kühl::A,прохолодний,pueqqortippoq
651,frisch::A,свіжий,
652,feucht::A,вогкий,isugutavoq
653,feucht::A,вогкий,qaasernarpoq
654,nass::A,мокрий,imerorpoq
655,trocken::A,сухий,panerpoq
656,voll::A,повний,ulikkaarpoq
657,leer::A,пустий,imaattuarpoq
658,offen::A,відкритий,ammavoq
659,geschlossen::A,закритий,matuvoq
660,geschlossen::A,зачинений,matuvoq
661,sauber::A,чистий,eqqippoq
662,sauber::A,чистий,sukuluippoq
663,sauber::A,чистий,ipeqanngilaq
664,sauber::A,охайний,eqqippoq
665,sauber::A,охайний,sukuluippoq
666,sauber::A,охайний,ipeqanngilaq
667,schmutzig::A,брудний,tapappoq
668,schmutzig::A,брудний,minguppoq
669,roh::A,сирий,aapavoq
670,reif::A,зрілий,qaarulerpoq
671,lecker::A,смачний,
672,süß::A,солодкий,tungusunnippoq
673,bitter::A,гіркий,qasilippoq
674,sauer::A,кислий,
675,hell::A,світлий,qaamavoq
676,dunkel::A,темний,qernerpoq
677,schwarz::A,чорний,qernerpoq
678,weiß::A,сивий,qaqorpoq
679,rot::A,червоний,aappaluppoq
680,gelb::A,жовтий,sungaarpoq
681,blau::A,синій,tungujorpoq
682,grün::A,зелений,qorsooqqippoq
683,grau::A,сірий,qaserpoq
684,bunt::A,барвистий,
685,billig::A,дешевий,akikippoq
686,teuer::A,дорогий,
687,wertvoll::A,цінний,erlinnarpoq
688,blind::A,сліпий,tappiippoq
689,blind::A,сліпий,isigisaqanngilaq
690,taub::A,глухий,tusilarpoq
691,kräftig::A,могутній,pissaq
692,kräftig::A,могутній,pissarsuaq
693,stark::A,сильний,sanngivoq
694,schwach::A,слабкий,nakuippoq
695,fett::A,жирний,pualavoq
696,fett::A,товстий,pualavoq
697,schlank::A,тонкий,tuappoq
698,schlank::A,стрункий,tuappoq
699,hübsch::A,чарівний,aatsialaq
700,böse::A,злий,ajorpoq
701,böse::A,лихий,ajorpoq
702,dumm::A,дурний,taqajak
703,dumm::A,дурний,sikkilluppoq
704,dumm::A,дурний,qaatusimasaqanngilaq
705,faul::A,ледачий,eqiasuppoq
706,faul::A,ледачий,eqiattortuvoq
707,fleißig::A,старанний,eqiasuippoq
708,geizig::A,скупий,iasilaarpoq
709,geizig::A,скупий,tukkuippoq
710,klug::A,мудрий,mallak
711,klug::A,мудрий,ittanneq
712,klug::A,мудрий,kutaappoq
713,klug::A,мудрий,kuttaappoq
714,klug::A,мудрий,qarasagippoq
715,klug::A,розумний,mallak
716,klug::A,розумний,ittanneq
717,klug::A,розумний,kutaappoq
718,klug::A,розумний,kuttaappoq
719,klug::A,розумний,qarasagippoq
720,geschickt::A,умілий,
721,lieb::A,милий,akisooq
722,lustig::A,веселий,piikulavoq
723,sanft::A,лагідний,isumagippoq
724,hungrig::A,голодний,kaappoq
725,hungrig::A,голодний,perlilerpoq
726,krank::A,слабий,napparsimavoq
727,nackt::A,голий,
728,traurig::A,сумний,aliasuppoq
729,lebendig::A,живий,uumavoq
730,gut::A,добрий,ajunngilaq
731,schlecht::A,поганий,sualuppoq
732,schlecht::A,кепський,sualuppoq
733,richtig::A,правильний,iluarpoq
734,schlimm::A,бридкий,amiilaarnarpoq
735,wahr::A,справжній,ilumoorpoq
736,alt::A,старий,pisoqaq
737,neu::A,новий,nutaavoq
738,ehemalig::A,колишній,
739,alt[Lebewesen]::A,старий,utoqqaq
740,jung::A,молодий,inuusuppoq
741,jung::A,молодий,kingulliarsuk
742,arm::A,бідний,piillasoq
743,arm::A,бідний,piitsuuvoq
744,reich::A,багатий,pisuuvoq
745,bekannt::A,знайомий,
746,berühmt::A,славетний,tusaamasaq
747,fremd::A,чужий,ajasoornarpoq
748,verschieden::A,різний,allatut
749,verschieden::A,різний,tamalaat
750,nah::A,близький,qanippoq
751,fern::A,далекий,ungasippoq
752,linker::A,лівий,saamerleq
753,rechter::A,правий,innarluissut
754,anderer::A,інакший,
755,erster::A,перший,siulleq
756,zweiter::A,другий,qataatsup tullia
757,dritter::A,третій,pingajorarterut
758,letzter::A,останній,kingulleq
759,allein::ADV,сам,kisimiippoq
760,allein::ADV,один,kisimiippoq
761,auf einmal::ADV,відразу,tassanngaannaq
762,zusammen::ADV,разом,attaasa
763,zusammen::ADV,разом,attarmik
764,zusammen::ADV,спільно,attaasa
