,Concept_ID,ab,cs
704,sofort::ADV,иаразнакҵәҟьа,ihned
705,später::ADV,уажəшьҭаншəа,později
706,jetzt::ADV,уажәы,teď
707,jetzt::ADV,уажәы,nyní
708,heute::ADV,иахьа,dnes
709,heute::ADV,иахьа,dneska
710,morgen::ADV,уаҵәы,zítra
711,bald::ADV,иласны,brzo
712,dann::ADV,нас,pak
713,dann::ADV,нас,potom
714,gestern::ADV,иацы,včera
715,einst::ADV,зны,kdysi
716,damals::ADV,усҟан,tehdy
717,damals::ADV,усҟан,tenkrát
718,danach::ADV,нас,podle toho
719,vorher::ADV,уаанӡа,dříve
720,vorher::ADV,уаанӡа,napřed
721,zuerst::ADV,азнаказы,nejprve
722,zuerst::ADV,азнаказы,nejdříve
723,zuerst::ADV,аҧхьа,nejprve
724,zuerst::ADV,аҧхьа,nejdříve
725,einmal::ADV,зны,jednou
726,manchmal::ADV,зны-зынла,někdy
727,oft::ADV,лассы-лассы,často
728,immer::ADV,енагь,vždy
729,immer::ADV,енагь,stále
730,immer::ADV,еснагь,vždy
731,immer::ADV,еснагь,stále
732,niemals::ADV,ианакəызаалак,nikdy
