,Concept_ID,uz,hr
322,Kamerad::N,yo'ldosh,drug
323,Kamerad::N,yo'ldosh,drugar
324,Angelegenheit::N,daxl,posao
325,Anzahl::N,son,broj
326,Anzahl::N,son,brojnost
327,Art::N,tur,vid
328,Art::N,tur,vrst
329,Stück::N,parcha,komad
330,Teil::N,bo'lak,dio
331,Hälfte::N,yarim,polovina
332,Kreis::N,aylana,krug
333,Kreuz::N,xoch,križ
334,Linie::N,liniya,crta
335,Strich::N,chiziq,crta
336,Abstand::N,oralik,razmak
337,Abstand::N,oralik,odstojanje
338,Entfernung::N,uzoqlik,udaljenost
339,Gegend::N,yer,kraj
340,Gegend::N,yer,predeo
341,Platz::N,oralig,mjesto
342,Ort::N,joy,mjesto
343,Seite::N,yon,bok
344,Seite::N,yon,strana
345,Mitte::N,o'rta,sredina
346,Gegenstand::N,ashyo,predmet
347,Sache::N,buyum,posao
348,Rand::N,chek,rub
349,Rand::N,chek,kraj
350,Kante::N,tig',brid
351,Kante::N,tig',ivica
352,Ecke::N,burchak,ugao
353,Spitze::N,uch,vrh
354,Spitze::N,uch,šiljak
355,Ende::N,oxir,konac
356,Loch::N,teshik,rupa
357,Winkel::N,go'sha,kut
358,Winkel::N,go'sha,ugao
359,Muster::N,nusha,uzor
360,Größe::N,kattalik,veličina
361,Länge::N,uzunlik,duljina
362,Höhe::N,yuksaklik,visina
363,Gewicht::N,solmoq,težina
364,Menge::N,miqdor,mnoštvo
365,Menge::N,miqdor,količina
366,Haufen::N,uyum,hrpa
367,Haufen::N,uyum,gomila
368,Reihe::N,saf,red
369,Boot::N,qayiq,čun
370,Boot::N,qayiq,čamac
371,Ruder::N,äshkak,veslo
372,Schlitten::N,chana,saone
373,Ski::N,chang'i,ski
374,Ski::N,chang'i,smučka
375,Lagerfeuer::N,gulxan,logorska vatra
376,Last::N,yuk,tovar
377,Gang::N,yurish,hod
378,Schritt::N,qadam,korak
379,Norden::N,shimol,sjever
380,Süden::N,janub,jug
381,Westen::N,g'arb,zapad
382,Osten::N,sharq,istok
383,Holz::N,yog'och,drvo
384,Brett::N,taxta,daska
385,Platte::N,tabaqa,ploča
386,Stütze::N,tayanchi,potpora
387,Stange::N,qo'noq,motka
388,Stock::N,tayoq,štap
389,Stock::N,tayoq,palica
390,Stab::N,gavron,štap
391,Stab::N,gavron,šipka
392,Rohr::N,tarnov,cijev
393,Haus::N,uy,kuća
394,Heim::N,makon,dom
395,Ofen::N,pechka,peć
396,Fußboden::N,pol,pod
397,Tisch::N,mosa,stol
398,Tisch::N,mosa,trpeza
399,Stuhl::N,o'rindiq,stolac
400,Stuhl::N,o'rindiq,stolica
401,Wiege::N,beshik,kolijevka
402,Bett::N,yotoq,krevet
403,Bett::N,yotoq,postelja
404,Regal::N,tokcha,polica
405,Kiste::N,sandiq,sanduk
406,Fenster::N,deraza,prozor
407,Tür::N,äshik,vrata
408,Tor::N,darvoza,vrata
409,Tor::N,darvoza,kapija
410,Zaun::N,panjara,plot
411,Zaun::N,panjara,ograda
412,Dach::N,tom,krov
413,Leiter::N,narvon,ljestve
414,Leiter::N,narvon,ljestvice
415,Besen::N,supurgi,metla
416,Spaten::N,bel,ašov
417,Schaufel::N,kurak,lopata
418,Gabel::N,bilka,viljuška
419,Löffel::N,qoshiq,žlica
420,Messer::N,pichoq,nož
421,Nagel::N,mix,čavao
422,Netz::N,to'r,mreža
423,Haken::N,ilgak,kuka
424,Griff::N,sop,držak
425,Griff::N,sop,ručica
426,Griff::N,tutqich,držak
427,Griff::N,tutqich,ručica
428,Schloss::N,qulf,brava
429,Bild::N,rasm,slika
430,Figur::N,shakl,figura
431,Puppe::N,ko'g'irchoq,lutka
432,Beutel::N,to'rva,kesa
433,Bündel::N,bog'lam,snop
434,Bündel::N,bog'lam,svežanj
435,Tasche::N,kissa,torba
436,Tasche::N,kissa,taška
437,Eimer::N,chelak,kabao
438,Deckel::N,qopqoq,poklopac
439,Geschirr::N,idish,suđe
440,Geschirr::N,idish,posuđe
441,Sack::N,qop,džak
442,Sack::N,qop,vreća
443,Tasse::N,piyola,šalica
444,Topf::N,tuvak,lonac
445,Kessel::N,qozon,kazan
446,Essen::N,tomoq,obrok
447,Nahrung::N,emak,hrana
448,Speise::N,taom,jelo
449,Fleisch::N,go'sht,meso
450,Getreide::N,g'alla,žito
451,Getreide::N,g'alla,žitarice
452,Brei::N,bo'tqa,kaša
453,Brot::N,non,kruh
454,Scheibe::N,disk,kriška
455,Fett::N,moy,mast
456,Fett::N,moy,salo
457,Butter::N,yog',buter
458,Butter::N,yog',maslac
459,Öl::N,moy,ulje
460,Salz::N,tuz,sol
461,Suppe::N,sho'rva,supa
462,Honig::N,asal,med
463,Milch::N,sut,mlijeko
464,Tee::N,choy,čaj
465,Leder::N,charm,koža
466,Wolle::N,jun,vuna
467,Stoff::N,mato,štof
468,Stoff::N,mato,tkanina
469,Nadel::N,igna,igla
470,Faden::N,ip,nit
471,Faden::N,ip,konac
472,Knopf::N,tugma,dugme
473,Knoten::N,tugun,čvor
474,Knoten::N,tugun,uzao
475,Farbe::N,bo'yok,farba
476,Kleidung::N,kiyim,odjeća
477,Hemd::N,ko'ylak,košulja
478,Kragen::N,yoqa,ovratnik
479,Ärmel::N,yeng,rukav
480,Hose::N,shim,hlače
481,Gürtel::N,tasma,pas
482,Gürtel::N,tasma,pojas
483,Mütze::N,shapka,kapa
484,Schuh::N,but,cipela
485,Stiefel::N,botinka,čizma
486,Ring::N,yuzuk,prsten
487,Band::N,rishta,vrpca
488,Kamm::N,taroq,češalj
489,Spiegel::N,ko'zgu,zrcalo
490,Spiegel::N,ko'zgu,ogledalo
491,Riemen::N,qayish,kaiš
492,Riemen::N,qayish,remen
493,Schnur::N,bog'ich,vrpca
494,Leine::N,etak,uzica
495,Decke::N,odyol,ćebe
496,Decke::N,odyol,pokrivač
497,Kissen::N,yostiq,jastuk
498,Tuch::N,gazlama,rubac
499,Tuch::N,gazlama,marama
500,Handtuch::N,sochiq,ručnik
501,Kraft::N,kuch,snaga
502,Stärke::N,quvvat,jakost
503,Gesundheit::N,sog'lik,zdravlje
504,Krankheit::N,kasallik,bolest
505,Schmerz::N,og'riq,bol
506,Wunde::N,yara,rana
507,Fieber::N,bezgak,groznica
508,Arznei::N,dori,lijek
509,Brücke::N,ko'prik,most
510,Brücke::N,ko'prik,ćuprija
511,Brunnen::N,buloq,bunar
512,Brunnen::N,buloq,zdenac
513,Weide::N,yaylov,paša
514,Weide::N,yaylov,pašnjak
515,Pfad::N,dorojka,staza
516,Weg::N,yo'l,put
517,Straße::N,ko'cha,drum
518,Straße::N,ko'cha,cesta
519,Dorf::N,ovul,selo
520,Stadt::N,shahar,grad
521,Stadt::N,shahar,varoš
522,Brief::N,maktub,list
523,Brief::N,maktub,pismo
524,Buch::N,kitob,knjiga
525,Buchstabe::N,harf,slovo
526,Zeitung::N,gazet,novine
527,Leben::N,hayot,život
528,Tod::N,o'lim,smrt
529,Grab::N,go'r,raka
530,Kirche::N,cherkov,crkva
531,Sünde::N,gunoh,grijeh
532,Gott::N,olloh,bog
533,Arbeiter::N,ishchi,radnik
534,Chef::N,rais,šef
535,Meister::N,usta,majstor
536,Arzt::N,hakim,liječnik
537,Lehrer::N,muallim,učitelj
538,Geld::N,pul,novac
539,Geschäft::N,savdo,posao
540,Geschäft::N,savdo,trgovina
541,Laden::N,do'kon,dućan
542,Preis::N,baho,cijena
543,Ware::N,mol,roba
544,Nutzen::N,foyda,korist
545,Reichtum::N,boylik,bogatstvo
546,Welt::N,olam,svijet
547,Land::N,o'lka,zemlja
548,Staat::N,davlat,država
549,König::N,qirol,kralj
550,Macht::N,iqtidor,moć
551,Macht::N,iqtidor,vlast
552,Grenze::N,chegara,granica
553,Krieg::N,harb,rat
554,Feind::N,dushman,neprijatelj
555,Gewalt::N,zo'rlik,sila
556,Gewalt::N,zo'rlik,nasilje
557,Kampf::N,kurash,boj
558,Kampf::N,kurash,borba
559,Bogen[Waffe]::N,yoy,luk
560,Pfeil::N,o'q,strijela
561,Gewehr::N,vintovka,puška
562,Fehler::N,xato,pogreška
563,Fehler::N,xato,griješka
564,Lüge::N,yolg'on,laž
565,Schaden::N,ziyon,šteta
566,Unglück::N,balo,nesreća
567,Schuld::N,ayb,krivnja
568,Alter::N,yosh,dob
569,Schluss::N,tamom,kraj
570,Schluss::N,tamom,konac
571,Zeit::N,vaqt,doba
572,Zeit::N,vaqt,vrijeme
573,Tag::N,kun,dan
