,Concept_ID,kn,mrj
169,Hecht::N,ಪೈಕ್ ಮೀನು,нуж
170,Hecht::N,ಪೈಕ್ ಮೀನು,нужгол
171,Schlange[Tier]::N,ಹಾವು,кӹшкы
172,Wurm::N,ಹುಳು,шукш
173,Spinne::N,ಊರ್ಣನಾಭ,ӓнгӹремшӹ
174,Ameise::N,ಇರುವೆ,кыткы
175,Laus::N,ಹೇನು,ти
176,Mücke::N,ಸೊಳ್ಳೆ,кужнер
177,Mücke::N,ಸೊಳ್ಳೆ,кужынер
178,Fliege::N,ನೊಣ,шӹнгӓ
179,Schmetterling::N,ಪತಂಗ,лӹпӹ
180,Beere::N,ನಯವಣ್ಣು,мöр
181,Apfel::N,ಸೇಬು,олма
182,Pilz::N,ಅಣಬೆ,понгы
183,Zwiebel::N,ನೀರುಳ್ಳಿ,охыра
184,Saat::N,ಬಿತ್ತ,нӱшмӹ
185,Saat::N,ಬಿತ್ತ,нӱшмӱ
186,Korn::N,ಬೀಜ,пӹрцӹ
187,Heu::N,ಕರಡ,шуды
188,Schale::N,ಹೊಟ್ಟು,аваха
189,Schale::N,ಹೊಟ್ಟು,карлангы
190,Grube::N,ಗುಂಡಿ,йӓм
191,Falle::N,ಬೋನು,лӱдӹ
192,Falle::N,ಬೋನು,лӱдӹш
193,Schlinge::N,ಉರುಲು,онгы
194,Spur::N,ಜಾಡು,кишӓ
195,Asche::N,ಬೂದಿ,ломых
196,Asche::N,ಬೂದಿ,ломпыж
197,Dreck::N,ಹೊಲಸು,лявӹрӓ
198,Eisen::N,ಕಬ್ಬಿಣ,кӹртни
199,Gold::N,ಚಿನ್ನ,шöртни
200,Gold::N,ಚಿನ್ನ,шöртньӹ
201,Silber::N,ಬೆಳ್ಳಿ,ши
202,Kohle::N,ಕಲ್ಲಿದ್ದಲು,шӱ
203,Glas::N,ಗಾಜು,охоница
204,Lehm::N,ಜೇಡಿಮಣ್ಣು,шун
205,Sand::N,ಮರಳು,ошма
206,Mensch::N,ಪುರುಷ,эдем
207,Mann::N,ಆಳು,пӱэргӹ
208,Frau::N,ಹೆಣ್ಣು,ӹдӹрӓмӓш
209,Kind::N,ಮಗು,ӓзӓ
210,Kind::N,ಮಗು,шачшы
211,Junge::N,ಹುಡುಗ,рвезӹ
212,Junge::N,ಹುಡುಗ,ӹрвезӹ
213,Mädchen::N,ಹುಡುಗಿ,ӹдӹрӓш
214,Familie::N,ಕುಟುಂಬ,йиш
215,Familie::N,ಕುಟುಂಬ,семня
216,Großvater::N,ಅಜ್ಜ,тьоти
217,Großmutter::N,ಅಮ್ಮ,папа
218,Eltern::N,ಹೆತ್ತವರು,ӓтя-ӓвӓ
219,Vater::N,ತಂದೆ,ӓтя
220,Mutter::N,ಅಮ್ಮ,ӓвӓ
221,Sohn::N,ಮಗ ,эргӹ
222,Tochter::N,ಮಗಳು,ӹдӹр
223,Bruder::N,ತಮ್ಮ,ӹза
224,Schwester::N,ತಂಗಿ,ӓкӓ
225,Onkel::N,ಸೋದರಮಾವ,кугуза
226,Onkel::N,ದೊಡ್ಡಪ್ಪ,кугуза
