,Concept_ID,kv,te
417,Wunde::N,рана,గాయము
418,Fieber::N,лёк тресся,జ్వరము
419,Fieber::N,кынтан шогӧт,జ్వరము
420,Arznei::N,лекарство,మందు
421,Brücke::N,пос,వంతెన
422,Brunnen::N,колодец ,బావి
423,Brunnen::N,колодец ,కూపము
424,Brunnen::N,колодец ,నుయ్యి
425,Weide::N,пода йирсян,పచ్చికబయలు
426,Pfad::N,туй,కాలిత్రోవ
427,Weg::N,туй,మార్గము
428,Straße::N,туй,బాట
429,Dorf::N,деревня,గ్రామము
430,Stadt::N,город,పట్టణము
431,Brief::N,гижӧт,జాబు
432,Buch::N,книга,పుస్తకము
433,Buchstabe::N,буква,అక్షరము
434,Zeitung::N,газета,వార్తాపత్రిక
435,Leben::N,олан,ప్రాణము
436,Tod::N,кулӧм,మరణము
437,Grab::N,гу,సమాధి
438,Kirche::N,вичку,క్రెస్తవులగుడి
439,Sünde::N,грек,పాపము
440,Gott::N,ен,దేవుడు
441,Arbeiter::N,уджалiсь,పనిపాటుచేశేవాడు
442,Chef::N,начальник,యజమానుడు
443,Meister::N,мастер,కళాకారుడు
444,Arzt::N,врач,వైద్యుడు
445,Lehrer::N,велӧтісь,ఉపాధ్యాయుడు
446,Geld::N,деньга,ద్రవ్యము
447,Geschäft::N,удж,వ్యాపారము
448,Laden::N,магазин,అంగడి
449,Preis::N,дон,వెల
450,Ware::N,товар,సరకులు
451,Nutzen::N,путь,ప్రయోజనము
452,Reichtum::N,богатство,ధనము
453,Welt::N,му,ప్రపంచము
454,Land::N,страна,దేశము
455,Staat::N,государство,రాజ్యము
456,König::N,кан,రాజు
457,Macht::N,власть,అధికారము
458,Grenze::N,граница,సరిహద్దు
459,Krieg::N,война,యుద్ధము
460,Feind::N,враг,శత్రువు
461,Kampf::N,нярасьӧм,పోట్లాట
462,Kampf::N,вермасьӧм,పోట్లాట
463,Bogen[Waffe]::N,лук,విల్లు
464,Pfeil::N,ньӧв,బాణము
465,Gewehr::N,ружьё,తుపాకి
466,Fehler::N,ошибка,తప్ప
467,Lüge::N,ылӧтӧм,అసత్యము
468,Lüge::N,пӧрьялӧм,అసత్యము
469,Schaden::N,лёк,నష్టము
470,Unglück::N,пик,దురదృష్టము
471,Unglück::N,оказзё,దురదృష్టము
472,Schuld::N,вина,తప్పు
473,Schluss::N,ком,ముగింపు
474,Zeit::N,кад,కాలము
475,Tag::N,лун,దినము
476,Morgen::N,асыв,ఉదయము
477,Mittag::N,луншӧр кад,మధ్యాహ్నము
478,Abend::N,рыт,సాయంకాలము
479,Nacht::N,ой,రత్రి
480,Woche::N,неделя,వారము
481,Monat::N,тӧлicь,నెల
482,Jahr::N,год,సంవత్సరము
483,Frühling::N,тулыс,వసంతకాలము
484,Sommer::N,гожум,వేసవికాము
485,Herbst::N,ар,ఆకురాలుకాలము
486,Winter::N,тӧв,శీతకాలము
487,Januar::N,январ,జనవరి
488,Februar::N,февраль,ఫిబ్రవరి
489,März::N,март,మార్చి
490,April::N,апрель,ఏప్రిలు
491,Mai::N,май,మే
492,Juni::N,юнь,జూన్
493,Juli::N,юль,జూలై
494,August::N,август,ఆగస్టు
495,September::N,сентяб,సెప్ఠెంబరు
496,Oktober::N,октяб,అక్టోబరు
497,November::N,нояб,నవంబరు
498,Dezember::N,декаб,డిసెంబర్
499,Montag::N,вильлун,సోమవారము
500,Dienstag::N,мӧдӧдзлун,మంగళవారము
501,Mittwoch::N,шӧрлун,బుధవారము
502,Donnerstag::N,нёльӧдзлун,గురువారము
503,Freitag::N,витӧдзлун,శుక్రవారము
504,Samstag::N,пывсянлун,శనివారము
505,Sonntag::N,кресення,ఆదివారము
506,groß::A,ыджыт,గొప్పైన
507,klein::A,учӧтик,చిన్న
508,lang::A,кузь,పొడుగాటి
509,kurz::A,дженыт,పొట్టి
510,breit::A,ота,వెడల్పైన
511,schmal::A,векнит,ఇఱుకైన
512,dicht::A,тшӧк,దట్టమైన
513,dick[Gegenstand]::A,кыз,దట్టమైన
514,dünn::A,вӧснит,పలుచని
515,fein::A,вӧснит,నాజాకైన
516,fest::A,крепыт,దృడమైవ
517,flach::A,лапкӧса,చదువైన
518,glatt::A,волькыт,నున్నని
