,Concept_ID,ca,lt
410,Westen::N,oest,vakarai
411,Westen::N,occident,vakarai
412,Osten::N,est,rytai
413,Osten::N,orient,rytai
414,Holz::N,fusta,mediena
415,Brett::N,taula,lenta
416,Platte::N,placa,plokštė
417,Stütze::N,suport,atrama
418,Stütze::N,suport,atspara
419,Stange::N,vara,lazda
420,Stange::N,vara,kartis
421,Stock::N,pal,lazda
422,Stab::N,bastó,kartis
423,Rohr::N,tub,vamzdis
424,Haus::N,casa,namas
425,Heim::N,llar,namai
426,Ofen::N,estufa,krosnis
427,Fußboden::N,terra,grindys
428,Tisch::N,taula,stalas
429,Stuhl::N,cadira,kėdė
430,Wiege::N,bressol,lopšys
431,Bett::N,llit,lova
432,Bett::N,llit,patalai
433,Regal::N,prestatgeria,lentyna
434,Kiste::N,caixa,dėžė
435,Fenster::N,finestra,langas
436,Tür::N,porta,durys
437,Tor::N,portal,vartai
438,Zaun::N,tanca,tvora
439,Dach::N,teulada,stogas
440,Leiter::N,escala,kopėčios
441,Leiter::N,escala de mà,kopėčios
442,Besen::N,escombra,šluota
443,Spaten::N,pala,lopeta
444,Spaten::N,pala,kastuvas
445,Schaufel::N,pala,semtuvas
446,Gabel::N,forquilla,šakutė
447,Löffel::N,cullera,šaukštas
448,Messer::N,coltell,peilis
449,Nagel::N,clau,vinis
450,Netz::N,filat,tinklas
451,Haken::N,ganxo,vagis
452,Haken::N,ganxo,kablys
453,Griff::N,puny,kotas
454,Griff::N,puny,rankena
455,Griff::N,mànec,kotas
456,Griff::N,mànec,rankena
457,Schloss::N,pany,spyna
458,Schloss::N,pany,užraktas
459,Bild::N,imatge,paveikslas
460,Figur::N,figura,figūra
461,Puppe::N,nina,lėlė
462,Beutel::N,bossa,krepšys
463,Beutel::N,bossa,maišelis
464,Bündel::N,feix,ryšulys
465,Bündel::N,paquet,ryšulys
466,Tasche::N,bossa,krepšelis
467,Eimer::N,galleda,kibiras
468,Deckel::N,tapa,dangtis
469,Deckel::N,tapadora,dangtis
470,Geschirr::N,vaixella,indai
471,Sack::N,sac,maišas
472,Sack::N,saca,maišas
473,Tasse::N,tassa,puodukas
474,Topf::N,pot,puodas
475,Topf::N,olla,puodas
476,Kessel::N,caldera,katilas
477,Essen::N,àpat,valgis
478,Essen::N,menjada,valgis
479,Nahrung::N,aliment,penas
480,Nahrung::N,aliment,maistas
481,Speise::N,plat,patiekalas
482,Fleisch::N,carn,mėsa
483,Getreide::N,cereals,javai
484,Brei::N,puré,košė
485,Brot::N,pa,duona
486,Scheibe::N,tall,riekė
487,Scheibe::N,llesca,riekė
488,Fett::N,greix,taukai
489,Fett::N,greix,riebalai
490,Butter::N,mantega,sviestas
491,Öl::N,oli,aliejus
492,Salz::N,sal,druska
493,Suppe::N,sopa,sriuba
494,Honig::N,mel,medus
495,Milch::N,llet,pienas
496,Tee::N,te,arbata
497,Leder::N,cuir,oda
498,Wolle::N,llana,vilna
499,Stoff::N,tela,audeklas
500,Nadel::N,agulla,adata
501,Faden::N,fil,gija
502,Faden::N,fil,siūlas
503,Knopf::N,botó,saga
504,Knoten::N,nus,mazgas
505,Farbe::N,pintura,dažai
506,Kleidung::N,roba,rūbai
507,Kleidung::N,roba,drabužiai
508,Kleidung::N,vestits,rūbai
509,Kleidung::N,vestits,drabužiai
510,Hemd::N,camisa,marškiniai
511,Kragen::N,coll,apykaklė
512,Ärmel::N,màniga,rankovė
513,Hose::N,pantalōns,kelnės
514,Gürtel::N,cinturó,juosta
515,Gürtel::N,cinturó,diržas
516,Mütze::N,gorra,kepurė
517,Schuh::N,sabata,batas
518,Stiefel::N,bota,auliniai batai
519,Ring::N,anell,žiedas
520,Band::N,veta,kaspinas
521,Band::N,cinta,kaspinas
522,Kamm::N,pinta,šukos
523,Spiegel::N,mirāll,veidrodis
524,Riemen::N,corretja,diržas
525,Schnur::N,corda,virvė
526,Leine::N,corretja,pavadėlis
527,Decke::N,manta,antklodė
528,Decke::N,flassada,antklodė
529,Kissen::N,coixí,pagalvė
530,Kissen::N,coixí,priegalvis
531,Tuch::N,mocador,skarelė
532,Handtuch::N,tovallola,rankšluostis
533,Kraft::N,força,jėga
534,Stärke::N,vigor,stiprumas
535,Gesundheit::N,salut,sveikata
536,Krankheit::N,malaltia,liga
537,Schmerz::N,dolor,skausmas
538,Wunde::N,ferida,žaizda
539,Fieber::N,febre,karštis
540,Arznei::N,medicament,vaistas
541,Brücke::N,pont,tiltas
542,Brunnen::N,pou,šulinys
543,Weide::N,pastura,ganykla
544,Weide::N,pastura,gluosnis
545,Pfad::N,senda,takas
546,Pfad::N,sender,takas
547,Weg::N,camí,kelias
548,Straße::N,carretera,gatvė
549,Dorf::N,poble,kaimas
550,Dorf::N,poble,sodžius
551,Stadt::N,ciutāt,miestas
552,Brief::N,carta,laiškas
553,Buch::N,llibre,knyga
554,Buchstabe::N,lletra,raidė
555,Zeitung::N,diāri,laikraštis
556,Leben::N,vida,gyvybė
557,Leben::N,vida,gyvenimas
558,Tod::N,mort,mirtis
559,Grab::N,tomba,kapas
560,Kirche::N,església,bažnyčia
561,Sünde::N,pecat,nuodėmė
562,Sünde::N,pecat,nusidėjimas
563,Gott::N,déu,dievas
564,Arbeiter::N,obrer,darbininkas
565,Chef::N,cap,šefas
566,Chef::N,cap,vadovas
567,Chef::N,cap,viršininkas
568,Meister::N,mestre,meistras
569,Arzt::N,metge,gydytojas
570,Lehrer::N,mestre,mokytojas
571,Geld::N,dinērs,pinigai
572,Geschäft::N,negoci,biznis
573,Laden::N,tenda,krautuvė
574,Laden::N,tenda,parduotuvė
575,Laden::N,botiga,krautuvė
576,Laden::N,botiga,parduotuvė
577,Preis::N,preu,kaina
578,Ware::N,mercaderia,prekė
579,Nutzen::N,profit,nauda
580,Nutzen::N,profit,pelnas
581,Reichtum::N,riquesa,turtas
582,Welt::N,món,pasaulis
583,Land::N,país,žemė
584,Land::N,país,šalis
585,Staat::N,estat,valstija
586,König::N,rei,karalius
587,Macht::N,poder,galia
588,Macht::N,poder,valdžia
589,Macht::N,potència,galia
590,Macht::N,potència,valdžia
591,Grenze::N,frontera,riba
592,Grenze::N,frontera,siena
593,Krieg::N,guerra,karas
594,Feind::N,enemic,priešas
595,Gewalt::N,violència,jėga
596,Gewalt::N,violència,smurtas
597,Gewalt::N,violència,prievarta
598,Kampf::N,lluita,kova
599,Bogen[Waffe]::N,arc,lankas
600,Pfeil::N,fletxa,strėlė
601,Gewehr::N,fusell,šautuvas
602,Gewehr::N,escopeta,šautuvas
603,Fehler::N,falta,klaida
604,Lüge::N,mentida,melas
605,Schaden::N,dany,nuostolis
606,Schaden::N,dany,apgadinimas
607,Unglück::N,desgràcia,nelaimė
608,Schuld::N,culpa,kaltė
609,Alter::N,edat,amžius
610,Schluss::N,fi,pabaiga
611,Schluss::N,final,pabaiga
612,Zeit::N,temps,laikas
613,Tag::N,dia,diena
614,Morgen::N,matí,rytas
615,Mittag::N,migdia,vidurdienis
616,Abend::N,vespre,vakaras
617,Nacht::N,nit,naktis
618,Woche::N,setmana,savaitė
619,Monat::N,mes,mėnuo
620,Jahr::N,any,metai
621,Frühling::N,primavera,pavasaris
622,Sommer::N,estīu,vasara
623,Herbst::N,tardor,ruduo
624,Winter::N,hivērn,žiema
625,Januar::N,gener,sausis
626,Februar::N,febrer,vasaris
627,März::N,març,kovas
628,April::N,abril,balandis
629,Mai::N,maig,gegužė
630,Juni::N,juny,birželis
631,Juli::N,juliol,liepa
632,August::N,agost,rugpjūtis
633,September::N,setembre,rugsėjis
634,Oktober::N,octubre,spalis
635,November::N,novembre,lapkritis
636,Dezember::N,desembre,gruodis
637,Montag::N,dilluns,pirmadienis
638,Dienstag::N,dimarts,antradienis
639,Mittwoch::N,dimecres,trečiadienis
640,Donnerstag::N,dijous,ketvirtadienis
641,Freitag::N,divendres,penktadienis
642,Samstag::N,dissabte,šeštadienis
643,Sonntag::N,diumenge,sekmadienis
644,groß::A,gros,didis
645,groß::A,gros,didelis
646,klein::A,petīt,mažas
647,lang::A,llarg,ilgas
648,kurz::A,curt,trumpas
649,breit::A,ample,platus
650,schmal::A,estret,smulkus
651,dicht::A,dens,tankus
652,dick[Gegenstand]::A,gruixūt,storas
653,dünn::A,prim,plonas
654,fein::A,fi,smulkus
655,fest::A,ferm,kietas
656,fest::A,ferm,tvirtas
657,fest::A,sòlid,kietas
658,fest::A,sòlid,tvirtas
659,flach::A,pla,lėkštas
660,flach::A,pla,plokščias
661,glatt::A,llis,slidus
662,hart::A,dur,kietas
663,weich::A,tou,minkštas
664,rund::A,rodó,apvalus
665,rund::A,rodó,apskritas
666,spitz::A,punxegut,aštrus
667,spitz::A,punxegut,smailus
668,scharf::A,agut,aštrus
669,stumpf::A,rom,bukas
670,stumpf::A,rom,atšipęs
671,stumpf::A,esmussat,bukas
672,stumpf::A,esmussat,atšipęs
673,schwer::A,pesāt,sunkus
674,schön::A,bonīc,gražus
675,heiß::A,calēnt,karštas
676,warm::A,càlid,šiltas
677,kalt::A,fred,šaltas
678,kühl::A,fresc,vėsus
679,kühl::A,fresc,bejausmis
680,frisch::A,fresc,šviežias
681,feucht::A,humit,drėgnas
682,nass::A,mullat,šlapias
683,trocken::A,sec,sausas
684,voll::A,ple,pilnas
685,leer::A,buit,tuščias
686,offen::A,obert,atviras
687,geschlossen::A,tancat,uždaras
688,geschlossen::A,tancat,uždarytas
689,sauber::A,net,švarus
690,schmutzig::A,brut,nešvarus
691,schmutzig::A,brut,purvinas
692,roh::A,cru,žalias
693,reif::A,madur,prinokęs
694,reif::A,madur,pribrendęs
695,lecker::A,deliciós,gardus
696,süß::A,dolç,saldus
697,bitter::A,amarg,kartus
698,sauer::A,agre,gižus
699,sauer::A,agre,rūgštus
700,hell::A,clar,šviesus
701,hell::A,clar,skaistus
702,dunkel::A,fosc,tamsus
703,schwarz::A,negre,juodas
704,weiß::A,blanc,baltas
705,rot::A,vermēll,raudonas
706,gelb::A,groc,geltonas
707,blau::A,blau,mėlynas
708,grün::A,verd,žalias
709,grau::A,gris,pilkas
710,bunt::A,multicolor,margas
711,bunt::A,multicolor,spalvotas
712,billig::A,barat,pigus
713,teuer::A,car,brangus
714,wertvoll::A,preciós,vertingas
715,blind::A,cec,aklas
716,taub::A,sord,kurčias
717,kräftig::A,fort,stiprus
718,kräftig::A,vigorós,stiprus
719,stark::A,fort,stiprus
720,schwach::A,feble,silpnas
721,fett::A,gras,riebus
722,schlank::A,esvelt,laibas
723,schlank::A,esvelt,lieknas
724,hübsch::A,maco,gražus
725,böse::A,dolent,blogas
726,dumm::A,ximple,paikas
727,dumm::A,ximple,kvailas
728,dumm::A,estúpid,paikas
729,dumm::A,estúpid,kvailas
730,faul::A,gandūl,tingus
731,faul::A,mandrós,tingus
732,fleißig::A,diligēnt,stropus
733,fleißig::A,diligēnt,kruopštus
734,geizig::A,avar,šykštus
735,klug::A,intel·ligent,sumanus
736,klug::A,intel·ligent,protingas
737,geschickt::A,hàbil,apsukrus
738,lieb::A,amat,mielas
739,lieb::A,estimat,mielas
740,lustig::A,alegre,smagus
741,lustig::A,alegre,linksmas
742,sanft::A,suau,švelnus
743,sanft::A,suau,minkštas
744,hungrig::A,afamat,alkanas
745,krank::A,malālt,ligotas
746,krank::A,malālt,sergantis
747,nackt::A,nu,nuogas
